gene,chr,start,end,splice_type,novel,aorta_ENCFF745HHL_in_cov,aorta_ENCFF745HHL_total_cov
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,101,259
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,175,256
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,81,139
ENSG00000157557.11,chr21,38818425,38818646,TSS,True,93,107
ENSG00000157557.11,chr21,38822673,38824955,PAS,False,32,127
ENSG00000182240.15,chr21,41167520,41168575,TSS,False,95,141
ENSG00000182240.15,chr21,41245960,41246063,TSS,True,74,141
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,235,1550
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,34,203
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,33,194
ENSG00000197381.15,chr21,45175729,45176664,TSS,False,83,147
ENSG00000197381.15,chr21,45222017,45224247,PAS,True,76,102
ENSG00000197381.15,chr21,45225546,45226563,PAS,True,40,109
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,106,118
ENSG00000142173.14,chr21,46112824,46114007,IR,True,18,107
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,906,1082
ENSG00000142173.14,chr21,46125795,46126237,TSS,True,948,1081
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,628,1181
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,662,810
ENSG00000142173.14,chr21,46113575,46114424,PAS,True,25,115
ENSG00000160255.17,chr21,44920820,44920972,TSS,True,66,195
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,23,119
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,32,119
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,92,104
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,90,104
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,78,101
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,131,846
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,145,821
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,38,239
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,16,108
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,20,103
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,133,204
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,85,653
ENSG00000204120.14,chr2,232697392,232703423,ES,False,115,137
ENSG00000204120.14,chr2,232697392,232735154,ES,False,22,169
ENSG00000204120.14,chr2,232703489,232735154,ES,False,93,138
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,39,208
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,137,202
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,176,204
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,134,201
ENSG00000158019.20,chr2,28298491,28338449,ES,True,110,139
ENSG00000158019.20,chr2,27890511,27890842,TSS,True,16,149
ENSG00000138073.13,chr2,27133337,27133531,IR,False,456,526
ENSG00000115073.7,chr2,97658643,97658878,IR,False,274,306
ENSG00000196504.16,chr2,152677475,152679351,ES,False,14,109
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,88,109
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,18,112
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,46,112
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,91,112
ENSG00000196504.16,chr2,152717992,152718250,TSS,True,100,112
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,51,322
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,47,321
ENSG00000198399.14,chr2,24315224,24328051,ES,False,140,169
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,148,189
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,127,189
ENSG00000198399.14,chr2,24291507,24293775,PAS,True,140,188
ENSG00000198399.14,chr2,24360303,24360807,TSS,True,24,201
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,500,1378
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,1213,1377
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,1204,1378
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,87,131
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,45,445
ENSG00000065911.11,chr2,74198742,74205704,ES,True,540,695
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,45,250
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,43,136
ENSG00000124831.18,chr2,237708630,237748363,ES,False,478,580
ENSG00000124831.18,chr2,237749324,237753308,ES,False,387,620
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,418,734
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,427,719
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,223,663
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,585,730
ENSG00000169604.19,chr2,69013029,69013651,TSS,True,58,110
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,580,670
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,76,106
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,127,164
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,87,164
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,114,446
ENSG00000168385.17,chr2,241351966,241354029,PAS,True,42,414
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,84,193
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,161,193
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,50,173
ENSG00000135931.17,chr2,231371512,231376850,PAS,True,156,180
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,95,402
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,83,155
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,383,429
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,340,429
ENSG00000115677.16,chr2,241242459,241243345,TSS,True,281,344
ENSG00000115307.16,chr2,74528935,74529131,IR,False,348,397
ENSG00000116016.13,chr2,46380334,46380717,TSS,True,190,241
ENSG00000116016.13,chr2,46381976,46382089,TSS,True,208,240
ENSG00000116016.13,chr2,46382458,46382598,TSS,True,209,240
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,82,137
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,16,117
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,26,141
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,106,141
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,53,141
ENSG00000077044.10,chr2,233418895,233419421,TSS,False,229,313
ENSG00000077044.10,chr2,233469370,233472104,PAS,True,132,208
ENSG00000077044.10,chr2,233467085,233472094,PAS,False,93,204
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,63,201
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,158,198
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,293,507
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,241,507
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,56,105
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,74,103
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,88,103
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,19,103
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,20,171
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,107,137
ENSG00000144028.14,chr2,96286687,96286879,TSS,True,129,149
ENSG00000144028.14,chr2,96286310,96286592,TSS,True,134,149
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,66,260
ENSG00000163162.8,chr2,101288230,101289055,PAS,True,218,255
ENSG00000163162.8,chr2,101308128,101308722,TSS,True,27,261
ENSG00000118960.12,chr2,20651031,20651157,TSS,True,32,152
ENSG00000003436.15,chr2,187503770,187554199,ES,False,79,139
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,22,151
ENSG00000162878.12,chr2,42054040,42054307,TSS,True,100,149
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,102,160
ENSG00000162878.12,chr2,42057602,42058528,PAS,True,30,150
ENSG00000115380.19,chr2,55922447,55923710,ES,False,2070,3011
ENSG00000153823.18,chr2,229271013,229271353,TSS,True,21,134
ENSG00000143867.6,chr2,19353140,19353587,TSS,True,113,131
ENSG00000143867.6,chr2,19358340,19358623,TSS,False,21,133
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,103,190
ENSG00000067066.16,chr2,230416328,230442936,ES,False,87,402
ENSG00000067066.16,chr2,230470098,230473383,3AS,False,67,173
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,189,428
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,338,429
ENSG00000168397.16,chr2,241651335,241653511,ES,False,90,104
ENSG00000168397.16,chr2,241671405,241672190,IR,False,98,119
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,41,144
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,26,128
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,106,127
ENSG00000162804.13,chr2,241049065,241049135,TSS,True,109,144
ENSG00000162804.13,chr2,241051623,241051860,TSS,True,118,143
ENSG00000162804.13,chr2,241053152,241055188,PAS,False,19,110
ENSG00000162804.13,chr2,241091637,241095568,PAS,True,110,135
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,29,282
ENSG00000144021.2,chr2,96268658,96269267,IR,False,172,215
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,83,622
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,559,622
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,88,590
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,100,465
ENSG00000213626.12,chr2,30257432,30260027,PAS,True,125,379
ENSG00000213626.12,chr2,30234404,30235688,PAS,True,270,370
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,165,201
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,29,171
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,48,204
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,17,121
ENSG00000136717.14,chr2,127050912,127059010,ES,False,21,161
ENSG00000136717.14,chr2,127051243,127059010,ES,False,81,133
ENSG00000136717.14,chr2,127106859,127107329,TSS,True,38,174
ENSG00000138363.14,chr2,215312161,215312497,IR,False,147,171
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,44,192
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,168,192
ENSG00000144366.15,chr2,188383889,188477658,ES,False,95,107
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,40,117
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,97,117
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,21,114
ENSG00000072195.14,chr2,219447788,219449271,TSS,True,188,210
ENSG00000072195.14,chr2,219460063,219460996,TSS,False,176,210
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,137,186
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,417,829
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,470,825
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,46,434
ENSG00000068912.13,chr2,53801842,53809213,ES,False,41,257
ENSG00000144224.16,chr2,135753567,135754158,IR,False,61,105
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,21,122
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,67,110
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,86,109
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,78,110
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,114,132
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,49,123
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,20,134
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,42,330
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,295,330
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,367,459
ENSG00000168542.14,chr2,189004265,189004364,TSS,True,334,385
ENSG00000168542.14,chr2,189011627,189012747,PAS,True,82,456
ENSG00000168542.14,chr2,188997164,188997220,PAS,True,140,156
ENSG00000168542.14,chr2,188998265,188998297,PAS,True,156,177
ENSG00000163359.15,chr2,237324016,237324814,PAS,True,52,125
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,56,132
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,99,132
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,52,131
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,107,131
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,101,117
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,68,121
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,101,120
ENSG00000132323.8,chr2,238188257,238189862,5AS,False,14,120
ENSG00000132323.8,chr2,238194331,238194804,5AS,False,105,121
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,130,191
ENSG00000136718.9,chr2,130342935,130343085,IR,False,130,179
ENSG00000136718.9,chr2,130342962,130343085,IR,False,61,110
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,118,248
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,187,248
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,200,248
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,261,1236
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1000,1236
ENSG00000119801.12,chr2,30147062,30156627,ES,False,351,392
ENSG00000151689.12,chr2,190343961,190360038,ES,False,101,120
ENSG00000151689.12,chr2,190343583,190343961,TSS,False,15,135
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,940,1106
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,83,100
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,63,100
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,17,130
ENSG00000168883.19,chr2,85616456,85619219,5AS,False,23,110
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,38,126
ENSG00000168883.19,chr2,85616127,85616456,TSS,True,103,126
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,14,126
ENSG00000144591.18,chr2,219498938,219499960,3AS,False,52,135
ENSG00000144591.18,chr2,219505555,219505714,IR,False,130,145
ENSG00000144591.18,chr2,219498826,219498938,TSS,False,21,157
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,76,211
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,22,217
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,53,117
ENSG00000186522.14,chr2,109544324,109546049,IR,True,89,106
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,35,124
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,102,120
ENSG00000136682.14,chr2,113438022,113441350,ES,False,104,123
ENSG00000153234.13,chr2,156326207,156326717,3AS,False,17,111
ENSG00000153234.13,chr2,156324433,156326000,PAS,True,34,150
ENSG00000153234.13,chr2,156332479,156333087,TSS,True,88,159
ENSG00000153234.13,chr2,156329322,156329833,TSS,True,123,155
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,139,161
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,84,161
ENSG00000127824.13,chr2,219252007,219252231,TSS,True,92,111
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,40,111
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,47,392
ENSG00000079308.18,chr2,217799788,217804603,PAS,True,129,532
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,705,1094
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,51,223
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,191,223
ENSG00000049323.15,chr2,33252844,33257442,3AS,False,126,232
ENSG00000049323.15,chr2,33134499,33134960,TSS,True,258,420
ENSG00000049323.15,chr2,33360596,33360637,PAS,True,132,348
ENSG00000049323.15,chr2,33398363,33399509,PAS,True,270,412
ENSG00000144063.3,chr2,110115687,110115852,TSS,True,23,199
ENSG00000196843.15,chr2,96547517,96549752,ES,False,934,2171
ENSG00000196843.15,chr2,96549805,96550025,IR,True,19,139
ENSG00000196843.15,chr2,96549805,96550028,3AS,True,93,112
ENSG00000196843.15,chr2,96549805,96550028,IR,True,93,213
ENSG00000115641.18,chr2,105386540,105398841,ES,False,110,177
ENSG00000115641.18,chr2,105386540,105398969,ES,False,85,132
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,85,262
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,47,114
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,191,324
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,147,324
ENSG00000115317.11,chr2,74529365,74530512,TSS,True,13,118
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,33,259
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,89,150
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,75,150
ENSG00000119004.15,chr2,203238939,203239134,TSS,True,16,107
ENSG00000144579.7,chr2,218403318,218403417,TSS,True,119,150
ENSG00000144579.7,chr2,218401561,218401712,TSS,True,126,150
ENSG00000198612.10,chr2,237086042,237087126,IR,True,93,120
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,33,130
ENSG00000198612.10,chr2,237097662,237102019,PAS,True,29,130
ENSG00000115414.18,chr2,215372015,215372108,IR,False,911,1259
ENSG00000115414.18,chr2,215372015,215373321,ES,False,438,1205
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,438,785
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,217,1115
ENSG00000115414.18,chr2,215391814,215394527,ES,False,115,128
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,1474,3687
ENSG00000115414.18,chr2,215407134,215407321,PAS,True,715,1424
ENSG00000115414.18,chr2,215412760,215414958,PAS,True,1226,1417
ENSG00000115414.18,chr2,215408297,215408426,PAS,False,1267,1421
ENSG00000115414.18,chr2,215375213,215375394,TSS,True,2001,2240
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,2358,3704
ENSG00000115414.18,chr2,215376497,215376674,TSS,True,1979,2240
ENSG00000143727.15,chr2,271939,275139,ME,False,42,139
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,156,246
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,41,290
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,63,195
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,71,201
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,146,196
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,132,202
ENSG00000115415.18,chr2,190984309,190984395,TSS,True,98,189
ENSG00000169756.16,chr2,108534375,108534594,TSS,True,71,179
ENSG00000169756.16,chr2,108588290,108588425,TSS,False,161,179
ENSG00000169756.16,chr2,108654963,108655256,TSS,True,142,179
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,43,188
ENSG00000138449.10,chr2,189560540,189562191,PAS,False,17,145
ENSG00000138449.10,chr2,189580417,189580823,TSS,True,17,145
ENSG00000136710.9,chr2,130341944,130342133,5AS,False,14,110
ENSG00000136710.9,chr2,130342014,130342165,TSS,True,28,122
ENSG00000136710.9,chr2,130342133,130342728,TSS,False,108,122
ENSG00000072163.19,chr2,127643072,127675013,ES,True,47,412
ENSG00000072163.19,chr2,127654896,127675013,ES,True,52,359
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,98,517
ENSG00000119865.8,chr2,68319221,68319913,TSS,True,28,184
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,81,388
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,335,388
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,208,1367
ENSG00000168958.19,chr2,227325427,227330625,ES,False,22,154
ENSG00000168958.19,chr2,227325427,227332418,ES,False,19,176
ENSG00000168958.19,chr2,227328789,227330625,ES,False,113,135
ENSG00000168958.19,chr2,227340380,227355676,ES,False,67,183
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,13,126
ENSG00000163017.13,chr2,73892966,73893051,TSS,True,237,2305
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,14,131
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,57,164
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,17,121
ENSG00000116120.9,chr2,222643005,222648739,ES,True,171,194
ENSG00000104231.10,chr8,81715114,81718181,ES,False,75,198
ENSG00000184428.12,chr8,143331339,143334739,ES,False,131,147
ENSG00000179526.16,chr8,144098994,144099276,ES,False,20,168
ENSG00000179526.16,chr8,144099205,144099276,IR,True,145,162
ENSG00000179526.16,chr8,144098629,144098788,PAS,False,22,206
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,23,206
ENSG00000147789.15,chr8,144827489,144827609,TSS,False,83,151
ENSG00000008513.15,chr8,133476074,133476277,IR,False,90,188
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,178,365
ENSG00000008513.15,chr8,133475718,133476600,TSS,True,264,351
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,191,365
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,40,323
ENSG00000184489.11,chr8,141391976,141392084,TSS,True,311,350
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,199,350
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,278,350
ENSG00000120910.14,chr8,22540614,22543188,PAS,True,24,119
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,53,260
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,229,259
ENSG00000155926.13,chr8,133074852,133075027,TSS,True,24,119
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,26,217
ENSG00000198363.17,chr8,61643433,61644599,ES,False,37,217
ENSG00000198363.17,chr8,61644632,61651049,ES,False,49,217
ENSG00000198363.17,chr8,61524752,61526112,PAS,True,210,237
ENSG00000198363.17,chr8,61618859,61619019,PAS,True,200,234
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,115,231
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,37,246
ENSG00000120913.23,chr8,22579087,22579527,TSS,True,69,109
ENSG00000120913.23,chr8,22586570,22589374,TSS,True,84,109
ENSG00000120913.23,chr8,22580183,22580697,TSS,True,97,109
ENSG00000120913.23,chr8,22579096,22579209,TSS,False,98,109
ENSG00000169398.19,chr8,140658381,140659678,PAS,True,32,244
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,220,246
ENSG00000169398.19,chr8,140718316,140718672,TSS,True,55,223
ENSG00000104368.17,chr8,42207493,42207677,TSS,True,129,481
ENSG00000136999.4,chr8,119416239,119416616,TSS,True,171,684
ENSG00000168487.18,chr8,22164896,22165553,TSS,True,93,129
ENSG00000168487.18,chr8,22179704,22179829,TSS,True,111,126
ENSG00000168487.18,chr8,22211593,22212326,PAS,True,38,125
ENSG00000147649.9,chr8,97691188,97706625,ES,False,16,125
ENSG00000147649.9,chr8,97643970,97644887,TSS,True,23,229
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,99,211
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,129,206
ENSG00000187955.11,chr8,120124922,120125340,TSS,True,136,187
ENSG00000187955.11,chr8,120313930,120314027,TSS,True,105,127
ENSG00000187955.11,chr8,120371151,120372037,PAS,True,82,183
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,141,608
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,49,115
ENSG00000158669.11,chr8,41598290,41599304,TSS,True,85,115
ENSG00000164733.20,chr8,11844241,11845081,IR,False,52,135
ENSG00000164733.20,chr8,11853479,11868000,ES,False,4987,5820
ENSG00000104522.15,chr8,143614453,143614623,IR,False,114,148
ENSG00000077782.20,chr8,38457355,38457541,TSS,True,98,113
ENSG00000153310.19,chr8,129871496,129903311,ES,False,16,137
ENSG00000153310.19,chr8,129903350,129970942,ES,False,75,109
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,123,151
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,49,151
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,23,129
ENSG00000121022.13,chr8,67062105,67062347,TSS,True,115,129
ENSG00000179950.13,chr8,143818534,143821596,ES,False,257,609
ENSG00000179950.13,chr8,143821913,143829279,ES,False,80,573
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,69,494
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,144,168
ENSG00000157110.15,chr8,30544493,30544624,TSS,True,138,156
ENSG00000157110.15,chr8,30564752,30566360,TSS,True,96,122
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,46,143
ENSG00000154328.15,chr8,11769633,11769791,TSS,False,44,117
ENSG00000154328.15,chr8,11769708,11770335,TSS,True,92,117
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,49,170
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,149,517
ENSG00000104518.10,chr8,143558294,143558451,TSS,True,27,242
ENSG00000173281.4,chr8,9150562,9150713,TSS,False,36,150
