gene,chr,start,end,splice_type,novel,WTC11_ENCFF041RNG_in_cov,WTC11_ENCFF041RNG_total_cov
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,34,310
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,561,813
ENSG00000115053.15,chr2,231461539,231462017,TSS,True,700,808
ENSG00000115053.15,chr2,231455400,231455458,TSS,True,461,793
ENSG00000143977.13,chr2,70288192,70293609,5AS,True,78,137
ENSG00000143977.13,chr2,70288192,70293617,5AS,True,57,206
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,191,1419
ENSG00000124839.12,chr2,237577382,237585997,ES,False,60,292
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,47,295
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,69,460
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,146,588
ENSG00000115233.11,chr2,161371180,161371322,TSS,True,452,580
ENSG00000196290.14,chr2,200889652,200891968,3AS,False,40,113
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,149,223
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,108,223
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,20,118
ENSG00000144029.11,chr2,95101723,95106422,ES,False,14,108
ENSG00000144029.11,chr2,95106457,95108253,5AS,True,12,108
ENSG00000144029.11,chr2,95121733,95122014,TSS,True,22,117
ENSG00000144029.11,chr2,95108174,95108398,TSS,True,98,112
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,43,212
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,210,599
ENSG00000138430.15,chr2,174229307,174229923,TSS,True,431,599
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,71,106
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,60,112
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,88,112
ENSG00000218739.9,chr2,37196480,37196520,TSS,True,23,120
ENSG00000218739.9,chr2,37199062,37199819,TSS,True,104,119
ENSG00000218739.9,chr2,37201862,37204743,PAS,True,34,115
ENSG00000218739.9,chr2,37204303,37204743,PAS,False,101,115
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,84,790
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,23,204
ENSG00000138029.13,chr2,26283051,26284882,ES,True,20,186
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,143,484
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,418,484
ENSG00000115963.13,chr2,150487455,150487548,IR,False,71,116
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,88,129
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,56,129
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,41,103
ENSG00000065911.11,chr2,74198742,74205704,ES,True,215,240
ENSG00000065911.11,chr2,74198742,74207703,ES,False,36,277
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,65,343
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,324,371
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,75,371
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,61,289
ENSG00000115204.14,chr2,27322447,27322570,TSS,True,249,289
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,90,436
ENSG00000138442.9,chr2,202879612,202880937,PAS,True,17,150
ENSG00000138442.9,chr2,202895110,202896219,PAS,True,131,146
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,475,936
ENSG00000168385.17,chr2,241350129,241350203,TSS,False,593,932
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,130,145
ENSG00000115307.16,chr2,74528935,74529131,IR,False,121,137
ENSG00000128699.13,chr2,189782602,189784268,ES,False,157,184
ENSG00000128699.13,chr2,189783878,189784039,TSS,True,202,247
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,60,247
PB_novel_212489,chr2,67334150,67339333,ES,True,107,129
PB_novel_212489,chr2,67339333,67339973,PAS,True,298,426
PB_novel_212489,chr2,67337515,67337976,PAS,True,163,412
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,73,133
ENSG00000076003.4,chr2,135846236,135846393,TSS,True,82,129
ENSG00000076003.4,chr2,135848052,135848073,TSS,True,108,129
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,26,104
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,41,244
ENSG00000115685.14,chr2,241153474,241153604,TSS,True,217,244
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,100,244
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,148,244
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,1065,6093
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,5137,6093
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,18,178
ENSG00000144354.13,chr2,173354819,173354984,TSS,True,34,117
ENSG00000144354.13,chr2,173360340,173363462,TSS,True,105,117
ENSG00000144354.13,chr2,173367633,173368997,PAS,True,16,109
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,14,108
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,1526,1886
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,438,1863
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,65,431
ENSG00000138050.14,chr2,39736154,39737059,PAS,True,13,107
ENSG00000138050.14,chr2,39779113,39779270,TSS,True,18,111
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,19,110
ENSG00000163170.11,chr2,74135658,74145188,ES,False,40,178
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,230,502
ENSG00000128708.12,chr2,171925535,171925641,TSS,True,281,502
ENSG00000243147.7,chr2,27772692,27779432,ES,False,126,225
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,97,311
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,261,311
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,215,249
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,38,268
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,234,268
ENSG00000198522.13,chr2,27628657,27629169,TSS,True,50,252
ENSG00000198522.13,chr2,27642430,27642519,TSS,True,222,251
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,72,208
ENSG00000095002.14,chr2,47410111,47410372,TSS,True,168,207
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,31,196
ENSG00000119782.13,chr2,24053949,24060813,ES,False,109,146
ENSG00000119782.13,chr2,24060926,24063063,3AS,False,74,148
ENSG00000119782.13,chr2,24063063,24063681,PAS,True,75,149
ENSG00000119782.13,chr2,24063018,24063681,PAS,True,75,149
ENSG00000197223.11,chr2,68047319,68062957,5AS,False,148,223
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,88,252
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,173,252
ENSG00000144034.14,chr2,73732285,73734428,ES,False,155,193
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,47,163
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,178,211
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,42,211
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,231,292
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,672,965
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,332,965
ENSG00000118640.10,chr2,85577531,85577649,TSS,True,22,191
ENSG00000118640.10,chr2,85578427,85579167,TSS,True,170,190
ENSG00000151665.12,chr2,46581591,46592474,ES,False,114,135
ENSG00000151665.12,chr2,46613785,46616969,ES,True,23,128
ENSG00000115539.13,chr2,100562916,100563073,TSS,False,41,185
ENSG00000115539.13,chr2,100566505,100566629,TSS,True,150,185
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,48,342
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,256,325
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,259,294
ENSG00000158417.10,chr2,99364270,99364327,PAS,True,135,325
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,44,115
ENSG00000168397.16,chr2,241651006,241651111,TSS,True,103,115
ENSG00000168397.16,chr2,241654543,241654647,TSS,True,96,114
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,25,102
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,17,107
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,64,245
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,195,376
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,311,376
ENSG00000170144.20,chr2,177216857,177216940,TSS,True,325,364
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,16,151
ENSG00000158411.11,chr2,99170652,99171509,ES,False,47,170
ENSG00000158411.11,chr2,99169152,99169470,PAS,True,19,176
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,20,186
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,168,231
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,37,188
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,69,238
ENSG00000135972.8,chr2,105038053,105038227,TSS,False,168,668
ENSG00000135972.8,chr2,105097222,105097324,TSS,True,514,665
ENSG00000144366.15,chr2,188529195,188569238,ES,False,14,100
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,84,140
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,76,140
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,38,138
ENSG00000144366.15,chr2,188541180,188543224,PAS,True,108,138
ENSG00000144199.11,chr2,97091712,97094700,ES,False,27,121
ENSG00000144199.11,chr2,97094700,97094903,TSS,True,61,183
ENSG00000144199.11,chr2,97091461,97091634,TSS,True,135,183
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,475,610
ENSG00000144381.16,chr2,197499998,197500184,TSS,False,534,610
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,200,619
ENSG00000065548.17,chr2,186486216,186486457,TSS,True,42,237
ENSG00000115540.14,chr2,197516146,197535529,ES,False,59,350
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,653,5744
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,5161,5744
ENSG00000125629.14,chr2,118088460,118088541,TSS,True,36,104
ENSG00000125629.14,chr2,118088471,118088545,TSS,True,82,104
ENSG00000240344.8,chr2,200888955,200889279,TSS,True,63,105
ENSG00000240344.8,chr2,200889243,200889339,TSS,True,45,105
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,123,195
ENSG00000136718.9,chr2,130346205,130346274,TSS,True,122,195
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,51,310
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,204,365
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,194,365
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,73,474
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,122,174
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,53,141
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,116,141
ENSG00000114956.19,chr2,73927052,73946718,ES,False,295,389
ENSG00000114956.19,chr2,73927052,73957124,ES,True,16,159
ENSG00000114956.19,chr2,73946906,73958145,ES,False,232,377
ENSG00000168883.19,chr2,85648853,85649016,IR,False,18,104
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,15,113
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,21,107
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,95,113
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,220,262
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,53,274
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,233,274
ENSG00000239779.6,chr2,74457828,74458671,TSS,True,31,190
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,80,198
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,26,202
ENSG00000119812.18,chr2,33599168,33599346,TSS,True,64,104
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,25,211
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,86,195
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,104,186
ENSG00000115091.11,chr2,113889952,113890323,TSS,True,20,187
ENSG00000144120.12,chr2,119679225,119680831,5AS,False,84,138
ENSG00000144120.12,chr2,119679163,119679276,TSS,True,117,164
ENSG00000144120.12,chr2,119679139,119679225,TSS,True,75,164
ENSG00000144120.12,chr2,119680831,119682119,PAS,True,27,164
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,41,203
ENSG00000124380.10,chr2,69904425,69904511,IR,False,18,171
ENSG00000124380.10,chr2,69904253,69905927,PAS,True,24,173
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,42,157
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,252,1168
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,966,1168
ENSG00000115042.9,chr2,95402872,95405552,ES,False,82,127
ENSG00000115042.9,chr2,95402872,95405552,5AS,False,82,102
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,69,198
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,178,198
ENSG00000115042.9,chr2,95402707,95405803,TSS,True,153,198
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,69,248
ENSG00000079785.14,chr2,15603189,15603275,TSS,True,195,238
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,57,269
ENSG00000168393.12,chr2,241678649,241685768,ES,False,94,317
ENSG00000115875.18,chr2,38745187,38746693,ES,False,221,1620
PB_novel_212390,chr2,7876640,7878481,TSS,True,135,184
PB_novel_212390,chr2,7876629,7876784,TSS,True,142,185
PB_novel_212390,chr2,7874199,7876006,TSS,True,160,185
PB_novel_212390,chr2,7891272,7892345,PAS,True,27,164
ENSG00000143727.15,chr2,271939,275139,ME,False,124,637
ENSG00000143727.15,chr2,271939,272191,ES,False,126,207
ENSG00000198130.15,chr2,190204802,190205099,IR,False,25,242
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,50,276
ENSG00000198130.15,chr2,190200925,190204802,PAS,False,247,277
ENSG00000198130.15,chr2,190319715,190319862,TSS,True,57,277
ENSG00000198130.15,chr2,190290404,190290487,TSS,False,248,277
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,53,138
ENSG00000138398.15,chr2,169636412,169641406,PAS,True,34,113
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,74,105
ENSG00000173692.12,chr2,231056606,231057041,TSS,True,26,202
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,164,186
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,66,202
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,153,184
PB_novel_212671,chr2,188034060,188039129,ES,True,153,235
ENSG00000168958.19,chr2,227325427,227330625,ES,False,17,138
ENSG00000168958.19,chr2,227340380,227355676,ES,False,114,151
ENSG00000143870.12,chr2,10812677,10812829,TSS,True,269,1968
ENSG00000171863.14,chr2,3575350,3575600,IR,True,132,152
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,19,115
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,16,123
ENSG00000138382.14,chr2,169824640,169824781,IR,False,272,312
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,87,360
ENSG00000138382.14,chr2,169824640,169824867,IR,False,87,129
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,144,418
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,329,418
ENSG00000138382.14,chr2,169824488,169824919,TSS,True,376,418
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,1038,6714
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,86,131
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,53,131
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,42,131
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,87,124
ENSG00000116120.9,chr2,222566898,222572022,PAS,False,36,156
ENSG00000116120.9,chr2,222656015,222656102,TSS,False,70,156
ENSG00000116120.9,chr2,222599927,222599962,TSS,True,121,154
ENSG00000178896.8,chr8,144078620,144078899,TSS,True,17,150
ENSG00000187840.4,chr8,38030502,38030718,TSS,False,31,260
ENSG00000245910.8,chr8,66922114,66925436,ME,False,28,117
ENSG00000245910.8,chr8,66922392,66925436,ES,False,89,622
ENSG00000245910.8,chr8,66922392,66925436,3AS,True,89,103
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,24,235
ENSG00000156795.7,chr8,123416856,123427923,5AS,False,40,100
ENSG00000156795.7,chr8,123416664,123416856,TSS,True,61,101
ENSG00000156795.7,chr8,123416722,123416932,TSS,True,41,101
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,167,1423
ENSG00000078668.13,chr8,42391616,42391928,TSS,True,149,801
ENSG00000078668.13,chr8,42391918,42393884,TSS,True,680,801
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,113,1095
ENSG00000160973.7,chr8,144475223,144475582,3AS,False,21,158
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,110,883
ENSG00000120913.23,chr8,22589741,22593732,ES,False,39,174
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,33,235
ENSG00000169490.16,chr8,38996212,38996517,TSS,True,47,261
ENSG00000169490.16,chr8,38996418,38996519,TSS,True,228,261
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,846,3186
ENSG00000161016.17,chr8,144791991,144792215,TSS,True,2787,3185
ENSG00000176731.11,chr8,85217502,85220305,ES,False,207,533
ENSG00000176731.11,chr8,85219360,85220305,3AS,False,73,328
ENSG00000176731.11,chr8,85220305,85220386,TSS,True,101,636
ENSG00000169139.11,chr8,48008406,48008470,TSS,False,69,596
ENSG00000104522.15,chr8,143614453,143614623,IR,False,116,141
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,36,148
ENSG00000104522.15,chr8,143616566,143618080,TSS,True,127,148
ENSG00000153310.19,chr8,129871496,129903311,ES,False,78,202
ENSG00000153310.19,chr8,129903350,129939607,ES,False,67,180
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,39,232
ENSG00000121022.13,chr8,67062024,67062105,IR,False,47,404
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,82,430
ENSG00000121022.13,chr8,67062105,67062347,TSS,True,378,430
ENSG00000179950.13,chr8,143818534,143821596,ES,False,173,262
ENSG00000179950.13,chr8,143821913,143829279,ES,False,36,243
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,47,207
ENSG00000147687.18,chr8,124516030,124518817,5AS,False,229,286
ENSG00000147687.18,chr8,124539024,124539097,TSS,True,58,339
ENSG00000170791.17,chr8,56211837,56214597,ES,False,220,342
ENSG00000170791.17,chr8,56212889,56214597,5AS,False,54,126
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,237,346
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,106,462
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,133,348
ENSG00000164924.17,chr8,100953268,100953476,TSS,True,313,349
ENSG00000147419.17,chr8,27752587,27762418,ES,False,28,203
ENSG00000147535.16,chr8,38263118,38264604,PAS,True,81,103
ENSG00000147535.16,chr8,38263137,38264949,PAS,False,82,103
ENSG00000147535.16,chr8,38269125,38269564,TSS,False,16,104
ENSG00000129691.15,chr8,38105516,38105738,TSS,True,19,100
ENSG00000129691.15,chr8,38105528,38106139,TSS,True,85,100
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,209,1266
ENSG00000104529.17,chr8,143581328,143586728,ES,False,142,792
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,134,727
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,113,842
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,496,2200
ENSG00000156482.10,chr8,98045346,98045513,TSS,True,1803,2200
ENSG00000156469.8,chr8,96257114,96261500,ES,True,16,100
ENSG00000120533.12,chr8,109334402,109336127,5AS,False,138,721
ENSG00000120533.12,chr8,109334320,109334474,TSS,True,202,775
ENSG00000120533.12,chr8,109333553,109334402,TSS,False,636,775
ENSG00000254277.1,chr8,71675535,71702214,ES,True,139,199
ENSG00000254277.1,chr8,71702214,71704579,PAS,True,26,229
ENSG00000104765.15,chr8,26383030,26383230,TSS,True,33,174
ENSG00000154582.16,chr8,73959818,73972076,ES,False,496,573
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,172,787
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,676,787
ENSG00000175324.9,chr8,38163840,38171964,ES,False,20,163
ENSG00000175324.9,chr8,38176274,38176720,TSS,True,22,166
ENSG00000254339.5,chr8,114282294,114284252,3AS,False,69,422
ENSG00000254339.5,chr8,114282294,114304413,ES,True,37,136
ENSG00000254339.5,chr8,114284514,114295465,ES,True,122,136
ENSG00000254339.5,chr8,114284514,114295465,5AS,False,122,305
ENSG00000254339.5,chr8,114304413,114305940,PAS,True,359,497
ENSG00000254339.5,chr8,114295465,114298691,PAS,True,173,497
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,63,124
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,59,119
ENSG00000104763.18,chr8,18083980,18084373,TSS,True,15,128
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,88,266
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,250,506
ENSG00000187735.13,chr8,53999944,54000046,TSS,True,278,506
ENSG00000198791.11,chr8,17226029,17230848,PAS,True,16,137
ENSG00000198791.11,chr8,17246674,17246871,TSS,True,19,142
ENSG00000147586.9,chr8,80003180,80030035,5AS,True,123,184
ENSG00000147586.9,chr8,80003180,80030053,5AS,True,54,239
ENSG00000147586.9,chr8,80029904,80029976,TSS,False,272,304
ENSG00000147586.9,chr8,80030020,80030272,TSS,True,237,304
ENSG00000147586.9,chr8,80030053,80030271,TSS,True,243,304
ENSG00000147586.9,chr8,80030035,80030279,TSS,True,168,304
ENSG00000047249.17,chr8,53801896,53814661,ES,False,38,121
ENSG00000047249.17,chr8,53843033,53843431,TSS,False,49,135
ENSG00000047249.17,chr8,53842870,53843013,TSS,False,104,135
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,124,896
ENSG00000147604.13,chr8,73289968,73290705,PAS,True,31,221
ENSG00000147604.13,chr8,73293598,73293664,TSS,True,33,221
ENSG00000253507.5,chr8,131308530,131308671,TSS,False,96,108
ENSG00000253507.5,chr8,131310417,131310712,TSS,True,21,108
ENSG00000253507.5,chr8,131317333,131318267,PAS,True,26,108
ENSG00000253507.5,chr8,131315548,131315811,PAS,True,86,100
ENSG00000104549.11,chr8,125021752,125022286,PAS,True,24,106
ENSG00000155097.11,chr8,103021021,103021225,TSS,True,14,119
ENSG00000133872.13,chr8,30070059,30082846,ES,False,39,152
ENSG00000147601.13,chr8,73027052,73032041,ES,False,583,1039
ENSG00000147601.13,chr8,73008806,73009205,TSS,True,208,1218
ENSG00000147601.13,chr8,73039115,73039219,TSS,True,761,870
ENSG00000147601.13,chr8,73032041,73032136,PAS,True,736,1066
ENSG00000147601.13,chr8,73045960,73050611,PAS,True,353,1175
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,218,2153
ENSG00000273173.5,chr15,24968794,24968829,PAS,False,111,172
ENSG00000273173.5,chr15,24962113,24964001,PAS,True,81,170
ENSG00000247556.6,chr15,41283958,41284110,TSS,True,24,170
ENSG00000247556.6,chr15,41298040,41301999,PAS,True,34,154
ENSG00000166794.4,chr15,64162851,64163122,TSS,True,344,1267
ENSG00000128989.10,chr15,52568847,52569144,TSS,True,44,108
ENSG00000128989.10,chr15,52569115,52569167,TSS,True,83,108
ENSG00000140264.19,chr15,43793083,43793686,IR,False,74,114
ENSG00000137818.11,chr15,69453020,69455169,5AS,False,131,165
ENSG00000140374.15,chr15,76292700,76311349,ES,False,56,215
ENSG00000140374.15,chr15,76311349,76311487,TSS,True,59,282
ENSG00000140374.15,chr15,76285636,76285664,TSS,True,245,282
ENSG00000174446.12,chr15,66494552,66497641,ES,False,16,149
ENSG00000174446.12,chr15,66497641,66497814,TSS,True,19,167
ENSG00000156642.16,chr15,73633124,73633464,TSS,True,27,103
ENSG00000169371.13,chr15,75625335,75625691,TSS,True,117,133
ENSG00000169371.13,chr15,75625665,75625803,TSS,True,32,133
ENSG00000140319.10,chr15,40038875,40038951,TSS,True,548,1536
ENSG00000140319.10,chr15,40038281,40038394,TSS,True,1153,1536
ENSG00000174444.14,chr15,66504787,66504853,TSS,True,884,5668
ENSG00000174444.14,chr15,66500055,66500163,TSS,True,4976,5630
ENSG00000167004.12,chr15,43765892,43766012,TSS,True,59,141
ENSG00000167004.12,chr15,43766723,43766910,TSS,True,125,141
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,15,107
ENSG00000140416.20,chr15,63060939,63062214,ME,False,88,334
ENSG00000140416.20,chr15,63060939,63061712,ES,False,88,105
ENSG00000140416.20,chr15,63042137,63042943,TSS,True,142,432
ENSG00000140416.20,chr15,63048405,63048707,TSS,True,382,431
ENSG00000140416.20,chr15,63071089,63071915,PAS,True,122,365
ENSG00000140416.20,chr15,63065895,63066180,PAS,True,264,362
ENSG00000166797.10,chr15,64075537,64088686,ES,False,86,599
ENSG00000166922.8,chr15,32679915,32684559,3AS,False,82,139
ENSG00000166922.8,chr15,32641670,32641778,TSS,True,17,149
ENSG00000128463.12,chr15,34227846,34229752,ES,False,55,505
ENSG00000104131.12,chr15,44537049,44537237,TSS,True,40,280
ENSG00000104131.12,chr15,44537322,44537427,TSS,True,250,280
ENSG00000166477.12,chr15,51938260,51947291,3AS,True,107,119
ENSG00000166477.12,chr15,51938024,51938260,PAS,True,18,126
ENSG00000166477.12,chr15,51971687,51972020,TSS,True,14,127
ENSG00000140259.6,chr15,43824490,43824733,TSS,False,30,215
