gene,chr,start,end,splice_type,novel,HCT116_ENCFF400LRT_in_cov,HCT116_ENCFF400LRT_total_cov
ENSG00000196504.16,chr2,152659092,152659189,PAS,True,205,228
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,136,225
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,88,238
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,189,238
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,13,113
ENSG00000144580.13,chr2,218568584,218568978,TSS,True,28,124
ENSG00000144580.13,chr2,218593527,218593852,PAS,False,95,106
ENSG00000144580.13,chr2,218594107,218596432,PAS,True,11,106
ENSG00000115648.13,chr2,237518648,237525600,ES,False,16,121
ENSG00000115648.13,chr2,237540533,237542566,ES,False,38,121
ENSG00000115648.13,chr2,237542659,237546605,3AS,True,101,122
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,28,135
ENSG00000196141.13,chr2,200419496,200440648,ES,False,60,111
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,140,164
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,45,164
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,43,164
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,116,150
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,85,237
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,192,238
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,61,154
ENSG00000138385.15,chr2,169805839,169806784,IR,True,90,104
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,84,105
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,30,107
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,18,120
ENSG00000168906.12,chr2,85542373,85542564,IR,False,215,268
ENSG00000168906.12,chr2,85542747,85542900,IR,True,211,266
ENSG00000168906.12,chr2,85543034,85543669,IR,True,149,269
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,103,359
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,124,269
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,205,269
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,25,116
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,104,138
ENSG00000065911.11,chr2,74198742,74205704,ES,True,1000,1272
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,92,121
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,85,779
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,68,212
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,53,264
ENSG00000173209.23,chr2,61181405,61184711,ES,False,73,101
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,19,114
ENSG00000173209.23,chr2,61186616,61187550,PAS,True,17,111
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,305,341
ENSG00000138442.9,chr2,202911435,202912409,TSS,False,25,149
ENSG00000077232.17,chr2,182736386,182740298,3AS,False,69,118
ENSG00000115694.14,chr2,241499414,241500172,IR,False,115,144
ENSG00000115694.14,chr2,241498988,241499128,TSS,True,196,226
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,185,230
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,165,230
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,204,230
ENSG00000168385.17,chr2,241315982,241317498,ES,False,216,250
ENSG00000168385.17,chr2,241315982,241324215,ES,False,502,754
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,166,942
ENSG00000115419.12,chr2,190931637,190932715,3AS,False,106,120
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,36,143
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,129,144
ENSG00000115419.12,chr2,190932656,190935568,PAS,True,128,143
ENSG00000189223.14,chr2,113235505,113235570,TSS,True,43,115
ENSG00000189223.14,chr2,113239088,113240827,PAS,True,56,102
ENSG00000189223.14,chr2,113265475,113267010,PAS,True,91,112
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,412,555
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,459,555
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,393,555
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,193,216
ENSG00000115307.16,chr2,74528935,74529131,IR,False,126,180
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,116,305
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,56,333
ENSG00000114993.16,chr2,74426574,74427168,3AS,True,138,157
ENSG00000114993.16,chr2,74424144,74426574,PAS,True,30,168
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,37,175
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,401,711
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,467,711
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,594,711
ENSG00000119041.10,chr2,196763030,196764685,PAS,True,14,106
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,28,108
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,91,108
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,36,157
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,32,102
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,87,101
ENSG00000144354.13,chr2,173358837,173363225,ES,False,136,152
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,49,115
ENSG00000114978.17,chr2,74159090,74159138,TSS,True,88,114
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,34,111
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,85,110
ENSG00000144485.10,chr2,238239824,238240038,TSS,True,33,102
ENSG00000055044.10,chr2,202265235,202265986,TSS,True,53,186
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,72,144
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,128,143
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,94,144
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,20,103
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,23,109
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,21,167
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,20,120
ENSG00000198648.10,chr2,168063570,168074981,ES,True,77,333
ENSG00000198648.10,chr2,168247227,168247894,TSS,False,49,354
ENSG00000138069.17,chr2,65129892,65130116,TSS,True,22,211
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,27,208
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,59,104
ENSG00000197713.14,chr2,210017559,210019668,ES,False,107,121
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,165,231
ENSG00000144028.14,chr2,96286310,96286592,TSS,True,217,242
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,14,138
ENSG00000138434.16,chr2,181892660,181893610,IR,False,18,171
ENSG00000138434.16,chr2,181919446,181921947,ES,False,219,1678
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,444,2015
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,320,1996
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,536,615
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,283,615
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,46,174
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,16,159
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,27,186
ENSG00000123983.13,chr2,222887888,222908732,ES,False,128,260
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,42,141
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,73,124
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,79,103
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,125,139
ENSG00000168397.16,chr2,241671405,241672190,IR,False,82,114
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,72,147
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,127,147
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,52,135
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,91,122
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,53,102
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,76,102
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,47,104
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,69,104
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,52,287
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,191,426
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,374,426
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,15,127
ENSG00000186281.12,chr2,96026182,96027688,TSS,True,82,104
ENSG00000186281.12,chr2,96034852,96034964,TSS,True,75,104
ENSG00000186281.12,chr2,96034816,96034964,TSS,True,76,104
ENSG00000186281.12,chr2,96030405,96030532,TSS,True,89,104
ENSG00000144021.2,chr2,96268658,96269267,IR,False,243,281
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,108,658
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,119,141
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,18,137
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,47,211
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,37,265
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,16,109
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,88,107
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,25,101
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,80,436
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,354,424
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,74,446
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,12,112
ENSG00000143889.15,chr2,38602600,38602856,IR,False,19,103
ENSG00000143889.15,chr2,38561978,38564237,PAS,True,12,104
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,20,104
ENSG00000143889.15,chr2,38602856,38603062,TSS,True,85,104
ENSG00000144231.10,chr2,127850685,127858027,ES,True,26,166
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,71,245
ENSG00000138363.14,chr2,215346755,215346941,TSS,True,204,242
ENSG00000144366.15,chr2,188383889,188477658,ES,False,97,117
ENSG00000144366.15,chr2,188529195,188569238,ES,False,12,111
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,86,138
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,84,138
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,15,121
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,128,1020
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,59,279
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,484,2947
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,2508,2908
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,368,2959
ENSG00000135916.15,chr2,230865145,230875619,ES,False,70,251
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,117,368
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,327,368
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,97,134
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,46,137
ENSG00000144224.16,chr2,135753567,135754158,IR,False,115,133
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,109,141
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,85,142
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,122,140
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,115,141
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,26,112
ENSG00000116096.5,chr2,72887736,72888313,IR,True,109,125
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,30,147
ENSG00000116096.5,chr2,72887407,72888604,TSS,True,131,147
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,246,1025
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,819,1025
ENSG00000034510.5,chr2,84905651,84905718,TSS,False,268,2310
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,119,153
ENSG00000136718.9,chr2,130342935,130343085,IR,False,119,158
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,102,220
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,186,220
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,179,220
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,102,114
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,80,114
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,99,114
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,41,131
ENSG00000115128.6,chr2,24068320,24068455,TSS,True,108,131
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,276,985
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,768,985
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,188,214
ENSG00000135919.12,chr2,224039098,224039596,TSS,True,24,228
ENSG00000123989.13,chr2,219538769,219540642,PAS,True,55,419
ENSG00000123989.13,chr2,219541460,219542189,PAS,True,186,218
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,353,505
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,290,505
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,21,144
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,26,113
ENSG00000091409.14,chr2,172498100,172504090,ES,False,35,159
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,64,219
ENSG00000091409.14,chr2,172504090,172506456,PAS,True,30,189
ENSG00000168883.19,chr2,85648853,85649016,IR,False,33,196
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,22,199
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,40,203
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,170,203
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,86,101
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,21,107
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,93,107
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,36,123
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,77,718
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,90,718
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,74,255
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,87,270
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,189,270
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,47,119
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,23,133
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,11,100
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,28,120
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,23,113
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,85,100
ENSG00000186522.14,chr2,109585838,109613797,ES,False,27,241
ENSG00000213639.9,chr2,28752176,28781803,3AS,True,136,742
ENSG00000213639.9,chr2,28783978,28799198,ES,True,155,760
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,579,773
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,225,773
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,59,110
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,39,260
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,81,327
ENSG00000144063.3,chr2,110115687,110115852,TSS,True,124,576
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,67,121
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,53,238
ENSG00000168393.12,chr2,241686653,241686841,TSS,True,69,162
ENSG00000168393.12,chr2,241678451,241678516,TSS,True,98,159
ENSG00000115875.18,chr2,38745187,38746693,ES,False,12,119
ENSG00000115875.18,chr2,38748046,38748159,TSS,True,100,124
ENSG00000115875.18,chr2,38751228,38751439,TSS,True,47,127
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,23,110
ENSG00000143727.15,chr2,271939,275139,ME,False,77,218
ENSG00000169047.5,chr2,226733922,226736250,PAS,False,32,102
ENSG00000169047.5,chr2,226794988,226796948,TSS,True,43,123
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,100,160
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,26,193
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,48,161
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,120,160
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,36,162
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,50,485
ENSG00000134318.13,chr2,11179761,11183440,PAS,True,104,120
ENSG00000134318.13,chr2,11197627,11197705,PAS,True,104,116
ENSG00000134318.13,chr2,11214357,11214463,PAS,True,101,116
ENSG00000134318.13,chr2,11215369,11215412,PAS,False,91,115
ENSG00000134318.13,chr2,11218964,11219026,PAS,True,87,115
ENSG00000134318.13,chr2,11343995,11345317,TSS,True,13,126
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,58,101
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,85,101
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,187,771
ENSG00000115541.10,chr2,197500398,197503128,TSS,True,655,770
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,177,373
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,237,389
ENSG00000115368.9,chr2,189441391,189441578,TSS,True,30,132
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,60,439
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,42,254
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,541,858
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,429,858
ENSG00000115884.10,chr2,20203812,20204195,TSS,True,82,100
ENSG00000115884.10,chr2,20225261,20225911,TSS,False,88,100
ENSG00000115884.10,chr2,20224801,20225140,TSS,True,60,100
ENSG00000116120.9,chr2,222643005,222648739,ES,True,136,156
ENSG00000087338.4,chr2,69849742,69861277,ES,True,11,106
ENSG00000104231.10,chr8,81715114,81718181,ES,False,120,250
ENSG00000104231.10,chr8,81732198,81732893,TSS,True,169,261
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,121,260
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,32,172
ENSG00000184428.12,chr8,143334739,143334915,TSS,True,26,138
ENSG00000179526.16,chr8,144098629,144098788,PAS,False,28,117
ENSG00000179526.16,chr8,144101602,144103225,PAS,True,84,100
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,36,125
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,21,146
ENSG00000104738.17,chr8,47960498,47961014,TSS,True,79,479
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,74,549
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,474,539
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,101,554
ENSG00000168476.11,chr8,22139061,22139415,IR,False,96,117
ENSG00000168476.11,chr8,22141450,22141949,TSS,True,34,136
ENSG00000173334.3,chr8,125430208,125431262,TSS,False,67,262
ENSG00000245910.8,chr8,66921926,66922114,PAS,True,24,126
ENSG00000245910.8,chr8,66925436,66925541,TSS,True,47,126
ENSG00000245910.8,chr8,66922323,66922401,TSS,True,105,126
ENSG00000071894.16,chr8,144400670,144400818,TSS,True,220,245
ENSG00000071894.16,chr8,144409288,144410022,TSS,False,216,246
ENSG00000071894.16,chr8,144396597,144396672,TSS,False,217,245
ENSG00000133731.9,chr8,81686251,81686354,TSS,True,12,101
ENSG00000180694.13,chr8,90645110,90646144,TSS,True,25,246
ENSG00000250571.6,chr8,143267188,143267484,TSS,True,75,100
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,104,205
ENSG00000156467.9,chr8,96231773,96231878,TSS,True,179,205
ENSG00000104312.7,chr8,89758233,89765340,ES,False,69,110
ENSG00000123908.11,chr8,140635484,140635776,TSS,True,73,128
ENSG00000155096.13,chr8,102843747,102858012,ES,False,180,223
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,58,255
ENSG00000155096.13,chr8,102858012,102858150,TSS,True,224,255
ENSG00000164687.10,chr8,81280532,81280674,TSS,False,70,178
ENSG00000164687.10,chr8,81283927,81283974,TSS,True,119,178
ENSG00000164941.13,chr8,94880117,94881047,PAS,True,26,229
ENSG00000197858.10,chr8,144083500,144083713,IR,False,202,245
ENSG00000197858.10,chr8,144084875,144085042,IR,False,222,251
ENSG00000197858.10,chr8,144085138,144085288,IR,False,222,251
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,44,279
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,96,110
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,59,103
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,64,414
ENSG00000198363.17,chr8,61619019,61637946,ES,True,21,179
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,125,933
ENSG00000198363.17,chr8,61644632,61651049,ES,False,151,952
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,837,1004
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,216,978
ENSG00000180900.18,chr8,143791440,143791875,ES,False,102,115
ENSG00000180900.18,chr8,143791440,143791875,5AS,True,102,199
ENSG00000180900.18,chr8,143804825,143804954,5AS,True,32,151
ENSG00000180900.18,chr8,143807013,143808608,ES,False,94,111
ENSG00000180900.18,chr8,143804567,143804825,TSS,True,194,233
ENSG00000180900.18,chr8,143805111,143805975,TSS,True,208,233
ENSG00000180900.18,chr8,143815213,143815816,TSS,False,178,234
ENSG00000158941.16,chr8,22604637,22604842,TSS,True,120,243
ENSG00000158941.16,chr8,22612103,22613136,TSS,True,189,243
ENSG00000169398.19,chr8,140864399,140890542,ES,False,39,198
ENSG00000169398.19,chr8,140890769,141001124,ES,False,111,204
ENSG00000169398.19,chr8,140658381,140659678,PAS,True,32,245
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,36,246
ENSG00000147649.9,chr8,97691188,97706625,ES,False,34,231
ENSG00000147649.9,chr8,97643970,97644887,TSS,True,100,401
ENSG00000147649.9,chr8,97706680,97706750,TSS,True,266,327
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,175,367
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,269,372
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,228,301
ENSG00000164930.11,chr8,103325498,103329654,ES,False,11,104
ENSG00000164930.11,chr8,103298515,103298995,TSS,True,14,108
ENSG00000176623.11,chr8,86508491,86508770,TSS,True,21,101
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,1915,3033
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,47,130
ENSG00000158669.11,chr8,41598290,41599304,TSS,True,112,130
ENSG00000164823.10,chr8,89901991,89902125,TSS,True,120,140
ENSG00000164823.10,chr8,89902516,89902837,TSS,True,29,140
ENSG00000169139.11,chr8,48008406,48008470,TSS,False,59,316
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,85,689
ENSG00000104413.16,chr8,94674494,94678202,5AS,False,56,215
ENSG00000104413.16,chr8,94678371,94696851,ES,False,43,160
ENSG00000104413.16,chr8,94678371,94705924,ES,False,44,226
ENSG00000104413.16,chr8,94692827,94705924,ES,False,22,140
ENSG00000104413.16,chr8,94640526,94641450,TSS,True,120,281
ENSG00000104413.16,chr8,94667982,94668250,TSS,True,240,267
ENSG00000104413.16,chr8,94674304,94674506,TSS,True,210,249
ENSG00000104413.16,chr8,94705924,94707466,PAS,True,45,276
ENSG00000104522.15,chr8,143614453,143614623,IR,False,151,216
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,62,245
ENSG00000185122.10,chr8,144312244,144313510,ES,False,202,227
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,68,248
ENSG00000185122.10,chr8,144311962,144312244,TSS,True,198,237
ENSG00000185122.10,chr8,144314124,144314727,PAS,True,25,244
ENSG00000153310.19,chr8,129871496,129903311,ES,False,41,296
ENSG00000153310.19,chr8,129903350,129939607,ES,False,99,179
ENSG00000153310.19,chr8,129903350,129970942,ES,False,51,116
