gene,chr,start,end,splice_type,novel,WTC11_ENCFF985LGZ_in_cov,WTC11_ENCFF985LGZ_total_cov
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,95,266
ENSG00000084693.15,chr2,27051642,27051793,TSS,True,18,123
ENSG00000084693.15,chr2,27059189,27059535,PAS,True,35,119
ENSG00000084693.15,chr2,27070091,27070622,PAS,True,93,122
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,51,420
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,71,274
ENSG00000115241.10,chr2,27384672,27384996,TSS,True,232,274
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,21,111
ENSG00000138073.13,chr2,27133337,27133531,IR,False,124,140
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,17,148
ENSG00000036257.12,chr2,224584943,224585532,TSS,True,30,237
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,218,263
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,40,247
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,108,284
ENSG00000168288.12,chr2,149587663,149587806,TSS,True,18,165
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,88,109
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,56,109
ENSG00000124356.15,chr2,73828982,73829510,TSS,True,97,109
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,31,218
ENSG00000138430.15,chr2,174229451,174248451,ES,False,23,180
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,201,290
ENSG00000196504.16,chr2,152681336,152693024,5AS,True,204,236
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,176,245
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,182,326
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,256,326
ENSG00000218739.9,chr2,37196480,37196520,TSS,True,53,165
ENSG00000218739.9,chr2,37199062,37199819,TSS,True,147,164
ENSG00000218739.9,chr2,37201862,37204743,PAS,True,27,142
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,180,1454
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,156,312
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,43,338
ENSG00000196141.13,chr2,200419496,200440648,ES,False,257,335
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,269,349
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,120,349
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,27,149
ENSG00000115963.13,chr2,150487455,150487548,IR,False,71,151
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,93,173
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,98,173
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,99,272
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,213,272
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,67,131
ENSG00000132300.18,chr2,86127305,86127940,IR,True,149,166
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,31,193
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,55,113
ENSG00000065911.11,chr2,74198742,74207703,ES,False,45,292
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,51,346
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,331,418
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,122,418
ENSG00000124831.18,chr2,237749324,237753308,ES,False,165,262
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,205,283
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,104,282
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,211,268
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,71,279
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,134,324
ENSG00000196950.13,chr2,195586266,195586417,TSS,True,290,324
ENSG00000173209.23,chr2,61181405,61184711,ES,False,105,128
ENSG00000173209.23,chr2,61185618,61186445,IR,False,59,106
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,27,143
ENSG00000077232.17,chr2,182732542,182740298,ES,False,30,126
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,40,168
ENSG00000115694.14,chr2,241501708,241508442,ES,False,41,217
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,21,197
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,292,388
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,169,388
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,235,1255
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,31,102
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,84,102
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,35,131
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,110,131
ENSG00000115419.12,chr2,190880798,190881470,TSS,True,41,134
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,25,116
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,324,436
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,372,436
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,296,436
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,175,205
ENSG00000115307.16,chr2,74528935,74529131,IR,False,149,195
ENSG00000115271.10,chr2,162344099,162344275,TSS,True,20,105
ENSG00000128699.13,chr2,189782602,189784268,ES,False,108,121
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,43,164
PB_novel_212489,chr2,67334150,67337515,IR,True,96,173
PB_novel_212489,chr2,67334150,67339333,ES,True,105,129
PB_novel_212489,chr2,67331769,67332062,TSS,True,101,405
PB_novel_212489,chr2,67339333,67339973,PAS,True,272,405
PB_novel_212489,chr2,67337515,67337976,PAS,True,237,310
PB_novel_212489,chr2,67333952,67337964,PAS,True,233,306
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,46,307
ENSG00000115652.14,chr2,106094157,106098715,ES,True,12,114
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,78,108
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,17,126
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,30,139
ENSG00000173744.17,chr2,227472138,227472588,TSS,True,25,154
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,55,379
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,24,155
ENSG00000082146.12,chr2,201478191,201478562,3AS,False,12,104
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,39,113
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,78,113
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,159,982
ENSG00000119041.10,chr2,196799509,196799723,TSS,True,15,114
ENSG00000132330.16,chr2,238091217,238092078,PAS,True,100,124
ENSG00000132330.16,chr2,238098201,238099414,PAS,True,32,127
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,24,134
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,117,134
ENSG00000085449.14,chr2,223945147,223945383,TSS,True,36,158
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,26,126
ENSG00000144354.13,chr2,173358837,173363225,ES,False,197,300
ENSG00000144354.13,chr2,173363895,173364794,3AS,True,251,281
ENSG00000144354.13,chr2,173354819,173354984,TSS,True,37,333
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,31,132
ENSG00000115163.14,chr2,26793811,26797683,PAS,True,15,130
ENSG00000115163.14,chr2,26800928,26801067,PAS,False,117,132
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,45,259
ENSG00000115825.9,chr2,37250497,37253350,PAS,True,14,116
ENSG00000115825.9,chr2,37324680,37324833,TSS,False,39,125
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,661,952
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,409,951
ENSG00000144485.10,chr2,238239251,238239486,IR,False,68,114
ENSG00000144485.10,chr2,238238266,238239568,PAS,True,80,125
ENSG00000144485.10,chr2,238238266,238239251,PAS,True,51,126
ENSG00000144485.10,chr2,238239824,238240038,TSS,True,17,138
ENSG00000075340.22,chr2,70767885,70768287,TSS,True,65,121
ENSG00000163170.11,chr2,74135658,74145188,ES,False,33,138
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,94,229
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,28,161
ENSG00000128708.12,chr2,171925535,171925641,TSS,True,144,161
ENSG00000168758.10,chr2,96869875,96870099,TSS,False,83,110
ENSG00000168758.10,chr2,96869186,96869497,TSS,True,76,110
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,76,417
ENSG00000243147.7,chr2,27772692,27779432,ES,False,64,107
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,40,149
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,126,149
ENSG00000197713.14,chr2,210016112,210016506,ES,False,131,155
ENSG00000197713.14,chr2,210002567,210002783,TSS,True,22,168
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,155,232
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,87,105
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,23,115
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,97,115
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,96,635
ENSG00000119782.13,chr2,24053949,24060813,ES,False,99,130
ENSG00000119782.13,chr2,24060926,24063063,3AS,False,59,130
ENSG00000119782.13,chr2,24063063,24063681,PAS,True,72,131
ENSG00000119782.13,chr2,24063018,24063681,PAS,True,60,131
ENSG00000071575.11,chr2,12718128,12718321,IR,True,26,155
ENSG00000071575.11,chr2,12716873,12717010,TSS,True,100,189
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,115,189
ENSG00000163029.15,chr2,17753625,17754596,TSS,True,31,106
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,19,160
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,91,126
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,234,360
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,131,360
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,46,373
ENSG00000123983.13,chr2,222887888,222908732,ES,False,136,156
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,38,202
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,59,209
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,27,205
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,40,229
ENSG00000168397.16,chr2,241651335,241653511,ES,False,180,232
ENSG00000168397.16,chr2,241671405,241672190,IR,False,183,215
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,39,260
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,40,248
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,217,247
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,45,108
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,66,105
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,49,105
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,122,592
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,371,841
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,719,841
ENSG00000156966.6,chr2,231395520,231395814,TSS,False,28,108
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,21,182
ENSG00000163516.13,chr2,219230350,219231927,5AS,False,18,105
ENSG00000163516.13,chr2,219234288,219234825,IR,False,93,107
ENSG00000163516.13,chr2,219235312,219235473,IR,False,97,108
ENSG00000163516.13,chr2,219229756,219229900,TSS,False,14,126
ENSG00000162980.16,chr2,151828130,151828509,TSS,True,26,145
ENSG00000144021.2,chr2,96268658,96269267,IR,False,148,165
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,102,117
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,23,125
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,46,195
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,36,340
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,78,585
ENSG00000082258.12,chr2,134918279,134919012,TSS,True,17,100
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,118,502
ENSG00000143889.15,chr2,38577532,38581912,ES,False,123,137
ENSG00000143889.15,chr2,38602600,38602856,IR,False,39,138
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,53,152
ENSG00000143889.15,chr2,38602856,38603062,TSS,True,113,152
ENSG00000153107.12,chr2,111883941,111884318,TSS,True,52,100
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,19,176
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,60,391
ENSG00000144366.15,chr2,188383889,188477658,ES,False,100,113
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,82,139
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,98,139
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,18,125
ENSG00000144366.15,chr2,188541180,188543224,PAS,True,106,119
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,466,3395
ENSG00000068912.13,chr2,53801842,53809213,ES,False,16,120
ENSG00000144224.16,chr2,135753567,135754158,IR,False,139,159
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,38,198
ENSG00000115540.14,chr2,197516146,197535529,ES,False,42,313
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,38,193
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,201,1162
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,985,1162
ENSG00000115526.10,chr2,100417373,100417825,TSS,False,73,119
ENSG00000134323.11,chr2,15941800,15942854,TSS,True,75,184
ENSG00000134323.11,chr2,15940550,15940743,TSS,True,127,184
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,133,182
ENSG00000136718.9,chr2,130342935,130343085,IR,False,133,148
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,85,215
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,166,215
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,208,244
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,134,244
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,189,244
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,277,974
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,747,974
ENSG00000005448.16,chr2,74421794,74422152,5AS,True,14,110
ENSG00000005448.16,chr2,74421816,74422152,IR,False,96,110
ENSG00000005448.16,chr2,74423385,74423854,ES,False,14,134
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,34,141
ENSG00000005448.16,chr2,74421728,74421794,TSS,True,125,141
ENSG00000119772.16,chr2,25247749,25248036,IR,True,113,129
ENSG00000119772.16,chr2,25252193,25252337,TSS,False,88,182
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,102,114
ENSG00000135919.12,chr2,224039098,224039596,TSS,True,19,123
ENSG00000084774.13,chr2,27216845,27217633,TSS,True,102,122
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,40,279
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,69,270
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,30,145
ENSG00000135932.10,chr2,230712824,230713230,TSS,False,20,148
ENSG00000091409.14,chr2,172489613,172491023,5AS,True,20,114
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,60,153
ENSG00000114956.19,chr2,73927052,73946718,ES,False,173,229
ENSG00000114956.19,chr2,73946906,73958145,ES,False,132,221
ENSG00000168883.19,chr2,85648853,85649016,IR,False,32,254
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,31,257
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,34,255
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,225,257
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,242,284
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,63,306
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,264,306
ENSG00000239779.6,chr2,74457828,74458671,TSS,True,20,103
ENSG00000239779.6,chr2,74458432,74458537,TSS,False,90,103
ENSG00000138443.15,chr2,203394846,203395658,3AS,False,14,101
ENSG00000138443.15,chr2,203328259,203328631,TSS,True,47,148
ENSG00000138443.15,chr2,203427176,203432169,PAS,True,11,107
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,31,106
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,125,519
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,83,205
ENSG00000136536.14,chr2,159712661,159729008,ES,False,107,122
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,145,268
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,171,268
ENSG00000144591.18,chr2,219498826,219498938,TSS,False,46,109
ENSG00000144591.18,chr2,219498888,219499254,TSS,True,78,109
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,57,155
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,18,161
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,167,186
ENSG00000075292.18,chr2,71276554,71276754,TSS,True,120,139
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,113,139
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,99,139
ENSG00000075292.18,chr2,71421123,71424038,TSS,True,83,101
ENSG00000075292.18,chr2,71426600,71427414,TSS,True,87,101
ENSG00000075292.18,chr2,71434741,71435062,PAS,True,39,138
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,22,106
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,24,109
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,36,283
ENSG00000155438.11,chr2,121736745,121736967,TSS,True,13,105
ENSG00000186522.14,chr2,109544324,109546049,IR,True,127,150
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,42,171
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,130,153
ENSG00000186522.14,chr2,109613797,109614196,TSS,True,36,171
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,31,205
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,28,236
ENSG00000213639.9,chr2,28752176,28781803,3AS,True,90,213
ENSG00000213639.9,chr2,28783978,28799198,ES,True,98,223
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,192,263
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,125,263
ENSG00000159399.9,chr2,74834078,74834643,TSS,False,68,103
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,22,150
ENSG00000116001.15,chr2,70216499,70216885,5AS,False,104,139
ENSG00000116001.15,chr2,70224629,70227734,ES,False,105,123
ENSG00000116001.15,chr2,70227822,70229263,ES,False,20,114
ENSG00000116001.15,chr2,70248404,70248770,TSS,True,69,196
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,67,343
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,293,343
ENSG00000163811.11,chr2,28894615,28894923,TSS,False,32,218
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,31,216
ENSG00000115816.14,chr2,37231411,37231618,TSS,False,45,336
ENSG00000143924.18,chr2,42256630,42263177,ES,False,66,120
ENSG00000143924.18,chr2,42169258,42169636,TSS,True,70,189
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,37,361
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,133,153
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,33,153
ENSG00000168393.12,chr2,241678649,241685768,ES,False,27,108
ENSG00000115875.18,chr2,38745187,38746693,ES,False,64,379
ENSG00000115875.18,chr2,38751228,38751439,TSS,True,58,401
ENSG00000071051.13,chr2,105855289,105892981,ES,False,42,201
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,28,224
ENSG00000018510.14,chr2,177392739,177393049,TSS,True,24,113
ENSG00000115275.12,chr2,74464895,74465951,TSS,True,33,113
PB_novel_212390,chr2,7878481,7891272,ES,True,48,121
PB_novel_212390,chr2,7876640,7878481,TSS,True,122,226
PB_novel_212390,chr2,7876629,7876784,TSS,True,201,226
ENSG00000143727.15,chr2,271939,275139,ME,False,86,408
ENSG00000143727.15,chr2,271939,272191,ES,False,88,138
ENSG00000135632.11,chr2,73214212,73214362,TSS,True,20,102
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,82,107
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,14,130
ENSG00000115207.13,chr2,27326723,27327176,3AS,False,16,114
ENSG00000115207.13,chr2,27343578,27356738,ES,False,86,102
ENSG00000115207.13,chr2,27324199,27326893,PAS,True,50,148
ENSG00000115207.13,chr2,27325850,27326723,PAS,True,138,154
ENSG00000115207.13,chr2,27333529,27333784,PAS,True,116,141
ENSG00000115207.13,chr2,27356738,27357413,TSS,True,52,154
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,143,167
ENSG00000130508.10,chr2,1744255,1744568,TSS,True,113,172
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,15,125
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,67,168
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,140,168
ENSG00000173692.12,chr2,231056606,231057041,TSS,True,46,446
ENSG00000152284.4,chr2,85133256,85133933,TSS,False,40,392
PB_novel_212671,chr2,188034060,188039129,ES,True,116,204
ENSG00000115368.9,chr2,189441391,189441578,TSS,True,28,157
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,16,112
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,20,114
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,95,111
ENSG00000163032.11,chr2,17540404,17540918,TSS,True,44,200
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,22,214
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,25,225
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,46,135
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,59,149
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,103,149
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,170,702
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,596,702
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,136,201
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,86,201
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,15,136
ENSG00000040341.17,chr8,73688813,73738283,ES,False,110,137
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,107,158
ENSG00000040341.17,chr8,73526820,73527804,PAS,True,132,158
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,97,158
ENSG00000040341.17,chr8,73651928,73653896,PAS,True,134,152
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,22,158
