gene,chr,start,end,splice_type,novel,neural_crest_cell_ENCFF901XCR_in_cov,neural_crest_cell_ENCFF901XCR_total_cov
ENSG00000163029.15,chr2,17698487,17700378,PAS,True,142,163
ENSG00000163029.15,chr2,17703134,17703292,PAS,False,123,162
ENSG00000163029.15,chr2,17716742,17716905,PAS,False,139,162
ENSG00000163029.15,chr2,17717138,17717176,PAS,True,132,162
ENSG00000128654.13,chr2,176329426,176337492,ES,True,23,121
ENSG00000123983.13,chr2,222887888,222908732,ES,False,76,131
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,18,153
ENSG00000123983.13,chr2,222922707,222922831,PAS,True,127,146
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,34,150
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,133,247
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,121,256
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,149,256
ENSG00000123485.11,chr2,233833682,233837652,PAS,True,26,200
ENSG00000123485.11,chr2,233840924,233842205,PAS,True,177,198
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,63,141
ENSG00000170144.20,chr2,177219036,177219159,TSS,False,111,125
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,25,115
ENSG00000144021.2,chr2,96268658,96269267,IR,False,102,114
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,15,127
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,106,127
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,15,121
ENSG00000119203.13,chr2,9472915,9473110,PAS,True,91,670
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,65,118
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,86,102
ENSG00000082258.12,chr2,134918279,134919012,TSS,True,14,129
ENSG00000082258.12,chr2,134953229,134959339,PAS,True,19,119
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,837,1258
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,1081,1235
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,695,1213
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,36,207
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,1332,2208
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,1082,2203
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,19,110
ENSG00000115540.14,chr2,197516146,197535529,ES,False,33,203
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,190,224
ENSG00000163166.14,chr2,127496391,127498237,PAS,True,191,221
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,90,219
ENSG00000114988.11,chr2,96739853,96740074,TSS,True,17,136
ENSG00000151694.13,chr2,9488455,9490518,PAS,True,14,114
ENSG00000151694.13,chr2,9555508,9556317,TSS,True,16,114
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,72,102
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,44,116
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,86,116
ENSG00000138375.12,chr2,216412603,216413855,5AS,False,16,113
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,66,154
ENSG00000138375.12,chr2,216412378,216412603,TSS,False,138,154
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,124,154
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,157,189
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,101,189
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,508,1989
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1624,1989
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,89,104
ENSG00000078018.19,chr2,209678685,209680752,3AS,True,14,109
ENSG00000078018.19,chr2,209424005,209424276,TSS,False,116,142
ENSG00000078018.19,chr2,209579404,209579755,TSS,True,109,142
ENSG00000078018.19,chr2,209661458,209661678,TSS,True,103,142
ENSG00000078018.19,chr2,209730181,209734117,PAS,True,31,126
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,91,218
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,176,214
ENSG00000136709.11,chr2,127722589,127722730,PAS,True,185,218
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,36,339
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,47,249
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,28,248
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,214,375
ENSG00000138095.18,chr2,43918023,43918133,PAS,True,307,369
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,40,375
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,175,425
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,206,459
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,269,459
ENSG00000136536.14,chr2,159767283,159771026,PAS,True,155,457
ENSG00000136536.14,chr2,159747804,159748887,PAS,False,303,450
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,31,106
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,166,275
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,233,348
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,172,348
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,161,328
ENSG00000115239.21,chr2,53765585,53786820,5AS,True,148,166
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,29,189
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,83,110
ENSG00000275052.4,chr2,55564313,55564497,PAS,True,84,109
ENSG00000275052.4,chr2,55613994,55615506,PAS,True,82,108
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,12,112
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,34,104
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,78,101
ENSG00000136682.14,chr2,113438022,113441350,ES,False,157,176
ENSG00000080345.17,chr2,151441967,151443258,5AS,True,28,127
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,98,141
ENSG00000080345.17,chr2,151409883,151410527,TSS,True,107,141
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,100,141
ENSG00000080345.17,chr2,151459999,151460100,PAS,True,25,135
ENSG00000064933.17,chr2,189784593,189791789,5AS,False,107,120
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,31,140
ENSG00000064933.17,chr2,189877271,189878394,PAS,True,121,140
ENSG00000064933.17,chr2,189854238,189856058,PAS,True,70,137
ENSG00000064933.17,chr2,189863742,189865716,PAS,True,104,140
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,117,152
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,74,152
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,55,309
ENSG00000116001.15,chr2,70227822,70229058,IR,True,207,239
ENSG00000116001.15,chr2,70227822,70229263,ES,False,48,274
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,44,159
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,123,158
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,166,611
ENSG00000079785.14,chr2,15627053,15628207,PAS,True,512,609
ENSG00000115875.18,chr2,38745187,38746693,ES,False,100,706
ENSG00000115875.18,chr2,38748653,38748897,IR,False,29,125
ENSG00000115875.18,chr2,38748653,38749239,IR,True,12,108
ENSG00000115875.18,chr2,38748653,38749528,IR,False,577,668
ENSG00000115875.18,chr2,38749346,38749528,IR,False,39,168
ENSG00000116106.11,chr2,221418026,221420552,PAS,True,93,106
ENSG00000116106.11,chr2,221425705,221426142,PAS,True,21,100
ENSG00000116106.11,chr2,221572157,221572360,TSS,True,38,114
ENSG00000143727.15,chr2,271939,275139,ME,False,34,295
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,16,109
ENSG00000144118.13,chr2,120278613,120278778,TSS,True,98,109
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,24,117
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,104,117
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,14,117
ENSG00000163466.15,chr2,218253890,218256753,PAS,True,27,197
ENSG00000163466.15,chr2,218249820,218250680,PAS,True,171,197
ENSG00000171103.10,chr2,28869578,28870311,TSS,True,15,103
ENSG00000171103.10,chr2,28869559,28870320,TSS,True,89,103
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,11,107
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,396,1394
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,1106,1394
ENSG00000115368.9,chr2,189475212,189475582,PAS,True,22,163
ENSG00000118961.14,chr2,20701652,20774809,ES,False,26,206
ENSG00000118961.14,chr2,20774979,20801309,ES,False,19,150
ENSG00000118961.14,chr2,20790398,20801309,5AS,False,131,159
ENSG00000118961.14,chr2,20790398,20823036,ES,False,20,176
ENSG00000168958.19,chr2,227325427,227330625,ES,False,25,157
ENSG00000168958.19,chr2,227340380,227355676,ES,False,90,174
ENSG00000243943.9,chr2,27583002,27583142,TSS,True,20,144
ENSG00000121152.9,chr2,96335848,96341674,3AS,False,42,112
ENSG00000121152.9,chr2,96335735,96335848,TSS,True,18,135
ENSG00000121152.9,chr2,96373291,96375925,PAS,True,90,135
ENSG00000121152.9,chr2,96360142,96360343,PAS,True,60,134
ENSG00000040341.17,chr8,73688813,73738283,ES,False,122,141
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,93,165
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,81,163
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,23,165
ENSG00000104738.17,chr8,47960498,47961014,TSS,True,58,573
ENSG00000104738.17,chr8,47976685,47979183,PAS,True,76,568
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,88,211
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,127,201
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,152,217
ENSG00000164754.14,chr8,116866585,116866763,TSS,True,162,214
ENSG00000164754.14,chr8,116874362,116874613,TSS,False,179,217
ENSG00000023287.12,chr8,52684013,52686852,ES,False,14,128
ENSG00000164808.16,chr8,47260898,47260991,TSS,True,19,102
ENSG00000070718.11,chr8,42152987,42153105,TSS,True,24,135
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,39,346
ENSG00000121005.8,chr8,74984501,74984920,TSS,True,14,125
ENSG00000121005.8,chr8,75032190,75034387,PAS,True,14,124
ENSG00000078674.17,chr8,17939861,17947185,ES,False,121,192
ENSG00000078674.17,chr8,17922713,17923188,TSS,True,33,223
ENSG00000078674.17,chr8,17952969,17954455,PAS,True,157,199
ENSG00000078674.17,chr8,17960314,17960405,PAS,True,132,204
ENSG00000155096.13,chr8,102843747,102858012,ES,False,109,148
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,21,167
ENSG00000164961.15,chr8,125024259,125024673,PAS,True,13,100
ENSG00000164961.15,chr8,125091614,125091823,TSS,True,12,100
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,27,154
ENSG00000198363.17,chr8,61643433,61644599,ES,False,19,156
ENSG00000198363.17,chr8,61644632,61651049,ES,False,38,155
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,44,164
ENSG00000169398.19,chr8,140864399,140890542,ES,False,44,153
ENSG00000169398.19,chr8,140890769,141001124,ES,False,59,145
ENSG00000169398.19,chr8,140658381,140659678,PAS,True,55,202
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,56,204
ENSG00000169490.16,chr8,38995405,38996212,3AS,False,91,110
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,73,496
ENSG00000161016.17,chr8,144791991,144792215,TSS,True,444,496
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,41,364
ENSG00000182307.13,chr8,145052497,145052585,IR,False,85,131
ENSG00000182307.13,chr8,145052437,145052497,TSS,False,59,145
ENSG00000182307.13,chr8,145052464,145052897,TSS,True,99,144
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,16,135
ENSG00000186106.11,chr8,100559710,100559773,TSS,False,20,138
ENSG00000153310.19,chr8,129871496,129903311,ES,False,69,258
ENSG00000153310.19,chr8,129903350,129939607,ES,False,137,225
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,44,271
ENSG00000136982.5,chr8,119847080,119853046,ES,True,20,160
ENSG00000179950.13,chr8,143818534,143821596,ES,False,135,278
ENSG00000179950.13,chr8,143821913,143829279,ES,False,64,254
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,31,191
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,32,287
ENSG00000170791.17,chr8,56211837,56214597,ES,False,63,103
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,69,103
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,264,457
ENSG00000164924.17,chr8,100952849,100953334,TSS,True,395,457
ENSG00000164830.18,chr8,106726309,106739457,ES,False,57,104
ENSG00000129691.15,chr8,38105516,38105738,TSS,True,36,124
ENSG00000129691.15,chr8,38105528,38106139,TSS,True,99,124
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,33,243
ENSG00000175305.17,chr8,94895176,94895233,TSS,True,26,118
ENSG00000136960.12,chr8,119580167,119582429,5AS,False,79,167
ENSG00000136960.12,chr8,119638747,119638893,TSS,True,112,173
ENSG00000136960.12,chr8,119673251,119673698,TSS,False,72,173
ENSG00000184661.13,chr8,25460300,25460383,IR,False,173,207
ENSG00000184661.13,chr8,25503544,25506509,5AS,True,105,117
ENSG00000184661.13,chr8,25506509,25511308,PAS,True,91,210
ENSG00000184661.13,chr8,25488551,25491216,PAS,True,146,210
ENSG00000129696.12,chr8,33498721,33499277,PAS,True,15,107
ENSG00000129696.12,chr8,33511966,33513162,TSS,True,66,107
ENSG00000129696.12,chr8,33513081,33513153,TSS,False,57,107
ENSG00000168078.9,chr8,27833133,27837709,5AS,False,23,200
ENSG00000168078.9,chr8,27837709,27837866,TSS,True,179,202
ENSG00000168078.9,chr8,27837651,27837829,TSS,True,25,202
ENSG00000253729.7,chr8,47786723,47789049,PAS,True,214,248
ENSG00000253729.7,chr8,47915338,47915418,PAS,True,160,182
ENSG00000253729.7,chr8,47918276,47918383,PAS,True,150,182
ENSG00000253729.7,chr8,47928572,47930012,PAS,True,105,180
ENSG00000253729.7,chr8,47959972,47960199,TSS,True,88,263
ENSG00000104763.18,chr8,18083980,18084373,TSS,True,38,213
ENSG00000104763.18,chr8,18084675,18084978,TSS,True,184,213
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,218,861
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,24,115
ENSG00000104613.11,chr8,19851648,19852081,PAS,True,24,177
ENSG00000092964.17,chr8,26577739,26578293,TSS,False,79,108
ENSG00000104490.17,chr8,101719648,101790861,ES,False,185,221
ENSG00000104490.17,chr8,101790861,101791008,TSS,True,186,407
ENSG00000104490.17,chr8,102124236,102124448,TSS,True,362,415
ENSG00000198791.11,chr8,17226029,17230848,PAS,True,33,111
ENSG00000198791.11,chr8,17229227,17232537,PAS,True,90,108
ENSG00000198791.11,chr8,17246674,17246871,TSS,True,19,118
ENSG00000064313.11,chr8,119730770,119732186,PAS,True,93,108
ENSG00000064313.11,chr8,119788334,119788447,PAS,False,28,104
ENSG00000064313.11,chr8,119832481,119834349,TSS,True,19,108
ENSG00000047249.17,chr8,53801896,53814661,ES,False,90,249
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,106,212
ENSG00000070756.15,chr8,100706650,100706798,TSS,True,159,208
ENSG00000104320.13,chr8,89933325,89935612,PAS,True,105,121
ENSG00000104320.13,chr8,89953033,89953691,PAS,True,64,118
ENSG00000104320.13,chr8,89955283,89955555,PAS,True,79,117
ENSG00000104320.13,chr8,89984524,89984709,TSS,True,14,123
ENSG00000104549.11,chr8,124998466,124999694,TSS,True,34,222
ENSG00000164751.14,chr8,76986296,76999989,ES,False,27,144
ENSG00000188343.12,chr8,93728204,93731798,PAS,True,30,181
ENSG00000188343.12,chr8,93704908,93705948,PAS,True,162,181
ENSG00000133872.13,chr8,30070059,30082846,ES,False,84,787
ENSG00000128915.11,chr15,60468162,60476062,3AS,False,61,144
ENSG00000128915.11,chr15,60419606,60423762,PAS,True,39,155
ENSG00000128915.11,chr15,60479002,60479217,TSS,True,16,156
ENSG00000174197.16,chr15,41660093,41660525,TSS,False,59,122
ENSG00000174197.16,chr15,41762128,41762210,PAS,True,99,118
ENSG00000159322.17,chr15,72783458,72783781,TSS,True,12,102
ENSG00000104164.10,chr15,45587525,45605427,ES,False,20,123
ENSG00000104164.10,chr15,45587180,45587525,TSS,True,22,148
ENSG00000137824.15,chr15,40755082,40755282,TSS,True,37,100
ENSG00000137824.15,chr15,40755198,40755282,TSS,True,66,100
ENSG00000140262.17,chr15,57251423,57253261,ES,False,93,172
ENSG00000140262.17,chr15,56918481,56918906,TSS,True,130,225
ENSG00000140262.17,chr15,57219372,57219590,TSS,True,159,220
ENSG00000140262.17,chr15,57286156,57291295,PAS,True,129,209
ENSG00000140262.17,chr15,57282444,57288508,PAS,True,179,199
ENSG00000140262.17,chr15,57262093,57262196,PAS,False,135,196
ENSG00000140262.17,chr15,57263111,57263870,PAS,False,163,197
ENSG00000174442.11,chr15,66505391,66508840,3AS,False,153,191
ENSG00000174442.11,chr15,66548350,66550130,PAS,True,101,214
ENSG00000174442.11,chr15,66546590,66546705,PAS,True,121,213
ENSG00000140455.16,chr15,63504830,63532646,ES,False,96,121
ENSG00000140455.16,chr15,63590660,63594641,PAS,True,33,136
ENSG00000140455.16,chr15,63588304,63588372,PAS,False,108,136
ENSG00000137807.15,chr15,69423329,69426069,ES,False,122,229
ENSG00000137807.15,chr15,69438247,69438390,PAS,False,77,232
ENSG00000137807.15,chr15,69447791,69448427,PAS,True,171,237
ENSG00000103671.9,chr15,64387771,64387964,TSS,True,23,102
ENSG00000103671.9,chr15,64387835,64388048,TSS,True,87,102
ENSG00000103671.9,chr15,64454996,64455303,PAS,True,14,101
ENSG00000104064.17,chr15,50289665,50300788,3AS,False,15,145
ENSG00000104064.17,chr15,50300902,50301256,5AS,False,96,140
ENSG00000104064.17,chr15,50277251,50278784,PAS,True,27,146
ENSG00000104064.17,chr15,50283536,50286183,PAS,True,120,146
ENSG00000140374.15,chr15,76292700,76311349,ES,False,57,181
ENSG00000140374.15,chr15,76311349,76311487,TSS,True,24,217
ENSG00000140374.15,chr15,76295590,76295738,TSS,True,194,217
ENSG00000140553.17,chr15,90935330,90935543,5AS,False,83,135
ENSG00000140553.17,chr15,90935216,90935330,TSS,True,63,146
ENSG00000140553.17,chr15,90935268,90935375,TSS,True,94,146
ENSG00000140463.13,chr15,72686184,72686251,TSS,True,20,130
ENSG00000167004.12,chr15,43771104,43773277,PAS,True,221,1315
ENSG00000167004.12,chr15,43769517,43769566,PAS,True,1158,1315
ENSG00000198901.13,chr15,90967202,90969523,5AS,False,81,148
ENSG00000198901.13,chr15,90966037,90967202,PAS,True,48,201
ENSG00000198901.13,chr15,90966037,90966653,PAS,True,187,208
ENSG00000198901.13,chr15,90994406,90994772,TSS,True,46,208
ENSG00000138614.14,chr15,65611097,65611613,TSS,True,61,148
ENSG00000138614.14,chr15,65610795,65611148,TSS,True,115,148
ENSG00000140575.12,chr15,90388211,90388396,TSS,True,35,191
