gene,chr,start,end,splice_type,novel,upper_lobe_of_right_lung_ENCFF449MVA_in_cov,upper_lobe_of_right_lung_ENCFF449MVA_total_cov
ENSG00000128699.13,chr2,189782602,189783013,IR,False,30,102
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,80,143
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,83,143
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,93,124
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,15,140
ENSG00000170745.11,chr2,17878620,17878806,TSS,True,11,103
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,16,138
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,76,364
ENSG00000151690.14,chr2,190408503,190435976,ES,False,68,104
ENSG00000151690.14,chr2,190407987,190408503,TSS,False,15,119
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,34,226
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,194,226
ENSG00000068724.15,chr2,46941070,46941725,TSS,True,47,144
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,28,121
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,104,120
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,40,136
ENSG00000114978.17,chr2,74159090,74159138,TSS,True,113,135
ENSG00000169764.15,chr2,63841232,63856305,ES,False,114,127
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,68,198
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,134,197
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,27,200
ENSG00000144043.11,chr2,70994687,70994882,TSS,False,39,148
ENSG00000115221.11,chr2,160099665,160101834,PAS,True,20,180
ENSG00000115221.11,chr2,160200002,160200323,TSS,True,53,211
ENSG00000119862.12,chr2,64454409,64454581,TSS,True,14,114
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,41,152
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,30,226
ENSG00000003436.15,chr2,187503770,187554199,ES,False,272,409
ENSG00000128641.18,chr2,191400468,191408114,ES,False,188,230
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,89,254
ENSG00000128641.18,chr2,191364183,191364276,TSS,True,206,241
ENSG00000115380.19,chr2,55922447,55923710,ES,False,390,628
ENSG00000138434.16,chr2,181919446,181921947,ES,False,29,249
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,48,277
ENSG00000172059.10,chr2,10043549,10043758,TSS,False,48,116
ENSG00000172059.10,chr2,10047880,10048595,TSS,True,80,112
ENSG00000123983.13,chr2,222887888,222908732,ES,False,68,116
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,67,156
ENSG00000067066.16,chr2,230416328,230442936,ES,False,15,140
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,60,148
ENSG00000067066.16,chr2,230542835,230545702,PAS,True,129,148
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,44,115
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,32,101
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,70,100
ENSG00000144021.2,chr2,96268658,96269267,IR,False,144,161
ENSG00000135631.16,chr2,73112346,73112979,TSS,True,42,108
ENSG00000135631.16,chr2,73079650,73080356,TSS,True,92,105
ENSG00000135631.16,chr2,73088049,73088407,TSS,False,97,108
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,165,197
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,26,191
ENSG00000171303.6,chr2,26692726,26693158,TSS,True,38,188
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,67,414
ENSG00000115524.15,chr2,197418588,197420427,IR,True,177,202
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,41,252
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,14,124
ENSG00000018280.16,chr2,218382004,218382375,TSS,True,81,214
ENSG00000018280.16,chr2,218394924,218396901,PAS,True,42,180
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,27,111
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,99,111
ENSG00000068912.13,chr2,53801842,53809213,ES,False,37,191
ENSG00000144224.16,chr2,135753567,135754158,IR,False,157,183
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,167,187
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,37,190
ENSG00000135929.8,chr2,218781732,218782437,TSS,True,87,534
ENSG00000125629.14,chr2,118088460,118088541,TSS,True,15,105
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,118,666
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,100,123
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,101,123
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,58,114
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,84,114
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,94,114
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,91,326
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,245,326
ENSG00000196872.11,chr2,98794671,98796119,3AS,True,134,172
ENSG00000196872.11,chr2,98793844,98794671,PAS,False,44,178
ENSG00000196872.11,chr2,98793844,98794674,PAS,True,140,178
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,139,180
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,78,180
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,20,154
ENSG00000241399.6,chr2,159780998,159798131,ES,False,23,138
ENSG00000091409.14,chr2,172498100,172504090,ES,False,72,125
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,28,135
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,92,125
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,46,138
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,105,138
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,29,207
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,77,205
ENSG00000136536.14,chr2,159712661,159729008,ES,False,113,128
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,91,221
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,134,221
ENSG00000115306.15,chr2,54456274,54456518,TSS,True,329,388
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,318,362
ENSG00000115306.15,chr2,54663518,54664691,TSS,True,281,314
ENSG00000115306.15,chr2,54661030,54663690,TSS,True,281,315
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,76,356
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,15,105
ENSG00000186522.14,chr2,109544324,109546049,IR,True,136,181
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,48,185
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,139,183
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,389,466
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,95,466
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,100,300
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,73,705
ENSG00000079308.18,chr2,217799788,217804603,PAS,True,83,813
ENSG00000079308.18,chr2,217817713,217818759,PAS,True,57,102
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,426,1087
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,41,228
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,203,228
ENSG00000115602.16,chr2,102336904,102337337,TSS,True,16,122
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,232,596
ENSG00000144567.10,chr2,219178219,219178633,TSS,True,33,128
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,177,530
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,413,530
ENSG00000055813.5,chr2,56193440,56384265,ES,True,31,135
ENSG00000064989.12,chr2,187385631,187387665,ES,False,52,351
ENSG00000064989.12,chr2,187387756,187448038,ES,False,160,351
ENSG00000064989.12,chr2,187431364,187448038,ES,False,175,196
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,38,238
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,26,118
ENSG00000115295.19,chr2,29181571,29183952,PAS,True,16,116
ENSG00000115295.19,chr2,29157203,29159707,PAS,True,103,115
ENSG00000115414.18,chr2,215372015,215372108,IR,False,171,261
ENSG00000115414.18,chr2,215372015,215373321,ES,False,143,312
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,143,233
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,61,261
ENSG00000115414.18,chr2,215379317,215382211,ES,False,255,381
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,152,578
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,252,581
ENSG00000143727.15,chr2,271939,275139,ME,False,21,126
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,166,270
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,41,285
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,38,285
ENSG00000119729.11,chr2,46543188,46576086,ES,False,16,146
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,103,325
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,94,129
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,44,129
ENSG00000168878.16,chr2,85658855,85661453,3AS,False,5108,9072
ENSG00000168878.16,chr2,85658859,85661453,IR,True,233,271
ENSG00000168878.16,chr2,85659603,85661453,IR,True,111,149
ENSG00000168878.16,chr2,85661050,85661453,IR,True,17,159
ENSG00000168878.16,chr2,85661506,85662028,IR,True,52,113
ENSG00000168878.16,chr2,85663479,85663663,3AS,False,3002,13853
ENSG00000168878.16,chr2,85663491,85665288,IR,True,24,101
ENSG00000168878.16,chr2,85663847,85665605,3AS,True,17,107
ENSG00000168878.16,chr2,85657681,85659682,PAS,True,7021,18528
ENSG00000168878.16,chr2,85657677,85658855,PAS,True,14232,19339
ENSG00000168878.16,chr2,85668116,85668418,TSS,True,7935,19471
ENSG00000168878.16,chr2,85662028,85662081,TSS,True,16024,19432
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,61,123
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,66,117
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,62,109
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,50,241
ENSG00000138061.11,chr2,38074345,38075284,TSS,True,210,241
ENSG00000115594.11,chr2,102142675,102143020,TSS,False,82,273
ENSG00000153250.19,chr2,160281364,160284774,ES,False,79,105
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,58,106
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,93,114
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,28,114
ENSG00000135956.8,chr2,96265489,96265868,3AS,True,83,146
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,39,188
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,22,172
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,48,205
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,25,235
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,83,112
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,36,112
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,18,112
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,93,107
ENSG00000115884.10,chr2,20203812,20204195,TSS,True,348,419
ENSG00000115884.10,chr2,20224801,20225140,TSS,True,215,419
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,20,140
ENSG00000120899.17,chr8,27325473,27325681,TSS,True,60,109
ENSG00000120899.17,chr8,27434096,27434132,TSS,True,89,109
ENSG00000179526.16,chr8,144099199,144099276,3AS,True,18,158
ENSG00000179526.16,chr8,144099205,144099276,IR,True,140,164
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,28,207
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,35,178
ENSG00000164754.14,chr8,116874362,116874613,TSS,False,159,178
ENSG00000154359.12,chr8,12736764,12736899,3AS,False,41,103
ENSG00000154359.12,chr8,12721893,12723254,PAS,True,13,115
ENSG00000154359.12,chr8,12754699,12755615,TSS,False,13,115
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,50,136
ENSG00000185189.17,chr8,143835730,143835819,IR,False,64,106
ENSG00000185189.17,chr8,143839549,143839735,IR,False,34,103
ENSG00000185189.17,chr8,143833577,143835875,PAS,True,81,116
ENSG00000185189.17,chr8,143833184,143835730,PAS,True,46,116
ENSG00000185189.17,chr8,143840705,143841248,TSS,True,29,128
ENSG00000156675.15,chr8,37858889,37863113,PAS,True,15,135
ENSG00000156675.15,chr8,37899070,37899513,TSS,True,125,212
ENSG00000156675.15,chr8,37871277,37872894,TSS,True,178,200
ENSG00000156675.15,chr8,37874514,37874842,TSS,True,182,206
ENSG00000184489.11,chr8,141391976,141392084,TSS,True,130,145
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,73,145
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,127,145
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,34,104
ENSG00000155096.13,chr8,102858012,102858150,TSS,True,81,104
ENSG00000120896.13,chr8,22565287,22565872,TSS,True,126,154
ENSG00000120896.13,chr8,22569276,22571221,TSS,True,131,151
ENSG00000120896.13,chr8,22551319,22552022,TSS,True,129,160
ENSG00000120896.13,chr8,22574666,22575496,PAS,True,14,129
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,90,102
ENSG00000078668.13,chr8,42402015,42403310,IR,True,88,102
ENSG00000197858.10,chr8,144083500,144083713,IR,False,198,236
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,35,265
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,87,114
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,78,110
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,102,116
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,37,266
ENSG00000155926.13,chr8,133074852,133075027,TSS,True,17,130
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,18,160
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,37,248
ENSG00000198363.17,chr8,61643433,61644599,ES,False,91,251
ENSG00000198363.17,chr8,61644632,61651049,ES,False,78,253
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,160,265
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,116,260
ENSG00000180900.18,chr8,143791440,143791875,ES,False,96,113
ENSG00000180900.18,chr8,143805111,143805975,TSS,True,109,123
ENSG00000180900.18,chr8,143808608,143808988,TSS,False,107,123
ENSG00000180900.18,chr8,143815213,143815816,TSS,False,92,127
ENSG00000120913.23,chr8,22579087,22579527,TSS,True,95,167
ENSG00000120913.23,chr8,22586570,22589374,TSS,True,131,167
ENSG00000120913.23,chr8,22588586,22589741,TSS,True,146,166
ENSG00000147533.16,chr8,41506012,41507058,3AS,False,87,100
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,23,107
ENSG00000147533.16,chr8,41490582,41490965,TSS,True,95,107
ENSG00000158941.16,chr8,22604637,22604842,TSS,True,59,170
ENSG00000158941.16,chr8,22612103,22613136,TSS,True,141,170
ENSG00000169398.19,chr8,140890769,141001124,ES,False,40,103
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,62,166
ENSG00000169398.19,chr8,140718316,140718672,TSS,True,136,159
ENSG00000104368.17,chr8,42207493,42207677,TSS,True,26,107
ENSG00000134020.7,chr8,22713245,22713536,PAS,False,79,231
ENSG00000134020.7,chr8,22920183,22920280,TSS,True,136,157
ENSG00000134020.7,chr8,22927822,22928009,TSS,False,38,172
ENSG00000168487.18,chr8,22164896,22165553,TSS,True,68,101
ENSG00000147649.9,chr8,97691188,97706625,ES,False,27,217
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,169,226
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,62,226
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,713,1327
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,23,130
ENSG00000164823.10,chr8,89902516,89902837,TSS,True,19,128
ENSG00000179832.17,chr8,144147960,144148076,TSS,True,77,122
ENSG00000179832.17,chr8,144261654,144262633,PAS,True,28,120
ENSG00000164733.20,chr8,11853479,11868000,ME,False,338,376
ENSG00000164733.20,chr8,11853479,11868000,ME,False,338,376
ENSG00000164733.20,chr8,11853479,11864375,ES,False,337,377
ENSG00000164733.20,chr8,11853479,11868000,ES,False,2513,2933
ENSG00000104522.15,chr8,143614453,143614623,IR,False,72,109
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,40,120
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,41,276
ENSG00000153310.19,chr8,129871496,129903311,ES,False,15,142
ENSG00000153310.19,chr8,129903350,129970942,ES,False,81,124
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,127,143
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,30,149
ENSG00000185000.11,chr8,144326436,144327477,TSS,True,26,102
ENSG00000179950.13,chr8,143818534,143821596,ES,False,148,263
ENSG00000179950.13,chr8,143821913,143829279,ES,False,42,261
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,32,219
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,38,298
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,19,138
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,71,138
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,73,129
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,72,317
ENSG00000160932.10,chr8,143018463,143018586,TSS,True,51,370
ENSG00000168484.12,chr8,22161870,22163079,5AS,True,142,279
ENSG00000168484.12,chr8,22161870,22163079,IR,True,142,261
ENSG00000168484.12,chr8,22162739,22163079,IR,True,25,185
ENSG00000168484.12,chr8,22163546,22163900,3AS,False,10223,29623
ENSG00000168484.12,chr8,22164051,22164265,5AS,True,9366,26911
ENSG00000168484.12,chr8,22164051,22164265,IR,False,9366,13188
ENSG00000168484.12,chr8,22164059,22164265,IR,False,17439,21259
ENSG00000168484.12,chr8,22164061,22164426,3AS,True,35,148
ENSG00000168484.12,chr8,22164265,22164479,PAS,True,3915,30830
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,142,494
ENSG00000164924.17,chr8,100953268,100953476,TSS,True,442,495
ENSG00000168672.3,chr8,126558033,126558478,TSS,False,35,114
ENSG00000104518.10,chr8,143559969,143560602,IR,False,186,250
ENSG00000104518.10,chr8,143560771,143561001,IR,False,185,257
ENSG00000104518.10,chr8,143561104,143561369,IR,False,224,269
ENSG00000104518.10,chr8,143558294,143558451,TSS,True,81,288
ENSG00000104518.10,chr8,143558338,143559552,TSS,True,250,288
ENSG00000132294.14,chr8,131904055,131904322,TSS,True,22,157
ENSG00000104365.14,chr8,42271239,42271469,TSS,False,39,122
ENSG00000104365.14,chr8,42330913,42332460,PAS,True,13,115
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,29,240
ENSG00000147813.15,chr8,143574900,143574985,IR,False,179,216
ENSG00000147813.15,chr8,143575093,143575190,IR,False,163,212
ENSG00000147813.15,chr8,143576162,143576431,IR,False,170,213
ENSG00000147813.15,chr8,143576842,143577061,IR,False,166,200
ENSG00000147813.15,chr8,143577177,143577268,IR,False,175,199
ENSG00000147813.15,chr8,143577943,143578092,IR,False,164,204
ENSG00000147813.15,chr8,143574779,143574900,PAS,True,37,222
ENSG00000147813.15,chr8,143574783,143575345,PAS,True,196,219
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,58,222
ENSG00000147813.15,chr8,143577815,143578644,TSS,True,184,222
ENSG00000008853.16,chr8,22999548,23000105,TSS,True,228,263
ENSG00000008853.16,chr8,23005891,23007746,TSS,True,208,259
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,43,428
ENSG00000104529.17,chr8,143586852,143597347,ES,False,341,385
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,131,563
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,479,562
ENSG00000164741.14,chr8,13099346,13100566,TSS,True,194,300
ENSG00000164741.14,chr8,13132943,13133293,TSS,True,166,304
