gene,chr,start,end,splice_type,novel,ovary_ENCFF583MSU_in_cov,ovary_ENCFF583MSU_total_cov
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,35,245
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,62,232
ENSG00000205726.14,chr21,33767712,33767813,PAS,True,204,227
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,49,309
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,276,309
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,77,310
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,613,777
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,487,578
ENSG00000142173.14,chr21,46125795,46126237,TSS,True,508,578
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,511,777
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,37,122
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,23,123
ENSG00000160285.14,chr21,46187298,46188821,PAS,True,149,169
ENSG00000160285.14,chr21,46188445,46191235,PAS,True,42,147
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,140,169
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,146,168
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,105,152
ENSG00000123999.4,chr2,219572289,219572642,TSS,False,19,182
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,365,1708
ENSG00000115053.15,chr2,231459012,231459125,PAS,True,1508,1683
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,133,792
ENSG00000150540.13,chr2,137964295,137964628,TSS,True,33,240
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,67,426
ENSG00000151353.14,chr2,675630,677288,ES,True,89,100
ENSG00000151353.14,chr2,675630,677288,3AS,True,89,101
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,60,119
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,72,126
ENSG00000204843.12,chr2,74377999,74378249,TSS,True,105,126
ENSG00000204120.14,chr2,232697392,232703423,ES,False,233,283
ENSG00000204120.14,chr2,232703489,232735154,ES,False,195,290
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,56,380
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,230,377
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,338,378
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,281,375
ENSG00000158019.20,chr2,28298491,28338449,ES,True,145,188
ENSG00000138073.13,chr2,27133337,27133531,IR,False,1020,1187
ENSG00000138073.13,chr2,27133337,27134286,3AS,False,21,144
ENSG00000115073.7,chr2,97658643,97658878,IR,False,138,167
ENSG00000115073.7,chr2,97663842,97664042,TSS,True,34,193
ENSG00000124006.14,chr2,219556292,219556453,IR,True,158,249
ENSG00000124006.14,chr2,219558110,219559224,ES,False,57,174
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,495,621
ENSG00000124006.14,chr2,219554880,219556723,PAS,True,528,617
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,89,434
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,623,701
ENSG00000124006.14,chr2,219558183,219559261,TSS,True,302,345
ENSG00000124006.14,chr2,219559224,219559543,TSS,False,249,346
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,563,701
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,625,701
ENSG00000162976.12,chr2,11164261,11174967,ES,False,14,134
ENSG00000162976.12,chr2,11172045,11177736,ES,False,14,138
ENSG00000196504.16,chr2,152677475,152679351,ES,False,45,236
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,179,231
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,45,240
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,98,246
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,194,246
ENSG00000115461.4,chr2,216672105,216676882,PAS,False,253,283
ENSG00000074582.13,chr2,218661520,218661758,5AS,False,30,123
ENSG00000074582.13,chr2,218662260,218662514,3AS,False,16,129
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,104,133
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,55,133
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,53,465
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,370,430
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,104,463
ENSG00000183513.8,chr2,98604191,98608306,5AS,False,87,101
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,27,115
ENSG00000183513.8,chr2,98604107,98608481,TSS,True,103,115
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,29,104
ENSG00000115648.13,chr2,237518648,237525600,ES,False,40,258
ENSG00000115648.13,chr2,237527516,237540347,ES,False,143,258
ENSG00000115648.13,chr2,237540533,237542566,ES,False,45,265
ENSG00000115648.13,chr2,237542659,237546605,3AS,True,220,252
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,58,285
ENSG00000198399.14,chr2,24315224,24328051,ES,False,115,140
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,127,160
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,123,160
ENSG00000198399.14,chr2,24284915,24286351,PAS,False,142,160
ENSG00000198399.14,chr2,24291507,24293775,PAS,True,130,160
ENSG00000198399.14,chr2,24297982,24298814,PAS,True,137,160
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,311,946
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,818,945
ENSG00000196912.12,chr2,97547535,97547608,PAS,False,84,104
ENSG00000196912.12,chr2,97551311,97551361,PAS,False,48,104
ENSG00000011523.13,chr2,65074404,65082535,ES,True,13,109
ENSG00000011523.13,chr2,65056353,65056524,TSS,True,105,146
ENSG00000011523.13,chr2,65056401,65056528,TSS,True,103,146
ENSG00000011523.13,chr2,65069398,65069801,TSS,True,121,146
ENSG00000011523.13,chr2,65071588,65072980,TSS,True,108,142
ENSG00000011523.13,chr2,65083638,65087004,PAS,False,32,143
ENSG00000011523.13,chr2,65074281,65075271,PAS,True,115,143
ENSG00000065911.11,chr2,74198742,74205704,ES,True,135,152
ENSG00000065911.11,chr2,74198742,74207703,ES,False,34,187
ENSG00000082153.17,chr2,200822146,200823846,PAS,True,19,171
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,44,159
ENSG00000136732.15,chr2,126656312,126693863,ES,False,14,111
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,1353,1506
ENSG00000114923.16,chr2,219638869,219639481,IR,True,307,382
ENSG00000114923.16,chr2,219636199,219637811,TSS,True,373,420
ENSG00000114923.16,chr2,219635763,219636450,TSS,True,316,420
ENSG00000115694.14,chr2,241499414,241500172,IR,False,115,131
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,142,167
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,84,167
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,85,411
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,118,152
ENSG00000135931.17,chr2,231270487,231271072,TSS,True,83,147
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,74,124
ENSG00000135931.17,chr2,231371512,231376850,PAS,True,75,144
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,196,362
ENSG00000115677.16,chr2,241247055,241247142,PAS,True,208,262
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,123,238
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,326,389
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,268,389
ENSG00000115677.16,chr2,241242459,241243345,TSS,True,184,211
ENSG00000115307.16,chr2,74528006,74528247,IR,False,492,556
ENSG00000115307.16,chr2,74528489,74528750,IR,True,498,557
ENSG00000115307.16,chr2,74528935,74529131,IR,False,452,561
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,112,151
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,53,152
ENSG00000158552.12,chr2,219208486,219208571,IR,False,99,113
ENSG00000158552.12,chr2,219208639,219208976,IR,False,40,109
ENSG00000158552.12,chr2,219209049,219209261,IR,False,40,109
ENSG00000158552.12,chr2,219206773,219206845,TSS,True,62,118
ENSG00000158552.12,chr2,219206792,219207042,TSS,True,82,118
ENSG00000158552.12,chr2,219208571,219209648,PAS,True,61,115
ENSG00000158552.12,chr2,219209261,219209648,PAS,True,70,115
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,100,125
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,17,140
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,19,102
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,37,105
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,74,105
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,50,112
ENSG00000055332.17,chr2,37109193,37109250,TSS,True,86,106
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,94,112
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,21,102
ENSG00000115685.14,chr2,241153474,241153604,TSS,True,91,102
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,15,102
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,55,312
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,271,312
ENSG00000071082.10,chr2,101006349,101006423,PAS,False,54,312
ENSG00000071082.10,chr2,101018997,101019763,PAS,False,273,312
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,32,151
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,113,152
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,60,152
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,90,236
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,174,236
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,56,148
ENSG00000170035.15,chr2,180981043,180982236,TSS,True,95,148
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,132,268
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,159,268
ENSG00000055044.10,chr2,202290457,202291124,3AS,True,154,173
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,144,177
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,116,177
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,105,177
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,34,276
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,41,220
ENSG00000138381.9,chr2,189670440,189671251,PAS,True,25,228
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,25,239
ENSG00000184182.18,chr2,237994809,238025341,ES,False,26,122
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,29,265
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,189,238
ENSG00000144028.14,chr2,96286687,96286879,TSS,True,177,248
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,26,146
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,26,157
ENSG00000118960.12,chr2,20638652,20645339,ES,True,17,100
ENSG00000118960.12,chr2,20651031,20651157,TSS,True,27,126
ENSG00000162878.12,chr2,42054040,42054307,TSS,True,149,217
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,135,231
ENSG00000162878.12,chr2,42057602,42058528,PAS,True,35,226
ENSG00000071575.11,chr2,12716873,12717010,TSS,True,248,280
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,67,279
ENSG00000115380.19,chr2,55922447,55923710,ES,False,953,1389
ENSG00000153823.18,chr2,229271013,229271353,TSS,True,23,177
ENSG00000135976.18,chr2,97118517,97142639,ES,True,68,109
ENSG00000135976.18,chr2,97142668,97144517,ES,True,44,109
ENSG00000135976.18,chr2,97200452,97200525,PAS,True,96,117
ENSG00000135976.18,chr2,97187328,97187401,PAS,True,104,117
ENSG00000135976.18,chr2,97189217,97189260,PAS,True,100,117
ENSG00000067066.16,chr2,230416328,230442936,ES,False,130,388
ENSG00000067066.16,chr2,230470098,230473383,3AS,False,69,143
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,158,402
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,328,402
ENSG00000168397.16,chr2,241671405,241672190,IR,False,135,154
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,57,193
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,28,172
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,153,172
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,79,117
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,48,127
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,90,127
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,48,153
ENSG00000163516.13,chr2,219229756,219229900,TSS,False,19,101
ENSG00000163516.13,chr2,219236321,219236672,PAS,True,14,101
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,32,269
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,153,1154
ENSG00000143933.16,chr2,47162518,47162666,TSS,True,1026,1154
ENSG00000119203.13,chr2,9472915,9473110,PAS,True,14,138
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,86,765
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,94,724
ENSG00000118004.17,chr2,3613382,3640277,ES,False,23,156
ENSG00000118004.17,chr2,3594708,3595168,TSS,True,27,184
ENSG00000135637.13,chr2,74475115,74475224,IR,False,95,106
ENSG00000135637.13,chr2,74480882,74480955,IR,True,83,100
ENSG00000135637.13,chr2,74471953,74472252,PAS,False,90,108
ENSG00000135637.13,chr2,74473501,74474802,PAS,False,48,108
ENSG00000135637.13,chr2,74473763,74475115,PAS,True,85,108
ENSG00000135637.13,chr2,74481451,74483307,TSS,True,78,108
ENSG00000135637.13,chr2,74481816,74483304,TSS,False,45,108
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,74,436
ENSG00000213626.12,chr2,30257432,30260027,PAS,True,76,375
ENSG00000213626.12,chr2,30234404,30235688,PAS,True,312,369
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,71,120
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,90,510
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,18,147
ENSG00000136717.14,chr2,127050912,127059010,ES,False,51,247
ENSG00000136717.14,chr2,127051243,127059010,ES,False,135,182
ENSG00000136717.14,chr2,127106859,127107329,TSS,True,42,274
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,64,410
ENSG00000144366.15,chr2,188383889,188477658,ES,False,88,113
ENSG00000144366.15,chr2,188529195,188569238,ES,False,11,104
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,29,118
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,97,118
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,21,118
ENSG00000144199.11,chr2,97091712,97094700,ES,False,39,109
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,1109,1507
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,480,1502
ENSG00000135916.15,chr2,230865145,230875619,ES,False,39,316
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,50,368
ENSG00000068912.13,chr2,53801842,53809213,ES,False,31,189
ENSG00000144224.16,chr2,135753567,135754158,IR,False,92,155
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,98,160
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,137,160
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,103,160
ENSG00000163166.14,chr2,127503385,127503576,PAS,True,117,132
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,45,129
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,93,870
ENSG00000168542.14,chr2,188985247,188985664,IR,True,127,145
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,97,238
ENSG00000168542.14,chr2,189011627,189012747,PAS,True,140,234
ENSG00000168542.14,chr2,188987058,188987366,PAS,True,129,147
ENSG00000168542.14,chr2,188997164,188997220,PAS,True,125,164
ENSG00000168542.14,chr2,188996397,188996497,PAS,True,146,164
ENSG00000168542.14,chr2,188998265,188998297,PAS,True,148,171
ENSG00000163359.15,chr2,237324016,237324814,PAS,True,114,257
ENSG00000163359.15,chr2,237358554,237358583,PAS,True,70,109
ENSG00000163359.15,chr2,237359032,237359088,PAS,True,98,109
ENSG00000163359.15,chr2,237336134,237336532,TSS,True,119,145
ENSG00000163359.15,chr2,237334625,237334820,TSS,False,97,144
ENSG00000163359.15,chr2,237340451,237340848,TSS,False,93,145
ENSG00000163359.15,chr2,237413952,237414379,TSS,True,216,258
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,63,164
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,144,164
ENSG00000163798.13,chr2,27669247,27669303,PAS,True,145,164
ENSG00000132323.8,chr2,238188257,238189862,5AS,False,46,164
ENSG00000132323.8,chr2,238194331,238194804,5AS,False,129,168
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,148,216
ENSG00000136718.9,chr2,130342935,130343085,IR,False,148,205
ENSG00000136718.9,chr2,130342962,130343085,IR,False,68,125
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,141,289
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,221,289
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,231,289
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,288,1745
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1490,1745
ENSG00000119801.12,chr2,30147062,30156627,ES,False,433,498
ENSG00000144589.21,chr2,219614546,219615093,IR,True,146,183
ENSG00000144589.21,chr2,219605441,219605734,TSS,True,192,217
ENSG00000144589.21,chr2,219608047,219608430,TSS,False,119,213
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,455,517
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,147,181
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,127,181
ENSG00000123989.13,chr2,219540945,219541087,TSS,True,151,174
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,29,119
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,99,114
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,18,131
ENSG00000168883.19,chr2,85616456,85619219,5AS,False,16,156
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,174,200
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,57,198
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,94,135
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,49,143
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,102,143
ENSG00000173960.13,chr2,23926184,23927615,TSS,True,95,106
ENSG00000173960.13,chr2,23940398,23940648,TSS,False,12,106
ENSG00000144591.18,chr2,219498938,219499960,3AS,False,32,105
ENSG00000144591.18,chr2,219498826,219498938,TSS,False,13,119
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,102,290
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,43,297
ENSG00000115306.15,chr2,54649136,54649989,TSS,True,92,103
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,55,109
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,101,188
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,123,214
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,108,214
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,70,208
ENSG00000075292.18,chr2,71363152,71364931,PAS,True,174,205
ENSG00000115239.21,chr2,53750941,53786820,ES,False,29,141
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,19,160
ENSG00000186522.14,chr2,109544324,109546049,IR,True,84,103
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,40,124
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,102,121
ENSG00000136682.14,chr2,113438022,113441350,ES,False,130,154
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,219,261
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,94,261
ENSG00000079308.18,chr2,217814998,217817689,IR,True,114,140
ENSG00000079308.18,chr2,217799788,217804603,PAS,True,78,186
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,155,266
ENSG00000196208.13,chr2,11539639,11540108,TSS,False,107,167
ENSG00000196208.13,chr2,11580703,11585053,PAS,True,69,108
ENSG00000196208.13,chr2,11576352,11577034,PAS,True,92,106
ENSG00000196208.13,chr2,11602405,11602488,PAS,True,104,116
ENSG00000196208.13,chr2,11640290,11642920,PAS,True,121,143
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,165,350
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,200,350
ENSG00000115657.13,chr2,219216465,219217669,ES,False,22,212
ENSG00000115657.13,chr2,219216465,219218124,ES,True,31,253
ENSG00000196843.15,chr2,96547517,96549752,ES,False,65,130
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,23,116
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,100,114
ENSG00000115042.9,chr2,95402872,95405552,ES,False,76,100
ENSG00000115042.9,chr2,95402872,95405552,5AS,False,76,109
ENSG00000115042.9,chr2,95410586,95410863,IR,False,107,121
ENSG00000115042.9,chr2,95410586,95412433,ES,True,12,119
ENSG00000115042.9,chr2,95412542,95412676,IR,True,109,130
ENSG00000115042.9,chr2,95412764,95412894,IR,True,110,128
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,50,154
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,124,154
ENSG00000115042.9,chr2,95412894,95415547,PAS,True,35,144
ENSG00000115042.9,chr2,95413965,95416616,PAS,True,133,148
ENSG00000115840.13,chr2,171781399,171785475,PAS,True,17,118
ENSG00000115840.13,chr2,171894202,171894530,TSS,True,16,111
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,116,153
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,117,153
ENSG00000115816.14,chr2,37222425,37222563,PAS,True,128,152
ENSG00000115816.14,chr2,37211142,37216208,PAS,True,130,153
ENSG00000115641.18,chr2,105386540,105398841,ES,False,1519,2313
ENSG00000115641.18,chr2,105386540,105398969,ES,False,1030,1462
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,1030,3347
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,430,1223
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,2841,4305
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,1990,4305
ENSG00000084764.11,chr2,27024252,27025582,5AS,False,50,169
ENSG00000143995.19,chr2,66435123,66435868,TSS,True,87,127
ENSG00000143995.19,chr2,66438259,66439984,TSS,True,109,125
ENSG00000143995.19,chr2,66437322,66437963,TSS,True,107,127
ENSG00000143995.19,chr2,66571245,66573868,PAS,True,17,108
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,62,229
ENSG00000079785.14,chr2,15627053,15628207,PAS,True,184,229
ENSG00000186854.10,chr2,84821648,84822100,PAS,True,97,317
ENSG00000186854.10,chr2,84834403,84838241,PAS,True,241,305
ENSG00000186854.10,chr2,84880931,84881316,TSS,True,36,317
ENSG00000119004.15,chr2,203239134,203251966,ES,False,54,178
ENSG00000119004.15,chr2,203245895,203251966,ES,False,49,123
ENSG00000119004.15,chr2,203266681,203278572,ES,False,26,168
ENSG00000119004.15,chr2,203296757,203299872,PAS,True,25,187
ENSG00000144579.7,chr2,218400004,218400157,TSS,True,125,169
ENSG00000144579.7,chr2,218403318,218403417,TSS,True,148,169
ENSG00000144579.7,chr2,218401561,218401712,TSS,True,152,169
ENSG00000198612.10,chr2,237086042,237087126,IR,True,129,152
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,29,159
ENSG00000198612.10,chr2,237097662,237102019,PAS,True,25,156
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,85,123
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,46,123
ENSG00000143727.15,chr2,271939,275139,ME,False,147,419
ENSG00000143727.15,chr2,271939,272191,ES,False,153,233
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,64,101
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,19,122
ENSG00000144118.13,chr2,120278613,120278778,TSS,True,109,122
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,37,116
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,59,171
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,151,171
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,110,171
ENSG00000115415.18,chr2,190984309,190984395,TSS,True,66,146
ENSG00000163466.15,chr2,218253890,218256753,PAS,True,124,827
ENSG00000163466.15,chr2,218249820,218250680,PAS,True,723,827
ENSG00000119820.10,chr2,32305488,32307928,PAS,True,22,109
ENSG00000119820.10,chr2,32307103,32307928,PAS,False,96,109
