gene,chr,start,end,splice_type,novel,IMR-90_ENCFF545PJV_in_cov,IMR-90_ENCFF545PJV_total_cov
ENSG00000115307.16,chr2,74528935,74529131,IR,False,89,100
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,46,150
ENSG00000116016.13,chr2,46380334,46380717,TSS,True,72,107
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,24,109
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,305,1306
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,196,470
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,370,470
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,400,470
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,21,119
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,15,119
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,82,119
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,63,119
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,52,100
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,134,168
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,56,103
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,37,198
ENSG00000003436.15,chr2,187503770,187554199,ES,False,185,249
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,45,294
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,36,102
ENSG00000128641.18,chr2,191400468,191402631,ES,False,126,151
ENSG00000128641.18,chr2,191400468,191408114,ES,False,171,332
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,153,363
ENSG00000128641.18,chr2,191364183,191364276,TSS,True,288,352
ENSG00000115380.19,chr2,55922447,55923710,ES,False,739,1006
ENSG00000115380.19,chr2,55923710,55923931,TSS,True,115,1124
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,47,327
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,152,380
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,12,118
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,30,148
ENSG00000123983.13,chr2,222887888,222908732,ES,False,104,177
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,20,199
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,24,162
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,227,1616
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,83,103
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,27,140
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,58,253
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,27,225
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,172,531
ENSG00000213626.12,chr2,30257432,30260027,PAS,True,42,419
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,30,148
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,108,135
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,40,151
ENSG00000143889.15,chr2,38602600,38602856,IR,False,11,106
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,12,107
ENSG00000143889.15,chr2,38602856,38603062,TSS,True,96,107
ENSG00000138363.14,chr2,215312161,215312497,IR,False,92,106
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,35,127
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,111,127
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,29,168
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,94,332
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,247,330
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,49,334
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,162,504
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,443,504
ENSG00000173559.12,chr2,191678241,191678989,5AS,False,46,116
ENSG00000173559.12,chr2,191678113,191678705,TSS,True,89,160
ENSG00000173559.12,chr2,191678105,191678241,TSS,False,114,160
ENSG00000068912.13,chr2,53801842,53809213,ES,False,35,222
ENSG00000144224.16,chr2,135753567,135754158,IR,False,101,116
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,16,130
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,82,122
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,81,123
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,105,120
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,105,122
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,61,533
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,1559,10132
ENSG00000163359.15,chr2,237377344,237380914,ES,False,111,333
ENSG00000163359.15,chr2,237381499,237396726,ES,False,264,315
ENSG00000163359.15,chr2,237324016,237324814,PAS,True,503,1646
ENSG00000163359.15,chr2,237358554,237358583,PAS,True,237,614
ENSG00000163359.15,chr2,237334625,237334820,TSS,False,401,1163
ENSG00000163359.15,chr2,237413952,237414379,TSS,True,1338,1664
ENSG00000128656.13,chr2,174846879,174847576,TSS,True,20,101
ENSG00000130147.15,chr2,235041267,235043247,TSS,True,36,140
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,236,519
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,312,519
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,515,612
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,89,121
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,70,121
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,23,225
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,104,125
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,35,139
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,118,139
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,80,250
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,26,100
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,56,177
ENSG00000136536.14,chr2,159762993,159767283,ES,False,31,186
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,78,201
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,138,201
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,354,409
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,76,409
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,37,281
ENSG00000049323.15,chr2,33252844,33257442,3AS,False,95,161
ENSG00000049323.15,chr2,32946878,32947818,TSS,False,224,257
ENSG00000049323.15,chr2,33134499,33134960,TSS,True,190,255
ENSG00000049323.15,chr2,33360596,33360637,PAS,True,143,225
ENSG00000049323.15,chr2,33398363,33399509,PAS,True,93,243
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,33,171
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,149,171
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,156,312
ENSG00000115641.18,chr2,105386540,105398841,ES,False,110,227
ENSG00000115641.18,chr2,105386540,105398969,ES,False,83,159
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,83,310
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,77,195
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,358,518
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,289,518
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,21,148
ENSG00000079785.14,chr2,15597374,15597447,PAS,True,125,145
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,19,106
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,20,111
ENSG00000115295.19,chr2,29181571,29183952,PAS,True,16,109
ENSG00000115414.18,chr2,215372015,215372108,IR,False,787,1143
ENSG00000115414.18,chr2,215372015,215373321,ES,False,126,873
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,126,480
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,126,1102
ENSG00000115414.18,chr2,215379317,215382211,ES,False,179,646
ENSG00000115414.18,chr2,215391814,215394527,ES,False,213,333
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,328,1761
ENSG00000115414.18,chr2,215407134,215407321,PAS,True,264,379
ENSG00000115414.18,chr2,215412760,215414958,PAS,True,241,354
ENSG00000115414.18,chr2,215375213,215375394,TSS,True,1247,1496
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,1363,1525
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,1496,1816
ENSG00000143727.15,chr2,271939,275139,ME,False,31,100
ENSG00000169047.5,chr2,226794988,226796948,TSS,True,33,104
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,97,150
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,21,175
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,372,1004
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,122,868
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,763,864
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,153,871
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,108,780
ENSG00000134318.13,chr2,11179761,11183440,PAS,True,92,112
ENSG00000134318.13,chr2,11214357,11214463,PAS,True,90,109
ENSG00000134318.13,chr2,11215369,11215412,PAS,False,84,108
ENSG00000134318.13,chr2,11218964,11219026,PAS,True,83,108
ENSG00000134318.13,chr2,11343995,11345317,TSS,True,20,127
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,22,114
ENSG00000119729.11,chr2,46543413,46543812,TSS,True,102,114
ENSG00000197635.9,chr2,162047498,162073398,3AS,False,53,257
ENSG00000197635.9,chr2,162073975,162074391,TSS,True,34,281
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,20,110
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,106,237
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,168,240
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,213,237
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,25,113
ENSG00000138448.11,chr2,186677196,186680903,PAS,True,11,107
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,135,161
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,83,109
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,40,109
ENSG00000168958.19,chr2,227325427,227330625,ES,False,18,115
ENSG00000168958.19,chr2,227325427,227332418,ES,False,16,131
ENSG00000168958.19,chr2,227328789,227330625,ES,False,87,100
ENSG00000168958.19,chr2,227340380,227355676,ES,False,39,134
ENSG00000168958.19,chr2,227325230,227325427,TSS,True,18,151
ENSG00000115170.13,chr2,157875795,157876342,TSS,True,39,111
ENSG00000115170.13,chr2,157778130,157778298,TSS,True,99,111
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,43,291
ENSG00000163017.13,chr2,73892966,73893051,TSS,True,90,408
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,15,115
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,37,133
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,343,583
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,290,582
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,72,109
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,47,109
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,27,109
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,83,101
ENSG00000179526.16,chr8,144098629,144098788,PAS,False,19,108
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,34,113
ENSG00000008513.15,chr8,133476074,133476277,IR,False,59,100
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,80,182
ENSG00000008513.15,chr8,133475718,133476600,TSS,True,152,179
ENSG00000104687.13,chr8,30727529,30727967,TSS,True,16,126
ENSG00000155096.13,chr8,102843747,102858012,ES,False,101,128
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,46,155
ENSG00000155096.13,chr8,102858012,102858150,TSS,True,135,155
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,34,222
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,20,155
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,298,1593
ENSG00000198363.17,chr8,61643433,61644599,ES,False,232,1600
ENSG00000198363.17,chr8,61644632,61651049,ES,False,325,1605
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,1353,1709
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,471,1650
ENSG00000120913.23,chr8,22589741,22593732,ES,False,24,184
ENSG00000120913.23,chr8,22586570,22589374,TSS,True,98,208
ENSG00000120913.23,chr8,22588586,22589741,TSS,True,149,208
ENSG00000169398.19,chr8,140658381,140659678,PAS,True,11,105
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,36,105
ENSG00000169398.19,chr8,141000879,141001122,TSS,True,93,105
ENSG00000104368.17,chr8,42207493,42207677,TSS,True,291,755
ENSG00000104368.17,chr8,42187905,42188666,TSS,True,620,754
ENSG00000168487.18,chr8,22164896,22165553,TSS,True,86,147
ENSG00000168487.18,chr8,22201117,22201482,PAS,True,59,112
ENSG00000168487.18,chr8,22211593,22212326,PAS,True,58,143
ENSG00000134013.15,chr8,23403953,23404194,TSS,True,604,1411
ENSG00000134013.15,chr8,23309667,23309911,TSS,True,1205,1403
ENSG00000147649.9,chr8,97643970,97644887,TSS,True,28,175
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,82,165
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,132,167
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,100,147
ENSG00000187955.11,chr8,120124922,120125340,TSS,True,54,165
ENSG00000187955.11,chr8,120371151,120372037,PAS,True,53,165
ENSG00000187955.11,chr8,120370335,120372027,PAS,True,143,165
ENSG00000164930.11,chr8,103298515,103298995,TSS,True,26,187
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,687,1144
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,34,108
ENSG00000158669.11,chr8,41598290,41599304,TSS,True,94,108
ENSG00000168077.13,chr8,27633723,27634207,TSS,True,38,235
ENSG00000168077.13,chr8,27670899,27673018,PAS,False,30,218
ENSG00000168077.13,chr8,27676568,27676775,PAS,False,209,235
ENSG00000169139.11,chr8,48008406,48008470,TSS,False,31,165
ENSG00000164733.20,chr8,11853479,11868000,ES,False,2181,2576
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,35,112
ENSG00000185122.10,chr8,144311962,144312244,TSS,True,97,111
ENSG00000077782.20,chr8,38467980,38468832,TSS,True,142,168
ENSG00000104332.11,chr8,41261958,41265489,PAS,True,149,224
ENSG00000104332.11,chr8,41303460,41303538,PAS,True,78,224
ENSG00000104332.11,chr8,41308615,41309485,TSS,False,70,291
ENSG00000179950.13,chr8,143818534,143821596,ES,False,133,270
ENSG00000179950.13,chr8,143821913,143829279,ES,False,37,214
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,24,177
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,90,304
ENSG00000179950.13,chr8,143828983,143829067,TSS,True,264,304
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,35,182
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,116,174
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,64,161
ENSG00000160932.10,chr8,143018463,143018586,TSS,True,21,110
ENSG00000182197.11,chr8,117799897,117804721,IR,True,187,278
ENSG00000182197.11,chr8,117804893,117807216,IR,True,186,277
ENSG00000182197.11,chr8,117807377,117812871,IR,True,171,262
ENSG00000182197.11,chr8,117812961,117818434,IR,True,167,258
ENSG00000182197.11,chr8,117818530,117819675,IR,True,169,260
ENSG00000182197.11,chr8,117819794,117822464,IR,True,167,258
ENSG00000182197.11,chr8,117822597,117830229,IR,True,161,252
ENSG00000182197.11,chr8,117830349,117835443,IR,True,89,180
ENSG00000182197.11,chr8,117835551,117837107,IR,True,82,174
ENSG00000182197.11,chr8,117837201,118110082,IR,True,69,156
ENSG00000182197.11,chr8,117799362,117799897,PAS,True,100,287
ENSG00000182197.11,chr8,117799363,117837202,PAS,True,88,176
ENSG00000182197.11,chr8,117830229,117830275,TSS,True,239,314
ENSG00000182197.11,chr8,118110082,118111858,TSS,True,245,316
ENSG00000182197.11,chr8,118110081,118111916,TSS,True,230,316
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,135,727
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,30,217
ENSG00000104388.14,chr8,60620673,60623626,PAS,True,30,202
ENSG00000104388.14,chr8,60584722,60586312,PAS,False,178,200
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,50,310
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,221,533
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,469,525
ENSG00000164741.14,chr8,13099346,13100566,TSS,True,115,280
ENSG00000164741.14,chr8,13132943,13133293,TSS,True,238,281
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,319,577
ENSG00000156482.10,chr8,98042644,98042697,TSS,True,300,573
ENSG00000048392.11,chr8,102238826,102239059,TSS,True,33,127
ENSG00000048392.11,chr8,102238558,102238961,TSS,False,108,127
ENSG00000173530.5,chr8,23147072,23154873,ES,True,146,330
ENSG00000173530.5,chr8,23163785,23164186,TSS,False,46,367
ENSG00000155975.9,chr8,17294986,17298024,PAS,True,11,108
ENSG00000154188.9,chr8,107303367,107321898,5AS,False,68,180
ENSG00000132561.13,chr8,98032317,98033098,3AS,False,58,113
ENSG00000132561.13,chr8,97868859,97869287,TSS,True,37,120
ENSG00000132561.13,chr8,97887923,97888242,TSS,True,93,120
ENSG00000137573.13,chr8,69629679,69638734,ES,False,28,150
ENSG00000137573.13,chr8,69492784,69493125,TSS,True,144,163
ENSG00000137573.13,chr8,69576009,69576209,TSS,True,49,162
ENSG00000154582.16,chr8,73959818,73972076,ES,False,89,112
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,28,140
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,125,140
ENSG00000168615.11,chr8,38996752,38997160,TSS,True,127,887
ENSG00000104763.18,chr8,18083980,18084373,TSS,True,16,137
ENSG00000179632.9,chr8,144106464,144106554,IR,False,189,216
ENSG00000179632.9,chr8,144103871,144104858,TSS,True,34,226
ENSG00000120889.12,chr8,23028441,23028528,IR,False,65,164
ENSG00000120889.12,chr8,23068750,23069112,TSS,True,53,214
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,43,193
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,45,294
ENSG00000187735.13,chr8,54021525,54022078,TSS,True,260,294
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,26,151
ENSG00000067167.7,chr8,70608076,70608444,TSS,True,195,1370
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,66,538
ENSG00000120885.21,chr8,27614654,27614703,TSS,True,245,1110
ENSG00000147604.13,chr8,73293598,73293664,TSS,True,93,852
ENSG00000185803.9,chr8,144358554,144359065,TSS,True,25,193
ENSG00000188343.12,chr8,93700506,93700673,TSS,False,25,163
ENSG00000179091.4,chr8,144095228,144095832,IR,False,218,243
ENSG00000179091.4,chr8,144095054,144095228,TSS,False,31,252
ENSG00000067225.17,chr15,72200655,72206727,ME,False,386,3278
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,479,3410
ENSG00000140545.14,chr15,88899532,88901550,ES,False,21,101
ENSG00000140545.14,chr15,88898681,88899532,PAS,True,70,176
ENSG00000140545.14,chr15,88903468,88905901,PAS,True,104,149
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,347,461
ENSG00000181026.14,chr15,88621258,88621382,TSS,False,61,115
ENSG00000181026.14,chr15,88626139,88626749,TSS,True,89,114
ENSG00000159322.17,chr15,72752892,72755555,3AS,False,82,177
ENSG00000159322.17,chr15,72751294,72752895,PAS,True,97,190
ENSG00000159322.17,chr15,72751294,72752892,PAS,True,108,190
ENSG00000159322.17,chr15,72783458,72783781,TSS,True,33,195
ENSG00000137767.13,chr15,45634745,45635108,TSS,True,18,121
ENSG00000166147.13,chr15,48409691,48411379,PAS,True,18,107
ENSG00000166147.13,chr15,48645574,48645758,TSS,True,95,109
ENSG00000140285.9,chr15,49423240,49423440,TSS,True,48,249
ENSG00000140285.9,chr15,49424040,49424583,TSS,True,217,249
ENSG00000140262.17,chr15,56918481,56918906,TSS,True,79,149
ENSG00000140262.17,chr15,57219372,57219590,TSS,True,92,145
ENSG00000140262.17,chr15,57286156,57291295,PAS,True,24,147
ENSG00000137818.11,chr15,69452816,69453020,TSS,False,241,1293
ENSG00000137818.11,chr15,69452818,69455287,TSS,True,1081,1292
ENSG00000166887.15,chr15,42208080,42208335,TSS,True,33,124
ENSG00000140374.15,chr15,76292700,76311349,ES,False,18,115
ENSG00000140553.17,chr15,90935216,90935330,TSS,True,90,124
ENSG00000140553.17,chr15,90935268,90935375,TSS,True,77,124
ENSG00000140157.14,chr15,22838582,22838947,TSS,True,113,126
ENSG00000140157.14,chr15,22838643,22838921,TSS,True,31,126
ENSG00000140157.14,chr15,22838647,22839174,TSS,True,112,126
ENSG00000166949.15,chr15,67065573,67066360,TSS,False,94,117
ENSG00000182718.16,chr15,60386086,60397942,ME,False,152,171
ENSG00000182718.16,chr15,60386086,60397942,ME,False,152,171
ENSG00000182718.16,chr15,60386086,60397942,ME,False,152,171
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,44,207
ENSG00000137815.14,chr15,41457671,41458747,PAS,True,88,167
ENSG00000137815.14,chr15,41452900,41452942,PAS,True,124,167
