gene,chr,start,end,splice_type,novel,progenitor_cell_of_endocrine_pancreas_ENCFF509GHY_in_cov,progenitor_cell_of_endocrine_pancreas_ENCFF509GHY_total_cov
ENSG00000144224.16,chr2,135753567,135754158,IR,False,54,124
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,34,157
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,109,126
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,82,131
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,109,125
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,85,126
ENSG00000115540.14,chr2,197516146,197535529,ES,False,30,264
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,153,183
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,79,178
ENSG00000138375.12,chr2,216412603,216413855,5AS,False,17,114
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,111,202
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,127,202
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,96,120
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,78,120
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,100,120
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,286,1815
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1604,1815
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,88,187
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,120,187
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,33,180
ENSG00000168883.19,chr2,85616456,85619219,5AS,False,21,164
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,49,192
ENSG00000168883.19,chr2,85616127,85616456,TSS,True,171,192
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,163,217
ENSG00000138095.18,chr2,43918023,43918133,PAS,True,156,208
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,42,217
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,164,377
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,187,401
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,230,401
ENSG00000136536.14,chr2,159767283,159771026,PAS,True,208,397
ENSG00000136536.14,chr2,159747804,159748887,PAS,False,203,391
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,106,162
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,96,112
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,104,134
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,106,153
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,276,468
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,345,545
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,248,545
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,155,523
ENSG00000115239.21,chr2,53750941,53786820,ES,False,21,147
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,24,172
ENSG00000115239.21,chr2,53786816,53786971,TSS,True,154,172
ENSG00000136682.14,chr2,113438022,113441350,ES,False,229,271
ENSG00000080345.17,chr2,151409939,151410413,5AS,False,56,115
ENSG00000080345.17,chr2,151441967,151443258,5AS,True,32,141
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,105,164
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,97,164
ENSG00000080345.17,chr2,151459999,151460100,PAS,True,19,153
ENSG00000064933.17,chr2,189784593,189791789,5AS,False,120,138
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,49,172
ENSG00000064933.17,chr2,189877271,189878394,PAS,True,136,172
ENSG00000064933.17,chr2,189854238,189856058,PAS,True,89,162
ENSG00000064933.17,chr2,189863742,189865716,PAS,True,124,170
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,113,146
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,60,146
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,94,585
ENSG00000116001.15,chr2,70216499,70216885,5AS,False,442,581
ENSG00000116001.15,chr2,70224629,70227734,ES,False,514,587
ENSG00000116001.15,chr2,70227791,70229058,3AS,False,51,374
ENSG00000116001.15,chr2,70227791,70229058,IR,True,51,173
ENSG00000116001.15,chr2,70227822,70228343,IR,True,111,211
ENSG00000116001.15,chr2,70227822,70229058,ES,False,241,323
ENSG00000116001.15,chr2,70227822,70229058,IR,True,241,339
ENSG00000116001.15,chr2,70227822,70229263,ES,False,81,424
ENSG00000116001.15,chr2,70227822,70229263,3AS,True,81,147
ENSG00000116001.15,chr2,70227822,70229263,IR,True,81,113
ENSG00000116001.15,chr2,70228462,70229058,IR,True,89,214
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,38,140
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,110,135
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,78,117
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,99,117
ENSG00000115816.14,chr2,37213538,37213961,PAS,True,99,117
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,139,647
ENSG00000079785.14,chr2,15627053,15628207,PAS,True,563,646
ENSG00000115875.18,chr2,38745187,38746693,ES,False,114,679
ENSG00000115875.18,chr2,38748653,38748897,IR,False,120,206
ENSG00000115875.18,chr2,38748653,38749239,5AS,True,16,133
ENSG00000115875.18,chr2,38748653,38749239,IR,True,16,102
ENSG00000115875.18,chr2,38748653,38749528,ES,False,457,571
ENSG00000115875.18,chr2,38748653,38749528,IR,False,457,536
ENSG00000115875.18,chr2,38749346,38749528,IR,False,123,243
ENSG00000128655.17,chr2,177627052,177629562,PAS,True,70,117
ENSG00000128655.17,chr2,177686725,177688319,PAS,False,67,114
ENSG00000128655.17,chr2,177727657,177727801,TSS,True,111,125
ENSG00000128655.17,chr2,177728025,177728260,TSS,True,36,125
ENSG00000115414.18,chr2,215372015,215372108,IR,False,578,848
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,31,301
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,185,1184
ENSG00000115414.18,chr2,215407134,215407321,PAS,True,91,157
ENSG00000115414.18,chr2,215412760,215414958,PAS,True,129,148
ENSG00000115414.18,chr2,215380810,215381619,TSS,True,919,1024
ENSG00000115414.18,chr2,215392930,215394723,TSS,False,909,1048
ENSG00000143727.15,chr2,271939,275139,ME,False,105,289
ENSG00000143727.15,chr2,271939,272191,ES,False,108,128
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,16,111
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,310,727
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,546,725
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,88,736
ENSG00000163466.15,chr2,218253890,218256753,PAS,True,32,111
ENSG00000163466.15,chr2,218249820,218250680,PAS,True,84,111
ENSG00000150556.16,chr2,149038801,149130882,ES,True,100,112
ENSG00000150556.16,chr2,149038801,149205252,ES,True,17,143
ENSG00000150556.16,chr2,149130953,149205252,ES,False,79,137
ENSG00000150556.16,chr2,149205404,149208313,ES,True,150,176
ENSG00000150556.16,chr2,149038697,149038801,TSS,True,44,190
ENSG00000198130.15,chr2,190205232,190212955,ES,False,29,256
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,54,301
ENSG00000003509.15,chr2,37248134,37251181,PAS,True,30,109
ENSG00000003509.15,chr2,37253085,37253889,PAS,False,93,110
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,284,1267
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,1034,1267
ENSG00000115368.9,chr2,189475212,189475582,PAS,True,15,149
ENSG00000118961.14,chr2,20701652,20774809,ES,False,19,165
ENSG00000118961.14,chr2,20790398,20801309,5AS,False,110,127
ENSG00000118961.14,chr2,20790398,20823036,ES,False,14,135
ENSG00000118961.14,chr2,20682494,20684923,PAS,True,151,172
ENSG00000118961.14,chr2,20684029,20687094,PAS,True,21,170
ENSG00000168958.19,chr2,227325427,227330625,ES,False,25,174
ENSG00000168958.19,chr2,227340380,227347225,ES,False,76,106
ENSG00000168958.19,chr2,227340380,227355676,ES,False,58,190
ENSG00000243943.9,chr2,27583142,27598066,ES,False,40,101
ENSG00000243943.9,chr2,27583002,27583142,TSS,True,19,148
ENSG00000153201.15,chr2,108719366,108719678,TSS,True,37,100
ENSG00000104231.10,chr8,81715114,81718181,ES,False,52,135
ENSG00000104231.10,chr8,81732198,81732893,TSS,True,98,146
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,72,145
ENSG00000040341.17,chr8,73688813,73738283,ES,False,132,167
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,95,193
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,120,191
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,32,193
ENSG00000104738.17,chr8,47960498,47961014,TSS,True,23,159
ENSG00000104738.17,chr8,47976685,47979183,PAS,True,36,159
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,41,103
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,79,108
ENSG00000164754.14,chr8,116866585,116866763,TSS,True,81,108
ENSG00000164754.14,chr8,116874362,116874613,TSS,False,93,108
ENSG00000023287.12,chr8,52656119,52657908,PAS,False,23,169
ENSG00000164934.13,chr8,103442794,103443570,PAS,True,55,493
ENSG00000164808.16,chr8,47260898,47260991,TSS,True,25,113
ENSG00000070718.11,chr8,42152987,42153105,TSS,True,17,100
ENSG00000078674.17,chr8,17924780,17935588,ES,False,183,222
ENSG00000078674.17,chr8,17939861,17947185,ES,False,156,225
ENSG00000078674.17,chr8,17922713,17923188,TSS,True,50,280
ENSG00000078674.17,chr8,17952969,17954455,PAS,True,184,240
ENSG00000078674.17,chr8,17960314,17960405,PAS,True,159,247
ENSG00000078674.17,chr8,17960013,17960165,PAS,True,212,245
ENSG00000155096.13,chr8,102843747,102858012,ES,False,111,147
ENSG00000104341.16,chr8,97775787,97776108,TSS,True,79,157
ENSG00000104341.16,chr8,97816059,97816180,TSS,True,140,157
ENSG00000104341.16,chr8,97805351,97805464,TSS,True,131,157
ENSG00000091879.13,chr8,6519991,6521177,3AS,False,273,405
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,38,197
ENSG00000198363.17,chr8,61643433,61644599,ES,False,29,195
ENSG00000198363.17,chr8,61644632,61651049,ES,False,38,194
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,29,201
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,26,220
ENSG00000169490.16,chr8,38995405,38996212,3AS,False,81,112
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,45,320
ENSG00000161016.17,chr8,144791991,144792215,TSS,True,287,320
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,34,299
ENSG00000104218.14,chr8,67064496,67074242,5AS,True,78,128
ENSG00000104218.14,chr8,67086110,67093542,ES,False,88,130
ENSG00000104218.14,chr8,67095732,67118247,ES,True,16,118
ENSG00000104218.14,chr8,67112065,67113804,5AS,False,92,109
ENSG00000104218.14,chr8,67064314,67064496,TSS,True,74,153
ENSG00000104218.14,chr8,67064332,67064538,TSS,True,107,153
ENSG00000104218.14,chr8,67131950,67132080,PAS,True,123,144
ENSG00000104218.14,chr8,67158990,67159077,PAS,False,106,147
ENSG00000104218.14,chr8,67137455,67139265,PAS,True,115,144
ENSG00000104218.14,chr8,67158446,67158596,PAS,True,125,145
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,66,426
ENSG00000104413.16,chr8,94678371,94705924,ES,False,31,107
ENSG00000104413.16,chr8,94640526,94641450,TSS,True,41,142
ENSG00000104413.16,chr8,94705924,94707466,PAS,True,26,133
ENSG00000104413.16,chr8,94674307,94675839,PAS,True,110,123
ENSG00000186106.11,chr8,100533311,100559710,5AS,False,113,134
ENSG00000186106.11,chr8,100559710,100559773,TSS,False,26,144
ENSG00000186106.11,chr8,100559531,100559766,TSS,True,124,144
ENSG00000153310.19,chr8,129871496,129903311,ES,False,53,274
ENSG00000153310.19,chr8,129903350,129939607,ES,False,133,217
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,72,291
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,250,291
ENSG00000179950.13,chr8,143818534,143821596,ES,False,59,118
ENSG00000179950.13,chr8,143821913,143829279,ES,False,19,109
ENSG00000170791.17,chr8,56211837,56214597,ES,False,69,126
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,90,132
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,384,614
ENSG00000164924.17,chr8,100952849,100953334,TSS,True,549,614
ENSG00000129422.14,chr8,17753716,17755962,TSS,True,128,163
ENSG00000129691.15,chr8,38105516,38105738,TSS,True,89,192
ENSG00000129691.15,chr8,38105528,38106139,TSS,True,116,192
ENSG00000136960.12,chr8,119580167,119582429,5AS,False,51,111
ENSG00000136960.12,chr8,119638747,119638893,TSS,True,71,114
ENSG00000136960.12,chr8,119673251,119673698,TSS,False,46,114
ENSG00000129696.12,chr8,33503935,33509745,ES,False,17,112
ENSG00000129696.12,chr8,33512712,33513081,IR,True,53,106
ENSG00000129696.12,chr8,33511966,33513162,TSS,True,64,119
ENSG00000129696.12,chr8,33513081,33513153,TSS,False,66,119
ENSG00000104765.15,chr8,26383030,26383230,TSS,True,16,149
ENSG00000104381.12,chr8,74351321,74360136,5AS,False,16,133
ENSG00000253729.7,chr8,47773106,47774377,PAS,True,183,206
ENSG00000253729.7,chr8,47786723,47789049,PAS,True,158,192
ENSG00000253729.7,chr8,47915338,47915418,PAS,True,122,137
ENSG00000253729.7,chr8,47918276,47918383,PAS,True,111,136
ENSG00000253729.7,chr8,47928572,47930012,PAS,True,64,134
ENSG00000253729.7,chr8,47959972,47960199,TSS,True,76,208
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,264,1063
ENSG00000104613.11,chr8,19851648,19852081,PAS,True,24,220
ENSG00000067167.7,chr8,70608076,70608444,TSS,True,21,183
ENSG00000198791.11,chr8,17230848,17232426,IR,True,116,139
ENSG00000198791.11,chr8,17226029,17230848,PAS,True,43,160
ENSG00000198791.11,chr8,17229227,17232537,PAS,True,132,155
ENSG00000198791.11,chr8,17246674,17246871,TSS,True,40,169
ENSG00000064313.11,chr8,119802025,119803899,5AS,True,13,112
ENSG00000064313.11,chr8,119788334,119788447,PAS,False,17,115
ENSG00000064313.11,chr8,119832481,119834349,TSS,True,19,121
ENSG00000047249.17,chr8,53801896,53814661,ES,False,106,359
ENSG00000047249.17,chr8,53843033,53843431,TSS,False,75,366
ENSG00000047249.17,chr8,53842870,53843013,TSS,False,314,366
ENSG00000164683.16,chr8,79766732,79767008,5AS,False,88,105
ENSG00000164683.16,chr8,79767574,79767832,TSS,False,12,117
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,184,342
ENSG00000070756.15,chr8,100706650,100706798,TSS,True,244,336
ENSG00000076554.15,chr8,80171424,80171633,TSS,True,80,244
ENSG00000076554.15,chr8,80080314,80080835,TSS,True,182,244
ENSG00000104320.13,chr8,89953033,89953691,PAS,True,102,226
ENSG00000104320.13,chr8,89955283,89955555,PAS,True,159,223
ENSG00000120885.21,chr8,27597728,27598250,PAS,True,16,118
ENSG00000120885.21,chr8,27607937,27609086,PAS,True,102,115
ENSG00000155097.11,chr8,103021021,103021225,TSS,True,18,134
ENSG00000188343.12,chr8,93728204,93731798,PAS,True,38,158
ENSG00000188343.12,chr8,93704908,93705948,PAS,True,130,157
ENSG00000133872.13,chr8,30070059,30082846,ES,False,133,1058
ENSG00000128915.11,chr15,60468162,60476062,3AS,False,60,158
ENSG00000128915.11,chr15,60419606,60423762,PAS,True,55,162
ENSG00000128915.11,chr15,60479002,60479217,TSS,True,18,163
ENSG00000174197.16,chr15,41660093,41660525,TSS,False,73,174
ENSG00000174197.16,chr15,41713150,41713473,PAS,True,34,151
