gene,chr,start,end,splice_type,novel,mesenteric_fat_pad_ENCFF971JDY_in_cov,mesenteric_fat_pad_ENCFF971JDY_total_cov
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,405,472
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,319,395
ENSG00000142173.14,chr21,46125795,46126237,TSS,True,339,395
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,250,472
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,303,358
ENSG00000159110.19,chr21,33230216,33241885,3AS,False,88,122
ENSG00000159110.19,chr21,33262560,33264526,PAS,True,29,134
ENSG00000159110.19,chr21,33262792,33265664,PAS,True,120,134
ENSG00000160255.17,chr21,44894970,44895028,TSS,True,277,331
ENSG00000160255.17,chr21,44920820,44920972,TSS,True,105,332
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,26,102
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,23,102
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,101,114
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,98,114
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,92,112
ENSG00000115561.15,chr2,86529397,86563303,ES,False,28,251
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,145,1115
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,122,736
ENSG00000150540.13,chr2,137964295,137964628,TSS,True,20,151
ENSG00000019169.10,chr2,118942160,118942397,TSS,True,33,305
ENSG00000019169.10,chr2,118994386,118994664,PAS,True,55,305
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,99,421
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,371,421
ENSG00000198380.12,chr2,69319781,69326233,PAS,True,29,270
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,34,281
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,19,106
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,55,101
ENSG00000204120.14,chr2,232697392,232703423,ES,False,131,172
ENSG00000204120.14,chr2,232703489,232735154,ES,False,100,177
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,37,236
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,174,216
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,135,229
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,178,228
ENSG00000115241.10,chr2,27381192,27381805,PAS,True,47,445
ENSG00000138073.13,chr2,27133337,27133531,IR,False,611,690
ENSG00000115073.7,chr2,97658643,97658878,IR,False,144,164
ENSG00000115073.7,chr2,97663842,97664042,TSS,True,20,178
ENSG00000162976.12,chr2,11177736,11178874,PAS,True,15,134
ENSG00000138031.14,chr2,24820114,24820723,ES,True,90,101
ENSG00000138031.14,chr2,24819163,24820114,PAS,True,51,151
ENSG00000138031.14,chr2,24831661,24831748,TSS,False,107,122
ENSG00000138031.14,chr2,24827901,24828124,TSS,True,94,112
ENSG00000013441.15,chr2,200859746,200861237,ES,False,20,100
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,133,159
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,29,168
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,58,170
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,143,170
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,39,368
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,303,344
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,60,368
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,104,912
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,166,195
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,128,195
ENSG00000198399.14,chr2,24284915,24286351,PAS,False,175,195
ENSG00000198399.14,chr2,24291507,24293775,PAS,True,155,195
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,698,1679
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,1451,1677
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,1473,1679
ENSG00000138385.15,chr2,169798800,169798976,TSS,True,25,150
ENSG00000138385.15,chr2,169808635,169808765,TSS,True,82,105
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,88,126
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,91,150
ENSG00000138385.15,chr2,169810857,169811047,PAS,True,110,150
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,77,145
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,26,196
ENSG00000011523.13,chr2,65056353,65056524,TSS,True,57,101
ENSG00000011523.13,chr2,65056401,65056528,TSS,True,71,101
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,74,733
ENSG00000065911.11,chr2,74198742,74205704,ES,True,169,202
ENSG00000065911.11,chr2,74198742,74207703,ES,False,48,251
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,243,289
ENSG00000176720.5,chr2,241559005,241559703,TSS,True,240,289
ENSG00000176720.5,chr2,241570107,241570288,TSS,True,253,289
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,47,332
ENSG00000124831.18,chr2,237749324,237753308,ES,False,130,145
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,159,189
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,75,187
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,65,154
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,160,189
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,753,868
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,90,118
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,158,206
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,112,206
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,88,414
ENSG00000168385.17,chr2,241351966,241354029,PAS,True,42,404
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,125,301
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,76,179
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,266,321
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,222,321
ENSG00000115677.16,chr2,241242459,241243345,TSS,True,174,203
ENSG00000116016.13,chr2,46380334,46380717,TSS,True,149,179
ENSG00000116016.13,chr2,46381976,46382089,TSS,True,147,179
ENSG00000116016.13,chr2,46382458,46382598,TSS,True,158,179
ENSG00000116016.13,chr2,46384508,46386697,PAS,False,14,117
ENSG00000128699.13,chr2,189782602,189783013,IR,False,58,123
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,139,185
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,73,189
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,259,374
ENSG00000115310.17,chr2,55010086,55010266,TSS,False,300,371
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,17,144
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,14,115
ENSG00000119185.12,chr2,9418732,9422478,ES,False,198,282
ENSG00000119185.12,chr2,9420100,9422801,5AS,True,20,104
ENSG00000119185.12,chr2,9420100,9422965,5AS,False,14,125
ENSG00000119185.12,chr2,9402706,9406036,PAS,True,417,478
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,86,478
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,381,478
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,194,478
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,60,158
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,113,158
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,35,108
ENSG00000170035.15,chr2,180981043,180982236,TSS,True,75,108
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,1231,1391
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,249,1387
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,102,153
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,79,152
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,134,152
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,23,109
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,24,197
ENSG00000115459.17,chr2,85354172,85354829,TSS,True,176,239
ENSG00000115459.17,chr2,85371293,85371562,TSS,True,162,221
ENSG00000115459.17,chr2,85376793,85376916,TSS,False,130,219
ENSG00000115459.17,chr2,85390759,85391752,PAS,True,40,237
ENSG00000184182.18,chr2,237994809,238025341,ES,False,15,138
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,17,154
ENSG00000134324.11,chr2,11746584,11746671,TSS,True,86,136
ENSG00000134324.11,chr2,11824631,11827409,PAS,True,61,121
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,89,317
ENSG00000163162.8,chr2,101288230,101289055,PAS,True,248,314
ENSG00000162878.12,chr2,42054040,42054307,TSS,True,118,208
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,129,215
ENSG00000162878.12,chr2,42057602,42058528,PAS,True,24,212
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,42,114
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,86,114
ENSG00000071575.11,chr2,12716873,12717010,TSS,True,89,101
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,19,101
ENSG00000115380.19,chr2,55922447,55923710,ES,False,1132,1542
ENSG00000143867.6,chr2,19353140,19353587,TSS,True,102,116
ENSG00000143867.6,chr2,19358340,19358623,TSS,False,16,116
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,113,170
ENSG00000067066.16,chr2,230470098,230473383,3AS,False,74,151
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,163,391
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,316,391
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,37,103
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,89,100
ENSG00000144021.2,chr2,96268658,96269267,IR,False,327,395
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,170,198
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,19,189
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,41,270
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,295,347
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,81,338
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,29,128
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,16,106
ENSG00000136717.14,chr2,127050912,127059010,ES,False,120,452
ENSG00000136717.14,chr2,127051243,127059010,ES,False,230,305
ENSG00000138363.14,chr2,215312161,215312497,IR,False,250,284
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,61,313
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,276,313
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,734,1252
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,621,1248
ENSG00000135916.15,chr2,230865145,230875619,ES,False,18,131
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,30,163
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,139,163
ENSG00000173559.12,chr2,191678241,191678989,5AS,False,55,163
ENSG00000173559.12,chr2,191682017,191683728,ES,False,116,152
ENSG00000173559.12,chr2,191682017,191683728,IR,True,116,131
ENSG00000173559.12,chr2,191678113,191678705,TSS,True,80,191
ENSG00000173559.12,chr2,191678105,191678241,TSS,False,136,191
ENSG00000068912.13,chr2,53801842,53809213,ES,False,22,131
ENSG00000068912.13,chr2,53817897,53818849,PAS,True,15,143
ENSG00000144224.16,chr2,135753567,135754158,IR,False,60,104
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,12,118
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,67,110
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,94,110
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,76,110
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,105,123
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,46,118
ENSG00000135929.8,chr2,218781732,218782437,TSS,True,14,135
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,50,265
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,227,265
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,165,214
ENSG00000168542.14,chr2,189004265,189004364,TSS,True,134,175
ENSG00000168542.14,chr2,189011627,189012747,PAS,True,40,211
ENSG00000163359.15,chr2,237324016,237324814,PAS,True,93,223
ENSG00000163359.15,chr2,237336134,237336532,TSS,True,85,131
ENSG00000163359.15,chr2,237334625,237334820,TSS,False,92,130
ENSG00000163359.15,chr2,237340451,237340848,TSS,False,105,131
ENSG00000163359.15,chr2,237368562,237369148,TSS,True,168,193
ENSG00000163359.15,chr2,237413952,237414379,TSS,True,190,223
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,46,137
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,112,137
ENSG00000003402.19,chr2,201160942,201163834,3AS,True,94,105
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,123,260
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,192,260
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,175,245
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,157,245
ENSG00000132323.8,chr2,238188257,238189862,5AS,False,17,135
ENSG00000132323.8,chr2,238194331,238194804,5AS,False,123,141
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,164,242
ENSG00000136718.9,chr2,130342935,130343085,IR,False,164,223
ENSG00000136718.9,chr2,130342962,130343085,IR,False,78,137
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,150,314
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,236,314
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,255,314
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,93,126
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,251,808
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,568,808
ENSG00000119801.12,chr2,30147062,30156627,ES,False,378,447
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,209,253
ENSG00000168883.19,chr2,85616456,85619219,5AS,False,11,107
ENSG00000168883.19,chr2,85648853,85649016,IR,False,16,126
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,31,127
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,17,127
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,111,127
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,88,120
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,35,123
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,91,123
ENSG00000144591.18,chr2,219498938,219499960,3AS,False,44,127
ENSG00000144591.18,chr2,219498826,219498938,TSS,False,20,151
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,108,267
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,29,272
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,233,269
ENSG00000115306.15,chr2,54663518,54664691,TSS,True,122,158
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,89,176
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,141,258
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,35,104
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,79,102
ENSG00000136682.14,chr2,113438022,113441350,ES,False,103,117
ENSG00000136682.14,chr2,113465173,113482176,ES,False,11,108
ENSG00000153234.13,chr2,156324433,156326000,PAS,True,13,109
ENSG00000153234.13,chr2,156332479,156333087,TSS,True,63,117
ENSG00000153234.13,chr2,156330667,156332714,TSS,True,105,117
ENSG00000153234.13,chr2,156329322,156329833,TSS,True,89,117
ENSG00000079308.18,chr2,217799788,217804603,PAS,True,25,111
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,107,190
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,55,243
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,19,118
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,100,118
ENSG00000196843.15,chr2,96547517,96549752,ES,False,190,279
ENSG00000196843.15,chr2,96549805,96550187,IR,False,222,265
ENSG00000115641.18,chr2,105386540,105398841,ES,False,63,105
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,37,142
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,114,186
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,81,186
ENSG00000115317.11,chr2,74531925,74532819,ES,False,25,141
ENSG00000084764.11,chr2,26970634,26970802,TSS,True,15,100
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,26,250
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,28,250
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,213,290
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,101,290
ENSG00000042445.13,chr2,85350779,85351350,TSS,True,230,290
ENSG00000042445.13,chr2,85350039,85350230,TSS,True,259,290
ENSG00000042445.13,chr2,85354335,85354670,TSS,True,171,291
ENSG00000138356.13,chr2,200668611,200668803,TSS,True,85,101
ENSG00000169554.19,chr2,144517277,144517619,TSS,True,91,110
ENSG00000198612.10,chr2,237086042,237087126,IR,True,74,103
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,36,123
ENSG00000198612.10,chr2,237097662,237102019,PAS,True,35,123
ENSG00000143727.15,chr2,271939,275139,ME,False,42,202
ENSG00000115590.13,chr2,101991996,102008514,5AS,True,36,164
ENSG00000115590.13,chr2,101992011,102008514,5AS,False,95,128
ENSG00000115590.13,chr2,101991836,101991996,TSS,True,158,197
ENSG00000115590.13,chr2,101991823,101992011,TSS,False,101,197
ENSG00000115590.13,chr2,101991959,101992033,TSS,True,163,197
ENSG00000115590.13,chr2,102028225,102028544,PAS,True,40,197
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,140,214
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,157,433
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,144,344
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,235,342
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,193,346
ENSG00000115415.18,chr2,190984309,190984395,TSS,True,196,330
ENSG00000163466.15,chr2,218253890,218256753,PAS,True,122,1210
ENSG00000134318.13,chr2,11218964,11219026,PAS,True,43,123
ENSG00000134318.13,chr2,11345273,11345470,TSS,True,45,150
ENSG00000169756.16,chr2,108534375,108534594,TSS,True,53,223
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,28,160
ENSG00000198130.15,chr2,190200925,190204802,PAS,False,142,161
ENSG00000135917.14,chr2,227717942,227718034,TSS,True,64,619
ENSG00000119865.8,chr2,68319221,68319913,TSS,True,30,166
ENSG00000119865.8,chr2,68319771,68320008,TSS,True,147,166
ENSG00000163072.15,chr2,168802413,168802673,TSS,True,12,116
ENSG00000163072.15,chr2,168864833,168868313,PAS,True,38,116
ENSG00000163072.15,chr2,168863376,168866760,PAS,True,104,116
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,114,503
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,413,503
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,132,753
ENSG00000153250.19,chr2,160281364,160284774,ES,False,97,121
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,61,120
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,52,136
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,106,136
ENSG00000168958.19,chr2,227325427,227330625,ES,False,38,147
ENSG00000168958.19,chr2,227340380,227355676,ES,False,56,167
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,14,138
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,49,265
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,68,294
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,19,102
ENSG00000116120.9,chr2,222643005,222648739,ES,True,234,264
ENSG00000087338.4,chr2,69878908,69881396,PAS,True,23,108
ENSG00000087338.4,chr2,69871744,69871941,PAS,True,94,108
ENSG00000104231.10,chr8,81715114,81718181,ES,False,35,130
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,17,134
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,32,149
ENSG00000104228.12,chr8,27284889,27288127,PAS,True,23,112
ENSG00000104228.12,chr8,27293031,27294310,PAS,True,82,103
ENSG00000104228.12,chr8,27310800,27311332,TSS,True,47,148
ENSG00000184428.12,chr8,143331339,143334739,ES,False,94,112
ENSG00000179526.16,chr8,144098994,144099276,ES,False,16,142
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,20,170
ENSG00000147789.15,chr8,144827489,144827609,TSS,False,76,152
ENSG00000008513.15,chr8,133476074,133476277,IR,False,143,214
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,158,371
ENSG00000008513.15,chr8,133475718,133476600,TSS,True,288,361
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,29,154
ENSG00000147642.16,chr8,109619039,109644635,ES,False,49,112
ENSG00000147642.16,chr8,109644635,109644841,TSS,True,18,128
ENSG00000120910.14,chr8,22533018,22540614,ES,False,78,133
ENSG00000120910.14,chr8,22540614,22543188,PAS,True,29,162
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,110,126
ENSG00000187954.12,chr8,144464808,144465440,TSS,True,112,127
ENSG00000187954.12,chr8,144465207,144465437,TSS,True,107,127
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,62,127
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,122,237
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,145,237
ENSG00000155926.13,chr8,133074852,133075027,TSS,True,22,166
ENSG00000198363.17,chr8,61619019,61637946,ES,True,27,235
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,104,696
ENSG00000198363.17,chr8,61643433,61644599,ES,False,97,705
ENSG00000198363.17,chr8,61644632,61651049,ES,False,235,700
ENSG00000198363.17,chr8,61524752,61526112,PAS,True,626,745
ENSG00000198363.17,chr8,61618859,61619019,PAS,True,664,739
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,317,731
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,124,764
ENSG00000147533.16,chr8,41506012,41507058,3AS,False,79,108
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,23,115
ENSG00000104368.17,chr8,42175230,42176151,PAS,True,37,123
ENSG00000104368.17,chr8,42207493,42207677,TSS,True,43,125
ENSG00000168487.18,chr8,22164896,22165553,TSS,True,84,116
ENSG00000168487.18,chr8,22179704,22179829,TSS,True,102,116
ENSG00000168487.18,chr8,22211593,22212326,PAS,True,36,115
ENSG00000134013.15,chr8,23298122,23302026,ES,True,15,140
ENSG00000134013.15,chr8,23297175,23298122,PAS,False,28,169
ENSG00000134013.15,chr8,23359033,23360265,PAS,True,98,114
ENSG00000134013.15,chr8,23403953,23404194,TSS,True,63,171
ENSG00000134013.15,chr8,23309667,23309911,TSS,True,124,148
ENSG00000134013.15,chr8,23316948,23316972,TSS,True,130,148
ENSG00000147649.9,chr8,97691188,97706625,ES,False,40,148
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,92,220
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,145,210
ENSG00000169490.16,chr8,38996212,38996517,TSS,True,14,133
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,126,566
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,63,151
ENSG00000158669.11,chr8,41598290,41599304,TSS,True,109,151
ENSG00000164733.20,chr8,11844241,11845081,IR,False,97,203
ENSG00000164733.20,chr8,11847168,11848066,5AS,True,118,138
ENSG00000164733.20,chr8,11853479,11868000,ES,False,8710,10055
ENSG00000104522.15,chr8,143614453,143614623,IR,False,147,202
ENSG00000185122.10,chr8,144312244,144313510,ES,False,329,373
ENSG00000077782.20,chr8,38467980,38468832,TSS,True,105,117
ENSG00000077782.20,chr8,38457355,38457541,TSS,True,102,114
ENSG00000077782.20,chr8,38414151,38414278,TSS,True,84,100
ENSG00000153310.19,chr8,129903350,129970942,ES,False,146,250
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,276,335
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,134,338
ENSG00000153310.19,chr8,130016606,130016801,TSS,True,289,338
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,24,200
ENSG00000121022.13,chr8,67062105,67062347,TSS,True,179,200
ENSG00000179950.13,chr8,143818534,143821596,ES,False,255,652
ENSG00000179950.13,chr8,143821913,143829279,ES,False,111,608
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,61,498
ENSG00000154328.15,chr8,11769791,11771445,5AS,False,126,161
ENSG00000154328.15,chr8,11771585,11779597,5AS,True,153,185
ENSG00000154328.15,chr8,11769633,11769791,TSS,False,68,218
ENSG00000154328.15,chr8,11769708,11770335,TSS,True,176,218
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,56,210
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,127,618
ENSG00000132294.14,chr8,131979345,131979455,PAS,True,16,132
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,112,492
