gene,chr,start,end,splice_type,novel,type_B_pancreatic_cell_ENCFF973OML_in_cov,type_B_pancreatic_cell_ENCFF973OML_total_cov
ENSG00000135968.20,chr2,108448986,108449289,TSS,True,100,116
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,26,105
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,37,119
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,92,119
ENSG00000136560.13,chr2,161235341,161236211,PAS,True,12,119
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,21,127
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,80,521
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,455,521
ENSG00000115380.19,chr2,55922447,55923710,ES,False,303,415
ENSG00000115380.19,chr2,55923710,55923931,TSS,True,79,499
ENSG00000163029.15,chr2,17745951,17753625,ES,False,109,125
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,116,135
ENSG00000163029.15,chr2,17698487,17700378,PAS,True,104,135
ENSG00000163029.15,chr2,17703134,17703292,PAS,False,102,135
ENSG00000163029.15,chr2,17716742,17716905,PAS,False,116,135
ENSG00000163029.15,chr2,17717138,17717176,PAS,True,119,135
ENSG00000128654.13,chr2,176329426,176337492,ES,True,36,167
ENSG00000123636.17,chr2,159412545,159428310,ES,False,38,134
ENSG00000123636.17,chr2,159429260,159432756,ES,False,23,136
ENSG00000123636.17,chr2,159448403,159453612,3AS,False,27,145
ENSG00000123636.17,chr2,159398292,159398894,PAS,False,143,171
ENSG00000123636.17,chr2,159404388,159404910,PAS,True,91,171
ENSG00000123636.17,chr2,159616241,159617314,TSS,True,56,180
ENSG00000123983.13,chr2,222887888,222908732,ES,False,99,183
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,23,207
ENSG00000123983.13,chr2,222922707,222922831,PAS,True,172,195
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,42,205
ENSG00000168397.16,chr2,241651335,241653511,ES,False,90,108
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,18,125
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,186,328
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,152,339
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,205,339
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,53,140
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,16,111
ENSG00000163516.13,chr2,219230350,219231927,5AS,False,14,113
ENSG00000163516.13,chr2,219234288,219234825,IR,False,79,115
ENSG00000163516.13,chr2,219235312,219235473,IR,False,68,102
ENSG00000163516.13,chr2,219235585,219235707,IR,False,79,106
ENSG00000163516.13,chr2,219236321,219236672,PAS,True,19,127
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,14,119
ENSG00000144021.2,chr2,96268658,96269267,IR,False,189,217
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,142,160
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,17,159
ENSG00000115084.13,chr2,113715195,113719153,ES,True,24,179
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,12,102
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,76,101
ENSG00000084090.13,chr2,96195549,96208538,5AS,True,15,116
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,66,168
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,33,154
ENSG00000085760.14,chr2,55263865,55267568,ES,False,108,121
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,108,129
ENSG00000085760.14,chr2,55237324,55237428,PAS,True,111,129
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,76,129
ENSG00000085760.14,chr2,55243466,55244233,PAS,True,103,129
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,21,130
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,95,129
ENSG00000082258.12,chr2,134953229,134959339,PAS,True,19,147
ENSG00000115524.15,chr2,197418588,197418895,IR,False,48,145
ENSG00000115524.15,chr2,197418951,197420427,IR,False,17,113
ENSG00000115524.15,chr2,197420231,197420427,IR,True,28,124
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,951,1135
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,926,1108
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,418,1077
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,31,263
ENSG00000135972.8,chr2,105089069,105089919,3AS,True,206,232
ENSG00000144231.10,chr2,127850685,127858027,ES,True,25,178
ENSG00000144366.15,chr2,188383889,188477658,ES,False,102,126
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,67,130
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,80,130
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,22,130
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,1047,2210
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,1331,2205
ENSG00000068912.13,chr2,53801842,53809213,ES,False,40,162
ENSG00000144224.16,chr2,135753567,135754158,IR,False,50,109
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,24,137
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,100,116
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,75,121
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,103,116
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,79,116
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,206,263
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,107,255
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,648,865
ENSG00000196604.12,chr2,130073315,130075572,PAS,False,79,108
ENSG00000196604.12,chr2,130112035,130112101,PAS,True,90,108
ENSG00000196604.12,chr2,130085973,130085995,PAS,True,95,108
ENSG00000196604.12,chr2,130093483,130093508,PAS,True,90,108
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,126,172
ENSG00000136718.9,chr2,130342935,130343085,IR,False,126,147
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,77,202
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,156,202
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,180,202
ENSG00000138375.12,chr2,216412603,216413855,5AS,False,14,128
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,98,203
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,146,203
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,160,204
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,125,204
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,182,204
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,34,104
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,79,104
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,466,2088
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1723,2088
ENSG00000119801.12,chr2,30147062,30156627,ES,False,176,218
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,164,185
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,68,186
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,135,185
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,25,186
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,56,348
ENSG00000078098.13,chr2,162170682,162171080,PAS,True,19,126
ENSG00000078098.13,chr2,162243321,162243595,TSS,True,13,126
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,166,244
ENSG00000138095.18,chr2,43899473,43899605,PAS,True,211,238
ENSG00000138095.18,chr2,43918023,43918133,PAS,True,188,233
ENSG00000138095.18,chr2,43946123,43946243,PAS,True,186,213
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,59,244
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,149,398
ENSG00000136536.14,chr2,159762993,159767283,ES,False,28,227
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,183,433
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,271,433
ENSG00000136536.14,chr2,159767283,159771026,PAS,True,201,430
ENSG00000136536.14,chr2,159747804,159748887,PAS,False,225,421
ENSG00000115211.15,chr2,27367201,27367456,IR,False,122,137
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,51,139
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,134,159
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,122,139
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,117,137
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,76,131
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,100,157
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,208,367
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,276,440
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,222,440
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,127,425
ENSG00000115239.21,chr2,53750941,53786820,ES,False,28,183
ENSG00000115239.21,chr2,53765585,53786820,5AS,True,156,176
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,30,214
ENSG00000084733.10,chr2,26033943,26034735,TSS,True,18,165
ENSG00000186522.14,chr2,109544324,109546049,IR,True,123,137
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,21,146
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,129,144
ENSG00000136682.14,chr2,113438022,113441350,ES,False,165,217
ENSG00000080345.17,chr2,151409939,151410413,5AS,False,52,115
ENSG00000080345.17,chr2,151410033,151410413,IR,False,63,101
ENSG00000080345.17,chr2,151441967,151443258,5AS,True,35,154
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,127,182
ENSG00000080345.17,chr2,151409883,151410527,TSS,True,142,182
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,117,182
ENSG00000080345.17,chr2,151459999,151460100,PAS,True,27,176
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,25,116
ENSG00000064933.17,chr2,189877271,189878394,PAS,True,96,116
ENSG00000064933.17,chr2,189854238,189856058,PAS,True,61,111
ENSG00000064933.17,chr2,189863742,189865716,PAS,True,84,116
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,222,266
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,97,266
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,62,357
ENSG00000116001.15,chr2,70216499,70216885,5AS,False,310,360
ENSG00000116001.15,chr2,70227791,70229058,3AS,False,24,228
ENSG00000116001.15,chr2,70227822,70229058,ES,False,182,204
ENSG00000116001.15,chr2,70227822,70229058,IR,True,182,224
ENSG00000116001.15,chr2,70227822,70229263,ES,False,73,283
ENSG00000116001.15,chr2,70227822,70229263,3AS,True,73,102
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,103,135
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,59,135
ENSG00000116044.15,chr2,177234004,177234266,TSS,True,116,134
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,44,163
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,128,161
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,112,197
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,167,197
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,102,758
ENSG00000115875.18,chr2,38745187,38746693,ES,False,114,659
ENSG00000115875.18,chr2,38748653,38748897,IR,False,67,167
ENSG00000115875.18,chr2,38748653,38749528,ES,False,480,544
ENSG00000115875.18,chr2,38748653,38749528,IR,False,480,565
ENSG00000115875.18,chr2,38749346,38749528,IR,False,77,199
ENSG00000116106.11,chr2,221425705,221426142,PAS,True,15,121
ENSG00000116106.11,chr2,221572157,221572360,TSS,True,24,132
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,34,288
ENSG00000115414.18,chr2,215372015,215372108,IR,False,311,439
ENSG00000115414.18,chr2,215379317,215382211,ES,False,33,268
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,123,603
ENSG00000115414.18,chr2,215407134,215407321,PAS,True,63,112
ENSG00000115414.18,chr2,215412760,215414958,PAS,True,96,109
ENSG00000115414.18,chr2,215408297,215408426,PAS,False,93,110
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,511,605
ENSG00000115414.18,chr2,215384019,215385311,TSS,False,426,498
ENSG00000115414.18,chr2,215392930,215394723,TSS,False,423,501
ENSG00000143727.15,chr2,271939,275139,ME,False,94,275
ENSG00000143727.15,chr2,271939,272191,ES,False,98,127
ENSG00000143727.15,chr2,271939,272191,3AS,False,98,112
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,117,172
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,52,231
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,73,194
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,143,194
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,28,194
ENSG00000163466.15,chr2,218253890,218256753,PAS,True,42,251
ENSG00000163466.15,chr2,218249820,218250680,PAS,True,212,251
ENSG00000171103.10,chr2,28849820,28850242,PAS,True,13,103
ENSG00000198130.15,chr2,190205232,190212955,ES,False,53,340
ENSG00000136710.9,chr2,130339232,130340907,ES,False,89,103
ENSG00000136710.9,chr2,130342014,130342165,TSS,True,18,105
ENSG00000197635.9,chr2,162047498,162073398,3AS,False,108,547
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,15,107
ENSG00000115541.10,chr2,197503208,197503455,PAS,True,13,107
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,290,1208
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,971,1208
ENSG00000115368.9,chr2,189475212,189475582,PAS,True,24,213
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,179,874
ENSG00000138061.11,chr2,38074345,38075284,TSS,True,744,874
ENSG00000118961.14,chr2,20701652,20774809,ES,False,21,205
ENSG00000118961.14,chr2,20774979,20801309,ES,False,22,156
ENSG00000118961.14,chr2,20790398,20801309,5AS,False,135,165
ENSG00000118961.14,chr2,20682494,20684923,PAS,True,182,209
ENSG00000118961.14,chr2,20684029,20687094,PAS,True,33,207
ENSG00000168958.19,chr2,227325427,227330625,ES,False,24,228
ENSG00000168958.19,chr2,227328789,227330625,ES,False,183,206
ENSG00000168958.19,chr2,227340380,227347225,ES,False,96,128
ENSG00000168958.19,chr2,227340380,227352513,ES,False,29,157
ENSG00000168958.19,chr2,227340380,227355676,ES,False,69,241
ENSG00000243943.9,chr2,27583142,27598066,ES,False,64,144
ENSG00000243943.9,chr2,27583716,27598069,3AS,False,21,106
ENSG00000243943.9,chr2,27583002,27583142,TSS,True,27,204
ENSG00000121152.9,chr2,96335735,96335848,TSS,True,12,103
ENSG00000121152.9,chr2,96373291,96375925,PAS,True,47,103
ENSG00000121152.9,chr2,96360142,96360343,PAS,True,60,101
ENSG00000153201.15,chr2,108719366,108719678,TSS,True,30,101
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,99,115
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,54,115
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,19,115
ENSG00000116120.9,chr2,222643005,222648739,ES,True,105,125
ENSG00000104231.10,chr8,81715114,81718181,ES,False,72,146
ENSG00000104231.10,chr8,81732198,81732893,TSS,True,130,152
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,44,152
ENSG00000040341.17,chr8,73688813,73738283,ES,False,77,102
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,79,119
ENSG00000040341.17,chr8,73526820,73527804,PAS,True,102,118
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,65,117
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,15,119
ENSG00000147789.15,chr8,144827609,144837390,ES,True,29,111
ENSG00000147789.15,chr8,144827489,144827609,TSS,False,38,157
ENSG00000104738.17,chr8,47960498,47961014,TSS,True,42,413
ENSG00000104738.17,chr8,47976685,47979183,PAS,True,60,413
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,51,171
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,122,163
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,151,177
ENSG00000164754.14,chr8,116866585,116866763,TSS,True,136,177
ENSG00000164754.14,chr8,116874362,116874613,TSS,False,149,177
ENSG00000196150.13,chr8,144901398,144901477,TSS,True,24,102
ENSG00000196150.13,chr8,144901336,144901473,TSS,True,91,102
ENSG00000008513.15,chr8,133476074,133476277,IR,False,159,254
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,40,292
ENSG00000164808.16,chr8,47260898,47260991,TSS,True,21,133
ENSG00000070718.11,chr8,42152987,42153105,TSS,True,24,158
ENSG00000164756.12,chr8,117135398,117146953,ES,False,69,150
ENSG00000164756.12,chr8,117135014,117135398,TSS,True,28,186
ENSG00000164756.12,chr8,117172535,117176712,PAS,True,21,180
ENSG00000079112.9,chr8,94208482,94208608,TSS,True,39,124
ENSG00000079112.9,chr8,94189186,94189261,TSS,True,111,124
ENSG00000133731.9,chr8,81680779,81681497,3AS,False,12,108
ENSG00000078674.17,chr8,17924780,17935588,ES,False,135,177
ENSG00000078674.17,chr8,17939861,17947185,ES,False,119,185
ENSG00000078674.17,chr8,17957421,17957539,3AS,False,110,123
ENSG00000078674.17,chr8,17922713,17923188,TSS,True,30,222
ENSG00000078674.17,chr8,17952969,17954455,PAS,True,147,202
ENSG00000078674.17,chr8,17960314,17960405,PAS,True,145,208
ENSG00000155096.13,chr8,102829933,102833055,3AS,True,21,206
