gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF211JEP_in_cov,endodermal_cell_ENCFF211JEP_total_cov
ENSG00000274276.4,chr21,6453988,6454074,TSS,True,126,153
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,109,858
ENSG00000160194.17,chr21,42897047,42908863,ES,True,93,115
ENSG00000275895.6,chr21,6487412,6495992,ME,False,269,623
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,198,845
ENSG00000205581.10,chr21,39345274,39348291,ES,False,318,407
ENSG00000205581.10,chr21,39348544,39349151,TSS,True,164,512
ENSG00000185808.13,chr21,37069624,37072433,ES,False,81,103
ENSG00000185808.13,chr21,37072537,37072999,5AS,True,87,102
ENSG00000185808.13,chr21,37072999,37073126,TSS,False,25,112
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,23,215
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,38,105
ENSG00000154639.18,chr21,17593151,17594991,PAS,False,73,107
ENSG00000115561.15,chr2,86529397,86563303,ES,False,14,115
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,48,392
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,104,1024
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,718,1025
ENSG00000115053.15,chr2,231461539,231462017,TSS,True,855,1017
ENSG00000115053.15,chr2,231455400,231455458,TSS,True,530,975
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,74,722
ENSG00000124839.12,chr2,237575480,237577256,3AS,True,651,726
ENSG00000124839.12,chr2,237577382,237585997,ES,False,117,553
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,62,541
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,250,973
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,270,733
ENSG00000115233.11,chr2,161371180,161371322,TSS,True,472,731
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,106,190
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,111,190
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,26,116
ENSG00000023228.13,chr2,206130087,206130197,TSS,True,97,109
ENSG00000084754.11,chr2,26189832,26191395,PAS,True,22,201
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,41,204
ENSG00000115241.10,chr2,27383365,27383909,TSS,True,37,116
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,218,800
ENSG00000138430.15,chr2,174229307,174229923,TSS,True,601,800
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,143,176
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,149,188
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,159,180
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,96,178
ENSG00000196504.16,chr2,152693369,152694622,PAS,True,157,178
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,79,205
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,172,205
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,133,872
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,85,791
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,27,164
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,234,1841
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,227,595
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,458,595
ENSG00000162961.13,chr2,32039278,32039328,TSS,True,534,595
ENSG00000168906.12,chr2,85543034,85543669,IR,True,113,152
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,56,198
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,46,153
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,124,153
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,24,112
ENSG00000132300.18,chr2,86137468,86142103,PAS,False,16,101
ENSG00000065911.11,chr2,74198742,74207703,ES,False,17,112
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,25,138
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,116,630
ENSG00000157992.12,chr2,27442347,27442440,TSS,True,32,100
ENSG00000157992.12,chr2,27442379,27442763,TSS,False,76,100
ENSG00000157992.12,chr2,27444185,27444297,PAS,True,52,100
ENSG00000157992.12,chr2,27444188,27444297,PAS,False,67,100
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,212,2000
ENSG00000115204.14,chr2,27313074,27322447,3AS,False,25,195
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,109,447
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,384,861
ENSG00000168385.17,chr2,241350129,241350203,TSS,False,559,851
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,135,154
ENSG00000115307.16,chr2,74528935,74529131,IR,False,127,142
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,59,256
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,288,416
ENSG00000076003.4,chr2,135846236,135846393,TSS,True,221,410
ENSG00000076003.4,chr2,135848052,135848073,TSS,True,336,411
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,22,159
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,71,269
ENSG00000115685.14,chr2,241153474,241153604,TSS,True,230,269
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,82,269
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,197,268
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,576,5019
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,4511,5019
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,14,111
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,36,320
ENSG00000144354.13,chr2,173358837,173363225,ES,False,89,151
ENSG00000144354.13,chr2,173354819,173354984,TSS,True,46,199
ENSG00000144354.13,chr2,173367633,173368997,PAS,True,28,186
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,73,359
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,297,356
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,319,424
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,216,427
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,337,424
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,24,194
ENSG00000163170.11,chr2,74135658,74145188,ES,False,36,106
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,218,461
ENSG00000128708.12,chr2,171925535,171925641,TSS,True,251,461
ENSG00000115484.14,chr2,61888380,61888668,TSS,True,37,307
ENSG00000243147.7,chr2,27772692,27779432,ES,False,114,205
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,53,245
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,167,192
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,29,206
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,180,206
ENSG00000198522.13,chr2,27628657,27629169,TSS,True,60,211
ENSG00000198522.13,chr2,27640041,27640125,TSS,True,186,211
ENSG00000198522.13,chr2,27642430,27642519,TSS,True,178,210
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,64,200
ENSG00000095002.14,chr2,47410111,47410372,TSS,True,165,199
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,58,185
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,137,177
ENSG00000119782.13,chr2,24053949,24060813,ES,False,97,117
ENSG00000119782.13,chr2,24060926,24063063,3AS,False,66,117
ENSG00000119782.13,chr2,24063063,24063681,PAS,True,52,117
ENSG00000119782.13,chr2,24063018,24063681,PAS,True,66,117
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,28,110
ENSG00000003436.15,chr2,187477776,187478803,PAS,True,87,110
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,66,111
ENSG00000003436.15,chr2,187513615,187513654,TSS,True,48,106
ENSG00000197223.11,chr2,68047319,68062957,ES,True,87,100
ENSG00000197223.11,chr2,68047319,68062957,5AS,False,87,136
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,60,162
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,106,162
ENSG00000115661.13,chr2,219245469,219245522,TSS,True,63,121
ENSG00000144034.14,chr2,73732285,73734428,ES,False,131,166
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,39,133
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,147,174
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,38,174
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,234,312
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,759,1071
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,356,1071
ENSG00000144476.5,chr2,236569662,236569924,TSS,False,56,182
ENSG00000144476.5,chr2,236567752,236567841,TSS,False,134,191
ENSG00000185414.19,chr2,99195572,99199555,PAS,True,38,106
ENSG00000185414.19,chr2,99197153,99197622,PAS,True,88,108
ENSG00000185414.19,chr2,99195115,99197301,PAS,False,92,106
ENSG00000153574.8,chr2,88691643,88691983,TSS,False,56,140
ENSG00000151665.12,chr2,46581591,46592474,ES,False,74,106
ENSG00000115539.13,chr2,100562916,100563073,TSS,False,64,212
ENSG00000115539.13,chr2,100566505,100566629,TSS,True,153,212
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,42,398
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,230,377
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,305,358
ENSG00000158417.10,chr2,99364270,99364327,PAS,True,247,377
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,30,123
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,16,117
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,30,104
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,73,183
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,225,335
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,262,335
ENSG00000170144.20,chr2,177216857,177216940,TSS,True,280,321
ENSG00000170144.20,chr2,177217743,177217845,TSS,True,280,321
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,41,322
ENSG00000158411.11,chr2,99169470,99169549,IR,False,148,166
ENSG00000158411.11,chr2,99170652,99171509,ES,False,29,175
ENSG00000158411.11,chr2,99169152,99169470,PAS,True,36,184
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,46,115
ENSG00000115762.16,chr2,131125353,131125905,TSS,True,97,115
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,37,243
ENSG00000182551.13,chr2,3519367,3519566,TSS,False,30,102
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,219,280
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,34,248
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,86,300
ENSG00000135972.8,chr2,105038053,105038227,TSS,False,202,583
ENSG00000135972.8,chr2,105097222,105097324,TSS,True,397,581
ENSG00000134330.18,chr2,9474647,9478221,ES,False,17,113
ENSG00000134330.18,chr2,9474107,9474647,TSS,True,15,131
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,42,352
ENSG00000115758.12,chr2,10443229,10443314,TSS,True,42,124
ENSG00000115758.12,chr2,10442011,10442174,TSS,True,103,124
ENSG00000144199.11,chr2,97091712,97094700,ES,False,67,136
ENSG00000144199.11,chr2,97094700,97094903,TSS,True,60,196
ENSG00000144199.11,chr2,97091461,97091634,TSS,True,144,196
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,489,554
ENSG00000135916.15,chr2,230865145,230875619,ES,False,44,272
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,227,501
ENSG00000065548.17,chr2,186486216,186486457,TSS,True,19,178
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,141,163
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,32,172
ENSG00000115540.14,chr2,197516146,197535529,ES,False,22,217
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,57,166
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,94,167
ENSG00000163166.14,chr2,127504683,127505756,TSS,False,53,121
ENSG00000003402.19,chr2,201129327,201130146,TSS,True,87,101
ENSG00000003402.19,chr2,201129308,201129520,TSS,False,73,102
ENSG00000138433.15,chr2,174395550,174395715,TSS,True,19,131
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,101,150
ENSG00000136718.9,chr2,130346205,130346274,TSS,True,97,149
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,42,225
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,158,502
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,386,502
ENSG00000119801.12,chr2,30147062,30156627,ES,False,159,189
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,54,390
ENSG00000119772.16,chr2,25240639,25241209,TSS,True,30,107
ENSG00000115234.10,chr2,27370482,27370806,TSS,True,36,257
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,93,104
ENSG00000135919.12,chr2,224039098,224039596,TSS,True,108,123
ENSG00000135919.12,chr2,223991802,223991937,TSS,True,43,123
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,346,512
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,51,139
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,123,139
ENSG00000114956.19,chr2,73927052,73946718,ES,False,223,310
ENSG00000114956.19,chr2,73927052,73958145,ES,True,56,382
ENSG00000114956.19,chr2,73946906,73958145,ES,False,164,296
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,27,100
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,262,354
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,107,369
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,277,369
ENSG00000239779.6,chr2,74457828,74458671,TSS,True,44,298
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,70,176
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,46,173
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,61,132
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,71,128
ENSG00000115091.11,chr2,113889952,113890323,TSS,True,30,241
ENSG00000144120.12,chr2,119679225,119680831,5AS,False,96,140
ENSG00000144120.12,chr2,119679163,119679276,TSS,True,107,148
ENSG00000144120.12,chr2,119679139,119679225,TSS,True,51,148
ENSG00000136682.14,chr2,113438022,113441350,ES,False,255,309
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,71,236
ENSG00000124380.10,chr2,69904253,69905927,PAS,True,24,139
ENSG00000119888.10,chr2,47369142,47369581,TSS,False,160,210
ENSG00000119888.10,chr2,47379469,47379969,TSS,True,156,208
ENSG00000119888.10,chr2,47377028,47377077,TSS,True,149,209
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,133,986
ENSG00000115042.9,chr2,95402872,95406940,ES,True,12,107
ENSG00000115042.9,chr2,95402872,95410526,ES,True,32,138
ENSG00000115042.9,chr2,95410586,95412433,ES,True,23,186
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,67,213
ENSG00000115042.9,chr2,95402707,95405803,TSS,True,180,213
ENSG00000115317.11,chr2,74530014,74530821,TSS,True,87,111
ENSG00000115317.11,chr2,74529365,74530512,TSS,True,37,111
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,79,257
ENSG00000079785.14,chr2,15603189,15603275,TSS,True,199,243
ENSG00000168393.12,chr2,241678649,241685768,ES,False,75,178
ENSG00000115875.18,chr2,38745187,38746693,ES,False,328,1571
ENSG00000115875.18,chr2,38749346,38749528,IR,False,63,117
ENSG00000138036.18,chr2,43794643,43795889,3AS,False,72,115
ENSG00000138036.18,chr2,43774028,43774146,TSS,True,15,136
ENSG00000138036.18,chr2,43809704,43810010,PAS,True,22,136
ENSG00000143727.15,chr2,271939,275139,ME,False,97,584
ENSG00000143727.15,chr2,271939,272191,ES,False,97,169
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,118,149
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,74,226
ENSG00000163001.11,chr2,55544906,55545079,PAS,True,16,154
ENSG00000198130.15,chr2,190204802,190205099,IR,False,61,366
ENSG00000198130.15,chr2,190205232,190212955,ES,False,58,371
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,91,403
ENSG00000198130.15,chr2,190200925,190204802,PAS,False,343,406
ENSG00000198130.15,chr2,190319715,190319862,TSS,True,128,409
ENSG00000198130.15,chr2,190294545,190294563,TSS,True,368,409
ENSG00000198130.15,chr2,190290404,190290487,TSS,False,341,409
ENSG00000138449.10,chr2,189580417,189580823,TSS,True,21,108
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,73,215
ENSG00000138398.15,chr2,169604985,169606146,TSS,True,179,215
ENSG00000138398.15,chr2,169636412,169641406,PAS,True,67,205
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,144,202
ENSG00000173692.12,chr2,231056606,231057041,TSS,True,43,284
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,203,272
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,166,284
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,213,271
ENSG00000173692.12,chr2,231165870,231170653,PAS,False,244,272
PB_novel_212671,chr2,188034060,188039129,ES,True,120,183
ENSG00000168958.19,chr2,227340380,227355676,ES,False,106,176
ENSG00000143870.12,chr2,10812677,10812829,TSS,True,347,2520
ENSG00000115866.10,chr2,135985402,135985678,TSS,True,37,327
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,39,215
ENSG00000138382.14,chr2,169824640,169824781,IR,False,208,246
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,110,318
ENSG00000138382.14,chr2,169824640,169824867,IR,False,110,150
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,159,370
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,259,370
ENSG00000138382.14,chr2,169824488,169824919,TSS,True,332,370
ENSG00000077380.15,chr2,171707377,171715327,ES,False,94,105
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,100,151
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,62,151
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,56,151
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,110,143
ENSG00000116120.9,chr2,222566898,222572022,PAS,False,28,135
ENSG00000116120.9,chr2,222656015,222656102,TSS,False,46,135
ENSG00000116120.9,chr2,222599927,222599962,TSS,True,115,132
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,78,104
ENSG00000170961.6,chr8,121612115,121615038,PAS,False,213,256
ENSG00000170961.6,chr8,121629121,121629340,PAS,True,137,255
ENSG00000170961.6,chr8,121640852,121641517,TSS,False,26,193
ENSG00000187840.4,chr8,38030502,38030718,TSS,False,33,192
ENSG00000187840.4,chr8,38059903,38060365,PAS,False,25,192
ENSG00000104267.9,chr8,85463446,85464115,TSS,True,49,122
ENSG00000120992.17,chr8,54063375,54065787,5AS,True,19,170
ENSG00000070501.11,chr8,42338685,42344952,ES,False,53,160
ENSG00000156831.7,chr8,125091958,125102316,ES,False,27,103
ENSG00000156831.7,chr8,125366767,125367508,PAS,True,19,110
ENSG00000156831.7,chr8,125182102,125184453,PAS,True,95,109
ENSG00000156795.7,chr8,123416856,123427923,5AS,False,51,129
ENSG00000156795.7,chr8,123416664,123416856,TSS,True,84,135
ENSG00000156795.7,chr8,123416722,123416932,TSS,True,57,135
ENSG00000175606.10,chr8,73978861,73981154,ES,False,188,209
ENSG00000104408.9,chr8,108248612,108248774,TSS,True,57,549
ENSG00000104341.16,chr8,97805351,97805464,TSS,True,182,381
ENSG00000078668.13,chr8,42391616,42391928,TSS,True,128,893
ENSG00000078668.13,chr8,42391918,42393884,TSS,True,799,893
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,24,116
ENSG00000197858.10,chr8,144083387,144083500,TSS,True,102,116
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,138,970
ENSG00000120913.23,chr8,22589741,22593732,ES,False,45,196
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,34,205
ENSG00000169490.16,chr8,38995405,38996212,3AS,False,155,174
ENSG00000169490.16,chr8,38995405,38996418,5AS,False,23,178
ENSG00000169490.16,chr8,38996212,38996517,TSS,True,69,243
ENSG00000169490.16,chr8,38996418,38996519,TSS,True,200,243
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,461,3102
ENSG00000176731.11,chr8,85214631,85217385,ES,False,23,129
ENSG00000176731.11,chr8,85217502,85220305,ES,False,113,127
ENSG00000176731.11,chr8,85220305,85220386,TSS,True,29,157
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,30,145
ENSG00000104522.15,chr8,143614453,143614623,IR,False,155,184
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,64,208
ENSG00000104522.15,chr8,143616566,143618080,TSS,True,177,208
ENSG00000153310.19,chr8,129871496,129903311,ES,False,51,211
ENSG00000153310.19,chr8,129903350,129939607,ES,False,69,163
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,59,227
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,203,228
ENSG00000153310.19,chr8,130016606,130016801,TSS,True,204,228
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,57,332
ENSG00000179950.13,chr8,143818534,143821596,ES,False,95,167
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,22,139
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,32,185
ENSG00000147687.18,chr8,124516030,124518817,5AS,False,254,304
ENSG00000147687.18,chr8,124518881,124522936,ES,False,39,293
ENSG00000147687.18,chr8,124539024,124539097,TSS,True,64,351
ENSG00000170791.17,chr8,56211837,56214597,ES,False,118,168
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,128,170
PB_novel_20300,chr8,12436977,12437710,TSS,True,169,199
PB_novel_20300,chr8,12521338,12521478,TSS,True,148,173
PB_novel_20300,chr8,12521373,12522846,TSS,True,116,173
PB_novel_20300,chr8,12565885,12568071,PAS,True,60,190
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,1406,5401
ENSG00000160932.10,chr8,143020377,143020887,3AS,False,56,118
ENSG00000164924.17,chr8,100918574,100920752,PAS,True,43,325
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,139,376
ENSG00000164924.17,chr8,100952849,100953334,TSS,True,331,376
ENSG00000147419.17,chr8,27752587,27762418,ES,False,24,167
ENSG00000147419.17,chr8,27772512,27772648,TSS,True,20,188
ENSG00000129691.15,chr8,38105516,38105738,TSS,True,82,148
ENSG00000129691.15,chr8,38105528,38106139,TSS,True,85,148
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,181,971
ENSG00000164919.10,chr8,99887489,99887529,TSS,True,857,969
ENSG00000104529.17,chr8,143581328,143586728,ES,False,161,958
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,147,932
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,187,1648
ENSG00000104679.10,chr8,23288081,23288157,TSS,True,14,116
ENSG00000120533.12,chr8,109334402,109336127,5AS,False,54,444
ENSG00000120533.12,chr8,109334320,109334474,TSS,True,82,471
ENSG00000120533.12,chr8,109333553,109334402,TSS,False,417,471
ENSG00000169439.11,chr8,96493607,96494331,TSS,True,22,103
ENSG00000169439.11,chr8,96493649,96494043,TSS,True,91,107
ENSG00000154582.16,chr8,73959818,73972076,ES,False,514,573
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,128,718
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,621,718
ENSG00000175324.9,chr8,38176274,38176720,TSS,True,30,150
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,54,140
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,84,131
ENSG00000104763.18,chr8,18083980,18084373,TSS,True,16,144
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,26,209
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,106,386
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,155,365
ENSG00000187735.13,chr8,53999944,54000046,TSS,True,217,365
ENSG00000198791.11,chr8,17230848,17232426,IR,True,144,170
ENSG00000198791.11,chr8,17226029,17230848,PAS,True,32,176
ENSG00000198791.11,chr8,17229227,17232537,PAS,True,147,175
ENSG00000198791.11,chr8,17246674,17246871,TSS,True,24,176
ENSG00000147586.9,chr8,80003180,80030035,5AS,True,132,178
ENSG00000147586.9,chr8,80003180,80030053,5AS,True,69,247
ENSG00000147586.9,chr8,80030020,80030272,TSS,True,248,298
ENSG00000147586.9,chr8,80030053,80030271,TSS,True,224,298
ENSG00000147586.9,chr8,80030035,80030279,TSS,True,146,298
ENSG00000047249.17,chr8,53801896,53814661,ES,False,42,124
ENSG00000047249.17,chr8,53843033,53843431,TSS,False,40,134
ENSG00000047249.17,chr8,53842870,53843013,TSS,False,104,134
ENSG00000158815.10,chr8,22043181,22046146,3AS,False,209,445
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,179,699
ENSG00000283674.2,chr8,12594956,12595296,PAS,True,25,140
ENSG00000283674.2,chr8,12601157,12602974,TSS,True,57,140
ENSG00000283674.2,chr8,12607290,12607740,TSS,True,103,145
ENSG00000104714.13,chr8,662300,664676,PAS,True,35,105
ENSG00000104714.13,chr8,731139,731245,TSS,True,44,105
ENSG00000147604.13,chr8,73289968,73290705,PAS,True,16,115
ENSG00000147604.13,chr8,73293598,73293664,TSS,True,19,115
ENSG00000188343.12,chr8,93709875,93726393,ES,False,13,101
ENSG00000188343.12,chr8,93728204,93731798,PAS,True,13,115
ENSG00000133872.13,chr8,30070059,30082846,ES,False,96,310
ENSG00000133872.13,chr8,30082846,30083106,TSS,True,44,354
ENSG00000147601.13,chr8,73027052,73032041,ES,False,29,102
ENSG00000147601.13,chr8,73032041,73032136,PAS,True,53,103
ENSG00000147601.13,chr8,73045960,73050611,PAS,True,53,103
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,794,5328
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,111,137
ENSG00000041357.15,chr15,78540409,78540539,TSS,True,69,666
ENSG00000166794.4,chr15,64162851,64163122,TSS,True,447,1375
