gene,chr,start,end,splice_type,novel,chondrocyte_ENCFF469ATL_in_cov,chondrocyte_ENCFF469ATL_total_cov
ENSG00000135931.17,chr2,231371512,231376850,PAS,True,375,447
ENSG00000198925.11,chr2,219228053,219229534,ES,False,34,111
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,34,149
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,128,149
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,95,293
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,233,296
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,1234,1679
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,836,1679
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,1510,1679
ENSG00000115307.16,chr2,74527838,74527939,IR,False,134,149
ENSG00000115307.16,chr2,74528006,74528247,IR,False,127,148
ENSG00000115307.16,chr2,74528321,74528416,IR,True,133,148
ENSG00000115307.16,chr2,74528489,74528750,IR,True,120,141
ENSG00000115307.16,chr2,74528935,74529131,IR,False,99,139
ENSG00000115307.16,chr2,74529282,74529361,IR,False,131,147
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,18,165
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,104,218
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,130,218
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,73,104
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,34,104
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,24,115
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,14,105
ENSG00000189292.15,chr2,280149,283110,3AS,False,64,141
ENSG00000189292.15,chr2,278291,280149,PAS,True,82,146
ENSG00000189292.15,chr2,278285,280152,PAS,True,69,146
ENSG00000189292.15,chr2,288552,289017,TSS,False,33,161
ENSG00000003436.15,chr2,187503770,187554199,ES,False,114,152
ENSG00000128641.18,chr2,191400468,191408114,ES,False,113,204
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,110,126
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,19,126
ENSG00000123983.13,chr2,222887888,222908732,ES,False,118,200
ENSG00000136699.19,chr2,130157396,130164373,ES,False,21,100
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,19,112
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,47,116
ENSG00000144021.2,chr2,96268658,96269267,IR,False,101,115
ENSG00000135631.16,chr2,73112346,73112979,TSS,True,41,116
ENSG00000135631.16,chr2,73079650,73080356,TSS,True,101,116
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,173,219
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,30,203
ENSG00000115084.13,chr2,113715195,113719153,ES,True,29,145
ENSG00000115107.19,chr2,119223888,119245488,ES,False,126,161
ENSG00000115107.19,chr2,119223632,119223888,TSS,True,29,190
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,17,158
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,31,305
ENSG00000136717.14,chr2,127050912,127057472,ES,True,31,110
ENSG00000136717.14,chr2,127051243,127059010,ES,False,44,122
ENSG00000130414.11,chr2,240011696,240014738,IR,False,101,113
ENSG00000068912.13,chr2,53801842,53809213,ES,False,52,262
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,28,247
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,222,247
ENSG00000163359.15,chr2,237334625,237334820,TSS,False,72,194
ENSG00000135636.13,chr2,71613410,71643964,ES,False,65,105
ENSG00000135636.13,chr2,71453515,71454086,TSS,False,81,112
ENSG00000135636.13,chr2,71466363,71466933,TSS,False,83,112
ENSG00000034510.5,chr2,84905651,84905718,TSS,False,854,2143
ENSG00000034510.5,chr2,84905817,84906117,TSS,True,1303,2143
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,110,490
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,386,490
ENSG00000119801.12,chr2,30147062,30156627,ES,False,122,139
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,87,102
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,27,160
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,65,170
ENSG00000136536.14,chr2,159712661,159729008,ES,False,94,105
ENSG00000136536.14,chr2,159762993,159767283,ES,False,36,172
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,68,174
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,107,174
ENSG00000115306.15,chr2,54456274,54456518,TSS,True,135,171
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,152,169
ENSG00000119812.18,chr2,33599168,33599346,TSS,True,14,122
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,379,440
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,87,440
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,34,176
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,145,176
ENSG00000049323.15,chr2,33252844,33257442,3AS,False,72,114
ENSG00000049323.15,chr2,33134499,33134960,TSS,True,58,144
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,131,519
ENSG00000144567.10,chr2,219178219,219178633,TSS,True,64,120
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,29,103
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,76,131
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,57,131
ENSG00000115318.11,chr2,74536471,74549368,ES,False,12,119
ENSG00000115318.11,chr2,74536471,74550184,ES,False,24,137
ENSG00000115318.11,chr2,74553875,74554024,TSS,True,48,156
ENSG00000115318.11,chr2,74552321,74554012,TSS,True,127,156
ENSG00000071051.13,chr2,105855289,105892981,ES,False,23,183
ENSG00000115414.18,chr2,215372015,215372108,IR,False,15148,20480
ENSG00000115414.18,chr2,215372015,215373321,ES,False,3970,19057
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,3970,9296
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,2895,20415
ENSG00000115414.18,chr2,215379317,215382211,ES,False,12476,23393
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,17571,25011
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,13328,25241
ENSG00000143727.15,chr2,271939,275139,ME,False,59,118
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,63,104
ENSG00000130508.10,chr2,1684151,1691927,ES,False,83,390
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,519,646
ENSG00000130508.10,chr2,1744255,1744568,TSS,True,260,649
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,59,369
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,315,368
ENSG00000119729.11,chr2,46543188,46576086,ES,False,29,204
ENSG00000115902.10,chr2,64989358,64990170,TSS,False,39,319
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,61,290
ENSG00000114999.7,chr2,112482067,112482501,TSS,True,55,123
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,27,179
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,63,317
ENSG00000138061.11,chr2,38074345,38075284,TSS,True,280,317
ENSG00000153250.19,chr2,160281364,160284774,ES,False,88,137
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,62,137
ENSG00000153250.19,chr2,160367388,160407463,3AS,True,21,116
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,25,141
ENSG00000115170.13,chr2,157875795,157876342,TSS,True,21,199
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,21,140
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,123,140
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,122,280
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,176,280
ENSG00000179526.16,chr8,144098994,144099276,ES,False,14,110
ENSG00000179526.16,chr8,144099205,144099276,IR,True,91,106
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,20,135
ENSG00000071894.16,chr8,144409288,144410022,TSS,False,89,120
ENSG00000071894.16,chr8,144409014,144409325,TSS,True,77,120
ENSG00000071894.16,chr8,144401429,144401565,TSS,True,103,120
ENSG00000155096.13,chr8,102843747,102858012,ES,False,126,186
ENSG00000120896.13,chr8,22566713,22566821,IR,False,114,130
ENSG00000120896.13,chr8,22565287,22565872,TSS,True,94,152
ENSG00000120896.13,chr8,22551319,22552022,TSS,True,129,153
ENSG00000019549.11,chr8,48921186,48921431,TSS,True,15,138
ENSG00000104341.16,chr8,97775787,97776108,TSS,True,24,167
ENSG00000104723.20,chr8,15748465,15764202,ES,False,81,116
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,100,158
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,114,156
ENSG00000187954.12,chr8,144462282,144462876,TSS,True,22,104
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,137,159
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,52,301
ENSG00000198363.17,chr8,61643433,61644599,ES,False,33,303
ENSG00000198363.17,chr8,61644632,61651049,ES,False,58,303
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,188,307
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,125,304
ENSG00000120913.23,chr8,22585399,22589595,ES,False,16,159
ENSG00000120913.23,chr8,22579087,22579527,TSS,True,62,200
ENSG00000120913.23,chr8,22586570,22589374,TSS,True,169,200
ENSG00000169398.19,chr8,140675499,140700890,ES,False,26,240
ENSG00000169398.19,chr8,140864399,140890542,ES,False,28,133
ENSG00000169398.19,chr8,140890769,141001124,ES,False,47,114
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,136,253
ENSG00000169398.19,chr8,140718316,140718672,TSS,True,153,247
ENSG00000197217.12,chr8,23457556,23457718,TSS,True,11,103
ENSG00000168487.18,chr8,22197420,22201802,3AS,False,236,277
ENSG00000168487.18,chr8,22164896,22165553,TSS,True,123,951
ENSG00000168487.18,chr8,22201117,22201482,PAS,True,289,922
ENSG00000168487.18,chr8,22211593,22212326,PAS,True,644,942
ENSG00000134013.15,chr8,23403953,23404194,TSS,True,195,1780
ENSG00000147649.9,chr8,97691188,97706625,ES,False,37,302
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,42,261
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,25,186
ENSG00000182307.13,chr8,145052497,145052585,IR,False,62,108
ENSG00000182307.13,chr8,145052437,145052497,TSS,False,49,111
ENSG00000182307.13,chr8,145052464,145052897,TSS,True,64,111
ENSG00000104522.15,chr8,143614453,143614623,IR,False,90,110
ENSG00000104522.15,chr8,143614697,143614786,IR,False,98,109
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,22,114
ENSG00000077782.20,chr8,38418373,38419538,5AS,False,26,186
ENSG00000077782.20,chr8,38428093,38428351,5AS,False,119,177
ENSG00000077782.20,chr8,38428435,38457355,ES,False,150,177
ENSG00000077782.20,chr8,38467980,38468832,TSS,True,38,210
ENSG00000179950.13,chr8,143818534,143821596,ES,False,118,271
ENSG00000179950.13,chr8,143821913,143829279,ES,False,44,250
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,29,206
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,33,283
ENSG00000182197.11,chr8,118110081,118111916,TSS,True,17,131
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,99,473
ENSG00000132294.14,chr8,131904055,131904322,TSS,True,12,112
ENSG00000156466.9,chr8,96160286,96160799,TSS,True,28,130
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,25,173
ENSG00000164741.14,chr8,13099346,13100566,TSS,True,107,137
ENSG00000164741.14,chr8,13132943,13133293,TSS,True,80,137
ENSG00000164741.14,chr8,13276261,13276701,TSS,True,114,138
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,14,120
ENSG00000155975.9,chr8,17294986,17298024,PAS,True,14,105
ENSG00000155975.9,chr8,17286346,17287678,PAS,True,94,105
ENSG00000155090.14,chr8,102651148,102651539,TSS,True,142,166
ENSG00000155090.14,chr8,102655565,102655727,TSS,False,27,167
ENSG00000168575.9,chr8,42541537,42541937,TSS,True,69,120
ENSG00000168575.9,chr8,42439449,42439583,TSS,True,103,116
ENSG00000168575.9,chr8,42501030,42501263,TSS,True,87,116
ENSG00000179632.9,chr8,144106464,144106554,IR,False,170,194
ENSG00000164949.7,chr8,94260512,94262204,5AS,False,61,154
ENSG00000164949.7,chr8,94262204,94262338,TSS,True,105,166
ENSG00000164949.7,chr8,94262089,94262319,TSS,True,73,166
ENSG00000104331.8,chr8,56966352,56978049,ES,False,110,126
ENSG00000120889.12,chr8,23028441,23028528,IR,False,76,158
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,89,359
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,62,525
ENSG00000147650.11,chr8,104509074,104588818,ES,False,19,109
ENSG00000185803.9,chr8,144358900,144359183,5AS,False,30,194
ENSG00000185803.9,chr8,144358554,144359065,TSS,True,65,236
ENSG00000185803.9,chr8,144358581,144358900,TSS,True,203,236
ENSG00000179091.4,chr8,144095228,144095832,IR,False,161,180
ENSG00000179091.4,chr8,144095054,144095228,TSS,False,21,182
ENSG00000179091.4,chr8,144095055,144096029,TSS,True,163,182
ENSG00000068305.17,chr15,99566104,99632977,ES,False,24,122
ENSG00000068305.17,chr15,99645764,99674392,ME,False,63,216
ENSG00000068305.17,chr15,99565296,99565669,TSS,False,205,248
ENSG00000068305.17,chr15,99565428,99566104,TSS,True,127,248
ENSG00000068305.17,chr15,99566430,99566599,TSS,False,206,248
ENSG00000181026.14,chr15,88621258,88621382,TSS,False,33,100
ENSG00000181026.14,chr15,88626139,88626749,TSS,True,85,100
ENSG00000166147.13,chr15,48645574,48645758,TSS,True,265,338
ENSG00000103647.12,chr15,68511945,68512963,TSS,True,42,183
ENSG00000173546.7,chr15,75687275,75689266,TSS,True,261,314
ENSG00000173546.7,chr15,75712667,75712891,TSS,False,247,318
ENSG00000178761.14,chr15,74906586,74907348,TSS,False,20,108
ENSG00000103855.17,chr15,73684201,73684460,TSS,True,86,394
ENSG00000260916.7,chr15,55354628,55356409,PAS,True,335,437
ENSG00000260916.7,chr15,55355238,55360944,PAS,True,100,420
ENSG00000260916.7,chr15,55408220,55408470,TSS,True,88,437
ENSG00000260916.7,chr15,55407846,55408373,TSS,False,371,437
ENSG00000140553.17,chr15,90935330,90935543,5AS,False,98,160
ENSG00000140553.17,chr15,90935216,90935330,TSS,True,75,173
ENSG00000140553.17,chr15,90935268,90935375,TSS,True,111,173
ENSG00000137809.16,chr15,68432014,68432203,TSS,False,313,1783
ENSG00000140157.14,chr15,22838921,22851638,ES,False,61,118
ENSG00000140157.14,chr15,22838643,22838921,TSS,True,28,149
ENSG00000182718.16,chr15,60386086,60397942,ME,False,126,143
ENSG00000182718.16,chr15,60386086,60397942,ME,False,126,143
ENSG00000182718.16,chr15,60386086,60397942,ME,False,120,143
ENSG00000136378.14,chr15,78765644,78767054,TSS,True,158,179
ENSG00000136378.14,chr15,78767378,78767590,TSS,True,155,179
ENSG00000136378.14,chr15,78811120,78811522,TSS,True,123,181
ENSG00000136378.14,chr15,78768132,78770121,TSS,True,161,179
ENSG00000136378.14,chr15,78771161,78771248,TSS,True,150,179
ENSG00000140416.20,chr15,63042943,63043705,IR,False,308,481
ENSG00000140416.20,chr15,63042943,63056984,ME,False,2144,2434
ENSG00000140416.20,chr15,63043831,63056984,5AS,False,344,471
ENSG00000140416.20,chr15,63060939,63062214,ME,False,824,2601
ENSG00000166173.10,chr15,70831571,70833116,PAS,True,30,264
ENSG00000166173.10,chr15,70851430,70851720,PAS,False,234,263
ENSG00000140367.11,chr15,75854487,75868950,ES,False,18,108
ENSG00000140575.12,chr15,90388211,90388396,TSS,True,27,134
ENSG00000273749.4,chr15,22980286,22980440,TSS,True,30,240
ENSG00000103888.16,chr15,80779367,80779614,TSS,True,76,152
ENSG00000137845.14,chr15,58749479,58749821,TSS,True,17,105
ENSG00000086666.18,chr15,80059654,80059809,TSS,True,35,102
ENSG00000086666.18,chr15,80072548,80072647,TSS,True,88,102
ENSG00000034053.14,chr15,28921718,28995752,5AS,False,20,106
ENSG00000137801.10,chr15,39581076,39581228,TSS,True,452,601
ENSG00000137801.10,chr15,39589784,39590023,TSS,True,416,598
ENSG00000185787.14,chr15,78872781,78873057,TSS,True,94,510
ENSG00000166073.10,chr15,39802254,39919854,ES,True,14,101
ENSG00000166503.8,chr15,83207330,83208071,TSS,True,14,122
ENSG00000206190.11,chr15,25678710,25679974,PAS,False,78,300
ENSG00000206190.11,chr15,25666795,25667300,PAS,True,291,330
ENSG00000206190.11,chr15,25862647,25863535,TSS,True,111,330
ENSG00000114062.19,chr15,25405502,25438488,ES,False,50,124
ENSG00000114062.19,chr15,25438488,25439115,TSS,True,30,158
ENSG00000114062.19,chr15,25340084,25340139,TSS,True,130,153
ENSG00000182774.12,chr15,82540425,82540460,TSS,True,24,146
ENSG00000182774.12,chr15,82539980,82540445,TSS,True,130,146
ENSG00000185551.14,chr15,96325556,96326352,TSS,False,121,158
ENSG00000185551.14,chr15,96330699,96332547,TSS,False,116,158
ENSG00000185551.14,chr15,96334073,96334603,TSS,True,101,158
ENSG00000179010.14,chr4,6640708,6640827,IR,False,64,174
ENSG00000179010.14,chr4,6640655,6640708,TSS,False,112,176
ENSG00000179010.14,chr4,6640682,6641258,TSS,True,66,176
ENSG00000164032.11,chr4,99950167,99950303,TSS,True,17,153
ENSG00000152795.17,chr4,82424883,82425562,IR,False,35,122
ENSG00000152795.17,chr4,82424883,82426036,ES,False,104,141
ENSG00000152795.17,chr4,82424883,82426036,IR,False,104,191
ENSG00000152795.17,chr4,82425667,82426036,IR,False,41,128
ENSG00000152795.17,chr4,82422746,82424883,PAS,True,103,244
ENSG00000152795.17,chr4,82423203,82426129,PAS,True,144,229
ENSG00000152795.17,chr4,82429247,82430469,TSS,True,29,244
ENSG00000071127.16,chr4,10116650,10116986,TSS,True,90,793
ENSG00000154277.12,chr4,41256875,41257020,TSS,True,92,473
ENSG00000154277.12,chr4,41256893,41257009,TSS,True,407,473
ENSG00000109736.14,chr4,2930953,2931060,IR,False,160,191
ENSG00000109736.14,chr4,2931465,2931824,ES,False,24,177
ENSG00000109736.14,chr4,2929927,2930953,PAS,True,31,191
ENSG00000109736.14,chr4,2929923,2931150,PAS,False,167,191
ENSG00000109736.14,chr4,2933752,2934511,TSS,True,168,193
ENSG00000109736.14,chr4,2934768,2934880,TSS,True,37,193
ENSG00000109501.13,chr4,6270014,6277454,3AS,False,38,147
ENSG00000109501.13,chr4,6269831,6270014,TSS,True,32,179
ENSG00000159674.11,chr4,1172543,1172866,TSS,True,52,346
ENSG00000129187.14,chr4,182915575,182917310,5AS,False,25,105
ENSG00000129187.14,chr4,182917287,182917475,TSS,True,33,113
ENSG00000129187.14,chr4,182917310,182917565,TSS,True,84,113
ENSG00000163682.16,chr4,39458890,39458946,TSS,True,13,120
ENSG00000197712.11,chr4,38867562,38867834,TSS,True,33,138
ENSG00000197712.11,chr4,38943455,38945749,PAS,True,17,125
ENSG00000163956.11,chr4,3532208,3532446,TSS,True,36,336
ENSG00000087274.16,chr4,2905015,2907742,5AS,False,459,518
ENSG00000138758.11,chr4,76949691,76949930,TSS,True,74,597
ENSG00000138758.11,chr4,77030782,77038607,PAS,True,426,548
ENSG00000138758.11,chr4,77034496,77040154,PAS,True,216,549
ENSG00000129116.18,chr4,168630913,168631900,TSS,True,693,927
ENSG00000129116.18,chr4,168831990,168832171,TSS,True,362,922
ENSG00000150961.14,chr4,118815155,118815450,3AS,True,281,391
ENSG00000109475.16,chr4,108620535,108620600,TSS,False,62,279
ENSG00000109475.16,chr4,108620576,108622024,TSS,True,235,279
ENSG00000155011.8,chr4,107035369,107036474,TSS,True,116,380
ENSG00000155011.8,chr4,106925798,106925952,TSS,True,274,380
ENSG00000163110.14,chr4,94451851,94451995,TSS,True,46,162
ENSG00000196526.10,chr4,7939655,7939888,TSS,False,55,100
ENSG00000087008.15,chr4,8370994,8374977,ES,False,21,106
ENSG00000087008.15,chr4,8428350,8428501,TSS,True,14,116
ENSG00000109332.19,chr4,102827426,102827835,TSS,True,117,264
ENSG00000109332.19,chr4,102826484,102827192,TSS,True,214,264
ENSG00000109332.19,chr4,102827591,102827920,TSS,True,231,264
ENSG00000168785.7,chr4,98478746,98482004,3AS,False,21,208
ENSG00000168785.7,chr4,98482175,98507677,ES,True,28,204
ENSG00000138757.14,chr4,75673207,75673440,TSS,True,20,120
ENSG00000145425.9,chr4,151099569,151099714,TSS,True,137,637
ENSG00000168936.10,chr4,1715906,1717428,PAS,True,24,128
ENSG00000168936.10,chr4,1715952,1718626,PAS,False,101,124
ENSG00000168936.10,chr4,1720632,1721320,TSS,True,34,137
ENSG00000123933.16,chr4,2261916,2262128,TSS,True,115,305
ENSG00000164323.13,chr4,185191212,185203897,5AS,False,84,122
ENSG00000164323.13,chr4,185203897,185204145,TSS,True,47,131
ENSG00000164323.13,chr4,185203784,185204147,TSS,True,93,131
ENSG00000138668.18,chr4,82355401,82356795,ES,False,77,152
ENSG00000138668.18,chr4,82359639,82373445,ES,False,22,152
ENSG00000138668.18,chr4,82373445,82374086,TSS,True,18,170
ENSG00000138674.16,chr4,82829058,82844385,ES,False,321,417
ENSG00000138674.16,chr4,82857764,82862533,ES,False,84,350
ENSG00000138674.16,chr4,82857764,82863317,ES,False,55,408
ENSG00000138674.16,chr4,82881937,82891087,3AS,False,88,384
ENSG00000138674.16,chr4,82891087,82891255,TSS,False,45,431
ENSG00000138698.14,chr4,98261569,98293407,3AS,False,126,177
ENSG00000138698.14,chr4,98352601,98391951,ES,False,44,173
ENSG00000138698.14,chr4,98420144,98421257,3AS,False,27,175
ENSG00000071205.11,chr4,148047051,148064415,ES,False,29,106
ENSG00000071205.11,chr4,147731839,147732455,TSS,False,12,112
ENSG00000151617.16,chr4,147480767,147481376,TSS,True,12,100
ENSG00000132463.13,chr4,70839470,70839959,TSS,False,49,217
ENSG00000132463.13,chr4,70832306,70832452,TSS,True,192,217
ENSG00000072832.14,chr4,5888227,5888605,TSS,True,19,136
ENSG00000159692.15,chr4,1212423,1212912,3AS,False,146,222
ENSG00000159692.15,chr4,1238337,1248915,ES,False,43,180
ENSG00000159692.15,chr4,1211432,1212426,PAS,True,146,222
ENSG00000159692.15,chr4,1211429,1212423,PAS,True,76,222
ENSG00000159692.15,chr4,1248915,1249467,TSS,True,46,230
ENSG00000169733.11,chr17,82051499,82051877,TSS,True,29,108
ENSG00000169718.17,chr17,82058408,82058780,3AS,False,24,100
ENSG00000169718.17,chr17,82065612,82065871,TSS,True,13,113
ENSG00000243678.11,chr17,51163643,51166956,TSS,True,211,241
ENSG00000243678.11,chr17,51166265,51166497,TSS,True,39,241
ENSG00000108821.13,chr17,50185646,50185777,IR,True,113,135
ENSG00000108821.13,chr17,50186504,50186639,IR,True,91,105
ENSG00000108821.13,chr17,50186922,50187010,IR,True,56,355
ENSG00000108821.13,chr17,50186922,50187017,IR,True,97,396
ENSG00000108821.13,chr17,50190376,50190542,IR,True,71,104
ENSG00000108821.13,chr17,50190380,50190816,5AS,True,31,306
ENSG00000108821.13,chr17,50190588,50190811,3AS,True,58,270
ENSG00000108821.13,chr17,50193041,50193938,3AS,True,42,215
ENSG00000108821.13,chr17,50193043,50193942,IR,True,27,215
ENSG00000108821.13,chr17,50201410,50201696,TSS,False,14283,94526
ENSG00000182473.21,chr17,76103632,76103791,TSS,True,61,291
