gene,chr,start,end,splice_type,novel,neural_crest_cell_ENCFF319JFG_in_cov,neural_crest_cell_ENCFF319JFG_total_cov
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,97,110
ENSG00000115252.18,chr2,182167883,182168290,PAS,True,58,110
ENSG00000115252.18,chr2,182140040,182143038,PAS,False,68,111
ENSG00000115252.18,chr2,182522276,182608519,TSS,True,12,112
ENSG00000204120.14,chr2,232697392,232703423,ES,False,63,121
ENSG00000204120.14,chr2,232697392,232735154,ES,False,25,151
ENSG00000204120.14,chr2,232703489,232735154,ES,False,79,124
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,118,160
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,107,162
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,129,160
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,16,119
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,39,271
ENSG00000013441.15,chr2,200859746,200861237,ES,False,70,128
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,198,268
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,252,283
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,124,283
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,95,290
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,220,290
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,132,948
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,63,120
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,62,112
ENSG00000116062.14,chr2,47806778,47807665,PAS,True,14,119
ENSG00000168906.12,chr2,85543034,85543669,IR,True,446,578
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,136,579
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,465,579
ENSG00000065911.11,chr2,74198742,74205704,ES,True,215,249
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,246,1377
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,161,185
ENSG00000018699.12,chr2,32820815,32823699,PAS,True,27,107
ENSG00000018699.12,chr2,32758291,32759588,PAS,True,89,107
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,206,1316
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,29,103
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,87,103
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,11,102
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,58,200
ENSG00000115677.16,chr2,241247055,241247142,PAS,True,162,184
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,148,165
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,162,203
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,97,203
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,89,118
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,55,120
ENSG00000128699.13,chr2,189783013,189784347,TSS,True,106,118
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,235,509
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,291,508
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,125,150
ENSG00000118260.14,chr2,207560372,207567462,ES,False,96,146
ENSG00000118260.14,chr2,207529893,207530134,TSS,True,21,160
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,110,130
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,133,216
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,160,216
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,157,216
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,40,269
ENSG00000169679.14,chr2,110635467,110638159,PAS,True,57,296
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,33,296
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,41,154
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,86,116
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,124,155
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,95,116
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,155,190
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,44,205
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,170,205
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,146,302
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,188,302
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,110,439
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,352,439
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,113,218
ENSG00000118246.13,chr2,206765747,206766643,5AS,False,90,105
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,110,223
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,133,223
ENSG00000123485.11,chr2,233833682,233837652,PAS,True,23,177
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,56,117
ENSG00000115762.16,chr2,131140275,131146636,ES,False,100,114
ENSG00000119203.13,chr2,9472915,9473110,PAS,True,79,590
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,87,117
ENSG00000082258.12,chr2,134953229,134959339,PAS,True,14,131
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,608,919
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,797,914
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,511,892
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,31,175
ENSG00000128694.11,chr2,189745861,189747331,PAS,True,26,104
ENSG00000128694.11,chr2,189746659,189747168,PAS,False,87,104
ENSG00000128694.11,chr2,189762684,189762805,TSS,True,39,104
ENSG00000128694.11,chr2,189762531,189762795,TSS,True,85,104
ENSG00000128694.11,chr2,189762566,189762800,TSS,True,92,104
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,726,1472
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,854,1464
ENSG00000115540.14,chr2,197516146,197535529,ES,False,27,156
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,106,126
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,59,120
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,14,126
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,61,126
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,88,126
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,107,122
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,60,122
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,415,1667
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1374,1667
ENSG00000078018.19,chr2,209424005,209424276,TSS,False,88,111
ENSG00000078018.19,chr2,209579404,209579755,TSS,True,84,111
ENSG00000078018.19,chr2,209661458,209661678,TSS,True,91,109
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,60,139
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,109,139
ENSG00000136709.11,chr2,127722589,127722730,PAS,True,118,139
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,30,287
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,203,233
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,57,233
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,193,307
ENSG00000138095.18,chr2,43918023,43918133,PAS,True,252,301
ENSG00000138095.18,chr2,43946123,43946243,PAS,True,260,289
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,38,307
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,155,396
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,180,423
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,260,423
ENSG00000136536.14,chr2,159767283,159771026,PAS,True,165,423
ENSG00000136536.14,chr2,159747804,159748887,PAS,False,259,417
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,166,299
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,228,371
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,196,371
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,153,358
ENSG00000115239.21,chr2,53765585,53786820,5AS,True,124,142
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,24,158
ENSG00000115239.21,chr2,53786816,53786971,TSS,True,141,158
ENSG00000136682.14,chr2,113438022,113441350,ES,False,106,128
ENSG00000080345.17,chr2,151441967,151443258,5AS,True,20,118
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,79,142
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,104,142
ENSG00000080345.17,chr2,151459999,151460100,PAS,True,23,127
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,31,113
ENSG00000064933.17,chr2,189877271,189878394,PAS,True,93,113
ENSG00000064933.17,chr2,189854238,189856058,PAS,True,61,108
ENSG00000064933.17,chr2,189863742,189865716,PAS,True,79,112
ENSG00000213639.9,chr2,28752176,28781803,3AS,True,16,108
ENSG00000213639.9,chr2,28783978,28799198,ES,True,15,110
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,99,135
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,63,135
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,45,280
ENSG00000116001.15,chr2,70227822,70229058,IR,True,198,224
ENSG00000116001.15,chr2,70227822,70229263,ES,False,32,251
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,33,123
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,97,123
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,145,521
ENSG00000079785.14,chr2,15627053,15628207,PAS,True,442,521
ENSG00000115875.18,chr2,38745187,38746693,ES,False,67,470
ENSG00000115875.18,chr2,38746747,38748055,5AS,False,50,459
ENSG00000115875.18,chr2,38748653,38749528,IR,False,380,450
ENSG00000115875.18,chr2,38749346,38749528,IR,False,19,108
ENSG00000116106.11,chr2,221572157,221572360,TSS,True,22,101
ENSG00000143727.15,chr2,271939,275139,ME,False,26,192
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,12,118
ENSG00000198130.15,chr2,190205232,190212955,ES,False,25,168
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,22,187
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,364,1221
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,949,1221
ENSG00000115368.9,chr2,189475212,189475582,PAS,True,23,148
ENSG00000118961.14,chr2,20701652,20774809,ES,False,20,152
ENSG00000118961.14,chr2,20774979,20801309,ES,False,13,109
ENSG00000118961.14,chr2,20790398,20801309,5AS,False,96,119
ENSG00000168958.19,chr2,227325427,227330625,ES,False,17,139
ENSG00000168958.19,chr2,227340380,227355676,ES,False,85,149
ENSG00000243943.9,chr2,27583002,27583142,TSS,True,18,132
ENSG00000121152.9,chr2,96335735,96335848,TSS,True,13,105
ENSG00000121152.9,chr2,96373291,96375925,PAS,True,62,105
ENSG00000121152.9,chr2,96360142,96360343,PAS,True,48,102
ENSG00000040341.17,chr8,73688813,73738283,ES,False,109,124
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,85,145
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,77,145
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,15,145
ENSG00000104738.17,chr8,47960498,47961014,TSS,True,55,386
ENSG00000104738.17,chr8,47976685,47979183,PAS,True,47,380
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,52,133
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,81,124
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,102,136
ENSG00000164754.14,chr8,116866585,116866763,TSS,True,93,135
ENSG00000070718.11,chr8,42152987,42153105,TSS,True,15,101
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,39,319
ENSG00000078674.17,chr8,17923188,17935588,ES,False,16,153
ENSG00000078674.17,chr8,17924780,17935588,ES,False,112,135
ENSG00000078674.17,chr8,17939861,17947185,ES,False,93,155
ENSG00000078674.17,chr8,17922713,17923188,TSS,True,31,189
ENSG00000078674.17,chr8,17952969,17954455,PAS,True,126,168
ENSG00000078674.17,chr8,17960314,17960405,PAS,True,128,171
ENSG00000078674.17,chr8,17960013,17960165,PAS,True,144,171
ENSG00000155096.13,chr8,102843747,102858012,ES,False,86,111
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,13,128
ENSG00000104343.19,chr8,73878807,73878880,TSS,True,12,102
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,15,110
ENSG00000198363.17,chr8,61644632,61651049,ES,False,24,109
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,32,115
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,13,120
ENSG00000169398.19,chr8,140658381,140659678,PAS,True,38,115
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,32,115
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,45,292
ENSG00000182307.13,chr8,145052437,145052497,TSS,False,38,102
ENSG00000182307.13,chr8,145052464,145052897,TSS,True,74,102
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,12,113
ENSG00000186106.11,chr8,100533311,100559710,5AS,False,104,118
ENSG00000186106.11,chr8,100559710,100559773,TSS,False,23,131
ENSG00000153310.19,chr8,129871496,129903311,ES,False,31,168
ENSG00000153310.19,chr8,129903350,129939607,ES,False,91,134
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,39,175
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,155,175
ENSG00000179950.13,chr8,143818534,143821596,ES,False,66,145
ENSG00000179950.13,chr8,143821913,143829279,ES,False,43,131
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,20,151
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,75,100
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,183,325
ENSG00000164924.17,chr8,100952849,100953334,TSS,True,282,325
ENSG00000129691.15,chr8,38105516,38105738,TSS,True,26,106
ENSG00000129691.15,chr8,38105528,38106139,TSS,True,89,106
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,22,127
ENSG00000175305.17,chr8,94895176,94895233,TSS,True,23,109
ENSG00000136960.12,chr8,119580167,119582429,5AS,False,69,134
ENSG00000136960.12,chr8,119638747,119638893,TSS,True,84,137
ENSG00000136960.12,chr8,119673251,119673698,TSS,False,65,137
ENSG00000184661.13,chr8,25460300,25460383,IR,False,157,185
ENSG00000184661.13,chr8,25506509,25511308,PAS,True,82,189
ENSG00000184661.13,chr8,25488551,25491216,PAS,True,132,189
ENSG00000168078.9,chr8,27833133,27837709,5AS,False,22,151
ENSG00000168078.9,chr8,27837709,27837866,TSS,True,134,156
ENSG00000168078.9,chr8,27837651,27837829,TSS,True,29,156
ENSG00000104765.15,chr8,26383030,26383230,TSS,True,11,108
ENSG00000253729.7,chr8,47786723,47789049,PAS,True,201,237
ENSG00000253729.7,chr8,47915338,47915418,PAS,True,149,175
ENSG00000253729.7,chr8,47918276,47918383,PAS,True,143,175
ENSG00000253729.7,chr8,47928572,47930012,PAS,True,101,172
ENSG00000253729.7,chr8,47959972,47960199,TSS,True,88,249
ENSG00000104763.18,chr8,18083980,18084373,TSS,True,24,155
ENSG00000104763.18,chr8,18084675,18084978,TSS,True,139,155
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,171,741
ENSG00000104613.11,chr8,19817133,19817666,TSS,True,17,144
ENSG00000104613.11,chr8,19851648,19852081,PAS,True,16,144
ENSG00000092964.17,chr8,26577739,26578293,TSS,False,76,101
ENSG00000104490.17,chr8,101719648,101790861,ES,False,133,153
ENSG00000104490.17,chr8,101790861,101791008,TSS,True,134,288
ENSG00000047249.17,chr8,53801896,53814661,ES,False,97,195
ENSG00000047249.17,chr8,53843033,53843431,TSS,False,27,200
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,115,229
ENSG00000070756.15,chr8,100706650,100706798,TSS,True,170,228
ENSG00000104320.13,chr8,89933325,89935612,PAS,True,94,107
ENSG00000104320.13,chr8,89953033,89953691,PAS,True,59,105
ENSG00000104320.13,chr8,89955283,89955555,PAS,True,69,104
ENSG00000164751.14,chr8,76986296,76999989,ES,False,22,103
ENSG00000188343.12,chr8,93728204,93731798,PAS,True,15,149
ENSG00000128915.11,chr15,60468162,60476062,3AS,False,56,149
ENSG00000128915.11,chr15,60419606,60423762,PAS,True,61,155
ENSG00000128915.11,chr15,60446878,60448145,PAS,True,138,155
ENSG00000128915.11,chr15,60479002,60479217,TSS,True,23,156
ENSG00000140262.17,chr15,57251423,57253261,ES,False,77,134
ENSG00000140262.17,chr15,56918481,56918906,TSS,True,107,188
ENSG00000140262.17,chr15,57219372,57219590,TSS,True,143,182
ENSG00000140262.17,chr15,57286156,57291295,PAS,True,105,172
ENSG00000140262.17,chr15,57262093,57262196,PAS,False,110,159
ENSG00000140262.17,chr15,57263111,57263870,PAS,False,132,162
ENSG00000174442.11,chr15,66505391,66508840,3AS,False,152,182
ENSG00000174442.11,chr15,66548350,66550130,PAS,True,103,204
ENSG00000174442.11,chr15,66546590,66546705,PAS,True,111,203
ENSG00000140455.16,chr15,63504830,63537024,ES,True,11,104
ENSG00000140455.16,chr15,63504489,63504830,TSS,True,15,120
ENSG00000140455.16,chr15,63590660,63594641,PAS,True,12,110
ENSG00000137807.15,chr15,69423329,69426069,ES,False,114,205
ENSG00000137807.15,chr15,69438247,69438390,PAS,False,60,210
ENSG00000137807.15,chr15,69447791,69448427,PAS,True,160,213
ENSG00000104064.17,chr15,50289665,50300788,3AS,False,15,128
ENSG00000104064.17,chr15,50300902,50301256,5AS,False,83,125
ENSG00000104064.17,chr15,50277251,50278784,PAS,True,20,128
ENSG00000104064.17,chr15,50283536,50286183,PAS,True,109,128
ENSG00000167004.12,chr15,43771104,43773277,PAS,True,117,851
ENSG00000198901.13,chr15,90967202,90969523,5AS,False,52,112
ENSG00000198901.13,chr15,90984140,90994406,ES,False,11,106
ENSG00000198901.13,chr15,90966037,90967202,PAS,True,24,138
ENSG00000198901.13,chr15,90994406,90994772,TSS,True,41,148
ENSG00000138614.14,chr15,65611097,65611613,TSS,True,58,123
ENSG00000138614.14,chr15,65610795,65611148,TSS,True,86,123
ENSG00000140575.12,chr15,90388211,90388396,TSS,True,30,168
ENSG00000140575.12,chr15,90476662,90476700,PAS,True,48,146
ENSG00000140575.12,chr15,90499994,90502239,PAS,True,148,167
ENSG00000140575.12,chr15,90474484,90474694,PAS,True,122,144
ENSG00000273749.4,chr15,22867051,22870192,PAS,True,21,173
ENSG00000273749.4,chr15,22980286,22980440,TSS,True,57,174
ENSG00000166477.12,chr15,51938024,51938260,PAS,True,99,162
ENSG00000166477.12,chr15,51951842,51951979,PAS,True,109,161
ENSG00000166477.12,chr15,51954521,51954575,PAS,True,131,161
ENSG00000166200.14,chr15,49137437,49139527,3AS,False,133,210
ENSG00000131876.16,chr15,101285801,101286213,IR,False,91,102
ENSG00000131876.16,chr15,101286293,101286907,IR,False,90,101
ENSG00000103591.12,chr15,67236820,67254558,5AS,False,189,215
ENSG00000103591.12,chr15,67254558,67254693,TSS,False,32,221
ENSG00000069956.11,chr15,52019198,52019376,TSS,True,22,138
ENSG00000137804.12,chr15,41332241,41333050,TSS,True,15,114
ENSG00000137804.12,chr15,41380092,41381051,PAS,True,29,114
ENSG00000086666.18,chr15,80059809,80120327,ES,False,89,109
ENSG00000086666.18,chr15,80059654,80059809,TSS,True,53,162
ENSG00000086666.18,chr15,80072548,80072647,TSS,True,115,162
ENSG00000128739.22,chr15,24954852,24955062,TSS,True,38,212
ENSG00000128739.22,chr15,24856512,24856716,TSS,True,187,212
ENSG00000140525.17,chr15,89244033,89247628,5AS,False,104,225
ENSG00000140525.17,chr15,89244044,89247628,5AS,False,24,120
ENSG00000140525.17,chr15,89247726,89258703,5AS,False,41,237
ENSG00000140525.17,chr15,89243946,89244033,TSS,True,158,268
ENSG00000140525.17,chr15,89243953,89244067,TSS,True,170,268
ENSG00000140525.17,chr15,89243953,89244044,TSS,True,241,268
ENSG00000140525.17,chr15,89316396,89318093,PAS,True,42,267
ENSG00000137770.13,chr15,44427195,44427772,TSS,True,30,146
ENSG00000177082.12,chr15,84645836,84646183,ES,False,116,130
ENSG00000177082.12,chr15,84647954,84648536,IR,False,130,148
ENSG00000177082.12,chr15,84653699,84654233,5AS,False,91,134
ENSG00000177082.12,chr15,84654226,84654343,TSS,False,113,156
ENSG00000177082.12,chr15,84654233,84654293,TSS,False,64,156
ENSG00000185787.14,chr15,78872781,78873057,TSS,True,89,641
ENSG00000213614.9,chr15,72345550,72346234,IR,True,95,111
ENSG00000213614.9,chr15,72353178,72355558,ES,False,13,106
ENSG00000213614.9,chr15,72343432,72344140,PAS,True,23,119
ENSG00000213614.9,chr15,72343856,72346325,PAS,True,107,119
ENSG00000166938.12,chr15,66293391,66293735,TSS,True,14,122
ENSG00000166938.12,chr15,66333003,66333899,PAS,True,34,122
ENSG00000166938.12,chr15,66329220,66331397,PAS,True,104,122
ENSG00000134152.10,chr15,34137870,34142371,PAS,True,32,104
ENSG00000134152.10,chr15,34146126,34148750,PAS,True,88,104
ENSG00000179010.14,chr4,6640708,6640827,IR,False,248,753
ENSG00000179010.14,chr4,6640655,6640708,TSS,False,510,759
ENSG00000179010.14,chr4,6640682,6641258,TSS,True,254,759
ENSG00000168214.20,chr4,26320803,26321048,TSS,True,37,128
ENSG00000251022.6,chr4,82894847,82900076,ES,False,13,121
ENSG00000152795.17,chr4,82424883,82425562,IR,False,48,220
ENSG00000152795.17,chr4,82424883,82426036,IR,False,592,763
ENSG00000152795.17,chr4,82425667,82426036,IR,False,51,225
ENSG00000152795.17,chr4,82422746,82424883,PAS,True,203,848
ENSG00000152795.17,chr4,82423203,82426129,PAS,True,678,845
ENSG00000078177.13,chr4,40119931,40121888,PAS,True,12,114
ENSG00000138758.11,chr4,76949691,76949930,TSS,True,107,207
ENSG00000138758.11,chr4,77030782,77038607,PAS,True,68,104
ENSG00000138758.11,chr4,77034496,77040154,PAS,True,50,104
ENSG00000164104.11,chr4,173333669,173334271,5AS,True,120,134
ENSG00000164104.11,chr4,173334245,173334391,TSS,False,125,139
ENSG00000164104.11,chr4,173334271,173334447,TSS,False,18,139
ENSG00000109805.9,chr4,17843301,17848063,PAS,True,350,484
ENSG00000109805.9,chr4,17840070,17841879,PAS,True,406,483
ENSG00000109805.9,chr4,17834298,17834392,PAS,True,304,483
ENSG00000109475.16,chr4,108620535,108620600,TSS,False,74,343
ENSG00000109475.16,chr4,108620576,108622024,TSS,True,285,343
ENSG00000138750.14,chr4,76118194,76130655,ES,False,22,203
ENSG00000164134.12,chr4,139370210,139370325,PAS,True,45,217
ENSG00000153130.17,chr4,140379192,140380961,ES,False,26,248
ENSG00000109654.14,chr4,153257346,153257607,TSS,True,83,121
ENSG00000109654.14,chr4,153204415,153204560,TSS,True,69,121
ENSG00000109654.14,chr4,153334813,153339317,PAS,True,24,114
ENSG00000109654.14,chr4,153295312,153296334,PAS,False,93,107
ENSG00000132466.18,chr4,73135262,73139530,3AS,False,22,105
ENSG00000132466.18,chr4,73135265,73141740,ES,False,39,120
ENSG00000132466.18,chr4,73102143,73102547,PAS,False,26,153
ENSG00000132466.18,chr4,73142639,73142704,TSS,True,58,165
ENSG00000132466.18,chr4,73222973,73223122,TSS,True,143,165
ENSG00000109332.19,chr4,102827426,102827835,TSS,True,278,500
ENSG00000109332.19,chr4,102826484,102827192,TSS,True,449,500
ENSG00000109332.19,chr4,102827943,102828141,TSS,False,374,500
ENSG00000109339.21,chr4,86017370,86029196,3AS,False,51,108
ENSG00000109339.21,chr4,86159467,86194335,5AS,False,86,151
ENSG00000109339.21,chr4,86013614,86017375,PAS,True,107,163
ENSG00000109339.21,chr4,86012291,86017370,PAS,True,113,163
ENSG00000109339.21,chr4,86029237,86029274,PAS,True,129,163
ENSG00000109339.21,chr4,86593909,86594126,TSS,True,145,163
ENSG00000109339.21,chr4,86359657,86360080,TSS,True,35,163
ENSG00000014824.13,chr4,42086081,42091812,PAS,True,25,146
ENSG00000164163.10,chr4,145098419,145104388,3AS,False,15,147
ENSG00000164163.10,chr4,145127525,145129522,PAS,True,49,149
ENSG00000164163.10,chr4,145119931,145122513,PAS,True,119,148
ENSG00000174780.16,chr4,56501683,56503681,PAS,True,285,326
ENSG00000174780.16,chr4,56491430,56491674,PAS,True,88,326
ENSG00000138757.14,chr4,75673207,75673440,TSS,True,87,250
ENSG00000138757.14,chr4,75724275,75725315,TSS,True,209,250
ENSG00000047315.15,chr4,56978830,56979004,TSS,True,27,230
ENSG00000047315.15,chr4,57005245,57005375,PAS,True,193,215
ENSG00000047315.15,chr4,57030898,57031162,PAS,True,57,230
ENSG00000163322.13,chr4,83469151,83476642,ES,True,15,144
ENSG00000163322.13,chr4,83482244,83484985,ES,False,133,153
ENSG00000145293.15,chr4,82430884,82447919,5AS,False,88,315
ENSG00000145293.15,chr4,82430568,82430913,TSS,True,96,324
ENSG00000145293.15,chr4,82429641,82430884,TSS,True,236,324
ENSG00000151725.11,chr4,184694064,184695401,PAS,True,20,115
ENSG00000164039.14,chr4,103085462,103086479,IR,False,99,164
ENSG00000164144.15,chr4,152780091,152829624,5AS,False,28,110
ENSG00000164144.15,chr4,152779872,152780226,TSS,True,51,133
ENSG00000164144.15,chr4,152779850,152780091,TSS,True,103,133
ENSG00000164144.15,chr4,152885513,152885666,TSS,True,115,131
ENSG00000118564.14,chr4,15644657,15655203,3AS,False,17,144
ENSG00000118564.14,chr4,15655203,15655409,TSS,True,24,169
ENSG00000090989.17,chr4,55853797,55858313,5AS,False,20,107
ENSG00000090989.17,chr4,55883928,55890222,ES,False,25,101
ENSG00000090989.17,chr4,55853644,55853797,TSS,True,96,116
ENSG00000090989.17,chr4,55853619,55853953,TSS,True,29,116
