gene,chr,start,end,splice_type,novel,left_colon_ENCFF886FZQ_in_cov,left_colon_ENCFF886FZQ_total_cov
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,25,238
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,40,377
ENSG00000115648.13,chr2,237540533,237542566,ES,False,36,154
ENSG00000115648.13,chr2,237542659,237546605,3AS,True,137,153
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,98,168
ENSG00000115648.13,chr2,237510453,237510795,TSS,True,92,167
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,69,141
ENSG00000196141.13,chr2,200378225,200378371,TSS,False,122,139
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,31,128
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,98,117
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,393,564
ENSG00000135926.14,chr2,218280025,218281088,TSS,True,492,562
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,443,562
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,470,564
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,180,251
ENSG00000115756.12,chr2,10396920,10419733,ES,False,285,327
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,12,116
ENSG00000143797.11,chr2,9003539,9003882,TSS,True,16,112
ENSG00000157992.12,chr2,27442763,27442841,IR,False,106,121
ENSG00000157992.12,chr2,27442347,27442440,TSS,True,28,136
ENSG00000157992.12,chr2,27444185,27444297,PAS,True,78,136
ENSG00000157992.12,chr2,27444188,27444297,PAS,False,103,136
ENSG00000157992.12,chr2,27443948,27446479,PAS,True,108,136
ENSG00000124831.18,chr2,237708630,237748363,ES,False,175,219
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,58,267
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,30,230
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,271,326
ENSG00000115694.14,chr2,241499414,241500172,IR,False,107,125
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,32,101
ENSG00000115694.14,chr2,241498988,241499128,TSS,True,150,175
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,106,177
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,144,177
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,101,611
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,137,156
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,254,308
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,249,308
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,50,409
ENSG00000073737.16,chr2,169069509,169069717,TSS,True,43,232
ENSG00000158552.12,chr2,219206773,219206845,TSS,True,45,109
ENSG00000158552.12,chr2,219206792,219207042,TSS,True,83,109
ENSG00000115310.17,chr2,55010086,55010266,TSS,False,38,141
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,32,188
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,167,188
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,44,121
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,99,121
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,28,164
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,23,146
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,627,872
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,266,857
ENSG00000144485.10,chr2,238239824,238240038,TSS,True,26,116
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,39,226
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,18,105
ENSG00000187699.10,chr2,190180438,190181109,TSS,False,36,208
ENSG00000171227.6,chr2,119431489,119431924,TSS,False,42,268
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,93,116
ENSG00000144028.14,chr2,96286687,96286879,TSS,True,88,120
ENSG00000144028.14,chr2,96286310,96286592,TSS,True,94,116
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,65,126
ENSG00000138434.16,chr2,181915344,181916427,TSS,True,80,111
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,17,126
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,189,230
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,41,230
ENSG00000118640.10,chr2,85577531,85577649,TSS,True,22,128
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,31,161
ENSG00000123983.13,chr2,222887888,222908732,ES,False,80,149
ENSG00000127831.10,chr2,218435307,218435434,TSS,True,97,169
ENSG00000127831.10,chr2,218419077,218419168,TSS,True,136,177
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,80,133
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,26,223
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,48,185
ENSG00000115084.13,chr2,113715195,113719153,ES,True,13,121
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,41,378
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,29,117
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,93,114
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,14,120
ENSG00000163586.9,chr2,88124586,88127950,5AS,True,104,120
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,31,114
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,101,114
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,63,447
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,93,515
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,430,512
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,1426,6634
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,5958,6634
ENSG00000068912.13,chr2,53801842,53809213,ES,False,17,116
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,126,153
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,64,158
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,135,153
ENSG00000115457.9,chr2,216633400,216633965,TSS,True,25,219
ENSG00000116096.5,chr2,72887736,72888313,IR,True,161,179
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,27,194
ENSG00000135929.8,chr2,218781732,218782437,TSS,True,34,183
ENSG00000239305.6,chr2,86622660,86623854,TSS,True,23,181
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,96,109
ENSG00000136718.9,chr2,130342935,130343085,IR,False,96,116
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,51,146
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,125,146
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,85,196
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,124,196
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,162,375
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,222,375
ENSG00000119801.12,chr2,30147062,30156627,ES,False,87,101
ENSG00000151689.12,chr2,190343961,190360038,ES,False,78,102
ENSG00000204099.11,chr2,241814685,241816050,ES,False,27,106
ENSG00000204099.11,chr2,241808118,241809274,TSS,True,91,163
ENSG00000204099.11,chr2,241814536,241814685,TSS,True,128,163
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,63,163
ENSG00000091409.14,chr2,172504090,172506456,PAS,True,47,138
ENSG00000091409.14,chr2,172484781,172484818,PAS,True,96,123
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,92,109
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,29,121
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,104,121
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,18,102
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,20,103
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,42,109
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,13,118
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,122,165
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,110,127
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,95,119
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,70,155
ENSG00000162981.13,chr2,14632685,14632937,TSS,True,179,222
ENSG00000186522.14,chr2,109544324,109546049,IR,True,87,101
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,22,112
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,93,107
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,153,176
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,43,176
ENSG00000159399.9,chr2,74834078,74834643,TSS,False,163,223
ENSG00000159399.9,chr2,74890796,74893359,PAS,False,18,140
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,104,133
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,19,160
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,127,485
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,379,485
ENSG00000144063.3,chr2,110115687,110115852,TSS,True,139,990
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,1071,1231
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,52,113
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,72,113
ENSG00000186854.10,chr2,84821648,84822100,PAS,True,30,149
ENSG00000186854.10,chr2,84834403,84838241,PAS,True,122,140
ENSG00000186854.10,chr2,84880931,84881316,TSS,True,19,149
ENSG00000042445.13,chr2,85350779,85351350,TSS,True,136,173
ENSG00000042445.13,chr2,85354335,85354670,TSS,True,117,173
ENSG00000071051.13,chr2,105855289,105892981,ES,False,28,130
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,59,181
ENSG00000071051.13,chr2,105881480,105882049,TSS,True,151,180
ENSG00000143727.15,chr2,271939,275139,ME,False,44,157
ENSG00000115590.13,chr2,101991836,101991996,TSS,True,89,112
ENSG00000115590.13,chr2,101991823,101992011,TSS,False,50,112
ENSG00000115590.13,chr2,102028225,102028544,PAS,True,11,109
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,347,553
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,64,632
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,76,219
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,153,219
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,28,219
ENSG00000163466.15,chr2,218253890,218256753,PAS,True,85,648
ENSG00000163466.15,chr2,218249820,218250680,PAS,True,562,643
ENSG00000134318.13,chr2,11214357,11214463,PAS,True,83,103
ENSG00000134318.13,chr2,11215369,11215412,PAS,False,82,103
ENSG00000134318.13,chr2,11211908,11215645,PAS,True,92,103
ENSG00000134318.13,chr2,11218964,11219026,PAS,True,74,103
ENSG00000134318.13,chr2,11343995,11345317,TSS,True,25,125
ENSG00000138449.10,chr2,189578353,189579812,3AS,True,61,130
ENSG00000136710.9,chr2,130342014,130342165,TSS,True,42,131
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,16,120
ENSG00000115541.10,chr2,197500296,197501238,TSS,True,106,119
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,72,227
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,204,228
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,191,227
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,33,160
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,90,107
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,65,140
ENSG00000171863.14,chr2,3575322,3575888,TSS,False,94,140
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,33,243
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,54,274
ENSG00000071073.12,chr2,98731047,98731139,TSS,True,48,122
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,67,230
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,198,228
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,194,228
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,80,102
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,30,102
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,22,102
ENSG00000115884.10,chr2,20203812,20204195,TSS,True,396,504
ENSG00000115884.10,chr2,20224801,20225140,TSS,True,360,504
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,21,105
ENSG00000179526.16,chr8,144099199,144099276,3AS,True,11,101
ENSG00000179526.16,chr8,144099205,144099276,IR,True,90,110
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,28,141
ENSG00000147804.9,chr8,144416597,144416917,TSS,True,248,967
ENSG00000104687.13,chr8,30727529,30727967,TSS,True,27,165
ENSG00000173137.11,chr8,144390746,144390860,3AS,False,28,206
ENSG00000173137.11,chr8,144391711,144391782,IR,False,129,208
ENSG00000173137.11,chr8,144373982,144374107,TSS,True,151,222
ENSG00000173137.11,chr8,144383073,144383230,TSS,True,79,222
ENSG00000156675.15,chr8,37899070,37899513,TSS,True,102,130
ENSG00000156675.15,chr8,37874514,37874842,TSS,True,86,122
ENSG00000079112.9,chr8,94208482,94208608,TSS,True,204,1215
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,20,117
ENSG00000078668.13,chr8,42402015,42403310,IR,True,156,175
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,27,141
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,40,316
ENSG00000198363.17,chr8,61643433,61644599,ES,False,43,326
ENSG00000198363.17,chr8,61644632,61651049,ES,False,67,326
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,46,338
ENSG00000147649.9,chr8,97643970,97644887,TSS,True,19,159
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,94,143
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,122,146
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,68,140
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,617,1154
ENSG00000179832.17,chr8,144147960,144148076,TSS,True,73,114
ENSG00000179832.17,chr8,144261654,144262633,PAS,True,48,114
ENSG00000164733.20,chr8,11853479,11868000,ME,False,102,114
ENSG00000164733.20,chr8,11853479,11868000,ME,False,102,114
ENSG00000164733.20,chr8,11853479,11868000,ES,False,1041,1163
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,137,1301
ENSG00000104413.16,chr8,94674494,94678202,5AS,False,69,117
ENSG00000104413.16,chr8,94678371,94705924,ES,False,18,123
ENSG00000104413.16,chr8,94640526,94641450,TSS,True,88,143
ENSG00000104413.16,chr8,94667982,94668250,TSS,True,127,142
ENSG00000104413.16,chr8,94674304,94674506,TSS,True,109,136
ENSG00000104522.15,chr8,143614453,143614623,IR,False,190,215
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,51,231
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,82,101
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,24,106
ENSG00000185000.11,chr8,144317109,144317186,IR,False,300,348
ENSG00000185000.11,chr8,144326436,144327477,TSS,True,145,393
ENSG00000179950.13,chr8,143818534,143821596,ES,False,154,430
ENSG00000179950.13,chr8,143821913,143829279,ES,False,41,387
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,54,347
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,160,548
ENSG00000133742.13,chr8,85341598,85341714,TSS,True,373,1402
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,281,816
ENSG00000164924.17,chr8,100953268,100953476,TSS,True,697,816
ENSG00000178814.16,chr8,144060652,144061242,TSS,False,127,156
ENSG00000104518.10,chr8,143560771,143561001,IR,False,198,231
ENSG00000104518.10,chr8,143561104,143561369,IR,False,213,249
ENSG00000104518.10,chr8,143558294,143558451,TSS,True,62,264
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,64,245
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,33,299
ENSG00000104388.14,chr8,60620673,60623626,PAS,True,29,281
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,74,633
ENSG00000167701.13,chr8,144506131,144506231,IR,True,178,202
ENSG00000167701.13,chr8,144503497,144504466,TSS,True,54,226
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,40,228
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,43,377
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,89,470
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,26,174
ENSG00000167700.8,chr8,144508262,144510015,TSS,True,27,262
ENSG00000120915.13,chr8,27491108,27491309,TSS,True,32,249
ENSG00000132561.13,chr8,98032317,98033098,3AS,False,70,108
ENSG00000132561.13,chr8,97868859,97869287,TSS,True,20,111
ENSG00000130193.7,chr8,142727168,142727859,TSS,True,19,103
ENSG00000168615.11,chr8,38996752,38997160,TSS,True,29,134
ENSG00000168575.9,chr8,42541537,42541937,TSS,True,78,101
ENSG00000179632.9,chr8,144103871,144104858,TSS,True,34,233
ENSG00000160948.13,chr8,144425000,144425682,3AS,False,15,145
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,50,191
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,64,279
ENSG00000104635.13,chr8,22408496,22414779,ME,False,65,150
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,94,204
ENSG00000104635.13,chr8,22367303,22367737,TSS,True,172,204
ENSG00000213563.6,chr8,144526639,144526959,IR,False,46,130
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,84,130
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,42,103
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,28,130
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,82,259
ENSG00000070756.15,chr8,100709458,100711202,TSS,True,210,258
ENSG00000076554.15,chr8,80171424,80171633,TSS,True,223,665
ENSG00000076554.15,chr8,80080314,80080835,TSS,True,461,663
ENSG00000120885.21,chr8,27614654,27614703,TSS,True,17,104
ENSG00000168079.16,chr8,27977029,27977128,TSS,True,117,135
ENSG00000160972.9,chr8,144478288,144478522,TSS,False,106,118
ENSG00000160972.9,chr8,144496481,144497453,TSS,True,95,118
ENSG00000160972.9,chr8,144501106,144501294,TSS,True,103,117
ENSG00000104549.11,chr8,125021752,125022286,PAS,True,21,194
ENSG00000185803.9,chr8,144358900,144359183,5AS,False,24,162
ENSG00000185803.9,chr8,144358554,144359065,TSS,True,98,247
ENSG00000185803.9,chr8,144358581,144358900,TSS,True,219,247
ENSG00000185803.9,chr8,144358617,144360493,TSS,True,221,247
ENSG00000182325.10,chr8,144356915,144356989,IR,False,179,205
ENSG00000182325.10,chr8,144357121,144357438,IR,False,108,181
ENSG00000182325.10,chr8,144357502,144357627,IR,False,120,192
ENSG00000182325.10,chr8,144357786,144358031,IR,False,107,203
ENSG00000182325.10,chr8,144358031,144358559,TSS,True,110,218
ENSG00000182325.10,chr8,144357627,144358688,TSS,True,193,218
ENSG00000182325.10,chr8,144356989,144358543,TSS,False,174,218
ENSG00000179091.4,chr8,144095673,144095832,IR,True,22,147
ENSG00000179091.4,chr8,144095054,144095228,TSS,False,182,1670
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,125,571
ENSG00000067225.17,chr15,72218943,72219112,TSS,True,509,571
ENSG00000185043.11,chr15,90233834,90233970,TSS,True,57,418
ENSG00000166920.12,chr15,45430655,45430769,IR,False,1270,1849
ENSG00000166920.12,chr15,45430605,45430655,TSS,True,623,1893
ENSG00000166920.12,chr15,45430610,45430832,TSS,True,1324,1893
ENSG00000073417.14,chr15,84980438,84982348,TSS,True,23,116
ENSG00000137767.13,chr15,45634745,45635108,TSS,True,186,866
ENSG00000137767.13,chr15,45658904,45659157,TSS,True,774,866
ENSG00000138600.9,chr15,50725323,50726320,ES,False,160,223
ENSG00000166825.13,chr15,89801434,89802332,TSS,True,353,397
ENSG00000166825.13,chr15,89805969,89806801,TSS,True,238,398
ENSG00000166825.13,chr15,89805320,89806675,TSS,False,358,398
ENSG00000129007.14,chr15,68197628,68205120,ES,False,23,190
ENSG00000129007.14,chr15,68199681,68205244,ES,False,27,194
ENSG00000179335.18,chr15,74615703,74615898,TSS,False,25,112
ENSG00000179335.18,chr15,74629706,74630200,PAS,True,14,111
ENSG00000140374.15,chr15,76292700,76311349,ES,False,42,394
ENSG00000180304.14,chr15,64703028,64703271,TSS,True,12,105
ENSG00000140157.14,chr15,22838921,22851638,ES,False,127,225
ENSG00000140157.14,chr15,22838921,22851638,5AS,False,127,181
ENSG00000140157.14,chr15,22838643,22838921,TSS,True,59,285
ENSG00000140157.14,chr15,22838647,22839174,TSS,True,256,285
ENSG00000237289.9,chr15,43592985,43594367,TSS,True,217,282
ENSG00000237289.9,chr15,43594024,43595170,TSS,True,253,282
ENSG00000237289.9,chr15,43593059,43593271,TSS,True,115,283
ENSG00000182718.16,chr15,60386086,60397942,ME,False,148,166
ENSG00000182718.16,chr15,60386086,60397942,ES,False,1228,1398
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,19,179
ENSG00000137815.14,chr15,41452900,41452942,PAS,True,99,161
ENSG00000137815.14,chr15,41464770,41464861,PAS,True,90,166
ENSG00000157483.8,chr15,59134918,59137456,PAS,True,40,107
ENSG00000157483.8,chr15,59372497,59373066,TSS,True,84,127
ENSG00000035664.11,chr15,63907031,63908600,PAS,True,21,129
ENSG00000166145.14,chr15,40853881,40854059,5AS,False,293,569
ENSG00000166145.14,chr15,40854086,40854638,ES,False,139,570
ENSG00000166145.14,chr15,40843735,40844186,TSS,False,483,673
ENSG00000166145.14,chr15,40844176,40845029,TSS,False,326,673
ENSG00000140416.20,chr15,63042137,63042943,TSS,True,608,768
ENSG00000140416.20,chr15,63048405,63048707,TSS,True,189,762
ENSG00000140416.20,chr15,63071089,63071915,PAS,True,96,760
ENSG00000138614.14,chr15,65611097,65611613,TSS,True,28,110
ENSG00000138614.14,chr15,65610795,65611148,TSS,True,98,110
ENSG00000140575.12,chr15,90388211,90388396,TSS,True,42,118
ENSG00000140575.12,chr15,90494712,90494757,PAS,False,95,106
ENSG00000140575.12,chr15,90499994,90502239,PAS,True,69,111
ENSG00000074410.13,chr15,63340287,63340423,TSS,True,380,736
ENSG00000074410.13,chr15,63381635,63382110,TSS,True,540,739
ENSG00000233041.8,chr15,40351019,40351062,TSS,False,197,559
ENSG00000273749.4,chr15,22914882,22917787,ME,False,45,102
ENSG00000273749.4,chr15,22980286,22980440,TSS,True,142,178
ENSG00000273749.4,chr15,22903705,22905508,TSS,True,151,170
ENSG00000273749.4,chr15,22947168,22948198,TSS,True,132,178
ENSG00000104131.12,chr15,44537049,44537237,TSS,True,111,149
ENSG00000104131.12,chr15,44537322,44537427,TSS,True,44,149
ENSG00000104131.12,chr15,44561017,44562801,PAS,True,38,148
ENSG00000104131.12,chr15,44551430,44551490,PAS,True,127,147
ENSG00000166477.12,chr15,51938024,51938260,PAS,True,27,107
ENSG00000166477.12,chr15,51951842,51951979,PAS,True,90,106
ENSG00000185033.14,chr15,90223196,90223740,TSS,True,304,339
ENSG00000185033.14,chr15,90225280,90225397,TSS,False,288,338
