gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF362CPC_in_cov,endodermal_cell_ENCFF362CPC_total_cov
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,84,288
ENSG00000119787.13,chr2,38293948,38298575,PAS,True,208,267
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,43,288
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,18,114
ENSG00000144029.11,chr2,95106457,95108253,5AS,True,16,104
ENSG00000197329.11,chr2,64144080,64144425,TSS,True,40,378
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,111,432
ENSG00000084693.15,chr2,27051642,27051793,TSS,True,16,139
ENSG00000084693.15,chr2,27059189,27059535,PAS,True,55,137
ENSG00000084693.15,chr2,27070091,27070622,PAS,True,95,139
ENSG00000163251.3,chr2,207769264,207769904,TSS,False,842,1322
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,41,204
ENSG00000115241.10,chr2,27384672,27384996,TSS,True,180,204
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,12,110
ENSG00000138073.13,chr2,27133337,27133531,IR,False,146,165
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,71,133
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,58,121
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,57,138
ENSG00000144136.10,chr2,112652798,112657121,ES,False,107,132
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,18,152
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,315,398
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,270,356
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,186,431
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,347,431
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,102,212
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,23,228
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,58,112
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,95,112
ENSG00000172845.14,chr2,173954872,173956233,TSS,True,95,112
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,28,132
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,116,132
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,16,126
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,157,546
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,471,545
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,187,285
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,68,157
ENSG00000065911.11,chr2,74198742,74207703,ES,False,33,126
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,447,543
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,135,543
ENSG00000124831.18,chr2,237749324,237753308,ES,False,193,257
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,77,283
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,232,281
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,207,265
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,74,278
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,47,195
ENSG00000173209.23,chr2,61181405,61184711,ES,False,193,226
ENSG00000173209.23,chr2,61185618,61186445,IR,False,105,213
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,28,244
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,242,275
ENSG00000077232.17,chr2,182732542,182740298,ES,False,67,286
ENSG00000077232.17,chr2,182732542,182740298,3AS,False,67,109
ENSG00000077232.17,chr2,182736386,182740298,3AS,False,223,265
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,57,380
ENSG00000115694.14,chr2,241499414,241500172,IR,False,242,296
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,37,188
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,247,329
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,164,329
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,287,329
ENSG00000168385.17,chr2,241315982,241324215,ES,False,562,663
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,139,835
ENSG00000115942.8,chr2,200963489,200963704,TSS,False,25,109
ENSG00000135931.17,chr2,231235381,231256585,ES,False,18,113
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,44,118
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,91,118
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,16,117
ENSG00000198925.11,chr2,219228053,219229534,ES,False,26,151
ENSG00000198925.11,chr2,219228482,219229534,3AS,False,23,125
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,48,203
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,177,203
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,314,522
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,432,522
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,429,522
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,122,137
ENSG00000115307.16,chr2,74527838,74527939,IR,False,126,142
ENSG00000115307.16,chr2,74528006,74528247,IR,False,123,138
ENSG00000115307.16,chr2,74528489,74528750,IR,True,118,134
ENSG00000115307.16,chr2,74528935,74529131,IR,False,93,133
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,28,107
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,91,107
ENSG00000128699.13,chr2,189783878,189784039,TSS,True,157,179
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,156,179
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,57,179
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,24,123
ENSG00000173744.17,chr2,227472138,227472588,TSS,True,32,142
ENSG00000115310.17,chr2,54987698,55049744,ES,False,225,273
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,47,320
ENSG00000114993.16,chr2,74427592,74428267,IR,True,157,178
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,27,200
ENSG00000040933.15,chr2,98546694,98552785,5AS,True,102,134
ENSG00000040933.15,chr2,98555691,98559462,5AS,False,84,133
ENSG00000040933.15,chr2,98444823,98445085,TSS,True,43,178
ENSG00000168894.9,chr2,85596649,85597103,ES,True,21,147
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,63,606
ENSG00000085449.14,chr2,223945147,223945383,TSS,True,34,159
ENSG00000115392.11,chr2,58162947,58163028,IR,False,105,119
ENSG00000115392.11,chr2,58163074,58163433,IR,False,105,119
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,101,114
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,20,148
ENSG00000144354.13,chr2,173358837,173363225,ES,False,138,258
ENSG00000144354.13,chr2,173363895,173364794,IR,False,209,245
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,30,138
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,32,282
ENSG00000115825.9,chr2,37293271,37324680,ES,True,32,104
ENSG00000115825.9,chr2,37324680,37324833,TSS,False,32,138
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,36,198
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,169,198
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,16,117
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,46,180
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,18,107
ENSG00000115138.10,chr2,25164792,25168497,3AS,False,88,100
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,58,234
ENSG00000168758.10,chr2,96869875,96870099,TSS,False,90,166
ENSG00000168758.10,chr2,96869186,96869497,TSS,True,116,166
ENSG00000243147.7,chr2,27772692,27779432,ES,False,63,100
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,21,118
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,143,271
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,36,323
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,29,134
ENSG00000162878.12,chr2,42054307,42054940,IR,True,96,115
ENSG00000178568.14,chr2,211387150,211420440,ES,False,30,138
ENSG00000178568.14,chr2,211375715,211384060,PAS,True,136,279
ENSG00000178568.14,chr2,211560262,211562088,PAS,True,143,264
ENSG00000178568.14,chr2,211591902,211592007,TSS,True,239,502
ENSG00000128641.18,chr2,191400468,191408114,ES,False,96,333
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,84,362
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,22,200
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,162,257
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,100,257
ENSG00000144476.5,chr2,236567841,236580439,ES,True,107,130
ENSG00000144476.5,chr2,236569662,236569924,TSS,False,168,340
ENSG00000144476.5,chr2,236567752,236567841,TSS,False,210,343
ENSG00000121966.6,chr2,136118045,136118149,TSS,False,50,379
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,19,122
ENSG00000163795.13,chr2,27380471,27380784,TSS,False,25,126
ENSG00000163795.13,chr2,27380092,27380782,TSS,True,112,126
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,63,489
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,23,118
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,42,170
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,18,168
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,34,227
ENSG00000171853.15,chr2,3379682,3379876,TSS,True,16,100
ENSG00000168397.16,chr2,241651335,241653511,ES,False,182,217
ENSG00000168397.16,chr2,241671405,241672190,IR,False,194,226
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,40,259
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,46,253
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,224,252
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,102,214
ENSG00000115365.11,chr2,210477449,210477602,TSS,False,188,214
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,32,253
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,36,102
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,77,113
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,53,113
ENSG00000172292.14,chr2,168456077,168456618,TSS,True,49,118
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,91,453
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,250,612
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,521,612
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,20,189
ENSG00000162980.16,chr2,151828130,151828509,TSS,True,21,136
ENSG00000144021.2,chr2,96268658,96269267,IR,False,111,127
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,178,203
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,32,210
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,33,274
ENSG00000198369.9,chr2,65431961,65432768,TSS,True,18,148
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,24,125
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,76,102
ENSG00000082258.12,chr2,134918279,134919012,TSS,True,19,119
ENSG00000082258.12,chr2,134954480,134959342,PAS,True,77,109
ENSG00000082258.12,chr2,134953229,134959339,PAS,True,31,107
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,94,584
ENSG00000163161.13,chr2,127289501,127289688,IR,False,98,111
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,17,124
ENSG00000143889.15,chr2,38602600,38602856,IR,False,17,126
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,20,129
ENSG00000143889.15,chr2,38602856,38603062,TSS,True,112,129
ENSG00000153107.12,chr2,111883941,111884318,TSS,True,25,100
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,29,189
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,23,193
ENSG00000068912.13,chr2,53801842,53809213,ES,False,21,129
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,30,285
ENSG00000115540.14,chr2,197516146,197535529,ES,False,19,157
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,48,284
ENSG00000115446.11,chr2,98608726,98609755,IR,False,138,155
ENSG00000115446.11,chr2,98616533,98618167,3AS,False,143,161
ENSG00000115446.11,chr2,98608557,98608726,TSS,False,23,170
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,23,170
ENSG00000115446.11,chr2,98618145,98618515,PAS,True,152,170
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,140,704
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,578,704
ENSG00000163798.13,chr2,27688020,27688699,IR,True,89,101
ENSG00000118257.16,chr2,205682905,205683090,IR,False,32,121
ENSG00000118257.16,chr2,205682427,205683363,TSS,True,91,180
ENSG00000118257.16,chr2,205682447,205682905,TSS,True,148,180
ENSG00000118257.16,chr2,205794753,205798132,PAS,True,50,160
ENSG00000118257.16,chr2,205776245,205779714,PAS,True,133,154
ENSG00000003402.19,chr2,201129327,201130146,TSS,True,91,144
ENSG00000003402.19,chr2,201129308,201129520,TSS,False,105,144
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,83,118
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,101,121
ENSG00000003402.19,chr2,201140356,201141605,PAS,True,86,118
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,39,112
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,89,112
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,232,260
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,175,260
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,188,260
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,150,667
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,547,667
ENSG00000119801.12,chr2,30147062,30156627,ES,False,101,138
ENSG00000119801.12,chr2,30146943,30147062,TSS,True,22,160
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,21,105
ENSG00000119772.16,chr2,25252193,25252337,TSS,False,46,121
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,250,281
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,35,107
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,87,527
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,19,151
ENSG00000135932.10,chr2,230712824,230713230,TSS,False,13,122
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,26,116
ENSG00000114956.19,chr2,73927052,73946718,ES,False,95,120
ENSG00000114956.19,chr2,73927052,73958145,ES,True,29,151
ENSG00000114956.19,chr2,73946906,73958145,ES,False,69,114
ENSG00000168883.19,chr2,85616456,85619219,5AS,False,22,204
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,46,228
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,216,260
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,57,273
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,230,273
ENSG00000239779.6,chr2,74458671,74459642,ES,False,93,115
ENSG00000239779.6,chr2,74457828,74458671,TSS,True,21,136
ENSG00000138443.15,chr2,203394846,203395658,3AS,False,15,117
ENSG00000138443.15,chr2,203402734,203416907,ES,False,61,121
ENSG00000138443.15,chr2,203427269,203427495,IR,True,13,122
ENSG00000138443.15,chr2,203328259,203328631,TSS,True,35,155
ENSG00000138443.15,chr2,203427176,203432169,PAS,True,18,127
ENSG00000138443.15,chr2,203427495,203432169,PAS,True,115,128
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,34,160
ENSG00000153827.13,chr2,229921879,229922235,TSS,True,91,140
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,43,264
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,112,243
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,144,276
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,156,276
ENSG00000115211.15,chr2,27367822,27368024,IR,False,124,138
ENSG00000115211.15,chr2,27368139,27368371,IR,False,117,133
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,55,139
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,25,144
ENSG00000115306.15,chr2,54456274,54456518,TSS,True,203,227
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,182,224
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,132,171
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,117,171
ENSG00000075292.18,chr2,71434741,71435062,PAS,True,20,170
ENSG00000075292.18,chr2,71395246,71395756,PAS,False,108,122
ENSG00000275052.4,chr2,55577356,55579678,ES,False,77,129
ENSG00000275052.4,chr2,55588956,55603977,ES,True,16,128
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,21,156
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,20,162
ENSG00000186522.14,chr2,109544324,109546049,IR,True,115,139
ENSG00000186522.14,chr2,109585838,109613797,ES,False,12,119
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,37,152
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,114,138
ENSG00000186522.14,chr2,109613797,109614196,TSS,True,23,152
ENSG00000064933.17,chr2,189877271,189878394,PAS,True,17,151
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,195,245
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,92,245
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,17,134
ENSG00000116001.15,chr2,70216499,70216885,5AS,False,101,131
ENSG00000116001.15,chr2,70227822,70229263,ES,False,42,109
ENSG00000116001.15,chr2,70248404,70248770,TSS,True,44,164
ENSG00000183054.11,chr2,110610981,110611104,TSS,True,84,113
ENSG00000183054.11,chr2,110576952,110577253,TSS,True,79,113
ENSG00000183054.11,chr2,110533464,110535142,TSS,False,93,112
ENSG00000183054.11,chr2,110610714,110611106,TSS,True,101,113
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,20,137
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,34,243
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,218,243
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,39,345
ENSG00000143924.18,chr2,42256630,42263177,ES,False,38,185
ENSG00000143924.18,chr2,42169258,42169636,TSS,True,76,261
ENSG00000115875.18,chr2,38745187,38746693,ES,False,44,251
ENSG00000115875.18,chr2,38751228,38751439,TSS,True,36,273
ENSG00000071051.13,chr2,105855289,105892981,ES,False,41,210
ENSG00000018510.14,chr2,177392739,177393049,TSS,True,22,203
ENSG00000115414.18,chr2,215372015,215372108,IR,False,1887,2627
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,168,901
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,1319,3061
ENSG00000143727.15,chr2,271939,275139,ME,False,41,255
ENSG00000144401.14,chr2,207624404,207625264,5AS,True,90,105
ENSG00000144401.14,chr2,207609107,207609765,PAS,False,76,113
ENSG00000144401.14,chr2,207612087,207613443,PAS,True,46,109
ENSG00000144401.14,chr2,207625061,207625393,TSS,True,96,114
ENSG00000144401.14,chr2,207625264,207625397,TSS,False,24,114
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,188,267
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,35,308
ENSG00000115207.13,chr2,27324199,27326893,PAS,True,20,123
ENSG00000115207.13,chr2,27356738,27357413,TSS,True,37,125
ENSG00000130508.10,chr2,1684151,1691927,ES,False,52,140
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,221,257
ENSG00000130508.10,chr2,1744255,1744568,TSS,True,123,259
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,26,196
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,171,191
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,38,203
ENSG00000198130.15,chr2,190204802,190205099,IR,False,18,103
ENSG00000198130.15,chr2,190205232,190212955,ES,False,15,107
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,27,114
ENSG00000198130.15,chr2,190200925,190204802,PAS,False,102,121
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,62,155
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,116,155
ENSG00000213160.9,chr2,169733795,169734087,TSS,False,31,120
ENSG00000114999.7,chr2,112482067,112482501,TSS,True,30,118
ENSG00000115368.9,chr2,189441391,189441578,TSS,True,22,149
ENSG00000119777.19,chr2,27035285,27035593,IR,True,106,119
ENSG00000119777.19,chr2,27035728,27035969,IR,False,110,123
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,21,142
ENSG00000153250.19,chr2,160281364,160284774,ES,False,61,127
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,57,129
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,117,148
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,65,148
ENSG00000136002.18,chr2,131040440,131041229,IR,True,91,106
ENSG00000136002.18,chr2,131041462,131041814,IR,False,87,107
ENSG00000136002.18,chr2,131034215,131035288,TSS,True,94,125
ENSG00000136002.18,chr2,130963249,130964249,TSS,False,67,125
ENSG00000136002.18,chr2,131046037,131047255,PAS,True,12,115
