gene,chr,start,end,splice_type,novel,cardiac_septum_ENCFF626QRV_in_cov,cardiac_septum_ENCFF626QRV_total_cov
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,213,282
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,214,274
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,190,282
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,22,160
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,130,146
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,22,158
ENSG00000196141.13,chr2,200419496,200440648,ES,False,146,269
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,91,461
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,169,445
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,275,428
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,119,280
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,79,102
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,34,103
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,86,105
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,33,111
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,14,103
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,112,244
ENSG00000136732.15,chr2,126656312,126693863,ES,False,18,136
ENSG00000136732.15,chr2,126655856,126656312,TSS,True,32,170
ENSG00000124831.18,chr2,237708630,237748363,ES,False,38,184
ENSG00000124831.18,chr2,237720822,237727875,ES,False,21,123
ENSG00000124831.18,chr2,237749324,237753308,ES,False,40,205
ENSG00000124831.18,chr2,237756187,237760063,ES,False,43,190
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,101,275
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,228,262
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,182,240
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,144,269
ENSG00000115204.14,chr2,27311951,27312213,IR,False,87,102
ENSG00000115204.14,chr2,27312246,27312493,IR,False,86,102
ENSG00000115204.14,chr2,27309405,27309981,PAS,True,18,110
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,37,113
ENSG00000115204.14,chr2,27322447,27322570,TSS,True,98,113
ENSG00000163092.19,chr2,167187354,167187531,TSS,False,208,251
ENSG00000163092.19,chr2,167250512,167251947,TSS,True,60,114
ENSG00000163092.19,chr2,167257856,167259753,PAS,True,140,200
ENSG00000114923.16,chr2,219627745,219627959,3AS,False,37,145
ENSG00000114923.16,chr2,219628570,219629143,5AS,False,156,199
ENSG00000114923.16,chr2,219627156,219627745,TSS,True,704,849
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,668,848
ENSG00000115694.14,chr2,241499414,241500172,IR,False,148,173
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,20,123
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,195,229
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,116,229
ENSG00000168385.17,chr2,241315982,241324215,ES,False,370,428
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,98,555
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,67,521
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,364,407
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,274,543
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,454,543
ENSG00000115307.16,chr2,74528935,74529131,IR,False,115,149
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,28,178
ENSG00000115310.17,chr2,54972184,54973198,PAS,True,52,126
ENSG00000115310.17,chr2,55025843,55027485,PAS,False,54,100
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,69,162
ENSG00000115310.17,chr2,55025085,55026690,TSS,True,96,113
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,74,213
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,161,213
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,64,274
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,40,141
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,118,141
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,32,251
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,78,154
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,93,154
ENSG00000077044.10,chr2,233418895,233419421,TSS,False,119,147
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,31,112
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,98,110
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,225,554
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,372,546
ENSG00000163170.11,chr2,74135658,74145188,ES,False,60,141
ENSG00000163170.11,chr2,74147820,74147923,TSS,True,36,147
ENSG00000163170.11,chr2,74145188,74145300,TSS,True,115,144
ENSG00000061676.14,chr2,183003319,183023805,3AS,True,72,124
ENSG00000061676.14,chr2,182924584,182925818,PAS,True,16,144
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,21,149
ENSG00000243147.7,chr2,27772692,27779432,ES,False,224,325
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,83,404
ENSG00000162878.12,chr2,42054040,42054307,TSS,True,93,116
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,48,120
ENSG00000237298.9,chr2,178576528,178576825,PAS,True,84,108
ENSG00000170634.12,chr2,53970865,53971321,TSS,True,141,167
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,18,114
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,132,205
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,75,205
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,373,888
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,18,115
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,28,166
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,55,262
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,139,217
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,162,209
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,164,208
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,207,258
ENSG00000170417.15,chr2,102761993,102762349,TSS,True,26,139
ENSG00000170417.15,chr2,102814747,102819570,PAS,True,16,122
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,21,100
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,48,105
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,91,102
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,396,991
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,858,991
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,39,322
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,84,240
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,48,170
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,114,156
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,32,170
ENSG00000134330.18,chr2,9474647,9478221,ES,False,11,105
ENSG00000072195.14,chr2,219489333,219489939,TSS,True,124,155
ENSG00000072195.14,chr2,219447788,219449271,TSS,True,255,290
ENSG00000072195.14,chr2,219466056,219466863,PAS,True,21,107
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,146,229
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,33,192
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,35,118
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,79,103
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,105,699
ENSG00000114948.12,chr2,206443352,206444080,TSS,True,50,120
ENSG00000155657.26,chr2,178789497,178790707,ES,True,24,125
ENSG00000155657.26,chr2,178790115,178792071,ES,False,43,140
ENSG00000155657.26,chr2,178525988,178527307,PAS,True,2488,3106
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,400,882
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,229,740
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,2381,3195
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,71,363
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,299,360
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,44,366
ENSG00000068912.13,chr2,53801842,53809213,ES,False,17,119
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,91,146
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,93,149
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,125,147
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,51,384
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,339,384
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,65,177
ENSG00000239305.6,chr2,86622660,86623854,TSS,True,16,153
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,97,368
ENSG00000135617.3,chr2,73233093,73233262,TSS,True,49,230
ENSG00000135617.3,chr2,73228794,73228959,TSS,True,185,228
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,80,170
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,146,170
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,84,139
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,119,140
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,125,140
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,55,120
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,90,120
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,153,660
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,530,660
ENSG00000119801.12,chr2,30147062,30156627,ES,False,85,105
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,238,378
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,243,378
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,19,122
ENSG00000175084.11,chr2,219418137,219419040,TSS,False,5577,49877
ENSG00000135932.10,chr2,230712824,230713230,TSS,False,18,142
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,141,196
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,67,208
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,153,208
ENSG00000204822.6,chr2,74472568,74474233,TSS,True,43,167
ENSG00000115993.12,chr2,201377206,201381218,PAS,False,36,154
ENSG00000115993.12,chr2,201392978,201393046,PAS,True,121,135
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,70,187
ENSG00000138443.15,chr2,203328259,203328631,TSS,True,35,102
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,33,130
ENSG00000136536.14,chr2,159762993,159767283,ES,False,15,142
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,59,157
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,117,157
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,31,116
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,16,124
ENSG00000115306.15,chr2,54663518,54664691,TSS,True,125,140
ENSG00000115306.15,chr2,54469890,54469986,TSS,True,325,384
ENSG00000115306.15,chr2,54661030,54663690,TSS,True,105,143
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,128,282
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,236,268
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,247,345
ENSG00000136682.14,chr2,113438022,113441350,ES,False,88,102
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,12,105
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,17,144
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,625,705
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,125,705
ENSG00000127824.13,chr2,219252007,219252231,TSS,True,157,184
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,87,184
ENSG00000142327.12,chr2,240575610,240576567,3AS,False,17,160
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,84,225
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,91,625
ENSG00000079308.18,chr2,217799788,217804603,PAS,True,143,782
ENSG00000079308.18,chr2,217817713,217818759,PAS,True,103,152
ENSG00000079308.18,chr2,217821757,217821938,PAS,True,125,145
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,738,1318
ENSG00000116044.15,chr2,177230304,177232008,PAS,True,15,135
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,40,142
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,118,142
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,163,763
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,630,763
ENSG00000196843.15,chr2,96547517,96549752,ES,False,75,191
ENSG00000196843.15,chr2,96536703,96536830,TSS,True,64,252
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,94,197
ENSG00000115840.13,chr2,171894202,171894530,TSS,True,31,184
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,28,104
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,533,612
ENSG00000115641.18,chr2,105438398,105438583,TSS,True,245,613
ENSG00000115593.14,chr2,88091142,88096594,ES,False,28,181
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,59,248
ENSG00000071051.13,chr2,105855289,105892981,ES,False,21,110
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,34,143
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,43,122
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,83,126
ENSG00000143727.15,chr2,271939,275139,ME,False,17,138
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,161,228
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,88,553
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,110,215
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,86,215
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,166,215
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,188,215
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,39,101
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,41,231
ENSG00000168958.19,chr2,227325427,227330625,ES,False,50,102
ENSG00000168958.19,chr2,227325427,227332418,ES,False,14,116
ENSG00000168958.19,chr2,227340380,227352513,ES,False,28,105
ENSG00000168958.19,chr2,227340380,227355676,ES,False,12,119
ENSG00000168958.19,chr2,227325230,227325427,TSS,True,14,130
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,75,163
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,25,170
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,49,211
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,185,211
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,99,123
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,34,123
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,27,123
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,97,113
ENSG00000179526.16,chr8,144098994,144099276,ES,False,23,125
ENSG00000179526.16,chr8,144098629,144098788,PAS,False,22,158
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,34,161
ENSG00000008513.15,chr8,133476074,133476277,IR,False,91,132
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,168,292
ENSG00000029534.20,chr8,41664804,41665289,TSS,True,34,112
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,203,313
ENSG00000133878.8,chr8,33599664,33600003,TSS,True,37,348
ENSG00000104687.13,chr8,30727529,30727967,TSS,True,11,101
ENSG00000184489.11,chr8,141418018,141421387,5AS,True,116,155
ENSG00000184489.11,chr8,141421610,141422180,IR,False,60,549
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,65,574
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,617,917
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,721,917
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,784,918
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,44,422
ENSG00000155096.13,chr8,102843747,102858012,ES,False,85,106
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,44,137
ENSG00000155096.13,chr8,102858012,102858150,TSS,True,120,137
ENSG00000147576.16,chr8,66432450,66432575,TSS,True,24,123
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,101,481
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,155,188
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,152,177
ENSG00000187954.12,chr8,144465207,144465437,TSS,True,171,195
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,159,195
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,60,126
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,82,126
ENSG00000198363.17,chr8,61681036,61684038,ES,False,75,123
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,59,134
ENSG00000198363.17,chr8,61661682,61665606,PAS,True,101,124
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,68,143
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,98,143
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,556,1301
ENSG00000147649.9,chr8,97691188,97706625,ES,False,43,121
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,100,177
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,133,178
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,124,175
ENSG00000176623.11,chr8,86508491,86508770,TSS,True,21,141
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,1212,1657
ENSG00000164733.20,chr8,11853479,11864375,ES,False,262,293
ENSG00000164733.20,chr8,11853479,11868000,ES,False,1734,2044
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,252,2298
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,202,457
ENSG00000185122.10,chr8,144313823,144313911,TSS,True,387,448
ENSG00000185122.10,chr8,144313905,144314054,TSS,True,378,448
ENSG00000077782.20,chr8,38417869,38420743,TSS,True,132,155
ENSG00000104332.11,chr8,41261958,41265489,PAS,True,61,125
ENSG00000104332.11,chr8,41303460,41303538,PAS,True,68,125
ENSG00000104332.11,chr8,41308615,41309485,TSS,False,55,179
ENSG00000121022.13,chr8,67062024,67062105,IR,False,12,115
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,17,119
ENSG00000121022.13,chr8,67062105,67062347,TSS,True,106,119
ENSG00000179950.13,chr8,143818534,143821596,ES,False,82,200
ENSG00000179950.13,chr8,143821913,143829279,ES,False,19,181
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,22,161
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,70,252
ENSG00000157110.15,chr8,30504436,30547291,ES,True,21,115
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,70,252
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,162,249
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,108,222
ENSG00000154328.15,chr8,11769633,11769791,TSS,False,48,104
ENSG00000154328.15,chr8,11769708,11770335,TSS,True,64,104
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,85,304
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,97,422
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,37,296
ENSG00000104388.14,chr8,60620673,60623626,PAS,True,31,276
ENSG00000147813.15,chr8,143574900,143574985,IR,False,80,108
ENSG00000147813.15,chr8,143575093,143575190,IR,False,79,102
ENSG00000147813.15,chr8,143576162,143576431,IR,False,97,110
ENSG00000147813.15,chr8,143576842,143577061,IR,False,91,104
ENSG00000147813.15,chr8,143577943,143578092,IR,False,84,104
ENSG00000147813.15,chr8,143574779,143574900,PAS,True,28,114
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,30,114
ENSG00000147813.15,chr8,143577815,143578644,TSS,True,96,114
ENSG00000147485.12,chr8,51408066,51409462,TSS,True,59,182
ENSG00000104529.17,chr8,143581328,143586728,ES,False,52,514
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,62,398
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,155,555
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,465,551
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,43,196
ENSG00000156482.10,chr8,98042644,98042697,TSS,True,175,195
ENSG00000147573.16,chr8,66127113,66127436,TSS,True,40,139
ENSG00000147573.16,chr8,66137109,66137190,TSS,True,113,139
ENSG00000147573.16,chr8,66174470,66175488,PAS,True,43,134
ENSG00000147573.16,chr8,66152376,66152411,PAS,True,108,131
ENSG00000147573.16,chr8,66150341,66150625,PAS,True,114,130
ENSG00000129292.20,chr8,132775645,132777795,3AS,False,79,124
ENSG00000129292.20,chr8,132804032,132804614,3AS,False,98,120
ENSG00000129292.20,chr8,132825263,132825358,PAS,False,51,129
ENSG00000129292.20,chr8,132811045,132813192,PAS,True,110,126
ENSG00000164951.15,chr8,93917079,93922015,ES,False,120,141
ENSG00000164951.15,chr8,93916890,93917079,TSS,True,48,189
ENSG00000164951.15,chr8,93917533,93917945,TSS,True,170,189
ENSG00000155975.9,chr8,17247369,17265906,ES,False,117,143
ENSG00000155975.9,chr8,17294986,17298024,PAS,True,20,167
ENSG00000154582.16,chr8,73959818,73972076,ES,False,149,199
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,25,233
ENSG00000168575.9,chr8,42541537,42541937,TSS,True,93,117
ENSG00000168575.9,chr8,42436988,42437417,TSS,True,85,102
ENSG00000168575.9,chr8,42501030,42501263,TSS,True,80,105
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,817,3200
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,2355,3154
ENSG00000179632.9,chr8,144103871,144104858,TSS,True,73,566
ENSG00000104331.8,chr8,56993198,56993867,TSS,True,19,114
ENSG00000160948.13,chr8,144425051,144425682,IR,False,173,204
ENSG00000160948.13,chr8,144426979,144428488,3AS,False,176,200
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,77,289
ENSG00000156804.7,chr8,123497888,123503462,PAS,True,13,109
ENSG00000156804.7,chr8,123540898,123541595,TSS,True,49,150
ENSG00000136574.17,chr8,11708928,11748918,3AS,False,119,166
ENSG00000136574.17,chr8,11703447,11704304,TSS,True,133,287
ENSG00000136574.17,chr8,11707853,11708928,TSS,True,255,287
ENSG00000136574.17,chr8,11758292,11760002,PAS,True,50,244
ENSG00000136574.17,chr8,11707855,11710689,PAS,True,144,172
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,64,289
ENSG00000067167.7,chr8,70608076,70608444,TSS,True,17,118
ENSG00000213563.6,chr8,144526639,144526959,IR,False,100,184
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,84,184
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,82,143
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,43,184
ENSG00000213563.6,chr8,144526959,144527443,TSS,True,163,184
ENSG00000171033.12,chr8,78516468,78598357,ES,False,24,165
ENSG00000171033.12,chr8,78516306,78516468,TSS,True,70,238
ENSG00000171033.12,chr8,78591226,78591283,TSS,False,190,235
ENSG00000175445.15,chr8,19939222,19939528,TSS,True,179,711
ENSG00000120885.21,chr8,27614654,27614703,TSS,True,56,282
ENSG00000137547.8,chr8,54135205,54135391,TSS,True,21,180
ENSG00000160972.9,chr8,144477943,144478127,TSS,True,135,156
ENSG00000160972.9,chr8,144501106,144501294,TSS,True,65,154
ENSG00000188343.12,chr8,93700506,93700673,TSS,False,11,103
ENSG00000133872.13,chr8,30070059,30082846,ES,False,48,312
ENSG00000067225.17,chr15,72200655,72206727,ME,False,1431,2337
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,353,2468
ENSG00000185043.11,chr15,90233834,90233970,TSS,True,15,142
ENSG00000140545.14,chr15,88898681,88899532,PAS,True,43,181
ENSG00000140545.14,chr15,88903468,88905901,PAS,True,109,132
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,379,475
ENSG00000041357.15,chr15,78540409,78540539,TSS,True,20,105
ENSG00000041357.15,chr15,78545633,78545764,TSS,True,93,105
ENSG00000068305.17,chr15,99566104,99632977,ES,False,33,165
ENSG00000068305.17,chr15,99645764,99674392,ME,False,61,165
