gene,chr,start,end,splice_type,novel,H9_ENCFF292UIE_in_cov,H9_ENCFF292UIE_total_cov
ENSG00000160193.11,chr21,42847048,42848448,PAS,True,235,270
ENSG00000159128.14,chr21,33403616,33414887,ES,False,167,187
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,90,130
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,49,130
ENSG00000142192.20,chr21,25880549,25881771,PAS,True,53,134
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,94,277
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,205,277
ENSG00000185917.13,chr21,36035960,36036084,IR,False,97,132
ENSG00000185917.13,chr21,36036251,36038149,ES,True,114,129
ENSG00000185917.13,chr21,36041888,36043781,ES,True,85,122
ENSG00000185917.13,chr21,36058924,36060346,3AS,False,137,211
ENSG00000185917.13,chr21,36034364,36036251,PAS,True,226,261
ENSG00000185917.13,chr21,36034532,36035960,PAS,True,163,261
ENSG00000185917.13,chr21,36042410,36043956,PAS,True,145,259
ENSG00000185917.13,chr21,36060346,36060903,TSS,True,48,264
ENSG00000160201.11,chr21,43095743,43104314,ME,False,57,200
ENSG00000160199.14,chr21,43029889,43034480,PAS,True,50,222
ENSG00000160199.14,chr21,43028701,43029591,PAS,True,179,222
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,48,102
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,64,101
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,28,157
ENSG00000160299.16,chr21,46324057,46324282,TSS,True,92,201
ENSG00000160299.16,chr21,46324635,46325210,TSS,False,121,201
ENSG00000160299.16,chr21,46353986,46354023,PAS,True,171,191
ENSG00000160299.16,chr21,46353103,46353328,PAS,True,152,191
ENSG00000160299.16,chr21,46349683,46350212,PAS,False,137,191
ENSG00000160299.16,chr21,46356973,46357133,PAS,True,161,191
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,98,359
ENSG00000274276.4,chr21,6445325,6445539,IR,False,616,2657
ENSG00000274276.4,chr21,6447777,6448480,IR,True,122,233
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,938,2967
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,2186,2967
ENSG00000160194.17,chr21,42897047,42908863,ES,True,18,114
ENSG00000243927.5,chr21,34073745,34125340,ES,False,206,234
ENSG00000275895.6,chr21,6487412,6495992,ME,False,72,211
ENSG00000205581.10,chr21,39345274,39348291,ME,False,76,133
ENSG00000205581.10,chr21,39345274,39348291,ME,False,76,133
ENSG00000205581.10,chr21,39345274,39348291,ME,False,74,133
ENSG00000205581.10,chr21,39345274,39347378,ES,False,75,118
ENSG00000205581.10,chr21,39345274,39347378,5AS,True,75,109
ENSG00000205581.10,chr21,39347478,39348291,3AS,False,38,121
ENSG00000205581.10,chr21,39347483,39348291,IR,False,79,116
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,247,2102
ENSG00000156304.14,chr21,31666727,31672354,PAS,True,33,116
ENSG00000156304.14,chr21,31731662,31732165,TSS,True,22,119
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,91,625
ENSG00000160285.14,chr21,46195756,46205835,ES,True,33,268
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,119,282
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,208,282
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,72,250
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,197,244
ENSG00000154639.18,chr21,17559131,17565427,ES,False,294,2138
ENSG00000135930.13,chr2,232567214,232568944,IR,True,92,105
ENSG00000135930.13,chr2,232567214,232580903,ES,False,155,178
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,196,288
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,110,288
ENSG00000035115.21,chr2,219001,229965,ES,False,79,119
ENSG00000035115.21,chr2,263983,264695,TSS,True,73,127
ENSG00000035115.21,chr2,264541,264609,TSS,False,98,127
ENSG00000035115.21,chr2,264083,264666,TSS,True,95,127
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,583,5680
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,49,470
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,73,490
ENSG00000082898.16,chr2,61477631,61478966,PAS,True,51,182
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,80,185
ENSG00000187514.16,chr2,231711419,231711886,IR,False,134,163
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,76,157
ENSG00000115649.15,chr2,219175590,219176983,TSS,True,132,157
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,139,157
ENSG00000151353.14,chr2,677288,677426,TSS,True,11,107
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,61,247
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,122,291
ENSG00000115761.15,chr2,10600867,10600942,PAS,True,252,291
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,251,291
ENSG00000196290.14,chr2,200889652,200891968,3AS,False,49,125
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,163,226
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,100,226
ENSG00000115339.13,chr2,165747590,165748903,PAS,True,26,119
ENSG00000115339.13,chr2,165769789,165770808,PAS,True,106,118
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,22,139
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,13,126
ENSG00000197329.11,chr2,64104830,64108239,ES,True,136,152
ENSG00000115750.16,chr2,9933782,9934491,PAS,True,91,156
ENSG00000115750.16,chr2,9911510,9911556,PAS,True,108,155
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,100,727
ENSG00000084693.15,chr2,27051642,27051793,TSS,True,69,145
ENSG00000084693.15,chr2,27055090,27055253,TSS,True,98,145
ENSG00000084693.15,chr2,27059189,27059535,PAS,True,40,144
ENSG00000084693.15,chr2,27070091,27070622,PAS,True,125,145
ENSG00000204120.14,chr2,232697392,232703423,ES,False,181,336
ENSG00000204120.14,chr2,232697392,232735154,ES,False,43,390
ENSG00000204120.14,chr2,232703489,232735154,ES,False,233,355
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,350,416
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,268,418
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,365,419
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,329,416
ENSG00000158019.20,chr2,27890842,27894532,ES,False,190,214
ENSG00000158019.20,chr2,28298491,28338449,ES,True,157,211
ENSG00000115355.16,chr2,55334233,55335164,PAS,True,78,140
ENSG00000115355.16,chr2,55343743,55343792,PAS,False,99,139
ENSG00000115355.16,chr2,55344366,55344514,PAS,True,113,139
ENSG00000138073.13,chr2,27131508,27132009,ES,False,69,407
ENSG00000138073.13,chr2,27132082,27132602,ES,False,56,407
ENSG00000138073.13,chr2,27133337,27133531,IR,False,343,386
ENSG00000115073.7,chr2,97658643,97658878,IR,False,79,106
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,105,149
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,92,149
ENSG00000124356.15,chr2,73828982,73829510,TSS,True,124,149
ENSG00000162976.12,chr2,11172045,11177736,ES,False,11,100
ENSG00000013441.15,chr2,200856985,200857972,ES,True,26,156
ENSG00000013441.15,chr2,200859746,200861237,ES,False,109,154
ENSG00000013441.15,chr2,200864563,200864728,TSS,True,19,161
ENSG00000013441.15,chr2,200864100,200864697,TSS,True,142,161
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,775,983
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,195,1005
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,385,1006
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,798,1006
ENSG00000162928.8,chr2,61048471,61051726,PAS,False,23,106
ENSG00000074582.13,chr2,218661520,218661758,5AS,False,21,164
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,141,177
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,90,177
ENSG00000144580.13,chr2,218593527,218593852,PAS,False,186,212
ENSG00000144580.13,chr2,218594107,218596432,PAS,True,29,212
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,202,412
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,96,433
ENSG00000172845.14,chr2,173906457,173910257,PAS,True,16,139
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,61,141
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,106,141
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,210,286
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,187,287
ENSG00000138385.15,chr2,169810857,169811047,PAS,True,220,287
ENSG00000163006.11,chr2,108786915,108788031,5AS,True,148,173
ENSG00000163006.11,chr2,108786915,108788851,ES,False,22,170
ENSG00000163006.11,chr2,108798586,108804891,3AS,False,26,227
ENSG00000163006.11,chr2,108856970,108876087,ES,False,35,158
ENSG00000163006.11,chr2,108786738,108786915,TSS,True,55,230
ENSG00000163006.11,chr2,108786747,108786933,TSS,True,200,230
ENSG00000163006.11,chr2,108876087,108885485,PAS,True,51,230
ENSG00000115963.13,chr2,150487455,150487548,IR,False,261,300
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,276,314
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,48,314
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,134,1015
ENSG00000068784.12,chr2,45384541,45389599,PAS,True,28,126
ENSG00000115282.19,chr2,74491666,74492003,5AS,False,43,108
ENSG00000115282.19,chr2,74492229,74492303,IR,False,102,116
ENSG00000115282.19,chr2,74492921,74494564,PAS,True,22,120
ENSG00000011523.13,chr2,65056524,65069398,5AS,True,117,220
ENSG00000011523.13,chr2,65056353,65056524,TSS,True,133,252
ENSG00000011523.13,chr2,65056401,65056528,TSS,True,140,252
ENSG00000011523.13,chr2,65083638,65087004,PAS,False,110,251
ENSG00000011523.13,chr2,65074281,65075271,PAS,True,154,250
ENSG00000125630.15,chr2,112574846,112577373,PAS,True,43,389
ENSG00000152256.13,chr2,172562291,172564502,ES,False,203,228
ENSG00000152256.13,chr2,172596023,172597612,IR,False,41,215
ENSG00000152256.13,chr2,172597612,172599143,PAS,False,211,252
ENSG00000152256.13,chr2,172595828,172599153,PAS,True,72,246
ENSG00000168906.12,chr2,85543034,85543669,IR,True,2126,2397
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,297,2405
ENSG00000065911.11,chr2,74198742,74205704,ES,True,1467,1648
ENSG00000065911.11,chr2,74198742,74207703,ES,False,198,1852
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,1965,2296
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,473,2296
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,39,234
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,74,231
ENSG00000196950.13,chr2,195680029,195681050,TSS,True,170,205
ENSG00000196950.13,chr2,195680031,195680750,PAS,True,156,181
ENSG00000196950.13,chr2,195734882,195737704,PAS,False,100,220
ENSG00000196950.13,chr2,195708655,195708845,PAS,True,167,217
ENSG00000077232.17,chr2,182732542,182740298,ES,False,45,272
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,61,330
ENSG00000115694.14,chr2,241501708,241508504,ES,False,53,285
ENSG00000115694.14,chr2,241501708,241508504,5AS,False,53,132
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,237,272
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,375,462
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,162,462
ENSG00000135940.6,chr2,97646037,97646189,TSS,True,12,117
ENSG00000168385.17,chr2,241315982,241324215,ES,False,2000,2306
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,359,2719
ENSG00000135931.17,chr2,231198941,231206197,5AS,True,113,133
ENSG00000135931.17,chr2,231235381,231256585,ES,False,41,320
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,149,328
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,213,328
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,83,326
ENSG00000198925.11,chr2,219228053,219229534,ES,False,17,104
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,57,167
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,175,973
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,772,873
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,750,980
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,801,980
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,545,980
ENSG00000115307.16,chr2,74528935,74529131,IR,False,584,702
ENSG00000085978.21,chr2,233273052,233274675,ES,False,93,164
ENSG00000119760.15,chr2,27657669,27662178,ES,False,26,211
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,147,176
ENSG00000119760.15,chr2,27661388,27662178,IR,False,147,169
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,190,236
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,57,247
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,202,247
ENSG00000128699.13,chr2,189782602,189783013,IR,False,106,176
ENSG00000128699.13,chr2,189782602,189784268,ES,False,125,215
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,239,305
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,91,310
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,375,928
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,588,928
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,301,383
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,25,123
ENSG00000055332.17,chr2,37148939,37156907,3AS,False,109,231
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,104,307
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,237,307
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,69,313
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,262,313
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,54,346
ENSG00000114993.16,chr2,74440352,74440824,TSS,True,303,346
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,17,123
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,31,123
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,105,123
ENSG00000071082.10,chr2,101006349,101006423,PAS,False,88,502
ENSG00000071082.10,chr2,101018997,101019763,PAS,False,445,502
ENSG00000132330.16,chr2,238069477,238081708,ES,False,117,137
ENSG00000132330.16,chr2,238091217,238092078,PAS,True,143,161
ENSG00000132330.16,chr2,238098201,238099414,PAS,True,49,162
ENSG00000132330.16,chr2,238094419,238094853,PAS,True,144,161
ENSG00000118260.14,chr2,207560372,207567462,ES,False,144,300
ENSG00000118260.14,chr2,207575454,207577504,ES,False,260,296
ENSG00000115392.11,chr2,58165874,58198593,ES,False,178,213
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,178,218
ENSG00000144354.13,chr2,173358837,173363225,ES,False,156,226
ENSG00000144354.13,chr2,173367633,173368997,PAS,True,36,234
ENSG00000144354.13,chr2,173363817,173364685,PAS,True,208,232
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,38,229
ENSG00000115825.9,chr2,37250497,37253350,PAS,True,34,100
ENSG00000115825.9,chr2,37256621,37256929,PAS,True,87,100
ENSG00000115825.9,chr2,37324680,37324833,TSS,False,22,102
ENSG00000115825.9,chr2,37324197,37324787,TSS,False,90,102
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,4362,5113
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,895,5102
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,751,928
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,463,928
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,677,928
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,34,227
ENSG00000115364.13,chr2,75647071,75647219,TSS,True,198,227
ENSG00000075340.22,chr2,70656789,70663735,PAS,True,19,147
ENSG00000075340.22,chr2,70767885,70768287,TSS,True,38,163
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,104,524
ENSG00000138092.10,chr2,24793134,24793501,TSS,True,64,119
ENSG00000138092.10,chr2,24793141,24793520,TSS,True,74,119
ENSG00000138092.10,chr2,24819353,24822380,PAS,True,23,107
ENSG00000138030.12,chr2,27087351,27096728,ES,True,44,140
ENSG00000138399.17,chr2,169537340,169540050,ES,False,41,154
ENSG00000138399.17,chr2,169563350,169571652,ES,False,31,179
ENSG00000138399.17,chr2,169528115,169529926,PAS,True,55,189
ENSG00000138399.17,chr2,169531388,169531490,PAS,True,168,189
ENSG00000169016.16,chr2,11453798,11457178,ES,False,100,127
ENSG00000169016.16,chr2,11457233,11465771,ES,False,111,128
ENSG00000169679.14,chr2,110635467,110638159,PAS,True,121,1018
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,70,385
ENSG00000144028.14,chr2,96284743,96285340,PAS,True,148,190
ENSG00000144028.14,chr2,96292999,96293095,PAS,True,112,125
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,245,330
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,284,396
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,292,330
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,375,453
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,87,478
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,400,478
ENSG00000115966.16,chr2,175118369,175130137,ES,False,25,116
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,109,767
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,20,138
ENSG00000135968.20,chr2,108449280,108449632,5AS,False,141,166
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,34,175
ENSG00000135968.20,chr2,108448986,108449289,TSS,True,150,175
ENSG00000135968.20,chr2,108469650,108472018,PAS,True,30,172
ENSG00000135968.20,chr2,108472826,108473326,PAS,True,153,173
ENSG00000115687.13,chr2,241149413,241150286,TSS,True,29,179
ENSG00000071575.11,chr2,12716873,12717010,TSS,True,184,219
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,46,219
ENSG00000163029.15,chr2,17745951,17753625,ES,False,247,335
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,303,349
ENSG00000163029.15,chr2,17698487,17700378,PAS,True,276,349
ENSG00000163029.15,chr2,17703134,17703292,PAS,False,223,349
ENSG00000163029.15,chr2,17717138,17717176,PAS,True,306,349
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,88,110
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,540,650
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,114,650
ENSG00000123636.17,chr2,159412545,159428310,ES,False,26,128
ENSG00000123636.17,chr2,159429260,159432756,ES,False,51,130
ENSG00000123636.17,chr2,159448403,159453612,3AS,False,14,120
ENSG00000123636.17,chr2,159448409,159478574,ES,False,14,120
ENSG00000123636.17,chr2,159404388,159404910,PAS,True,51,150
ENSG00000123636.17,chr2,159616241,159617314,TSS,True,31,155
ENSG00000185414.19,chr2,99195572,99199555,PAS,True,22,135
ENSG00000123983.13,chr2,222887888,222908732,ES,False,255,360
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,58,377
ENSG00000136699.19,chr2,130157396,130164373,ES,False,423,477
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,81,540
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,135,171
ENSG00000124383.8,chr2,71132897,71133451,PAS,False,150,167
ENSG00000124383.8,chr2,71149222,71149319,PAS,False,88,171
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,66,554
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,62,167
ENSG00000115365.11,chr2,210476315,210476732,TSS,True,149,167
ENSG00000115365.11,chr2,210477449,210477602,TSS,False,150,167
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,265,546
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,297,562
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,300,562
ENSG00000135953.10,chr2,102731068,102732321,ES,False,80,103
ENSG00000135953.10,chr2,102714629,102719207,PAS,True,12,108
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,52,287
ENSG00000170144.20,chr2,177216940,177219036,ES,False,40,272
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,83,319
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,267,319
ENSG00000163516.13,chr2,219234288,219234825,IR,False,163,215
ENSG00000163516.13,chr2,219235312,219235473,IR,False,158,200
ENSG00000163516.13,chr2,219235585,219235707,IR,False,173,202
ENSG00000163516.13,chr2,219236321,219236672,PAS,True,28,238
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,310,374
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,50,360
ENSG00000115762.16,chr2,131132991,131140169,IR,False,50,114
ENSG00000115762.16,chr2,131140275,131146636,ES,False,408,463
ENSG00000115084.13,chr2,113756369,113756674,TSS,True,11,107
ENSG00000115107.19,chr2,119223888,119245488,ES,False,123,141
ENSG00000115107.19,chr2,119223632,119223888,TSS,True,17,158
ENSG00000084090.13,chr2,96195549,96208538,5AS,True,30,214
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,88,275
ENSG00000084090.13,chr2,96208538,96208850,TSS,False,245,275
ENSG00000085760.14,chr2,55263865,55267568,ES,False,126,144
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,113,152
ENSG00000085760.14,chr2,55237324,55237428,PAS,True,127,149
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,76,149
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,35,152
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,73,125
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,985,1781
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,947,1760
ENSG00000163161.13,chr2,127289501,127289688,3AS,False,333,371
ENSG00000144231.10,chr2,127848185,127858027,ME,True,57,147
ENSG00000144231.10,chr2,127850685,127858027,ES,True,88,799
ENSG00000138363.14,chr2,215312390,215312497,IR,False,46,104
ENSG00000135913.10,chr2,218558677,218560819,3AS,False,140,170
ENSG00000135913.10,chr2,218560883,218562717,5AS,False,22,167
ENSG00000135913.10,chr2,218450250,218455017,PAS,True,99,187
ENSG00000135913.10,chr2,218523800,218526726,PAS,True,106,180
ENSG00000144366.15,chr2,188292166,188383762,5AS,False,398,453
ENSG00000144366.15,chr2,188383889,188477658,ES,False,618,699
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,305,719
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,510,719
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,190,718
ENSG00000144366.15,chr2,188541180,188543224,PAS,True,581,718
ENSG00000028116.17,chr2,58046821,58048826,5AS,False,28,113
ENSG00000028116.17,chr2,58046621,58046821,TSS,True,104,133
ENSG00000028116.17,chr2,58046636,58046868,TSS,True,46,133
ENSG00000028116.17,chr2,58131807,58134845,PAS,True,101,133
ENSG00000028116.17,chr2,58159348,58164001,PAS,True,43,133
ENSG00000144199.11,chr2,97091712,97094700,ES,False,57,306
ENSG00000144199.11,chr2,97091985,97094700,3AS,True,29,248
ENSG00000144381.16,chr2,197494250,197494652,IR,True,70,100
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,3429,5357
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,2293,5351
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,83,121
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,51,123
ENSG00000068912.13,chr2,53801842,53809213,ES,False,41,185
ENSG00000144224.16,chr2,135753567,135754158,IR,False,105,157
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,18,171
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,123,161
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,85,163
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,134,161
ENSG00000115540.14,chr2,197516146,197535529,ES,False,107,755
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,445,525
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,196,522
ENSG00000123600.19,chr2,171434673,171434818,TSS,True,89,128
ENSG00000123600.19,chr2,171433882,171434142,TSS,True,51,128
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,137,863
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,757,863
ENSG00000138101.18,chr2,25379323,25387288,ES,False,100,127
ENSG00000138101.18,chr2,25451635,25482795,ES,False,24,131
ENSG00000138101.18,chr2,25371717,25377553,PAS,True,31,156
ENSG00000128656.13,chr2,175005205,175005440,TSS,True,80,121
