gene,chr,start,end,splice_type,novel,H1_ENCFF250BDM_in_cov,H1_ENCFF250BDM_total_cov
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,327,384
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,106,384
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,105,329
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,273,329
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,18,131
ENSG00000168906.12,chr2,85542373,85542564,IR,False,112,128
ENSG00000168906.12,chr2,85542747,85542900,IR,True,119,134
ENSG00000168906.12,chr2,85543034,85543669,IR,True,64,135
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,47,165
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,71,135
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,78,134
ENSG00000132300.18,chr2,86127305,86127940,IR,True,114,128
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,28,154
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,34,105
ENSG00000065911.11,chr2,74198742,74207703,ES,False,58,369
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,392,472
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,104,472
ENSG00000124831.18,chr2,237749324,237753308,ES,False,97,180
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,128,196
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,83,194
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,101,188
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,93,196
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,203,472
ENSG00000196950.13,chr2,195586266,195586417,TSS,True,364,473
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,250,279
ENSG00000077232.17,chr2,182732542,182740298,ES,False,23,159
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,25,182
ENSG00000115694.14,chr2,241499414,241500172,IR,False,208,244
ENSG00000115694.14,chr2,241501708,241508442,ES,False,34,136
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,19,121
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,181,267
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,130,267
ENSG00000168385.17,chr2,241315982,241324215,ES,False,709,806
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,125,954
ENSG00000198925.11,chr2,219228053,219229534,ES,False,34,120
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,30,155
ENSG00000115419.12,chr2,190880798,190881470,TSS,True,23,119
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,14,110
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,284,412
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,338,412
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,303,412
ENSG00000115307.16,chr2,74528935,74529131,IR,False,129,162
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,97,114
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,34,114
PB_novel_212489,chr2,67334150,67337515,IR,True,41,121
PB_novel_212489,chr2,67331769,67332062,TSS,True,63,277
PB_novel_212489,chr2,67339333,67339973,PAS,True,183,277
PB_novel_212489,chr2,67337515,67337976,PAS,True,185,216
PB_novel_212489,chr2,67333952,67337964,PAS,True,137,215
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,37,300
ENSG00000115652.14,chr2,106094157,106098715,ES,True,14,112
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,77,110
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,24,147
ENSG00000115310.17,chr2,54987698,55049744,ES,False,251,284
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,37,319
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,89,665
ENSG00000132330.16,chr2,238060874,238061143,TSS,True,14,125
ENSG00000132330.16,chr2,238091217,238092078,PAS,True,96,123
ENSG00000132330.16,chr2,238098201,238099414,PAS,True,42,125
ENSG00000085449.14,chr2,223945147,223945383,TSS,True,33,223
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,19,145
ENSG00000144354.13,chr2,173358837,173363225,ES,False,112,169
ENSG00000144354.13,chr2,173363895,173364794,IR,False,143,161
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,36,127
ENSG00000170035.15,chr2,180981038,180981385,TSS,False,111,127
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,27,242
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,902,1161
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,348,1160
ENSG00000163170.11,chr2,74135658,74145188,ES,False,35,106
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,65,247
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,18,116
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,22,109
ENSG00000168758.10,chr2,96869875,96870099,TSS,False,72,117
ENSG00000168758.10,chr2,96869186,96869497,TSS,True,84,117
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,52,307
ENSG00000243147.7,chr2,27772692,27779432,ES,False,65,109
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,26,133
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,115,133
ENSG00000197713.14,chr2,210016112,210016506,ES,False,108,128
ENSG00000197713.14,chr2,210002567,210002783,TSS,True,15,132
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,112,261
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,27,100
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,85,100
ENSG00000198522.13,chr2,27629952,27632632,ES,False,18,143
ENSG00000071575.11,chr2,12716873,12717010,TSS,True,75,117
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,57,117
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,20,103
ENSG00000163029.15,chr2,17753625,17754596,TSS,True,37,109
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,19,186
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,182,251
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,76,251
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,21,156
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,39,200
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,29,197
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,51,268
ENSG00000168397.16,chr2,241651335,241653511,ES,False,121,146
ENSG00000168397.16,chr2,241671405,241672190,IR,False,114,136
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,27,166
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,34,162
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,136,157
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,66,108
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,57,108
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,100,421
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,224,546
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,446,546
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,15,112
ENSG00000162980.16,chr2,151828130,151828509,TSS,True,23,125
ENSG00000144021.2,chr2,96268658,96269267,IR,False,102,117
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,93,105
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,13,106
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,16,143
ENSG00000082258.12,chr2,134918279,134919012,TSS,True,13,103
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,80,632
ENSG00000143889.15,chr2,38602600,38602856,IR,False,24,124
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,29,129
ENSG00000143889.15,chr2,38602856,38603062,TSS,True,105,129
ENSG00000153107.12,chr2,111883941,111884318,TSS,True,44,139
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,14,108
ENSG00000011566.14,chr2,39436891,39437344,TSS,True,17,100
ENSG00000144231.10,chr2,127850685,127858027,ES,True,16,158
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,30,234
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,137,187
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,92,187
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,20,177
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,229,1995
ENSG00000135916.15,chr2,230865145,230875619,ES,False,141,952
ENSG00000065548.17,chr2,186486216,186486457,TSS,True,12,107
ENSG00000144224.16,chr2,135753567,135754158,IR,False,116,133
ENSG00000115540.14,chr2,197516146,197535529,ES,False,38,211
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,26,153
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,181,851
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,684,851
ENSG00000115526.10,chr2,100417373,100417825,TSS,False,93,141
ENSG00000134323.11,chr2,15941800,15942854,TSS,True,92,233
ENSG00000134323.11,chr2,15940550,15940743,TSS,True,159,233
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,106,153
ENSG00000136718.9,chr2,130342935,130343085,IR,False,106,124
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,73,178
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,131,178
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,160,178
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,222,250
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,166,250
ENSG00000138074.14,chr2,27211710,27211802,TSS,True,218,250
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,186,250
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,251,813
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,593,813
ENSG00000119772.16,chr2,25251911,25252161,TSS,False,132,158
ENSG00000119772.16,chr2,25252193,25252337,TSS,False,62,158
ENSG00000084774.13,chr2,27216845,27217633,TSS,True,83,142
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,41,231
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,36,111
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,97,111
ENSG00000091409.14,chr2,172489613,172491023,5AS,True,33,210
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,61,247
ENSG00000114956.19,chr2,73927052,73946718,ES,False,97,133
ENSG00000114956.19,chr2,73927052,73958145,ES,True,17,156
ENSG00000114956.19,chr2,73946906,73958145,ES,False,69,124
ENSG00000168883.19,chr2,85648853,85649016,IR,False,35,182
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,40,187
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,154,189
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,113,156
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,50,163
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,120,163
PB_novel_56402,chr2,64253043,64254979,IR,True,21,143
PB_novel_56402,chr2,64255081,64257186,IR,True,16,134
PB_novel_56402,chr2,64252731,64253043,TSS,True,134,170
PB_novel_56402,chr2,64252793,64255081,TSS,True,146,170
PB_novel_56402,chr2,64257186,64257610,PAS,True,150,168
ENSG00000138443.15,chr2,203427269,203427495,IR,True,11,108
ENSG00000138443.15,chr2,203328259,203328631,TSS,True,35,140
ENSG00000138443.15,chr2,203427176,203432169,PAS,True,12,109
ENSG00000138443.15,chr2,203427495,203432169,PAS,True,98,109
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,19,112
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,57,360
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,84,176
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,131,223
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,129,223
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,60,135
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,124,181
ENSG00000075292.18,chr2,71276554,71276754,TSS,True,85,123
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,99,123
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,91,123
ENSG00000075292.18,chr2,71434741,71435062,PAS,True,19,123
ENSG00000075292.18,chr2,71395246,71395756,PAS,False,88,101
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,18,105
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,21,108
ENSG00000186522.14,chr2,109544324,109546049,IR,True,77,121
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,56,133
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,81,125
ENSG00000186522.14,chr2,109613797,109614196,TSS,True,17,133
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,14,118
ENSG00000213639.9,chr2,28752176,28781803,3AS,True,50,206
ENSG00000213639.9,chr2,28783978,28799198,ES,True,54,214
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,180,234
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,87,234
ENSG00000116001.15,chr2,70248404,70248770,TSS,True,42,125
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,59,263
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,215,263
ENSG00000163811.11,chr2,28894615,28894923,TSS,False,18,165
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,53,425
ENSG00000143924.18,chr2,42256630,42263177,ES,False,75,182
ENSG00000143924.18,chr2,42169258,42169636,TSS,True,41,224
ENSG00000168393.12,chr2,241675741,241676237,PAS,True,20,111
ENSG00000168393.12,chr2,241684614,241685877,PAS,True,87,106
ENSG00000115875.18,chr2,38745187,38746693,ES,False,39,281
ENSG00000115875.18,chr2,38748653,38749528,IR,False,233,261
ENSG00000071051.13,chr2,105855289,105892981,ES,False,35,163
ENSG00000018510.14,chr2,177392739,177393049,TSS,True,13,113
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,49,110
ENSG00000143727.15,chr2,271939,275139,ME,False,60,298
ENSG00000143727.15,chr2,272305,275139,IR,True,85,100
ENSG00000115207.13,chr2,27324199,27326893,PAS,True,15,115
ENSG00000115207.13,chr2,27333529,27333784,PAS,True,99,111
ENSG00000115207.13,chr2,27356738,27357413,TSS,True,30,118
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,108,132
ENSG00000130508.10,chr2,1744255,1744568,TSS,True,55,133
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,53,145
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,122,145
PB_novel_212671,chr2,188034060,188035602,3AS,True,84,130
PB_novel_212671,chr2,188034060,188039129,ES,True,180,307
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,12,119
ENSG00000243943.9,chr2,27583002,27583142,TSS,True,23,118
ENSG00000163032.11,chr2,17540404,17540918,TSS,True,30,121
ENSG00000163032.11,chr2,17539969,17540182,TSS,False,111,127
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,19,139
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,145,633
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,534,633
ENSG00000153201.15,chr2,108719366,108719678,TSS,True,76,105
ENSG00000153201.15,chr2,108763570,108768388,TSS,True,52,104
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,95,158
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,78,158
ENSG00000040341.17,chr8,73688813,73738283,ES,False,80,108
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,92,128
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,59,124
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,22,128
ENSG00000184428.12,chr8,143334739,143334915,TSS,True,15,100
ENSG00000104738.17,chr8,47960498,47961014,TSS,True,75,498
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,67,381
ENSG00000071894.16,chr8,144409288,144410022,TSS,False,82,145
ENSG00000071894.16,chr8,144409014,144409325,TSS,True,99,145
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,47,414
ENSG00000253230.8,chr8,9900612,9900688,IR,False,40,104
ENSG00000253230.8,chr8,9900052,9900286,PAS,False,44,104
ENSG00000253230.8,chr8,9900688,9903397,TSS,False,64,104
ENSG00000253230.8,chr8,9900554,9903397,TSS,True,83,104
ENSG00000104687.13,chr8,30727529,30727967,TSS,True,29,177
ENSG00000180694.13,chr8,90625862,90645110,ES,False,19,143
ENSG00000180694.13,chr8,90645110,90646144,TSS,True,17,161
ENSG00000155096.13,chr8,102843747,102858012,ES,False,273,419
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,78,499
ENSG00000120896.13,chr8,22566713,22566821,IR,False,114,127
ENSG00000120896.13,chr8,22565287,22565872,TSS,True,32,129
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,99,114
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,48,110
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,100,115
ENSG00000160973.7,chr8,144475223,144475582,3AS,False,21,136
ENSG00000160973.7,chr8,144475582,144475851,TSS,True,18,155
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,16,101
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,67,117
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,54,109
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,15,120
ENSG00000147533.16,chr8,41506012,41507058,3AS,False,105,120
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,34,128
ENSG00000147533.16,chr8,41490582,41490965,TSS,True,106,128
ENSG00000158941.16,chr8,22604637,22604842,TSS,True,52,315
ENSG00000169398.19,chr8,140864399,140890542,ES,False,37,142
ENSG00000169398.19,chr8,140890769,141001124,ES,False,64,138
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,33,175
ENSG00000147649.9,chr8,97643970,97644887,TSS,True,21,127
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,2420,3380
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,24,117
ENSG00000182307.13,chr8,145052497,145052585,IR,False,88,130
ENSG00000182307.13,chr8,145052437,145052497,TSS,False,47,135
ENSG00000182307.13,chr8,145052464,145052897,TSS,True,93,135
ENSG00000205268.10,chr8,65779803,65782782,ES,False,119,134
ENSG00000205268.10,chr8,65841370,65842574,TSS,True,23,152
ENSG00000133740.10,chr8,85209409,85212159,3AS,False,58,109
ENSG00000104413.16,chr8,94678371,94696851,ES,False,29,107
ENSG00000104413.16,chr8,94678371,94705924,ES,False,40,162
ENSG00000104413.16,chr8,94640526,94641450,TSS,True,36,191
ENSG00000104522.15,chr8,143614453,143614623,IR,False,87,102
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,21,108
ENSG00000104522.15,chr8,143617427,143617556,TSS,True,95,108
ENSG00000185122.10,chr8,144312244,144313510,ES,False,192,231
ENSG00000077782.20,chr8,38418373,38419538,5AS,False,46,281
ENSG00000077782.20,chr8,38428093,38428351,5AS,False,170,245
ENSG00000077782.20,chr8,38467980,38468832,TSS,True,136,361
ENSG00000104332.11,chr8,41308615,41309485,TSS,False,114,507
ENSG00000131203.12,chr8,39927829,39928794,PAS,True,30,148
ENSG00000131203.12,chr8,39915636,39915721,PAS,True,116,141
ENSG00000153310.19,chr8,129871496,129903311,ES,False,59,173
ENSG00000153310.19,chr8,129903350,129939607,ES,False,73,141
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,47,189
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,164,190
ENSG00000179950.13,chr8,143818534,143821596,ES,False,244,423
ENSG00000179950.13,chr8,143821913,143829279,ES,False,55,371
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,43,316
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,63,434
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,38,313
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,143,313
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,170,286
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,38,157
ENSG00000164924.17,chr8,100948900,100952849,ES,False,86,109
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,289,998
ENSG00000164924.17,chr8,100952849,100953334,TSS,True,894,998
ENSG00000168672.3,chr8,126552483,126553503,PAS,False,84,115
ENSG00000168672.3,chr8,126558033,126558478,TSS,False,51,115
ENSG00000012232.8,chr8,28701499,28701659,TSS,True,66,107
ENSG00000012232.8,chr8,28622726,28622810,TSS,True,75,108
ENSG00000129691.15,chr8,38105516,38105738,TSS,True,26,106
ENSG00000129691.15,chr8,38105528,38106139,TSS,True,85,106
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,23,212
ENSG00000104529.17,chr8,143581328,143586728,ES,False,60,359
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,50,323
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,49,373
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,136,374
ENSG00000156482.10,chr8,98045346,98045513,TSS,True,264,374
ENSG00000048392.11,chr8,102238826,102239059,TSS,True,27,160
ENSG00000120533.12,chr8,109334402,109336127,5AS,False,19,131
ENSG00000120533.12,chr8,109334320,109334474,TSS,True,22,134
ENSG00000120533.12,chr8,109333553,109334402,TSS,False,115,134
ENSG00000169439.11,chr8,96493607,96494331,TSS,True,31,192
ENSG00000254277.1,chr8,71675535,71702214,ES,True,176,209
ENSG00000254277.1,chr8,71675238,71675535,TSS,True,76,292
ENSG00000254277.1,chr8,71702214,71704579,PAS,True,76,292
ENSG00000160959.7,chr8,144517956,144518041,TSS,True,61,101
ENSG00000160959.7,chr8,144524260,144525178,PAS,True,79,101
ENSG00000160959.7,chr8,144523635,144525180,PAS,True,90,101
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,57,215
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,171,215
ENSG00000136997.17,chr8,127736050,127736623,TSS,True,15,106
ENSG00000254339.5,chr8,114282294,114284252,3AS,False,58,536
ENSG00000254339.5,chr8,114284514,114295465,5AS,False,200,423
ENSG00000254339.5,chr8,114287721,114290466,PAS,False,510,591
ENSG00000254339.5,chr8,114295465,114298691,PAS,True,128,591
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,40,118
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,77,116
ENSG00000120889.12,chr8,23028441,23028528,IR,False,42,104
ENSG00000120889.12,chr8,23068750,23069112,TSS,True,19,122
