gene,chr,start,end,splice_type,novel,HL-60_ENCFF810FRP_in_cov,HL-60_ENCFF810FRP_total_cov
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,92,143
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,24,111
ENSG00000135930.13,chr2,232550815,232551218,TSS,True,91,111
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,33,107
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,84,107
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,87,423
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,77,160
ENSG00000115649.15,chr2,219175590,219176983,TSS,True,141,160
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,110,160
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,48,232
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,65,183
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,137,182
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,108,154
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,63,154
ENSG00000115339.13,chr2,165747590,165748903,PAS,True,13,103
ENSG00000204634.12,chr2,101005932,101008273,PAS,False,73,107
ENSG00000204634.12,chr2,101010389,101011026,PAS,True,60,107
ENSG00000163219.11,chr2,68782320,68807272,ES,False,57,496
ENSG00000163219.11,chr2,68787956,68807275,3AS,False,54,498
ENSG00000163219.11,chr2,68774784,68775420,TSS,True,186,574
ENSG00000163219.11,chr2,68734779,68735260,TSS,True,407,574
ENSG00000168918.13,chr2,233122257,233125747,3AS,False,152,370
ENSG00000168918.13,chr2,233059844,233060612,TSS,True,204,575
ENSG00000168918.13,chr2,233162985,233163903,TSS,True,497,558
ENSG00000204120.14,chr2,232697392,232703423,ES,False,205,316
ENSG00000204120.14,chr2,232697392,232735154,ME,False,13,108
ENSG00000204120.14,chr2,232697392,232735154,ME,False,13,108
ENSG00000204120.14,chr2,232697392,232735154,ME,False,13,108
ENSG00000204120.14,chr2,232703489,232735154,ME,False,104,122
ENSG00000204120.14,chr2,232703489,232734416,ES,True,101,126
ENSG00000204120.14,chr2,232703489,232735154,ME,False,101,122
ENSG00000204120.14,chr2,232703489,232735154,ES,False,158,320
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,306,364
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,326,368
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,249,369
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,269,368
ENSG00000163510.13,chr2,179943654,179945715,PAS,True,21,144
ENSG00000115073.7,chr2,97658643,97658878,IR,False,119,248
ENSG00000124356.15,chr2,73828996,73830844,ES,False,87,103
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,32,137
ENSG00000144136.10,chr2,112652798,112657121,ES,False,250,299
ENSG00000013441.15,chr2,200859746,200860124,IR,False,29,165
ENSG00000013441.15,chr2,200859746,200861237,IR,False,32,167
ENSG00000013441.15,chr2,200860215,200861237,IR,False,28,164
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,185,272
ENSG00000196504.16,chr2,152677475,152679351,ES,False,89,784
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,557,781
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,358,799
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,361,802
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,579,802
ENSG00000196504.16,chr2,152717830,152718478,TSS,True,714,802
ENSG00000074582.13,chr2,218659743,218660938,IR,True,65,112
ENSG00000074582.13,chr2,218661520,218661758,5AS,False,29,167
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,136,178
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,94,178
ENSG00000074582.13,chr2,218659716,218659800,TSS,False,160,178
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,114,1126
ENSG00000183513.8,chr2,98604191,98608306,5AS,False,128,158
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,46,176
ENSG00000183513.8,chr2,98608262,98608505,TSS,True,157,176
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,57,207
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,162,207
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,95,117
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,95,117
ENSG00000198399.14,chr2,24291507,24293775,PAS,True,98,117
ENSG00000198399.14,chr2,24297982,24298814,PAS,True,84,117
ENSG00000198399.14,chr2,24299907,24300171,PAS,True,105,117
ENSG00000152291.13,chr2,85326804,85326978,IR,False,24,114
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,16,130
ENSG00000116062.14,chr2,47806778,47807665,PAS,True,43,347
ENSG00000068784.12,chr2,45477075,45546731,ME,True,19,127
ENSG00000068784.12,chr2,45611218,45611308,TSS,False,98,163
ENSG00000068784.12,chr2,45567935,45568054,TSS,False,70,160
ENSG00000011523.13,chr2,65056524,65069398,5AS,True,50,128
ENSG00000011523.13,chr2,65056353,65056524,TSS,True,83,133
ENSG00000011523.13,chr2,65056401,65056528,TSS,True,53,133
ENSG00000011523.13,chr2,65083638,65087004,PAS,False,39,133
ENSG00000011523.13,chr2,65074281,65075271,PAS,True,112,133
ENSG00000152256.13,chr2,172566933,172570725,ES,False,17,129
ENSG00000152256.13,chr2,172596023,172597612,IR,False,35,123
ENSG00000152256.13,chr2,172555968,172556346,TSS,True,16,145
ENSG00000152256.13,chr2,172597612,172599143,PAS,False,110,145
ENSG00000152256.13,chr2,172595828,172599153,PAS,True,55,142
ENSG00000168906.12,chr2,85543034,85543669,IR,True,240,1261
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,1026,1265
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,285,1265
ENSG00000065911.11,chr2,74198742,74205704,ES,True,2302,2716
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,70,597
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,61,237
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,27,220
ENSG00000077232.17,chr2,182732542,182740298,ES,False,51,118
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,27,138
ENSG00000115694.14,chr2,241499414,241500172,IR,False,174,210
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,192,214
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,36,214
ENSG00000168385.17,chr2,241315982,241317498,ES,False,99,125
ENSG00000168385.17,chr2,241315982,241317498,IR,True,99,116
ENSG00000168385.17,chr2,241315982,241324215,ES,False,1107,1231
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,49,116
ENSG00000198925.11,chr2,219224105,219224710,TSS,True,104,116
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,88,116
ENSG00000196151.10,chr2,159256375,159279760,ES,True,13,100
ENSG00000196151.10,chr2,159282873,159286582,3AS,True,17,110
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,96,651
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,418,654
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,458,654
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,536,654
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,537,683
ENSG00000115307.16,chr2,74527121,74527247,IR,False,138,156
ENSG00000115307.16,chr2,74528006,74528247,IR,False,521,667
ENSG00000115307.16,chr2,74528321,74528416,IR,True,562,682
ENSG00000115307.16,chr2,74528489,74528750,IR,True,437,638
ENSG00000115307.16,chr2,74528489,74529131,ES,True,40,377
ENSG00000115307.16,chr2,74528489,74529131,5AS,True,40,143
ENSG00000115307.16,chr2,74528489,74529131,IR,True,40,238
ENSG00000115307.16,chr2,74528935,74529131,IR,False,339,635
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,100,141
ENSG00000119760.15,chr2,27661388,27662178,IR,False,100,119
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,22,180
ENSG00000128699.13,chr2,189782602,189783013,IR,False,45,115
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,117,186
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,118,191
ENSG00000128699.13,chr2,189783013,189784347,TSS,True,156,186
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,497,1346
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,885,1345
ENSG00000144407.9,chr2,208493263,208494505,PAS,True,28,138
ENSG00000158552.12,chr2,219206845,219206969,3AS,False,83,104
ENSG00000158552.12,chr2,219208639,219208976,IR,False,96,158
ENSG00000158552.12,chr2,219209049,219209261,IR,False,98,158
ENSG00000158552.12,chr2,219206773,219206845,TSS,True,54,158
ENSG00000158552.12,chr2,219206792,219207042,TSS,True,110,158
ENSG00000158552.12,chr2,219208571,219209648,PAS,True,106,158
ENSG00000158552.12,chr2,219209261,219209648,PAS,True,60,158
ENSG00000115548.16,chr2,86441329,86441444,TSS,True,15,126
ENSG00000115548.16,chr2,86492038,86492725,PAS,True,61,126
ENSG00000115548.16,chr2,86480166,86480362,PAS,True,89,124
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,128,169
ENSG00000243667.6,chr2,68129790,68131445,PAS,True,26,122
ENSG00000144320.13,chr2,175993223,175995557,ES,False,169,195
ENSG00000115310.17,chr2,54987698,55080488,ES,True,153,245
ENSG00000115685.14,chr2,241150547,241157806,ES,False,23,145
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,30,150
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,124,150
ENSG00000118260.14,chr2,207560372,207567462,ES,False,127,177
ENSG00000118260.14,chr2,207596913,207605043,PAS,True,32,185
ENSG00000118260.14,chr2,207577504,207584245,PAS,True,162,184
ENSG00000119185.12,chr2,9418732,9422478,ES,False,50,103
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,125,154
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,50,154
ENSG00000077044.10,chr2,233390483,233441886,ES,True,18,119
ENSG00000077044.10,chr2,233437479,233441886,ES,True,14,103
ENSG00000077044.10,chr2,233445762,233448086,ES,True,31,123
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,45,168
ENSG00000077044.10,chr2,233469370,233472104,PAS,True,103,145
ENSG00000077044.10,chr2,233467085,233472094,PAS,False,52,143
ENSG00000144354.13,chr2,173363895,173363999,IR,False,97,345
ENSG00000144354.13,chr2,173363895,173364794,IR,False,272,308
ENSG00000144354.13,chr2,173367633,173368997,PAS,True,281,621
ENSG00000144354.13,chr2,173363817,173364685,PAS,True,412,618
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,46,294
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,79,235
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,160,234
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,205,252
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,157,252
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,156,252
ENSG00000115839.17,chr2,135052278,135052325,TSS,True,24,180
ENSG00000115839.17,chr2,135168544,135170707,PAS,True,40,180
ENSG00000115839.17,chr2,135135563,135137658,PAS,True,151,171
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,106,307
ENSG00000179818.13,chr2,70051305,70085546,ES,False,14,115
ENSG00000179818.13,chr2,70029192,70031931,PAS,True,87,120
ENSG00000179818.13,chr2,70048686,70050252,PAS,True,65,120
ENSG00000179818.13,chr2,70085815,70087021,TSS,True,106,121
ENSG00000179818.13,chr2,70086123,70086417,TSS,True,78,121
ENSG00000179818.13,chr2,70087280,70087446,TSS,True,104,121
ENSG00000115459.17,chr2,85354829,85356966,ES,False,16,131
ENSG00000115459.17,chr2,85362260,85368685,ES,False,31,132
ENSG00000115459.17,chr2,85371209,85377343,ES,False,44,129
ENSG00000115459.17,chr2,85377474,85389750,ES,False,107,126
ENSG00000115459.17,chr2,85390265,85390759,IR,False,114,130
ENSG00000115459.17,chr2,85390759,85391752,PAS,True,30,144
ENSG00000115459.17,chr2,85390137,85391752,PAS,True,129,144
ENSG00000169016.16,chr2,11453798,11457178,ES,False,118,135
ENSG00000169016.16,chr2,11453798,11465771,ES,False,55,190
ENSG00000169016.16,chr2,11457233,11465771,ES,False,124,143
ENSG00000197713.14,chr2,210016112,210016506,ES,False,293,337
ENSG00000197713.14,chr2,210017559,210019668,ES,False,288,324
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,64,309
ENSG00000144028.14,chr2,96284743,96285340,PAS,True,84,128
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,183,249
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,232,311
ENSG00000144028.14,chr2,96284357,96286011,TSS,True,224,249
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,213,249
ENSG00000115966.16,chr2,175118369,175130137,ES,False,150,220
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,42,372
ENSG00000155744.9,chr2,201017170,201022830,ES,False,181,206
ENSG00000155744.9,chr2,201024039,201071609,ES,False,17,154
ENSG00000155744.9,chr2,201045593,201071609,5AS,True,129,155
ENSG00000155744.9,chr2,201071609,201071692,TSS,False,62,218
ENSG00000155744.9,chr2,201071453,201071643,TSS,True,184,218
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,18,161
ENSG00000135968.20,chr2,108469084,108469650,IR,True,91,103
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,14,107
ENSG00000135968.20,chr2,108469650,108472018,PAS,True,31,105
ENSG00000135968.20,chr2,108472826,108473326,PAS,True,93,106
ENSG00000135968.20,chr2,108468979,108472029,PAS,True,93,105
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,31,122
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,37,128
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,96,128
ENSG00000115687.13,chr2,241149413,241150286,TSS,True,13,102
ENSG00000115661.13,chr2,219245522,219245895,5AS,False,159,217
ENSG00000115661.13,chr2,219245488,219245796,TSS,True,176,238
ENSG00000115661.13,chr2,219245469,219245522,TSS,True,79,238
ENSG00000075884.13,chr2,143767988,143769101,PAS,True,75,696
ENSG00000128654.13,chr2,176269669,176296859,ES,False,189,249
ENSG00000118640.10,chr2,85577531,85577649,TSS,True,13,116
ENSG00000118640.10,chr2,85578427,85579167,TSS,True,104,116
ENSG00000118640.10,chr2,85581575,85582032,PAS,True,27,116
ENSG00000118640.10,chr2,85592947,85593412,PAS,True,91,116
ENSG00000123983.13,chr2,222887888,222908732,ES,False,193,243
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,134,169
ENSG00000124383.8,chr2,71134625,71134796,PAS,True,151,169
ENSG00000124383.8,chr2,71149222,71149319,PAS,False,85,169
ENSG00000115325.13,chr2,74554814,74555155,3AS,False,30,255
ENSG00000115325.13,chr2,74555668,74556307,ES,False,51,263
ENSG00000067066.16,chr2,230416328,230442936,ES,False,28,248
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,87,255
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,229,256
ENSG00000168397.16,chr2,241651335,241653511,ES,False,288,361
ENSG00000168397.16,chr2,241671405,241672190,IR,False,299,378
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,54,413
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,107,413
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,329,404
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,144,182
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,91,182
ENSG00000115365.11,chr2,210477449,210477602,TSS,False,159,182
ENSG00000144524.17,chr2,231781079,231781883,TSS,True,488,599
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,125,591
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,290,513
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,232,522
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,301,522
ENSG00000163516.13,chr2,219230350,219231927,5AS,False,47,354
ENSG00000163516.13,chr2,219234288,219234825,IR,False,241,347
ENSG00000163516.13,chr2,219235312,219235473,IR,False,223,297
ENSG00000163516.13,chr2,219235585,219235707,IR,False,247,303
ENSG00000163516.13,chr2,219236321,219236672,PAS,True,88,395
ENSG00000163516.13,chr2,219234825,219234944,PAS,True,348,393
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,51,446
ENSG00000162980.16,chr2,151815199,151828388,5AS,False,28,103
ENSG00000162980.16,chr2,151828130,151828509,TSS,True,29,106
ENSG00000162980.16,chr2,151828388,151828485,TSS,True,78,106
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,490,561
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,65,555
ENSG00000115762.16,chr2,131132991,131140169,IR,False,65,136
ENSG00000115084.13,chr2,113711380,113715195,PAS,True,18,102
ENSG00000115084.13,chr2,113756369,113756674,TSS,True,12,102
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,130,160
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,39,155
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,53,357
ENSG00000085760.14,chr2,55263865,55267568,ES,False,289,364
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,203,379
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,239,379
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,41,380
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,76,111
ENSG00000082258.12,chr2,134954480,134959342,PAS,True,101,121
ENSG00000082258.12,chr2,134953229,134959339,PAS,True,34,119
ENSG00000115524.15,chr2,197418588,197418895,IR,False,12,113
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,793,1705
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,1505,1688
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,1132,1672
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,31,263
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,86,262
ENSG00000180228.12,chr2,178450241,178451158,TSS,True,194,262
ENSG00000144231.10,chr2,127848185,127858027,ES,False,58,434
ENSG00000138363.14,chr2,215312390,215312497,IR,False,68,158
ENSG00000144199.11,chr2,97085861,97086138,IR,False,304,354
ENSG00000144199.11,chr2,97091712,97094700,ES,False,55,349
ENSG00000158089.14,chr2,30912342,30929394,ES,False,15,148
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,1607,3830
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,2368,3821
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,90,117
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,34,117
ENSG00000144224.16,chr2,135753567,135754158,IR,False,137,167
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,139,172
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,67,173
ENSG00000115540.14,chr2,197516146,197535529,ES,False,29,195
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,161,217
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,117,214
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,11,103
ENSG00000116096.5,chr2,72887407,72888604,TSS,True,92,103
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,17,130
ENSG00000240344.8,chr2,200881488,200885697,ES,False,11,105
ENSG00000240344.8,chr2,200888955,200889279,TSS,True,41,108
ENSG00000240344.8,chr2,200889243,200889339,TSS,True,76,108
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,72,177
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,159,177
ENSG00000163798.13,chr2,27669247,27669303,PAS,True,146,177
ENSG00000132323.8,chr2,238188257,238189862,5AS,False,60,220
ENSG00000132323.8,chr2,238194331,238194654,IR,True,23,103
ENSG00000132323.8,chr2,238194331,238194781,IR,False,27,104
ENSG00000132323.8,chr2,238194331,238194804,ES,True,107,130
ENSG00000132323.8,chr2,238194331,238194804,5AS,False,107,134
ENSG00000132323.8,chr2,238194331,238194804,IR,False,107,184
ENSG00000132323.8,chr2,238194702,238194804,IR,False,26,103
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,515,715
ENSG00000136718.9,chr2,130342935,130343085,IR,False,515,584
ENSG00000136718.9,chr2,130342962,130343085,IR,False,200,269
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,278,793
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,593,793
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,133,285
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,196,285
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,261,321
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,126,321
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,281,321
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,373,1133
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,772,1133
ENSG00000119801.12,chr2,30147062,30156627,ES,False,169,195
ENSG00000144589.21,chr2,219597803,219597923,TSS,True,151,223
ENSG00000144589.21,chr2,219608047,219608430,TSS,False,141,223
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,761,871
ENSG00000084774.13,chr2,27216845,27217633,TSS,True,145,165
ENSG00000084774.13,chr2,27233321,27234226,TSS,True,136,161
ENSG00000084774.13,chr2,27231978,27232694,TSS,True,138,161
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,116,230
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,122,227
ENSG00000114956.19,chr2,73927052,73946718,ES,False,61,120
ENSG00000114956.19,chr2,73946906,73958145,ES,False,50,117
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,167,1113
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,143,200
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,61,205
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,149,205
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,86,245
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,558,2879
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,274,548
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,295,572
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,289,572
ENSG00000144591.18,chr2,219498938,219499960,3AS,False,40,107
ENSG00000144591.18,chr2,219498826,219498938,TSS,False,19,135
ENSG00000144591.18,chr2,219498888,219499254,TSS,True,121,135
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,91,229
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,197,251
ENSG00000075292.18,chr2,71276554,71276754,TSS,True,305,351
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,285,351
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,124,351
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,64,345
ENSG00000275052.4,chr2,55577356,55579678,ES,False,157,245
ENSG00000275052.4,chr2,55588956,55603977,ES,True,29,250
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,200,285
ENSG00000275052.4,chr2,55564313,55564497,PAS,True,137,284
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,34,294
ENSG00000136682.14,chr2,113438022,113441350,ES,False,64,199
ENSG00000163541.11,chr2,84423525,84423772,PAS,True,43,409
ENSG00000080345.17,chr2,151409939,151410413,5AS,False,124,225
ENSG00000080345.17,chr2,151409939,151410413,IR,True,124,138
ENSG00000080345.17,chr2,151410033,151410413,IR,False,102,201
ENSG00000080345.17,chr2,151420379,151428783,ES,True,41,330
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,213,340
ENSG00000080345.17,chr2,151409883,151410527,TSS,True,238,340
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,237,340
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,36,102
ENSG00000064933.17,chr2,189877271,189878394,PAS,True,67,102
ENSG00000064933.17,chr2,189863742,189865716,PAS,True,83,102
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,185,386
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,254,386
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,18,117
ENSG00000116001.15,chr2,70227822,70229263,ES,False,39,120
ENSG00000116001.15,chr2,70209443,70212845,PAS,True,22,135
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,56,195
