gene,chr,start,end,splice_type,novel,heart_right_ventricle_ENCFF305AFY_in_cov,heart_right_ventricle_ENCFF305AFY_total_cov
ENSG00000166979.12,chr21,32501486,32503925,5AS,False,19,104
ENSG00000166979.12,chr21,32411691,32413013,TSS,True,11,109
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,136,580
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,481,578
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,65,138
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,124,614
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,56,151
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,18,122
ENSG00000205726.14,chr21,33836986,33838635,PAS,True,124,150
ENSG00000142173.14,chr21,46125795,46126237,TSS,True,118,138
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,85,144
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,155,178
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,139,178
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,125,176
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,94,139
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,60,135
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,45,167
ENSG00000135930.13,chr2,232558018,232564246,ES,True,77,104
ENSG00000135930.13,chr2,232567214,232580903,ES,False,27,101
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,19,137
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,20,122
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,48,412
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,24,148
ENSG00000187514.16,chr2,231711366,231712516,TSS,True,133,148
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,40,202
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,27,120
ENSG00000055917.15,chr2,20253821,20253899,TSS,True,36,123
ENSG00000198380.12,chr2,69350183,69354488,ES,False,28,100
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,18,115
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,11,103
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,63,103
ENSG00000119787.13,chr2,38298143,38298561,TSS,True,50,102
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,81,111
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,159,887
ENSG00000204843.12,chr2,74371728,74377431,ES,False,69,305
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,162,436
ENSG00000144036.15,chr2,72825797,72826051,TSS,True,106,129
ENSG00000204120.14,chr2,232697392,232703423,ES,False,70,130
ENSG00000204120.14,chr2,232703489,232735154,ES,False,75,134
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,73,219
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,144,162
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,146,195
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,163,206
ENSG00000204120.14,chr2,232856792,232860574,PAS,True,170,210
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,166,192
ENSG00000158019.20,chr2,27890842,27894532,ES,False,129,155
ENSG00000158019.20,chr2,28298491,28338449,ES,True,134,168
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,44,122
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,134,178
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,100,177
ENSG00000124006.14,chr2,219557822,219558216,TSS,True,109,134
ENSG00000124006.14,chr2,219558183,219559261,TSS,True,115,134
ENSG00000124006.14,chr2,219559224,219559543,TSS,False,116,134
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,146,178
ENSG00000183023.18,chr2,40512348,40512602,TSS,True,166,189
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,723,5268
ENSG00000115648.13,chr2,237527516,237540347,ES,False,51,211
ENSG00000115648.13,chr2,237540533,237542566,ES,False,44,213
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,86,215
ENSG00000115648.13,chr2,237510453,237510795,TSS,True,152,215
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,73,100
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,78,100
ENSG00000198399.14,chr2,24284915,24286351,PAS,False,84,100
ENSG00000198399.14,chr2,24291507,24293775,PAS,True,75,100
ENSG00000198399.14,chr2,24360303,24360807,TSS,True,16,109
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,251,500
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,394,500
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,437,500
ENSG00000168906.12,chr2,85543034,85543669,IR,True,534,734
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,87,790
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,213,738
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,578,735
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,27,151
ENSG00000152102.17,chr2,131055552,131055644,TSS,True,91,103
ENSG00000152102.17,chr2,131055271,131055382,TSS,True,92,103
ENSG00000065911.11,chr2,74198742,74205704,ES,True,208,268
ENSG00000065911.11,chr2,74198742,74207703,ES,False,45,316
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,36,101
ENSG00000124831.18,chr2,237749324,237753308,ES,False,37,102
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,56,133
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,94,125
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,88,121
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,90,131
ENSG00000124831.18,chr2,237774357,237774439,PAS,True,112,131
ENSG00000163092.19,chr2,167187354,167187531,TSS,False,145,163
ENSG00000163092.19,chr2,167257856,167259753,PAS,True,96,160
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,302,349
ENSG00000077232.17,chr2,182732542,182740298,ES,False,23,104
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,16,125
ENSG00000114923.16,chr2,219629695,219630152,3AS,False,95,111
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,703,1062
ENSG00000168385.17,chr2,241315982,241324215,ES,False,737,849
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,179,1057
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,199,298
ENSG00000198925.11,chr2,219224105,219224710,TSS,True,256,298
ENSG00000198925.11,chr2,219222644,219223333,TSS,True,232,295
ENSG00000163492.15,chr2,178835755,178837744,PAS,True,215,303
ENSG00000163492.15,chr2,178856255,178856397,PAS,True,183,297
ENSG00000163492.15,chr2,179049839,179050195,TSS,True,118,320
ENSG00000163492.15,chr2,178868025,178868207,TSS,True,213,256
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,528,944
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,725,944
ENSG00000116016.13,chr2,46380334,46380717,TSS,True,211,304
ENSG00000116016.13,chr2,46381976,46382089,TSS,True,271,304
ENSG00000116016.13,chr2,46382458,46382598,TSS,True,273,304
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,16,101
ENSG00000144320.13,chr2,176002159,176002326,TSS,True,13,110
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,26,157
ENSG00000118260.14,chr2,207560372,207567462,ES,False,82,112
ENSG00000118260.14,chr2,207529893,207530134,TSS,True,32,137
ENSG00000119185.12,chr2,9418732,9422478,ES,False,99,149
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,24,202
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,169,202
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,51,202
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,124,145
ENSG00000077044.10,chr2,233418895,233419421,TSS,False,112,145
ENSG00000077044.10,chr2,233469370,233472104,PAS,True,74,110
ENSG00000077044.10,chr2,233467085,233472094,PAS,False,42,109
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,60,142
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,96,141
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,28,145
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,499,883
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,454,878
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,31,177
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,80,107
ENSG00000061676.14,chr2,182983285,182983382,TSS,True,86,107
PB_novel_06603,chr2,113708893,113710458,TSS,True,69,102
PB_novel_06603,chr2,113713035,113713749,PAS,True,79,102
ENSG00000184182.18,chr2,237994809,238025341,ES,False,12,103
ENSG00000138399.17,chr2,169563350,169571652,ES,False,53,165
ENSG00000138399.17,chr2,169528115,169529926,PAS,True,46,177
ENSG00000138399.17,chr2,169531388,169531490,PAS,True,146,177
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,25,177
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,128,152
ENSG00000144028.14,chr2,96286687,96286879,TSS,True,102,155
ENSG00000144028.14,chr2,96286310,96286592,TSS,True,137,155
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,50,275
ENSG00000162878.12,chr2,42054040,42054307,TSS,True,80,127
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,90,135
ENSG00000162878.12,chr2,42057602,42058528,PAS,True,18,132
ENSG00000115380.19,chr2,55922447,55923710,ES,False,89,121
ENSG00000115380.19,chr2,55923710,55923931,TSS,True,23,145
ENSG00000144476.5,chr2,236569662,236569924,TSS,False,47,105
ENSG00000144476.5,chr2,236567752,236567841,TSS,False,86,110
ENSG00000185414.19,chr2,99181078,99181249,TSS,True,38,119
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,161,181
ENSG00000063660.8,chr2,240464922,240464975,TSS,True,162,181
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,31,181
ENSG00000132313.14,chr2,86206102,86206295,TSS,True,160,181
ENSG00000123983.13,chr2,222887888,222908732,ES,False,79,146
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,18,169
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,24,169
ENSG00000136699.19,chr2,130154276,130154465,TSS,True,91,105
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,85,107
ENSG00000136699.19,chr2,130161185,130161266,TSS,True,94,106
ENSG00000136699.19,chr2,130173513,130174951,TSS,True,93,106
ENSG00000170417.15,chr2,102761993,102762349,TSS,True,87,369
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,230,257
ENSG00000067066.16,chr2,230416328,230442936,ES,False,22,118
ENSG00000067066.16,chr2,230449710,230461261,ES,True,15,110
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,50,124
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,111,125
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,30,103
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,239,402
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,180,420
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,263,420
ENSG00000186281.12,chr2,96023023,96023308,ES,True,60,174
ENSG00000186281.12,chr2,96024667,96024772,3AS,False,27,192
ENSG00000186281.12,chr2,96024843,96025929,ES,True,20,189
ENSG00000186281.12,chr2,96026305,96027418,ES,True,101,185
ENSG00000186281.12,chr2,96027418,96027952,TSS,True,38,207
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,94,846
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,37,105
ENSG00000115084.13,chr2,113711380,113715195,PAS,True,12,100
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,528,1410
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,1243,1410
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,149,761
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,39,168
ENSG00000085760.14,chr2,55263865,55267568,ES,False,102,132
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,112,156
ENSG00000085760.14,chr2,55237324,55237428,PAS,True,136,156
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,87,156
ENSG00000085760.14,chr2,55243466,55244233,PAS,True,135,155
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,36,156
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,96,307
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,211,283
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,53,307
ENSG00000180228.12,chr2,178447586,178450965,ES,True,48,357
ENSG00000138363.14,chr2,215312161,215312497,5AS,False,139,156
ENSG00000138363.14,chr2,215312161,215312497,IR,False,139,168
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,58,197
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,168,197
ENSG00000115183.14,chr2,159001189,159065895,ES,True,117,131
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,190,320
ENSG00000115183.14,chr2,159178647,159179163,TSS,True,190,219
ENSG00000115183.14,chr2,159194276,159194493,TSS,True,167,219
ENSG00000115183.14,chr2,159225687,159226174,PAS,True,241,270
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,154,277
ENSG00000115183.14,chr2,159089583,159092504,PAS,True,45,136
ENSG00000155657.26,chr2,178682903,178689812,ES,True,108,172
ENSG00000155657.26,chr2,178689896,178694598,ES,True,47,235
ENSG00000155657.26,chr2,178789497,178790707,ES,True,55,175
ENSG00000155657.26,chr2,178789497,178792071,ME,True,52,380
ENSG00000155657.26,chr2,178789497,178792071,ES,False,105,599
ENSG00000155657.26,chr2,178790115,178792071,ES,False,343,457
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,1124,3968
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,142,856
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,4006,7735
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,236,648
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,450,644
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,38,146
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,115,146
ENSG00000115540.14,chr2,197516024,197516146,TSS,True,27,253
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,77,103
ENSG00000163166.14,chr2,127496391,127498237,PAS,True,90,102
ENSG00000163166.14,chr2,127503385,127503576,PAS,True,91,102
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,53,101
ENSG00000116096.5,chr2,72887736,72888313,IR,True,123,139
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,17,141
ENSG00000116096.5,chr2,72887407,72888604,TSS,True,125,141
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,23,208
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,61,262
ENSG00000003402.19,chr2,201160942,201162995,ES,True,69,101
ENSG00000003402.19,chr2,201160942,201163834,3AS,True,65,157
ENSG00000003402.19,chr2,201163106,201163834,IR,True,11,103
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,145,303
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,246,303
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,234,276
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,202,280
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,217,279
ENSG00000003402.19,chr2,201167153,201169639,PAS,True,258,290
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,90,131
ENSG00000136718.9,chr2,130342935,130343085,IR,False,90,120
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,77,167
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,126,167
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,137,167
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,119,522
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,426,522
ENSG00000119801.12,chr2,30147062,30156627,ES,False,133,168
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,118,134
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,88,134
ENSG00000123989.13,chr2,219540945,219541087,TSS,True,110,132
ENSG00000138071.13,chr2,65239962,65246523,3AS,True,88,122
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,20,146
ENSG00000175084.11,chr2,219420660,219420834,3AS,True,56,104
ENSG00000175084.11,chr2,219421560,219425634,3AS,True,97,138
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,139,228
ENSG00000115993.12,chr2,201389800,201389879,TSS,True,185,220
ENSG00000138443.15,chr2,203328259,203328631,TSS,True,66,112
ENSG00000138443.15,chr2,203394701,203394846,TSS,False,91,111
ENSG00000138443.15,chr2,203395651,203395780,TSS,True,97,111
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,63,160
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,79,493
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,95,493
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,111,299
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,149,341
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,223,341
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,64,184
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,22,196
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,228,270
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,236,269
ENSG00000115306.15,chr2,54663518,54664691,TSS,True,97,112
ENSG00000115306.15,chr2,54469890,54469986,TSS,True,241,280
ENSG00000115306.15,chr2,54661030,54663690,TSS,True,93,112
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,132,232
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,183,219
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,177,272
ENSG00000075292.18,chr2,71276754,71355718,ES,False,15,114
ENSG00000075292.18,chr2,71276554,71276754,TSS,True,83,199
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,165,199
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,178,199
ENSG00000075292.18,chr2,71426459,71427570,PAS,False,171,193
ENSG00000075292.18,chr2,71422813,71423740,PAS,True,170,189
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,117,187
ENSG00000075292.18,chr2,71395246,71395756,PAS,False,164,188
ENSG00000186522.14,chr2,109544324,109546049,IR,True,106,142
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,45,152
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,109,145
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,692,816
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,366,816
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,108,1039
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,443,1435
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,32,208
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,186,208
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,39,261
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,230,261
ENSG00000115602.16,chr2,102342294,102343077,3AS,False,16,142
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,112,144
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,32,107
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,80,107
ENSG00000115840.13,chr2,171894202,171894530,TSS,True,93,764
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,45,106
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,88,106
ENSG00000115641.18,chr2,105386540,105438398,ME,True,25,245
ENSG00000115641.18,chr2,105386540,105438398,ME,True,25,245
ENSG00000115641.18,chr2,105386540,105438398,ME,True,25,245
ENSG00000115641.18,chr2,105386540,105438398,ME,True,25,245
ENSG00000115641.18,chr2,105386540,105438398,ME,True,25,245
ENSG00000115593.14,chr2,88091142,88096594,ES,False,118,617
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,124,724
ENSG00000143995.19,chr2,66435123,66435868,TSS,True,86,103
ENSG00000143995.19,chr2,66438259,66439984,TSS,True,92,103
ENSG00000143995.19,chr2,66437322,66437963,TSS,True,91,103
ENSG00000143995.19,chr2,66437986,66438062,TSS,True,89,103
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,69,585
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,135,204
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,27,231
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,186,357
ENSG00000115415.18,chr2,190984309,190984395,TSS,True,230,353
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,139,172
ENSG00000119729.11,chr2,46543413,46543812,TSS,True,109,172
ENSG00000152689.17,chr2,33475942,33476707,TSS,True,89,101
ENSG00000152689.17,chr2,33458034,33458130,TSS,False,48,101
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,80,289
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,138,549
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,465,549
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,55,123
ENSG00000138448.11,chr2,186677196,186680903,PAS,True,22,103
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,38,189
ENSG00000168958.19,chr2,227325427,227330625,ES,False,39,172
ENSG00000168958.19,chr2,227328789,227330625,ES,False,109,135
ENSG00000168958.19,chr2,227340380,227347225,ES,False,48,120
ENSG00000168958.19,chr2,227340380,227352513,ES,False,28,164
ENSG00000152086.8,chr2,130195078,130195231,TSS,True,18,117
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,17,128
ENSG00000123992.19,chr2,219387163,219387758,5AS,False,87,111
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,71,158
ENSG00000123992.19,chr2,219387575,219387934,TSS,True,133,158
ENSG00000123992.19,chr2,219386891,219387165,TSS,True,137,158
ENSG00000115290.9,chr2,164492405,164493182,PAS,True,17,164
ENSG00000104231.10,chr8,81715114,81718181,ES,False,26,119
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,14,124
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,34,144
ENSG00000040341.17,chr8,73422702,73552011,ES,False,64,152
ENSG00000040341.17,chr8,73688813,73738283,ES,False,37,116
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,65,220
ENSG00000040341.17,chr8,73526820,73527804,PAS,True,187,220
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,193,216
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,151,222
ENSG00000040341.17,chr8,73613743,73613938,TSS,True,195,219
ENSG00000040341.17,chr8,73739755,73740802,TSS,True,182,222
ENSG00000040341.17,chr8,73709031,73709161,TSS,True,198,222
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,47,145
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,57,100
ENSG00000023287.12,chr8,52656119,52657908,PAS,False,41,293
ENSG00000008513.15,chr8,133476074,133476277,IR,False,134,254
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,296,522
ENSG00000008513.15,chr8,133475718,133476600,TSS,True,370,517
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,113,185
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,58,558
ENSG00000104687.13,chr8,30727529,30727967,TSS,True,21,137
ENSG00000168300.13,chr8,51845763,51898929,ES,False,30,119
ENSG00000168300.13,chr8,51898929,51899169,TSS,True,17,142
ENSG00000184489.11,chr8,141418018,141421387,5AS,True,199,234
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,124,728
ENSG00000184489.11,chr8,141391976,141392084,TSS,True,710,794
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,476,794
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,587,794
ENSG00000120910.14,chr8,22528577,22532224,ES,False,116,177
ENSG00000120910.14,chr8,22533018,22540614,ES,False,23,176
ENSG00000133731.9,chr8,81686251,81686354,TSS,True,19,122
ENSG00000078674.17,chr8,17922713,17923188,TSS,True,31,100
ENSG00000078674.17,chr8,18027636,18029948,PAS,True,75,100
ENSG00000147576.16,chr8,66432450,66432575,TSS,True,24,134
ENSG00000104343.19,chr8,73878807,73878880,TSS,True,20,111
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,130,673
ENSG00000198042.10,chr8,33484695,33485221,TSS,False,87,100
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,102,200
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,111,200
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,26,188
ENSG00000198363.17,chr8,61643433,61644599,ES,False,20,194
ENSG00000198363.17,chr8,61644632,61651049,ES,False,31,195
ENSG00000198363.17,chr8,61653660,61680967,ES,True,170,189
ENSG00000198363.17,chr8,61681036,61684038,ES,False,190,222
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,67,228
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,79,237
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,179,237
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,1489,3351
ENSG00000036448.9,chr8,2085267,2085390,TSS,True,2907,3302
ENSG00000123124.13,chr8,86342930,86374029,ES,True,46,113
ENSG00000123124.13,chr8,86398479,86398574,3AS,True,13,126
ENSG00000123124.13,chr8,86342525,86342930,TSS,True,57,170
ENSG00000176623.11,chr8,86508491,86508770,TSS,True,23,127
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,67,207
ENSG00000161016.17,chr8,144791991,144792215,TSS,True,181,207
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,80,189
ENSG00000158669.11,chr8,41598290,41599304,TSS,True,121,189
ENSG00000164733.20,chr8,11842682,11844024,5AS,True,31,159
ENSG00000164733.20,chr8,11853479,11864375,ME,False,105,121
ENSG00000164733.20,chr8,11853479,11864375,ME,False,81,121
