gene,chr,start,end,splice_type,novel,GM12878_ENCFF219UJG_in_cov,GM12878_ENCFF219UJG_total_cov
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,41,218
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,142,204
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,150,181
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,98,181
ENSG00000136699.19,chr2,130154276,130154465,TSS,True,94,111
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,71,112
ENSG00000067066.16,chr2,230411725,230416328,TSS,True,38,242
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,55,221
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,85,165
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,126,160
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,21,140
ENSG00000115956.9,chr2,68365168,68365393,TSS,False,241,1050
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,54,105
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,66,105
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,64,272
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,207,415
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,351,415
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,35,295
ENSG00000171865.9,chr2,3558132,3558375,TSS,False,33,141
ENSG00000144021.2,chr2,96268658,96269267,IR,False,107,130
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,164,882
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,48,203
ENSG00000115946.7,chr2,68174734,68179020,PAS,True,13,126
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,92,390
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,299,380
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,63,409
ENSG00000163161.13,chr2,127289824,127290223,IR,False,97,109
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,17,122
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,11,109
ENSG00000144231.10,chr2,127850685,127858027,ES,True,25,107
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,195,578
ENSG00000138363.14,chr2,215346755,215346941,TSS,True,455,577
ENSG00000028116.17,chr2,58146474,58159348,ES,False,77,112
ENSG00000028116.17,chr2,58046621,58046821,TSS,True,150,177
ENSG00000028116.17,chr2,58046636,58046868,TSS,True,126,177
ENSG00000028116.17,chr2,58046817,58048967,TSS,True,144,168
ENSG00000028116.17,chr2,58159348,58164001,PAS,True,43,155
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,150,982
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,65,224
ENSG00000115935.17,chr2,174559572,174562602,PAS,True,14,108
ENSG00000115935.17,chr2,174571675,174572124,TSS,True,159,194
ENSG00000115935.17,chr2,174567860,174568076,TSS,True,160,185
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,423,1575
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,1194,1555
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,214,1591
ENSG00000135916.15,chr2,230865145,230875619,ES,False,38,199
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,110,310
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,109,166
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,64,168
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,125,165
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,119,169
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,135,165
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,130,165
ENSG00000172428.10,chr2,240136221,240136305,TSS,True,67,106
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,36,105
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,46,129
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,274,1332
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,1087,1332
ENSG00000003402.19,chr2,201140439,201141373,IR,True,89,132
ENSG00000003402.19,chr2,201140359,201140439,TSS,True,160,205
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,205,244
ENSG00000003402.19,chr2,201129327,201130146,TSS,True,147,229
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,137,226
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,192,228
ENSG00000003402.19,chr2,201140356,201141605,PAS,True,130,173
ENSG00000132323.8,chr2,238170398,238170676,PAS,True,13,105
ENSG00000132323.8,chr2,238203498,238203748,TSS,True,14,109
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,165,213
ENSG00000136718.9,chr2,130342935,130343085,IR,False,165,199
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,126,291
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,243,291
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,258,291
ENSG00000138074.14,chr2,27204931,27205349,IR,True,119,134
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,207,243
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,209,243
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,199,243
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,31,154
ENSG00000115128.6,chr2,24068320,24068455,TSS,True,135,152
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,230,672
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,503,672
ENSG00000136709.11,chr2,127701026,127706552,PAS,False,84,102
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,40,108
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,42,201
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,42,121
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,106,121
ENSG00000168883.19,chr2,85648853,85649016,IR,False,42,112
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,28,116
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,45,115
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,74,116
ENSG00000115267.6,chr2,162278328,162281327,ES,False,67,127
ENSG00000115267.6,chr2,162266882,162267379,PAS,True,98,190
ENSG00000115267.6,chr2,162268237,162268277,PAS,True,154,190
ENSG00000115267.6,chr2,162308398,162310933,PAS,True,132,178
ENSG00000153827.13,chr2,229921879,229922235,TSS,True,54,104
ENSG00000153827.13,chr2,229921563,229921805,TSS,False,93,104
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,41,390
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,56,392
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,80,260
ENSG00000136536.14,chr2,159712661,159729008,ES,False,160,179
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,111,293
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,196,293
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,161,258
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,203,228
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,203,227
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,132,200
ENSG00000115306.15,chr2,54622299,54622330,PAS,True,89,112
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,120,222
ENSG00000275052.4,chr2,55564476,55564901,3AS,True,16,115
ENSG00000275052.4,chr2,55568363,55577314,ES,False,23,115
ENSG00000275052.4,chr2,55577356,55579678,ES,False,49,114
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,35,138
ENSG00000088205.12,chr2,117814862,117817443,IR,True,88,101
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,30,118
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,43,109
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,74,101
ENSG00000186522.14,chr2,109544324,109546049,IR,True,83,106
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,37,120
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,92,115
ENSG00000186522.14,chr2,109613797,109614196,TSS,True,15,120
ENSG00000163541.11,chr2,84459172,84459295,TSS,True,21,161
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,324,469
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,172,469
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,213,328
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,119,519
ENSG00000196843.15,chr2,96547517,96549752,ES,False,82,184
ENSG00000196843.15,chr2,96549805,96550187,3AS,True,146,169
ENSG00000196843.15,chr2,96549805,96550187,IR,False,146,165
ENSG00000196843.15,chr2,96536703,96536830,TSS,True,88,270
ENSG00000163811.11,chr2,28894615,28894923,TSS,False,31,199
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,30,188
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,122,286
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,27,135
ENSG00000115816.14,chr2,37228821,37229036,PAS,False,116,132
ENSG00000143924.18,chr2,42169258,42169636,TSS,True,23,140
ENSG00000143924.18,chr2,42329733,42332548,PAS,True,33,132
ENSG00000143924.18,chr2,42256500,42257828,PAS,True,100,119
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,40,223
ENSG00000079785.14,chr2,15597374,15597447,PAS,True,183,218
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,38,174
ENSG00000168393.12,chr2,241686653,241686841,TSS,True,103,198
ENSG00000168393.12,chr2,241678451,241678516,TSS,True,116,196
ENSG00000158050.4,chr2,96144966,96145441,TSS,False,120,766
ENSG00000115875.18,chr2,38745187,38746693,ES,False,19,160
ENSG00000115875.18,chr2,38748653,38749528,IR,False,113,132
ENSG00000115875.18,chr2,38748046,38748159,TSS,True,151,170
ENSG00000115875.18,chr2,38751228,38751439,TSS,True,59,182
ENSG00000071051.13,chr2,105855289,105892981,ES,False,14,116
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,35,149
ENSG00000143727.15,chr2,271939,275139,ME,False,32,203
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,87,142
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,17,160
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,586,1682
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,1147,1677
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,268,1695
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,262,1547
ENSG00000205795.4,chr2,10079905,10080258,TSS,False,16,116
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,97,159
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,135,159
ENSG00000138398.15,chr2,169614680,169614724,TSS,True,134,155
ENSG00000138398.15,chr2,169636412,169641406,PAS,True,56,118
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,65,116
ENSG00000123609.10,chr2,151289592,151289931,TSS,True,48,170
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,174,740
ENSG00000115541.10,chr2,197500398,197503128,TSS,True,637,737
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,157,351
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,264,362
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,305,351
ENSG00000115368.9,chr2,189441391,189441578,TSS,True,55,121
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,91,117
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,32,103
ENSG00000119844.15,chr2,64579546,64585421,ES,False,102,114
ENSG00000119844.15,chr2,64585545,64591887,3AS,False,46,124
ENSG00000119844.15,chr2,64591884,64593005,PAS,True,57,135
ENSG00000119844.15,chr2,64591887,64593009,PAS,True,89,135
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,57,319
ENSG00000115866.10,chr2,135985402,135985678,TSS,True,40,359
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,122,890
ENSG00000122085.16,chr2,241072167,241075682,PAS,True,91,103
ENSG00000122085.16,chr2,241102252,241102414,TSS,True,39,113
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,43,235
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,832,1481
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,798,1480
ENSG00000121152.9,chr2,96335735,96335848,TSS,True,34,104
ENSG00000121152.9,chr2,96342047,96342140,TSS,True,93,104
ENSG00000116120.9,chr2,222566898,222572022,PAS,False,17,138
ENSG00000198586.13,chr2,171061156,171082780,ES,False,91,105
ENSG00000198586.13,chr2,170991881,170993956,PAS,True,44,119
ENSG00000198586.13,chr2,171160289,171161246,TSS,True,34,126
ENSG00000198586.13,chr2,171117738,171117859,TSS,True,107,122
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,33,115
ENSG00000120899.17,chr8,27325473,27325681,TSS,True,387,439
ENSG00000120899.17,chr8,27434096,27434132,TSS,True,352,417
ENSG00000120899.17,chr8,27380615,27380792,TSS,True,348,439
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,22,141
ENSG00000085719.12,chr8,86558287,86561509,PAS,True,17,126
ENSG00000254087.7,chr8,55941928,55946447,5AS,False,33,109
ENSG00000254087.7,chr8,55879547,55880103,TSS,True,42,154
ENSG00000104738.17,chr8,47960498,47961014,TSS,True,102,594
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,33,275
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,60,276
ENSG00000178860.8,chr8,71843644,71844245,TSS,False,77,356
ENSG00000136573.13,chr8,11493670,11494591,TSS,True,75,130
ENSG00000136573.13,chr8,11554783,11554889,TSS,True,109,126
ENSG00000071894.16,chr8,144409288,144410022,TSS,False,105,131
ENSG00000071894.16,chr8,144397486,144398162,TSS,True,116,129
ENSG00000071894.16,chr8,144409014,144409325,TSS,True,115,131
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,38,291
