gene,chr,start,end,splice_type,novel,mammary_epithelial_cell_ENCFF903XBV_in_cov,mammary_epithelial_cell_ENCFF903XBV_total_cov
ENSG00000123983.13,chr2,222887888,222908732,ES,False,146,395
ENSG00000143867.6,chr2,19353140,19353587,TSS,True,133,151
ENSG00000143867.6,chr2,19358340,19358623,TSS,False,26,151
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,67,312
ENSG00000158417.10,chr2,99361162,99361820,TSS,True,173,197
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,142,274
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,143,248
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,263,310
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,42,132
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,53,124
ENSG00000168397.16,chr2,241651335,241653511,ES,False,75,104
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,33,129
ENSG00000168397.16,chr2,241651006,241651111,TSS,True,116,129
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,17,125
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,63,111
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,81,111
ENSG00000115365.11,chr2,210477449,210477602,TSS,False,95,111
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,22,117
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,26,117
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,103,129
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,38,129
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,19,109
ENSG00000170144.20,chr2,177216940,177219036,ES,False,13,116
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,89,179
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,160,179
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,28,161
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,196,229
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,28,224
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,34,301
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,44,150
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,68,147
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,93,127
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,38,317
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,215,263
ENSG00000085760.14,chr2,55237287,55237346,TSS,True,63,261
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,60,286
ENSG00000115524.15,chr2,197392971,197393132,TSS,True,243,285
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,26,220
ENSG00000134330.18,chr2,9474647,9478221,ES,False,18,116
ENSG00000134330.18,chr2,9474107,9474647,TSS,True,16,134
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,31,209
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,15,107
ENSG00000068912.13,chr2,53801842,53809213,ES,False,22,144
ENSG00000068912.13,chr2,53786426,53787372,TSS,True,18,157
ENSG00000115540.14,chr2,197516146,197535529,ES,False,19,167
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,17,106
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,18,141
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,330,1881
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,1589,1881
ENSG00000125629.14,chr2,118088460,118088541,TSS,True,27,101
ENSG00000125629.14,chr2,118088471,118088545,TSS,True,88,101
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,100,187
ENSG00000003402.19,chr2,201132964,201133134,TSS,True,125,181
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,39,168
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,153,172
ENSG00000034510.5,chr2,84906121,84906388,IR,True,88,101
ENSG00000034510.5,chr2,84905651,84905718,TSS,False,10987,24458
ENSG00000034510.5,chr2,84905817,84906117,TSS,True,13673,24458
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,149,214
ENSG00000136718.9,chr2,130342935,130343085,IR,False,149,207
ENSG00000136718.9,chr2,130342962,130343085,IR,False,65,123
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,155,303
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,238,303
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,245,303
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,354,515
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,415,515
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,361,1510
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1186,1510
ENSG00000005448.16,chr2,74421816,74422152,IR,False,108,143
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,64,184
ENSG00000005448.16,chr2,74421726,74422375,TSS,True,149,184
ENSG00000115525.17,chr2,85888823,85889143,TSS,True,446,499
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,967,1165
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,114,502
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,235,319
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,77,526
ENSG00000135932.10,chr2,230712824,230713230,TSS,False,29,222
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,207,946
ENSG00000114956.19,chr2,73927052,73946718,ES,False,223,316
ENSG00000114956.19,chr2,73927052,73958145,ES,True,43,371
ENSG00000114956.19,chr2,73946906,73958145,ES,False,173,304
ENSG00000168883.19,chr2,85648853,85649016,IR,False,21,180
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,162,184
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,53,184
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,21,180
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,163,184
ENSG00000229647.1,chr2,207245288,207246235,PAS,True,56,149
ENSG00000229647.1,chr2,207246850,207250602,PAS,True,106,159
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,302,391
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,100,402
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,313,402
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,25,164
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,53,133
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,69,150
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,91,150
ENSG00000144591.18,chr2,219498826,219498938,TSS,False,27,106
ENSG00000144591.18,chr2,219498888,219499254,TSS,True,93,106
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,69,188
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,24,192
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,81,127
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,75,264
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,183,253
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,18,163
ENSG00000186522.14,chr2,109613797,109614196,TSS,True,18,163
ENSG00000136682.14,chr2,113438022,113441350,ES,False,108,131
ENSG00000136682.14,chr2,113465173,113482176,ES,False,13,101
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,31,137
ENSG00000136682.14,chr2,113443766,113444538,PAS,True,105,132
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,291,389
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,137,389
ENSG00000124380.10,chr2,69904425,69904511,IR,False,18,157
ENSG00000124380.10,chr2,69904253,69905927,PAS,True,21,160
ENSG00000124380.10,chr2,69904511,69904671,PAS,True,140,160
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,156,415
ENSG00000127824.13,chr2,219253208,219253351,TSS,False,347,415
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,66,316
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,269,316
ENSG00000135900.3,chr2,223957433,223957651,TSS,False,16,101
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,107,816
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,729,816
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,466,1103
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,21,113
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,100,113
ENSG00000115816.14,chr2,37231411,37231618,TSS,False,14,115
ENSG00000115641.18,chr2,105386540,105398841,ES,False,84,195
ENSG00000115641.18,chr2,105386540,105398969,ES,False,119,219
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,119,316
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,100,213
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,217,436
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,240,436
ENSG00000115008.5,chr2,112784442,112784502,TSS,False,226,360
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,453,532
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,128,532
ENSG00000168393.12,chr2,241678649,241685768,ES,False,37,247
ENSG00000115875.18,chr2,38745187,38746693,ES,False,37,328
ENSG00000115363.13,chr2,75492310,75493609,PAS,True,30,119
ENSG00000115363.13,chr2,75558480,75558699,PAS,False,91,117
ENSG00000115363.13,chr2,75560679,75560994,TSS,True,67,122
ENSG00000115363.13,chr2,75561256,75561340,TSS,True,66,122
ENSG00000071051.13,chr2,105855289,105892981,ES,False,38,155
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,17,169
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,69,110
ENSG00000115295.19,chr2,29114000,29114312,TSS,False,76,110
ENSG00000115295.19,chr2,29181571,29183952,PAS,True,35,104
ENSG00000115295.19,chr2,29174372,29174713,PAS,True,74,104
ENSG00000163235.15,chr2,70553727,70554220,TSS,True,51,138
ENSG00000115414.18,chr2,215372015,215372108,IR,False,5326,6846
ENSG00000115414.18,chr2,215372015,215373321,ES,False,960,6236
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,960,2478
ENSG00000115414.18,chr2,215379317,215382211,ES,False,2404,7404
ENSG00000115414.18,chr2,215391814,215394527,ES,False,5097,6980
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,5377,8235
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,5054,8520
ENSG00000143727.15,chr2,271939,275139,ME,False,79,390
ENSG00000143727.15,chr2,271939,272191,ES,False,81,141
ENSG00000169047.5,chr2,226794988,226796948,TSS,True,21,101
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,155,245
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,31,124
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,94,123
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,22,132
ENSG00000240857.1,chr2,18560179,18560645,TSS,True,25,117
ENSG00000163001.11,chr2,55519585,55519916,TSS,True,34,170
ENSG00000163001.11,chr2,55544906,55545079,PAS,True,37,170
ENSG00000115368.9,chr2,189441391,189441578,TSS,True,18,123
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,83,184
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,14,132
ENSG00000119013.8,chr2,201071991,201072059,TSS,True,854,1177
ENSG00000153250.19,chr2,160281364,160284774,ES,False,87,125
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,55,126
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,95,135
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,48,135
ENSG00000168958.19,chr2,227325427,227332418,ES,False,16,110
ENSG00000168958.19,chr2,227340380,227355676,ES,False,48,110
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,31,196
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,29,212
ENSG00000138382.14,chr2,169824640,169824781,IR,False,162,201
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,108,270
ENSG00000138382.14,chr2,169824640,169824867,IR,False,108,148
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,149,312
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,203,312
ENSG00000138382.14,chr2,169824488,169824919,TSS,True,273,312
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,232,1479
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,1307,1479
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,158,412
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,290,412
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,115,408
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,294,392
ENSG00000115884.10,chr2,20224801,20225140,TSS,True,1012,3759
ENSG00000104231.10,chr8,81715114,81718181,ES,False,127,203
