gene,chr,start,end,splice_type,novel,Right_ventricle_myocardium_superior_ENCFF840OVC_in_cov,Right_ventricle_myocardium_superior_ENCFF840OVC_total_cov
ENSG00000115756.12,chr2,10396920,10419733,ES,False,227,261
ENSG00000168906.12,chr2,85543034,85543669,IR,True,266,325
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,63,326
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,273,326
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,75,100
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,102,117
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,25,117
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,22,170
ENSG00000124831.18,chr2,237708630,237748363,ES,False,19,151
ENSG00000124831.18,chr2,237749324,237753308,ES,False,19,157
ENSG00000124831.18,chr2,237756187,237760063,ES,False,19,154
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,39,172
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,153,172
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,20,169
ENSG00000114923.16,chr2,219627745,219627959,3AS,False,74,187
ENSG00000114923.16,chr2,219628570,219629143,5AS,False,183,245
ENSG00000114923.16,chr2,219628570,219629143,IR,True,183,206
ENSG00000114923.16,chr2,219629071,219629143,IR,True,16,112
ENSG00000114923.16,chr2,219629421,219630152,ES,True,60,410
ENSG00000114923.16,chr2,219629421,219630152,3AS,True,60,109
ENSG00000114923.16,chr2,219629695,219630152,3AS,False,374,420
ENSG00000114923.16,chr2,219638869,219639445,IR,True,12,102
ENSG00000114923.16,chr2,219627156,219627745,TSS,True,1602,1789
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,860,1789
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,45,325
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,390,460
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,146,460
ENSG00000168385.17,chr2,241315982,241324215,ES,False,268,301
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,43,356
ENSG00000198925.11,chr2,219228053,219229534,ES,False,39,183
ENSG00000198925.11,chr2,219228482,219229534,3AS,False,16,145
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,118,304
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,313,1114
ENSG00000115307.16,chr2,74528935,74529131,IR,False,129,156
ENSG00000173744.17,chr2,227531210,227533548,ES,False,25,118
ENSG00000173744.17,chr2,227536993,227551958,ES,False,83,119
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,24,119
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,17,136
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,43,158
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,138,158
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,84,111
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,40,111
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,23,160
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,14,126
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,234,640
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,435,640
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,13,112
ENSG00000061676.14,chr2,183003319,183023805,3AS,True,79,137
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,18,156
ENSG00000144043.11,chr2,70994687,70994882,TSS,False,28,225
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,91,121
ENSG00000115896.15,chr2,197804585,197805341,TSS,True,41,135
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,12,104
ENSG00000138399.17,chr2,169537340,169540050,ES,False,14,116
ENSG00000138399.17,chr2,169563350,169571652,ES,False,43,115
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,15,125
ENSG00000243147.7,chr2,27772692,27779432,ES,False,144,208
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,46,247
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,220,247
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,27,118
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,40,333
ENSG00000115380.19,chr2,55922447,55923710,ES,False,121,167
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,123,148
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,27,148
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,156,932
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,18,128
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,21,199
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,19,100
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,52,100
ENSG00000171853.15,chr2,3379682,3379876,TSS,True,48,150
ENSG00000171853.15,chr2,3459046,3460336,TSS,True,133,148
ENSG00000067066.16,chr2,230416328,230442936,ES,False,35,116
ENSG00000067066.16,chr2,230449710,230461261,ES,True,39,116
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,28,120
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,109,167
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,59,168
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,114,168
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,200,363
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,293,363
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,40,231
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,20,179
ENSG00000180228.12,chr2,178447586,178450965,ES,True,17,129
ENSG00000138363.14,chr2,215312161,215312497,5AS,False,93,104
ENSG00000138363.14,chr2,215312161,215312497,IR,False,93,114
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,38,131
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,109,131
ENSG00000072195.14,chr2,219460063,219460996,TSS,False,125,145
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,64,135
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,34,134
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,92,129
ENSG00000115183.14,chr2,159089583,159092504,PAS,True,19,102
ENSG00000114948.12,chr2,206443352,206444080,TSS,True,28,166
ENSG00000114948.12,chr2,206617578,206621126,PAS,True,21,154
ENSG00000155657.26,chr2,178525988,178527307,PAS,True,188,385
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,54,209
ENSG00000155657.26,chr2,178528527,178530317,TSS,True,182,209
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,314,397
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,29,120
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,100,120
ENSG00000068912.13,chr2,53801842,53809213,ES,False,24,171
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,27,225
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,43,246
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,30,150
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,114,188
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,148,188
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,90,151
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,141,164
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,138,163
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,95,134
ENSG00000136718.9,chr2,130342935,130343085,IR,False,95,106
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,57,152
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,113,152
ENSG00000142330.19,chr2,240591000,240591932,5AS,False,20,189
ENSG00000142330.19,chr2,240595304,240596318,IR,True,171,194
ENSG00000142330.19,chr2,240584888,240587052,TSS,True,55,239
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,48,270
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,225,270
ENSG00000119801.12,chr2,30147062,30156627,ES,False,64,101
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,471,709
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,344,709
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,29,264
ENSG00000175084.11,chr2,219421560,219425634,3AS,True,37,107
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,86,100
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,81,122
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,47,128
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,87,128
ENSG00000180398.12,chr2,46907969,46915722,ES,False,72,112
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,30,143
ENSG00000138095.18,chr2,43975090,43975220,TSS,True,105,120
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,39,120
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,71,215
ENSG00000136536.14,chr2,159712661,159729008,ES,False,130,145
ENSG00000136536.14,chr2,159762993,159767283,ES,False,73,235
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,94,239
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,156,239
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,42,117
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,146,170
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,149,169
ENSG00000115306.15,chr2,54469890,54469986,TSS,True,154,179
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,64,152
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,103,169
ENSG00000186522.14,chr2,109544324,109546049,IR,True,101,142
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,44,154
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,111,152
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,68,639
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,112,533
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,496,1367
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,36,153
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,121,153
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,61,220
ENSG00000144567.10,chr2,219178219,219178633,TSS,True,17,121
ENSG00000084764.11,chr2,27024252,27025582,5AS,False,18,123
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,132,726
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,167,254
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,11,103
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,134,830
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,32,314
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,26,113
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,96,110
ENSG00000168958.19,chr2,227325427,227330625,ES,False,51,238
ENSG00000168958.19,chr2,227328789,227330625,ES,False,147,190
ENSG00000168958.19,chr2,227340380,227347225,ES,False,56,166
ENSG00000168958.19,chr2,227340380,227352513,ES,False,57,250
ENSG00000168958.19,chr2,227342819,227352513,ES,True,26,137
ENSG00000135956.8,chr2,96265489,96265868,3AS,True,54,137
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,75,212
ENSG00000135956.8,chr2,96265137,96265500,TSS,True,178,212
ENSG00000152086.8,chr2,130195078,130195231,TSS,True,45,248
ENSG00000115170.13,chr2,157799500,157818384,5AS,True,102,116
ENSG00000115170.13,chr2,157818559,157875795,ES,False,83,107
ENSG00000115170.13,chr2,157875795,157876342,TSS,True,13,122
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,48,287
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,123,150
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,37,150
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,19,149
ENSG00000040341.17,chr8,73422702,73552011,ES,False,59,119
ENSG00000040341.17,chr8,73688813,73738283,ES,False,84,155
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,54,173
ENSG00000040341.17,chr8,73526820,73527804,PAS,True,131,173
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,28,175
ENSG00000179526.16,chr8,144098994,144099276,ES,False,23,220
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,23,160
ENSG00000008513.15,chr8,133476074,133476277,IR,False,143,201
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,91,288
ENSG00000029534.20,chr8,41664804,41665289,TSS,True,36,330
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,182,261
ENSG00000104687.13,chr8,30727529,30727967,TSS,True,17,140
ENSG00000168300.13,chr8,51845763,51898929,ES,False,28,193
ENSG00000184489.11,chr8,141418018,141421387,5AS,True,268,332
ENSG00000184489.11,chr8,141421610,141422180,IR,False,75,613
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,81,638
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,695,896
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,707,896
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,618,896
ENSG00000120910.14,chr8,22528577,22532224,ES,False,74,113
ENSG00000120910.14,chr8,22540614,22543188,PAS,True,24,138
ENSG00000120910.14,chr8,22477646,22479164,PAS,True,116,135
ENSG00000158856.18,chr8,22049224,22066837,3AS,False,36,135
ENSG00000158856.18,chr8,22066893,22067526,ES,False,84,149
ENSG00000158856.18,chr8,22048368,22049224,TSS,True,59,194
ENSG00000147576.16,chr8,66440199,66444366,ES,False,12,116
ENSG00000120896.13,chr8,22565287,22565872,TSS,True,83,132
ENSG00000120896.13,chr8,22551319,22552022,TSS,True,115,133
ENSG00000164941.13,chr8,94823561,94827262,ES,False,17,105
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,84,512
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,77,153
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,125,151
ENSG00000187954.12,chr8,144462282,144462876,TSS,True,22,112
ENSG00000187954.12,chr8,144465207,144465437,TSS,True,143,159
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,143,159
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,138,217
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,89,215
ENSG00000164983.7,chr8,124306192,124314061,PAS,False,14,135
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,20,138
ENSG00000198363.17,chr8,61643433,61644599,ES,False,32,139
ENSG00000198363.17,chr8,61644632,61651049,ES,False,35,138
ENSG00000198363.17,chr8,61653660,61680967,ES,True,118,133
ENSG00000198363.17,chr8,61681036,61684038,ES,False,155,184
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,161,194
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,79,189
ENSG00000198363.17,chr8,61661682,61665606,PAS,True,148,184
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,92,196
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,119,196
ENSG00000158941.16,chr8,22604637,22604842,TSS,True,41,122
ENSG00000158941.16,chr8,22612103,22613136,TSS,True,93,122
ENSG00000169398.19,chr8,140761262,140764233,ES,False,78,105
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,20,119
ENSG00000134020.7,chr8,22920183,22920280,TSS,True,212,248
ENSG00000134020.7,chr8,22927822,22928009,TSS,False,53,253
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,790,2070
ENSG00000036448.9,chr8,2085267,2085390,TSS,True,1692,2066
ENSG00000147649.9,chr8,97691188,97706625,ES,False,51,185
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,159,189
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,35,189
ENSG00000123124.13,chr8,86342930,86374029,ES,True,70,179
ENSG00000123124.13,chr8,86398479,86398574,3AS,True,19,182
ENSG00000123124.13,chr8,86342525,86342930,TSS,True,26,204
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,359,884
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,13,100
ENSG00000169139.11,chr8,48008406,48008470,TSS,False,15,134
ENSG00000164733.20,chr8,11853479,11868000,ME,False,325,362
ENSG00000164733.20,chr8,11853479,11868000,ME,False,316,362
ENSG00000164733.20,chr8,11853479,11868000,ME,False,310,362
ENSG00000164733.20,chr8,11853479,11868000,ME,False,310,362
ENSG00000164733.20,chr8,11853479,11864375,ES,False,304,350
ENSG00000164733.20,chr8,11853479,11868000,ES,False,2341,2754
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,148,616
ENSG00000185122.10,chr8,144313823,144313911,TSS,True,546,615
ENSG00000077782.20,chr8,38467980,38468832,TSS,True,85,115
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,18,164
ENSG00000169122.11,chr8,57994468,57994806,TSS,True,32,105
ENSG00000169122.11,chr8,58070228,58070362,TSS,True,87,105
ENSG00000185000.11,chr8,144326436,144327477,TSS,True,16,138
ENSG00000179950.13,chr8,143818534,143821596,ES,False,127,315
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,41,268
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,37,332
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,35,258
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,55,254
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,193,242
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,65,255
ENSG00000178814.16,chr8,144060652,144061242,TSS,False,212,238
ENSG00000178814.16,chr8,144063303,144063474,TSS,True,182,238
ENSG00000147813.15,chr8,143574900,143574985,IR,False,130,155
ENSG00000147813.15,chr8,143575093,143575190,IR,False,128,152
ENSG00000147813.15,chr8,143574779,143574900,PAS,True,25,160
ENSG00000167701.13,chr8,144503497,144504466,TSS,True,28,101
ENSG00000147485.12,chr8,51408066,51409462,TSS,True,40,102
ENSG00000147485.12,chr8,51809180,51809463,TSS,False,85,104
ENSG00000147485.12,chr8,51474971,51475091,TSS,True,89,102
ENSG00000104529.17,chr8,143581328,143586728,ES,False,92,684
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,66,531
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,185,723
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,608,722
ENSG00000164951.15,chr8,93917079,93922015,ES,False,143,197
ENSG00000164951.15,chr8,93916890,93917079,TSS,True,52,249
ENSG00000155975.9,chr8,17294986,17298024,PAS,True,17,163
ENSG00000154582.16,chr8,73959818,73972076,ES,False,75,102
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,20,122
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,102,122
ENSG00000168615.11,chr8,38996752,38997160,TSS,True,39,143
ENSG00000147408.14,chr8,19506130,19601770,ES,False,157,201
ENSG00000147408.14,chr8,19682695,19682991,TSS,False,106,226
ENSG00000168575.9,chr8,42541537,42541937,TSS,True,186,226
ENSG00000168575.9,chr8,42501030,42501263,TSS,True,72,212
ENSG00000160948.13,chr8,144423922,144424040,IR,False,154,172
ENSG00000160948.13,chr8,144425000,144425682,3AS,False,16,150
ENSG00000160948.13,chr8,144425051,144425682,IR,False,133,154
ENSG00000160948.13,chr8,144426979,144428488,ES,True,128,143
ENSG00000160948.13,chr8,144426979,144428488,3AS,False,128,148
ENSG00000160948.13,chr8,144423597,144423922,PAS,True,19,175
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,21,184
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,92,322
ENSG00000156804.7,chr8,123540898,123541595,TSS,True,42,163
ENSG00000136574.17,chr8,11708928,11748918,3AS,False,347,499
ENSG00000136574.17,chr8,11703447,11704304,TSS,True,129,543
ENSG00000136574.17,chr8,11707853,11708928,TSS,True,469,543
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,64,564
ENSG00000213563.6,chr8,144526639,144526959,IR,False,76,259
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,183,259
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,65,224
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,36,259
ENSG00000047249.17,chr8,53801896,53814661,ES,False,51,127
ENSG00000175946.8,chr8,123653585,123653772,TSS,True,32,172
ENSG00000175946.8,chr8,123651576,123652643,TSS,False,142,172
ENSG00000171033.12,chr8,78516306,78516468,TSS,True,85,389
ENSG00000171033.12,chr8,78591226,78591283,TSS,False,331,387
ENSG00000175445.15,chr8,19939222,19939528,TSS,True,92,839
ENSG00000168079.16,chr8,27992256,27992834,TSS,True,117,154
ENSG00000137547.8,chr8,54147381,54149586,PAS,True,16,125
ENSG00000137547.8,chr8,54144128,54147903,PAS,True,109,125
ENSG00000160972.9,chr8,144477943,144478127,TSS,True,57,105
ENSG00000160972.9,chr8,144501106,144501294,TSS,True,69,105
ENSG00000164953.15,chr8,93794788,93795221,TSS,False,28,107
ENSG00000164953.15,chr8,93794815,93794868,TSS,True,89,107
ENSG00000067225.17,chr15,72200655,72206727,ME,False,3314,4114
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,43,162
ENSG00000103642.11,chr15,63141279,63142059,PAS,True,13,101
ENSG00000068305.17,chr15,99566104,99632977,ES,False,44,158
ENSG00000068305.17,chr15,99645764,99674392,ME,False,96,176
ENSG00000068305.17,chr15,99565428,99566104,TSS,True,55,214
ENSG00000128989.10,chr15,52568847,52569144,TSS,True,71,204
ENSG00000128989.10,chr15,52569115,52569167,TSS,True,152,204
ENSG00000186073.12,chr15,36808489,36808903,IR,False,33,214
ENSG00000186073.12,chr15,36579554,36579961,TSS,True,139,219
ENSG00000186073.12,chr15,36594733,36594918,TSS,True,162,219
ENSG00000186073.12,chr15,36808323,36810248,PAS,True,39,165
ENSG00000186073.12,chr15,36808903,36810246,PAS,True,185,219
ENSG00000178761.14,chr15,74902783,74904663,3AS,False,38,164
ENSG00000178761.14,chr15,74904712,74905153,ES,False,148,167
ENSG00000178761.14,chr15,74905231,74906586,ES,False,33,163
ENSG00000178761.14,chr15,74899989,74902786,PAS,True,48,172
ENSG00000178761.14,chr15,74899986,74902783,PAS,True,128,172
ENSG00000128951.13,chr15,48331479,48332267,5AS,False,23,151
ENSG00000128951.13,chr15,48331405,48331479,TSS,True,146,172
ENSG00000128951.13,chr15,48331409,48331795,TSS,True,44,172
ENSG00000166887.15,chr15,42208080,42208335,TSS,True,30,156
ENSG00000140374.15,chr15,76292700,76311349,ES,False,77,676
ENSG00000182253.14,chr15,99105076,99106009,TSS,True,163,270
ENSG00000182253.14,chr15,99129440,99131813,TSS,True,168,256
ENSG00000182253.14,chr15,99129366,99135583,PAS,True,94,107
ENSG00000188549.12,chr15,40340807,40340961,TSS,True,90,105
ENSG00000188549.12,chr15,40339904,40341008,TSS,True,91,105
ENSG00000103855.17,chr15,73684201,73684460,TSS,True,32,102
ENSG00000260916.7,chr15,55354628,55356409,PAS,True,49,151
ENSG00000260916.7,chr15,55355238,55360944,PAS,True,107,149
ENSG00000260916.7,chr15,55408220,55408470,TSS,True,23,151
ENSG00000186628.12,chr15,82769030,82772072,ES,False,50,165
ENSG00000186628.12,chr15,82787468,82805965,ES,False,100,171
ENSG00000205363.5,chr15,73739798,73740642,PAS,True,31,213
ENSG00000205363.5,chr15,73752109,73753383,TSS,True,35,236
ENSG00000137878.17,chr15,57591887,57592109,TSS,True,28,159
ENSG00000137878.17,chr15,57646136,57650058,PAS,True,82,136
ENSG00000137878.17,chr15,57684401,57685364,PAS,True,88,159
ENSG00000196547.14,chr15,90916256,90918193,ES,False,55,111
ENSG00000196547.14,chr15,90915973,90916256,TSS,True,120,170
ENSG00000166831.8,chr15,64775232,64775620,TSS,False,172,465
ENSG00000166831.8,chr15,64774655,64774974,TSS,True,406,465
