gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF925PCV_in_cov,endodermal_cell_ENCFF925PCV_total_cov
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,16,130
ENSG00000158411.11,chr2,99170652,99171509,ES,False,39,170
ENSG00000158411.11,chr2,99169152,99169470,PAS,True,25,177
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,89,102
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,75,147
ENSG00000115762.16,chr2,131125353,131125905,TSS,True,111,147
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,39,195
ENSG00000119203.13,chr2,9432533,9432688,TSS,True,174,195
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,205,275
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,31,220
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,104,302
ENSG00000115524.15,chr2,197402948,197403566,TSS,True,89,101
ENSG00000135972.8,chr2,105038053,105038227,TSS,False,195,593
ENSG00000135972.8,chr2,105097222,105097324,TSS,True,417,591
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,32,211
ENSG00000134330.18,chr2,9474647,9478221,ES,False,27,140
ENSG00000134330.18,chr2,9473645,9473899,TSS,True,150,173
ENSG00000134330.18,chr2,9474107,9474647,TSS,True,26,173
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,51,375
ENSG00000115758.12,chr2,10443229,10443314,TSS,True,31,151
ENSG00000115758.12,chr2,10442011,10442174,TSS,True,134,151
ENSG00000144199.11,chr2,97091712,97094700,ES,False,62,156
ENSG00000144199.11,chr2,97094700,97094903,TSS,True,130,287
ENSG00000144199.11,chr2,97091461,97091634,TSS,True,173,287
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,523,612
ENSG00000135916.15,chr2,230865145,230875619,ES,False,21,190
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,245,435
ENSG00000065548.17,chr2,186486216,186486457,TSS,True,17,155
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,121,142
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,24,153
ENSG00000115540.14,chr2,197516146,197535529,ES,False,34,178
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,90,234
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,147,238
ENSG00000163166.14,chr2,127504683,127505756,TSS,False,57,166
ENSG00000115446.11,chr2,98616346,98618167,3AS,False,17,105
ENSG00000240344.8,chr2,200881488,200885697,ES,False,13,104
ENSG00000240344.8,chr2,200888955,200889279,TSS,True,46,111
ENSG00000240344.8,chr2,200889243,200889339,TSS,True,74,111
ENSG00000003402.19,chr2,201129327,201130146,TSS,True,135,165
ENSG00000003402.19,chr2,201129308,201129520,TSS,False,104,165
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,78,143
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,130,150
ENSG00000003402.19,chr2,201140356,201141605,PAS,True,120,141
ENSG00000138433.15,chr2,174395550,174395715,TSS,True,34,181
ENSG00000138433.15,chr2,174378922,174378997,TSS,True,160,181
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,101,138
ENSG00000136718.9,chr2,130346205,130346274,TSS,True,73,136
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,50,242
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,142,319
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,219,319
ENSG00000119801.12,chr2,30147062,30156627,ES,False,196,237
ENSG00000005448.16,chr2,74421816,74422152,3AS,False,278,315
ENSG00000005448.16,chr2,74421816,74422152,IR,False,278,323
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,68,403
ENSG00000005448.16,chr2,74425569,74425760,PAS,True,41,403
ENSG00000119772.16,chr2,25240639,25241209,TSS,True,46,136
ENSG00000115234.10,chr2,27370482,27370806,TSS,True,29,227
ENSG00000135919.12,chr2,223991802,223991937,TSS,True,17,124
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,535,633
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,59,195
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,161,195
ENSG00000114956.19,chr2,73927052,73946718,ES,False,184,252
ENSG00000114956.19,chr2,73927052,73958145,ES,True,41,301
ENSG00000114956.19,chr2,73946906,73958145,ES,False,146,238
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,300,361
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,73,373
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,312,373
ENSG00000239779.6,chr2,74457828,74458671,TSS,True,63,421
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,71,202
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,28,209
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,28,108
ENSG00000084733.10,chr2,26033943,26034735,TSS,True,12,114
ENSG00000115091.11,chr2,113889952,113890323,TSS,True,52,246
ENSG00000115091.11,chr2,113933816,113934386,TSS,True,214,244
ENSG00000144120.12,chr2,119679163,119679276,TSS,True,76,106
ENSG00000144120.12,chr2,119679139,119679225,TSS,True,39,106
ENSG00000136682.14,chr2,113438022,113441350,ES,False,219,281
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,37,290
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,98,199
ENSG00000124380.10,chr2,69904425,69904511,IR,False,14,121
ENSG00000124380.10,chr2,69904253,69905927,PAS,True,27,133
ENSG00000124380.10,chr2,69904511,69904671,PAS,True,119,133
ENSG00000119888.10,chr2,47369142,47369581,TSS,False,206,254
ENSG00000119888.10,chr2,47373810,47374048,TSS,True,219,254
ENSG00000119888.10,chr2,47379469,47379969,TSS,True,194,254
ENSG00000119888.10,chr2,47377028,47377077,TSS,True,188,254
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,133,1156
ENSG00000115042.9,chr2,95402872,95405552,ES,False,71,104
ENSG00000115042.9,chr2,95402872,95406940,ES,True,16,119
ENSG00000115042.9,chr2,95402872,95410526,ES,True,27,146
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,132,282
ENSG00000115042.9,chr2,95402707,95405803,TSS,True,195,282
ENSG00000115317.11,chr2,74530014,74530821,TSS,True,93,117
ENSG00000115317.11,chr2,74529365,74530512,TSS,True,33,117
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,93,234
ENSG00000079785.14,chr2,15603189,15603275,TSS,True,164,223
ENSG00000168393.12,chr2,241678649,241685768,ES,False,81,144
ENSG00000115875.18,chr2,38745187,38746693,ES,False,257,1210
ENSG00000138036.18,chr2,43794643,43795889,3AS,False,73,123
ENSG00000138036.18,chr2,43774028,43774146,TSS,True,21,151
ENSG00000138036.18,chr2,43799600,43800917,TSS,True,125,144
ENSG00000138036.18,chr2,43809704,43810010,PAS,True,18,151
ENSG00000115414.18,chr2,215361968,215362079,TSS,True,94,140
ENSG00000143727.15,chr2,271939,275139,ME,False,86,540
ENSG00000143727.15,chr2,271939,272191,ES,False,86,159
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,86,121
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,107,234
ENSG00000198130.15,chr2,190204802,190205099,IR,False,55,351
ENSG00000198130.15,chr2,190205232,190212955,ES,False,58,359
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,97,398
ENSG00000198130.15,chr2,190200925,190204802,PAS,False,337,401
ENSG00000198130.15,chr2,190319715,190319862,TSS,True,176,402
ENSG00000198130.15,chr2,190294545,190294563,TSS,True,338,402
ENSG00000198130.15,chr2,190290404,190290487,TSS,False,311,402
ENSG00000138449.10,chr2,189580417,189580823,TSS,True,33,125
ENSG00000138449.10,chr2,189575160,189576539,TSS,True,107,119
ENSG00000136710.9,chr2,130342014,130342165,TSS,True,19,122
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,84,200
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,179,200
ENSG00000138398.15,chr2,169604985,169606146,TSS,True,171,200
ENSG00000138398.15,chr2,169636412,169641406,PAS,True,53,185
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,126,172
ENSG00000173692.12,chr2,231056606,231057041,TSS,True,37,196
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,128,186
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,123,196
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,152,186
PB_novel_212671,chr2,188034060,188039129,ES,True,163,231
ENSG00000168958.19,chr2,227340380,227355676,ES,False,128,214
ENSG00000143870.12,chr2,10812677,10812829,TSS,True,638,2858
ENSG00000135924.15,chr2,219279347,219279518,TSS,False,120,134
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,15,142
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,35,155
ENSG00000138382.14,chr2,169824640,169824781,IR,False,234,264
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,102,336
ENSG00000138382.14,chr2,169824640,169824867,IR,False,102,133
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,150,386
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,283,386
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,475,4617
ENSG00000077380.15,chr2,171707377,171715327,ES,False,92,106
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,86,139
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,70,139
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,33,137
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,103,122
ENSG00000116120.9,chr2,222566898,222572022,PAS,False,36,107
ENSG00000116120.9,chr2,222656015,222656102,TSS,False,63,107
ENSG00000116120.9,chr2,222599927,222599962,TSS,True,83,107
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,125,141
ENSG00000164754.14,chr8,116854244,116854948,TSS,True,89,141
ENSG00000170961.6,chr8,121612115,121615038,PAS,False,203,228
ENSG00000170961.6,chr8,121629121,121629340,PAS,True,101,226
ENSG00000170961.6,chr8,121640852,121641517,TSS,False,29,181
ENSG00000187840.4,chr8,38030502,38030718,TSS,False,40,189
ENSG00000187840.4,chr8,38059903,38060365,PAS,False,26,189
ENSG00000104267.9,chr8,85463446,85464115,TSS,True,76,166
ENSG00000070501.11,chr8,42338685,42344952,ES,False,74,222
ENSG00000156831.7,chr8,125091958,125102316,ES,False,40,110
ENSG00000156831.7,chr8,125091827,125091958,TSS,True,13,124
ENSG00000156831.7,chr8,125366767,125367508,PAS,True,26,122
ENSG00000156831.7,chr8,125182102,125184453,PAS,True,103,122
ENSG00000156795.7,chr8,123416856,123427923,5AS,False,55,137
ENSG00000156795.7,chr8,123416664,123416856,TSS,True,94,149
ENSG00000156795.7,chr8,123416722,123416932,TSS,True,65,149
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,52,414
ENSG00000104408.9,chr8,108248612,108248774,TSS,True,87,855
ENSG00000104341.16,chr8,97805351,97805464,TSS,True,292,559
ENSG00000078668.13,chr8,42391616,42391928,TSS,True,119,895
ENSG00000078668.13,chr8,42391918,42393884,TSS,True,798,895
ENSG00000160973.7,chr8,144475582,144475851,TSS,True,23,202
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,175,1062
ENSG00000147677.10,chr8,116658812,116662771,TSS,True,944,1057
ENSG00000120913.23,chr8,22589741,22593732,ES,False,44,179
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,38,191
ENSG00000169490.16,chr8,38995405,38996212,3AS,False,141,161
ENSG00000169490.16,chr8,38995405,38996418,5AS,False,26,167
ENSG00000169490.16,chr8,38996212,38996517,TSS,True,74,235
ENSG00000169490.16,chr8,38996418,38996519,TSS,True,183,235
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,477,3773
ENSG00000182307.13,chr8,145052437,145052497,TSS,False,85,124
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,46,168
ENSG00000104522.15,chr8,143614453,143614623,IR,False,173,193
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,82,226
ENSG00000104522.15,chr8,143616566,143618080,TSS,True,186,226
ENSG00000104522.15,chr8,143613523,143614274,TSS,True,198,225
ENSG00000153310.19,chr8,129871496,129903311,ES,False,47,173
ENSG00000153310.19,chr8,129903350,129939607,ES,False,66,130
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,65,197
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,176,197
ENSG00000153310.19,chr8,130016606,130016801,TSS,True,177,197
ENSG00000121022.13,chr8,67062024,67062105,IR,False,36,316
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,73,348
ENSG00000121022.13,chr8,67062105,67062347,TSS,True,306,348
ENSG00000179950.13,chr8,143818534,143821596,ES,False,98,159
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,23,135
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,41,186
ENSG00000147687.18,chr8,124516030,124518817,5AS,False,255,308
ENSG00000147687.18,chr8,124539024,124539097,TSS,True,64,358
ENSG00000170791.17,chr8,56211837,56214597,ES,False,94,146
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,105,148
PB_novel_20300,chr8,12436977,12437710,TSS,True,186,221
PB_novel_20300,chr8,12521373,12522846,TSS,True,139,193
PB_novel_20300,chr8,12565885,12568071,PAS,True,74,204
ENSG00000160932.10,chr8,143018586,143020882,ME,False,82,114
ENSG00000160932.10,chr8,143018586,143020882,ME,False,82,114
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,1866,7228
ENSG00000160932.10,chr8,143020377,143020887,3AS,False,100,181
ENSG00000164924.17,chr8,100918574,100920752,PAS,True,32,266
ENSG00000164924.17,chr8,100922404,100924298,PAS,True,237,264
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,136,335
ENSG00000164924.17,chr8,100952849,100953334,TSS,True,298,335
ENSG00000147419.17,chr8,27752587,27762418,ES,False,26,169
ENSG00000147419.17,chr8,27772512,27772648,TSS,True,24,195
ENSG00000147419.17,chr8,27748076,27748192,TSS,True,166,187
ENSG00000284606.1,chr8,8064505,8065816,TSS,False,20,124
ENSG00000284606.1,chr8,8071694,8072021,PAS,True,19,114
ENSG00000147416.10,chr8,20197363,20197542,TSS,True,22,133
ENSG00000129691.15,chr8,38105516,38105738,TSS,True,123,168
ENSG00000129691.15,chr8,38105528,38106139,TSS,True,77,168
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,191,937
ENSG00000164919.10,chr8,99887489,99887529,TSS,True,807,937
ENSG00000104529.17,chr8,143581328,143586728,ES,False,196,1033
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,142,990
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,187,1727
ENSG00000104679.10,chr8,23288081,23288157,TSS,True,19,153
ENSG00000120533.12,chr8,109334402,109336127,5AS,False,52,350
ENSG00000120533.12,chr8,109334320,109334474,TSS,True,82,378
ENSG00000120533.12,chr8,109333553,109334402,TSS,False,326,378
ENSG00000154582.16,chr8,73959818,73972076,ES,False,457,517
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,108,640
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,553,640
ENSG00000104435.13,chr8,79611097,79611214,TSS,True,21,199
ENSG00000175324.9,chr8,38163840,38171964,ES,False,17,140
ENSG00000175324.9,chr8,38176274,38176720,TSS,True,24,143
ENSG00000175324.9,chr8,38176552,38176734,TSS,True,126,143
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,52,145
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,84,131
ENSG00000104763.18,chr8,18083980,18084373,TSS,True,34,151
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,33,294
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,84,335
ENSG00000187735.13,chr8,53966554,53968112,PAS,True,34,317
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,197,325
