gene,chr,start,end,splice_type,novel,H1_ENCFF730QOA_in_cov,H1_ENCFF730QOA_total_cov
ENSG00000168385.17,chr2,241350129,241350203,TSS,False,408,685
ENSG00000115514.11,chr2,99318989,99319799,PAS,True,15,122
ENSG00000115514.11,chr2,99321533,99322209,PAS,True,107,121
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,108,124
ENSG00000115307.16,chr2,74528935,74529131,IR,False,98,121
ENSG00000128699.13,chr2,189782602,189784268,ES,False,107,124
ENSG00000128699.13,chr2,189783878,189784039,TSS,True,147,164
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,38,164
PB_novel_212489,chr2,67334150,67339333,ES,True,111,127
PB_novel_212489,chr2,67331769,67332062,TSS,True,40,352
PB_novel_212489,chr2,67339333,67339973,PAS,True,225,352
PB_novel_212489,chr2,67337515,67337976,PAS,True,160,323
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,164,241
ENSG00000076003.4,chr2,135846236,135846393,TSS,True,142,240
ENSG00000076003.4,chr2,135848052,135848073,TSS,True,187,240
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,53,198
ENSG00000115685.14,chr2,241153474,241153604,TSS,True,170,198
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,60,198
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,138,196
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,647,4164
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,3588,4164
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,107,119
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,17,139
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,1688,1930
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,358,1866
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,278,352
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,161,355
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,292,351
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,15,145
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,72,146
ENSG00000128708.12,chr2,171925535,171925641,TSS,True,76,146
ENSG00000115484.14,chr2,61888380,61888668,TSS,True,40,285
ENSG00000243147.7,chr2,27772692,27779432,ES,False,60,148
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,36,180
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,100,122
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,26,136
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,114,136
ENSG00000198522.13,chr2,27628657,27629169,TSS,True,36,126
ENSG00000198522.13,chr2,27642430,27642519,TSS,True,106,125
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,65,194
ENSG00000095002.14,chr2,47410111,47410372,TSS,True,161,192
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,45,176
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,140,165
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,42,401
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,30,101
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,74,101
ENSG00000144034.14,chr2,73732285,73734428,ES,False,116,131
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,28,108
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,114,137
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,26,137
ENSG00000035141.7,chr2,70301924,70302083,TSS,False,34,308
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,181,225
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,702,927
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,289,927
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,28,238
ENSG00000115539.13,chr2,100562916,100563073,TSS,False,32,110
ENSG00000115539.13,chr2,100566505,100566629,TSS,True,79,110
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,41,355
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,221,330
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,262,317
ENSG00000158417.10,chr2,99364270,99364327,PAS,True,213,330
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,61,163
ENSG00000170144.20,chr2,177216940,177219036,ES,False,37,211
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,210,311
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,250,311
ENSG00000170144.20,chr2,177216857,177216940,TSS,True,256,300
ENSG00000170144.20,chr2,177217743,177217845,TSS,True,258,299
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,30,299
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,15,112
ENSG00000177917.10,chr2,152759746,152761253,PAS,True,13,110
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,20,163
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,167,227
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,52,200
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,86,249
ENSG00000135972.8,chr2,105038053,105038227,TSS,False,199,486
ENSG00000135972.8,chr2,105097222,105097324,TSS,True,303,485
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,92,144
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,78,144
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,37,133
ENSG00000144366.15,chr2,188541180,188543224,PAS,True,104,131
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,23,149
ENSG00000144199.11,chr2,97094700,97094903,TSS,True,45,110
ENSG00000144199.11,chr2,97091461,97091634,TSS,True,77,110
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,856,1012
ENSG00000135916.15,chr2,230865145,230875619,ES,False,51,262
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,192,454
ENSG00000115540.14,chr2,197516146,197535529,ES,False,38,213
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,524,4665
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,4177,4665
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,100,154
ENSG00000136718.9,chr2,130346205,130346274,TSS,True,89,151
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,46,185
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,65,218
ENSG00000005448.16,chr2,74421816,74422152,IR,False,106,119
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,23,143
ENSG00000119772.16,chr2,25240639,25241209,TSS,True,36,109
ENSG00000115234.10,chr2,27370482,27370806,TSS,True,25,146
ENSG00000115234.10,chr2,27376325,27376387,TSS,True,130,146
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,180,251
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,38,102
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,81,102
ENSG00000114956.19,chr2,73927052,73946718,ES,False,223,276
ENSG00000114956.19,chr2,73946906,73958145,ES,False,154,258
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,108,164
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,62,170
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,114,170
ENSG00000239779.6,chr2,74457828,74458671,TSS,True,12,100
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,78,160
ENSG00000119812.18,chr2,33599168,33599346,TSS,True,98,142
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,50,174
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,59,131
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,72,126
ENSG00000115091.11,chr2,113889952,113890323,TSS,True,31,199
ENSG00000155438.11,chr2,121736745,121736967,TSS,True,14,139
ENSG00000144120.12,chr2,119679225,119680831,5AS,False,70,133
ENSG00000144120.12,chr2,119679163,119679276,TSS,True,90,135
ENSG00000144120.12,chr2,119679162,119679617,TSS,True,119,135
ENSG00000144120.12,chr2,119679139,119679225,TSS,True,65,135
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,29,172
ENSG00000136682.14,chr2,113443766,113444538,PAS,True,143,167
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,79,245
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,36,117
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,151,790
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,690,790
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,39,103
ENSG00000115042.9,chr2,95402707,95405803,TSS,True,83,103
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,67,185
ENSG00000115816.14,chr2,37228821,37229036,PAS,False,114,160
ENSG00000115816.14,chr2,37231411,37231618,TSS,False,27,186
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,65,253
ENSG00000079785.14,chr2,15603189,15603275,TSS,True,210,240
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,103,117
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,32,117
ENSG00000168393.12,chr2,241678649,241685768,ES,False,32,138
ENSG00000115875.18,chr2,38745187,38746693,ES,False,159,1031
ENSG00000115875.18,chr2,38749346,38749528,IR,False,39,100
ENSG00000143727.15,chr2,271939,275139,ME,False,104,419
ENSG00000143727.15,chr2,271939,272191,ES,False,105,145
ENSG00000198130.15,chr2,190204802,190205099,IR,False,21,170
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,30,181
ENSG00000198130.15,chr2,190200925,190204802,PAS,False,158,182
ENSG00000198130.15,chr2,190319715,190319862,TSS,True,64,182
ENSG00000198130.15,chr2,190294545,190294563,TSS,True,161,182
ENSG00000198130.15,chr2,190290404,190290487,TSS,False,148,182
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,70,150
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,123,150
ENSG00000138398.15,chr2,169604985,169606146,TSS,True,125,149
ENSG00000138398.15,chr2,169636412,169641406,PAS,True,37,143
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,104,134
ENSG00000173692.12,chr2,231056606,231057041,TSS,True,32,234
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,177,224
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,127,234
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,177,224
ENSG00000173692.12,chr2,231165870,231170653,PAS,False,199,224
PB_novel_212671,chr2,188034060,188035602,3AS,True,115,143
PB_novel_212671,chr2,188034060,188039129,ES,True,277,421
ENSG00000168958.19,chr2,227340380,227355676,ES,False,70,103
ENSG00000143870.12,chr2,10812677,10812829,TSS,True,219,980
ENSG00000163032.11,chr2,17540404,17540918,TSS,True,26,207
ENSG00000138382.14,chr2,169824640,169824781,IR,False,97,118
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,38,135
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,64,161
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,123,161
ENSG00000138382.14,chr2,169824488,169824919,TSS,True,140,161
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,784,5635
ENSG00000116120.9,chr2,222566898,222572022,PAS,False,38,156
ENSG00000116120.9,chr2,222656015,222656102,TSS,False,80,156
ENSG00000116120.9,chr2,222599927,222599962,TSS,True,113,154
ENSG00000187840.4,chr8,38030502,38030718,TSS,False,65,358
ENSG00000187840.4,chr8,38059903,38060365,PAS,False,39,358
ENSG00000245910.8,chr8,66922392,66925436,ES,False,53,411
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,28,188
ENSG00000120992.17,chr8,54101349,54102030,TSS,True,168,188
ENSG00000070501.11,chr8,42338685,42344952,ES,False,56,101
ENSG00000070501.11,chr8,42361365,42369270,ES,False,12,102
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,43,226
ENSG00000156467.9,chr8,96233155,96233228,TSS,True,193,226
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,59,114
ENSG00000104408.9,chr8,108248612,108248774,TSS,True,112,755
ENSG00000104408.9,chr8,108202982,108203102,TSS,True,661,743
ENSG00000104341.16,chr8,97775787,97776108,TSS,True,100,120
ENSG00000104341.16,chr8,97805351,97805464,TSS,True,80,120
ENSG00000078668.13,chr8,42391616,42391928,TSS,True,67,425
ENSG00000078668.13,chr8,42391918,42393884,TSS,True,376,425
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,80,654
ENSG00000120913.23,chr8,22589741,22593732,ES,False,40,116
ENSG00000147533.16,chr8,41506012,41507058,3AS,False,116,130
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,33,140
ENSG00000147533.16,chr8,41490582,41490965,TSS,True,123,140
ENSG00000169490.16,chr8,38995405,38996212,3AS,False,90,106
ENSG00000169490.16,chr8,38995405,38996418,5AS,False,15,105
ENSG00000169490.16,chr8,38996212,38996517,TSS,True,45,151
ENSG00000169490.16,chr8,38996418,38996519,TSS,True,114,151
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,492,2361
ENSG00000169139.11,chr8,48008406,48008470,TSS,False,33,318
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,37,137
ENSG00000104522.15,chr8,143616566,143618080,TSS,True,120,137
ENSG00000153310.19,chr8,129871496,129903311,ES,False,69,153
ENSG00000153310.19,chr8,129903350,129939607,ES,False,62,134
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,35,169
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,48,260
ENSG00000136982.5,chr8,119855613,119856068,TSS,True,22,102
ENSG00000179950.13,chr8,143818534,143821596,ES,False,96,163
ENSG00000179950.13,chr8,143821913,143829279,ES,False,16,148
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,24,132
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,40,188
ENSG00000147687.18,chr8,124516030,124518817,5AS,False,120,146
ENSG00000147687.18,chr8,124539024,124539097,TSS,True,41,174
ENSG00000147687.18,chr8,124504270,124504348,TSS,True,155,173
ENSG00000170791.17,chr8,56211837,56214597,ES,False,100,177
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,128,181
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,72,323
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,82,230
ENSG00000164924.17,chr8,100952849,100953334,TSS,True,206,230
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,205,815
ENSG00000164919.10,chr8,99887489,99887529,TSS,True,688,815
ENSG00000104529.17,chr8,143581328,143586728,ES,False,98,703
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,107,663
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,90,753
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,375,1898
ENSG00000156482.10,chr8,98045346,98045513,TSS,True,1597,1898
ENSG00000120533.12,chr8,109334402,109336127,5AS,False,70,328
ENSG00000120533.12,chr8,109334320,109334474,TSS,True,95,351
ENSG00000120533.12,chr8,109333553,109334402,TSS,False,281,351
ENSG00000254277.1,chr8,71675535,71702214,ES,True,138,167
ENSG00000254277.1,chr8,71702214,71704579,PAS,True,35,207
ENSG00000154582.16,chr8,73959818,73972076,ES,False,302,336
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,106,458
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,390,458
ENSG00000175324.9,chr8,38176274,38176720,TSS,True,18,104
ENSG00000254339.5,chr8,114282294,114284252,3AS,False,38,210
ENSG00000254339.5,chr8,114284514,114295465,5AS,False,69,158
ENSG00000254339.5,chr8,114287721,114290466,PAS,False,213,242
ENSG00000254339.5,chr8,114304413,114305940,PAS,True,199,243
ENSG00000254339.5,chr8,114295465,114298691,PAS,True,75,243
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,38,122
ENSG00000137575.11,chr8,58553179,58553303,TSS,True,14,136
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,166,330
ENSG00000187735.13,chr8,53999944,54000046,TSS,True,181,330
ENSG00000198791.11,chr8,17226029,17230848,PAS,True,13,117
ENSG00000198791.11,chr8,17246674,17246871,TSS,True,13,121
ENSG00000147586.9,chr8,80003180,80030035,5AS,True,77,126
ENSG00000147586.9,chr8,80003180,80030053,5AS,True,37,163
ENSG00000147586.9,chr8,80030020,80030272,TSS,True,145,197
ENSG00000147586.9,chr8,80030053,80030271,TSS,True,156,197
ENSG00000147586.9,chr8,80030035,80030279,TSS,True,111,197
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,255,1310
ENSG00000147604.13,chr8,73289968,73290705,PAS,True,28,149
ENSG00000147604.13,chr8,73293598,73293664,TSS,True,28,150
ENSG00000133872.13,chr8,30070059,30082846,ES,False,51,188
ENSG00000133872.13,chr8,30082846,30083106,TSS,True,29,218
ENSG00000147601.13,chr8,73027052,73032041,ES,False,749,1053
ENSG00000147601.13,chr8,73008806,73009205,TSS,True,195,1205
ENSG00000147601.13,chr8,73032041,73032136,PAS,True,635,1074
ENSG00000147601.13,chr8,73045960,73050611,PAS,True,469,1107
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,163,895
ENSG00000137776.16,chr15,58879023,58880107,PAS,True,57,102
ENSG00000137776.16,chr15,58933403,58934025,TSS,True,45,108
ENSG00000273173.5,chr15,24968794,24968829,PAS,False,84,111
ENSG00000273173.5,chr15,24962113,24964001,PAS,True,43,109
ENSG00000247556.6,chr15,41283958,41284110,TSS,True,28,120
ENSG00000247556.6,chr15,41298040,41301999,PAS,True,30,100
ENSG00000166794.4,chr15,64162851,64163122,TSS,True,323,893
ENSG00000140374.15,chr15,76311349,76311487,TSS,True,65,161
ENSG00000140374.15,chr15,76285636,76285664,TSS,True,112,161
ENSG00000140319.10,chr15,40038875,40038951,TSS,True,144,752
ENSG00000140319.10,chr15,40038281,40038394,TSS,True,637,752
ENSG00000174444.14,chr15,66504787,66504853,TSS,True,1069,4091
ENSG00000174444.14,chr15,66500055,66500163,TSS,True,3222,4036
ENSG00000167004.12,chr15,43746374,43746706,TSS,True,93,122
ENSG00000167004.12,chr15,43765892,43766012,TSS,True,106,121
ENSG00000167004.12,chr15,43766723,43766910,TSS,True,106,121
ENSG00000167004.12,chr15,43769520,43769646,TSS,True,99,121
ENSG00000140416.20,chr15,63060939,63062214,ME,False,61,318
ENSG00000140416.20,chr15,63042137,63042943,TSS,True,198,514
ENSG00000140416.20,chr15,63071089,63071915,PAS,True,109,349
ENSG00000140416.20,chr15,63065895,63066180,PAS,True,266,343
ENSG00000166797.10,chr15,64075537,64088686,ES,False,76,355
ENSG00000128463.12,chr15,34225002,34225200,TSS,True,36,285
ENSG00000104131.12,chr15,44537049,44537237,TSS,True,40,211
ENSG00000104131.12,chr15,44537322,44537427,TSS,True,179,211
ENSG00000104131.12,chr15,44561017,44562801,PAS,True,32,203
ENSG00000166477.12,chr15,51938024,51938260,PAS,True,17,101
ENSG00000166477.12,chr15,51971687,51972020,TSS,True,19,102
ENSG00000140259.6,chr15,43824490,43824733,TSS,False,21,126
ENSG00000140259.6,chr15,43814500,43814675,TSS,True,106,122
ENSG00000167196.13,chr15,75903854,75904103,TSS,True,31,181
ENSG00000137804.12,chr15,41349241,41351032,3AS,False,54,197
ENSG00000137804.12,chr15,41358258,41365404,3AS,False,85,195
ENSG00000137804.12,chr15,41371684,41377195,ES,False,25,197
ENSG00000137804.12,chr15,41332241,41333050,TSS,True,26,224
ENSG00000086666.18,chr15,80059809,80120327,ES,False,365,437
ENSG00000128739.22,chr15,24962209,24967931,ES,False,3089,3460
ENSG00000104112.8,chr15,51719407,51721026,PAS,True,25,105
ENSG00000117899.10,chr15,80989578,80989911,TSS,True,102,287
ENSG00000185787.14,chr15,78872781,78873057,TSS,True,498,1801
ENSG00000185787.14,chr15,78885747,78886227,TSS,True,1357,1800
ENSG00000140391.14,chr15,77070891,77071172,TSS,True,102,168
ENSG00000140391.14,chr15,77054177,77054274,TSS,True,91,167
ENSG00000092531.9,chr15,42495606,42495713,TSS,False,12,109
ENSG00000138629.15,chr15,74458896,74461036,5AS,True,98,121
ENSG00000138629.15,chr15,74458896,74461107,5AS,False,76,204
ENSG00000138629.15,chr15,74461036,74461177,TSS,False,134,240
ENSG00000138629.15,chr15,74461107,74461179,TSS,True,157,240
ENSG00000134153.9,chr15,34101603,34101912,TSS,True,12,117
ENSG00000140350.15,chr15,68820697,68820924,TSS,True,77,321
ENSG00000182768.8,chr15,90265876,90266287,IR,False,33,164
ENSG00000182768.8,chr15,90265669,90266398,TSS,True,38,168
ENSG00000182768.8,chr15,90265672,90265876,TSS,False,136,169
ENSG00000140365.15,chr15,75336008,75336092,TSS,False,52,238
ENSG00000140365.15,chr15,75338060,75338133,TSS,False,213,238
ENSG00000179010.14,chr4,6640708,6640827,IR,False,276,442
ENSG00000179010.14,chr4,6640655,6640708,TSS,False,193,469
ENSG00000179010.14,chr4,6640682,6641258,TSS,True,303,469
ENSG00000168214.20,chr4,26321048,26386352,ES,False,180,277
ENSG00000168214.20,chr4,26319847,26320815,TSS,True,332,399
ENSG00000168214.20,chr4,26320803,26321048,TSS,True,122,399
ENSG00000109390.11,chr4,139295731,139295834,TSS,False,43,191
ENSG00000109390.11,chr4,139302415,139302511,TSS,True,171,193
ENSG00000109180.14,chr4,48831060,48831249,TSS,True,62,208
ENSG00000128059.8,chr4,56435349,56436038,TSS,True,48,101
ENSG00000152795.17,chr4,82424883,82425562,IR,False,67,122
ENSG00000152795.17,chr4,82425667,82426036,IR,False,72,128
ENSG00000152795.17,chr4,82422746,82424883,PAS,True,142,991
ENSG00000152795.17,chr4,82429247,82430469,TSS,True,246,991
ENSG00000109519.12,chr4,7067970,7068113,TSS,True,41,167
ENSG00000109736.14,chr4,2930953,2931060,IR,False,87,107
ENSG00000109736.14,chr4,2929927,2930953,PAS,True,22,109
ENSG00000109736.14,chr4,2929923,2931150,PAS,False,89,109
ENSG00000109736.14,chr4,2933752,2934511,TSS,True,99,115
ENSG00000109736.14,chr4,2934768,2934880,TSS,True,29,115
ENSG00000249532.5,chr4,112646968,112648653,ES,True,98,213
ENSG00000249532.5,chr4,112646720,112646968,PAS,True,64,310
ENSG00000249532.5,chr4,112648653,112648700,TSS,True,97,310
ENSG00000138801.8,chr4,107720119,107720395,TSS,False,37,150
ENSG00000163682.16,chr4,39458890,39458946,TSS,True,246,948
ENSG00000163682.16,chr4,39458393,39458911,TSS,True,751,948
ENSG00000163956.11,chr4,3532208,3532446,TSS,True,56,127
ENSG00000164111.14,chr4,121696862,121697063,TSS,True,67,445
ENSG00000164111.14,chr4,121678414,121678920,TSS,True,383,437
ENSG00000197894.10,chr4,99088688,99088790,TSS,True,137,1279
PB_novel_213202,chr4,87922400,87924129,3AS,True,190,239
PB_novel_213202,chr4,87922400,87924258,3AS,True,52,291
PB_novel_213202,chr4,87922400,87924311,3AS,True,59,350
PB_novel_213202,chr4,87922400,87926696,ES,True,124,383
PB_novel_213202,chr4,87922400,87931374,ES,True,225,396
PB_novel_213202,chr4,87924394,87926723,3AS,True,30,293
