gene,chr,start,end,splice_type,novel,chondrocyte_ENCFF439BVT_in_cov,chondrocyte_ENCFF439BVT_total_cov
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,32,111
ENSG00000138031.14,chr2,24919682,24920614,TSS,False,21,111
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,37,103
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,79,103
ENSG00000115461.4,chr2,216694438,216695549,TSS,True,207,294
ENSG00000196141.13,chr2,200419496,200440648,ES,False,265,555
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,501,585
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,121,585
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,43,108
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,84,108
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,96,108
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,29,139
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,118,139
ENSG00000138385.15,chr2,169798800,169798976,TSS,True,18,142
ENSG00000115963.13,chr2,150487455,150487548,IR,False,105,292
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,116,301
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,195,301
ENSG00000172965.15,chr2,111429313,111429620,PAS,True,52,103
ENSG00000172965.15,chr2,111195862,111197194,PAS,True,97,110
ENSG00000172965.15,chr2,111203189,111208661,PAS,True,80,110
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,1124,2839
ENSG00000168906.12,chr2,85543034,85543669,IR,True,81,107
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,28,107
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,89,107
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,58,149
ENSG00000065911.11,chr2,74198742,74205704,ES,True,440,538
ENSG00000176720.5,chr2,241572853,241572893,IR,True,59,139
ENSG00000176720.5,chr2,241573015,241573055,IR,True,60,114
ENSG00000176720.5,chr2,241573176,241573256,IR,True,22,114
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,30,147
ENSG00000176720.5,chr2,241559005,241559703,TSS,True,130,147
ENSG00000176720.5,chr2,241573176,241574136,PAS,True,127,147
ENSG00000176720.5,chr2,241573095,241574138,PAS,True,121,147
ENSG00000176720.5,chr2,241573256,241574134,PAS,True,125,147
ENSG00000176720.5,chr2,241573055,241574136,PAS,True,86,147
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,65,487
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,12,101
ENSG00000169604.19,chr2,69013029,69013651,TSS,True,25,156
ENSG00000169604.19,chr2,69145325,69146411,PAS,False,64,134
ENSG00000169604.19,chr2,69112079,69114183,PAS,True,117,133
ENSG00000077232.17,chr2,182732542,182740298,ES,False,42,263
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,45,211
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,267,453
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,270,453
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,404,453
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,156,1483
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,302,550
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,395,550
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,112,443
ENSG00000135931.17,chr2,231371512,231376850,PAS,True,474,543
ENSG00000198925.11,chr2,219228053,219229534,ES,False,17,105
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,63,177
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,137,177
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,106,311
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,231,314
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,1339,1901
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,936,1901
ENSG00000115307.16,chr2,74528935,74529131,IR,False,121,146
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,26,177
ENSG00000115307.16,chr2,74527735,74529084,TSS,True,159,177
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,58,106
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,60,106
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,27,150
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,260,531
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,296,531
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,25,115
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,13,126
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,79,114
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,41,114
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,22,110
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,18,134
ENSG00000172985.10,chr2,109436652,109437146,TSS,True,95,120
ENSG00000172985.10,chr2,109128234,109130113,TSS,False,82,121
ENSG00000172985.10,chr2,109128263,109130114,TSS,True,99,121
ENSG00000189292.15,chr2,280149,283110,3AS,False,102,202
ENSG00000189292.15,chr2,278291,280149,PAS,True,112,215
ENSG00000189292.15,chr2,278285,280152,PAS,True,114,215
ENSG00000189292.15,chr2,288552,289017,TSS,False,64,257
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,40,106
ENSG00000184182.18,chr2,238030553,238030613,TSS,True,72,106
ENSG00000243147.7,chr2,27772692,27779432,ES,False,89,133
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,27,151
ENSG00000003436.15,chr2,187503770,187554199,ES,False,132,185
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,20,197
ENSG00000144057.15,chr2,106886730,106887100,TSS,True,102,115
ENSG00000144057.15,chr2,106886092,106886652,TSS,False,99,115
ENSG00000128641.18,chr2,191400468,191402631,ES,False,90,115
ENSG00000128641.18,chr2,191400468,191408114,ES,False,136,261
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,37,265
ENSG00000115380.19,chr2,55922447,55923710,ES,False,94,118
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,198,230
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,40,230
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,121,1162
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,28,269
ENSG00000123983.13,chr2,222887888,222908732,ES,False,137,253
ENSG00000136699.19,chr2,130157396,130164373,ES,False,15,108
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,25,127
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,73,151
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,69,107
ENSG00000115365.11,chr2,210476315,210476732,TSS,True,94,107
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,66,107
ENSG00000135631.16,chr2,73112346,73112979,TSS,True,33,122
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,180,224
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,21,201
ENSG00000115084.13,chr2,113715195,113719153,ES,True,26,161
ENSG00000115107.19,chr2,119223888,119245488,ES,False,155,212
ENSG00000115107.19,chr2,119223632,119223888,TSS,True,28,240
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,30,182
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,50,421
ENSG00000136717.14,chr2,127050912,127057472,ES,True,32,119
ENSG00000136717.14,chr2,127050912,127059010,ES,False,23,177
ENSG00000136717.14,chr2,127051243,127059010,ES,False,36,125
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,16,140
ENSG00000065548.17,chr2,186486216,186486457,TSS,True,18,124
ENSG00000068912.13,chr2,53801842,53809213,ES,False,58,266
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,52,492
ENSG00000163359.15,chr2,237334625,237334820,TSS,False,75,229
ENSG00000135636.13,chr2,71539239,71551040,ES,False,90,103
ENSG00000135636.13,chr2,71613410,71643964,ES,False,75,136
ENSG00000135636.13,chr2,71453515,71454086,TSS,False,88,148
ENSG00000135636.13,chr2,71466363,71466933,TSS,False,116,148
ENSG00000034510.5,chr2,84905651,84905718,TSS,False,2381,5381
ENSG00000034510.5,chr2,84905817,84906117,TSS,True,3044,5381
ENSG00000130147.15,chr2,234951969,234952170,TSS,True,32,110
ENSG00000130147.15,chr2,235041267,235043247,TSS,True,83,110
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,102,137
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,109,137
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,118,576
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,468,576
ENSG00000119801.12,chr2,30147062,30156627,ES,False,116,137
ENSG00000115525.17,chr2,85888823,85889143,TSS,True,71,129
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,95,107
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,100,125
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,26,126
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,101,126
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,27,135
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,85,220
ENSG00000136536.14,chr2,159762993,159767283,ES,False,37,232
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,101,237
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,144,237
ENSG00000115306.15,chr2,54456274,54456518,TSS,True,160,203
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,177,201
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,23,195
ENSG00000186522.14,chr2,109544324,109546049,IR,True,122,138
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,19,142
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,124,140
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,385,466
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,113,466
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,36,178
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,146,178
ENSG00000049323.15,chr2,33252844,33257442,3AS,False,90,155
ENSG00000049323.15,chr2,33134499,33134960,TSS,True,52,182
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,18,163
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,146,163
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,124,511
ENSG00000144567.10,chr2,219178219,219178633,TSS,True,167,233
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,40,120
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,85,147
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,68,147
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,15,112
ENSG00000115318.11,chr2,74536471,74550184,ES,False,18,133
ENSG00000115318.11,chr2,74553875,74554024,TSS,True,45,143
ENSG00000115318.11,chr2,74552321,74554012,TSS,True,111,143
ENSG00000071051.13,chr2,105855289,105892981,ES,False,20,170
ENSG00000115414.18,chr2,215372015,215372108,IR,False,18417,24933
ENSG00000115414.18,chr2,215372015,215373321,ES,False,4715,23051
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,4715,11230
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,3460,24858
ENSG00000115414.18,chr2,215379317,215382211,ES,False,15467,28733
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,22750,30547
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,14154,30843
ENSG00000143727.15,chr2,271939,275139,ME,False,56,128
ENSG00000130508.10,chr2,1684151,1691927,ES,False,122,479
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,629,775
ENSG00000130508.10,chr2,1744255,1744568,TSS,True,301,778
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,53,422
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,373,420
ENSG00000169756.16,chr2,108534375,108534594,TSS,True,47,116
ENSG00000169756.16,chr2,108654963,108655256,TSS,True,102,116
ENSG00000115902.10,chr2,64989358,64990170,TSS,False,46,386
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,82,752
ENSG00000114999.7,chr2,112520425,112528680,ES,True,87,101
ENSG00000114999.7,chr2,112482067,112482501,TSS,True,119,228
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,52,241
ENSG00000119013.8,chr2,201071991,201072059,TSS,True,96,156
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,68,400
ENSG00000153250.19,chr2,160281364,160284774,ES,False,95,138
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,63,138
ENSG00000153250.19,chr2,160367388,160407463,3AS,True,13,110
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,132,147
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,37,147
ENSG00000115170.13,chr2,157818559,157875795,ES,False,132,154
ENSG00000115170.13,chr2,157875795,157876342,TSS,True,26,187
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,58,362
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,316,362
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,133,308
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,187,308
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,46,305
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,267,300
ENSG00000179526.16,chr8,144099205,144099276,IR,True,115,129
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,27,171
ENSG00000154359.12,chr8,12754699,12755615,TSS,False,16,100
ENSG00000071894.16,chr8,144409288,144410022,TSS,False,93,139
ENSG00000071894.16,chr8,144409014,144409325,TSS,True,97,139
ENSG00000156675.15,chr8,37899070,37899513,TSS,True,47,101
ENSG00000156675.15,chr8,37871277,37872894,TSS,True,72,101
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,29,139
ENSG00000155096.13,chr8,102843747,102858012,ES,False,121,175
ENSG00000164687.10,chr8,81280532,81280674,TSS,False,72,134
ENSG00000164687.10,chr8,81283927,81283974,TSS,True,65,134
ENSG00000120896.13,chr8,22565287,22565872,TSS,True,118,169
ENSG00000120896.13,chr8,22551319,22552022,TSS,True,141,169
ENSG00000019549.11,chr8,48921186,48921431,TSS,True,19,133
ENSG00000104341.16,chr8,97775787,97776108,TSS,True,40,194
ENSG00000104723.20,chr8,15748465,15764202,ES,False,99,137
ENSG00000104723.20,chr8,15540210,15540568,TSS,True,27,152
ENSG00000104723.20,chr8,15743554,15743612,TSS,True,126,149
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,105,171
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,126,169
ENSG00000187954.12,chr8,144462282,144462876,TSS,True,20,116
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,154,175
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,13,101
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,50,314
ENSG00000198363.17,chr8,61643433,61644599,ES,False,40,315
ENSG00000198363.17,chr8,61644632,61651049,ES,False,62,314
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,192,329
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,145,322
ENSG00000120913.23,chr8,22579087,22579527,TSS,True,68,234
ENSG00000120913.23,chr8,22586570,22589374,TSS,True,192,234
ENSG00000158941.16,chr8,22604637,22604842,TSS,True,37,115
ENSG00000158941.16,chr8,22604897,22605418,TSS,False,94,115
ENSG00000169398.19,chr8,140864399,140890542,ES,False,29,142
ENSG00000169398.19,chr8,140890769,141001124,ES,False,52,116
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,155,272
ENSG00000169398.19,chr8,140718316,140718672,TSS,True,161,270
ENSG00000197217.12,chr8,23434478,23435391,3AS,False,87,108
ENSG00000197217.12,chr8,23457556,23457718,TSS,True,14,121
ENSG00000168487.18,chr8,22197420,22201802,3AS,False,284,338
ENSG00000168487.18,chr8,22164896,22165553,TSS,True,176,1096
ENSG00000168487.18,chr8,22201117,22201482,PAS,True,348,1049
ENSG00000168487.18,chr8,22211593,22212326,PAS,True,707,1069
ENSG00000134013.15,chr8,23403953,23404194,TSS,True,206,2036
ENSG00000147649.9,chr8,97691188,97706625,ES,False,35,332
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,82,473
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,29,205
ENSG00000182307.13,chr8,145052497,145052585,IR,False,65,104
ENSG00000182307.13,chr8,145052437,145052497,TSS,False,43,108
ENSG00000182307.13,chr8,145052464,145052897,TSS,True,68,108
ENSG00000104522.15,chr8,143614453,143614623,IR,False,97,119
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,24,127
ENSG00000077782.20,chr8,38418373,38419538,5AS,False,27,216
ENSG00000077782.20,chr8,38428093,38428351,5AS,False,134,199
ENSG00000077782.20,chr8,38428435,38457355,ES,False,163,198
ENSG00000077782.20,chr8,38467980,38468832,TSS,True,58,249
ENSG00000178209.15,chr8,143922503,143923873,TSS,True,358,398
ENSG00000179950.13,chr8,143818534,143821596,ES,False,156,345
ENSG00000179950.13,chr8,143821913,143829279,ES,False,40,316
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,39,276
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,54,368
ENSG00000182197.11,chr8,117799897,117804721,IR,True,14,120
ENSG00000182197.11,chr8,117804893,117807216,IR,True,14,120
ENSG00000182197.11,chr8,117807377,117812871,IR,True,14,120
ENSG00000182197.11,chr8,117812961,117818434,IR,True,13,119
ENSG00000182197.11,chr8,117818530,117819675,IR,True,13,119
ENSG00000182197.11,chr8,117819794,117822464,IR,True,13,119
ENSG00000182197.11,chr8,117822597,117830229,IR,True,13,119
ENSG00000182197.11,chr8,117830349,117835443,IR,True,12,118
ENSG00000182197.11,chr8,117835551,117837107,IR,True,12,118
ENSG00000182197.11,chr8,117799362,117799897,PAS,True,106,120
ENSG00000182197.11,chr8,117799363,117837202,PAS,True,16,118
ENSG00000182197.11,chr8,118110081,118111916,TSS,True,22,123
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,101,502
ENSG00000156466.9,chr8,96160286,96160799,TSS,True,39,152
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,25,224
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,26,239
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,34,273
ENSG00000164741.14,chr8,13099346,13100566,TSS,True,157,185
ENSG00000164741.14,chr8,13132943,13133293,TSS,True,93,185
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,44,292
ENSG00000048392.11,chr8,102238826,102239059,TSS,True,22,110
ENSG00000048392.11,chr8,102238558,102238961,TSS,False,96,110
ENSG00000137573.13,chr8,69466621,69466950,TSS,True,58,100
ENSG00000137573.13,chr8,69492784,69493125,TSS,True,70,100
ENSG00000154582.16,chr8,73959818,73972076,ES,False,95,110
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,22,135
ENSG00000155090.14,chr8,102651148,102651539,TSS,True,138,161
ENSG00000155090.14,chr8,102655565,102655727,TSS,False,31,161
ENSG00000168575.9,chr8,42541537,42541937,TSS,True,81,160
ENSG00000168575.9,chr8,42439449,42439583,TSS,True,137,159
ENSG00000168575.9,chr8,42501030,42501263,TSS,True,125,159
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,27,236
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,207,234
ENSG00000179632.9,chr8,144106464,144106554,IR,False,193,229
ENSG00000164949.7,chr8,94260512,94262204,5AS,False,77,148
ENSG00000164949.7,chr8,94262204,94262338,TSS,True,80,157
ENSG00000164949.7,chr8,94262089,94262319,TSS,True,86,157
ENSG00000120889.12,chr8,23028441,23028528,IR,False,96,199
ENSG00000120889.12,chr8,23068750,23069112,TSS,True,23,220
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,113,406
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,61,576
ENSG00000213563.6,chr8,144526639,144526959,IR,False,29,109
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,80,109
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,29,106
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,75,590
ENSG00000147650.11,chr8,104509074,104588818,ES,False,17,111
ENSG00000185803.9,chr8,144358554,144359065,TSS,True,75,264
ENSG00000179091.4,chr8,144095228,144095832,IR,False,229,259
ENSG00000179091.4,chr8,144095054,144095228,TSS,False,36,272
ENSG00000179091.4,chr8,144095055,144096029,TSS,True,243,272
ENSG00000137776.16,chr15,58899883,58901259,3AS,False,24,101
ENSG00000137776.16,chr15,58933403,58934025,TSS,True,13,120
ENSG00000041357.15,chr15,78540409,78540539,TSS,True,15,134
ENSG00000068305.17,chr15,99566104,99632977,ES,False,32,163
ENSG00000068305.17,chr15,99645764,99674392,ME,False,61,272
ENSG00000068305.17,chr15,99565296,99565669,TSS,False,263,303
ENSG00000068305.17,chr15,99565428,99566104,TSS,True,140,303
ENSG00000068305.17,chr15,99566430,99566599,TSS,False,239,303
ENSG00000128989.10,chr15,52568847,52569144,TSS,True,56,118
ENSG00000128989.10,chr15,52569115,52569167,TSS,True,78,118
ENSG00000166147.13,chr15,48645574,48645758,TSS,True,298,473
ENSG00000069966.18,chr15,52179767,52180007,TSS,True,11,101
ENSG00000103647.12,chr15,68512963,68645159,ES,True,15,137
ENSG00000103647.12,chr15,68511945,68512963,TSS,True,50,188
ENSG00000173546.7,chr15,75687275,75689266,TSS,True,295,336
ENSG00000173546.7,chr15,75712667,75712891,TSS,False,278,338
ENSG00000128951.13,chr15,48331399,48332406,TSS,False,89,110
ENSG00000128951.13,chr15,48331409,48331795,TSS,True,36,110
ENSG00000103855.17,chr15,73684201,73684460,TSS,True,84,372
ENSG00000260916.7,chr15,55354628,55356409,PAS,True,384,516
ENSG00000260916.7,chr15,55355238,55360944,PAS,True,134,496
ENSG00000260916.7,chr15,55408220,55408470,TSS,True,105,516
ENSG00000260916.7,chr15,55407846,55408373,TSS,False,440,516
ENSG00000140553.17,chr15,90935330,90935543,5AS,False,101,165
ENSG00000140553.17,chr15,90935216,90935330,TSS,True,86,187
ENSG00000140553.17,chr15,90935268,90935375,TSS,True,123,187
ENSG00000137809.16,chr15,68432014,68432203,TSS,False,356,2069
ENSG00000140157.14,chr15,22838921,22851638,ES,False,69,137
ENSG00000140157.14,chr15,22838582,22838947,TSS,True,148,170
ENSG00000140157.14,chr15,22838643,22838921,TSS,True,32,170
ENSG00000182718.16,chr15,60386086,60397942,ME,False,158,179
ENSG00000182718.16,chr15,60386086,60397942,ME,False,158,179
ENSG00000182718.16,chr15,60386086,60397942,ME,False,152,179
ENSG00000136378.14,chr15,78767378,78767590,TSS,True,153,181
ENSG00000136378.14,chr15,78811120,78811522,TSS,True,111,189
ENSG00000136378.14,chr15,78771161,78771248,TSS,True,150,181
ENSG00000272888.6,chr15,92882676,92883186,TSS,True,113,153
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,19,115
ENSG00000140416.20,chr15,63042943,63043705,IR,False,330,491
ENSG00000140416.20,chr15,63042943,63056984,ME,False,2416,2718
ENSG00000140416.20,chr15,63043831,63044026,IR,False,16,146
ENSG00000140416.20,chr15,63043831,63056984,5AS,False,345,474
ENSG00000140416.20,chr15,63060939,63062214,ME,False,869,2866
ENSG00000166173.10,chr15,70831571,70833116,PAS,True,45,273
ENSG00000166173.10,chr15,70851430,70851720,PAS,False,232,273
ENSG00000166173.10,chr15,70853888,70854159,TSS,True,30,297
ENSG00000140367.11,chr15,75854487,75868950,ES,False,20,120
ENSG00000140575.12,chr15,90388211,90388396,TSS,True,34,189
ENSG00000273749.4,chr15,22980286,22980440,TSS,True,32,256
ENSG00000140564.11,chr15,90871538,90871605,TSS,False,46,109
ENSG00000128928.8,chr15,40405758,40405971,TSS,False,12,100
ENSG00000028528.14,chr15,64095898,64096172,TSS,True,19,151
ENSG00000103888.16,chr15,80779367,80779614,TSS,True,60,155
ENSG00000137845.14,chr15,58640960,58646054,ES,True,13,108
ENSG00000137845.14,chr15,58749479,58749821,TSS,True,12,114
ENSG00000086666.18,chr15,80059654,80059809,TSS,True,62,156
ENSG00000086666.18,chr15,80072548,80072647,TSS,True,129,156
ENSG00000276550.4,chr15,22587391,22589942,3AS,True,78,114
ENSG00000276550.4,chr15,22494656,22494955,TSS,True,53,138
ENSG00000276550.4,chr15,22589942,22590888,PAS,False,37,116
ENSG00000276550.4,chr15,22589679,22590831,PAS,True,83,116
