gene,chr,start,end,splice_type,novel,lower_lobe_of_right_lung_ENCFF767KXS_in_cov,lower_lobe_of_right_lung_ENCFF767KXS_total_cov
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,57,226
ENSG00000157601.13,chr21,41458527,41459214,PAS,True,29,223
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,69,421
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,30,154
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,130,147
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,21,124
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,77,147
ENSG00000157557.11,chr21,38822673,38824955,PAS,False,18,123
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,189,688
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,123,142
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,39,142
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,159,182
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,22,172
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,439,671
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,538,669
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,584,668
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,225,671
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,466,610
ENSG00000205581.10,chr21,39345274,39348291,ES,False,174,197
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,27,242
ENSG00000160255.17,chr21,44894970,44895028,TSS,True,663,747
ENSG00000160255.17,chr21,44920820,44920972,TSS,True,496,749
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,27,205
ENSG00000160285.14,chr21,46188445,46191235,PAS,True,18,131
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,123,158
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,104,157
ENSG00000115561.15,chr2,86503429,86505949,PAS,True,20,176
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,20,191
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,53,132
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,85,131
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,47,309
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,65,309
ENSG00000082898.16,chr2,61477631,61478966,PAS,True,13,110
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,15,113
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,263,1341
ENSG00000187514.16,chr2,231711414,231711983,TSS,True,1182,1341
ENSG00000019169.10,chr2,118942160,118942397,TSS,True,287,923
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,55,245
ENSG00000071967.11,chr2,171522249,171522738,TSS,True,44,208
ENSG00000115109.13,chr2,120013027,120013210,TSS,True,13,123
ENSG00000115109.13,chr2,120104059,120108570,PAS,True,20,116
ENSG00000124839.12,chr2,237575386,237576564,TSS,True,96,107
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,33,110
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,13,109
ENSG00000115233.11,chr2,161411301,161411718,PAS,True,15,109
ENSG00000168874.12,chr2,85753811,85754957,TSS,True,46,127
ENSG00000134326.11,chr2,6865021,6866087,TSS,True,20,154
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,27,115
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,83,107
ENSG00000144029.11,chr2,95121733,95122014,TSS,True,12,115
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,73,239
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,40,332
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,23,135
ENSG00000115355.16,chr2,55419016,55419995,TSS,True,28,110
ENSG00000138073.13,chr2,27133337,27133531,IR,False,92,110
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,24,126
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,190,219
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,34,224
ENSG00000115648.13,chr2,237518648,237525600,ES,False,52,372
ENSG00000115648.13,chr2,237527516,237540347,ES,False,317,388
ENSG00000115648.13,chr2,237540533,237542566,ES,False,47,400
ENSG00000115648.13,chr2,237542659,237546605,3AS,True,350,399
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,194,465
ENSG00000115648.13,chr2,237510453,237510795,TSS,True,404,453
ENSG00000196141.13,chr2,200419496,200440648,ES,False,90,108
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,152,194
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,70,194
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,69,185
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,107,172
ENSG00000198399.14,chr2,24202853,24203783,PAS,True,83,111
ENSG00000198399.14,chr2,24360303,24360807,TSS,True,47,114
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,196,505
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,453,504
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,32,100
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,204,277
ENSG00000115756.12,chr2,10396920,10408561,3AS,True,142,173
ENSG00000115756.12,chr2,10396920,10419733,ES,False,460,643
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,33,123
ENSG00000065911.11,chr2,74198742,74207703,ES,False,12,101
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,123,174
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,144,167
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,35,167
ENSG00000136732.15,chr2,126655856,126656312,TSS,True,57,147
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,111,524
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,129,419
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,108,347
ENSG00000124831.18,chr2,237753308,237755960,PAS,True,310,347
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,358,415
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,19,102
ENSG00000115204.14,chr2,27322447,27322570,TSS,True,91,102
ENSG00000173209.23,chr2,61185618,61186445,IR,False,60,103
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,15,112
ENSG00000115694.14,chr2,241499414,241500172,IR,False,133,164
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,19,105
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,194,243
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,148,243
ENSG00000168385.17,chr2,241315982,241324215,ES,False,407,459
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,90,560
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,89,493
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,318,375
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,385,514
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,333,514
ENSG00000115307.16,chr2,74528935,74529131,IR,False,257,318
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,100,423
ENSG00000116016.13,chr2,46297278,46297937,TSS,True,394,451
ENSG00000116016.13,chr2,46380334,46380717,TSS,True,331,410
ENSG00000116016.13,chr2,46384508,46386697,PAS,False,51,251
ENSG00000116016.13,chr2,46380226,46380579,PAS,True,89,114
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,88,147
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,80,148
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,21,102
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,176,442
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,33,134
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,192,449
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,343,449
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,380,447
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,30,118
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,105,118
ENSG00000068724.15,chr2,46941070,46941725,TSS,True,54,120
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,46,124
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,49,158
ENSG00000114978.17,chr2,74159090,74159138,TSS,True,131,155
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,50,201
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,165,196
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,28,178
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,14,126
ENSG00000115221.11,chr2,160200002,160200323,TSS,True,53,107
ENSG00000243147.7,chr2,27772692,27779432,ES,False,53,114
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,54,171
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,29,110
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,89,117
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,44,134
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,43,301
ENSG00000003436.15,chr2,187503770,187554199,ES,False,160,249
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,37,294
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,47,305
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,42,116
ENSG00000128641.18,chr2,191423836,191425734,PAS,True,16,111
ENSG00000115380.19,chr2,55922447,55923710,ES,False,228,360
ENSG00000115380.19,chr2,55923710,55923931,TSS,True,49,411
ENSG00000118640.10,chr2,85577531,85577649,TSS,True,21,191
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,28,179
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,13,104
ENSG00000067066.16,chr2,230416328,230442936,ES,False,29,207
ENSG00000067066.16,chr2,230470098,230473383,3AS,False,47,105
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,112,222
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,174,224
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,58,118
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,102,117
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,32,195
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,129,980
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,95,115
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,11,106
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,49,180
ENSG00000171303.6,chr2,26692726,26693158,TSS,True,60,171
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,39,218
ENSG00000115524.15,chr2,197418588,197420427,IR,True,109,122
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,38,154
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,107,143
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,34,156
ENSG00000180228.12,chr2,178431412,178432254,PAS,True,11,104
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,11,104
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,11,100
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,45,164
ENSG00000018280.16,chr2,218386741,218387159,IR,False,160,182
ENSG00000018280.16,chr2,218382004,218382375,TSS,True,278,441
ENSG00000018280.16,chr2,218394924,218396901,PAS,True,127,300
ENSG00000018280.16,chr2,218387799,218388991,PAS,True,174,199
ENSG00000018280.16,chr2,218388648,218388992,PAS,True,221,251
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,66,430
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,371,428
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,35,114
ENSG00000068912.13,chr2,53801842,53809213,ES,False,37,161
ENSG00000068912.13,chr2,53786426,53787372,TSS,True,20,196
ENSG00000068912.13,chr2,53817897,53818849,PAS,True,20,185
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,105,192
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,142,196
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,156,192
ENSG00000115457.9,chr2,216633400,216633965,TSS,True,18,150
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,18,124
ENSG00000135929.8,chr2,218781732,218782437,TSS,True,221,831
ENSG00000115446.11,chr2,98608557,98608726,TSS,False,13,102
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,140,698
ENSG00000163359.15,chr2,237324016,237324814,PAS,True,20,107
ENSG00000163359.15,chr2,237413952,237414379,TSS,True,95,107
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,143,186
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,151,186
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,98,125
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,86,132
ENSG00000151694.13,chr2,9488455,9490518,PAS,True,27,112
ENSG00000151694.13,chr2,9555508,9556317,TSS,True,42,117
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,66,130
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,96,130
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,107,130
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,74,277
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,217,277
ENSG00000119801.12,chr2,30147062,30156627,ES,False,121,140
ENSG00000196872.11,chr2,98793844,98794671,PAS,False,24,102
ENSG00000196872.11,chr2,98793844,98794674,PAS,True,86,102
ENSG00000115525.17,chr2,85837843,85840392,PAS,True,14,110
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,37,116
ENSG00000175084.11,chr2,219418137,219419040,TSS,False,27,168
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,117,157
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,55,172
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,132,172
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,32,114
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,40,102
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,69,102
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,169,205
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,106,280
ENSG00000115091.11,chr2,113889952,113890323,TSS,True,23,228
ENSG00000186522.14,chr2,109544324,109546049,IR,True,96,107
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,23,119
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,292,360
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,83,360
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,172,327
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,49,330
ENSG00000079308.18,chr2,217799788,217804603,PAS,True,58,397
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,414,717
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,55,200
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,158,200
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,28,122
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,104,122
ENSG00000144063.3,chr2,110115687,110115852,TSS,True,45,238
ENSG00000115602.16,chr2,102336904,102337337,TSS,True,19,161
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,343,648
ENSG00000144567.10,chr2,219178219,219178633,TSS,True,65,119
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,19,110
ENSG00000079785.14,chr2,15597374,15597447,PAS,True,89,102
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,180,752
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,666,752
ENSG00000064989.12,chr2,187385631,187387665,ES,False,38,241
ENSG00000064989.12,chr2,187387756,187448038,ES,False,106,236
ENSG00000064989.12,chr2,187448038,187448300,TSS,True,31,275
ENSG00000144579.7,chr2,218400004,218400157,TSS,True,165,190
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,39,163
ENSG00000115414.18,chr2,215372015,215372108,IR,False,200,253
ENSG00000115414.18,chr2,215372015,215373321,ES,False,99,294
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,99,152
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,85,248
ENSG00000115414.18,chr2,215379317,215382211,ES,False,183,275
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,188,597
ENSG00000115414.18,chr2,215412760,215414958,PAS,True,248,288
ENSG00000115414.18,chr2,215393672,215394719,PAS,True,350,394
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,392,444
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,355,610
ENSG00000143727.15,chr2,271939,275139,ME,False,28,134
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,204,309
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,49,176
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,143,175
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,46,179
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,117,1148
ENSG00000119820.10,chr2,32277873,32278234,TSS,True,17,108
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,17,108
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,86,262
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,31,233
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,29,117
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,105,123
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,103,116
ENSG00000168878.16,chr2,85658855,85661453,3AS,False,4191,8633
ENSG00000168878.16,chr2,85658859,85661453,IR,True,203,234
ENSG00000168878.16,chr2,85659603,85661453,IR,True,111,137
ENSG00000168878.16,chr2,85661050,85661453,IR,True,15,119
ENSG00000168878.16,chr2,85663479,85663663,3AS,False,2918,12031
ENSG00000168878.16,chr2,85657681,85659682,PAS,True,6022,17159
ENSG00000168878.16,chr2,85657677,85658855,PAS,True,13837,18031
ENSG00000168878.16,chr2,85668116,85668418,TSS,True,9222,18650
ENSG00000168878.16,chr2,85662028,85662081,TSS,True,15096,18515
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,112,153
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,78,157
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,94,138
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,33,199
ENSG00000138061.11,chr2,38074345,38075284,TSS,True,179,199
ENSG00000115594.11,chr2,102142675,102143020,TSS,False,79,162
ENSG00000115594.11,chr2,102176352,102179874,PAS,True,26,102
ENSG00000153250.19,chr2,160281364,160284774,ES,False,77,105
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,48,103
ENSG00000153250.19,chr2,160272150,160274764,PAS,True,13,122
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,114,132
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,39,132
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,68,120
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,30,196
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,57,237
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,187,363
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,311,363
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,240,363
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,71,101
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,36,101
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,37,100
ENSG00000115884.10,chr2,20203812,20204195,TSS,True,209,258
ENSG00000115884.10,chr2,20224801,20225140,TSS,True,174,258
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,16,121
ENSG00000120899.17,chr8,27444271,27450748,ES,False,54,101
ENSG00000120899.17,chr8,27325473,27325681,TSS,True,115,151
ENSG00000120899.17,chr8,27434096,27434132,TSS,True,118,149
ENSG00000179526.16,chr8,144099205,144099276,IR,True,167,198
ENSG00000179526.16,chr8,144098629,144098788,PAS,False,33,257
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,59,260
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,21,134
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,112,131
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,41,137
ENSG00000164754.14,chr8,116874362,116874613,TSS,False,118,137
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,67,129
ENSG00000170323.8,chr8,81483094,81483238,TSS,True,24,179
ENSG00000156675.15,chr8,37899070,37899513,TSS,True,130,184
ENSG00000156675.15,chr8,37874514,37874842,TSS,True,155,173
ENSG00000168300.13,chr8,51817574,51820718,PAS,True,23,117
ENSG00000168300.13,chr8,51842503,51845763,PAS,True,98,115
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,62,125
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,112,125
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,35,124
ENSG00000104325.6,chr8,90001363,90001561,TSS,True,13,113
ENSG00000120896.13,chr8,22565287,22565872,TSS,True,135,151
ENSG00000120896.13,chr8,22569276,22571221,TSS,True,126,146
ENSG00000120896.13,chr8,22551319,22552022,TSS,True,147,167
ENSG00000120896.13,chr8,22574666,22575496,PAS,True,22,107
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,91,102
ENSG00000078668.13,chr8,42402015,42403310,IR,True,95,108
ENSG00000197858.10,chr8,144083500,144083713,IR,False,182,208
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,32,238
ENSG00000038945.14,chr8,16107902,16110218,PAS,True,103,116
ENSG00000038945.14,chr8,16192597,16192803,TSS,True,51,133
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,117,142
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,107,132
ENSG00000187954.12,chr8,144464808,144465440,TSS,True,135,151
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,61,277
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,239,277
ENSG00000155926.13,chr8,133074852,133075027,TSS,True,56,162
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,17,161
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,21,192
ENSG00000198363.17,chr8,61643433,61644599,ES,False,72,198
ENSG00000198363.17,chr8,61644632,61651049,ES,False,53,199
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,167,213
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,73,207
ENSG00000120913.23,chr8,22579087,22579527,TSS,True,94,117
ENSG00000120913.23,chr8,22586570,22589374,TSS,True,84,117
ENSG00000120913.23,chr8,22588586,22589741,TSS,True,100,117
ENSG00000147533.16,chr8,41506012,41507058,3AS,False,93,106
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,21,113
ENSG00000147533.16,chr8,41490582,41490965,TSS,True,99,113
ENSG00000134020.7,chr8,22713245,22713536,PAS,False,48,242
ENSG00000134020.7,chr8,22920183,22920280,TSS,True,178,201
ENSG00000134020.7,chr8,22927822,22928009,TSS,False,47,213
ENSG00000147649.9,chr8,97691188,97706625,ES,False,30,157
ENSG00000147649.9,chr8,97643970,97644887,TSS,True,30,239
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,120,226
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,167,230
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,155,209
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,1456,2046
ENSG00000164733.20,chr8,11853479,11868000,ES,False,3270,3738
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,485,4224
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,52,261
ENSG00000185122.10,chr8,144311962,144312244,TSS,True,228,254
ENSG00000185122.10,chr8,144314124,144314727,PAS,True,26,258
ENSG00000153310.19,chr8,129903350,129970942,ES,False,74,122
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,20,145
ENSG00000179950.13,chr8,143818534,143821596,ES,False,115,226
ENSG00000179950.13,chr8,143821913,143829279,ES,False,24,212
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,26,187
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,66,278
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,43,160
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,84,147
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,73,136
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,76,364
ENSG00000160932.10,chr8,143018463,143018586,TSS,True,97,463
ENSG00000168484.12,chr8,22161866,22162573,IR,True,29,248
ENSG00000168484.12,chr8,22161870,22163079,5AS,True,86,270
ENSG00000168484.12,chr8,22161870,22163079,IR,True,86,154
ENSG00000168484.12,chr8,22162261,22162573,IR,True,30,245
ENSG00000168484.12,chr8,22162739,22163079,IR,True,28,130
ENSG00000168484.12,chr8,22163546,22163900,3AS,False,14348,41632
ENSG00000168484.12,chr8,22164051,22164265,5AS,True,13650,38632
ENSG00000168484.12,chr8,22164051,22164265,IR,False,13650,17894
ENSG00000168484.12,chr8,22164059,22164265,IR,False,24854,29096
ENSG00000168484.12,chr8,22164061,22164271,3AS,True,14,136
ENSG00000168484.12,chr8,22164061,22164426,3AS,True,42,179
ENSG00000168484.12,chr8,22164265,22164479,PAS,True,4376,43006
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,197,502
ENSG00000164924.17,chr8,100953268,100953476,TSS,True,437,502
ENSG00000104518.10,chr8,143559969,143560602,IR,False,124,177
ENSG00000104518.10,chr8,143560771,143561001,IR,False,143,192
ENSG00000104518.10,chr8,143561104,143561369,IR,False,147,209
ENSG00000104518.10,chr8,143558294,143558451,TSS,True,68,232
ENSG00000008988.9,chr8,56074380,56074668,TSS,True,92,775
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,49,140
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,27,231
ENSG00000104388.14,chr8,60620673,60623626,PAS,True,38,213
ENSG00000104388.14,chr8,60584722,60586312,PAS,False,184,210
