gene,chr,start,end,splice_type,novel,H1_ENCFF207FUA_in_cov,H1_ENCFF207FUA_total_cov
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,126,155
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,314,998
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,79,767
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,11,105
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,17,124
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,418,1655
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,231,612
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,486,612
ENSG00000162961.13,chr2,32039278,32039328,TSS,True,546,612
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,96,785
ENSG00000168906.12,chr2,85543034,85543669,IR,True,84,140
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,114,241
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,58,140
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,92,139
ENSG00000065911.11,chr2,74198742,74207703,ES,False,50,270
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,86,358
ENSG00000065911.11,chr2,74208566,74208721,TSS,True,317,355
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,98,493
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,335,1282
ENSG00000115204.14,chr2,27313074,27322447,3AS,False,12,114
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,13,126
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,313,360
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,211,572
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,620,901
ENSG00000168385.17,chr2,241350129,241350203,TSS,False,453,891
ENSG00000115271.10,chr2,162344099,162344275,TSS,True,11,108
ENSG00000128699.13,chr2,189782602,189784268,ES,False,100,132
ENSG00000128699.13,chr2,189783878,189784039,TSS,True,170,189
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,55,189
PB_novel_212489,chr2,67334150,67339333,ES,True,142,166
PB_novel_212489,chr2,67331769,67332062,TSS,True,70,432
PB_novel_212489,chr2,67339333,67339973,PAS,True,264,432
PB_novel_212489,chr2,67337515,67337976,PAS,True,198,377
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,271,344
ENSG00000076003.4,chr2,135846236,135846393,TSS,True,169,338
ENSG00000076003.4,chr2,135848052,135848073,TSS,True,260,339
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,84,276
ENSG00000115685.14,chr2,241153474,241153604,TSS,True,233,276
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,125,276
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,168,275
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,1228,7212
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,6130,7212
ENSG00000115392.11,chr2,58165874,58198593,ES,False,90,102
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,90,101
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,21,123
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,1318,1596
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,409,1528
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,295,377
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,159,387
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,327,375
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,33,192
ENSG00000163170.11,chr2,74135658,74145188,ES,False,23,111
ENSG00000163170.11,chr2,74147820,74147923,TSS,True,13,125
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,91,203
ENSG00000128708.12,chr2,171925535,171925641,TSS,True,116,203
ENSG00000115484.14,chr2,61868126,61868706,PAS,True,33,315
ENSG00000115484.14,chr2,61888380,61888668,TSS,True,69,324
ENSG00000115484.14,chr2,61869439,61869529,TSS,True,262,292
ENSG00000243147.7,chr2,27772692,27779432,ES,False,91,212
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,70,273
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,242,273
ENSG00000115947.13,chr2,147973524,148020632,ES,False,11,107
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,95,116
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,29,139
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,117,139
ENSG00000198522.13,chr2,27628657,27629169,TSS,True,65,155
ENSG00000198522.13,chr2,27640041,27640125,TSS,True,133,155
ENSG00000198522.13,chr2,27642430,27642519,TSS,True,118,154
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,114,229
ENSG00000095002.14,chr2,47410111,47410372,TSS,True,186,229
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,31,181
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,143,167
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,87,400
ENSG00000197223.11,chr2,68047319,68062957,5AS,False,69,104
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,38,117
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,82,117
ENSG00000144034.14,chr2,73732285,73734428,ES,False,214,243
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,41,200
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,214,253
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,48,253
ENSG00000035141.7,chr2,70301924,70302083,TSS,False,49,342
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,273,365
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,1070,1435
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,469,1435
ENSG00000153574.8,chr2,88691643,88691983,TSS,False,83,110
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,31,240
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,32,272
ENSG00000115539.13,chr2,100562916,100563073,TSS,False,52,185
ENSG00000115539.13,chr2,100566505,100566629,TSS,True,141,185
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,88,560
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,329,512
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,383,475
ENSG00000158417.10,chr2,99364270,99364327,PAS,True,377,517
ENSG00000124383.8,chr2,71130320,71130754,TSS,False,27,103
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,24,103
ENSG00000124383.8,chr2,71149222,71149319,PAS,False,88,100
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,67,102
ENSG00000170144.20,chr2,177216940,177219036,ES,False,19,167
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,277,312
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,245,312
ENSG00000170144.20,chr2,177216857,177216940,TSS,True,243,300
ENSG00000170144.20,chr2,177217743,177217845,TSS,True,235,300
ENSG00000158411.11,chr2,99170652,99171509,ES,False,37,131
ENSG00000158411.11,chr2,99169152,99169470,PAS,True,17,136
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,25,167
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,163,258
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,70,209
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,115,278
ENSG00000115524.15,chr2,197402948,197403566,TSS,True,108,121
ENSG00000135972.8,chr2,105038053,105038227,TSS,False,402,703
ENSG00000135972.8,chr2,105097222,105097324,TSS,True,321,698
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,48,255
ENSG00000144366.15,chr2,188383889,188477658,ES,False,127,142
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,110,158
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,84,158
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,31,150
ENSG00000144366.15,chr2,188541180,188543224,PAS,True,126,146
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,14,133
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,40,374
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,227,262
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,287,346
ENSG00000065548.17,chr2,186486216,186486457,TSS,True,21,171
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,118,154
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,46,166
ENSG00000115540.14,chr2,197516146,197535529,ES,False,44,261
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,1076,8138
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,7138,8138
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,206,263
ENSG00000136718.9,chr2,130346205,130346274,TSS,True,138,263
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,92,315
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,57,198
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,21,179
ENSG00000119772.16,chr2,25252193,25252337,TSS,False,128,143
ENSG00000119772.16,chr2,25240639,25241209,TSS,True,61,139
ENSG00000115234.10,chr2,27370482,27370806,TSS,True,35,133
ENSG00000115234.10,chr2,27376325,27376387,TSS,True,111,132
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,277,387
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,57,172
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,137,172
ENSG00000114956.19,chr2,73927052,73946718,ES,False,193,244
ENSG00000114956.19,chr2,73927052,73958145,ME,True,14,133
ENSG00000114956.19,chr2,73927052,73957124,ES,True,13,117
ENSG00000114956.19,chr2,73927052,73958145,ES,True,43,306
ENSG00000114956.19,chr2,73946906,73958145,ES,False,136,236
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,98,141
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,47,145
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,102,145
ENSG00000180398.12,chr2,46901873,46905594,PAS,True,13,126
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,35,136
ENSG00000180398.12,chr2,46907809,46907967,TSS,True,113,136
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,57,180
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,24,193
ENSG00000119812.18,chr2,33599168,33599346,TSS,True,141,212
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,86,297
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,134,217
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,86,212
ENSG00000115091.11,chr2,113889952,113890323,TSS,True,52,196
ENSG00000115091.11,chr2,113933816,113934386,TSS,True,168,193
ENSG00000155438.11,chr2,121736745,121736967,TSS,True,27,195
ENSG00000144120.12,chr2,119679225,119680831,5AS,False,62,108
ENSG00000144120.12,chr2,119679163,119679276,TSS,True,83,121
ENSG00000144120.12,chr2,119679139,119679225,TSS,True,58,121
ENSG00000144120.12,chr2,119680831,119682119,PAS,True,13,121
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,30,191
ENSG00000136682.14,chr2,113443766,113444538,PAS,True,166,191
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,105,276
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,62,142
ENSG00000119888.10,chr2,47369142,47369581,TSS,False,86,101
ENSG00000119888.10,chr2,47379469,47379969,TSS,True,71,101
ENSG00000119888.10,chr2,47377028,47377077,TSS,True,69,101
ENSG00000156973.13,chr2,231732424,231733033,PAS,True,12,112
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,310,1533
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,1345,1533
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,72,132
ENSG00000115042.9,chr2,95402707,95405803,TSS,True,92,132
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,118,243
ENSG00000115816.14,chr2,37228821,37229036,PAS,False,127,219
ENSG00000115816.14,chr2,37231411,37231618,TSS,False,29,248
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,140,408
ENSG00000079785.14,chr2,15603189,15603275,TSS,True,301,374
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,57,408
ENSG00000079785.14,chr2,15597374,15597447,PAS,True,241,275
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,23,123
ENSG00000168393.12,chr2,241678649,241685768,ES,False,25,109
ENSG00000115875.18,chr2,38745187,38746693,ES,False,164,1018
ENSG00000115875.18,chr2,38749346,38749528,IR,False,55,112
ENSG00000124374.8,chr2,71226927,71227110,TSS,False,35,100
ENSG00000124374.8,chr2,71202451,71202602,TSS,True,80,100
ENSG00000143727.15,chr2,271939,275139,ME,False,148,614
ENSG00000143727.15,chr2,271939,272191,ES,False,150,203
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,40,142
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,24,198
ENSG00000198130.15,chr2,190319715,190319862,TSS,True,91,201
ENSG00000198130.15,chr2,190294545,190294563,TSS,True,162,201
ENSG00000198130.15,chr2,190290404,190290487,TSS,False,154,200
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,103,204
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,180,204
ENSG00000138398.15,chr2,169604985,169606146,TSS,True,164,204
ENSG00000138398.15,chr2,169636412,169641406,PAS,True,53,184
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,125,169
ENSG00000173692.12,chr2,231056606,231057041,TSS,True,80,319
ENSG00000173692.12,chr2,231170664,231170721,TSS,True,146,174
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,210,283
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,147,319
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,245,282
PB_novel_212671,chr2,188034060,188039129,ES,True,178,253
ENSG00000143870.12,chr2,10812677,10812829,TSS,True,387,985
ENSG00000143870.12,chr2,10787280,10787440,TSS,True,813,972
ENSG00000171863.14,chr2,3575350,3575600,IR,True,74,121
ENSG00000138382.14,chr2,169824640,169824781,IR,False,132,157
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,50,181
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,85,219
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,169,219
ENSG00000138382.14,chr2,169824488,169824919,TSS,True,194,219
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,1405,10617
ENSG00000116120.9,chr2,222566898,222572022,PAS,False,90,267
ENSG00000116120.9,chr2,222656015,222656102,TSS,False,190,267
ENSG00000116120.9,chr2,222599927,222599962,TSS,True,160,263
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,79,102
ENSG00000187840.4,chr8,38030022,38030354,TSS,True,106,129
ENSG00000187840.4,chr8,38059903,38060365,PAS,False,95,129
ENSG00000245910.8,chr8,66922114,66925436,ME,False,16,106
ENSG00000245910.8,chr8,66922392,66925436,ES,False,88,756
ENSG00000245910.8,chr8,66922392,66925436,3AS,True,88,120
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,39,157
ENSG00000120992.17,chr8,54101349,54102030,TSS,True,130,157
ENSG00000070501.11,chr8,42361365,42369270,ES,False,20,100
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,66,501
ENSG00000156467.9,chr8,96233155,96233228,TSS,True,450,501
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,64,124
ENSG00000104408.9,chr8,108248612,108248774,TSS,True,143,696
ENSG00000104408.9,chr8,108202982,108203102,TSS,True,572,681
ENSG00000104341.16,chr8,97805351,97805464,TSS,True,135,184
ENSG00000078668.13,chr8,42391616,42391928,TSS,True,109,563
ENSG00000078668.13,chr8,42391918,42393884,TSS,True,484,563
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,70,602
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,112,645
ENSG00000120913.23,chr8,22589741,22593732,ES,False,35,137
ENSG00000120913.23,chr8,22586570,22589374,TSS,True,15,139
ENSG00000147533.16,chr8,41506012,41507058,3AS,False,110,126
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,26,134
ENSG00000147533.16,chr8,41490582,41490965,TSS,True,119,134
ENSG00000169490.16,chr8,38995405,38996418,5AS,False,20,145
ENSG00000169490.16,chr8,38996212,38996517,TSS,True,51,180
ENSG00000169490.16,chr8,38996418,38996519,TSS,True,151,180
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,776,3421
ENSG00000169139.11,chr8,48008406,48008470,TSS,False,57,438
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,82,185
ENSG00000104522.15,chr8,143616566,143618080,TSS,True,149,185
ENSG00000104522.15,chr8,143613523,143614274,TSS,True,151,185
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,59,297
ENSG00000121022.13,chr8,67058082,67058188,TSS,True,261,295
ENSG00000179950.13,chr8,143818534,143821596,ES,False,78,154
ENSG00000179950.13,chr8,143821913,143829279,ES,False,23,141
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,13,118
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,74,215
ENSG00000147687.18,chr8,124516030,124518817,5AS,False,158,190
ENSG00000147687.18,chr8,124539024,124539097,TSS,True,90,252
ENSG00000147687.18,chr8,124504270,124504348,TSS,True,207,251
ENSG00000170791.17,chr8,56211837,56214597,ES,False,141,228
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,167,231
ENSG00000164924.17,chr8,100918574,100920752,PAS,True,42,284
ENSG00000164924.17,chr8,100922404,100924298,PAS,True,249,282
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,79,306
ENSG00000147419.17,chr8,27752587,27762418,ES,False,24,117
ENSG00000147419.17,chr8,27733315,27736245,PAS,True,15,122
ENSG00000147419.17,chr8,27748107,27748279,PAS,True,106,121
ENSG00000147416.10,chr8,20197363,20197542,TSS,True,21,105
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,318,1091
ENSG00000164919.10,chr8,99887489,99887529,TSS,True,884,1089
ENSG00000104529.17,chr8,143581328,143586728,ES,False,100,687
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,103,648
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,122,771
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,722,4119
ENSG00000156482.10,chr8,98045346,98045513,TSS,True,3546,4119
ENSG00000120533.12,chr8,109334402,109336127,5AS,False,137,603
ENSG00000120533.12,chr8,109334320,109334474,TSS,True,193,655
ENSG00000120533.12,chr8,109333553,109334402,TSS,False,518,655
ENSG00000254277.1,chr8,71675535,71702214,ES,True,182,210
ENSG00000254277.1,chr8,71702214,71704579,PAS,True,25,241
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,209,887
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,740,887
ENSG00000175324.9,chr8,38163840,38171964,ES,False,25,159
ENSG00000175324.9,chr8,38176274,38176720,TSS,True,30,162
ENSG00000175324.9,chr8,38176552,38176734,TSS,True,143,162
ENSG00000254339.5,chr8,114282294,114284252,3AS,False,48,218
ENSG00000254339.5,chr8,114284514,114295465,5AS,False,75,144
ENSG00000254339.5,chr8,114304413,114305940,PAS,True,180,256
ENSG00000254339.5,chr8,114295465,114298691,PAS,True,106,256
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,34,120
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,249,357
ENSG00000187735.13,chr8,53999944,54000046,TSS,True,132,356
ENSG00000147586.9,chr8,80003180,80030035,5AS,True,102,150
ENSG00000147586.9,chr8,80003180,80030053,5AS,True,47,197
ENSG00000147586.9,chr8,80030020,80030272,TSS,True,201,252
ENSG00000147586.9,chr8,80030053,80030271,TSS,True,195,252
ENSG00000147586.9,chr8,80030035,80030279,TSS,True,137,252
ENSG00000070756.15,chr8,100709458,100711202,TSS,True,292,392
ENSG00000070756.15,chr8,100718086,100722087,TSS,True,321,394
ENSG00000070756.15,chr8,100706650,100706798,TSS,True,289,391
ENSG00000120885.21,chr8,27614654,27614703,TSS,True,47,394
ENSG00000104714.13,chr8,662300,664676,PAS,True,47,112
ENSG00000104714.13,chr8,731139,731245,TSS,True,54,114
ENSG00000147604.13,chr8,73289968,73290705,PAS,True,43,225
ENSG00000147604.13,chr8,73293598,73293664,TSS,True,28,225
ENSG00000137547.8,chr8,54135205,54135391,TSS,True,35,279
ENSG00000147601.13,chr8,73027052,73032041,ES,False,1096,1499
ENSG00000147601.13,chr8,73008806,73009205,TSS,True,407,1847
ENSG00000147601.13,chr8,73032041,73032136,PAS,True,817,1553
ENSG00000147601.13,chr8,73045960,73050611,PAS,True,800,1642
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,182,701
ENSG00000137776.16,chr15,58879023,58880107,PAS,True,80,175
ENSG00000137776.16,chr15,58933403,58934025,TSS,True,98,185
ENSG00000137776.16,chr15,58883625,58883788,TSS,True,40,105
ENSG00000273173.5,chr15,24954922,24955062,TSS,True,14,133
ENSG00000273173.5,chr15,24968794,24968829,PAS,False,78,133
ENSG00000273173.5,chr15,24962113,24964001,PAS,True,62,125
ENSG00000041357.15,chr15,78540409,78540539,TSS,True,88,736
ENSG00000247556.6,chr15,41283958,41284110,TSS,True,53,159
ENSG00000247556.6,chr15,41298040,41301999,PAS,True,29,119
ENSG00000181026.14,chr15,88621258,88621382,TSS,False,68,105
ENSG00000166794.4,chr15,64162851,64163122,TSS,True,656,1543
ENSG00000166794.4,chr15,64156724,64156830,TSS,True,1375,1540
ENSG00000181991.15,chr15,88477871,88479034,PAS,True,16,100
ENSG00000140374.15,chr15,76311349,76311487,TSS,True,107,198
ENSG00000140374.15,chr15,76285636,76285664,TSS,True,112,198
ENSG00000180304.14,chr15,64703028,64703271,TSS,True,148,1021
ENSG00000140319.10,chr15,40038875,40038951,TSS,True,309,1661
ENSG00000140319.10,chr15,40038281,40038394,TSS,True,1408,1661
ENSG00000182718.16,chr15,60386086,60397942,ES,False,382,429
ENSG00000174444.14,chr15,66504787,66504853,TSS,True,1978,5483
ENSG00000174444.14,chr15,66500055,66500163,TSS,True,3817,5434
ENSG00000167004.12,chr15,43766723,43766910,TSS,True,138,168
ENSG00000167004.12,chr15,43769520,43769646,TSS,True,128,168
ENSG00000166797.10,chr15,64075537,64088686,ES,False,119,431
ENSG00000128463.12,chr15,34227846,34229752,ES,False,56,445
ENSG00000128463.12,chr15,34225002,34225200,TSS,True,67,457
ENSG00000104131.12,chr15,44537049,44537237,TSS,True,50,103
ENSG00000104131.12,chr15,44537322,44537427,TSS,True,62,103
ENSG00000166477.12,chr15,51938024,51938260,PAS,True,13,108
ENSG00000166477.12,chr15,51971687,51972020,TSS,True,31,109
ENSG00000166477.12,chr15,51949807,51949918,TSS,True,82,100
ENSG00000140263.13,chr15,45023129,45023349,TSS,True,17,107
ENSG00000140259.6,chr15,43824490,43824733,TSS,False,32,104
ENSG00000140259.6,chr15,43814500,43814675,TSS,True,77,103
ENSG00000167196.13,chr15,75904103,75913202,ES,False,19,169
ENSG00000167196.13,chr15,75903854,75904103,TSS,True,29,201
ENSG00000069956.11,chr15,52019198,52019376,TSS,True,55,127
ENSG00000136371.10,chr15,79896871,79897038,TSS,False,41,108
ENSG00000136371.10,chr15,79896790,79897077,TSS,True,83,108
ENSG00000137804.12,chr15,41349241,41350990,3AS,False,13,107
ENSG00000137804.12,chr15,41349241,41351032,3AS,False,56,163
ENSG00000137804.12,chr15,41358258,41365404,3AS,False,70,153
ENSG00000137804.12,chr15,41371684,41377195,ES,False,17,148
