gene,chr,start,end,splice_type,novel,endothelial_cell_of_umbilical_vein_ENCFF600UQU_in_cov,endothelial_cell_of_umbilical_vein_ENCFF600UQU_total_cov
ENSG00000028116.17,chr2,58046636,58046868,TSS,True,53,159
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,37,353
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,49,109
ENSG00000124019.9,chr2,224380208,224401036,ES,True,239,329
ENSG00000124019.9,chr2,224376786,224380208,PAS,False,38,367
ENSG00000068912.13,chr2,53801842,53809213,ES,False,26,147
ENSG00000068912.13,chr2,53786426,53787372,TSS,True,28,178
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,24,237
ENSG00000115540.14,chr2,197516146,197535529,ES,False,19,163
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,15,101
ENSG00000115446.11,chr2,98608557,98608726,TSS,False,18,168
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,21,168
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,320,1900
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,1603,1900
ENSG00000135636.13,chr2,71466363,71466933,TSS,False,84,121
ENSG00000118257.16,chr2,205682427,205683363,TSS,True,49,100
ENSG00000118257.16,chr2,205682447,205682905,TSS,True,85,100
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,433,491
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,420,491
ENSG00000003402.19,chr2,201132964,201133134,TSS,True,291,466
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,115,444
ENSG00000034510.5,chr2,84906121,84906388,IR,True,112,144
ENSG00000034510.5,chr2,84905651,84905718,TSS,False,10056,22950
ENSG00000034510.5,chr2,84905817,84906117,TSS,True,13084,22950
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,135,167
ENSG00000136718.9,chr2,130342935,130343085,IR,False,135,176
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,95,230
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,198,230
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,188,230
ENSG00000130147.15,chr2,234951969,234952170,TSS,True,56,134
ENSG00000130147.15,chr2,235041267,235043247,TSS,True,89,123
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,79,107
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,50,107
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,529,673
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,520,673
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,140,1021
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,905,1021
ENSG00000119801.12,chr2,30147062,30156627,ES,False,124,161
ENSG00000136709.11,chr2,127701026,127706552,PAS,False,132,153
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,221,282
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,119,539
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,461,539
ENSG00000135932.10,chr2,230712824,230713230,TSS,False,17,125
ENSG00000091409.14,chr2,172498100,172504090,ES,False,48,239
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,39,260
ENSG00000114956.19,chr2,73927052,73946718,ES,False,158,235
ENSG00000114956.19,chr2,73946906,73958145,ES,False,120,229
ENSG00000168883.19,chr2,85616456,85619219,5AS,False,25,164
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,51,190
ENSG00000168883.19,chr2,85616127,85616456,TSS,True,165,190
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,21,189
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,289,378
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,102,391
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,303,391
ENSG00000138443.15,chr2,203328259,203328631,TSS,True,26,103
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,53,280
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,27,147
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,46,161
ENSG00000136536.14,chr2,159712661,159729008,ES,False,98,112
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,67,180
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,130,180
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,70,179
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,22,188
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,141,186
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,17,145
ENSG00000119812.18,chr2,33599168,33599346,TSS,True,14,101
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,46,178
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,134,176
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,34,191
ENSG00000186522.14,chr2,109613797,109614196,TSS,True,28,191
ENSG00000136682.14,chr2,113465173,113482176,ES,False,22,112
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,23,138
ENSG00000136682.14,chr2,113443766,113444538,PAS,True,116,136
ENSG00000124380.10,chr2,69904253,69905927,PAS,True,15,140
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,31,146
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,123,146
ENSG00000135900.3,chr2,223957433,223957651,TSS,False,23,100
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,87,586
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,519,586
ENSG00000144063.3,chr2,110115687,110115852,TSS,True,41,201
ENSG00000115602.16,chr2,102336904,102337337,TSS,True,26,229
ENSG00000196843.15,chr2,96547517,96549752,ES,False,61,116
ENSG00000196843.15,chr2,96549805,96550187,IR,False,97,112
ENSG00000196843.15,chr2,96536703,96536830,TSS,True,13,128
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,142,358
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,34,113
ENSG00000115042.9,chr2,95412472,95412542,TSS,True,97,113
ENSG00000115641.18,chr2,105386540,105398841,ES,False,105,185
ENSG00000115641.18,chr2,105386540,105398969,ES,False,83,153
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,83,269
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,70,150
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,251,405
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,219,405
ENSG00000115875.18,chr2,38745187,38746693,ES,False,48,321
ENSG00000115875.18,chr2,38746747,38748055,5AS,False,35,306
ENSG00000115875.18,chr2,38748653,38749528,IR,False,240,273
ENSG00000115363.13,chr2,75518208,75560679,ES,False,32,138
ENSG00000115363.13,chr2,75522487,75560679,ES,False,80,102
ENSG00000115363.13,chr2,75492310,75493609,PAS,True,23,182
ENSG00000115363.13,chr2,75560679,75560994,TSS,True,51,189
ENSG00000115363.13,chr2,75561256,75561340,TSS,True,150,189
ENSG00000064989.12,chr2,187387756,187448038,ES,False,119,254
ENSG00000064989.12,chr2,187340371,187346399,PAS,True,136,400
ENSG00000064989.12,chr2,187428338,187428889,PAS,False,259,388
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,14,103
ENSG00000018510.14,chr2,177392739,177393049,TSS,True,26,171
ENSG00000115414.18,chr2,215372015,215372108,IR,False,2401,2952
ENSG00000115414.18,chr2,215372015,215373321,ES,False,282,2669
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,282,831
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,466,2937
ENSG00000115414.18,chr2,215379317,215382211,ES,False,1038,3074
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,2470,3448
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,1790,3516
ENSG00000143727.15,chr2,271939,275139,ME,False,97,391
ENSG00000143727.15,chr2,271939,272191,ES,False,98,130
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,233,402
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,47,456
ENSG00000130508.10,chr2,1684151,1691927,ES,False,29,120
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,259,296
ENSG00000130508.10,chr2,1744255,1744568,TSS,True,178,296
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,27,118
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,92,116
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,19,122
ENSG00000128645.14,chr2,176188664,176189453,TSS,False,14,128
ENSG00000169756.16,chr2,108534375,108534594,TSS,True,125,153
ENSG00000169756.16,chr2,108654963,108655256,TSS,True,96,153
ENSG00000163001.11,chr2,55519585,55519916,TSS,True,39,115
ENSG00000163001.11,chr2,55544906,55545079,PAS,True,41,115
ENSG00000198130.15,chr2,190205232,190212955,ES,False,16,114
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,15,122
ENSG00000136710.9,chr2,130342014,130342165,TSS,True,23,113
ENSG00000119865.8,chr2,68319221,68319913,TSS,True,82,239
ENSG00000119865.8,chr2,68319771,68320008,TSS,True,192,239
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,18,113
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,89,210
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,37,222
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,192,218
ENSG00000119013.8,chr2,201071991,201072059,TSS,True,838,1206
ENSG00000153250.19,chr2,160281364,160284774,ES,False,113,163
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,85,163
ENSG00000153250.19,chr2,160367388,160407463,3AS,True,14,108
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,125,177
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,68,177
ENSG00000168958.19,chr2,227325427,227330625,ES,False,29,115
ENSG00000168958.19,chr2,227325427,227332418,ES,False,26,142
ENSG00000168958.19,chr2,227340380,227355676,ES,False,73,144
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,32,104
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,16,126
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,21,134
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,43,116
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,69,144
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,101,144
ENSG00000138382.14,chr2,169824488,169824919,TSS,True,122,144
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,238,1705
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,1507,1705
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,243,454
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,239,454
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,110,444
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,337,426
ENSG00000164736.5,chr8,54457937,54458445,TSS,False,28,192
ENSG00000040341.17,chr8,73688813,73738283,ES,False,85,109
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,87,125
ENSG00000040341.17,chr8,73526820,73527804,PAS,True,107,124
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,76,123
ENSG00000179526.16,chr8,144098994,144099276,ES,False,33,225
ENSG00000179526.16,chr8,144099205,144099276,IR,True,176,210
