gene,chr,start,end,splice_type,novel,mucosa_of_descending_colon_ENCFF171AQO_in_cov,mucosa_of_descending_colon_ENCFF171AQO_total_cov
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,65,117
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,86,117
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,100,117
ENSG00000115129.13,chr2,24077432,24077761,PAS,True,12,116
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,80,118
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,48,118
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,149,383
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,241,383
ENSG00000119801.12,chr2,30147062,30156627,ES,False,101,120
ENSG00000173272.15,chr2,131469722,131470343,PAS,True,68,122
ENSG00000173272.15,chr2,131483959,131484218,PAS,True,50,106
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,48,123
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,97,123
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,91,119
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,39,130
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,103,130
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,34,103
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,73,103
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,62,150
ENSG00000186522.14,chr2,109544324,109546049,IR,True,105,126
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,25,130
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,106,127
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,63,421
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,76,262
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,51,488
ENSG00000079308.18,chr2,217799788,217804603,PAS,True,197,703
ENSG00000079308.18,chr2,217843326,217849087,PAS,True,104,153
ENSG00000079308.18,chr2,217817713,217818759,PAS,True,113,183
ENSG00000079308.18,chr2,217821757,217821938,PAS,True,155,177
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,479,947
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,19,148
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,45,398
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,355,398
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,201,606
ENSG00000144567.10,chr2,219182308,219182413,IR,False,13,125
ENSG00000144567.10,chr2,219178219,219178633,TSS,True,39,160
ENSG00000144567.10,chr2,219182012,219185484,PAS,True,14,126
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,27,109
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,91,144
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,62,144
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,30,241
ENSG00000115414.18,chr2,215372015,215372108,IR,False,99,137
ENSG00000115414.18,chr2,215379317,215382211,ES,False,44,128
ENSG00000115414.18,chr2,215391814,215394527,ES,False,58,110
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,181,330
ENSG00000115414.18,chr2,215412760,215414958,PAS,True,207,236
ENSG00000115414.18,chr2,215404289,215406510,PAS,True,217,244
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,131,334
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,148,208
ENSG00000115415.18,chr2,191010004,191014017,ES,False,12,103
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,38,121
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,93,121
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,17,121
ENSG00000119729.11,chr2,46543188,46576086,ES,False,16,108
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,224,716
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,33,163
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,138,157
ENSG00000168958.19,chr2,227325427,227330625,ES,False,23,124
ENSG00000168958.19,chr2,227340380,227352513,ES,False,17,105
ENSG00000168958.19,chr2,227340380,227355676,ES,False,22,133
ENSG00000135956.8,chr2,96265489,96265868,3AS,True,62,105
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,32,138
ENSG00000163017.13,chr2,73892966,73893051,TSS,True,396,2744
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,23,153
ENSG00000123992.19,chr2,219372029,219374342,PAS,True,22,169
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,31,169
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,90,132
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,46,132
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,40,132
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,93,129
ENSG00000115884.10,chr2,20203812,20204195,TSS,True,118,137
ENSG00000115884.10,chr2,20225261,20225911,TSS,False,114,138
ENSG00000115884.10,chr2,20224801,20225140,TSS,True,66,138
ENSG00000179526.16,chr8,144099205,144099276,IR,True,172,207
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,26,137
ENSG00000147804.9,chr8,144416597,144416917,TSS,True,68,313
ENSG00000079112.9,chr8,94208482,94208608,TSS,True,44,332
ENSG00000120896.13,chr8,22565287,22565872,TSS,True,83,111
ENSG00000120896.13,chr8,22565103,22565354,TSS,True,98,111
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,109,147
ENSG00000197858.10,chr8,144083500,144083713,IR,False,194,242
ENSG00000197858.10,chr8,144084875,144085042,IR,False,224,249
ENSG00000197858.10,chr8,144085138,144085288,IR,False,224,251
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,35,267
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,112,138
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,114,134
ENSG00000187954.12,chr8,144464808,144465440,TSS,True,125,139
ENSG00000187954.12,chr8,144465207,144465437,TSS,True,116,139
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,122,139
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,65,201
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,160,200
ENSG00000198363.17,chr8,61643433,61644599,ES,False,39,101
ENSG00000198363.17,chr8,61644632,61651049,ES,False,38,101
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,78,109
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,41,107
ENSG00000180900.18,chr8,143791440,143791990,ES,False,19,115
ENSG00000180900.18,chr8,143815213,143815816,TSS,False,76,130
ENSG00000147649.9,chr8,97691188,97706625,ES,False,13,122
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,95,148
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,80,148
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,124,148
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,877,1703
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,156,1259
ENSG00000104522.15,chr8,143614453,143614623,IR,False,71,112
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,24,124
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,46,293
ENSG00000185122.10,chr8,144311962,144312244,TSS,True,260,289
ENSG00000185000.11,chr8,144317109,144317186,IR,False,129,179
ENSG00000185000.11,chr8,144318169,144318260,IR,False,148,172
ENSG00000185000.11,chr8,144326436,144327477,TSS,True,62,213
ENSG00000179950.13,chr8,143818534,143821596,ES,False,116,255
ENSG00000179950.13,chr8,143821913,143829279,ES,False,25,242
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,38,217
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,56,297
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,30,192
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,112,188
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,79,177
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,97,419
ENSG00000178814.16,chr8,144052326,144052448,IR,True,84,100
ENSG00000178814.16,chr8,144060652,144061242,TSS,False,44,105
ENSG00000104518.10,chr8,143559969,143560602,IR,False,128,231
ENSG00000104518.10,chr8,143560771,143561001,IR,False,126,239
ENSG00000104518.10,chr8,143561104,143561369,IR,False,162,260
ENSG00000104518.10,chr8,143558294,143558451,TSS,True,81,270
ENSG00000104518.10,chr8,143558338,143559552,TSS,True,226,270
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,30,164
ENSG00000147813.15,chr8,143574900,143574985,IR,False,192,229
ENSG00000147813.15,chr8,143575093,143575190,IR,False,191,220
ENSG00000147813.15,chr8,143576162,143576431,IR,False,186,226
ENSG00000147813.15,chr8,143576842,143577061,IR,False,169,217
ENSG00000147813.15,chr8,143577177,143577268,IR,False,175,216
ENSG00000147813.15,chr8,143577943,143578092,IR,False,164,215
ENSG00000147813.15,chr8,143574779,143574900,PAS,True,38,232
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,68,232
ENSG00000147813.15,chr8,143577815,143578644,TSS,True,183,232
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,30,286
ENSG00000104529.17,chr8,143581328,143586728,ES,False,101,935
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,77,720
ENSG00000104529.17,chr8,143586852,143597347,ES,False,523,641
ENSG00000104529.17,chr8,143590081,143597347,ES,False,48,127
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,253,986
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,805,983
ENSG00000147526.19,chr8,38827288,38831124,5AS,False,37,115
ENSG00000147526.19,chr8,38787178,38787743,TSS,True,124,155
ENSG00000147526.19,chr8,38728133,38728671,TSS,True,140,157
ENSG00000147526.19,chr8,38756913,38757409,TSS,True,102,155
ENSG00000147526.19,chr8,38847954,38853029,PAS,True,16,136
ENSG00000120915.13,chr8,27491108,27491309,TSS,True,14,114
ENSG00000120915.13,chr8,27544443,27544922,PAS,True,26,111
ENSG00000120915.13,chr8,27511835,27512164,PAS,True,91,102
ENSG00000132561.13,chr8,98032317,98033098,3AS,False,47,111
ENSG00000155090.14,chr8,102651148,102651539,TSS,True,80,105
ENSG00000155090.14,chr8,102655565,102655727,TSS,False,39,106
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,25,199
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,175,198
ENSG00000164949.7,chr8,94262089,94262319,TSS,True,28,163
ENSG00000160948.13,chr8,144423922,144424040,IR,False,202,245
ENSG00000160948.13,chr8,144424268,144424717,IR,False,210,244
ENSG00000160948.13,chr8,144424819,144424945,IR,False,200,242
ENSG00000160948.13,chr8,144425000,144425682,3AS,False,21,188
ENSG00000160948.13,chr8,144425051,144425682,IR,False,163,211
ENSG00000160948.13,chr8,144426979,144428488,3AS,False,187,219
ENSG00000160948.13,chr8,144423583,144424132,PAS,True,214,246
ENSG00000160948.13,chr8,144423597,144423922,PAS,True,43,246
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,73,298
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,53,179
ENSG00000156804.7,chr8,123540898,123541595,TSS,True,80,283
ENSG00000104635.13,chr8,22408496,22414779,ME,False,89,134
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,31,145
ENSG00000104635.13,chr8,22367303,22367737,TSS,True,127,145
ENSG00000067167.7,chr8,70608076,70608444,TSS,True,18,148
ENSG00000213563.6,chr8,144526639,144526959,IR,False,56,237
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,182,238
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,43,188
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,51,238
ENSG00000261236.7,chr8,144291271,144291451,TSS,True,11,100
ENSG00000178685.13,chr8,143986357,143986466,TSS,True,47,153
ENSG00000076554.15,chr8,80171424,80171633,TSS,True,58,181
ENSG00000076554.15,chr8,80080314,80080835,TSS,True,129,181
ENSG00000168079.16,chr8,27992256,27992834,TSS,True,118,140
ENSG00000168079.16,chr8,27977029,27977128,TSS,True,91,140
ENSG00000160972.9,chr8,144500199,144500266,IR,False,105,120
ENSG00000160972.9,chr8,144500391,144500486,IR,False,106,121
ENSG00000160972.9,chr8,144477943,144478127,TSS,True,114,159
ENSG00000160972.9,chr8,144478288,144478522,TSS,False,123,159
ENSG00000185803.9,chr8,144358554,144359065,TSS,True,28,150
ENSG00000182325.10,chr8,144356531,144356599,IR,False,102,119
ENSG00000182325.10,chr8,144356915,144356989,IR,False,90,125
ENSG00000182325.10,chr8,144357121,144357438,IR,False,41,113
ENSG00000182325.10,chr8,144357502,144357627,IR,False,53,118
ENSG00000182325.10,chr8,144357786,144358031,IR,False,46,124
ENSG00000182325.10,chr8,144356807,144358541,TSS,True,108,134
ENSG00000182325.10,chr8,144358031,144358559,TSS,True,87,134
ENSG00000182325.10,chr8,144357627,144358688,TSS,True,119,134
ENSG00000182325.10,chr8,144356989,144358543,TSS,False,102,134
ENSG00000179091.4,chr8,144095228,144095832,IR,False,593,733
ENSG00000179091.4,chr8,144095054,144095228,TSS,False,168,779
ENSG00000179091.4,chr8,144095055,144096029,TSS,True,642,779
ENSG00000067225.17,chr15,72200655,72206727,ME,False,114,569
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,84,607
ENSG00000166920.12,chr15,45430655,45430769,IR,False,393,604
ENSG00000166920.12,chr15,45430605,45430655,TSS,True,216,610
ENSG00000166920.12,chr15,45430610,45430832,TSS,True,401,610
ENSG00000137767.13,chr15,45634745,45635108,TSS,True,59,317
ENSG00000173546.7,chr15,75674621,75677384,PAS,False,36,114
ENSG00000173546.7,chr15,75687275,75689266,TSS,True,125,150
ENSG00000173546.7,chr15,75682292,75682367,TSS,True,129,146
ENSG00000173546.7,chr15,75712667,75712891,TSS,False,155,180
ENSG00000173546.7,chr15,75682842,75682932,TSS,True,128,149
ENSG00000166825.13,chr15,89805969,89806801,TSS,True,142,471
ENSG00000178761.14,chr15,74902063,74902603,IR,False,14,101
ENSG00000178761.14,chr15,74899989,74902786,PAS,True,38,103
ENSG00000178761.14,chr15,74899986,74902783,PAS,True,81,103
ENSG00000128951.13,chr15,48331405,48331479,TSS,True,112,133
ENSG00000128951.13,chr15,48331399,48332406,TSS,False,100,133
ENSG00000128951.13,chr15,48331409,48331795,TSS,True,56,133
ENSG00000179335.18,chr15,74620225,74622119,IR,False,97,110
ENSG00000179335.18,chr15,74615703,74615898,TSS,False,14,125
ENSG00000179335.18,chr15,74629706,74630200,PAS,True,16,125
ENSG00000182253.14,chr15,99105076,99106009,TSS,True,225,420
ENSG00000182253.14,chr15,99129440,99131813,TSS,True,237,273
ENSG00000182253.14,chr15,99129366,99135583,PAS,True,60,205
ENSG00000182253.14,chr15,99132749,99135593,PAS,True,158,241
ENSG00000188549.12,chr15,40340807,40340961,TSS,True,75,101
ENSG00000140553.17,chr15,90935330,90935543,5AS,False,62,103
ENSG00000140553.17,chr15,90935216,90935330,TSS,True,72,134
ENSG00000140553.17,chr15,90935268,90935375,TSS,True,94,134
ENSG00000237289.9,chr15,43592985,43594367,TSS,True,84,101
ENSG00000237289.9,chr15,43593059,43593271,TSS,True,33,102
ENSG00000182718.16,chr15,60386086,60397942,ES,False,519,584
ENSG00000166831.8,chr15,64775232,64775620,TSS,False,54,157
ENSG00000137817.16,chr15,72242699,72250019,ES,False,97,108
ENSG00000137817.16,chr15,72250092,72251206,ES,False,21,108
ENSG00000137817.16,chr15,72259661,72260537,5AS,False,62,107
ENSG00000137817.16,chr15,72272392,72272765,TSS,True,38,110
ENSG00000137817.16,chr15,72271022,72272859,TSS,True,95,110
ENSG00000137817.16,chr15,72272502,72272825,TSS,True,98,110
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,19,172
ENSG00000137815.14,chr15,41452900,41452942,PAS,True,133,154
ENSG00000137815.14,chr15,41464770,41464861,PAS,True,53,155
ENSG00000137815.14,chr15,41480580,41482981,PAS,False,131,158
ENSG00000166145.14,chr15,40853881,40854059,5AS,False,219,424
ENSG00000166145.14,chr15,40843735,40844186,TSS,False,252,449
ENSG00000166145.14,chr15,40844176,40845029,TSS,False,241,449
ENSG00000140416.20,chr15,63042943,63044026,ES,False,131,159
ENSG00000140416.20,chr15,63042943,63044026,3AS,False,131,154
ENSG00000140416.20,chr15,63042137,63042943,TSS,True,320,2937
ENSG00000074410.13,chr15,63340287,63340423,TSS,True,129,348
ENSG00000074410.13,chr15,63381635,63382110,TSS,True,250,351
ENSG00000233041.8,chr15,40351019,40351062,TSS,False,265,1074
ENSG00000273749.4,chr15,22914882,22917787,ME,False,39,106
ENSG00000273749.4,chr15,22980286,22980440,TSS,True,63,145
ENSG00000273749.4,chr15,22903705,22905508,TSS,True,127,143
ENSG00000028528.14,chr15,64095898,64096172,TSS,True,17,124
ENSG00000182175.14,chr15,93072915,93073180,TSS,True,60,102
ENSG00000185033.14,chr15,90184896,90185081,TSS,True,136,166
ENSG00000185033.14,chr15,90225661,90225827,TSS,True,142,162
ENSG00000166411.13,chr15,78149300,78149430,TSS,True,16,141
ENSG00000140297.12,chr15,59611280,59611981,TSS,True,43,390
ENSG00000140297.12,chr15,59618178,59620058,PAS,True,40,374
ENSG00000140297.12,chr15,59640089,59640919,PAS,False,350,390
ENSG00000086666.18,chr15,80059654,80059809,TSS,True,24,103
ENSG00000103710.10,chr15,65059418,65067732,ES,False,14,135
ENSG00000128739.22,chr15,24954852,24955062,TSS,True,18,118
ENSG00000140497.16,chr15,74873198,74873392,TSS,True,57,218
ENSG00000137801.10,chr15,39581076,39581228,TSS,True,75,108
ENSG00000137801.10,chr15,39595361,39598913,PAS,True,17,103
ENSG00000138629.15,chr15,74461036,74461177,TSS,False,68,108
ENSG00000138629.15,chr15,74461107,74461179,TSS,True,70,108
ENSG00000138629.15,chr15,74458683,74458901,TSS,True,92,108
ENSG00000140474.13,chr15,74840316,74840497,IR,False,61,128
ENSG00000140474.13,chr15,74843003,74843454,TSS,True,55,162
ENSG00000140474.13,chr15,74842074,74843156,TSS,True,142,161
ENSG00000166710.18,chr15,44711414,44711613,TSS,True,281,2639
ENSG00000182768.8,chr15,90265669,90266398,TSS,True,33,302
ENSG00000140400.16,chr15,75356685,75356792,IR,False,78,104
ENSG00000140400.16,chr15,75358618,75358703,IR,False,53,112
ENSG00000140400.16,chr15,75359425,75359619,IR,False,84,102
ENSG00000140400.16,chr15,75360211,75360564,IR,False,91,104
ENSG00000140400.16,chr15,75360688,75361045,IR,False,84,103
ENSG00000140400.16,chr15,75368482,75368783,TSS,False,57,120
ENSG00000140400.16,chr15,75368072,75368624,TSS,True,86,120
ENSG00000114062.19,chr15,25405502,25438488,ES,False,48,113
ENSG00000179010.14,chr4,6640708,6640827,IR,False,70,210
ENSG00000179010.14,chr4,6640655,6640708,TSS,False,149,220
ENSG00000179010.14,chr4,6640682,6641258,TSS,True,80,220
ENSG00000109390.11,chr4,139295731,139295834,TSS,False,22,142
ENSG00000109180.14,chr4,48831060,48831249,TSS,True,38,104
ENSG00000109790.16,chr4,39045096,39075964,ES,False,132,147
ENSG00000109790.16,chr4,39044657,39045096,TSS,True,17,167
ENSG00000109790.16,chr4,39121009,39124826,PAS,True,29,165
ENSG00000152795.17,chr4,82424883,82426036,IR,False,148,216
ENSG00000152795.17,chr4,82422746,82424883,PAS,True,73,240
ENSG00000152795.17,chr4,82423203,82426129,PAS,True,170,234
ENSG00000090316.15,chr4,1289834,1289982,TSS,True,29,174
ENSG00000109736.14,chr4,2931663,2931824,IR,False,113,127
ENSG00000109736.14,chr4,2932409,2932599,3AS,False,14,122
ENSG00000109736.14,chr4,2932758,2933105,IR,False,101,114
ENSG00000109736.14,chr4,2929927,2930953,PAS,True,14,133
ENSG00000109736.14,chr4,2934768,2934880,TSS,True,31,139
ENSG00000163069.12,chr4,52029863,52038226,ES,True,16,145
ENSG00000163682.16,chr4,39458440,39458890,3AS,False,80,104
ENSG00000163682.16,chr4,39458890,39458946,TSS,True,16,120
