gene,chr,start,end,splice_type,novel,H1_ENCFF217ERK_in_cov,H1_ENCFF217ERK_total_cov
ENSG00000127837.9,chr2,218266442,218266590,TSS,True,262,297
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,384,642
ENSG00000168385.17,chr2,241350129,241350203,TSS,False,357,634
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,30,109
PB_novel_212489,chr2,67331769,67332062,TSS,True,22,186
PB_novel_212489,chr2,67339333,67339973,PAS,True,116,186
PB_novel_212489,chr2,67337515,67337976,PAS,True,84,168
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,133,183
ENSG00000076003.4,chr2,135846236,135846393,TSS,True,94,181
ENSG00000076003.4,chr2,135848052,135848073,TSS,True,142,181
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,32,131
ENSG00000115685.14,chr2,241153474,241153604,TSS,True,109,131
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,42,131
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,91,131
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,491,2690
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,2237,2690
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,25,108
ENSG00000115392.11,chr2,58226727,58229070,TSS,True,89,108
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,1393,1657
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,357,1612
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,186,272
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,152,273
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,227,272
ENSG00000115484.14,chr2,61888380,61888668,TSS,True,31,224
ENSG00000198522.13,chr2,27628657,27629169,TSS,True,35,106
ENSG00000198522.13,chr2,27642430,27642519,TSS,True,82,106
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,65,165
ENSG00000095002.14,chr2,47410111,47410372,TSS,True,134,165
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,39,151
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,126,144
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,36,257
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,137,165
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,478,643
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,209,643
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,45,306
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,187,285
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,222,262
ENSG00000158417.10,chr2,99364270,99364327,PAS,True,188,286
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,123,178
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,136,178
ENSG00000170144.20,chr2,177216857,177216940,TSS,True,144,165
ENSG00000170144.20,chr2,177217743,177217845,TSS,True,136,165
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,20,174
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,20,129
ENSG00000119203.13,chr2,9432533,9432688,TSS,True,115,128
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,124,176
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,38,151
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,48,185
ENSG00000135972.8,chr2,105038053,105038227,TSS,False,179,380
ENSG00000135972.8,chr2,105097222,105097324,TSS,True,206,377
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,35,216
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,71,107
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,52,107
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,25,106
ENSG00000144366.15,chr2,188541180,188543224,PAS,True,87,105
ENSG00000144199.11,chr2,97094700,97094903,TSS,True,54,102
ENSG00000144199.11,chr2,97091461,97091634,TSS,True,58,102
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,581,690
ENSG00000135916.15,chr2,230865145,230875619,ES,False,24,140
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,148,288
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,95,110
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,19,117
ENSG00000115540.14,chr2,197516146,197535529,ES,False,30,186
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,350,3054
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,2717,3054
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,98,127
ENSG00000136718.9,chr2,130346205,130346274,TSS,True,75,127
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,17,118
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,28,115
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,15,105
ENSG00000115234.10,chr2,27370482,27370806,TSS,True,12,113
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,171,231
ENSG00000114956.19,chr2,73927052,73946718,ES,False,97,121
ENSG00000114956.19,chr2,73927052,73958145,ES,True,21,146
ENSG00000114956.19,chr2,73946906,73958145,ES,False,60,113
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,53,120
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,13,124
ENSG00000119812.18,chr2,33599168,33599346,TSS,True,76,127
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,43,146
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,43,106
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,64,103
ENSG00000115091.11,chr2,113889952,113890323,TSS,True,20,136
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,19,165
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,69,211
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,119,594
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,510,594
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,49,142
ENSG00000115816.14,chr2,37228821,37229036,PAS,False,96,126
ENSG00000115816.14,chr2,37231411,37231618,TSS,False,17,142
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,85,269
ENSG00000079785.14,chr2,15603189,15603275,TSS,True,203,257
ENSG00000168393.12,chr2,241678649,241685768,ES,False,31,116
ENSG00000115875.18,chr2,38745187,38746693,ES,False,98,637
ENSG00000143727.15,chr2,271939,275139,ME,False,76,345
ENSG00000143727.15,chr2,271939,272191,ES,False,77,108
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,28,194
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,30,165
ENSG00000198130.15,chr2,190200925,190204802,PAS,False,146,165
ENSG00000198130.15,chr2,190319715,190319862,TSS,True,69,165
ENSG00000198130.15,chr2,190294545,190294563,TSS,True,144,165
ENSG00000198130.15,chr2,190290404,190290487,TSS,False,120,165
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,53,121
ENSG00000138398.15,chr2,169604985,169606146,TSS,True,96,121
ENSG00000138398.15,chr2,169636412,169641406,PAS,True,28,112
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,80,105
ENSG00000173692.12,chr2,231056606,231057041,TSS,True,32,198
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,146,188
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,108,198
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,148,187
ENSG00000173692.12,chr2,231165870,231170653,PAS,False,169,189
PB_novel_212671,chr2,188034060,188039129,ES,True,175,250
ENSG00000143870.12,chr2,10812677,10812829,TSS,True,213,740
ENSG00000143870.12,chr2,10787280,10787440,TSS,True,652,725
ENSG00000115866.10,chr2,135985402,135985678,TSS,True,22,187
ENSG00000163032.11,chr2,17540404,17540918,TSS,True,32,151
ENSG00000163032.11,chr2,17544083,17544187,TSS,True,135,151
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,37,115
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,94,115
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,664,3785
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,3293,3785
ENSG00000116120.9,chr2,222566898,222572022,PAS,False,38,133
ENSG00000116120.9,chr2,222656015,222656102,TSS,False,78,134
ENSG00000116120.9,chr2,222599927,222599962,TSS,True,98,134
ENSG00000187840.4,chr8,38030022,38030354,TSS,True,93,109
ENSG00000187840.4,chr8,38030502,38030718,TSS,False,57,109
ENSG00000187840.4,chr8,38059903,38060365,PAS,False,38,109
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,22,115
ENSG00000120992.17,chr8,54101349,54102030,TSS,True,102,115
ENSG00000104408.9,chr8,108248612,108248774,TSS,True,38,318
ENSG00000104341.16,chr8,97805351,97805464,TSS,True,53,101
ENSG00000078668.13,chr8,42391616,42391928,TSS,True,52,381
ENSG00000078668.13,chr8,42391918,42393884,TSS,True,337,381
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,45,385
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,63,431
ENSG00000169490.16,chr8,38996212,38996517,TSS,True,31,111
ENSG00000169490.16,chr8,38996418,38996519,TSS,True,91,111
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,349,1383
ENSG00000169139.11,chr8,48008406,48008470,TSS,False,30,280
ENSG00000104522.15,chr8,143614453,143614623,IR,False,83,102
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,37,112
ENSG00000104522.15,chr8,143616566,143618080,TSS,True,85,112
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,44,214
ENSG00000179950.13,chr8,143818534,143821596,ES,False,73,120
ENSG00000179950.13,chr8,143821913,143829279,ES,False,11,104
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,39,143
ENSG00000147687.18,chr8,124539024,124539097,TSS,True,41,130
ENSG00000147687.18,chr8,124504270,124504348,TSS,True,106,129
ENSG00000170791.17,chr8,56211837,56214597,ES,False,66,114
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,85,116
ENSG00000164924.17,chr8,100918574,100920752,PAS,True,19,188
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,77,215
ENSG00000164924.17,chr8,100952849,100953334,TSS,True,191,215
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,132,445
ENSG00000164919.10,chr8,99887489,99887529,TSS,True,372,444
ENSG00000104529.17,chr8,143581328,143586728,ES,False,60,435
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,73,407
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,76,484
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,229,1280
ENSG00000156482.10,chr8,98045346,98045513,TSS,True,1089,1280
ENSG00000120533.12,chr8,109334402,109336127,5AS,False,42,211
ENSG00000120533.12,chr8,109334320,109334474,TSS,True,73,241
ENSG00000120533.12,chr8,109333553,109334402,TSS,False,198,241
ENSG00000254277.1,chr8,71675535,71702214,ES,True,88,104
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,50,306
ENSG00000254339.5,chr8,114282294,114284252,3AS,False,23,132
ENSG00000254339.5,chr8,114304413,114305940,PAS,True,118,155
ENSG00000254339.5,chr8,114295465,114298691,PAS,True,49,155
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,245,351
ENSG00000187735.13,chr8,53999944,54000046,TSS,True,122,351
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,240,405
ENSG00000070756.15,chr8,100709458,100711202,TSS,True,334,400
ENSG00000070756.15,chr8,100718086,100722087,TSS,True,336,403
ENSG00000147604.13,chr8,73289968,73290705,PAS,True,19,105
ENSG00000147604.13,chr8,73293598,73293664,TSS,True,13,105
ENSG00000137547.8,chr8,54135205,54135391,TSS,True,19,164
ENSG00000147601.13,chr8,73027052,73032041,ES,False,600,865
ENSG00000147601.13,chr8,73008806,73009205,TSS,True,158,1006
ENSG00000147601.13,chr8,73032041,73032136,PAS,True,499,898
ENSG00000147601.13,chr8,73045960,73050611,PAS,True,429,944
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,137,825
ENSG00000137776.16,chr15,58879023,58880107,PAS,True,62,106
ENSG00000137776.16,chr15,58933403,58934025,TSS,True,49,109
ENSG00000273173.5,chr15,24968794,24968829,PAS,False,97,128
ENSG00000273173.5,chr15,24962113,24964001,PAS,True,42,125
ENSG00000041357.15,chr15,78540409,78540539,TSS,True,48,380
ENSG00000166794.4,chr15,64162851,64163122,TSS,True,261,595
ENSG00000166794.4,chr15,64156724,64156830,TSS,True,520,593
ENSG00000140374.15,chr15,76311349,76311487,TSS,True,63,128
ENSG00000140374.15,chr15,76285636,76285664,TSS,True,81,128
ENSG00000180304.14,chr15,64703028,64703271,TSS,True,89,843
ENSG00000140319.10,chr15,40038875,40038951,TSS,True,166,697
ENSG00000140319.10,chr15,40038281,40038394,TSS,True,550,697
ENSG00000182718.16,chr15,60386086,60397942,ES,False,239,266
ENSG00000174444.14,chr15,66504787,66504853,TSS,True,828,3180
ENSG00000174444.14,chr15,66500055,66500163,TSS,True,2471,3146
ENSG00000166797.10,chr15,64075537,64088686,ES,False,47,219
ENSG00000128463.12,chr15,34225002,34225200,TSS,True,20,190
ENSG00000104131.12,chr15,44537049,44537237,TSS,True,46,163
ENSG00000104131.12,chr15,44537322,44537427,TSS,True,123,163
ENSG00000104131.12,chr15,44561017,44562801,PAS,True,22,157
ENSG00000140259.6,chr15,43824490,43824733,TSS,False,21,103
ENSG00000140259.6,chr15,43814500,43814675,TSS,True,86,101
ENSG00000167196.13,chr15,75903854,75904103,TSS,True,23,173
ENSG00000167196.13,chr15,75903851,75904629,TSS,True,154,173
ENSG00000137804.12,chr15,41349241,41351032,3AS,False,46,145
ENSG00000137804.12,chr15,41358258,41365404,3AS,False,59,139
ENSG00000137804.12,chr15,41371684,41377195,ES,False,17,139
ENSG00000137804.12,chr15,41332241,41333050,TSS,True,23,171
ENSG00000086666.18,chr15,80059809,80120327,ES,False,260,315
ENSG00000128739.22,chr15,24962209,24967931,ES,False,2650,2949
ENSG00000117899.10,chr15,80989578,80989911,TSS,True,77,181
ENSG00000185787.14,chr15,78872781,78873057,TSS,True,648,1819
ENSG00000185787.14,chr15,78885747,78886227,TSS,True,1220,1816
ENSG00000138629.15,chr15,74458896,74461036,5AS,True,92,106
ENSG00000138629.15,chr15,74458896,74461107,5AS,False,68,183
ENSG00000138629.15,chr15,74461036,74461177,TSS,False,106,207
ENSG00000138629.15,chr15,74461107,74461179,TSS,True,135,207
ENSG00000140350.15,chr15,68820697,68820924,TSS,True,54,238
ENSG00000140365.15,chr15,75336092,75338061,5AS,False,89,102
ENSG00000140365.15,chr15,75336008,75336092,TSS,False,28,118
ENSG00000179010.14,chr4,6640708,6640827,IR,False,165,296
ENSG00000179010.14,chr4,6640655,6640708,TSS,False,144,309
ENSG00000179010.14,chr4,6640682,6641258,TSS,True,178,309
ENSG00000168214.20,chr4,26321048,26386352,ES,False,184,237
ENSG00000168214.20,chr4,26319847,26320815,TSS,True,279,312
ENSG00000168214.20,chr4,26320803,26321048,TSS,True,74,312
ENSG00000109390.11,chr4,139295731,139295834,TSS,False,22,118
ENSG00000109180.14,chr4,48831060,48831249,TSS,True,53,152
ENSG00000109180.14,chr4,48831092,48831496,TSS,True,126,152
ENSG00000171566.11,chr4,154550299,154550474,TSS,True,12,118
ENSG00000152795.17,chr4,82422746,82424883,PAS,True,67,598
ENSG00000152795.17,chr4,82429247,82430469,TSS,True,138,598
ENSG00000109519.12,chr4,7067970,7068113,TSS,True,50,145
ENSG00000249532.5,chr4,112646720,112646968,PAS,True,21,140
ENSG00000249532.5,chr4,112648653,112648700,TSS,True,48,140
ENSG00000249532.5,chr4,112647414,112647874,TSS,True,113,140
ENSG00000138801.8,chr4,107720119,107720395,TSS,False,21,122
ENSG00000163682.16,chr4,39458890,39458946,TSS,True,146,581
ENSG00000163682.16,chr4,39458393,39458911,TSS,True,456,581
ENSG00000163956.11,chr4,3532208,3532446,TSS,True,47,110
ENSG00000164111.14,chr4,121696862,121697063,TSS,True,38,275
ENSG00000164111.14,chr4,121678414,121678920,TSS,True,243,273
ENSG00000197894.10,chr4,99088688,99088790,TSS,True,114,1039
PB_novel_213202,chr4,87922400,87924129,3AS,True,90,126
PB_novel_213202,chr4,87922400,87924129,IR,True,90,101
PB_novel_213202,chr4,87922400,87924258,3AS,True,34,160
PB_novel_213202,chr4,87922400,87924311,3AS,True,37,197
PB_novel_213202,chr4,87922400,87926696,ES,True,62,192
PB_novel_213202,chr4,87922400,87931374,ES,True,130,234
PB_novel_213202,chr4,87924394,87926723,3AS,True,24,160
PB_novel_213202,chr4,87922075,87922400,TSS,True,46,454
PB_novel_213202,chr4,87931374,87934278,PAS,True,182,427
PB_novel_213202,chr4,87926696,87929135,PAS,True,285,426
ENSG00000164104.11,chr4,173334271,173334447,TSS,False,69,624
ENSG00000109606.12,chr4,24584322,24584621,TSS,True,18,119
PB_novel_213369,chr4,186242329,186247070,3AS,True,48,116
PB_novel_213369,chr4,186241993,186242329,PAS,True,161,239
PB_novel_213369,chr4,186241993,186242332,PAS,True,148,239
PB_novel_213369,chr4,186247070,186247322,TSS,True,117,239
PB_novel_213369,chr4,186247284,186247323,TSS,True,192,239
ENSG00000109475.16,chr4,108620535,108620600,TSS,False,730,2801
ENSG00000109475.16,chr4,108620576,108622024,TSS,True,2372,2801
ENSG00000163743.13,chr4,75514196,75514426,TSS,True,14,104
ENSG00000198498.9,chr4,163494454,163494804,TSS,True,74,275
ENSG00000198498.9,chr4,163515362,163515461,TSS,True,202,265
ENSG00000109332.19,chr4,102827426,102827835,TSS,True,108,164
ENSG00000109332.19,chr4,102826484,102827192,TSS,True,142,163
ENSG00000109332.19,chr4,102827943,102828141,TSS,False,142,164
ENSG00000109332.19,chr4,102827591,102827920,TSS,True,140,164
ENSG00000174780.16,chr4,56467572,56467744,TSS,True,26,185
ENSG00000174780.16,chr4,56501683,56503681,PAS,True,80,180
ENSG00000174780.16,chr4,56483138,56484017,PAS,True,125,159
ENSG00000174780.16,chr4,56495356,56495395,PAS,False,145,178
ENSG00000151729.10,chr4,185143253,185143483,TSS,True,24,106
ENSG00000151729.10,chr4,185143266,185145250,TSS,True,94,106
ENSG00000198301.11,chr4,75948037,75950797,PAS,True,90,104
ENSG00000198301.11,chr4,75971355,75971458,PAS,False,23,100
ENSG00000198301.11,chr4,75990751,75990970,TSS,True,18,105
ENSG00000138757.14,chr4,75673207,75673440,TSS,True,66,112
ENSG00000138757.14,chr4,75724275,75725315,TSS,True,99,120
ENSG00000109534.16,chr4,109815508,109815804,TSS,True,95,135
ENSG00000109534.16,chr4,109816151,109816378,TSS,True,116,135
ENSG00000109534.16,chr4,109824417,109824741,PAS,True,54,135
ENSG00000269893.6,chr4,118278757,118278792,TSS,True,68,110
ENSG00000269893.6,chr4,118278757,118279137,TSS,True,44,110
ENSG00000178988.10,chr4,6709230,6709883,TSS,True,22,106
ENSG00000178988.10,chr4,6709225,6709883,TSS,True,94,106
ENSG00000138668.18,chr4,82355401,82356795,ES,False,105,192
ENSG00000138668.18,chr4,82359639,82373445,ES,False,37,146
ENSG00000138668.18,chr4,82373445,82374086,TSS,True,252,399
ENSG00000138668.18,chr4,82355303,82355380,TSS,True,259,398
ENSG00000138668.18,chr4,82356536,82356600,TSS,True,346,398
ENSG00000118579.12,chr4,17614624,17614813,TSS,True,60,142
ENSG00000163319.10,chr4,83456958,83459739,ES,False,22,137
ENSG00000002549.12,chr4,17577191,17577567,TSS,True,21,111
ENSG00000078140.13,chr4,39698116,39698390,TSS,True,36,168
ENSG00000109084.13,chr17,28319365,28325507,3AS,True,18,139
ENSG00000161960.14,chr17,7572772,7572864,TSS,True,226,1926
ENSG00000161970.14,chr17,8382315,8382861,5AS,False,94,246
ENSG00000161970.14,chr17,8383156,8383197,TSS,False,357,2610
ENSG00000132591.11,chr17,28854967,28855317,TSS,True,32,165
ENSG00000132591.11,chr17,28859215,28859283,TSS,True,133,163
ENSG00000167699.13,chr17,782165,782343,TSS,False,32,103
ENSG00000243678.11,chr17,51166265,51166497,TSS,True,95,470
ENSG00000121064.12,chr17,56978096,56978235,TSS,True,32,114
ENSG00000121064.12,chr17,57000937,57000992,TSS,True,85,112
ENSG00000213246.6,chr17,58351508,58352066,5AS,False,146,180
ENSG00000213246.6,chr17,58352064,58352221,TSS,True,190,222
ENSG00000213246.6,chr17,58352066,58352222,TSS,False,76,222
ENSG00000219200.11,chr17,7012757,7013665,5AS,False,46,350
ENSG00000219200.11,chr17,7012575,7012761,TSS,True,53,357
ENSG00000219200.11,chr17,7012622,7012757,TSS,True,310,357
ENSG00000183010.16,chr17,81933376,81934652,ES,False,28,188
ENSG00000183010.16,chr17,81936861,81937261,5AS,False,56,108
ENSG00000183010.16,chr17,81937261,81937328,TSS,True,153,209
ENSG00000183010.16,chr17,81936747,81937288,TSS,True,146,209
ENSG00000183010.16,chr17,81937241,81937269,TSS,True,155,209
ENSG00000131462.7,chr17,42609647,42609786,TSS,True,19,156
ENSG00000108671.10,chr17,32444460,32444614,TSS,True,105,332
ENSG00000108671.10,chr17,32480499,32480631,TSS,True,270,328
ENSG00000129195.15,chr17,6444410,6444488,TSS,True,41,163
ENSG00000094804.10,chr17,40287837,40288090,TSS,True,22,144
ENSG00000258315.5,chr17,7017014,7017260,3AS,False,119,158
ENSG00000258315.5,chr17,7017256,7017522,PAS,True,123,172
ENSG00000258315.5,chr17,7017260,7017524,PAS,True,50,172
ENSG00000166260.11,chr17,54962915,54963305,IR,False,106,121
ENSG00000166260.11,chr17,54961208,54962915,PAS,False,21,127
ENSG00000166260.11,chr17,54959634,54963431,PAS,True,112,127
ENSG00000266402.3,chr17,64145995,64146229,5AS,False,47,107
ENSG00000266402.3,chr17,64145969,64146000,TSS,True,84,143
ENSG00000266402.3,chr17,64145969,64145995,TSS,False,95,143
ENSG00000266402.3,chr17,64146229,64146309,PAS,True,36,143
ENSG00000169689.14,chr17,82019219,82019307,5AS,False,22,212
ENSG00000169689.14,chr17,82019381,82019857,ES,False,117,219
ENSG00000239672.7,chr17,51153558,51153662,TSS,True,141,806
ENSG00000108946.14,chr17,68512399,68512548,TSS,True,76,116
ENSG00000108946.14,chr17,68518544,68522926,TSS,True,57,114
ENSG00000108946.14,chr17,68530276,68533431,PAS,True,32,111
ENSG00000108946.14,chr17,68551083,68551321,PAS,False,88,116
ENSG00000170315.13,chr17,16381061,16381184,TSS,True,150,1419
ENSG00000108826.15,chr17,50373130,50373196,TSS,True,28,170
ENSG00000108468.14,chr17,48101267,48101527,TSS,True,80,141
ENSG00000108468.14,chr17,48076864,48077044,TSS,True,125,141
ENSG00000129235.10,chr17,6641152,6641752,5AS,False,36,291
ENSG00000129235.10,chr17,6641006,6641152,TSS,True,272,308
ENSG00000129235.10,chr17,6640996,6641227,TSS,True,49,308
ENSG00000108518.7,chr17,4948262,4949933,TSS,True,81,109
ENSG00000108518.7,chr17,4946627,4946771,TSS,True,68,109
ENSG00000181885.18,chr17,7261820,7263184,TSS,True,38,298
ENSG00000108651.9,chr17,31901535,31901757,TSS,True,18,138
ENSG00000159199.13,chr17,48892759,48892840,TSS,False,80,307
ENSG00000159199.13,chr17,48892835,48892910,TSS,False,253,307
ENSG00000091640.7,chr17,4967719,4968723,TSS,True,26,203
ENSG00000125691.12,chr17,38853697,38853764,TSS,True,50,408
ENSG00000108829.9,chr17,50397212,50397565,TSS,True,65,118
ENSG00000108848.15,chr17,50737026,50740305,ES,False,91,103
ENSG00000108848.15,chr17,50719561,50719831,TSS,True,17,120
ENSG00000108848.15,chr17,50752199,50756198,PAS,True,85,120
ENSG00000108848.15,chr17,50745719,50745888,PAS,True,51,104
ENSG00000136504.11,chr17,49814982,49815074,TSS,True,26,116
