gene,chr,start,end,splice_type,novel,K562_ENCFF645UVN_in_cov,K562_ENCFF645UVN_total_cov
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,351,418
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,301,583
ENSG00000159086.14,chr21,32751218,32755229,5AS,False,116,129
ENSG00000159086.14,chr21,32733823,32735067,PAS,True,55,156
ENSG00000159086.14,chr21,32741338,32741622,PAS,True,126,155
ENSG00000159086.14,chr21,32771325,32771990,TSS,True,25,156
ENSG00000156261.12,chr21,29073530,29073726,TSS,True,450,2620
ENSG00000156261.12,chr21,29070246,29073644,TSS,True,2283,2620
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,98,110
ENSG00000182871.14,chr21,45505831,45505966,TSS,True,90,105
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,90,105
ENSG00000142166.12,chr21,33324903,33325131,TSS,True,25,168
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,17,153
ENSG00000173638.18,chr21,45512550,45516140,PAS,True,29,275
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,426,485
ENSG00000173638.18,chr21,45531388,45532150,TSS,False,411,485
ENSG00000173638.18,chr21,45537770,45538012,TSS,True,430,485
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,155,446
ENSG00000160193.11,chr21,42843432,42850242,PAS,True,269,403
ENSG00000160193.11,chr21,42879406,42879579,TSS,False,107,446
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,49,211
ENSG00000160305.17,chr21,46458077,46459222,TSS,True,61,100
ENSG00000160305.17,chr21,46570629,46572903,PAS,True,87,100
ENSG00000159128.14,chr21,33403372,33403616,TSS,True,18,177
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,74,113
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,63,113
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,90,159
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,84,159
ENSG00000160201.11,chr21,43095743,43104314,ME,False,66,334
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,142,488
ENSG00000241945.7,chr21,44107234,44107434,TSS,True,134,338
ENSG00000273590.4,chr21,7744956,7745038,TSS,True,68,107
ENSG00000160216.18,chr21,43865118,43865345,TSS,False,130,171
ENSG00000156273.15,chr21,29298773,29298953,TSS,False,66,128
ENSG00000156273.15,chr21,29326313,29327393,TSS,True,95,125
ENSG00000156273.15,chr21,29342398,29346151,PAS,False,19,120
ENSG00000279669.1,chr21,5232924,5243702,ES,True,98,122
ENSG00000279669.1,chr21,5232668,5232924,PAS,False,26,150
ENSG00000279669.1,chr21,5243702,5243837,TSS,False,141,270
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,172,408
ENSG00000142207.6,chr21,32346955,32347734,TSS,True,146,301
ENSG00000160221.17,chr21,44133609,44133838,TSS,True,45,156
ENSG00000160221.17,chr21,44144820,44145712,PAS,True,49,156
ENSG00000160221.17,chr21,44141163,44145708,PAS,False,120,134
ENSG00000274276.4,chr21,6454630,6455020,TSS,True,119,142
ENSG00000183527.11,chr21,39178647,39180284,ES,False,67,450
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,873,1330
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,618,1332
ENSG00000160194.17,chr21,42893216,42893381,TSS,True,24,110
ENSG00000160194.17,chr21,42903189,42904276,TSS,True,95,108
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,146,175
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,30,158
ENSG00000142188.16,chr21,33479837,33480007,TSS,True,18,175
ENSG00000156256.14,chr21,29036374,29037278,3AS,False,41,111
ENSG00000156256.14,chr21,29024636,29024777,TSS,True,16,125
ENSG00000156256.14,chr21,29054065,29054498,PAS,False,54,124
ENSG00000156256.14,chr21,29037275,29037354,PAS,True,83,118
ENSG00000156256.14,chr21,29037278,29037342,PAS,True,105,118
ENSG00000243927.5,chr21,34073745,34125340,ES,False,95,110
ENSG00000243927.5,chr21,34073513,34073745,TSS,True,19,152
ENSG00000275895.6,chr21,6487412,6495992,ME,False,66,339
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,170,525
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,370,1530
ENSG00000159147.17,chr21,33582055,33584589,ES,False,33,303
ENSG00000159147.17,chr21,33588320,33588838,TSS,True,55,340
ENSG00000159259.7,chr21,36385361,36385451,TSS,False,51,227
ENSG00000159259.7,chr21,36416274,36417064,PAS,False,38,215
ENSG00000159259.7,chr21,36397742,36398723,PAS,False,164,197
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,27,248
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,116,264
ENSG00000160284.14,chr21,46184355,46184486,TSS,True,57,225
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,105,430
ENSG00000154719.13,chr21,25607402,25607522,TSS,True,75,243
ENSG00000154719.13,chr21,25606448,25606657,TSS,True,218,243
ENSG00000154719.13,chr21,25592811,25592938,TSS,True,200,243
ENSG00000160285.14,chr21,46195756,46205835,ES,True,33,288
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,289,326
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,170,325
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,292,325
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,214,246
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,45,232
ENSG00000135930.13,chr2,232556530,232564246,ES,False,12,118
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,38,142
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,51,128
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,93,128
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,70,200
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,131,199
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,57,147
ENSG00000071054.16,chr2,101859864,101864929,ES,False,106,156
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,32,167
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,122,166
ENSG00000071054.16,chr2,101870415,101873646,ES,False,108,167
ENSG00000071054.16,chr2,101887237,101887777,5AS,False,137,170
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,73,225
ENSG00000071054.16,chr2,101891165,101894689,PAS,True,30,202
ENSG00000071054.16,chr2,101855976,101856832,PAS,True,158,178
ENSG00000222041.11,chr2,87455422,87455645,TSS,True,44,155
ENSG00000222041.11,chr2,87521206,87521509,PAS,True,21,119
ENSG00000222041.11,chr2,87583257,87585724,PAS,True,116,130
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,347,1966
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,488,1967
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,209,1845
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,570,3160
ENSG00000187514.16,chr2,231711414,231711983,TSS,True,2826,3160
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,82,200
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,31,167
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,655,1338
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,14,133
ENSG00000115761.15,chr2,10689795,10689996,TSS,True,29,134
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,113,857
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,37,215
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,41,170
ENSG00000119787.13,chr2,38293948,38298575,PAS,True,91,105
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,73,170
ENSG00000119787.13,chr2,38298143,38298561,TSS,True,129,170
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,87,107
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,47,325
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,52,261
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,208,256
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,80,184
ENSG00000204843.12,chr2,74367970,74368498,TSS,False,152,184
ENSG00000084693.15,chr2,27051642,27051793,TSS,True,47,113
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,120,868
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,194,837
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,27,179
ENSG00000115355.16,chr2,55287841,55291164,PAS,True,132,147
ENSG00000115355.16,chr2,55334233,55335164,PAS,True,15,116
ENSG00000115355.16,chr2,55419016,55419995,TSS,True,36,149
ENSG00000180902.17,chr2,241744877,241767709,ES,True,15,110
ENSG00000180902.17,chr2,241734573,241734695,TSS,True,82,163
ENSG00000180902.17,chr2,241742426,241742574,TSS,True,141,163
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,65,357
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,58,110
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,94,110
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,133,491
ENSG00000144136.10,chr2,112645939,112647162,TSS,True,440,491
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,76,697
ENSG00000152133.14,chr2,37084476,37084570,TSS,True,27,126
ENSG00000152133.14,chr2,37084521,37088440,TSS,True,109,126
ENSG00000152133.14,chr2,37096207,37099244,PAS,False,20,121
ENSG00000138031.14,chr2,24820114,24820723,ES,True,85,104
ENSG00000138031.14,chr2,24819163,24820114,PAS,True,20,127
ENSG00000138031.14,chr2,24919682,24920614,TSS,False,137,168
ENSG00000138031.14,chr2,24918312,24919187,TSS,True,138,168
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,266,392
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,445,599
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,392,731
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,439,697
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,331,749
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,595,749
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,90,101
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,46,101
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,152,1167
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,51,101
ENSG00000183513.8,chr2,98604107,98608481,TSS,True,85,101
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,65,265
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,231,1789
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,182,317
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,228,317
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,282,317
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,226,326
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,259,326
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,291,326
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,623,759
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,142,770
ENSG00000163006.11,chr2,108786915,108788031,5AS,True,91,105
ENSG00000163006.11,chr2,108816105,108846737,ES,True,16,111
ENSG00000163006.11,chr2,108856970,108876087,ES,False,24,107
ENSG00000163006.11,chr2,108786738,108786915,TSS,True,29,120
ENSG00000163006.11,chr2,108786747,108786933,TSS,True,105,120
ENSG00000172965.15,chr2,111203189,111208661,PAS,True,95,131
ENSG00000172965.15,chr2,111494884,111495118,TSS,True,66,137
ENSG00000032389.12,chr2,3377647,3377973,TSS,True,62,181
ENSG00000135945.9,chr2,99449504,99462495,ES,False,95,110
ENSG00000135945.9,chr2,99400473,99401352,PAS,True,92,133
ENSG00000135945.9,chr2,99403037,99403106,PAS,True,85,133
ENSG00000135945.9,chr2,99437006,99439310,PAS,True,87,121
ENSG00000135945.9,chr2,99489816,99490218,TSS,True,15,134
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,156,282
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,171,277
ENSG00000168497.4,chr2,191846442,191847090,TSS,False,113,313
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,48,224
ENSG00000136542.8,chr2,157257577,157259536,TSS,False,60,562
ENSG00000168906.12,chr2,85543034,85543669,IR,True,119,159
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,152,283
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,45,160
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,128,158
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,56,238
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,197,225
ENSG00000065911.11,chr2,74198742,74205704,ES,True,571,745
ENSG00000143797.11,chr2,9003539,9003882,TSS,True,49,235
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,503,563
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,124,563
ENSG00000136732.15,chr2,126656312,126693863,ES,False,27,142
ENSG00000136732.15,chr2,126655856,126656312,TSS,True,308,462
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,91,207
ENSG00000124831.18,chr2,237708630,237748363,ES,False,121,135
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,50,192
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,32,125
ENSG00000196950.13,chr2,195734882,195737704,PAS,False,18,119
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,414,472
ENSG00000018699.12,chr2,32628004,32628380,TSS,True,157,376
ENSG00000138442.9,chr2,202911435,202912409,TSS,False,71,402
ENSG00000077232.17,chr2,182732542,182740298,ES,False,34,251
ENSG00000115694.14,chr2,241499414,241500172,IR,False,136,152
ENSG00000115694.14,chr2,241498988,241499128,TSS,True,239,295
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,221,295
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,254,295
ENSG00000168385.17,chr2,241315982,241324215,ES,False,623,752
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,271,1042
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,324,380
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,232,380
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,318,923
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,43,103
ENSG00000119760.15,chr2,27660983,27661378,TSS,True,86,103
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,88,103
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,116,131
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,42,134
ENSG00000144320.13,chr2,176002159,176002326,TSS,True,32,112
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,206,502
ENSG00000168894.9,chr2,85596649,85597103,ES,True,18,159
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,45,134
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,69,134
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,74,122
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,1309,2044
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,1570,2044
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,1298,2044
ENSG00000119041.10,chr2,196799509,196799723,TSS,True,16,136
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,64,203
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,158,203
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,147,459
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,58,109
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,76,109
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,129,244
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,200,240
ENSG00000144354.13,chr2,173354819,173354984,TSS,True,69,314
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,105,260
ENSG00000170035.15,chr2,180981043,180982236,TSS,True,188,260
ENSG00000115163.14,chr2,26792240,26793144,ES,False,17,159
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,84,189
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,27,234
ENSG00000144485.10,chr2,238239251,238239486,IR,False,106,266
ENSG00000144485.10,chr2,238238266,238239568,PAS,True,122,279
ENSG00000144485.10,chr2,238238266,238239251,PAS,True,168,280
ENSG00000144485.10,chr2,238239824,238240038,TSS,True,186,451
ENSG00000055044.10,chr2,202265235,202265986,TSS,True,129,453
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,168,353
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,204,353
ENSG00000138050.14,chr2,39755960,39761330,ES,False,93,112
ENSG00000138050.14,chr2,39736154,39737059,PAS,True,15,128
ENSG00000138050.14,chr2,39779113,39779270,TSS,True,22,134
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,55,199
ENSG00000115364.13,chr2,75647071,75647219,TSS,True,174,199
ENSG00000115364.13,chr2,75655063,75662204,PAS,True,21,174
ENSG00000115364.13,chr2,75652141,75652199,PAS,True,153,172
ENSG00000075340.22,chr2,70656789,70663735,PAS,True,24,114
ENSG00000075340.22,chr2,70683590,70683719,TSS,True,140,157
ENSG00000075340.22,chr2,70678703,70678787,TSS,True,134,157
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,26,145
ENSG00000163170.11,chr2,74135658,74145188,ES,False,200,515
ENSG00000163170.11,chr2,74147820,74147923,TSS,True,232,553
ENSG00000163170.11,chr2,74145188,74145300,TSS,True,357,553
ENSG00000138092.10,chr2,24793134,24793501,TSS,True,107,141
ENSG00000138092.10,chr2,24793141,24793520,TSS,True,122,141
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,34,285
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,84,601
ENSG00000144043.11,chr2,70994687,70994882,TSS,False,67,115
ENSG00000187699.10,chr2,190180438,190181109,TSS,False,53,196
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,32,128
ENSG00000184182.18,chr2,238030553,238030613,TSS,True,112,128
ENSG00000138399.17,chr2,169537340,169540050,ES,False,35,180
ENSG00000138399.17,chr2,169563350,169571652,ES,False,36,188
ENSG00000138399.17,chr2,169528115,169529926,PAS,True,26,223
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,62,235
ENSG00000169016.16,chr2,11453798,11457178,ES,False,74,100
ENSG00000169016.16,chr2,11453798,11465771,ES,False,13,113
ENSG00000169016.16,chr2,11457233,11465771,ES,False,80,106
ENSG00000169016.16,chr2,11465771,11466247,TSS,True,20,140
ENSG00000138069.17,chr2,65129892,65130116,TSS,True,54,383
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,133,546
ENSG00000243147.7,chr2,27772692,27779432,ES,False,42,112
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,107,227
ENSG00000197713.14,chr2,210002567,210002783,TSS,True,30,181
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,339,474
ENSG00000144028.14,chr2,96286310,96286592,TSS,True,431,483
ENSG00000138081.20,chr2,47806751,47808247,PAS,True,13,102
ENSG00000138081.20,chr2,47905488,47906533,TSS,True,22,106
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,96,117
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,59,165
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,143,165
ENSG00000003436.15,chr2,187503770,187554199,ES,False,133,201
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,73,280
ENSG00000003436.15,chr2,187467752,187467806,TSS,True,224,260
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,46,111
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,85,111
ENSG00000136560.13,chr2,161235341,161236211,PAS,True,22,110
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,59,161
ENSG00000071575.11,chr2,12724628,12724825,PAS,False,129,146
ENSG00000071575.11,chr2,12740325,12742734,PAS,False,20,146
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,325,1462
ENSG00000163029.15,chr2,17745951,17753625,ES,False,205,254
ENSG00000163029.15,chr2,17663582,17665613,PAS,True,99,277
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,213,275
ENSG00000163029.15,chr2,17753625,17754596,TSS,True,29,283
ENSG00000144034.14,chr2,73732285,73734428,ES,False,95,123
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,32,105
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,46,155
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,87,163
ENSG00000138434.16,chr2,181915344,181916427,TSS,True,72,102
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,63,160
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,35,211
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,96,126
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,580,706
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,199,706
ENSG00000118640.10,chr2,85577531,85577649,TSS,True,26,158
ENSG00000185414.19,chr2,99181078,99181249,TSS,True,105,207
ENSG00000153574.8,chr2,88691643,88691983,TSS,False,34,114
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,33,140
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,50,134
ENSG00000115216.13,chr2,27432127,27433483,TSS,True,120,134
ENSG00000123983.13,chr2,222887888,222908732,ES,False,231,298
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,36,343
ENSG00000065802.11,chr2,238426765,238427119,TSS,True,40,106
ENSG00000065802.11,chr2,238444338,238444727,TSS,True,95,106
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,120,442
ENSG00000158417.10,chr2,99361162,99361820,TSS,True,190,239
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,224,383
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,276,331
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,194,323
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,389,439
ENSG00000136699.19,chr2,130157396,130164373,ES,False,78,104
ENSG00000136699.19,chr2,130154276,130154465,TSS,True,230,312
ENSG00000136699.19,chr2,130172348,130172462,TSS,True,273,312
ENSG00000124383.8,chr2,71130320,71130754,TSS,False,40,233
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,53,233
ENSG00000171853.15,chr2,3379682,3379876,TSS,True,123,149
ENSG00000171853.15,chr2,3386936,3388670,TSS,False,75,149
ENSG00000171853.15,chr2,3479218,3480457,PAS,True,17,116
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,86,175
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,15,133
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,43,109
ENSG00000115365.11,chr2,210477449,210477602,TSS,False,95,109
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,38,136
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,76,181
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,133,209
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,108,209
ENSG00000123485.11,chr2,233854383,233854574,TSS,True,41,219
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,62,288
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,348,574
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,512,574
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,47,376
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,31,178
ENSG00000171865.9,chr2,3558132,3558375,TSS,False,117,363
ENSG00000144021.2,chr2,96268658,96269267,IR,False,398,446
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,67,510
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,316,1783
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,155,187
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,25,180
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,114,317
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,230,745
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,57,141
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,53,111
ENSG00000182551.13,chr2,3519367,3519566,TSS,False,37,175
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,152,1414
ENSG00000085760.14,chr2,55263865,55267568,ES,False,192,228
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,30,272
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,101,282
ENSG00000085760.14,chr2,55268816,55269248,TSS,True,248,282
ENSG00000082258.12,chr2,134918279,134919012,TSS,True,12,103
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,122,554
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,28,152
ENSG00000135972.8,chr2,105038053,105038227,TSS,False,30,222
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,41,290
ENSG00000153107.12,chr2,111767636,111769406,PAS,True,18,161
ENSG00000153107.12,chr2,111883941,111884318,TSS,True,111,179
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,25,192
ENSG00000144231.10,chr2,127848185,127858027,ME,True,35,107
ENSG00000144231.10,chr2,127850685,127858027,ES,True,70,565
