gene,chr,start,end,splice_type,novel,right_cardiac_atrium_ENCFF911RNV_in_cov,right_cardiac_atrium_ENCFF911RNV_total_cov
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,90,186
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,132,186
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,201,342
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,158,359
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,219,359
ENSG00000162980.16,chr2,151828130,151828509,TSS,True,25,229
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,23,136
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,22,170
ENSG00000171303.6,chr2,26724232,26724560,TSS,True,106,129
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,252,1762
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,86,597
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,200,545
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,354,530
ENSG00000180228.12,chr2,178447586,178450965,ES,True,55,323
ENSG00000138363.14,chr2,215312161,215312497,IR,False,196,242
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,71,267
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,219,267
ENSG00000072195.14,chr2,219460063,219460996,TSS,False,110,162
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,87,153
ENSG00000115183.14,chr2,159001189,159065895,ES,True,301,345
ENSG00000115183.14,chr2,159136298,159163282,ES,True,41,125
ENSG00000115183.14,chr2,159169351,159170523,5AS,True,47,174
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,157,504
ENSG00000115183.14,chr2,159194276,159194493,TSS,True,249,280
ENSG00000115183.14,chr2,159225687,159226174,PAS,True,408,474
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,336,477
ENSG00000115183.14,chr2,159089583,159092504,PAS,True,174,362
ENSG00000144199.11,chr2,97091712,97094700,ES,False,34,141
ENSG00000155657.26,chr2,178786141,178792071,ES,True,60,493
ENSG00000155657.26,chr2,178789497,178790707,ES,True,85,291
ENSG00000155657.26,chr2,178789497,178792071,ME,True,83,175
ENSG00000155657.26,chr2,178789497,178792071,ES,False,86,460
ENSG00000155657.26,chr2,178790115,178792071,ES,False,95,299
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,920,3775
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,19,133
ENSG00000155657.26,chr2,178629300,178629691,TSS,True,374,422
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,1028,4659
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,258,670
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,431,666
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,53,404
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,361,404
ENSG00000144224.16,chr2,135753567,135754158,IR,False,98,110
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,24,136
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,101,117
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,31,129
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,108,151
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,72,142
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,25,153
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,22,216
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,16,131
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,26,255
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,254,1846
ENSG00000163359.15,chr2,237324016,237324814,PAS,True,72,131
ENSG00000163359.15,chr2,237413952,237414379,TSS,True,98,132
ENSG00000138078.15,chr2,44346390,44361416,5AS,False,20,114
ENSG00000138078.15,chr2,44361523,44362808,TSS,True,164,219
ENSG00000138078.15,chr2,44361379,44361547,TSS,True,124,219
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,66,154
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,115,154
ENSG00000121964.14,chr2,144208602,144332593,TSS,True,43,106
ENSG00000121964.14,chr2,144332438,144332602,TSS,True,72,106
ENSG00000003402.19,chr2,201160942,201162995,ME,True,19,104
ENSG00000003402.19,chr2,201160942,201162995,ES,True,176,280
ENSG00000003402.19,chr2,201160942,201163834,ES,True,88,120
ENSG00000003402.19,chr2,201160942,201163834,3AS,True,88,339
ENSG00000003402.19,chr2,201164052,201167153,5AS,True,14,123
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,272,576
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,415,576
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,424,528
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,430,543
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,402,535
ENSG00000003402.19,chr2,201167153,201169639,PAS,True,442,564
ENSG00000132323.8,chr2,238188257,238189852,IR,True,122,143
ENSG00000132323.8,chr2,238194331,238194804,5AS,False,142,161
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,135,209
ENSG00000136718.9,chr2,130342935,130343085,IR,False,135,167
ENSG00000136718.9,chr2,130342962,130343085,IR,False,74,106
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,126,261
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,187,261
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,227,261
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,312,1365
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1088,1365
ENSG00000119801.12,chr2,30147062,30156627,ES,False,223,267
ENSG00000151689.12,chr2,190343961,190360038,ES,False,159,204
ENSG00000151689.12,chr2,190343583,190343961,TSS,False,32,237
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,157,182
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,241,282
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,146,282
ENSG00000123989.13,chr2,219540945,219541087,TSS,True,226,275
ENSG00000136709.11,chr2,127701026,127706552,PAS,False,94,117
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,30,102
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,81,101
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,24,125
ENSG00000138071.13,chr2,65239962,65246523,3AS,True,114,138
ENSG00000175084.11,chr2,219420660,219420834,3AS,True,74,148
ENSG00000175084.11,chr2,219421560,219425634,3AS,True,107,181
ENSG00000175084.11,chr2,219423820,219425669,IR,True,29,143
ENSG00000175084.11,chr2,219423824,219425662,IR,True,53,113
ENSG00000175084.11,chr2,219425745,219425956,IR,True,26,107
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,154,185
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,58,185
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,108,146
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,44,152
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,115,152
ENSG00000115993.12,chr2,201377206,201381218,PAS,False,46,312
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,87,351
ENSG00000138443.15,chr2,203395780,203402575,ES,False,59,117
ENSG00000138443.15,chr2,203402734,203416907,ES,False,62,150
ENSG00000138443.15,chr2,203328259,203328631,TSS,True,98,171
ENSG00000138443.15,chr2,203394701,203394846,TSS,False,149,170
ENSG00000138443.15,chr2,203395651,203395780,TSS,True,148,170
ENSG00000138443.15,chr2,203402576,203402734,TSS,False,145,170
ENSG00000180398.12,chr2,46907969,46915722,ES,False,59,172
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,65,240
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,54,424
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,85,424
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,194,452
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,248,507
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,303,507
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,99,260
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,196,247
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,202,245
ENSG00000115306.15,chr2,54663518,54664691,TSS,True,104,130
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,170,207
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,132,198
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,134,240
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,58,131
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,96,175
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,109,175
ENSG00000075292.18,chr2,71422813,71423740,PAS,True,139,172
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,110,169
ENSG00000186522.14,chr2,109544324,109546049,IR,True,199,255
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,66,273
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,212,268
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,827,1075
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,385,1075
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,134,1163
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,622,1742
ENSG00000068615.18,chr2,86337478,86337795,TSS,True,32,106
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,78,313
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,261,313
ENSG00000049323.15,chr2,33252844,33257442,3AS,False,78,144
ENSG00000049323.15,chr2,33315269,33347366,ES,False,92,190
ENSG00000049323.15,chr2,33134499,33134960,TSS,True,183,236
ENSG00000049323.15,chr2,33360596,33360637,PAS,True,103,207
ENSG00000049323.15,chr2,33398363,33399509,PAS,True,119,232
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,55,343
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,304,343
ENSG00000115602.16,chr2,102342294,102343077,3AS,False,17,160
ENSG00000196843.15,chr2,96547517,96549752,ES,False,92,160
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,151,256
ENSG00000115042.9,chr2,95402872,95405552,ES,False,56,109
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,47,157
