gene,chr,start,end,splice_type,novel,heart_right_ventricle_ENCFF018PZX_in_cov,heart_right_ventricle_ENCFF018PZX_total_cov
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,34,190
ENSG00000180228.12,chr2,178447586,178450965,ES,True,12,101
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,29,115
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,82,108
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,62,472
ENSG00000114948.12,chr2,206443352,206444080,TSS,True,46,161
ENSG00000155657.26,chr2,178525988,178527307,PAS,True,881,1065
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,119,464
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,32,205
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,652,1072
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,55,188
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,138,186
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,32,189
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,13,100
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,39,300
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,266,300
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,66,167
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,35,202
ENSG00000135617.3,chr2,73233093,73233262,TSS,True,31,140
ENSG00000135617.3,chr2,73228794,73228959,TSS,True,111,140
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,70,136
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,117,136
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,68,107
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,91,113
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,89,112
ENSG00000142330.19,chr2,240584888,240587052,TSS,True,60,149
ENSG00000142330.19,chr2,240596187,240596942,TSS,True,124,147
ENSG00000142330.19,chr2,240598650,240599109,PAS,True,14,136
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,54,193
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,150,193
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,78,113
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,74,113
ENSG00000173272.15,chr2,131469722,131470343,PAS,True,186,229
ENSG00000173272.15,chr2,131483959,131484218,PAS,True,38,201
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,62,230
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,28,100
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,79,100
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,48,106
ENSG00000115993.12,chr2,201407402,201407543,TSS,True,92,105
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,36,176
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,76,205
ENSG00000136536.14,chr2,159762993,159767283,ES,False,54,224
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,97,229
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,141,229
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,219,255
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,214,254
ENSG00000115306.15,chr2,54469890,54469986,TSS,True,214,272
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,117,227
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,175,216
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,183,255
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,100,812
ENSG00000142327.12,chr2,240575610,240576567,3AS,False,17,152
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,76,199
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,46,433
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,477,885
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,163,665
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,551,665
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,80,170
ENSG00000115840.13,chr2,171894202,171894530,TSS,True,37,209
ENSG00000115641.18,chr2,105367569,105367716,TSS,True,988,1106
ENSG00000115641.18,chr2,105438398,105438583,TSS,True,244,1116
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,47,255
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,23,161
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,19,110
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,132,176
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,97,552
ENSG00000119729.11,chr2,46543413,46543812,TSS,True,477,552
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,101,161
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,20,143
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,81,172
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,112,172
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,26,133
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,17,116
ENSG00000168958.19,chr2,227325427,227330625,ES,False,24,118
ENSG00000168958.19,chr2,227340380,227352513,ES,False,12,117
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,79,116
ENSG00000152086.8,chr2,130195078,130195231,TSS,True,52,172
ENSG00000152086.8,chr2,130193785,130194412,TSS,True,137,172
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,18,100
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,30,185
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,127,309
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,212,309
ENSG00000179526.16,chr8,144098629,144098788,PAS,False,16,121
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,24,122
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,13,127
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,23,127
ENSG00000023287.12,chr8,52642765,52642812,PAS,True,101,136
ENSG00000023287.12,chr8,52645323,52645867,PAS,True,120,136
ENSG00000023287.12,chr8,52656119,52657908,PAS,False,64,136
ENSG00000008513.15,chr8,133476074,133476277,IR,False,111,160
ENSG00000008513.15,chr8,133476600,133545773,ES,False,17,153
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,126,281
ENSG00000008513.15,chr8,133475718,133476600,TSS,True,244,279
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,87,127
ENSG00000168300.13,chr8,51845763,51898929,ES,False,22,194
ENSG00000184489.11,chr8,141418018,141421387,5AS,True,84,100
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,46,341
ENSG00000184489.11,chr8,141427069,141430926,ES,False,59,471
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,354,534
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,413,534
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,443,534
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,82,414
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,57,302
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,31,202
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,76,101
ENSG00000187954.12,chr8,144465207,144465437,TSS,True,90,110
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,14,100
ENSG00000198363.17,chr8,61643433,61644599,ES,False,26,100
ENSG00000198363.17,chr8,61644632,61651049,ES,False,26,100
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,90,119
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,54,116
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,34,120
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,92,120
ENSG00000134020.7,chr8,22920183,22920280,TSS,True,131,159
ENSG00000134020.7,chr8,22927822,22928009,TSS,False,39,163
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,576,1639
ENSG00000036448.9,chr8,2085267,2085390,TSS,True,1394,1626
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,57,104
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,74,106
ENSG00000123124.13,chr8,86342930,86374029,ES,True,34,122
ENSG00000123124.13,chr8,86398479,86398574,3AS,True,18,118
ENSG00000123124.13,chr8,86342525,86342930,TSS,True,33,156
ENSG00000176623.11,chr8,86508491,86508770,TSS,True,19,149
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,566,853
ENSG00000164733.20,chr8,11853479,11868000,ME,False,98,111
ENSG00000164733.20,chr8,11853479,11868000,ME,False,98,111
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,140,274
ENSG00000185122.10,chr8,144313823,144313911,TSS,True,232,271
ENSG00000185122.10,chr8,144313905,144314054,TSS,True,211,271
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,17,129
ENSG00000179950.13,chr8,143818534,143821596,ES,False,80,170
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,24,147
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,39,202
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,21,104
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,52,102
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,47,200
ENSG00000178814.16,chr8,144052326,144052448,IR,True,156,179
ENSG00000178814.16,chr8,144063303,144063474,TSS,True,166,192
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,139,384
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,22,198
ENSG00000104388.14,chr8,60620673,60623626,PAS,True,21,185
ENSG00000147485.12,chr8,51408066,51409462,TSS,True,19,135
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,39,319
ENSG00000104529.17,chr8,143581328,143586728,ES,False,50,446
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,44,372
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,154,527
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,467,525
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,78,228
ENSG00000156482.10,chr8,98042644,98042697,TSS,True,165,224
ENSG00000164951.15,chr8,93917079,93922015,ES,False,192,247
ENSG00000164951.15,chr8,93916890,93917079,TSS,True,49,298
ENSG00000147526.19,chr8,38728133,38728671,TSS,True,38,100
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,21,125
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,109,125
ENSG00000168615.11,chr8,38996752,38997160,TSS,True,41,185
ENSG00000168615.11,chr8,39016973,39017414,TSS,True,166,185
ENSG00000147408.14,chr8,19506130,19601770,ES,False,75,111
ENSG00000147408.14,chr8,19757185,19757522,TSS,True,121,135
ENSG00000147408.14,chr8,19682695,19682991,TSS,False,67,135
ENSG00000168575.9,chr8,42416465,42417967,PAS,True,14,108
ENSG00000168575.9,chr8,42541537,42541937,TSS,True,94,110
ENSG00000168575.9,chr8,42540914,42541711,TSS,True,97,110
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,40,134
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,34,173
ENSG00000156804.7,chr8,123540898,123541595,TSS,True,44,126
ENSG00000136574.17,chr8,11703447,11704304,TSS,True,52,100
ENSG00000136574.17,chr8,11707853,11708928,TSS,True,86,100
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,109,630
ENSG00000067167.7,chr8,70608076,70608444,TSS,True,15,119
ENSG00000213563.6,chr8,144526639,144526959,IR,False,49,138
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,90,139
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,39,111
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,29,139
ENSG00000047249.17,chr8,53801896,53814661,ES,False,53,107
ENSG00000171033.12,chr8,78516468,78598357,ES,False,13,118
ENSG00000171033.12,chr8,78516306,78516468,TSS,True,27,149
ENSG00000175445.15,chr8,19939222,19939528,TSS,True,138,608
ENSG00000175445.15,chr8,19948179,19948340,TSS,True,538,607
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,14,122
ENSG00000120885.21,chr8,27614654,27614703,TSS,True,20,108
ENSG00000137547.8,chr8,54135205,54135391,TSS,True,27,105
ENSG00000160972.9,chr8,144477943,144478127,TSS,True,95,112
ENSG00000160972.9,chr8,144501106,144501294,TSS,True,70,112
ENSG00000133872.13,chr8,30070059,30082846,ES,False,24,228
ENSG00000067225.17,chr15,72200655,72206727,ME,False,1479,1920
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,291,1990
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,84,118
ENSG00000068305.17,chr15,99566104,99632977,ES,False,24,106
ENSG00000068305.17,chr15,99645764,99674392,ME,False,31,111
ENSG00000068305.17,chr15,99565428,99566104,TSS,True,60,167
ENSG00000068305.17,chr15,99712389,99716482,PAS,True,15,132
ENSG00000178761.14,chr15,74902783,74904663,3AS,False,34,164
ENSG00000178761.14,chr15,74904712,74905153,ES,False,125,153
ENSG00000178761.14,chr15,74905231,74906586,ES,False,25,143
ENSG00000178761.14,chr15,74899989,74902786,PAS,True,44,166
ENSG00000178761.14,chr15,74899986,74902783,PAS,True,133,166
ENSG00000178761.14,chr15,74906586,74907348,TSS,False,42,187
ENSG00000137818.11,chr15,69452816,69453020,TSS,False,92,916
ENSG00000166887.15,chr15,42208080,42208335,TSS,True,23,101
ENSG00000182253.14,chr15,99105076,99106009,TSS,True,148,297
ENSG00000182253.14,chr15,99129440,99131813,TSS,True,147,221
ENSG00000182253.14,chr15,99129366,99135583,PAS,True,79,153
ENSG00000182253.14,chr15,99132749,99135593,PAS,True,79,228
ENSG00000186628.12,chr15,82787468,82805965,ES,False,62,101
ENSG00000186628.12,chr15,82805965,82806133,TSS,True,19,120
ENSG00000205363.5,chr15,73740476,73740567,IR,False,19,182
ENSG00000205363.5,chr15,73739798,73740642,PAS,True,31,192
ENSG00000205363.5,chr15,73752109,73753383,TSS,True,83,246
ENSG00000205363.5,chr15,73750974,73751546,TSS,True,217,245
ENSG00000137878.17,chr15,57591887,57592109,TSS,True,19,108
ENSG00000137878.17,chr15,57684401,57685364,PAS,True,75,108
ENSG00000196547.14,chr15,90915973,90916256,TSS,True,98,114
ENSG00000196547.14,chr15,90918191,90918388,TSS,True,101,114
ENSG00000196547.14,chr15,90918666,90918755,TSS,False,101,114
ENSG00000166831.8,chr15,64775232,64775620,TSS,False,105,127
ENSG00000166831.8,chr15,64748418,64748556,TSS,True,114,127
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,23,116
ENSG00000035664.11,chr15,64046297,64046561,TSS,True,15,106
ENSG00000140416.20,chr15,63042137,63042943,TSS,True,1015,9311
ENSG00000166173.10,chr15,70853888,70854159,TSS,True,19,126
ENSG00000178741.11,chr15,74937914,74938120,TSS,True,108,1040
ENSG00000170776.21,chr15,85658590,85664562,ES,False,36,108
ENSG00000170776.21,chr15,85669830,85682157,ES,True,53,113
ENSG00000170776.21,chr15,85380473,85380798,TSS,True,107,193
ENSG00000170776.21,chr15,85578991,85582107,TSS,True,139,174
ENSG00000170776.21,chr15,85684740,85686620,PAS,True,39,140
ENSG00000103994.17,chr15,42412815,42417360,PAS,True,223,292
ENSG00000103994.17,chr15,42446589,42446658,PAS,False,130,250
ENSG00000103994.17,chr15,42449664,42451954,PAS,False,149,227
ENSG00000103994.17,chr15,42490979,42491144,TSS,True,323,414
ENSG00000103994.17,chr15,42456957,42457532,TSS,True,281,402
ENSG00000128928.8,chr15,40418576,40418613,IR,True,12,104
ENSG00000128928.8,chr15,40405758,40405971,TSS,False,23,121
ENSG00000128928.8,chr15,40418129,40421308,PAS,True,21,112
ENSG00000128928.8,chr15,40418613,40420447,PAS,True,100,112
ENSG00000028528.14,chr15,64095898,64096172,TSS,True,21,141
ENSG00000166411.13,chr15,78149300,78149430,TSS,True,32,202
ENSG00000276550.4,chr15,22494656,22494955,TSS,True,65,101
ENSG00000159251.7,chr15,34795505,34795733,TSS,False,1687,4416
ENSG00000159251.7,chr15,34794679,34795489,TSS,True,3581,4416
ENSG00000128739.22,chr15,24954852,24955062,TSS,True,77,406
ENSG00000176463.13,chr15,91853099,91854088,TSS,True,43,158
ENSG00000176463.13,chr15,92104320,92104542,TSS,True,141,158
ENSG00000176463.13,chr15,92171779,92172436,PAS,True,77,156
ENSG00000176463.13,chr15,92162755,92165907,PAS,True,88,150
ENSG00000103966.10,chr15,41972258,41972597,TSS,True,75,189
ENSG00000103966.10,chr15,41919209,41919714,TSS,True,156,187
ENSG00000166710.18,chr15,44711414,44711613,TSS,True,145,861
ENSG00000182768.8,chr15,90265876,90266287,IR,False,47,388
ENSG00000182768.8,chr15,90265669,90266398,TSS,True,59,400
ENSG00000182768.8,chr15,90265672,90265876,TSS,False,353,400
ENSG00000114062.19,chr15,25405502,25438488,ES,False,83,151
ENSG00000114062.19,chr15,25438488,25439115,TSS,True,31,190
ENSG00000182054.9,chr15,90102275,90102512,TSS,True,259,2423
ENSG00000182774.12,chr15,82540425,82540460,TSS,True,41,167
ENSG00000182774.12,chr15,82539980,82540445,TSS,True,145,167
ENSG00000182774.12,chr15,82538879,82540133,TSS,True,149,167
ENSG00000179010.14,chr4,6640708,6640827,IR,False,26,137
ENSG00000179010.14,chr4,6640655,6640708,TSS,False,119,145
ENSG00000179010.14,chr4,6640682,6641258,TSS,True,34,145
ENSG00000109390.11,chr4,139300601,139302521,TSS,True,196,236
ENSG00000109390.11,chr4,139295731,139295834,TSS,False,48,236
ENSG00000226950.6,chr4,52712433,52712527,TSS,True,111,195
ENSG00000151726.13,chr4,184803546,184805526,5AS,True,146,180
ENSG00000151726.13,chr4,184825915,184826101,TSS,True,263,459
ENSG00000151726.13,chr4,184805526,184805712,TSS,False,313,459
ENSG00000152795.17,chr4,82424883,82426036,IR,False,118,164
ENSG00000152795.17,chr4,82422746,82424883,PAS,True,50,173
ENSG00000152795.17,chr4,82423203,82426129,PAS,True,120,163
ENSG00000064042.17,chr4,41685830,41689526,ES,False,62,199
ENSG00000064042.17,chr4,41687917,41689526,5AS,True,95,138
ENSG00000064042.17,chr4,41360561,41360936,TSS,True,124,259
ENSG00000064042.17,chr4,41650464,41650608,TSS,True,190,212
ENSG00000064042.17,chr4,41538063,41538350,TSS,True,198,258
ENSG00000064042.17,chr4,41697159,41700044,PAS,True,55,256
ENSG00000064042.17,chr4,41646122,41646276,PAS,True,177,215
ENSG00000071127.16,chr4,10116650,10116986,TSS,True,56,275
ENSG00000109501.13,chr4,6269831,6270014,TSS,True,49,116
ENSG00000169020.9,chr4,674211,674287,TSS,True,79,681
ENSG00000087274.16,chr4,2843837,2844024,TSS,True,134,176
ENSG00000152583.12,chr4,87472765,87473803,PAS,True,66,375
ENSG00000152583.12,chr4,87493625,87494598,PAS,True,295,345
ENSG00000152583.12,chr4,87529044,87529466,TSS,True,46,375
ENSG00000196616.13,chr4,99321313,99321443,TSS,True,27,182
ENSG00000164116.16,chr4,155666696,155666965,TSS,False,92,114
ENSG00000164116.16,chr4,155667233,155667419,TSS,True,99,114
ENSG00000164116.16,chr4,155667596,155667932,TSS,False,94,114
ENSG00000145349.16,chr4,113500511,113509637,ME,False,76,311
ENSG00000145349.16,chr4,113509672,113513327,3AS,False,72,358
ENSG00000129116.18,chr4,168894677,168898492,ES,False,247,1457
ENSG00000129116.18,chr4,168925078,168926212,3AS,True,119,151
ENSG00000129116.18,chr4,168831990,168832171,TSS,True,817,1768
ENSG00000129116.18,chr4,168877717,168878394,TSS,True,1256,1767
ENSG00000129116.18,chr4,168926212,168928475,PAS,True,293,1690
ENSG00000129116.18,chr4,168924254,168924387,PAS,True,1437,1673
ENSG00000109475.16,chr4,108620535,108620600,TSS,False,115,323
ENSG00000109475.16,chr4,108620576,108622024,TSS,True,261,323
ENSG00000109475.16,chr4,108622513,108622618,TSS,True,284,322
ENSG00000163110.14,chr4,94586444,94618003,ES,False,14,139
ENSG00000163110.14,chr4,94451851,94451995,TSS,True,163,562
ENSG00000163110.14,chr4,94663977,94668223,PAS,True,343,501
ENSG00000163110.14,chr4,94586988,94588564,PAS,True,173,472
ENSG00000282917.1,chr4,47830991,47831508,TSS,False,36,122
ENSG00000282917.1,chr4,47875226,47875331,TSS,False,95,112
ENSG00000282917.1,chr4,47882241,47884578,PAS,False,87,112
ENSG00000282917.1,chr4,47896541,47899138,PAS,False,44,115
ENSG00000134851.12,chr4,55425375,55426176,PAS,True,11,104
ENSG00000170801.9,chr4,8269723,8270353,TSS,True,50,200
ENSG00000170801.9,chr4,8295694,8296517,PAS,False,136,164
ENSG00000170801.9,chr4,8305970,8307102,PAS,False,39,168
ENSG00000109332.19,chr4,102797460,102799406,ES,False,203,248
ENSG00000109332.19,chr4,102827426,102827835,TSS,True,126,254
ENSG00000109332.19,chr4,102826484,102827192,TSS,True,190,254
ENSG00000014824.13,chr4,42086081,42091812,PAS,True,16,143
ENSG00000151729.10,chr4,185145250,185145762,IR,True,17,157
