gene,chr,start,end,splice_type,novel,psoas_muscle_ENCFF698UNA_in_cov,psoas_muscle_ENCFF698UNA_total_cov
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,38,113
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,43,107
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,197,466
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,413,463
ENSG00000168906.12,chr2,85543034,85543669,IR,True,260,336
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,80,340
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,278,340
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,80,109
ENSG00000152102.17,chr2,131055552,131055644,TSS,True,96,107
ENSG00000065911.11,chr2,74198742,74205704,ES,True,114,158
ENSG00000065911.11,chr2,74198742,74207703,ES,False,34,201
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,24,182
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,45,115
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,85,109
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,93,107
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,36,109
ENSG00000163092.19,chr2,167187354,167187531,TSS,False,367,582
ENSG00000163092.19,chr2,167250512,167251947,TSS,True,46,172
ENSG00000163092.19,chr2,167257856,167259753,PAS,True,410,540
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,182,211
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,69,415
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,609,834
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,482,834
ENSG00000168385.17,chr2,241315982,241324215,ES,False,176,215
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,34,265
ENSG00000168530.15,chr2,210303541,210303616,TSS,True,733,3215
ENSG00000168530.15,chr2,210314910,210315171,TSS,False,2539,3215
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,75,149
ENSG00000198925.11,chr2,219224105,219224710,TSS,True,124,142
ENSG00000198925.11,chr2,219222644,219223333,TSS,True,118,138
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,59,572
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,322,584
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,510,584
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,474,584
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,56,365
ENSG00000171055.14,chr2,36558513,36578596,ES,False,93,110
ENSG00000171055.14,chr2,36550646,36553179,PAS,True,66,188
ENSG00000171055.14,chr2,36578645,36578865,PAS,True,115,175
ENSG00000171055.14,chr2,36597876,36598182,TSS,True,154,199
ENSG00000171055.14,chr2,36594413,36594566,TSS,False,101,199
ENSG00000115310.17,chr2,54972184,54973198,PAS,True,30,295
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,287,337
ENSG00000115310.17,chr2,55010086,55010266,TSS,False,78,307
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,91,367
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,320,367
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,330,367
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,22,158
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,36,153
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,130,153
ENSG00000152082.13,chr2,130181698,130181797,TSS,False,144,163
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,45,163
ENSG00000077044.10,chr2,233418895,233419421,TSS,False,275,360
ENSG00000077044.10,chr2,233469370,233472104,PAS,True,50,210
ENSG00000077044.10,chr2,233467085,233472094,PAS,False,157,194
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,32,150
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,468,788
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,418,733
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,53,144
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,21,197
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,12,103
ENSG00000184182.18,chr2,238030553,238030613,TSS,True,92,103
ENSG00000243147.7,chr2,27772692,27779432,ES,False,173,357
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,159,499
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,447,499
ENSG00000134324.11,chr2,11746671,11765532,ES,False,101,115
ENSG00000134324.11,chr2,11773745,11779518,ES,False,62,166
ENSG00000134324.11,chr2,11746584,11746671,TSS,True,263,378
ENSG00000134324.11,chr2,11784505,11785076,TSS,True,268,353
ENSG00000134324.11,chr2,11824631,11827409,PAS,True,49,332
ENSG00000162878.12,chr2,42054040,42054307,TSS,True,211,249
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,64,250
ENSG00000163126.14,chr2,96838088,96838498,IR,False,332,2322
ENSG00000163126.14,chr2,96839828,96839996,IR,True,98,177
ENSG00000163126.14,chr2,96840514,96840772,IR,True,140,175
ENSG00000163126.14,chr2,96840514,96840826,IR,False,92,127
ENSG00000163126.14,chr2,96840514,96842059,3AS,True,85,117
ENSG00000163126.14,chr2,96836258,96839644,PAS,True,665,2569
ENSG00000163126.14,chr2,96837910,96838088,PAS,True,2273,2605
ENSG00000170634.12,chr2,53970865,53971321,TSS,True,112,163
ENSG00000176407.17,chr2,85053147,85055703,PAS,False,24,233
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,174,689
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,31,111
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,85,110
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,117,222
ENSG00000075426.11,chr2,28411929,28416696,PAS,True,15,123
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,45,103
ENSG00000168397.16,chr2,241651006,241651111,TSS,True,91,103
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,81,102
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,100,215
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,125,225
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,116,225
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,18,159
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,16,151
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,34,140
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,224,849
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,750,849
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,79,654
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,42,207
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,163,202
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,26,208
ENSG00000136717.14,chr2,127050912,127057472,ES,True,39,244
ENSG00000136717.14,chr2,127050912,127059010,ES,False,2429,6291
ENSG00000136717.14,chr2,127051243,127059010,ME,False,177,315
ENSG00000136717.14,chr2,127051243,127059010,ME,False,177,315
ENSG00000136717.14,chr2,127051243,127057472,ES,False,175,204
ENSG00000136717.14,chr2,127051243,127059010,ME,False,174,315
ENSG00000136717.14,chr2,127052362,127059010,ES,False,138,164
ENSG00000136717.14,chr2,127106859,127107329,TSS,True,926,6762
ENSG00000144231.10,chr2,127850685,127858027,ES,True,21,141
ENSG00000138363.14,chr2,215312161,215312497,IR,False,76,100
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,62,138
ENSG00000138363.14,chr2,215312058,215312390,TSS,True,124,138
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,112,138
ENSG00000072195.14,chr2,219489333,219489939,TSS,True,163,242
ENSG00000072195.14,chr2,219434625,219435365,TSS,False,318,359
ENSG00000072195.14,chr2,219491804,219491869,TSS,False,194,242
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,133,313
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,41,291
ENSG00000155657.26,chr2,178786141,178792071,ES,True,49,130
ENSG00000155657.26,chr2,178789497,178792071,ES,False,45,108
ENSG00000155657.26,chr2,178525988,178527307,PAS,True,1327,1585
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,404,783
ENSG00000155657.26,chr2,178797460,178799731,PAS,True,643,731
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,74,288
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,885,1607
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,63,490
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,433,487
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,59,490
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,60,116
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,62,117
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,147,223
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,125,227
ENSG00000135929.8,chr2,218781732,218782437,TSS,True,44,139
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,68,631
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,563,631
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,232,655
ENSG00000135617.3,chr2,73233093,73233262,TSS,True,19,147
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,63,109
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,53,109
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,136,234
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,204,234
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,139,194
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,120,197
ENSG00000034510.5,chr2,84905651,84905718,TSS,False,22,219
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,117,209
ENSG00000136718.9,chr2,130342935,130343085,IR,False,117,154
ENSG00000136718.9,chr2,130342962,130343085,IR,False,92,129
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,148,265
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,173,265
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,228,265
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,50,155
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,110,155
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,77,120
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,52,129
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,85,129
ENSG00000204822.6,chr2,74472568,74474233,TSS,True,32,150
ENSG00000168427.8,chr2,238138650,238138758,TSS,False,149,201
ENSG00000168427.8,chr2,238147901,238148022,TSS,True,160,184
ENSG00000168427.8,chr2,238150813,238152944,PAS,False,20,106
ENSG00000180398.12,chr2,46907969,46915722,ES,False,56,160
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,52,213
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,20,146
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,33,147
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,105,282
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,116,296
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,183,296
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,51,163
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,25,181
ENSG00000136682.14,chr2,113438022,113441350,ES,False,85,101
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,175,1216
ENSG00000159399.9,chr2,74834078,74834643,TSS,False,51,172
ENSG00000124380.10,chr2,69893954,69894018,TSS,True,11,103
ENSG00000124380.10,chr2,69904253,69905927,PAS,True,14,100
ENSG00000124380.10,chr2,69904511,69904671,PAS,True,88,100
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,428,882
ENSG00000142327.12,chr2,240575610,240576567,3AS,False,23,142
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,64,176
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,91,793
ENSG00000079308.18,chr2,217799788,217804603,PAS,True,124,943
ENSG00000079308.18,chr2,217817713,217818759,PAS,True,93,133
ENSG00000079308.18,chr2,217821757,217821938,PAS,True,90,122
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,485,1239
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,59,402
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,351,402
ENSG00000189350.12,chr2,29014561,29022157,ES,False,54,112
ENSG00000189350.12,chr2,29045410,29051755,ES,True,56,116
ENSG00000189350.12,chr2,29014032,29014561,TSS,True,31,146
ENSG00000189350.12,chr2,29051755,29052236,PAS,False,27,143
ENSG00000189350.12,chr2,29026852,29029767,PAS,True,107,133
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,22,124
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,83,242
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,26,248
ENSG00000084764.11,chr2,27024252,27025582,5AS,False,35,150
ENSG00000084764.11,chr2,26970634,26970802,TSS,True,59,201
ENSG00000084764.11,chr2,27025155,27025737,TSS,True,176,199
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,31,125
ENSG00000071051.13,chr2,105855289,105892981,ES,False,29,246
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,39,281
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,44,240
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,31,172
ENSG00000115295.19,chr2,29181571,29183952,PAS,True,26,171
ENSG00000143727.15,chr2,271939,275139,ME,False,15,103
ENSG00000115592.11,chr2,218831737,218831847,TSS,True,95,232
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,111,144
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,50,483
ENSG00000168890.13,chr2,85600018,85601020,ES,False,17,141
ENSG00000168890.13,chr2,85601107,85601434,IR,False,99,120
ENSG00000168890.13,chr2,85602606,85602809,TSS,True,39,146
ENSG00000168890.13,chr2,85601883,85602671,TSS,True,118,146
ENSG00000183091.19,chr2,151493445,151494160,ES,True,66,142
ENSG00000183091.19,chr2,151494253,151503348,ES,True,17,118
ENSG00000183091.19,chr2,151703555,151706997,PAS,True,688,851
ENSG00000183091.19,chr2,151709652,151709763,PAS,True,725,851
ENSG00000183091.19,chr2,151716130,151717520,PAS,True,750,851
ENSG00000183091.19,chr2,151485230,151485933,PAS,True,987,1178
ENSG00000183091.19,chr2,151720392,151723486,PAS,True,743,848
ENSG00000183091.19,chr2,151734397,151734475,TSS,False,375,1187
ENSG00000183091.19,chr2,151490371,151490392,TSS,True,169,201
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,32,278
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,209,505
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,369,508
ENSG00000168958.19,chr2,227325427,227330625,ES,False,24,166
ENSG00000168958.19,chr2,227328789,227330625,ES,False,74,148
ENSG00000213337.8,chr2,96857887,96858051,TSS,True,308,344
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,28,187
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,165,662
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,545,662
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,24,101
ENSG00000179526.16,chr8,144098788,144098865,IR,False,125,139
ENSG00000179526.16,chr8,144098994,144099276,ES,False,44,128
ENSG00000179526.16,chr8,144098629,144098788,PAS,False,25,150
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,20,150
ENSG00000154359.12,chr8,12736764,12736899,3AS,False,143,307
ENSG00000154359.12,chr8,12737140,12737994,ES,False,250,296
ENSG00000023287.12,chr8,52622455,52623859,PAS,True,143,160
ENSG00000023287.12,chr8,52642765,52642812,PAS,True,121,159
ENSG00000023287.12,chr8,52656119,52657908,PAS,False,72,154
ENSG00000131773.13,chr8,135646992,135647610,PAS,True,19,132
ENSG00000131773.13,chr8,135656225,135656824,PAS,True,121,135
ENSG00000008513.15,chr8,133476074,133476277,IR,False,46,121
ENSG00000008513.15,chr8,133499189,133545773,ES,False,102,114
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,78,194
ENSG00000008513.15,chr8,133475718,133476600,TSS,True,168,187
ENSG00000029534.20,chr8,41664804,41665289,TSS,True,116,606
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,233,365
ENSG00000133878.8,chr8,33599664,33600003,TSS,True,56,423
ENSG00000104687.13,chr8,30727529,30727967,TSS,True,14,113
ENSG00000168300.13,chr8,51845763,51898929,ES,False,30,140
ENSG00000168300.13,chr8,51817574,51820718,PAS,True,20,150
ENSG00000184489.11,chr8,141418018,141421387,5AS,True,70,101
ENSG00000184489.11,chr8,141391976,141392084,TSS,True,526,611
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,483,609
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,472,609
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,513,611
ENSG00000120910.14,chr8,22522749,22527391,ES,True,192,219
ENSG00000120910.14,chr8,22540614,22543188,PAS,True,35,254
ENSG00000175606.10,chr8,73978861,73981154,ES,False,315,671
ENSG00000104369.4,chr8,74236609,74237207,3AS,True,62,378
ENSG00000104369.4,chr8,74236755,74237207,3AS,True,201,319
ENSG00000104369.4,chr8,74236755,74237207,IR,True,201,234
ENSG00000104369.4,chr8,74236758,74237207,3AS,True,37,118
ENSG00000104369.4,chr8,74237035,74237207,IR,True,76,109
ENSG00000104369.4,chr8,74234703,74236755,PAS,True,259,460
ENSG00000104369.4,chr8,74234701,74236609,PAS,True,398,460
ENSG00000104369.4,chr8,74234703,74237035,PAS,True,384,460
ENSG00000104369.4,chr8,74244528,74244957,TSS,False,380,457
ENSG00000104369.4,chr8,74320908,74321587,TSS,True,121,481
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,33,263
ENSG00000123908.11,chr8,140520155,140532152,PAS,True,14,122
ENSG00000123908.11,chr8,140635484,140635776,TSS,True,48,145
ENSG00000104325.6,chr8,90001561,90018908,ES,False,12,114
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,39,306
ENSG00000197858.10,chr8,144083500,144083713,IR,False,189,212
ENSG00000197858.10,chr8,144084875,144085042,IR,False,197,223
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,32,237
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,76,112
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,51,112
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,64,100
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,41,100
ENSG00000180900.18,chr8,143790919,143791308,PAS,True,12,115
ENSG00000180900.18,chr8,143804567,143804825,TSS,True,88,110
ENSG00000180900.18,chr8,143815213,143815816,TSS,False,87,118
ENSG00000120913.23,chr8,22586570,22589374,TSS,True,24,103
ENSG00000120913.23,chr8,22588586,22589741,TSS,True,91,103
ENSG00000158941.16,chr8,22604637,22604842,TSS,True,35,142
ENSG00000158941.16,chr8,22612103,22613136,TSS,True,121,141
ENSG00000134020.7,chr8,22920183,22920280,TSS,True,188,230
ENSG00000134020.7,chr8,22927822,22928009,TSS,False,58,240
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,278,758
ENSG00000036448.9,chr8,2085267,2085390,TSS,True,660,750
ENSG00000147649.9,chr8,97691188,97706625,ES,False,127,221
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,132,293
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,234,293
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,221,286
ENSG00000123124.13,chr8,86342930,86374029,ES,True,62,151
ENSG00000123124.13,chr8,86342525,86342930,TSS,True,28,180
ENSG00000176623.11,chr8,86508491,86508770,TSS,True,15,103
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,1271,1926
ENSG00000155792.9,chr8,119873688,119873968,TSS,False,39,200
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,86,288
ENSG00000205268.10,chr8,65841370,65842574,TSS,True,169,202
ENSG00000205268.10,chr8,65788881,65789151,TSS,True,54,202
ENSG00000164733.20,chr8,11853479,11868000,ES,False,584,732
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,87,292
ENSG00000185122.10,chr8,144311962,144312244,TSS,True,245,278
ENSG00000185122.10,chr8,144314124,144314727,PAS,True,35,288
ENSG00000121022.13,chr8,67059445,67061853,ES,False,122,157
ENSG00000121022.13,chr8,67062024,67062105,IR,False,31,167
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,41,172
ENSG00000121022.13,chr8,67062105,67062347,TSS,True,139,172
ENSG00000120963.11,chr8,101201743,101205434,ES,False,88,104
ENSG00000179950.13,chr8,143818534,143821596,ES,False,35,245
ENSG00000179950.13,chr8,143821913,143829279,ES,False,24,234
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,28,208
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,64,298
ENSG00000154328.15,chr8,11769633,11769791,TSS,False,46,108
ENSG00000154328.15,chr8,11769708,11770335,TSS,True,75,108
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,34,165
ENSG00000178814.16,chr8,144052326,144052448,IR,True,85,100
ENSG00000178814.16,chr8,144053129,144053208,IR,False,82,100
ENSG00000178814.16,chr8,144060652,144061242,TSS,False,91,114
ENSG00000178814.16,chr8,144063303,144063474,TSS,True,102,114
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,153,535
ENSG00000132294.14,chr8,131940575,131944744,5AS,False,56,104
ENSG00000132294.14,chr8,131904055,131904322,TSS,True,28,127
ENSG00000132294.14,chr8,132010789,132013631,PAS,True,14,124
ENSG00000104388.14,chr8,60620673,60623626,PAS,True,34,199
ENSG00000104388.14,chr8,60584722,60586312,PAS,False,178,198
ENSG00000147416.10,chr8,20197363,20197542,TSS,True,22,177
ENSG00000104529.17,chr8,143586849,143588990,3AS,True,12,118
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,100,782
ENSG00000104529.17,chr8,143586852,143597347,ES,False,596,682
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,224,1017
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,870,1012
ENSG00000003989.17,chr8,17497031,17497237,TSS,True,71,111
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,142,680
ENSG00000156482.10,chr8,98042644,98042697,TSS,True,576,678
ENSG00000048392.11,chr8,102238826,102239059,TSS,True,17,130
ENSG00000155975.9,chr8,17247369,17265906,ES,False,198,227
ENSG00000155975.9,chr8,17294986,17298024,PAS,True,33,252
ENSG00000154582.16,chr8,73959818,73972076,ES,False,163,206
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,85,312
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,235,312
ENSG00000155090.14,chr8,102651148,102651539,TSS,True,236,398
ENSG00000155090.14,chr8,102655565,102655727,TSS,False,199,399
ENSG00000168575.9,chr8,42463090,42472101,ES,True,16,143
ENSG00000168575.9,chr8,42416465,42417967,PAS,True,22,196
ENSG00000168575.9,chr8,42541537,42541937,TSS,True,158,203
ENSG00000168575.9,chr8,42501030,42501263,TSS,True,104,185
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,50,267
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,212,262
ENSG00000160948.13,chr8,144423922,144424040,IR,False,140,160
ENSG00000160948.13,chr8,144424819,144424945,IR,False,140,157
ENSG00000160948.13,chr8,144425051,144425682,IR,False,124,138
ENSG00000160948.13,chr8,144426979,144428488,3AS,False,120,141
ENSG00000160948.13,chr8,144423597,144423922,PAS,True,20,160
