gene,chr,start,end,splice_type,novel,osteocyte_ENCFF558QPF_in_cov,osteocyte_ENCFF558QPF_total_cov
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,519,650
ENSG00000132300.18,chr2,86127305,86127940,IR,True,264,295
ENSG00000065911.11,chr2,74198742,74205704,ES,True,1222,1468
ENSG00000143797.11,chr2,8860764,8862589,5AS,True,107,119
ENSG00000143797.11,chr2,8943264,9003539,ES,True,13,111
ENSG00000143797.11,chr2,9003539,9003882,TSS,True,22,147
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,200,1710
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,333,397
ENSG00000018699.12,chr2,32820815,32823699,PAS,True,25,194
ENSG00000077232.17,chr2,182732542,182740298,ES,False,44,223
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,32,267
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,56,258
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,429,3466
ENSG00000135931.17,chr2,231198941,231206197,5AS,True,316,357
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,465,893
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,571,893
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,151,881
ENSG00000187231.13,chr2,179264498,179264841,TSS,True,22,107
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,215,1568
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,1023,1575
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,1131,1575
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,147,176
ENSG00000119760.15,chr2,27661388,27662178,IR,False,147,179
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,178,222
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,77,254
ENSG00000119760.15,chr2,27660983,27661378,TSS,True,225,254
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,210,254
ENSG00000128699.13,chr2,189782602,189783013,IR,False,60,202
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,127,256
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,177,263
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,101,258
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,166,258
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,171,236
ENSG00000055332.17,chr2,37148939,37156907,3AS,False,41,129
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,55,158
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,124,158
ENSG00000055332.17,chr2,37119986,37120139,PAS,True,138,155
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,33,163
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,144,163
ENSG00000118260.14,chr2,207560372,207567462,ES,False,155,219
ENSG00000119185.12,chr2,9406905,9407448,IR,False,93,111
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,31,121
ENSG00000119185.12,chr2,9405688,9407598,PAS,True,105,121
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,86,121
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,51,121
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,28,159
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,137,154
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,34,101
ENSG00000170035.15,chr2,180981043,180982236,TSS,True,74,101
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,21,201
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,277,388
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,127,388
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,134,207
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,148,207
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,145,207
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,110,583
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,30,142
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,104,117
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,91,116
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,116,145
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,99,116
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,198,230
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,48,253
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,221,253
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,59,157
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,107,156
ENSG00000003436.15,chr2,187503770,187554199,ME,False,74,113
ENSG00000003436.15,chr2,187503770,187554199,ME,False,72,113
ENSG00000003436.15,chr2,187503770,187554199,ME,False,72,113
ENSG00000003436.15,chr2,187503770,187529363,ES,True,68,105
ENSG00000003436.15,chr2,187503770,187554199,ES,False,303,472
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,93,527
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,72,343
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,121,392
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,319,392
ENSG00000237298.9,chr2,178597595,178599510,PAS,True,90,104
ENSG00000071575.11,chr2,12716873,12717010,TSS,True,128,152
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,46,152
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,48,225
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,184,225
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,129,151
ENSG00000163029.15,chr2,17698487,17700378,PAS,True,117,151
ENSG00000163029.15,chr2,17703134,17703292,PAS,False,115,151
ENSG00000163029.15,chr2,17716742,17716905,PAS,False,134,151
ENSG00000163029.15,chr2,17717138,17717176,PAS,True,128,151
ENSG00000128654.13,chr2,176269669,176296859,ES,False,94,119
ENSG00000128654.13,chr2,176329426,176337492,ES,True,17,116
ENSG00000123636.17,chr2,159398292,159398894,PAS,False,87,103
ENSG00000123636.17,chr2,159404388,159404910,PAS,True,57,103
ENSG00000123636.17,chr2,159616241,159617314,TSS,True,47,110
ENSG00000123636.17,chr2,159712313,159712458,TSS,True,95,110
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,27,269
ENSG00000123983.13,chr2,222887888,222908732,ES,False,115,186
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,45,231
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,37,226
ENSG00000067066.16,chr2,230416328,230442936,ES,False,74,559
ENSG00000067066.16,chr2,230470098,230473383,3AS,False,115,211
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,227,583
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,522,583
ENSG00000067066.16,chr2,230498460,230498582,PAS,False,519,584
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,90,125
ENSG00000115365.11,chr2,210476315,210476732,TSS,True,112,125
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,81,125
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,229,329
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,110,340
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,240,340
ENSG00000144021.2,chr2,96268658,96269267,IR,False,154,176
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,21,198
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,262,337
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,39,301
ENSG00000115762.16,chr2,131132991,131140169,IR,False,39,114
ENSG00000115084.13,chr2,113715195,113719153,ES,True,57,355
ENSG00000119203.13,chr2,9472915,9473110,PAS,True,48,403
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,347,424
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,92,411
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,30,158
ENSG00000085760.14,chr2,55263865,55267568,ES,False,134,151
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,121,158
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,87,157
ENSG00000085760.14,chr2,55243466,55244233,PAS,True,132,157
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,22,158
ENSG00000082258.12,chr2,134918279,134919012,TSS,True,15,102
ENSG00000115524.15,chr2,197418588,197418895,IR,False,36,172
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,929,1405
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,1223,1393
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,781,1371
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,39,330
ENSG00000144231.10,chr2,127850685,127858027,ES,True,18,131
ENSG00000144366.15,chr2,188383889,188477658,ES,False,123,155
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,83,160
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,92,160
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,476,1015
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,615,1015
ENSG00000068912.13,chr2,53801842,53809213,ES,False,76,306
ENSG00000144224.16,chr2,135753567,135754158,IR,False,101,153
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,30,180
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,137,157
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,78,164
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,140,157
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,130,157
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,146,212
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,133,208
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,3528,7774
ENSG00000151694.13,chr2,9555508,9556317,TSS,True,21,141
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,86,112
ENSG00000136718.9,chr2,130342935,130343085,IR,False,86,107
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,51,137
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,111,137
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,116,137
ENSG00000138375.12,chr2,216412603,216413855,5AS,False,16,126
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,140,240
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,151,240
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,516,2092
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1703,2092
ENSG00000119801.12,chr2,30147062,30156627,ES,False,406,460
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,275,326
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,90,160
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,96,160
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,107,764
ENSG00000168883.19,chr2,85616456,85619219,5AS,False,28,207
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,223,268
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,83,262
ENSG00000168883.19,chr2,85616127,85616456,TSS,True,234,262
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,70,100
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,30,100
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,70,100
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,30,105
ENSG00000078098.13,chr2,162170682,162171080,PAS,True,40,361
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,88,157
ENSG00000153827.13,chr2,229921879,229922235,TSS,True,74,103
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,161,296
ENSG00000138095.18,chr2,43918023,43918133,PAS,True,244,294
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,33,296
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,262,662
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,308,711
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,431,711
ENSG00000136536.14,chr2,159767283,159771026,PAS,True,220,708
ENSG00000136536.14,chr2,159747804,159748887,PAS,False,498,695
ENSG00000115211.15,chr2,27367201,27367456,IR,False,132,148
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,46,142
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,19,150
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,164,186
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,160,182
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,107,163
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,115,188
ENSG00000119812.18,chr2,33583655,33585444,PAS,True,15,144
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,190,350
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,235,401
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,199,401
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,187,388
ENSG00000115239.21,chr2,53750941,53786820,ES,False,18,147
ENSG00000115239.21,chr2,53765585,53786820,5AS,True,123,138
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,22,169
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,108,147
ENSG00000275052.4,chr2,55564313,55564497,PAS,True,101,143
ENSG00000275052.4,chr2,55613994,55615506,PAS,True,110,136
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,23,149
ENSG00000084733.10,chr2,26033943,26034735,TSS,True,27,136
ENSG00000186522.14,chr2,109544324,109546049,IR,True,319,357
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,62,383
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,339,378
ENSG00000115486.11,chr2,85561385,85561810,TSS,True,21,187
ENSG00000136682.14,chr2,113438022,113441350,ES,False,194,242
ENSG00000080345.17,chr2,151409939,151410413,5AS,False,67,134
ENSG00000080345.17,chr2,151441967,151443258,5AS,True,30,177
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,122,193
ENSG00000080345.17,chr2,151409883,151410527,TSS,True,166,193
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,122,193
ENSG00000080345.17,chr2,151459999,151460100,PAS,True,24,185
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,131,198
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,122,198
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,33,230
ENSG00000116001.15,chr2,70216499,70216885,5AS,False,198,227
ENSG00000116001.15,chr2,70227822,70229058,ES,False,146,166
ENSG00000116001.15,chr2,70227822,70229058,IR,True,146,181
ENSG00000116001.15,chr2,70227822,70229263,ES,False,32,200
ENSG00000144283.21,chr2,158456879,158457218,TSS,True,100,112
ENSG00000144283.21,chr2,158457153,158458307,TSS,True,95,112
ENSG00000144283.21,chr2,158621229,158621421,TSS,True,97,109
ENSG00000144283.21,chr2,158621735,158625427,TSS,True,83,109
ENSG00000144283.21,chr2,158680428,158682964,PAS,True,43,106
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,166,200
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,69,200
ENSG00000116044.15,chr2,177234004,177234266,TSS,True,174,198
ENSG00000115657.13,chr2,219218124,219219040,TSS,True,13,109
ENSG00000049323.15,chr2,33252844,33257442,3AS,False,80,142
ENSG00000049323.15,chr2,33134499,33134960,TSS,True,66,160
ENSG00000049323.15,chr2,33188574,33188851,TSS,True,141,159
ENSG00000049323.15,chr2,33360596,33360637,PAS,True,42,159
ENSG00000049323.15,chr2,33398363,33399509,PAS,True,142,160
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,28,133
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,114,131
ENSG00000115042.9,chr2,95402872,95405552,ES,False,66,103
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,36,140
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,118,140
ENSG00000115042.9,chr2,95412894,95415547,PAS,True,18,138
ENSG00000115840.13,chr2,171894202,171894530,TSS,True,18,119
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,114,166
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,143,166
ENSG00000115816.14,chr2,37213538,37213961,PAS,True,139,166
ENSG00000115641.18,chr2,105386540,105398841,ES,False,54,104
ENSG00000115641.18,chr2,105386540,105398969,ES,False,131,208
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,131,235
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,77,127
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,116,324
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,220,324
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,129,739
ENSG00000079785.14,chr2,15627053,15628207,PAS,True,654,738
ENSG00000115875.18,chr2,38745187,38746693,ES,False,55,342
ENSG00000115875.18,chr2,38748653,38748897,IR,False,30,107
ENSG00000115875.18,chr2,38748653,38749528,ES,False,234,263
ENSG00000115875.18,chr2,38748653,38749528,IR,False,234,297
ENSG00000115875.18,chr2,38749346,38749528,IR,False,42,119
ENSG00000119004.15,chr2,203239134,203251966,ES,False,25,158
ENSG00000115414.18,chr2,215372015,215372108,IR,False,4541,6234
ENSG00000115414.18,chr2,215372015,215373321,ES,False,1564,5892
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,1564,3252
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,1030,6021
ENSG00000115414.18,chr2,215379317,215382211,ES,False,3099,5435
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,1839,10131
ENSG00000115414.18,chr2,215407134,215407321,PAS,True,949,1701
ENSG00000115414.18,chr2,215408297,215408426,PAS,False,1419,1670
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,6690,8709
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,8753,10153
ENSG00000115414.18,chr2,215384019,215385311,TSS,False,7344,8674
ENSG00000143727.15,chr2,271939,275139,ME,False,103,168
ENSG00000143727.15,chr2,271939,272191,ES,False,111,165
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,29,123
ENSG00000144118.13,chr2,120278613,120278778,TSS,True,108,123
ENSG00000130508.10,chr2,1631882,1634323,PAS,True,46,115
ENSG00000130508.10,chr2,1638845,1638978,PAS,True,91,114
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,189,236
ENSG00000130508.10,chr2,1744255,1744568,TSS,True,214,249
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,110,391
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,311,389
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,47,391
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,28,190
ENSG00000136710.9,chr2,130342014,130342165,TSS,True,16,122
ENSG00000115902.10,chr2,64989358,64990170,TSS,False,151,188
ENSG00000115902.10,chr2,65016568,65016673,TSS,True,148,188
ENSG00000115902.10,chr2,65000860,65001490,TSS,True,151,188
ENSG00000144339.11,chr2,191950407,191953678,3AS,False,153,174
ENSG00000144339.11,chr2,191950005,191950407,PAS,False,41,194
ENSG00000144339.11,chr2,191949050,191950464,PAS,True,173,194
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,494,1682
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,1331,1679
ENSG00000115368.9,chr2,189475212,189475582,PAS,True,32,215
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,98,512
ENSG00000138061.11,chr2,38074345,38075284,TSS,True,450,512
ENSG00000118961.14,chr2,20790398,20801309,5AS,False,138,155
ENSG00000118961.14,chr2,20790398,20823036,ES,False,22,176
ENSG00000168958.19,chr2,227325427,227330625,ES,False,45,388
ENSG00000168958.19,chr2,227340380,227347225,ES,False,149,260
ENSG00000168958.19,chr2,227340380,227352513,ES,False,43,307
ENSG00000168958.19,chr2,227340380,227355676,ES,False,76,418
ENSG00000168958.19,chr2,227342819,227355676,ES,False,20,141
ENSG00000115170.13,chr2,157875795,157876342,TSS,True,81,134
ENSG00000115170.13,chr2,157818384,157818565,TSS,True,96,133
ENSG00000122085.16,chr2,241095030,241096438,PAS,True,21,168
ENSG00000243943.9,chr2,27583142,27598066,ES,False,81,160
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,119,179
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,109,179
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,33,179
ENSG00000104231.10,chr8,81715114,81718181,ES,False,25,125
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,17,131
ENSG00000040341.17,chr8,73688813,73738283,ES,False,95,121
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,98,145
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,69,142
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,23,145
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,33,124
ENSG00000147789.15,chr8,144827609,144837390,ES,True,28,108
ENSG00000147789.15,chr8,144827489,144827609,TSS,False,28,145
ENSG00000104738.17,chr8,47960498,47961014,TSS,True,22,167
ENSG00000104738.17,chr8,47976685,47979183,PAS,True,18,166
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,38,127
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,95,122
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,122,138
ENSG00000164754.14,chr8,116866585,116866763,TSS,True,90,138
ENSG00000164754.14,chr8,116874362,116874613,TSS,False,114,138
ENSG00000008513.15,chr8,133476074,133476277,IR,False,73,133
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,16,151
ENSG00000164808.16,chr8,47260898,47260991,TSS,True,42,209
ENSG00000168300.13,chr8,51817574,51820718,PAS,True,21,109
ENSG00000078674.17,chr8,17924780,17935588,ES,False,129,164
ENSG00000078674.17,chr8,17939861,17947185,ES,False,118,174
