gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF936VUF_in_cov,endodermal_cell_ENCFF936VUF_total_cov
ENSG00000138073.13,chr2,27133337,27133531,IR,False,417,468
ENSG00000115073.7,chr2,97658117,97658223,IR,True,177,197
ENSG00000115073.7,chr2,97658643,97658878,IR,False,158,196
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,77,110
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,59,110
ENSG00000124356.15,chr2,73828982,73829510,TSS,True,97,110
ENSG00000162976.12,chr2,11172045,11177736,ES,False,15,102
ENSG00000013441.15,chr2,200859746,200861237,ES,False,113,152
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,428,530
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,113,546
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,192,549
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,447,549
ENSG00000074582.13,chr2,218661520,218661758,5AS,False,26,129
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,103,137
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,62,137
ENSG00000183513.8,chr2,98604191,98608306,IR,True,77,107
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,53,130
ENSG00000183513.8,chr2,98604107,98608481,TSS,True,98,128
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,61,119
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,19,131
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,64,148
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,107,148
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,101,134
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,70,135
ENSG00000138385.15,chr2,169810857,169811047,PAS,True,110,135
ENSG00000163006.11,chr2,108786915,108788031,5AS,True,82,101
ENSG00000163006.11,chr2,108788966,108791679,3AS,False,13,112
ENSG00000163006.11,chr2,108786738,108786915,TSS,True,28,118
ENSG00000163006.11,chr2,108786747,108786933,TSS,True,99,118
ENSG00000163006.11,chr2,108876087,108885485,PAS,True,13,118
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,250,1625
ENSG00000068784.12,chr2,45384541,45389599,PAS,True,22,176
ENSG00000204262.12,chr2,189031881,189034216,PAS,True,76,493
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,122,498
ENSG00000011523.13,chr2,65056524,65069398,5AS,True,63,110
ENSG00000011523.13,chr2,65056353,65056524,TSS,True,56,119
ENSG00000011523.13,chr2,65056401,65056528,TSS,True,68,119
ENSG00000011523.13,chr2,65083638,65087004,PAS,False,38,119
ENSG00000011523.13,chr2,65074281,65075271,PAS,True,88,119
ENSG00000168906.12,chr2,85543034,85543669,IR,True,480,857
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,381,858
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,538,858
ENSG00000132300.18,chr2,86127305,86127940,IR,True,319,368
ENSG00000065911.11,chr2,74198742,74205704,ES,True,416,484
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,1643,1949
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,389,1949
ENSG00000124831.18,chr2,237708630,237748363,ES,False,92,108
ENSG00000124831.18,chr2,237749324,237753308,ES,False,85,118
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,37,132
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,60,128
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,92,131
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,73,278
ENSG00000196950.13,chr2,195586266,195586417,TSS,True,247,278
ENSG00000196950.13,chr2,195734882,195737704,PAS,False,40,273
ENSG00000077232.17,chr2,182732542,182740298,ES,False,64,566
ENSG00000077232.17,chr2,182732542,182740298,3AS,False,64,105
ENSG00000003393.14,chr2,201700267,201701889,PAS,True,95,149
ENSG00000003393.14,chr2,201759260,201761818,PAS,True,73,136
ENSG00000003393.14,chr2,201780876,201781151,TSS,True,24,150
ENSG00000115694.14,chr2,241499414,241500172,IR,False,349,414
ENSG00000115694.14,chr2,241501708,241508442,ES,False,78,169
ENSG00000115694.14,chr2,241501708,241508504,ES,False,32,209
ENSG00000115694.14,chr2,241501708,241508504,5AS,False,32,200
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,179,268
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,263,441
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,230,441
ENSG00000168385.17,chr2,241315982,241317498,ES,False,168,194
ENSG00000168385.17,chr2,241315982,241324215,ES,False,1419,1616
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,213,1879
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,101,292
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,220,292
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,53,287
ENSG00000135931.17,chr2,231371512,231376850,PAS,True,260,289
ENSG00000198925.11,chr2,219228053,219229534,ES,False,18,126
ENSG00000198925.11,chr2,219228482,219229534,3AS,False,14,111
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,65,198
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,177,198
ENSG00000163492.15,chr2,178905501,178918712,ES,True,230,259
ENSG00000163492.15,chr2,178856255,178856397,PAS,True,138,282
ENSG00000163492.15,chr2,179049839,179050195,TSS,True,258,287
ENSG00000163492.15,chr2,179051558,179051701,TSS,True,41,287
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,928,1307
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,1046,1306
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,756,1307
ENSG00000115307.16,chr2,74528935,74529131,IR,False,281,368
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,165,198
ENSG00000119760.15,chr2,27661388,27662178,IR,False,165,220
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,217,267
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,64,281
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,232,281
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,96,140
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,60,142
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,276,1097
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,837,1097
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,214,259
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,18,102
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,26,111
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,95,111
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,29,113
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,87,113
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,14,102
ENSG00000115685.14,chr2,241149548,241149708,TSS,False,89,102
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,40,102
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,75,102
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,59,564
ENSG00000118260.14,chr2,207560372,207567462,ES,False,119,169
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,23,114
ENSG00000077044.10,chr2,233469370,233472104,PAS,True,70,105
ENSG00000077044.10,chr2,233467085,233472094,PAS,False,34,103
ENSG00000115392.11,chr2,58162947,58163028,IR,False,275,307
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,248,298
ENSG00000144354.13,chr2,173358837,173363225,ES,False,137,244
ENSG00000144354.13,chr2,173367633,173368997,PAS,True,34,250
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,29,111
ENSG00000170035.15,chr2,180981038,180981385,TSS,False,97,111
ENSG00000115825.9,chr2,37293271,37324680,ES,True,36,101
ENSG00000115825.9,chr2,37250497,37253350,PAS,True,19,115
ENSG00000115825.9,chr2,37324680,37324833,TSS,False,15,118
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,373,640
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,291,640
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,156,244
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,154,243
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,193,243
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,68,376
ENSG00000138399.17,chr2,169563350,169571652,ES,False,16,112
ENSG00000138399.17,chr2,169528115,169529926,PAS,True,37,118
ENSG00000138399.17,chr2,169531388,169531490,PAS,True,104,118
ENSG00000138399.17,chr2,169558767,169560785,PAS,True,97,116
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,13,118
ENSG00000169016.16,chr2,11453798,11457178,ES,False,85,107
ENSG00000169016.16,chr2,11453798,11465771,ES,False,16,123
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,59,401
ENSG00000144028.14,chr2,96284743,96285340,PAS,True,280,312
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,168,411
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,201,255
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,58,268
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,214,268
ENSG00000115966.16,chr2,175118369,175130137,ES,False,62,176
ENSG00000155755.18,chr2,201642608,201642696,TSS,True,25,101
ENSG00000155755.18,chr2,201643358,201643558,TSS,True,81,101
ENSG00000135968.20,chr2,108449280,108449632,5AS,False,117,136
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,27,144
ENSG00000135968.20,chr2,108448986,108449289,TSS,True,125,144
ENSG00000135968.20,chr2,108469650,108472018,PAS,True,42,142
ENSG00000135968.20,chr2,108472826,108473326,PAS,True,113,142
ENSG00000115687.13,chr2,241112439,241115042,5AS,False,195,223
ENSG00000115687.13,chr2,241149413,241150286,TSS,True,43,234
ENSG00000178568.14,chr2,211387150,211420440,ES,False,89,302
ENSG00000178568.14,chr2,211375715,211384060,PAS,True,113,418
ENSG00000178568.14,chr2,211415102,211420611,PAS,True,370,412
ENSG00000178568.14,chr2,211560262,211562088,PAS,True,346,410
ENSG00000128641.18,chr2,191400468,191402631,ES,False,17,119
ENSG00000128641.18,chr2,191400468,191408114,ES,False,55,179
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,39,199
ENSG00000163029.15,chr2,17745951,17753625,ES,False,143,173
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,141,185
ENSG00000163029.15,chr2,17698487,17700378,PAS,True,142,185
ENSG00000163029.15,chr2,17703134,17703292,PAS,False,130,185
ENSG00000128654.13,chr2,176329426,176337492,ES,True,22,171
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,334,380
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,48,380
ENSG00000123636.17,chr2,159412545,159428310,ES,False,60,163
ENSG00000123636.17,chr2,159429260,159432756,ES,False,38,162
ENSG00000123636.17,chr2,159448403,159453612,3AS,False,26,152
ENSG00000123636.17,chr2,159398292,159398894,PAS,False,148,180
ENSG00000123636.17,chr2,159404388,159404910,PAS,True,73,180
ENSG00000123636.17,chr2,159616241,159617314,TSS,True,53,184
ENSG00000144476.5,chr2,236569662,236569924,TSS,False,93,284
ENSG00000144476.5,chr2,236567752,236567841,TSS,False,210,290
ENSG00000123983.13,chr2,222887888,222908732,ES,False,226,362
ENSG00000127831.10,chr2,218431957,218432792,ES,True,37,340
ENSG00000136699.19,chr2,130157396,130164373,ES,False,373,447
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,56,488
ENSG00000168397.16,chr2,241651335,241653511,ES,False,284,371
ENSG00000168397.16,chr2,241671405,241672190,IR,False,316,357
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,61,390
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,347,388
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,90,264
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,233,264
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,181,363
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,191,372
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,197,372
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,16,145
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,41,170
ENSG00000163516.13,chr2,219234288,219234825,IR,False,153,217
ENSG00000163516.13,chr2,219235312,219235473,IR,False,157,198
ENSG00000163516.13,chr2,219235585,219235707,IR,False,189,213
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,21,204
ENSG00000171865.9,chr2,3541427,3545871,PAS,True,23,210
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,264,325
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,38,302
ENSG00000115084.13,chr2,113711380,113715195,PAS,True,13,126
ENSG00000115084.13,chr2,113756369,113756674,TSS,True,14,126
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,92,140
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,59,139
ENSG00000136731.12,chr2,128091382,128097428,5AS,False,30,118
ENSG00000136731.12,chr2,128091170,128091382,TSS,False,99,129
ENSG00000136731.12,chr2,128091162,128091415,TSS,True,56,129
ENSG00000136731.12,chr2,128189716,128193203,PAS,True,16,128
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,55,309
ENSG00000085760.14,chr2,55263865,55267568,ES,False,84,100
ENSG00000085760.14,chr2,55267635,55268649,5AS,True,16,100
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,67,105
ENSG00000085760.14,chr2,55237324,55237428,PAS,True,89,103
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,62,103
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,17,105
ENSG00000082258.12,chr2,134942674,134946100,ES,False,119,134
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,94,134
ENSG00000082258.12,chr2,134954480,134959342,PAS,True,131,154
ENSG00000082258.12,chr2,134953229,134959339,PAS,True,35,153
ENSG00000115524.15,chr2,197418588,197418895,IR,False,49,112
ENSG00000115524.15,chr2,197418951,197420427,IR,False,29,103
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,439,1881
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,1545,1860
ENSG00000136717.14,chr2,127051243,127059010,ES,False,96,157
ENSG00000136717.14,chr2,127064018,127068923,ES,False,38,158
ENSG00000135913.10,chr2,218558677,218560819,3AS,False,89,104
ENSG00000135913.10,chr2,218560883,218562717,5AS,False,11,107
ENSG00000135913.10,chr2,218450250,218455017,PAS,True,28,116
ENSG00000135913.10,chr2,218523800,218526726,PAS,True,96,113
ENSG00000144366.15,chr2,188383889,188477658,ES,False,124,145
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,82,150
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,87,150
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,17,149
ENSG00000028116.17,chr2,58046821,58048826,5AS,False,24,101
ENSG00000028116.17,chr2,58046621,58046821,TSS,True,87,111
ENSG00000028116.17,chr2,58046636,58046868,TSS,True,33,111
ENSG00000028116.17,chr2,58159348,58164001,PAS,True,17,111
ENSG00000144199.11,chr2,97085861,97086138,IR,False,119,136
ENSG00000144199.11,chr2,97091712,97094700,ES,False,49,138
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,1206,2660
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,1607,2659
ENSG00000068912.13,chr2,53801842,53809213,ES,False,38,230
ENSG00000144224.16,chr2,135753567,135754158,IR,False,150,185
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,166,189
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,52,190
ENSG00000115540.14,chr2,197516146,197535529,ES,False,57,418
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,343,505
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,298,503
ENSG00000115446.11,chr2,98608726,98609755,IR,False,119,145
ENSG00000115446.11,chr2,98608557,98608726,TSS,False,42,174
ENSG00000115446.11,chr2,98608619,98610039,TSS,True,153,174
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,26,174
ENSG00000138101.18,chr2,25371717,25377553,PAS,True,22,118
ENSG00000128656.13,chr2,174846957,174877839,ES,False,89,105
ENSG00000128656.13,chr2,174918565,174944887,ES,True,89,123
ENSG00000128656.13,chr2,175005205,175005440,TSS,True,17,127
ENSG00000128656.13,chr2,175004893,175005411,TSS,True,113,127
ENSG00000138078.15,chr2,44361523,44362808,TSS,True,96,128
ENSG00000138078.15,chr2,44361379,44361547,TSS,True,57,128
ENSG00000138078.15,chr2,44361416,44361559,TSS,True,113,128
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,75,150
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,115,150
ENSG00000118257.16,chr2,205682447,205682905,TSS,True,86,100
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,150,191
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,74,191
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,139,188
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,126,188
ENSG00000132323.8,chr2,238194331,238194804,5AS,False,126,143
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,206,256
ENSG00000136718.9,chr2,130342935,130343085,IR,False,206,249
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,104,303
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,253,303
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,260,303
ENSG00000138375.12,chr2,216412603,216413855,5AS,False,32,177
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,118,253
ENSG00000138375.12,chr2,216412378,216412603,TSS,False,221,253
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,186,253
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,698,895
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,588,895
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,703,895
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,488,2270
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1823,2270
ENSG00000119801.12,chr2,30147062,30156627,ES,False,242,342
ENSG00000005448.16,chr2,74421816,74422152,IR,False,95,111
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,18,117
ENSG00000005448.16,chr2,74421726,74422375,TSS,True,101,117
ENSG00000119772.16,chr2,25248252,25249656,5AS,True,93,132
ENSG00000119772.16,chr2,25248252,25252193,ES,True,155,280
ENSG00000119772.16,chr2,25252193,25252337,TSS,False,87,367
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,2868,3265
ENSG00000084774.13,chr2,27216845,27217633,TSS,True,91,127
ENSG00000084774.13,chr2,27233321,27234226,TSS,True,110,126
ENSG00000136709.11,chr2,127701026,127706552,PAS,False,137,179
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,68,170
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,141,168
ENSG00000168883.19,chr2,85648853,85649016,IR,False,88,640
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,88,647
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,95,647
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,559,647
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,96,128
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,39,135
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,104,135
ENSG00000138443.15,chr2,203402734,203416907,ES,False,97,190
ENSG00000138443.15,chr2,203427269,203427495,IR,True,31,199
ENSG00000138443.15,chr2,203427176,203432169,PAS,True,35,203
ENSG00000138443.15,chr2,203427495,203432169,PAS,True,172,203
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,31,144
ENSG00000153827.13,chr2,229763834,229767750,PAS,True,32,100
ENSG00000153827.13,chr2,229921879,229922235,TSS,True,41,104
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,173,1281
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,297,736
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,350,798
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,477,798
ENSG00000163482.11,chr2,218694635,218696589,3AS,False,14,115
ENSG00000163482.11,chr2,218696601,218697038,IR,True,89,102
ENSG00000163482.11,chr2,218671996,218672215,TSS,True,89,121
ENSG00000163482.11,chr2,218672198,218672365,TSS,True,58,121
ENSG00000144591.18,chr2,219498938,219499960,3AS,False,32,105
ENSG00000144591.18,chr2,219498826,219498938,TSS,False,17,123
ENSG00000144591.18,chr2,219498888,219499254,TSS,True,109,123
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,122,311
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,111,201
