gene,chr,start,end,splice_type,novel,WTC11_ENCFF388HXU_in_cov,WTC11_ENCFF388HXU_total_cov
ENSG00000160310.17,chr21,46649739,46664294,ES,False,20,176
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,268,307
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,138,315
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,253,308
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,93,311
ENSG00000159086.14,chr21,32751218,32755229,5AS,False,69,113
ENSG00000159086.14,chr21,32771325,32771990,TSS,True,39,130
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,764,899
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,365,988
ENSG00000160191.17,chr21,42653546,42653883,TSS,True,12,117
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,65,219
ENSG00000160193.11,chr21,42859722,42873550,ES,True,38,205
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,137,233
ENSG00000160193.11,chr21,42843432,42850242,PAS,True,121,233
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,139,170
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,70,170
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,38,243
ENSG00000142192.20,chr21,25982477,26000014,ES,False,402,858
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,409,1202
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,45,114
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,82,114
ENSG00000185917.13,chr21,36036251,36038149,ES,True,115,132
ENSG00000185917.13,chr21,36041888,36043781,ES,True,62,101
ENSG00000185917.13,chr21,36057204,36058815,ES,False,142,183
ENSG00000185917.13,chr21,36058924,36060346,3AS,False,126,147
ENSG00000185917.13,chr21,36034532,36035960,PAS,True,70,205
ENSG00000185917.13,chr21,36042410,36043956,PAS,True,139,190
ENSG00000185917.13,chr21,36060346,36060903,TSS,True,67,215
ENSG00000160201.11,chr21,43095743,43101365,ES,False,158,198
ENSG00000160201.11,chr21,43095743,43101365,5AS,False,158,180
ENSG00000160201.11,chr21,43095743,43104314,ME,False,158,482
ENSG00000160199.14,chr21,42974327,42974664,TSS,True,26,119
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,89,103
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,53,115
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,95,113
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,49,192
ENSG00000241945.7,chr21,44107234,44107434,TSS,True,34,233
ENSG00000156273.15,chr21,29298773,29298953,TSS,False,72,126
ENSG00000156273.15,chr21,29326313,29327393,TSS,True,110,126
ENSG00000156273.15,chr21,29298920,29299598,TSS,False,103,126
ENSG00000156273.15,chr21,29299162,29299764,TSS,False,112,126
ENSG00000142207.6,chr21,32320640,32322477,ES,True,19,100
ENSG00000142207.6,chr21,32392768,32393036,TSS,False,76,122
ENSG00000160221.17,chr21,44144820,44145712,PAS,True,29,101
ENSG00000205726.14,chr21,33819323,33829623,ES,False,74,270
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,86,306
ENSG00000205726.14,chr21,33836986,33838635,PAS,True,38,300
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,54,448
ENSG00000160208.12,chr21,43687625,43688240,TSS,True,72,120
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,118,362
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,67,362
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,302,345
ENSG00000275895.6,chr21,6487412,6495992,ME,False,133,442
ENSG00000275895.6,chr21,6487412,6493043,ES,False,133,160
ENSG00000205581.10,chr21,39345274,39345829,IR,False,149,169
ENSG00000205581.10,chr21,39345274,39347378,5AS,True,36,132
ENSG00000205581.10,chr21,39345958,39347378,IR,False,18,133
ENSG00000205581.10,chr21,39345958,39348291,IR,False,29,110
ENSG00000205581.10,chr21,39347478,39348291,IR,False,21,102
ENSG00000205581.10,chr21,39347483,39348291,IR,False,45,126
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,197,1428
ENSG00000159147.17,chr21,33588320,33588838,TSS,True,18,176
ENSG00000156304.14,chr21,31685174,31685397,3AS,False,77,290
ENSG00000156304.14,chr21,31731662,31732165,TSS,True,37,305
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,25,177
ENSG00000160285.14,chr21,46195756,46205835,ES,True,77,480
ENSG00000160285.14,chr21,46221975,46222662,5AS,False,53,421
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,252,531
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,399,531
ENSG00000184809.12,chr21,39602816,39606002,PAS,False,124,145
ENSG00000184809.12,chr21,39604093,39606347,PAS,True,81,145
ENSG00000184809.12,chr21,39597143,39600279,PAS,True,121,145
ENSG00000185658.13,chr21,39192418,39197415,PAS,True,80,132
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,44,104
ENSG00000185658.13,chr21,39313442,39314127,TSS,True,81,184
ENSG00000155313.15,chr21,15842540,15864267,ES,False,134,157
ENSG00000155313.15,chr21,15729916,15730438,TSS,False,33,166
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,125,898
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,83,798
ENSG00000135930.13,chr2,232567214,232580903,ES,False,201,225
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,52,411
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,240,389
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,164,389
ENSG00000138032.20,chr2,44168839,44169274,TSS,True,63,595
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,327,573
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,264,573
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,84,212
ENSG00000071054.16,chr2,101859864,101864929,ES,False,144,216
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,58,221
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,65,223
ENSG00000071054.16,chr2,101870415,101873646,ES,False,193,224
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,97,278
ENSG00000005436.13,chr2,75662658,75664783,PAS,True,23,100
ENSG00000005436.13,chr2,75710590,75711006,TSS,False,18,100
ENSG00000035115.21,chr2,263983,264695,TSS,True,81,100
ENSG00000035115.21,chr2,264541,264609,TSS,False,73,100
ENSG00000035115.21,chr2,264083,264666,TSS,True,72,100
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,637,3460
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,33,285
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,305,984
ENSG00000163214.20,chr2,38875786,38875934,TSS,True,37,144
ENSG00000153561.12,chr2,86720018,86720809,TSS,False,56,260
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,52,214
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,182,214
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,46,454
ENSG00000115109.13,chr2,120013027,120013210,TSS,True,32,195
ENSG00000115109.13,chr2,120104059,120108570,PAS,True,29,169
ENSG00000115109.13,chr2,120174840,120179119,PAS,True,152,185
ENSG00000124839.12,chr2,237575480,237577256,3AS,True,294,329
ENSG00000124839.12,chr2,237575480,237577256,IR,True,294,327
ENSG00000124839.12,chr2,237577382,237585997,ES,False,55,274
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,43,273
ENSG00000055917.15,chr2,20256170,20258242,5AS,True,84,109
ENSG00000055917.15,chr2,20350596,20350848,TSS,True,124,154
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,90,488
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,139,172
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,85,172
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,139,167
ENSG00000115339.13,chr2,165757182,165758746,3AS,True,23,111
ENSG00000115339.13,chr2,165794014,165794777,TSS,True,24,137
ENSG00000119787.13,chr2,38296113,38298143,IR,True,179,242
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,94,273
ENSG00000119787.13,chr2,38293948,38298575,PAS,True,188,249
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,52,273
ENSG00000144040.12,chr2,72942030,72945099,PAS,True,23,120
ENSG00000144040.12,chr2,73071603,73072187,TSS,True,23,129
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,34,308
ENSG00000204634.12,chr2,101005932,101008273,PAS,False,36,133
ENSG00000204634.12,chr2,101011027,101011540,PAS,True,116,132
ENSG00000204634.12,chr2,101151126,101151527,TSS,True,20,133
ENSG00000152683.14,chr2,32165831,32165903,TSS,True,43,119
ENSG00000152683.14,chr2,32165864,32166189,TSS,True,106,119
ENSG00000144029.11,chr2,95101723,95106422,ES,False,38,297
ENSG00000197329.11,chr2,64144080,64144425,TSS,True,32,258
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,215,905
ENSG00000084693.15,chr2,27051642,27051793,TSS,True,23,202
ENSG00000084693.15,chr2,27059189,27059535,PAS,True,78,201
ENSG00000084693.15,chr2,27070091,27070622,PAS,True,152,201
ENSG00000084693.15,chr2,27067493,27067839,PAS,True,178,201
ENSG00000144036.15,chr2,72179461,72184074,5AS,True,108,123
ENSG00000144036.15,chr2,72825797,72826051,TSS,True,35,154
ENSG00000163251.3,chr2,207769264,207769904,TSS,False,69,160
ENSG00000204120.14,chr2,232697392,232735154,ES,False,21,101
ENSG00000204120.14,chr2,232787329,232790715,3AS,False,15,106
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,61,163
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,106,630
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,35,277
ENSG00000115355.16,chr2,55287841,55291164,PAS,True,50,116
ENSG00000115355.16,chr2,55291922,55296056,PAS,True,82,106
ENSG00000115355.16,chr2,55419016,55419995,TSS,True,99,134
ENSG00000138073.13,chr2,27133337,27133531,IR,False,293,338
ENSG00000115073.7,chr2,97658117,97658223,IR,True,91,105
ENSG00000115073.7,chr2,97663842,97664042,TSS,True,19,113
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,339,402
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,72,389
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,120,430
ENSG00000172954.13,chr2,30447383,30525586,ES,False,91,103
ENSG00000172954.13,chr2,30447383,30525586,5AS,False,91,105
ENSG00000172954.13,chr2,30447234,30447383,TSS,True,37,142
ENSG00000138018.17,chr2,26346056,26346289,TSS,True,89,134
ENSG00000168288.12,chr2,149587663,149587806,TSS,True,34,321
ENSG00000124356.15,chr2,73828996,73830844,5AS,False,39,150
ENSG00000124356.15,chr2,73829070,73829404,IR,False,91,122
ENSG00000124356.15,chr2,73829070,73830844,ES,False,18,109
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,181,233
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,122,233
ENSG00000124356.15,chr2,73828982,73829510,TSS,True,207,233
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,69,678
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,35,336
ENSG00000138031.14,chr2,24819163,24820114,PAS,True,18,112
ENSG00000138031.14,chr2,24919682,24920614,TSS,False,22,115
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,617,832
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,569,756
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,356,863
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,677,863
ENSG00000114982.17,chr2,96638282,96638378,TSS,True,42,100
ENSG00000084731.14,chr2,25930060,25951788,3AS,False,24,146
ENSG00000084731.14,chr2,25980372,25982757,TSS,True,27,169
ENSG00000218739.9,chr2,37196480,37196520,TSS,True,58,189
ENSG00000218739.9,chr2,37201862,37204743,PAS,True,24,161
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,281,534
ENSG00000196141.13,chr2,200419496,200440648,ES,False,373,593
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,503,629
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,197,629
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,144,325
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,256,325
ENSG00000162961.13,chr2,32039492,32039732,5AS,False,100,115
ENSG00000162961.13,chr2,32039592,32039830,TSS,True,114,128
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,27,128
ENSG00000152291.13,chr2,85326804,85326978,IR,False,22,106
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,50,151
ENSG00000163006.11,chr2,108798586,108804891,3AS,False,13,103
ENSG00000163006.11,chr2,108786738,108786915,TSS,True,34,113
ENSG00000163006.11,chr2,108786747,108786933,TSS,True,98,113
ENSG00000115963.13,chr2,150487455,150487548,IR,False,140,300
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,170,329
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,189,329
ENSG00000135945.9,chr2,99424280,99429839,ES,True,99,116
ENSG00000135945.9,chr2,99449504,99462495,ES,False,98,114
ENSG00000135945.9,chr2,99489816,99490218,TSS,True,23,135
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,220,864
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,728,864
ENSG00000068784.12,chr2,45611218,45611308,TSS,False,17,118
ENSG00000115282.19,chr2,74491666,74492003,5AS,False,55,122
ENSG00000115282.19,chr2,74492229,74492303,IR,False,115,128
ENSG00000115282.19,chr2,74482021,74483135,TSS,True,17,134
ENSG00000115282.19,chr2,74492921,74494564,PAS,True,18,131
ENSG00000011523.13,chr2,65056353,65056524,TSS,True,70,102
ENSG00000011523.13,chr2,65056401,65056528,TSS,True,56,102
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,48,347
ENSG00000152256.13,chr2,172562291,172564502,ES,False,97,111
ENSG00000152256.13,chr2,172566933,172570725,ES,False,14,115
ENSG00000152256.13,chr2,172596023,172597612,IR,False,20,113
ENSG00000152256.13,chr2,172555968,172556346,TSS,True,25,135
ENSG00000152256.13,chr2,172597612,172599143,PAS,False,111,131
ENSG00000152256.13,chr2,172595828,172599153,PAS,True,31,122
ENSG00000168906.12,chr2,85542373,85542564,IR,False,281,322
ENSG00000168906.12,chr2,85542747,85542900,IR,True,302,340
ENSG00000168906.12,chr2,85543034,85543669,IR,True,212,345
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,144,421
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,135,345
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,248,343
ENSG00000132300.18,chr2,86127305,86127940,IR,True,358,409
ENSG00000152102.17,chr2,131082657,131093213,ES,True,220,249
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,139,387
ENSG00000065911.11,chr2,74198742,74205704,ES,True,501,578
ENSG00000065911.11,chr2,74198742,74207703,ES,False,70,648
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,85,738
ENSG00000176720.5,chr2,241558993,241570124,ES,True,20,132
ENSG00000176720.5,chr2,241562476,241572296,ES,True,17,126
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,24,172
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,1068,1322
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,343,1322
ENSG00000118965.14,chr2,19910259,19913708,PAS,True,18,114
ENSG00000118965.14,chr2,19989991,19990169,TSS,True,35,123
ENSG00000124831.18,chr2,237749324,237753308,ES,False,327,531
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,401,573
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,224,573
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,266,536
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,304,573
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,442,1222
ENSG00000196950.13,chr2,195586266,195586417,TSS,True,1024,1224
ENSG00000173209.23,chr2,61181405,61184711,ES,False,185,207
ENSG00000173209.23,chr2,61185618,61186445,IR,False,82,182
ENSG00000173209.23,chr2,61186081,61186445,IR,False,24,128
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,514,584
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,69,561
ENSG00000003393.14,chr2,201715836,201718076,3AS,True,18,105
ENSG00000003393.14,chr2,201700267,201701889,PAS,True,47,160
ENSG00000003393.14,chr2,201759260,201761818,PAS,True,97,119
ENSG00000003393.14,chr2,201780876,201781151,TSS,True,52,160
ENSG00000115694.14,chr2,241499414,241500172,IR,False,526,599
ENSG00000115694.14,chr2,241501708,241508442,ES,False,66,345
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,37,319
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,461,666
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,314,666
ENSG00000168385.17,chr2,241315982,241317498,ES,False,269,299
ENSG00000168385.17,chr2,241315982,241324215,ES,False,2139,2448
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,442,2949
ENSG00000115514.11,chr2,99318989,99319799,PAS,True,22,157
ENSG00000115514.11,chr2,99321533,99322209,PAS,True,137,157
ENSG00000115942.8,chr2,200963489,200963704,TSS,False,43,210
ENSG00000135931.17,chr2,231235381,231256585,ES,False,33,146
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,66,159
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,122,159
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,39,152
ENSG00000198925.11,chr2,219228053,219229534,ES,False,50,239
ENSG00000198925.11,chr2,219228485,219229534,ES,False,119,159
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,71,314
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,269,314
ENSG00000021574.12,chr2,32064246,32087494,3AS,False,21,119
ENSG00000021574.12,chr2,32063529,32064246,TSS,True,22,142
ENSG00000115419.12,chr2,190880798,190881470,TSS,True,85,394
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,61,357
ENSG00000168280.16,chr2,148875184,148875743,TSS,False,102,233
ENSG00000168280.16,chr2,149023077,149026759,PAS,True,20,183
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,894,1184
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,1019,1184
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,762,1184
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,356,413
ENSG00000115307.16,chr2,74527838,74527939,IR,False,378,422
ENSG00000115307.16,chr2,74528935,74529131,IR,False,303,401
ENSG00000085978.21,chr2,233273052,233274675,ES,False,59,100
ENSG00000085978.21,chr2,233289970,233290247,5AS,True,13,103
ENSG00000085978.21,chr2,233251640,233251942,TSS,True,30,114
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,98,117
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,33,130
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,111,130
ENSG00000115271.10,chr2,162344099,162344275,TSS,True,21,150
ENSG00000128699.13,chr2,189782602,189783013,IR,False,71,104
ENSG00000128699.13,chr2,189782602,189784268,ES,False,139,185
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,222,254
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,66,254
PB_novel_212489,chr2,67334150,67337515,IR,True,105,256
PB_novel_212489,chr2,67334150,67339333,ES,True,110,136
PB_novel_212489,chr2,67331769,67332062,TSS,True,87,463
PB_novel_212489,chr2,67339333,67339973,PAS,True,324,463
PB_novel_212489,chr2,67337515,67337976,PAS,True,301,380
PB_novel_212489,chr2,67333952,67337964,PAS,True,229,377
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,80,783
ENSG00000115548.16,chr2,86441329,86441444,TSS,True,35,136
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,155,206
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,72,389
ENSG00000173744.17,chr2,227472138,227472588,TSS,True,61,422
ENSG00000115310.17,chr2,54987698,55049744,ES,False,594,677
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,84,751
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,70,117
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,86,117
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,52,271
ENSG00000114993.16,chr2,74440352,74440824,TSS,True,236,271
ENSG00000040933.15,chr2,98546694,98552785,5AS,True,87,103
ENSG00000040933.15,chr2,98555691,98559462,5AS,False,76,101
ENSG00000040933.15,chr2,98444823,98445085,TSS,True,26,126
ENSG00000040933.15,chr2,98587475,98591328,PAS,True,12,113
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,17,122
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,53,120
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,76,119
ENSG00000115760.14,chr2,32513679,32515770,TSS,False,90,104
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,119,820
ENSG00000135966.12,chr2,105308315,105329624,3AS,True,62,132
ENSG00000135966.12,chr2,105329624,105330200,TSS,False,33,165
ENSG00000119041.10,chr2,196799509,196799723,TSS,True,35,282
ENSG00000132330.16,chr2,238091217,238092078,PAS,True,206,254
ENSG00000132330.16,chr2,238098201,238099414,PAS,True,66,259
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,26,257
ENSG00000068724.15,chr2,46941070,46941725,TSS,True,20,105
ENSG00000068724.15,chr2,47073701,47076137,PAS,True,11,108
ENSG00000118260.14,chr2,207560372,207567462,ES,False,65,120
ENSG00000118260.14,chr2,207575454,207577504,ES,False,108,122
ENSG00000118260.14,chr2,207529893,207530134,TSS,True,50,167
ENSG00000118260.14,chr2,207596913,207605043,PAS,True,27,126
ENSG00000118260.14,chr2,207599079,207605986,PAS,True,105,129
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,42,117
ENSG00000085449.14,chr2,223945147,223945383,TSS,True,79,485
ENSG00000115392.11,chr2,58165874,58198593,ES,False,137,153
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,137,153
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,41,213
ENSG00000115392.11,chr2,58165723,58176952,TSS,False,187,209
ENSG00000144354.13,chr2,173358837,173363225,ES,False,294,484
ENSG00000144354.13,chr2,173363895,173363999,IR,False,65,109
ENSG00000144354.13,chr2,173363895,173364794,3AS,True,385,442
ENSG00000144354.13,chr2,173363895,173364794,IR,False,385,429
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,55,229
ENSG00000170035.15,chr2,180981038,180981385,TSS,False,203,229
ENSG00000115159.15,chr2,156435452,156435804,TSS,False,92,120
ENSG00000115159.15,chr2,156436201,156436513,TSS,True,74,120
ENSG00000115825.9,chr2,37293271,37324680,ES,True,69,281
ENSG00000115825.9,chr2,37317179,37324680,ES,True,179,212
ENSG00000115825.9,chr2,37324680,37324833,TSS,False,109,391
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,1082,1660
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,700,1660
ENSG00000144485.10,chr2,238239251,238239486,IR,False,75,140
ENSG00000144485.10,chr2,238238266,238239568,PAS,True,88,152
ENSG00000144485.10,chr2,238238266,238239251,PAS,True,72,152
ENSG00000138050.14,chr2,39755960,39761330,ES,False,89,116
ENSG00000138050.14,chr2,39770119,39771514,5AS,False,20,114
ENSG00000075340.22,chr2,70656789,70663735,PAS,True,54,233
ENSG00000075340.22,chr2,70675083,70676885,PAS,True,174,219
ENSG00000075340.22,chr2,70767885,70768287,TSS,True,115,286
ENSG00000115839.17,chr2,135052278,135052325,TSS,True,35,142
ENSG00000115839.17,chr2,135168544,135170707,PAS,True,15,139
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,19,162
ENSG00000163170.11,chr2,74135658,74145188,ES,False,39,141
ENSG00000138092.10,chr2,24793134,24793501,TSS,True,84,185
ENSG00000138092.10,chr2,24793141,24793520,TSS,True,137,185
ENSG00000138092.10,chr2,24819353,24822380,PAS,True,22,168
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,147,590
ENSG00000171551.11,chr2,232485091,232485198,IR,False,110,125
ENSG00000171551.11,chr2,232487718,232487875,TSS,True,14,133
ENSG00000178162.8,chr2,130418298,130419070,IR,False,61,106
ENSG00000178162.8,chr2,130425158,130427703,ES,False,54,104
ENSG00000178162.8,chr2,130416749,130418298,PAS,True,48,109
ENSG00000178162.8,chr2,130416749,130419245,PAS,True,64,109
ENSG00000144043.11,chr2,70989816,70993695,ES,False,27,107
