gene,chr,start,end,splice_type,novel,lower_lobe_of_left_lung_ENCFF779VVX_in_cov,lower_lobe_of_left_lung_ENCFF779VVX_total_cov
ENSG00000124839.12,chr2,237575480,237577256,3AS,True,273,311
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,32,291
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,52,101
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,69,101
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,84,101
ENSG00000168874.12,chr2,85753811,85754957,TSS,True,32,101
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,24,140
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,85,166
ENSG00000163219.11,chr2,68787956,68807275,3AS,False,19,120
ENSG00000163219.11,chr2,68774784,68775420,TSS,True,42,127
ENSG00000163219.11,chr2,68734779,68735260,TSS,True,111,127
ENSG00000163219.11,chr2,68825986,68826833,PAS,True,19,127
ENSG00000163219.11,chr2,68822339,68823357,PAS,True,111,127
ENSG00000084693.15,chr2,27059189,27059535,PAS,True,23,105
ENSG00000084693.15,chr2,27055681,27057926,PAS,True,89,101
ENSG00000204120.14,chr2,232697392,232703423,ES,False,182,254
ENSG00000204120.14,chr2,232697392,232735154,ES,False,32,302
ENSG00000204120.14,chr2,232703489,232735154,ES,False,160,269
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,74,377
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,302,341
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,233,373
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,262,365
ENSG00000158019.20,chr2,27890842,27894532,ES,False,189,222
ENSG00000158019.20,chr2,28298491,28338449,ES,True,180,237
ENSG00000162976.12,chr2,11172045,11177736,ES,False,25,160
ENSG00000196504.16,chr2,152677475,152679351,ES,False,35,220
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,178,217
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,193,222
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,51,222
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,84,222
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,183,222
ENSG00000196504.16,chr2,152717830,152718478,TSS,True,197,222
ENSG00000074582.13,chr2,218661520,218661758,5AS,False,21,119
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,109,126
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,42,126
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,65,569
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,32,112
ENSG00000115648.13,chr2,237527516,237540347,ES,False,991,1146
ENSG00000115648.13,chr2,237540533,237542566,ES,False,217,1168
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,228,1202
ENSG00000198399.14,chr2,24315224,24328051,ES,False,240,285
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,248,309
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,206,309
ENSG00000198399.14,chr2,24284915,24286351,PAS,False,275,309
ENSG00000198399.14,chr2,24291507,24293775,PAS,True,239,309
ENSG00000198399.14,chr2,24360303,24360807,TSS,True,40,335
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,460,1338
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,1156,1335
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,1180,1337
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,79,161
ENSG00000115756.12,chr2,10302659,10303177,TSS,True,82,568
ENSG00000065911.11,chr2,74198742,74205704,ES,True,892,1094
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,133,157
ENSG00000176720.5,chr2,241559005,241559703,TSS,True,140,157
ENSG00000176720.5,chr2,241570107,241570288,TSS,True,131,157
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,34,112
ENSG00000124831.18,chr2,237708630,237748363,ES,False,338,380
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,371,465
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,204,462
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,67,407
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,913,1059
ENSG00000138442.9,chr2,202879612,202880937,PAS,True,12,109
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,163,198
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,231,279
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,109,279
ENSG00000168385.17,chr2,241315982,241324215,ES,False,381,438
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,97,544
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,132,177
ENSG00000135931.17,chr2,231270447,231270700,TSS,False,125,176
ENSG00000135931.17,chr2,231270487,231271072,TSS,True,129,176
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,61,158
ENSG00000135931.17,chr2,231371512,231376850,PAS,True,128,173
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,240,607
ENSG00000115677.16,chr2,241247055,241247142,PAS,True,372,428
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,238,389
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,537,638
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,396,638
ENSG00000115677.16,chr2,241242459,241243345,TSS,True,359,415
ENSG00000116016.13,chr2,46380334,46380717,TSS,True,197,266
ENSG00000116016.13,chr2,46381976,46382089,TSS,True,237,266
ENSG00000116016.13,chr2,46382458,46382598,TSS,True,226,266
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,80,103
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,29,109
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,86,109
ENSG00000128699.13,chr2,189782602,189783013,IR,False,65,111
ENSG00000128699.13,chr2,189782602,189784268,ES,False,73,103
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,154,194
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,91,199
ENSG00000128699.13,chr2,189783013,189784347,TSS,True,173,194
ENSG00000158552.12,chr2,219208639,219208976,IR,False,84,116
ENSG00000158552.12,chr2,219209049,219209261,IR,False,82,114
ENSG00000158552.12,chr2,219206773,219206845,TSS,True,36,118
ENSG00000158552.12,chr2,219206792,219207042,TSS,True,91,118
ENSG00000158552.12,chr2,219208571,219209648,PAS,True,90,118
ENSG00000158552.12,chr2,219209261,219209648,PAS,True,36,118
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,247,316
ENSG00000170745.11,chr2,17878620,17878806,TSS,True,25,203
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,75,113
ENSG00000115310.17,chr2,55010086,55010266,TSS,False,99,113
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,21,152
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,47,111
ENSG00000055332.17,chr2,37109193,37109250,TSS,True,89,106
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,98,110
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,23,184
ENSG00000082146.12,chr2,201480031,201480847,PAS,True,12,111
ENSG00000115685.14,chr2,241150547,241157806,ES,False,15,136
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,32,168
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,22,168
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,22,100
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,82,100
ENSG00000071082.10,chr2,101006349,101006423,PAS,False,25,100
ENSG00000071082.10,chr2,101018997,101019763,PAS,False,88,100
ENSG00000118260.14,chr2,207560372,207567462,ES,False,79,114
ENSG00000118260.14,chr2,207529893,207530134,TSS,True,30,130
ENSG00000119185.12,chr2,9418732,9422478,ES,False,103,134
ENSG00000119185.12,chr2,9402706,9406036,PAS,True,162,189
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,38,189
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,156,189
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,53,189
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,92,119
ENSG00000077044.10,chr2,233418895,233419421,TSS,False,104,119
ENSG00000085449.14,chr2,223875346,223878730,PAS,True,15,102
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,97,278
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,204,277
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,22,120
ENSG00000170035.15,chr2,180981043,180982236,TSS,True,101,120
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,27,166
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,295,570
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,305,570
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,206,261
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,135,261
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,198,261
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,48,195
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,32,298
ENSG00000115221.11,chr2,160200002,160200323,TSS,True,77,116
ENSG00000197713.14,chr2,210002567,210002783,TSS,True,17,104
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,113,151
ENSG00000144028.14,chr2,96286687,96286879,TSS,True,103,154
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,20,137
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,65,494
ENSG00000118960.12,chr2,20638652,20645339,ES,True,13,119
ENSG00000118960.12,chr2,20651031,20651157,TSS,True,32,145
ENSG00000003436.15,chr2,187503770,187554199,ME,False,111,136
ENSG00000003436.15,chr2,187503770,187520541,ES,False,24,115
ENSG00000003436.15,chr2,187503770,187554199,ME,False,103,136
ENSG00000003436.15,chr2,187503770,187554199,ME,False,102,136
ENSG00000003436.15,chr2,187503770,187529363,ES,True,99,175
ENSG00000003436.15,chr2,187503770,187554199,ES,False,288,559
ENSG00000003436.15,chr2,187513646,187554199,ES,False,25,138
ENSG00000003436.15,chr2,187529485,187554199,ES,True,155,184
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,42,173
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,70,201
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,159,201
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,25,146
ENSG00000115380.19,chr2,55922447,55923710,ES,False,1459,2117
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,26,124
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,95,123
ENSG00000128654.13,chr2,176269669,176296859,ES,False,89,112
ENSG00000035141.7,chr2,70300980,70301924,ES,False,197,221
ENSG00000123983.13,chr2,222887888,222908732,ES,False,59,120
ENSG00000123983.13,chr2,222922707,222922831,PAS,True,83,130
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,61,135
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,90,108
ENSG00000124383.8,chr2,71134625,71134796,PAS,True,92,108
ENSG00000124383.8,chr2,71149222,71149319,PAS,False,54,108
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,45,113
ENSG00000115325.13,chr2,74555668,74556307,ES,False,21,101
ENSG00000115325.13,chr2,74555172,74555453,TSS,True,93,109
ENSG00000115325.13,chr2,74554696,74554814,TSS,True,25,109
ENSG00000067066.16,chr2,230416328,230442936,ES,False,52,510
ENSG00000067066.16,chr2,230470098,230473383,3AS,False,115,240
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,250,527
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,394,527
ENSG00000168397.16,chr2,241651335,241653511,ES,False,144,183
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,61,224
ENSG00000168397.16,chr2,241651006,241651111,TSS,True,199,224
ENSG00000115956.9,chr2,68365168,68365393,TSS,False,14,137
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,115,185
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,77,192
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,123,192
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,42,113
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,92,113
ENSG00000162980.16,chr2,151828130,151828509,TSS,True,16,157
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,221,256
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,29,250
ENSG00000115762.16,chr2,131140275,131146636,ES,False,263,301
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,47,343
ENSG00000115084.13,chr2,113701304,113705548,PAS,False,93,108
ENSG00000115084.13,chr2,113711380,113715195,PAS,True,39,108
ENSG00000115084.13,chr2,113741884,113742879,PAS,True,90,107
ENSG00000115084.13,chr2,113756369,113756674,TSS,True,11,108
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,74,585
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,430,584
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,214,561
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,51,246
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,153,808
ENSG00000213626.12,chr2,30257432,30260027,PAS,True,78,691
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,68,506
PB_novel_170533,chr2,85657896,85658855,TSS,True,357,530
PB_novel_170533,chr2,85661453,85661538,PAS,True,256,434
ENSG00000136717.14,chr2,127050912,127059010,ES,False,81,363
ENSG00000136717.14,chr2,127051243,127059010,ES,False,227,267
ENSG00000136717.14,chr2,127106859,127107329,TSS,True,57,372
ENSG00000144231.10,chr2,127848185,127852924,ES,False,12,119
ENSG00000144231.10,chr2,127850685,127858027,ES,True,14,118
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,90,584
ENSG00000018280.16,chr2,218385266,218386634,ES,False,151,175
ENSG00000018280.16,chr2,218386741,218387159,IR,False,159,178
ENSG00000018280.16,chr2,218382004,218382375,TSS,True,38,198
ENSG00000018280.16,chr2,218394924,218396901,PAS,True,38,198
ENSG00000018280.16,chr2,218387799,218388991,PAS,True,163,182
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,1085,1832
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,863,1827
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,30,272
ENSG00000173559.12,chr2,191678241,191678989,5AS,False,29,106
ENSG00000173559.12,chr2,191682017,191683728,ES,False,83,102
ENSG00000173559.12,chr2,191678113,191678705,TSS,True,55,133
ENSG00000173559.12,chr2,191678105,191678241,TSS,False,102,133
ENSG00000173559.12,chr2,191685598,191688521,PAS,True,14,122
ENSG00000068912.13,chr2,53801842,53809213,ES,False,53,430
ENSG00000144224.16,chr2,135753567,135754158,IR,False,82,133
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,86,135
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,119,138
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,118,135
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,90,135
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,34,156
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,38,261
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,233,261
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,157,264
ENSG00000168542.14,chr2,189004265,189004364,TSS,True,136,173
ENSG00000168542.14,chr2,189011627,189012747,PAS,True,91,263
ENSG00000168542.14,chr2,188997164,188997220,PAS,True,102,146
ENSG00000168542.14,chr2,188998265,188998297,PAS,True,133,155
ENSG00000138101.18,chr2,25379323,25387288,ES,False,99,135
ENSG00000138101.18,chr2,25371717,25377553,PAS,True,20,158
ENSG00000163359.15,chr2,237324016,237324814,PAS,True,62,135
ENSG00000163359.15,chr2,237368562,237369148,TSS,True,102,116
ENSG00000163359.15,chr2,237413952,237414379,TSS,True,116,135
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,71,198
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,163,198
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,198,394
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,296,394
ENSG00000003402.19,chr2,201129327,201130146,TSS,True,345,390
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,328,381
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,144,381
ENSG00000132323.8,chr2,238194331,238194804,5AS,False,161,188
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,248,327
ENSG00000136718.9,chr2,130342935,130343085,IR,False,248,344
ENSG00000136718.9,chr2,130342962,130343085,IR,False,79,175
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,198,445
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,366,445
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,349,445
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,52,105
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,61,105
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,524,1699
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1206,1699
ENSG00000119801.12,chr2,30147062,30156627,ES,False,385,434
ENSG00000151689.12,chr2,190343583,190343961,TSS,False,30,103
ENSG00000151689.12,chr2,190360041,190360306,TSS,True,92,103
ENSG00000115525.17,chr2,85888823,85889143,TSS,True,39,107
ENSG00000115525.17,chr2,85863361,85863487,TSS,True,91,107
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,123,142
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,74,142
ENSG00000123989.13,chr2,219540945,219541087,TSS,True,115,136
ENSG00000136709.11,chr2,127701026,127706552,PAS,False,136,159
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,37,137
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,112,136
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,30,160
ENSG00000168883.19,chr2,85616456,85619219,5AS,False,36,209
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,226,278
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,102,275
ENSG00000168883.19,chr2,85616127,85616456,TSS,True,239,275
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,80,110
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,38,118
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,89,118
ENSG00000144591.18,chr2,219498938,219499960,3AS,False,48,220
ENSG00000144591.18,chr2,219498826,219498938,TSS,False,29,251
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,92,270
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,180,204
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,181,204
ENSG00000115306.15,chr2,54663518,54664691,TSS,True,82,107
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,82,154
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,132,211
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,56,104
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,85,138
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,76,138
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,52,129
ENSG00000075292.18,chr2,71363152,71364931,PAS,True,108,128
ENSG00000115239.21,chr2,53750941,53786820,ES,False,14,135
ENSG00000115239.21,chr2,53765585,53786820,5AS,True,118,133
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,31,166
ENSG00000115239.21,chr2,53786816,53786971,TSS,True,148,166
ENSG00000186522.14,chr2,109544324,109546049,IR,True,115,146
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,44,162
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,131,162
ENSG00000115486.11,chr2,85559075,85561385,ES,False,42,176
ENSG00000115486.11,chr2,85561385,85561810,TSS,True,130,312
ENSG00000115486.11,chr2,85553231,85553473,TSS,True,271,310
ENSG00000115486.11,chr2,85558916,85559042,TSS,True,262,312
ENSG00000136682.14,chr2,113438022,113441350,ES,False,183,233
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,143,166
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,81,166
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,41,168
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,19,147
ENSG00000079308.18,chr2,217799788,217804603,PAS,True,37,193
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,122,270
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,140,410
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,305,410
ENSG00000115657.13,chr2,219216832,219218124,ES,False,34,305
ENSG00000115602.16,chr2,102342294,102343077,3AS,False,99,913
ENSG00000196843.15,chr2,96547517,96549752,ES,False,163,308
ENSG00000196843.15,chr2,96549805,96550187,3AS,True,264,294
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,23,122
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,105,122
ENSG00000115042.9,chr2,95402872,95405552,ES,False,58,110
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,35,150
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,119,150
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,126,175
ENSG00000115816.14,chr2,37205781,37211082,PAS,True,157,175
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,133,175
ENSG00000115816.14,chr2,37211142,37216208,PAS,True,150,175
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,61,374
