gene,chr,start,end,splice_type,novel,progenitor_cell_of_endocrine_pancreas_ENCFF803KIA_in_cov,progenitor_cell_of_endocrine_pancreas_ENCFF803KIA_total_cov
ENSG00000119760.15,chr2,27661388,27662178,IR,False,198,293
ENSG00000119760.15,chr2,27661601,27662178,IR,False,21,116
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,243,338
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,116,358
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,264,358
ENSG00000128699.13,chr2,189782602,189783013,IR,False,48,132
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,98,167
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,103,169
ENSG00000128699.13,chr2,189783013,189784347,TSS,True,146,167
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,227,547
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,330,547
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,223,284
ENSG00000082146.12,chr2,201478191,201478562,3AS,False,18,117
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,71,654
ENSG00000118260.14,chr2,207560372,207567462,ES,False,227,310
ENSG00000115392.11,chr2,58162947,58163028,IR,False,156,175
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,136,177
ENSG00000115392.11,chr2,58159242,58159800,PAS,True,22,199
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,129,283
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,167,283
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,169,244
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,174,244
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,173,244
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,17,149
ENSG00000115364.13,chr2,75647071,75647219,TSS,True,134,149
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,78,441
ENSG00000115459.17,chr2,85390759,85391752,PAS,True,36,104
ENSG00000115459.17,chr2,85377343,85379169,PAS,True,93,104
ENSG00000115459.17,chr2,85390137,85391752,PAS,True,92,104
ENSG00000138399.17,chr2,169537340,169540050,ES,False,33,108
ENSG00000138399.17,chr2,169563350,169571652,ES,False,39,131
ENSG00000138399.17,chr2,169528115,169529926,PAS,True,53,140
ENSG00000138399.17,chr2,169531388,169531490,PAS,True,125,140
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,20,140
ENSG00000169679.14,chr2,110635467,110638159,PAS,True,21,163
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,73,295
ENSG00000144028.14,chr2,96284743,96285340,PAS,True,117,140
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,192,229
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,233,298
ENSG00000144028.14,chr2,96284357,96286011,TSS,True,202,229
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,202,229
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,306,370
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,82,394
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,330,394
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,112,416
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,335,415
ENSG00000135968.20,chr2,108449280,108449632,5AS,False,162,186
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,45,207
ENSG00000135968.20,chr2,108448986,108449289,TSS,True,183,207
ENSG00000135968.20,chr2,108469650,108472018,PAS,True,27,188
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,32,121
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,39,129
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,97,129
ENSG00000237298.9,chr2,178523636,178535731,ES,False,84,112
ENSG00000237298.9,chr2,178539978,178540106,IR,True,21,101
ENSG00000237298.9,chr2,178538697,178541798,PAS,True,70,124
ENSG00000237298.9,chr2,178597595,178599510,PAS,True,103,127
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,15,121
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,52,482
ENSG00000115380.19,chr2,55922447,55923710,ES,False,171,229
ENSG00000123636.17,chr2,159412545,159428310,ES,False,100,294
ENSG00000123636.17,chr2,159429260,159432756,ES,False,72,302
ENSG00000123636.17,chr2,159448403,159453612,3AS,False,56,353
ENSG00000123636.17,chr2,159398292,159398894,PAS,False,349,402
ENSG00000123636.17,chr2,159404388,159404910,PAS,True,218,401
ENSG00000123636.17,chr2,159429451,159433363,PAS,True,335,397
ENSG00000123636.17,chr2,159616241,159617314,TSS,True,99,415
ENSG00000123983.13,chr2,222887888,222908732,ES,False,67,100
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,13,120
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,29,118
ENSG00000123983.13,chr2,222934529,222942219,PAS,True,105,118
ENSG00000135976.18,chr2,97118517,97142639,ES,True,74,108
ENSG00000135976.18,chr2,97142668,97144517,ES,True,22,110
ENSG00000135976.18,chr2,97164311,97167576,ES,False,89,105
ENSG00000135976.18,chr2,97200452,97200525,PAS,True,85,118
ENSG00000135976.18,chr2,97194844,97196622,PAS,True,106,118
ENSG00000127831.10,chr2,218431957,218432792,ES,True,201,1510
ENSG00000136699.19,chr2,130157396,130164373,ES,False,66,103
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,31,129
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,106,142
ENSG00000124383.8,chr2,71132897,71133451,PAS,False,116,132
ENSG00000124383.8,chr2,71149222,71149319,PAS,False,92,142
ENSG00000235491.1,chr2,125711370,125791772,ES,True,20,106
ENSG00000235491.1,chr2,125791772,125794398,PAS,True,32,137
ENSG00000168397.16,chr2,241651335,241653511,ES,False,114,144
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,22,167
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,49,100
ENSG00000115365.11,chr2,210476315,210476732,TSS,True,88,100
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,80,100
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,234,391
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,177,411
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,262,411
ENSG00000123485.11,chr2,233833682,233837652,PAS,True,15,114
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,14,112
ENSG00000170144.20,chr2,177216940,177219036,ES,False,15,103
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,50,148
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,14,127
ENSG00000163516.13,chr2,219234288,219234825,IR,False,118,212
ENSG00000163516.13,chr2,219235312,219235473,IR,False,115,188
ENSG00000163516.13,chr2,219235312,219235707,ES,True,13,129
ENSG00000163516.13,chr2,219235585,219235707,IR,False,143,197
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,12,108
ENSG00000171865.9,chr2,3541427,3545871,PAS,True,20,109
ENSG00000144021.2,chr2,96268658,96269267,IR,False,222,282
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,133,162
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,23,156
ENSG00000115084.13,chr2,113715195,113719153,ES,True,32,194
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,13,129
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,96,129
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,47,125
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,46,206
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,76,109
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,58,106
ENSG00000085760.14,chr2,55243466,55244233,PAS,True,92,106
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,25,109
ENSG00000125633.10,chr2,117915478,117920396,PAS,True,112,150
ENSG00000125633.10,chr2,117935494,117935579,PAS,False,63,150
ENSG00000082258.12,chr2,134942674,134946100,ES,False,136,152
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,102,158
ENSG00000082258.12,chr2,134939001,134940448,PAS,True,155,177
ENSG00000082258.12,chr2,134953229,134959339,PAS,True,30,182
ENSG00000115524.15,chr2,197418588,197418895,IR,False,72,160
ENSG00000115524.15,chr2,197418951,197420427,IR,False,16,127
ENSG00000115524.15,chr2,197420231,197420427,IR,True,31,141
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,1243,1571
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,1224,1553
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,851,1525
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,57,420
ENSG00000135972.8,chr2,105089069,105089919,3AS,True,201,240
ENSG00000144231.10,chr2,127848185,127852924,ES,False,17,156
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,43,105
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,83,105
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,24,105
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,42,108
ENSG00000115758.12,chr2,10445154,10446793,TSS,True,96,108
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,554,1397
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,953,1394
ENSG00000068912.13,chr2,53801842,53809213,ES,False,47,168
ENSG00000144224.16,chr2,135753567,135754158,IR,False,47,133
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,40,177
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,122,145
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,88,154
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,102,145
ENSG00000115540.14,chr2,197516146,197535529,ES,False,51,389
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,228,302
ENSG00000163166.14,chr2,127496391,127498237,PAS,True,271,302
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,164,296
ENSG00000163002.12,chr2,183161053,183163166,PAS,True,11,106
ENSG00000196604.12,chr2,130100720,130108008,ES,True,49,113
ENSG00000196604.12,chr2,130121298,130127708,3AS,True,19,131
ENSG00000196604.12,chr2,130073315,130075572,PAS,False,103,143
ENSG00000196604.12,chr2,130100672,130100720,PAS,True,118,143
ENSG00000196604.12,chr2,130112035,130112101,PAS,True,125,143
ENSG00000196604.12,chr2,130085973,130085995,PAS,True,125,143
ENSG00000196604.12,chr2,130093483,130093508,PAS,True,124,143
ENSG00000132323.8,chr2,238194331,238194804,5AS,False,99,115
ENSG00000151694.13,chr2,9555508,9556317,TSS,True,19,176
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,142,164
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,48,188
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,166,188
ENSG00000138375.12,chr2,216412603,216413855,5AS,False,35,249
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,234,431
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,278,431
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,207,272
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,173,272
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,229,272
ENSG00000162992.3,chr2,181678871,181680429,IR,True,178,210
ENSG00000162992.3,chr2,181677145,181678871,PAS,False,38,217
ENSG00000162992.3,chr2,181680429,181680517,TSS,True,32,217
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,342,2386
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,2105,2386
ENSG00000119801.12,chr2,30147062,30156627,ES,False,292,331
ENSG00000119772.16,chr2,25248252,25252193,ES,True,86,126
ENSG00000119772.16,chr2,25252193,25252337,TSS,False,52,178
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,150,169
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,93,217
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,147,217
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,44,283
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,43,107
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,84,425
ENSG00000138443.15,chr2,203328259,203328631,TSS,True,19,103
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,80,119
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,243,337
ENSG00000138095.18,chr2,43918023,43918133,PAS,True,259,328
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,57,337
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,179,474
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,211,508
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,316,508
ENSG00000136536.14,chr2,159767283,159771026,PAS,True,226,505
ENSG00000136536.14,chr2,159747804,159748887,PAS,False,296,499
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,74,158
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,21,162
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,195,281
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,192,214
ENSG00000115306.15,chr2,54663518,54664691,TSS,True,101,119
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,172,230
ENSG00000115306.15,chr2,54629891,54630006,PAS,True,110,124
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,181,274
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,420,733
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,503,829
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,395,829
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,228,798
ENSG00000115239.21,chr2,53750941,53786820,ES,False,22,147
ENSG00000115239.21,chr2,53765585,53786820,5AS,True,126,146
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,29,178
ENSG00000115239.21,chr2,53786816,53786971,TSS,True,160,178
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,110,128
ENSG00000275052.4,chr2,55564313,55564497,PAS,True,85,128
ENSG00000275052.4,chr2,55613994,55615506,PAS,True,99,125
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,18,130
ENSG00000084733.10,chr2,26033943,26034735,TSS,True,16,158
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,21,101
ENSG00000136682.14,chr2,113438022,113441350,ES,False,216,256
ENSG00000080345.17,chr2,151409939,151410413,5AS,False,85,155
ENSG00000080345.17,chr2,151410033,151410413,IR,False,71,116
ENSG00000080345.17,chr2,151441967,151443258,5AS,True,36,191
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,137,224
ENSG00000080345.17,chr2,151409883,151410527,TSS,True,178,224
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,152,224
ENSG00000080345.17,chr2,151459999,151460100,PAS,True,28,216
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,55,233
ENSG00000064933.17,chr2,189877271,189878394,PAS,True,178,232
ENSG00000064933.17,chr2,189854238,189856058,PAS,True,123,220
ENSG00000064933.17,chr2,189863742,189865716,PAS,True,163,231
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,209,274
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,114,274
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,124,802
ENSG00000116001.15,chr2,70216499,70216885,5AS,False,630,807
ENSG00000116001.15,chr2,70224629,70227734,ME,True,21,119
ENSG00000116001.15,chr2,70224629,70227734,ES,False,702,821
ENSG00000116001.15,chr2,70227791,70228343,3AS,True,17,163
ENSG00000116001.15,chr2,70227791,70228343,IR,True,17,158
ENSG00000116001.15,chr2,70227791,70229058,3AS,False,63,510
ENSG00000116001.15,chr2,70227791,70229058,IR,True,63,220
ENSG00000116001.15,chr2,70227822,70228343,IR,True,146,287
ENSG00000116001.15,chr2,70227822,70229058,ES,False,332,446
ENSG00000116001.15,chr2,70227822,70229058,IR,True,332,468
ENSG00000116001.15,chr2,70227822,70229263,ES,False,129,594
ENSG00000116001.15,chr2,70227822,70229263,3AS,True,129,220
ENSG00000116001.15,chr2,70227822,70229263,IR,True,129,175
ENSG00000116001.15,chr2,70228462,70229058,IR,True,126,288
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,86,106
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,36,106
ENSG00000116044.15,chr2,177234004,177234266,TSS,True,93,104
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,36,176
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,155,176
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,104,157
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,132,157
ENSG00000115816.14,chr2,37213538,37213961,PAS,True,136,156
ENSG00000115816.14,chr2,37211142,37216208,PAS,True,133,155
ENSG00000143995.19,chr2,66568756,66571245,ES,False,51,105
ENSG00000143995.19,chr2,66435123,66435868,TSS,True,68,139
ENSG00000143995.19,chr2,66571245,66573868,PAS,True,21,127
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,153,916
ENSG00000079785.14,chr2,15627053,15628207,PAS,True,820,916
ENSG00000115875.18,chr2,38745187,38746693,ES,False,136,759
ENSG00000115875.18,chr2,38748653,38748897,IR,False,136,235
ENSG00000115875.18,chr2,38748653,38749239,5AS,True,25,161
ENSG00000115875.18,chr2,38748653,38749239,IR,True,25,124
ENSG00000115875.18,chr2,38748653,38749528,ES,False,501,642
ENSG00000115875.18,chr2,38748653,38749528,IR,False,501,590
ENSG00000115875.18,chr2,38749346,38749528,IR,False,151,268
ENSG00000138036.18,chr2,43809704,43810010,PAS,True,25,101
ENSG00000128655.17,chr2,177627052,177629562,PAS,True,93,144
ENSG00000128655.17,chr2,177686725,177688319,PAS,False,91,141
ENSG00000128655.17,chr2,177727657,177727801,TSS,True,137,153
ENSG00000128655.17,chr2,177728025,177728260,TSS,True,41,153
ENSG00000198612.10,chr2,237086042,237087126,IR,True,174,201
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,31,214
ENSG00000198612.10,chr2,237097662,237102019,PAS,True,30,215
ENSG00000115414.18,chr2,215372015,215372108,IR,False,918,1351
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,545,2020
ENSG00000115414.18,chr2,215407134,215407321,PAS,True,246,488
ENSG00000115414.18,chr2,215408297,215408426,PAS,False,399,485
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,1610,2023
ENSG00000115414.18,chr2,215384019,215385311,TSS,False,1371,1571
ENSG00000115414.18,chr2,215392930,215394723,TSS,False,1263,1578
ENSG00000143727.15,chr2,271939,275139,ME,False,117,319
