gene,chr,start,end,splice_type,novel,WTC11_ENCFF373TKM_in_cov,WTC11_ENCFF373TKM_total_cov
ENSG00000115159.15,chr2,156435452,156435804,TSS,False,106,132
ENSG00000115159.15,chr2,156436201,156436513,TSS,True,69,132
ENSG00000115825.9,chr2,37293271,37324680,ES,True,53,283
ENSG00000115825.9,chr2,37317179,37324680,ES,True,195,235
ENSG00000115825.9,chr2,37324680,37324833,TSS,False,93,384
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,816,1210
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,477,1210
ENSG00000144485.10,chr2,238239251,238239486,IR,False,79,136
ENSG00000144485.10,chr2,238238266,238239568,PAS,True,89,145
ENSG00000144485.10,chr2,238238266,238239251,PAS,True,62,146
ENSG00000074054.18,chr2,121649371,121649627,TSS,True,90,124
ENSG00000074054.18,chr2,121530246,121530632,TSS,True,107,124
ENSG00000075340.22,chr2,70656789,70663735,PAS,True,49,260
ENSG00000075340.22,chr2,70675083,70676885,PAS,True,202,249
ENSG00000075340.22,chr2,70767885,70768287,TSS,True,98,297
ENSG00000115839.17,chr2,135052278,135052325,TSS,True,23,148
ENSG00000115839.17,chr2,135168544,135170707,PAS,True,19,147
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,24,154
ENSG00000138092.10,chr2,24814493,24815597,3AS,False,21,123
ENSG00000138092.10,chr2,24793134,24793501,TSS,True,63,152
ENSG00000138092.10,chr2,24793141,24793520,TSS,True,113,152
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,112,563
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,25,199
ENSG00000171551.11,chr2,232481849,232482417,IR,True,123,138
ENSG00000171551.11,chr2,232485091,232485198,IR,False,118,137
ENSG00000144043.11,chr2,70989816,70993695,ES,False,22,114
ENSG00000144043.11,chr2,70994687,70994882,TSS,False,16,130
ENSG00000198648.10,chr2,168063570,168074981,ES,True,62,158
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,44,263
ENSG00000168758.10,chr2,96869875,96870099,TSS,False,172,239
ENSG00000168758.10,chr2,96869186,96869497,TSS,True,145,239
ENSG00000138399.17,chr2,169537340,169540050,ES,False,36,156
ENSG00000138399.17,chr2,169563350,169571652,ES,False,17,149
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,39,169
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,361,901
ENSG00000138081.20,chr2,47806751,47808247,PAS,True,30,120
ENSG00000138081.20,chr2,47810547,47813377,PAS,True,94,119
ENSG00000138081.20,chr2,47905488,47906533,TSS,True,24,121
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,116,143
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,39,162
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,135,162
ENSG00000198522.13,chr2,27629952,27632632,ES,False,31,302
ENSG00000115966.16,chr2,175118369,175130137,ES,False,55,117
ENSG00000115966.16,chr2,175168049,175168304,TSS,True,26,139
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,42,262
ENSG00000155755.18,chr2,201642608,201642696,TSS,True,19,135
ENSG00000115020.16,chr2,208266133,208266415,TSS,True,65,102
ENSG00000119782.13,chr2,24053949,24060813,ES,False,84,104
ENSG00000119782.13,chr2,24060926,24063063,3AS,False,61,101
ENSG00000119782.13,chr2,24063063,24063681,PAS,True,44,105
ENSG00000119782.13,chr2,24063018,24063681,PAS,True,65,105
