gene,chr,start,end,splice_type,novel,adrenal_gland_ENCFF791WUV_in_cov,adrenal_gland_ENCFF791WUV_total_cov
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,310,381
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,145,381
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,334,381
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,92,546
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,91,145
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,95,145
ENSG00000135931.17,chr2,231270487,231271072,TSS,True,120,140
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,39,135
ENSG00000135931.17,chr2,231371512,231376850,PAS,True,122,143
ENSG00000198925.11,chr2,219228053,219229534,ES,False,30,109
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,52,164
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,141,164
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,170,383
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,250,390
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,738,1003
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,564,1003
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,854,1003
ENSG00000115307.16,chr2,74528935,74529131,IR,False,153,204
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,17,122
ENSG00000151690.14,chr2,190408503,190435976,ES,False,89,143
ENSG00000151690.14,chr2,190407987,190408503,TSS,False,26,169
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,104,506
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,414,506
ENSG00000068724.15,chr2,46941070,46941725,TSS,True,51,145
ENSG00000169764.15,chr2,63841232,63856305,ES,False,115,128
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,83,213
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,139,211
ENSG00000115738.9,chr2,8682052,8682513,TSS,True,39,196
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,166,415
ENSG00000189292.15,chr2,280149,283110,3AS,False,212,435
ENSG00000189292.15,chr2,278291,280149,PAS,True,243,456
ENSG00000189292.15,chr2,278285,280152,PAS,True,233,456
ENSG00000189292.15,chr2,288552,289017,TSS,False,136,465
ENSG00000189292.15,chr2,287582,288712,TSS,True,411,465
ENSG00000243147.7,chr2,27771803,27779432,ES,True,50,102
ENSG00000243147.7,chr2,27772692,27779432,ES,False,431,821
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,306,1010
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,907,1010
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,14,109
ENSG00000071575.11,chr2,12716873,12717010,TSS,True,84,106
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,27,105
ENSG00000071575.11,chr2,12724628,12724825,PAS,False,89,105
ENSG00000071575.11,chr2,12740325,12742734,PAS,False,19,105
ENSG00000066248.14,chr2,232894916,232901365,5AS,True,61,109
ENSG00000066248.14,chr2,232890933,232891038,TSS,False,121,136
ENSG00000066248.14,chr2,232901361,232901497,TSS,False,88,136
ENSG00000066248.14,chr2,232901365,232901478,TSS,True,76,136
ENSG00000115380.19,chr2,55922447,55923710,ES,False,84,137
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,240,271
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,38,271
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,145,435
ENSG00000067066.16,chr2,230416328,230442936,ES,False,39,128
ENSG00000168397.16,chr2,241651335,241653511,ES,False,104,129
ENSG00000168397.16,chr2,241671405,241672190,IR,False,89,132
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,28,145
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,49,142
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,95,137
ENSG00000162980.16,chr2,151815199,151828388,5AS,False,23,179
ENSG00000162980.16,chr2,151828130,151828509,TSS,True,27,183
ENSG00000162980.16,chr2,151828388,151828485,TSS,True,160,183
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,201,243
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,28,229
ENSG00000171303.6,chr2,26692726,26693158,TSS,True,749,2362
ENSG00000115084.13,chr2,113715195,113719153,ES,True,58,273
ENSG00000115226.9,chr2,27494877,27495255,TSS,True,98,424
ENSG00000115226.9,chr2,27493929,27495197,TSS,True,356,424
ENSG00000136717.14,chr2,127050912,127059010,ES,False,31,287
ENSG00000136717.14,chr2,127051243,127059010,ES,False,171,255
ENSG00000143889.15,chr2,38602600,38602856,IR,False,19,101
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,20,102
ENSG00000143889.15,chr2,38602856,38603062,TSS,True,83,102
ENSG00000138363.14,chr2,215312161,215312497,IR,False,88,113
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,34,122
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,97,122
ENSG00000068912.13,chr2,53801842,53809213,ES,False,36,168
ENSG00000115540.14,chr2,197516024,197516146,TSS,True,33,114
ENSG00000115540.14,chr2,197515557,197515684,TSS,True,88,114
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,61,575
ENSG00000034510.5,chr2,84905651,84905718,TSS,False,198,1033
ENSG00000034510.5,chr2,84905817,84906117,TSS,True,843,1033
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,77,100
ENSG00000136718.9,chr2,130342935,130343085,IR,False,77,102
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,54,131
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,108,131
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,105,131
ENSG00000142330.19,chr2,240595304,240596318,IR,True,89,111
ENSG00000142330.19,chr2,240596521,240596680,IR,True,96,112
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,200,509
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,313,509
ENSG00000151689.12,chr2,190343961,190360038,ES,False,101,116
ENSG00000151689.12,chr2,190343583,190343961,TSS,False,41,157
ENSG00000115525.17,chr2,85848204,85861180,ES,False,122,141
ENSG00000115525.17,chr2,85863485,85888823,ES,False,138,156
ENSG00000115525.17,chr2,85888823,85889143,TSS,True,42,200
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,14,123
ENSG00000173272.15,chr2,131469722,131470343,PAS,True,169,195
ENSG00000173272.15,chr2,131483959,131484218,PAS,True,28,193
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,31,195
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,197,251
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,59,256
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,202,256
ENSG00000239779.6,chr2,74458671,74459642,ES,False,88,105
ENSG00000239779.6,chr2,74457828,74458671,TSS,True,18,123
ENSG00000239779.6,chr2,74458432,74458537,TSS,False,109,123
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,70,330
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,44,147
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,51,155
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,107,155
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,19,105
ENSG00000115306.15,chr2,54456274,54456518,TSS,True,236,264
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,184,261
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,232,258
ENSG00000186522.14,chr2,109544324,109546049,IR,True,89,102
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,16,106
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,91,104
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,115,132
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,27,132
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,58,180
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,129,180
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,191,1885
ENSG00000144567.10,chr2,219178219,219178633,TSS,True,58,345
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,35,104
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,166,223
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,154,223
ENSG00000115641.18,chr2,105438398,105438583,TSS,True,134,223
ENSG00000042445.13,chr2,85354335,85354670,TSS,True,45,243
ENSG00000138356.13,chr2,200585784,200586153,TSS,False,240,1285
ENSG00000071051.13,chr2,105855289,105892981,ES,False,13,129
ENSG00000143727.15,chr2,271939,275139,ME,False,116,242
ENSG00000143727.15,chr2,271939,272191,ES,False,116,155
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,129,194
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,33,206
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,175,205
ENSG00000138449.10,chr2,189578353,189579812,3AS,True,139,273
ENSG00000136710.9,chr2,130339232,130340907,ES,False,98,109
ENSG00000115902.10,chr2,64989358,64990170,TSS,False,37,326
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,48,473
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,50,220
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,184,219
ENSG00000119013.8,chr2,201071991,201072059,TSS,True,51,137
ENSG00000168958.19,chr2,227325427,227332418,ES,False,26,116
ENSG00000168958.19,chr2,227340380,227355676,ES,False,22,122
ENSG00000135956.8,chr2,96265489,96265868,3AS,True,64,112
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,21,134
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,16,156
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,18,164
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,106,156
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,58,156
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,17,155
ENSG00000172164.14,chr8,120811272,120812575,TSS,True,54,310
ENSG00000179526.16,chr8,144099205,144099276,IR,True,183,206
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,25,247
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,57,185
ENSG00000164754.14,chr8,116866585,116866763,TSS,True,161,185
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,33,111
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,90,144
ENSG00000133878.8,chr8,33599664,33600003,TSS,True,26,170
ENSG00000133878.8,chr8,33597294,33597769,TSS,True,150,170
ENSG00000071894.16,chr8,144409288,144410022,TSS,False,104,167
ENSG00000071894.16,chr8,144409014,144409325,TSS,True,137,167
ENSG00000071894.16,chr8,144401429,144401565,TSS,True,123,167
ENSG00000147642.16,chr8,109619039,109644635,ES,False,45,281
ENSG00000147642.16,chr8,109642929,109644635,3AS,False,97,233
ENSG00000155096.13,chr8,102843747,102858012,ES,False,86,120
ENSG00000147465.11,chr8,38144386,38145962,5AS,True,262,341
ENSG00000147465.11,chr8,38144386,38145962,3AS,True,262,624
ENSG00000147465.11,chr8,38144386,38145962,IR,False,262,807
ENSG00000147465.11,chr8,38144386,38146288,ME,True,260,304
ENSG00000120896.13,chr8,22565287,22565872,TSS,True,64,111
ENSG00000120896.13,chr8,22565924,22566193,TSS,True,98,111
ENSG00000120896.13,chr8,22551319,22552022,TSS,True,92,111
ENSG00000078668.13,chr8,42402015,42403310,IR,True,134,154
ENSG00000104723.20,chr8,15748465,15764202,ES,False,174,239
ENSG00000187954.12,chr8,144465096,144465352,IR,False,61,111
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,243,299
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,225,297
ENSG00000187954.12,chr8,144462282,144462876,TSS,True,14,134
ENSG00000187954.12,chr8,144464808,144465440,TSS,True,250,300
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,239,300
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,107,226
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,132,226
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,214,1214
ENSG00000198363.17,chr8,61643433,61644599,ES,False,262,1224
ENSG00000198363.17,chr8,61644632,61651049,ES,False,367,1225
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,924,1253
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,363,1238
ENSG00000158941.16,chr8,22604637,22604842,TSS,True,52,188
ENSG00000158941.16,chr8,22604897,22605418,TSS,False,163,188
ENSG00000169398.19,chr8,140890769,141001124,ES,False,105,189
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,41,235
ENSG00000168487.18,chr8,22176650,22176960,3AS,False,128,146
ENSG00000168487.18,chr8,22164896,22165553,TSS,True,35,179
ENSG00000168487.18,chr8,22201117,22201482,PAS,True,143,171
ENSG00000168487.18,chr8,22211593,22212326,PAS,True,28,176
ENSG00000147649.9,chr8,97691188,97706625,ES,False,31,185
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,19,189
ENSG00000176209.11,chr8,42541584,42541705,TSS,True,45,106
ENSG00000176209.11,chr8,42541596,42542373,TSS,True,73,106
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,90,816
ENSG00000158669.11,chr8,41609955,41610735,IR,True,233,261
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,36,272
ENSG00000182307.13,chr8,145052497,145052585,IR,False,202,314
ENSG00000182307.13,chr8,145052437,145052497,TSS,False,123,326
ENSG00000182307.13,chr8,145052464,145052897,TSS,True,214,326
ENSG00000164733.20,chr8,11853479,11864375,ES,False,183,211
ENSG00000104522.15,chr8,143614453,143614623,IR,False,92,112
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,12,115
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,48,364
ENSG00000185000.11,chr8,144326436,144327477,TSS,True,31,294
ENSG00000179950.13,chr8,143818534,143821596,ES,False,205,350
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,55,331
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,20,120
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,78,120
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,44,117
ENSG00000154328.15,chr8,11769791,11771445,ES,False,123,154
ENSG00000154328.15,chr8,11769791,11771445,5AS,False,123,191
ENSG00000154328.15,chr8,11769633,11769791,TSS,False,75,232
ENSG00000154328.15,chr8,11769708,11770335,TSS,True,165,232
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,94,338
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,84,317
ENSG00000178814.16,chr8,144060652,144061242,TSS,False,43,140
ENSG00000104518.10,chr8,143559969,143560602,IR,False,170,245
ENSG00000104518.10,chr8,143560771,143561001,IR,False,175,250
ENSG00000104518.10,chr8,143561104,143561369,IR,False,186,256
ENSG00000147419.17,chr8,27748279,27752511,ES,False,16,133
ENSG00000147419.17,chr8,27752587,27762418,ES,False,21,133
ENSG00000129422.14,chr8,17676275,17676506,TSS,True,78,113
ENSG00000129422.14,chr8,17801060,17801518,TSS,True,97,115
ENSG00000104365.14,chr8,42271239,42271469,TSS,False,13,109
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,28,234
ENSG00000164830.18,chr8,106713985,106739457,ES,False,54,104
ENSG00000164830.18,chr8,106657828,106658185,TSS,True,64,114
ENSG00000164830.18,chr8,106618036,106618183,TSS,False,71,114
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,77,616
ENSG00000104529.17,chr8,143586852,143597347,ES,False,463,539
ENSG00000136960.12,chr8,119580167,119582429,5AS,False,35,114
ENSG00000167700.8,chr8,144510015,144510367,3AS,True,15,101
ENSG00000167700.8,chr8,144510990,144511310,PAS,True,20,115
ENSG00000160959.7,chr8,144517966,144520054,TSS,True,90,105
ENSG00000160959.7,chr8,144517956,144518041,TSS,True,51,105
ENSG00000160959.7,chr8,144524260,144525178,PAS,True,92,105
ENSG00000132561.13,chr8,98032317,98033098,3AS,False,132,227
ENSG00000132561.13,chr8,97868859,97869287,TSS,True,24,229
ENSG00000154582.16,chr8,73959818,73972076,ES,False,104,133
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,20,160
ENSG00000147408.14,chr8,19506130,19601770,ES,False,133,151
ENSG00000147408.14,chr8,19757185,19757522,TSS,True,115,188
ENSG00000147408.14,chr8,19757849,19758070,TSS,True,151,188
ENSG00000147408.14,chr8,19601991,19602683,TSS,True,164,188
ENSG00000136997.17,chr8,127736623,127738250,3AS,False,25,100
ENSG00000136997.17,chr8,127736050,127736623,TSS,True,29,131
ENSG00000136997.17,chr8,127738311,127739019,TSS,True,106,131
ENSG00000235173.6,chr8,144138813,144139008,IR,False,107,127
ENSG00000014164.6,chr8,143541375,143541896,TSS,False,21,105
ENSG00000104419.14,chr8,133297133,133297301,TSS,True,87,214
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,36,254
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,216,252
ENSG00000160948.13,chr8,144423922,144424040,IR,False,265,296
ENSG00000160948.13,chr8,144424268,144424717,IR,False,256,296
ENSG00000160948.13,chr8,144424819,144424945,IR,False,254,295
ENSG00000160948.13,chr8,144425051,144425682,IR,False,222,267
ENSG00000160948.13,chr8,144423597,144423922,PAS,True,31,297
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,87,411
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,73,581
ENSG00000067167.7,chr8,70608076,70608444,TSS,True,23,186
ENSG00000168490.13,chr8,22231795,22232350,TSS,True,13,116
ENSG00000213563.6,chr8,144526639,144526959,IR,False,132,348
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,216,348
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,131,341
ENSG00000178719.16,chr8,143990042,143990199,TSS,False,71,148
ENSG00000178719.16,chr8,143990057,143990311,TSS,True,129,148
ENSG00000178719.16,chr8,143990596,143991602,TSS,True,128,148
ENSG00000261236.7,chr8,144291271,144291451,TSS,True,11,106
ENSG00000178685.13,chr8,143986357,143986466,TSS,True,70,370
ENSG00000179142.2,chr8,142913451,142914263,IR,True,468,851
ENSG00000160882.11,chr8,142874486,142875233,ES,False,3606,16438
ENSG00000160882.11,chr8,142874486,142875233,3AS,True,3606,4212
ENSG00000160882.11,chr8,142874545,142874956,IR,True,49,393
ENSG00000160882.11,chr8,142874577,142874956,IR,True,489,833
ENSG00000160882.11,chr8,142875377,142875711,IR,True,19,140
ENSG00000160882.11,chr8,142875878,142876185,5AS,True,41,236
ENSG00000160882.11,chr8,142875878,142876208,5AS,True,507,743
ENSG00000160882.11,chr8,142875878,142876240,IR,False,10441,16538
ENSG00000160882.11,chr8,142876395,142876686,IR,True,599,925
ENSG00000160882.11,chr8,142876755,142877022,IR,True,88,709
ENSG00000160882.11,chr8,142877222,142877756,IR,True,900,1259
ENSG00000160882.11,chr8,142877834,142879031,IR,True,516,1195
ENSG00000160882.11,chr8,142879187,142879345,IR,True,941,2369
ENSG00000160882.11,chr8,142879483,142879574,IR,True,107,142
ENSG00000160972.9,chr8,144477943,144478127,TSS,True,85,186
ENSG00000160972.9,chr8,144501106,144501294,TSS,True,139,186
ENSG00000185803.9,chr8,144358554,144359065,TSS,True,27,126
ENSG00000104660.18,chr8,30105745,30109561,PAS,True,19,177
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,22,100
ENSG00000131873.6,chr15,101175726,101178980,PAS,True,16,134
ENSG00000131873.6,chr15,101251136,101252332,TSS,False,16,138
ENSG00000103642.11,chr15,63141279,63142059,PAS,True,20,100
ENSG00000103642.11,chr15,63129484,63131449,PAS,True,85,100
ENSG00000140459.17,chr15,74348055,74365715,5AS,True,122,140
ENSG00000140459.17,chr15,74367316,74367718,TSS,True,622,4986
ENSG00000128951.13,chr15,48331479,48332267,5AS,False,22,155
ENSG00000128951.13,chr15,48331405,48331479,TSS,True,157,179
ENSG00000128951.13,chr15,48331399,48332406,TSS,False,159,179
ENSG00000128951.13,chr15,48331409,48331795,TSS,True,51,179
ENSG00000179335.18,chr15,74620225,74622119,IR,False,98,112
ENSG00000179335.18,chr15,74629032,74629706,IR,True,103,115
ENSG00000179335.18,chr15,74629706,74630200,PAS,True,14,117
ENSG00000179335.18,chr15,74628941,74630201,PAS,True,104,116
ENSG00000140374.15,chr15,76292700,76311349,ES,False,43,296
ENSG00000103855.17,chr15,73684201,73684460,TSS,True,30,167
ENSG00000260916.7,chr15,55354628,55356409,PAS,True,82,120
ENSG00000260916.7,chr15,55355238,55360944,PAS,True,41,119
ENSG00000260916.7,chr15,55408220,55408470,TSS,True,18,120
ENSG00000260916.7,chr15,55407846,55408373,TSS,False,106,120
ENSG00000140553.17,chr15,90935330,90935543,5AS,False,131,219
ENSG00000140553.17,chr15,90935216,90935330,TSS,True,115,245
ENSG00000140553.17,chr15,90935268,90935375,TSS,True,157,245
ENSG00000140157.14,chr15,22838582,22838947,TSS,True,98,109
ENSG00000140157.14,chr15,22838643,22838921,TSS,True,33,109
ENSG00000140157.14,chr15,22838647,22839174,TSS,True,87,109
ENSG00000166946.13,chr15,43192803,43194414,ES,False,104,170
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,24,104
ENSG00000140416.20,chr15,63042943,63056984,ME,False,83,143
ENSG00000140416.20,chr15,63060939,63062214,ME,False,116,250
ENSG00000140416.20,chr15,63042137,63042943,TSS,True,123,267
ENSG00000140416.20,chr15,63048405,63048707,TSS,True,150,266
ENSG00000166797.10,chr15,64075537,64088686,ES,False,20,113
ENSG00000178802.17,chr15,74890010,74890089,TSS,True,27,138
