gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF830FDH_in_cov,endodermal_cell_ENCFF830FDH_total_cov
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,93,118
ENSG00000128699.13,chr2,189783878,189784039,TSS,True,163,192
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,68,192
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,278,361
ENSG00000076003.4,chr2,135846236,135846393,TSS,True,167,354
ENSG00000076003.4,chr2,135848052,135848073,TSS,True,279,356
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,33,168
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,132,322
ENSG00000115685.14,chr2,241153474,241153604,TSS,True,237,322
ENSG00000115685.14,chr2,241157077,241157862,TSS,True,282,322
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,100,321
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,233,321
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,821,5134
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,4408,5134
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,24,105
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,49,232
ENSG00000115392.11,chr2,58226727,58229070,TSS,True,199,231
ENSG00000144354.13,chr2,173358837,173363225,ES,False,83,127
ENSG00000144354.13,chr2,173363895,173364794,IR,False,107,119
ENSG00000144354.13,chr2,173354819,173354984,TSS,True,63,188
ENSG00000144354.13,chr2,173367148,173367286,TSS,True,144,165
ENSG00000144354.13,chr2,173367633,173368997,PAS,True,25,179
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,75,306
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,243,299
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,216,286
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,134,287
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,248,286
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,18,163
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,192,300
ENSG00000128708.12,chr2,171925535,171925641,TSS,True,114,300
ENSG00000115484.14,chr2,61888380,61888668,TSS,True,47,239
ENSG00000243147.7,chr2,27772692,27779432,ES,False,86,193
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,69,257
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,119,135
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,24,155
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,137,155
ENSG00000198522.13,chr2,27628657,27629169,TSS,True,81,259
ENSG00000198522.13,chr2,27640041,27640125,TSS,True,222,256
ENSG00000198522.13,chr2,27642430,27642519,TSS,True,213,256
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,70,176
ENSG00000095002.14,chr2,47410111,47410372,TSS,True,140,175
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,39,158
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,130,149
ENSG00000188010.13,chr2,38875959,38876110,TSS,True,59,132
ENSG00000188010.13,chr2,38879831,38880229,TSS,True,83,132
ENSG00000178568.14,chr2,211560262,211562088,PAS,True,28,130
ENSG00000178568.14,chr2,211591902,211592007,TSS,True,28,154
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,55,326
ENSG00000197223.11,chr2,68047319,68062957,5AS,False,87,130
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,45,144
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,100,144
ENSG00000115661.13,chr2,219245469,219245522,TSS,True,105,149
ENSG00000144034.14,chr2,73732285,73734428,ES,False,96,130
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,32,112
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,120,137
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,24,137
ENSG00000035141.7,chr2,70301924,70302083,TSS,False,30,297
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,172,224
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,663,887
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,288,887
ENSG00000144476.5,chr2,236569662,236569924,TSS,False,80,225
ENSG00000144476.5,chr2,236567752,236567841,TSS,False,167,235
ENSG00000153574.8,chr2,88691643,88691983,TSS,False,80,156
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,41,366
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,43,409
ENSG00000115539.13,chr2,100562916,100563073,TSS,False,103,237
ENSG00000115539.13,chr2,100566505,100566629,TSS,True,141,236
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,63,389
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,233,351
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,283,327
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,347,386
ENSG00000158417.10,chr2,99364270,99364327,PAS,True,230,353
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,47,102
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,90,199
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,315,424
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,334,424
ENSG00000170144.20,chr2,177216857,177216940,TSS,True,343,402
ENSG00000170144.20,chr2,177217743,177217845,TSS,True,341,402
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,61,406
ENSG00000170144.20,chr2,177215977,177216381,PAS,True,185,206
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,24,191
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,12,113
ENSG00000158411.11,chr2,99170652,99171509,ES,False,31,165
ENSG00000158411.11,chr2,99169152,99169470,PAS,True,28,173
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,58,116
ENSG00000115762.16,chr2,131125353,131125905,TSS,True,93,116
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,38,190
ENSG00000119203.13,chr2,9432533,9432688,TSS,True,165,188
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,188,259
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,45,219
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,90,282
ENSG00000135972.8,chr2,105038053,105038227,TSS,False,258,526
ENSG00000135972.8,chr2,105097222,105097324,TSS,True,288,523
ENSG00000180228.12,chr2,178431412,178432254,PAS,True,14,132
ENSG00000134330.18,chr2,9473645,9473899,TSS,True,98,116
ENSG00000134330.18,chr2,9474107,9474647,TSS,True,22,116
ENSG00000115758.12,chr2,10443229,10443314,TSS,True,36,136
ENSG00000115758.12,chr2,10442011,10442174,TSS,True,115,135
ENSG00000144199.11,chr2,97091712,97094700,ES,False,51,104
ENSG00000144199.11,chr2,97094700,97094903,TSS,True,86,190
ENSG00000144199.11,chr2,97091461,97091634,TSS,True,117,190
ENSG00000135916.15,chr2,230865145,230875619,ES,False,25,226
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,288,514
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,462,514
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,112,133
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,24,139
ENSG00000115540.14,chr2,197516146,197535529,ES,False,23,175
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,57,191
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,120,194
ENSG00000163166.14,chr2,127504683,127505756,TSS,False,68,150
ENSG00000003402.19,chr2,201129327,201130146,TSS,True,110,137
ENSG00000003402.19,chr2,201129308,201129520,TSS,False,103,137
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,66,108
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,104,118
ENSG00000003402.19,chr2,201140356,201141605,PAS,True,94,106
ENSG00000003402.19,chr2,201160431,201160938,PAS,True,91,108
ENSG00000138433.15,chr2,174395550,174395715,TSS,True,21,129
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,127,160
ENSG00000136718.9,chr2,130346205,130346274,TSS,True,76,159
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,68,259
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,125,276
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,193,276
ENSG00000119801.12,chr2,30147062,30156627,ES,False,160,190
ENSG00000005448.16,chr2,74421816,74422152,3AS,False,202,226
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,43,285
ENSG00000119772.16,chr2,25240639,25241209,TSS,True,37,114
ENSG00000115234.10,chr2,27370482,27370806,TSS,True,33,210
ENSG00000135919.12,chr2,223991802,223991937,TSS,True,29,106
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,491,654
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,48,167
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,146,167
ENSG00000114956.19,chr2,73927052,73946718,ES,False,172,223
ENSG00000114956.19,chr2,73927052,73958145,ES,True,42,273
ENSG00000114956.19,chr2,73946906,73958145,ES,False,139,213
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,31,100
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,199,266
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,77,277
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,209,277
ENSG00000239779.6,chr2,74457828,74458671,TSS,True,54,261
ENSG00000180398.12,chr2,46901873,46905594,PAS,True,15,108
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,35,114
ENSG00000180398.12,chr2,46907809,46907967,TSS,True,88,111
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,68,165
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,22,171
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,37,125
ENSG00000115091.11,chr2,113889952,113890323,TSS,True,45,236
ENSG00000144120.12,chr2,119679163,119679276,TSS,True,78,117
ENSG00000144120.12,chr2,119679139,119679225,TSS,True,55,117
ENSG00000144120.12,chr2,119680831,119682119,PAS,True,24,117
ENSG00000136682.14,chr2,113438022,113441350,ES,False,153,206
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,27,210
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,74,226
ENSG00000124380.10,chr2,69904425,69904511,IR,False,21,130
ENSG00000124380.10,chr2,69904253,69905927,PAS,True,31,140
ENSG00000124380.10,chr2,69904511,69904671,PAS,True,118,140
ENSG00000119888.10,chr2,47369142,47369581,TSS,False,205,238
ENSG00000119888.10,chr2,47373810,47374048,TSS,True,212,238
ENSG00000119888.10,chr2,47379469,47379969,TSS,True,185,235
ENSG00000119888.10,chr2,47377028,47377077,TSS,True,157,238
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,148,840
ENSG00000115042.9,chr2,95402872,95410526,ES,True,22,117
ENSG00000115042.9,chr2,95410586,95412433,ES,True,28,192
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,100,222
ENSG00000115042.9,chr2,95402707,95405803,TSS,True,158,220
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,74,241
ENSG00000079785.14,chr2,15603189,15603275,TSS,True,169,217
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,36,241
ENSG00000079785.14,chr2,15597374,15597447,PAS,True,145,168
ENSG00000168393.12,chr2,241678649,241685768,ES,False,60,125
ENSG00000115875.18,chr2,38745187,38746693,ES,False,199,910
ENSG00000124374.8,chr2,71226927,71227110,TSS,False,47,129
ENSG00000124374.8,chr2,71202451,71202602,TSS,True,96,129
ENSG00000138036.18,chr2,43774028,43774146,TSS,True,21,121
ENSG00000138036.18,chr2,43799600,43800917,TSS,True,101,118
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,14,104
ENSG00000115414.18,chr2,215361968,215362079,TSS,True,100,155
ENSG00000143727.15,chr2,271939,275139,ME,False,60,420
ENSG00000143727.15,chr2,271939,272191,ES,False,60,116
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,91,121
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,103,229
ENSG00000198130.15,chr2,190204802,190205099,IR,False,43,322
ENSG00000198130.15,chr2,190205232,190212955,ES,False,53,334
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,75,367
ENSG00000198130.15,chr2,190200925,190204802,PAS,False,318,368
ENSG00000198130.15,chr2,190319715,190319862,TSS,True,155,368
ENSG00000198130.15,chr2,190294545,190294563,TSS,True,313,368
ENSG00000198130.15,chr2,190290404,190290487,TSS,False,279,367
ENSG00000138449.10,chr2,189580417,189580823,TSS,True,28,109
ENSG00000138449.10,chr2,189575160,189576539,TSS,True,87,102
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,79,199
ENSG00000138398.15,chr2,169604985,169606146,TSS,True,167,199
ENSG00000138398.15,chr2,169636412,169641406,PAS,True,52,177
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,122,167
ENSG00000173692.12,chr2,231056606,231057041,TSS,True,55,215
ENSG00000173692.12,chr2,231170664,231170721,TSS,True,94,105
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,139,195
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,112,215
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,162,195
PB_novel_212671,chr2,188034060,188039129,ES,True,102,159
ENSG00000168958.19,chr2,227325427,227332418,ES,False,22,153
ENSG00000168958.19,chr2,227340380,227355676,ES,False,91,156
ENSG00000143870.12,chr2,10812677,10812829,TSS,True,465,2032
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,28,102
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,71,222
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,97,251
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,180,251
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,1025,5813
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,4987,5811
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,106,158
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,74,158
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,56,157
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,93,138
ENSG00000116120.9,chr2,222566898,222572022,PAS,False,33,103
ENSG00000116120.9,chr2,222656015,222656102,TSS,False,62,103
ENSG00000116120.9,chr2,222599927,222599962,TSS,True,73,101
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,104,129
ENSG00000164754.14,chr8,116854244,116854948,TSS,True,76,129
ENSG00000170961.6,chr8,121612115,121615038,PAS,False,277,330
ENSG00000170961.6,chr8,121629121,121629340,PAS,True,198,327
ENSG00000170961.6,chr8,121640852,121641517,TSS,False,39,232
ENSG00000187840.4,chr8,38030502,38030718,TSS,False,24,110
ENSG00000187840.4,chr8,38059903,38060365,PAS,False,16,110
ENSG00000104267.9,chr8,85463446,85464115,TSS,True,47,118
ENSG00000070501.11,chr8,42338685,42344952,ES,False,45,131
ENSG00000175606.10,chr8,73978861,73981154,ES,False,119,140
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,92,487
ENSG00000156467.9,chr8,96233155,96233228,TSS,True,418,487
ENSG00000104408.9,chr8,108248612,108248774,TSS,True,107,704
ENSG00000104408.9,chr8,108202982,108203102,TSS,True,595,676
ENSG00000104341.16,chr8,97805351,97805464,TSS,True,265,509
ENSG00000078668.13,chr8,42391616,42391928,TSS,True,117,663
ENSG00000078668.13,chr8,42391918,42393884,TSS,True,565,663
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,147,755
ENSG00000147677.10,chr8,116658812,116662771,TSS,True,670,748
ENSG00000120913.23,chr8,22589741,22593732,ES,False,33,126
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,47,147
ENSG00000147533.16,chr8,41490582,41490965,TSS,True,129,147
ENSG00000169490.16,chr8,38995405,38996212,3AS,False,104,116
ENSG00000169490.16,chr8,38995405,38996418,5AS,False,27,131
ENSG00000169490.16,chr8,38996212,38996517,TSS,True,69,185
ENSG00000169490.16,chr8,38996418,38996519,TSS,True,144,185
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,471,3123
ENSG00000182307.13,chr8,145052437,145052497,TSS,False,64,108
ENSG00000169139.11,chr8,48008406,48008470,TSS,False,49,410
ENSG00000164733.20,chr8,11868000,11868173,TSS,True,33,141
ENSG00000104522.15,chr8,143614453,143614623,IR,False,146,165
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,79,195
ENSG00000104522.15,chr8,143616566,143618080,TSS,True,156,195
ENSG00000104522.15,chr8,143613523,143614274,TSS,True,171,194
ENSG00000153310.19,chr8,129871496,129903311,ES,False,28,148
ENSG00000153310.19,chr8,129903350,129939607,ES,False,49,111
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,50,163
ENSG00000153310.19,chr8,130016369,130016704,TSS,True,143,166
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,58,286
ENSG00000179950.13,chr8,143818534,143821596,ES,False,92,173
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,21,142
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,56,211
ENSG00000147687.18,chr8,124516030,124518817,5AS,False,164,201
ENSG00000147687.18,chr8,124518881,124522936,ES,False,20,192
ENSG00000147687.18,chr8,124539024,124539097,TSS,True,76,261
ENSG00000147687.18,chr8,124504270,124504348,TSS,True,211,260
ENSG00000170791.17,chr8,56211837,56214597,ES,False,119,153
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,106,155
PB_novel_20300,chr8,12436977,12437710,TSS,True,211,241
PB_novel_20300,chr8,12521338,12521478,TSS,True,187,210
PB_novel_20300,chr8,12521373,12522846,TSS,True,149,210
PB_novel_20300,chr8,12565885,12568071,PAS,True,73,223
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,865,3521
ENSG00000164924.17,chr8,100918574,100920752,PAS,True,37,322
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,119,365
ENSG00000164924.17,chr8,100952849,100953334,TSS,True,327,365
ENSG00000147419.17,chr8,27752587,27762418,ES,False,17,141
ENSG00000147419.17,chr8,27772512,27772648,TSS,True,18,162
ENSG00000284606.1,chr8,8059260,8059674,TSS,True,89,100
ENSG00000147416.10,chr8,20197363,20197542,TSS,True,21,102
ENSG00000129691.15,chr8,38105516,38105738,TSS,True,128,210
ENSG00000129691.15,chr8,38105528,38106139,TSS,True,113,210
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,354,1259
ENSG00000164919.10,chr8,99887489,99887529,TSS,True,976,1258
ENSG00000104529.17,chr8,143581328,143586728,ES,False,126,674
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,95,650
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,107,757
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,176,1509
ENSG00000104679.10,chr8,23288081,23288157,TSS,True,16,111
ENSG00000120533.12,chr8,109334402,109336127,5AS,False,55,344
ENSG00000120533.12,chr8,109334320,109334474,TSS,True,92,377
ENSG00000120533.12,chr8,109333553,109334402,TSS,False,322,377
ENSG00000154582.16,chr8,73959818,73972076,ES,False,452,520
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,103,634
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,559,634
ENSG00000104435.13,chr8,79611097,79611214,TSS,True,19,179
ENSG00000175324.9,chr8,38176274,38176720,TSS,True,14,102
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,41,115
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,74,108
ENSG00000104763.18,chr8,18083980,18084373,TSS,True,25,124
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,32,207
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,83,305
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,179,351
ENSG00000187735.13,chr8,53999944,54000046,TSS,True,188,351
ENSG00000159167.11,chr8,23841919,23845040,PAS,True,21,100
ENSG00000159167.11,chr8,23854405,23854807,TSS,False,30,108
ENSG00000198791.11,chr8,17230848,17232426,IR,True,104,119
ENSG00000198791.11,chr8,17226029,17230848,PAS,True,27,131
ENSG00000198791.11,chr8,17229227,17232537,PAS,True,110,128
ENSG00000198791.11,chr8,17246674,17246871,TSS,True,32,134
ENSG00000147586.9,chr8,80003180,80030035,5AS,True,95,127
ENSG00000147586.9,chr8,80003180,80030053,5AS,True,40,169
ENSG00000147586.9,chr8,80029904,80029976,TSS,False,202,226
ENSG00000147586.9,chr8,80030020,80030272,TSS,True,191,226
ENSG00000147586.9,chr8,80030053,80030271,TSS,True,179,226
ENSG00000147586.9,chr8,80030035,80030279,TSS,True,116,226
ENSG00000047249.17,chr8,53801896,53814661,ES,False,35,120
ENSG00000047249.17,chr8,53843033,53843431,TSS,False,44,128
ENSG00000047249.17,chr8,53842870,53843013,TSS,False,95,128
ENSG00000158815.10,chr8,22043181,22046146,3AS,False,223,521
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,219,812
ENSG00000283674.2,chr8,12594956,12595296,PAS,True,23,133
ENSG00000283674.2,chr8,12601157,12602974,TSS,True,44,138
ENSG00000283674.2,chr8,12607290,12607740,TSS,True,112,141
ENSG00000104714.13,chr8,662300,664676,PAS,True,57,108
ENSG00000104714.13,chr8,731139,731245,TSS,True,41,109
ENSG00000147604.13,chr8,73289968,73290705,PAS,True,31,113
ENSG00000147604.13,chr8,73290643,73291252,PAS,True,99,112
ENSG00000147604.13,chr8,73293598,73293664,TSS,True,17,113
ENSG00000137547.8,chr8,54135205,54135391,TSS,True,23,201
ENSG00000133872.13,chr8,30070059,30082846,ES,False,67,228
ENSG00000133872.13,chr8,30082846,30083106,TSS,True,45,274
ENSG00000104660.18,chr8,30095406,30095528,TSS,True,23,167
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,1225,7892
ENSG00000041357.15,chr15,78540409,78540539,TSS,True,72,586
ENSG00000166794.4,chr15,64162851,64163122,TSS,True,762,1741
