gene,chr,start,end,splice_type,novel,MCF-7_ENCFF118JEI_in_cov,MCF-7_ENCFF118JEI_total_cov
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,41,217
ENSG00000235123.5,chr21,40383455,40384578,5AS,True,120,142
ENSG00000235123.5,chr21,40383061,40383408,TSS,False,574,964
ENSG00000235123.5,chr21,40383070,40383455,TSS,True,840,964
ENSG00000235123.5,chr21,40384578,40384980,PAS,False,407,917
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,43,110
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,73,110
ENSG00000160201.11,chr21,43095743,43104314,ME,False,58,252
ENSG00000160201.11,chr21,43092955,43093249,PAS,True,33,277
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,69,333
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,216,764
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,150,213
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,94,213
ENSG00000160182.2,chr21,42363254,42363301,TSS,True,153,193
ENSG00000160182.2,chr21,42366410,42366532,TSS,False,45,193
ENSG00000275895.6,chr21,6487412,6495992,ME,False,30,126
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,54,185
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,251,1384
ENSG00000275464.4,chr21,5137445,5139697,3AS,True,24,118
ENSG00000275464.4,chr21,5142668,5143221,IR,True,92,103
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,24,127
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,39,132
ENSG00000180530.10,chr21,15064744,15065077,TSS,True,41,118
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,55,452
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,330,459
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,336,458
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,81,136
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,72,134
ENSG00000185658.13,chr21,39313442,39314127,TSS,True,20,151
ENSG00000115561.15,chr2,86503429,86505949,PAS,True,27,127
ENSG00000115561.15,chr2,86542251,86542312,PAS,True,99,120
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,22,141
ENSG00000150551.10,chr2,132669880,132670271,TSS,False,44,109
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,20,113
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,33,106
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,87,106
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,102,158
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,63,158
ENSG00000035115.21,chr2,219001,229965,ES,False,58,116
ENSG00000035115.21,chr2,231191,234159,ES,False,13,113
ENSG00000035115.21,chr2,217277,219001,PAS,True,13,129
ENSG00000035115.21,chr2,263983,264695,TSS,True,40,130
ENSG00000035115.21,chr2,253004,254448,TSS,True,108,126
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,105,914
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,131,914
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,13,118
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,218,1775
ENSG00000168763.15,chr2,96816237,96817502,TSS,True,27,187
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,59,194
ENSG00000151353.14,chr2,677288,677426,TSS,True,37,142
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,203,377
ENSG00000115109.13,chr2,120013027,120013210,TSS,True,14,130
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,33,253
ENSG00000115233.11,chr2,161411301,161411718,PAS,True,35,251
ENSG00000115919.14,chr2,142877611,142877736,TSS,True,33,227
ENSG00000115919.14,chr2,143042046,143042975,PAS,True,23,223
ENSG00000115339.13,chr2,165794014,165794777,TSS,True,22,137
ENSG00000115339.13,chr2,165770185,165770721,TSS,True,122,137
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,28,101
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,13,101
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,26,102
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,67,257
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,44,412
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,26,105
ENSG00000204120.14,chr2,232856792,232860574,PAS,True,67,103
ENSG00000115241.10,chr2,27381192,27381805,PAS,True,46,412
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,51,436
ENSG00000180902.17,chr2,241734573,241734695,TSS,True,76,137
ENSG00000180902.17,chr2,241734574,241735516,TSS,True,118,137
ENSG00000138073.13,chr2,27131508,27132009,ES,False,15,148
ENSG00000138073.13,chr2,27133337,27133531,IR,False,128,151
ENSG00000138073.13,chr2,27133721,27134286,IR,False,126,143
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,38,164
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,73,174
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,142,174
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,26,146
ENSG00000162976.12,chr2,11172045,11177736,ES,False,19,107
ENSG00000162976.12,chr2,11177736,11178874,PAS,True,15,131
ENSG00000196504.16,chr2,152677475,152679351,ES,False,33,147
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,108,147
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,133,163
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,79,159
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,62,164
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,125,164
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,442,507
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,73,524
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,16,140
ENSG00000115648.13,chr2,237518648,237525600,ES,False,49,423
ENSG00000115648.13,chr2,237527516,237540347,ES,False,359,431
ENSG00000115648.13,chr2,237540533,237542566,ES,False,84,443
ENSG00000115648.13,chr2,237542659,237546605,3AS,True,351,428
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,160,501
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,93,110
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,38,110
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,36,107
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,113,271
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,220,271
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,232,271
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,42,104
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,92,104
ENSG00000162961.13,chr2,32039278,32039328,TSS,True,86,104
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,100,136
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,43,138
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,75,109
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,33,102
ENSG00000115756.12,chr2,10396920,10419733,ES,False,195,228
ENSG00000168906.12,chr2,85543034,85543669,IR,True,89,129
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,57,174
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,40,129
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,94,127
ENSG00000065911.11,chr2,74198742,74205704,ES,True,462,586
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,120,157
ENSG00000176720.5,chr2,241559005,241559703,TSS,True,138,157
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,343,428
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,114,428
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,233,704
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,175,222
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,97,222
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,48,183
ENSG00000124831.18,chr2,237753308,237755960,PAS,True,147,181
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,380,446
ENSG00000115694.14,chr2,241499414,241500172,IR,False,167,197
ENSG00000115694.14,chr2,241501708,241508442,ES,False,15,109
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,28,124
ENSG00000115694.14,chr2,241498988,241499128,TSS,True,242,270
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,223,273
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,161,273
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,245,273
ENSG00000168385.17,chr2,241315982,241324215,ES,False,532,601
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,128,752
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,73,603
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,443,498
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,401,625
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,474,625
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,543,625
ENSG00000115307.16,chr2,74528935,74529131,IR,False,257,297
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,152,447
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,67,117
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,75,122
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,67,139
ENSG00000168894.9,chr2,85595721,85595849,TSS,True,17,116
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,41,122
ENSG00000115685.14,chr2,241149548,241149708,TSS,False,109,122
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,42,121
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,91,120
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,412,903
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,714,903
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,728,900
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,81,315
ENSG00000119185.12,chr2,9402706,9406036,PAS,True,90,101
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,23,101
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,63,101
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,53,101
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,35,132
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,21,150
ENSG00000055044.10,chr2,202265235,202265986,TSS,True,30,160
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,73,137
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,105,135
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,105,138
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,24,125
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,17,163
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,104,131
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,21,110
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,76,148
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,131,148
ENSG00000144028.14,chr2,96284743,96285340,PAS,True,87,101
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,166,250
ENSG00000144028.14,chr2,96286310,96286592,TSS,True,238,265
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,39,135
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,20,118
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,27,118
ENSG00000128641.18,chr2,191400468,191408114,ES,False,70,110
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,41,124
ENSG00000128641.18,chr2,191364183,191364276,TSS,True,104,118
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,99,800
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,31,111
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,24,110
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,24,153
ENSG00000035141.7,chr2,70300980,70301924,3AS,False,164,185
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,151,560
ENSG00000144476.5,chr2,236569662,236569924,TSS,False,173,304
ENSG00000118640.10,chr2,85577531,85577649,TSS,True,12,100
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,48,111
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,85,443
ENSG00000123983.13,chr2,222887888,222908732,ES,False,95,264
ENSG00000136699.19,chr2,130154276,130154465,TSS,True,74,104
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,88,108
ENSG00000124383.8,chr2,71130320,71130754,TSS,False,16,108
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,46,108
ENSG00000124383.8,chr2,71149222,71149319,PAS,False,81,102
ENSG00000168397.16,chr2,241671405,241672190,5AS,False,119,135
ENSG00000168397.16,chr2,241671405,241672190,IR,False,119,135
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,100,199
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,160,191
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,24,159
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,53,102
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,56,109
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,64,109
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,59,280
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,153,373
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,314,373
ENSG00000171865.9,chr2,3558132,3558375,TSS,False,24,106
ENSG00000144021.2,chr2,96268658,96269267,IR,False,267,299
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,235,1409
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,95,119
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,11,106
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,38,172
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,34,183
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,90,344
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,252,336
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,57,358
ENSG00000163161.13,chr2,127289501,127289688,IR,False,135,154
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,28,171
ENSG00000144231.10,chr2,127850685,127858027,ES,True,17,136
ENSG00000138363.14,chr2,215312161,215312497,IR,False,338,379
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,150,489
ENSG00000138363.14,chr2,215346755,215346941,TSS,True,430,481
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,76,318
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,318,1147
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,863,1131
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,125,1153
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,97,130
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,42,130
ENSG00000144224.16,chr2,135753567,135754158,IR,False,174,198
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,27,226
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,156,208
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,143,211
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,164,204
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,168,208
ENSG00000172428.10,chr2,240134005,240136221,5AS,False,103,118
ENSG00000172428.10,chr2,240133932,240134002,TSS,True,244,273
ENSG00000172428.10,chr2,240136221,240136305,TSS,True,169,273
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,26,102
ENSG00000158435.7,chr2,101269136,101269215,IR,True,111,128
ENSG00000158435.7,chr2,101269215,101270316,PAS,False,18,129
ENSG00000158435.7,chr2,101269039,101270553,PAS,True,112,129
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,27,250
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,170,1113
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,980,1113
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,106,133
ENSG00000136718.9,chr2,130342935,130343085,IR,False,106,148
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,99,203
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,176,203
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,160,203
ENSG00000138074.14,chr2,27204931,27205349,IR,True,114,129
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,171,220
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,190,220
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,32,150
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,258,1078
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,897,1078
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,42,106
ENSG00000005448.16,chr2,74425569,74425760,PAS,True,36,106
ENSG00000123989.13,chr2,219538769,219540642,PAS,True,21,112
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,100,132
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,69,132
ENSG00000123989.13,chr2,219540945,219541087,TSS,True,97,111
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,53,106
ENSG00000173272.15,chr2,131492024,131492206,IR,True,119,142
ENSG00000173272.15,chr2,131469722,131470343,PAS,True,150,210
ENSG00000173272.15,chr2,131483959,131484218,PAS,True,44,177
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,87,213
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,165,213
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,118,139
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,32,150
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,130,150
ENSG00000204822.6,chr2,74472568,74474233,TSS,True,36,103
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,33,310
ENSG00000138095.18,chr2,43975090,43975220,TSS,True,272,307
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,62,310
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,86,194
ENSG00000136536.14,chr2,159712661,159729008,ES,False,97,108
ENSG00000136536.14,chr2,159762993,159767283,ES,False,70,209
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,108,217
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,125,217
ENSG00000115211.15,chr2,27367201,27367456,IR,False,92,109
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,36,112
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,25,129
ENSG00000075292.18,chr2,71276554,71276754,TSS,True,83,102
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,75,101
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,64,101
ENSG00000075292.18,chr2,71426459,71427570,PAS,False,77,100
ENSG00000075292.18,chr2,71434741,71435062,PAS,True,78,101
ENSG00000275052.4,chr2,55568363,55577314,ES,False,16,117
ENSG00000275052.4,chr2,55577356,55579678,ES,False,53,118
ENSG00000275052.4,chr2,55588956,55603977,ES,True,19,120
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,48,162
ENSG00000275052.4,chr2,55613994,55615506,PAS,True,127,155
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,30,130
ENSG00000136682.14,chr2,113443766,113444538,PAS,True,102,118
ENSG00000163541.11,chr2,84459172,84459295,TSS,True,14,136
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,590,775
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,223,775
ENSG00000144283.21,chr2,158621735,158625427,TSS,True,69,121
ENSG00000144283.21,chr2,158662896,158663055,PAS,True,57,108
ENSG00000144283.21,chr2,158680428,158682964,PAS,True,67,112
ENSG00000196208.13,chr2,11618378,11618919,TSS,True,183,205
ENSG00000196208.13,chr2,11635306,11635405,TSS,True,173,202
ENSG00000196208.13,chr2,11640290,11642920,PAS,True,93,198
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,20,104
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,90,104
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,81,307
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,262,307
ENSG00000163811.11,chr2,28894615,28894923,TSS,False,18,150
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,28,145
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,244,474
ENSG00000144567.10,chr2,219178219,219178633,TSS,True,107,193
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,18,111
ENSG00000115816.14,chr2,37228821,37229036,PAS,False,98,109
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,65,106
ENSG00000115641.18,chr2,105396646,105396973,TSS,True,93,106
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,68,106
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,30,251
ENSG00000079785.14,chr2,15597374,15597447,PAS,True,214,240
ENSG00000168393.12,chr2,241686653,241686841,TSS,True,79,221
ENSG00000168393.12,chr2,241678451,241678516,TSS,True,152,217
ENSG00000115875.18,chr2,38745187,38746693,ES,False,21,128
ENSG00000115875.18,chr2,38750194,38751228,IR,True,109,126
ENSG00000115875.18,chr2,38743598,38745187,PAS,True,23,152
ENSG00000115875.18,chr2,38751228,38751439,TSS,True,47,156
ENSG00000071051.13,chr2,105855289,105892981,ES,False,31,133
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,41,176
ENSG00000143727.15,chr2,271939,275139,ME,False,50,200
ENSG00000115468.11,chr2,232633582,232634006,TSS,True,25,128
ENSG00000169047.5,chr2,226733922,226736250,PAS,False,68,184
ENSG00000169047.5,chr2,226794988,226796948,TSS,True,118,247
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,149,231
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,36,268
ENSG00000115207.13,chr2,27356738,27357413,TSS,True,65,100
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,49,115
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,52,286
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,240,285
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,68,289
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,87,587
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,69,107
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,93,107
ENSG00000138398.15,chr2,169614680,169614724,TSS,True,92,104
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,133,551
ENSG00000115541.10,chr2,197500398,197503128,TSS,True,479,548
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,91,229
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,178,231
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,204,227
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,125,154
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,52,145
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,111,127
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,71,269
ENSG00000138061.11,chr2,38074345,38075284,TSS,True,234,269
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,115,643
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,53,333
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,99,395
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,905,1514
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,731,1513
ENSG00000115884.10,chr2,20203812,20204195,TSS,True,85,109
ENSG00000115884.10,chr2,20225261,20225911,TSS,False,95,109
ENSG00000115884.10,chr2,20224801,20225140,TSS,True,73,109
ENSG00000087338.4,chr2,69878908,69881396,PAS,True,16,120
ENSG00000104231.10,chr8,81715114,81718181,ES,False,55,119
ENSG00000104231.10,chr8,81732198,81732893,TSS,True,114,130
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,37,129
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,64,267
ENSG00000184428.12,chr8,143309543,143310067,IR,True,156,186
ENSG00000184428.12,chr8,143331339,143334739,ES,False,134,167
ENSG00000184428.12,chr8,143309194,143309543,PAS,True,31,187
ENSG00000184428.12,chr8,143309355,143310217,PAS,True,159,187
ENSG00000184428.12,chr8,143334739,143334915,TSS,True,38,205
ENSG00000179526.16,chr8,144098788,144098865,IR,False,131,146
ENSG00000179526.16,chr8,144098994,144099276,ES,False,32,116
ENSG00000179526.16,chr8,144099205,144099276,IR,True,78,103
ENSG00000179526.16,chr8,144103225,144103552,IR,True,139,166
ENSG00000179526.16,chr8,144098629,144098788,PAS,False,80,211
ENSG00000179526.16,chr8,144101602,144103225,PAS,True,172,197
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,64,203
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,58,257
ENSG00000085719.12,chr8,86558287,86561509,PAS,True,27,219
ENSG00000147789.15,chr8,144827489,144827609,TSS,False,34,110
ENSG00000104738.17,chr8,47960498,47961014,TSS,True,110,630
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,79,491
