gene,chr,start,end,splice_type,novel,WTC11_ENCFF586RUA_in_cov,WTC11_ENCFF586RUA_total_cov
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,43,227
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,117,438
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,177,610
ENSG00000115233.11,chr2,161371180,161371322,TSS,True,446,609
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,110,193
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,124,193
ENSG00000144029.11,chr2,95101723,95106422,ES,False,15,106
ENSG00000144029.11,chr2,95106457,95108253,5AS,True,14,104
ENSG00000144029.11,chr2,95121733,95122014,TSS,True,21,113
ENSG00000144029.11,chr2,95108174,95108398,TSS,True,95,109
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,48,159
ENSG00000084754.11,chr2,26234216,26234355,TSS,True,142,158
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,207,568
ENSG00000138430.15,chr2,174229307,174229923,TSS,True,405,568
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,70,111
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,60,124
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,100,124
ENSG00000218739.9,chr2,37196480,37196520,TSS,True,29,149
ENSG00000218739.9,chr2,37199062,37199819,TSS,True,131,149
ENSG00000218739.9,chr2,37201862,37204743,PAS,True,44,140
ENSG00000218739.9,chr2,37204303,37204743,PAS,False,118,141
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,78,603
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,21,199
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,225,2159
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,179,618
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,538,618
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,47,110
ENSG00000065911.11,chr2,74198742,74207703,ES,False,30,201
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,55,258
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,247,278
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,44,278
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,153,1358
ENSG00000115204.14,chr2,27312772,27322447,ES,True,27,255
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,37,265
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,259,288
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,88,376
ENSG00000138442.9,chr2,202911435,202912409,TSS,False,14,138
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,431,799
ENSG00000168385.17,chr2,241350129,241350203,TSS,False,494,789
ENSG00000115514.11,chr2,99318989,99319799,PAS,True,28,173
ENSG00000115514.11,chr2,99321533,99322209,PAS,True,150,172
ENSG00000115307.16,chr2,74527838,74527939,IR,False,116,129
ENSG00000115307.16,chr2,74528935,74529131,IR,False,99,117
ENSG00000128699.13,chr2,189782602,189784268,ES,False,187,211
ENSG00000128699.13,chr2,189783878,189784039,TSS,True,242,286
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,74,286
PB_novel_212489,chr2,67334150,67339333,ES,True,126,144
PB_novel_212489,chr2,67339333,67339973,PAS,True,415,560
PB_novel_212489,chr2,67337515,67337976,PAS,True,174,529
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,80,124
ENSG00000076003.4,chr2,135846236,135846393,TSS,True,70,122
ENSG00000076003.4,chr2,135848052,135848073,TSS,True,103,122
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,14,108
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,55,243
ENSG00000115685.14,chr2,241153474,241153604,TSS,True,210,243
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,106,243
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,143,242
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,1424,8631
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,7328,8631
ENSG00000119185.12,chr2,9406905,9408112,ES,False,13,101
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,14,118
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,20,119
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,131,148
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,21,176
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,1125,1389
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,344,1308
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,56,316
ENSG00000163170.11,chr2,74135658,74145188,ES,False,67,246
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,199,460
ENSG00000128708.12,chr2,171925535,171925641,TSS,True,277,460
ENSG00000115484.14,chr2,61868126,61868706,PAS,True,46,452
ENSG00000243147.7,chr2,27772692,27779432,ES,False,181,346
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,138,464
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,396,464
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,164,186
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,30,204
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,180,204
ENSG00000198522.13,chr2,27628657,27629169,TSS,True,41,205
ENSG00000198522.13,chr2,27642430,27642519,TSS,True,176,203
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,70,187
ENSG00000095002.14,chr2,47410111,47410372,TSS,True,153,185
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,39,162
ENSG00000119782.13,chr2,24053949,24060813,ES,False,88,115
ENSG00000119782.13,chr2,24060926,24063063,3AS,False,72,117
ENSG00000119782.13,chr2,24063063,24063681,PAS,True,46,118
ENSG00000119782.13,chr2,24063018,24063681,PAS,True,73,118
ENSG00000197223.11,chr2,68047319,68062957,5AS,False,137,197
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,67,222
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,158,222
ENSG00000144034.14,chr2,73732285,73734428,ES,False,192,217
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,46,177
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,191,235
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,54,235
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,329,410
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,904,1314
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,464,1314
ENSG00000185414.19,chr2,99181078,99181249,TSS,True,14,123
ENSG00000185414.19,chr2,99195572,99199555,PAS,True,66,112
ENSG00000185414.19,chr2,99197153,99197622,PAS,True,90,122
ENSG00000185414.19,chr2,99195115,99197301,PAS,False,93,112
ENSG00000151665.12,chr2,46581591,46592474,ES,False,159,192
ENSG00000151665.12,chr2,46613785,46616969,ES,True,28,178
ENSG00000115539.13,chr2,100562916,100563073,TSS,False,42,208
ENSG00000115539.13,chr2,100566505,100566629,TSS,True,173,208
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,48,389
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,278,373
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,297,343
ENSG00000158417.10,chr2,99364270,99364327,PAS,True,178,374
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,34,111
ENSG00000168397.16,chr2,241654543,241654647,TSS,True,95,110
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,25,106
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,60,182
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,182,304
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,244,304
ENSG00000170144.20,chr2,177216857,177216940,TSS,True,246,289
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,32,286
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,20,185
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,16,157
ENSG00000158411.11,chr2,99170652,99171509,ES,False,60,182
ENSG00000158411.11,chr2,99169152,99169470,PAS,True,21,195
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,18,136
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,189,242
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,25,204
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,76,261
ENSG00000135972.8,chr2,105038053,105038227,TSS,False,241,633
ENSG00000135972.8,chr2,105097222,105097324,TSS,True,407,630
ENSG00000180228.12,chr2,178431412,178432254,PAS,True,24,201
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,26,201
ENSG00000144199.11,chr2,97091712,97094700,ES,False,42,129
ENSG00000144199.11,chr2,97094700,97094903,TSS,True,91,220
ENSG00000144199.11,chr2,97091461,97091634,TSS,True,150,219
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,521,620
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,175,512
ENSG00000065548.17,chr2,186486216,186486457,TSS,True,33,190
ENSG00000115540.14,chr2,197516146,197535529,ES,False,54,371
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,887,8252
ENSG00000240344.8,chr2,200888955,200889279,TSS,True,64,113
ENSG00000240344.8,chr2,200889243,200889339,TSS,True,55,113
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,134,190
ENSG00000136718.9,chr2,130346205,130346274,TSS,True,97,190
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,63,387
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,170,249
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,120,249
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,65,519
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,85,121
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,67,163
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,125,163
ENSG00000114956.19,chr2,73927052,73946718,ES,False,394,493
ENSG00000114956.19,chr2,73927052,73958145,ES,True,65,573
ENSG00000114956.19,chr2,73946906,73958145,ES,False,321,476
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,233,290
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,62,295
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,240,295
ENSG00000239779.6,chr2,74457828,74458671,TSS,True,31,208
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,58,138
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,16,141
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,37,232
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,132,205
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,76,199
ENSG00000084733.10,chr2,26033943,26034735,TSS,True,14,128
ENSG00000115091.11,chr2,113889952,113890323,TSS,True,20,149
ENSG00000144120.12,chr2,119679225,119680831,5AS,False,66,112
ENSG00000144120.12,chr2,119679163,119679276,TSS,True,88,130
ENSG00000144120.12,chr2,119679139,119679225,TSS,True,54,130
ENSG00000144120.12,chr2,119680831,119682119,PAS,True,17,128
ENSG00000136682.14,chr2,113465173,113482176,ES,False,27,257
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,50,317
ENSG00000136682.14,chr2,113443766,113444538,PAS,True,266,308
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,40,188
ENSG00000124380.10,chr2,69904425,69904511,IR,False,17,161
ENSG00000124380.10,chr2,69904253,69905927,PAS,True,29,171
ENSG00000124380.10,chr2,69904511,69904671,PAS,True,151,171
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,51,154
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,312,1465
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,1227,1465
ENSG00000115042.9,chr2,95402872,95405552,ES,False,86,138
ENSG00000115042.9,chr2,95402872,95405552,5AS,False,86,111
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,104,244
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,219,244
ENSG00000115042.9,chr2,95402707,95405803,TSS,True,175,244
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,56,196
ENSG00000079785.14,chr2,15603189,15603275,TSS,True,134,163
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,47,196
ENSG00000079785.14,chr2,15597374,15597447,PAS,True,114,146
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,47,246
ENSG00000168393.12,chr2,241678649,241685768,ES,False,111,344
ENSG00000115875.18,chr2,38745187,38746693,ES,False,241,1607
ENSG00000115875.18,chr2,38749346,38749528,IR,False,88,113
PB_novel_212390,chr2,7876640,7878481,TSS,True,129,163
PB_novel_212390,chr2,7876629,7876784,TSS,True,124,163
PB_novel_212390,chr2,7874199,7876006,TSS,True,126,163
PB_novel_212390,chr2,7891272,7892345,PAS,True,20,142
PB_novel_212390,chr2,7891509,7892268,PAS,True,139,156
ENSG00000143727.15,chr2,271939,275139,ME,False,131,649
ENSG00000143727.15,chr2,271939,272191,ES,False,131,212
ENSG00000198130.15,chr2,190204802,190205099,IR,False,34,228
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,67,265
ENSG00000198130.15,chr2,190200925,190204802,PAS,False,226,265
ENSG00000198130.15,chr2,190319715,190319862,TSS,True,65,266
ENSG00000198130.15,chr2,190290404,190290487,TSS,False,228,266
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,61,145
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,126,145
ENSG00000138398.15,chr2,169636412,169641406,PAS,True,64,121
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,56,115
ENSG00000173692.12,chr2,231056606,231057041,TSS,True,35,158
ENSG00000173692.12,chr2,231165890,231166017,TSS,True,97,110
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,116,135
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,50,158
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,120,135
PB_novel_212671,chr2,188034060,188039129,ES,True,160,222
ENSG00000168958.19,chr2,227340380,227355676,ES,False,103,154
ENSG00000143870.12,chr2,10812677,10812829,TSS,True,257,1309
ENSG00000171863.14,chr2,3575350,3575600,IR,True,184,218
ENSG00000163032.11,chr2,17540404,17540918,TSS,True,42,382
ENSG00000138382.14,chr2,169824640,169824781,IR,False,331,379
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,119,450
ENSG00000138382.14,chr2,169824640,169824867,IR,False,119,167
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,182,516
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,395,516
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,1444,9631
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,80,121
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,48,121
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,62,121
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,65,115
ENSG00000116120.9,chr2,222566898,222572022,PAS,False,43,151
ENSG00000116120.9,chr2,222656015,222656102,TSS,False,88,151
ENSG00000116120.9,chr2,222599927,222599962,TSS,True,105,150
ENSG00000187840.4,chr8,38030502,38030718,TSS,False,70,312
ENSG00000187840.4,chr8,38059903,38060365,PAS,False,41,312
ENSG00000245910.8,chr8,66922114,66925436,ME,False,40,164
ENSG00000245910.8,chr8,66922392,66925436,ES,False,123,847
ENSG00000245910.8,chr8,66922392,66925436,3AS,True,123,149
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,23,190
ENSG00000070501.11,chr8,42338685,42344952,ES,False,37,109
ENSG00000070501.11,chr8,42352568,42355515,ES,False,98,110
ENSG00000156795.7,chr8,123416856,123427923,5AS,False,43,108
ENSG00000156795.7,chr8,123416664,123416856,TSS,True,69,112
ENSG00000156795.7,chr8,123416722,123416932,TSS,True,46,112
ENSG00000104341.16,chr8,97775787,97776108,TSS,True,91,103
ENSG00000104341.16,chr8,97805351,97805464,TSS,True,66,103
ENSG00000078668.13,chr8,42391616,42391928,TSS,True,127,708
ENSG00000078668.13,chr8,42391918,42393884,TSS,True,599,708
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,109,1037
ENSG00000160973.7,chr8,144475223,144475582,3AS,False,14,103
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,124,860
ENSG00000120913.23,chr8,22589741,22593732,ES,False,49,188
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,31,195
ENSG00000169490.16,chr8,38995405,38996418,5AS,False,25,211
ENSG00000169490.16,chr8,38996212,38996517,TSS,True,55,256
ENSG00000169490.16,chr8,38996418,38996519,TSS,True,215,256
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,903,3777
ENSG00000161016.17,chr8,144791991,144792215,TSS,True,3353,3777
ENSG00000176731.11,chr8,85217502,85220305,ES,False,243,637
ENSG00000176731.11,chr8,85219360,85220305,3AS,False,67,395
ENSG00000176731.11,chr8,85220305,85220386,TSS,True,134,772
ENSG00000169139.11,chr8,48008406,48008470,TSS,False,74,643
ENSG00000104522.15,chr8,143614453,143614623,IR,False,123,143
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,56,163
ENSG00000104522.15,chr8,143616566,143618080,TSS,True,130,163
ENSG00000153310.19,chr8,129871496,129903311,ES,False,50,156
ENSG00000153310.19,chr8,129903350,129939607,ES,False,66,132
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,38,175
ENSG00000121022.13,chr8,67062024,67062105,IR,False,36,336
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,74,368
ENSG00000121022.13,chr8,67062105,67062347,TSS,True,328,368
ENSG00000179950.13,chr8,143818534,143821596,ES,False,107,168
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,23,143
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,28,182
ENSG00000147687.18,chr8,124516030,124518817,5AS,False,262,318
ENSG00000147687.18,chr8,124539024,124539097,TSS,True,61,376
ENSG00000170791.17,chr8,56211837,56214597,ES,False,294,414
ENSG00000170791.17,chr8,56212889,56214597,5AS,False,55,121
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,296,419
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,86,374
ENSG00000164924.17,chr8,100918574,100920752,PAS,True,36,228
ENSG00000164924.17,chr8,100922404,100924298,PAS,True,198,226
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,110,280
ENSG00000147419.17,chr8,27752587,27762418,ES,False,22,130
ENSG00000147419.17,chr8,27733315,27736245,PAS,True,17,137
ENSG00000147419.17,chr8,27748107,27748279,PAS,True,118,134
ENSG00000147419.17,chr8,27772512,27772648,TSS,True,17,145
ENSG00000147535.16,chr8,38263137,38264949,PAS,False,107,126
ENSG00000147535.16,chr8,38266979,38267391,PAS,True,34,122
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,278,1927
ENSG00000104529.17,chr8,143581328,143586728,ES,False,164,839
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,160,787
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,126,917
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,649,3177
ENSG00000156482.10,chr8,98045346,98045513,TSS,True,2645,3177
ENSG00000120533.12,chr8,109334402,109336127,5AS,False,189,975
ENSG00000120533.12,chr8,109334320,109334474,TSS,True,252,1025
ENSG00000120533.12,chr8,109333553,109334402,TSS,False,835,1025
ENSG00000254277.1,chr8,71675535,71702214,ES,True,172,240
ENSG00000254277.1,chr8,71702214,71704579,PAS,True,31,276
ENSG00000104765.15,chr8,26383030,26383230,TSS,True,30,180
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,240,1020
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,861,1020
ENSG00000175324.9,chr8,38163840,38171964,ES,False,22,171
ENSG00000175324.9,chr8,38176274,38176720,TSS,True,24,172
ENSG00000254339.5,chr8,114282294,114284252,3AS,False,61,426
ENSG00000254339.5,chr8,114282294,114304413,ES,True,47,148
ENSG00000254339.5,chr8,114284514,114295465,5AS,False,134,305
ENSG00000254339.5,chr8,114304413,114305940,PAS,True,358,507
ENSG00000254339.5,chr8,114295465,114298691,PAS,True,188,507
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,64,118
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,51,112
ENSG00000104763.18,chr8,18083980,18084373,TSS,True,18,123
ENSG00000247134.6,chr8,32928093,33041634,ES,True,117,158
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,50,207
ENSG00000187735.13,chr8,54022062,54022448,TSS,True,144,275
ENSG00000187735.13,chr8,53999944,54000046,TSS,True,160,275
ENSG00000198791.11,chr8,17226029,17230848,PAS,True,13,129
ENSG00000198791.11,chr8,17246674,17246871,TSS,True,14,131
ENSG00000147586.9,chr8,80003180,80030035,5AS,True,168,243
ENSG00000147586.9,chr8,80003180,80030053,5AS,True,73,317
ENSG00000147586.9,chr8,80030020,80030272,TSS,True,309,396
ENSG00000147586.9,chr8,80030053,80030271,TSS,True,314,396
ENSG00000147586.9,chr8,80030035,80030279,TSS,True,210,396
ENSG00000047249.17,chr8,53843033,53843431,TSS,False,34,101
ENSG00000047249.17,chr8,53842870,53843013,TSS,False,72,101
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,113,621
ENSG00000104714.13,chr8,662300,664676,PAS,True,43,116
ENSG00000104714.13,chr8,731139,731245,TSS,True,48,116
ENSG00000147604.13,chr8,73289968,73290705,PAS,True,44,257
ENSG00000253507.5,chr8,131310712,131317333,ES,True,13,106
ENSG00000253507.5,chr8,131308530,131308671,TSS,False,113,135
ENSG00000253507.5,chr8,131310417,131310712,TSS,True,24,135
ENSG00000253507.5,chr8,131317333,131318267,PAS,True,27,135
ENSG00000253507.5,chr8,131315548,131315811,PAS,True,113,135
ENSG00000133872.13,chr8,30070059,30082846,ES,False,35,108
ENSG00000147601.13,chr8,73027052,73032041,ES,False,502,932
ENSG00000147601.13,chr8,73008806,73009205,TSS,True,164,1083
ENSG00000147601.13,chr8,73039115,73039219,TSS,True,532,622
ENSG00000147601.13,chr8,73032041,73032136,PAS,True,513,954
ENSG00000147601.13,chr8,73045960,73050611,PAS,True,461,1045
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,208,1670
ENSG00000273173.5,chr15,24968794,24968829,PAS,False,116,194
ENSG00000273173.5,chr15,24962113,24964001,PAS,True,92,187
ENSG00000247556.6,chr15,41283958,41284110,TSS,True,30,185
ENSG00000247556.6,chr15,41298040,41301999,PAS,True,35,162
ENSG00000166794.4,chr15,64162851,64163122,TSS,True,465,1476
ENSG00000166794.4,chr15,64156724,64156830,TSS,True,1323,1474
ENSG00000128989.10,chr15,52568847,52569144,TSS,True,51,100
ENSG00000128989.10,chr15,52569115,52569167,TSS,True,71,100
ENSG00000140264.19,chr15,43793083,43793686,IR,False,88,124
ENSG00000137818.11,chr15,69453020,69455169,5AS,False,185,232
ENSG00000140374.15,chr15,76292700,76311349,ES,False,48,166
ENSG00000140374.15,chr15,76311349,76311487,TSS,True,69,238
ENSG00000140374.15,chr15,76285636,76285664,TSS,True,189,237
ENSG00000180953.11,chr15,79923451,79923751,TSS,False,17,101
ENSG00000174446.12,chr15,66497641,66497814,TSS,True,17,167
ENSG00000169371.13,chr15,75625335,75625691,TSS,True,112,126
ENSG00000169371.13,chr15,75625665,75625803,TSS,True,23,126
ENSG00000140319.10,chr15,40038875,40038951,TSS,True,626,1908
ENSG00000140319.10,chr15,40038281,40038394,TSS,True,1396,1908
ENSG00000174444.14,chr15,66504787,66504853,TSS,True,1192,5880
ENSG00000174444.14,chr15,66500055,66500163,TSS,True,4895,5825
ENSG00000167004.12,chr15,43765892,43766012,TSS,True,80,158
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,20,121
ENSG00000140416.20,chr15,63060939,63062214,ME,False,62,207
ENSG00000140416.20,chr15,63042137,63042943,TSS,True,123,311
ENSG00000140416.20,chr15,63071089,63071915,PAS,True,96,229
ENSG00000140416.20,chr15,63065895,63066180,PAS,True,151,222
ENSG00000166797.10,chr15,64075537,64088686,ES,False,119,709
ENSG00000166922.8,chr15,32679915,32684559,3AS,False,106,165
ENSG00000166557.12,chr15,79311108,79311417,TSS,True,12,102
ENSG00000128463.12,chr15,34227846,34229752,ES,False,76,558
ENSG00000104131.12,chr15,44537049,44537237,TSS,True,29,230
ENSG00000104131.12,chr15,44537322,44537427,TSS,True,205,230
ENSG00000104131.12,chr15,44561017,44562801,PAS,True,36,227
ENSG00000166477.12,chr15,51971687,51972020,TSS,True,20,101
ENSG00000140259.6,chr15,43824490,43824733,TSS,False,29,154
ENSG00000140259.6,chr15,43814500,43814675,TSS,True,136,154
ENSG00000136371.10,chr15,79889354,79896871,5AS,True,118,157
ENSG00000136371.10,chr15,79896871,79897038,TSS,False,52,173
ENSG00000136371.10,chr15,79896790,79897077,TSS,True,133,173
ENSG00000137804.12,chr15,41349241,41351032,3AS,False,75,213
ENSG00000137804.12,chr15,41358258,41365404,3AS,False,108,210
ENSG00000086666.18,chr15,80059809,80120327,ES,False,589,739
ENSG00000086666.18,chr15,80059654,80059809,TSS,True,98,845
