gene,chr,start,end,splice_type,novel,osteocyte_ENCFF925MYC_in_cov,osteocyte_ENCFF925MYC_total_cov
ENSG00000132300.18,chr2,86127305,86127940,IR,True,259,294
ENSG00000065911.11,chr2,74198742,74205704,ES,True,1531,1842
ENSG00000143797.11,chr2,9003539,9003882,TSS,True,33,291
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,230,1922
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,388,437
ENSG00000077232.17,chr2,182732542,182740298,ES,False,47,265
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,38,333
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,82,326
ENSG00000168385.17,chr2,241315982,241335125,ME,False,14,119
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,543,3856
ENSG00000135931.17,chr2,231198941,231206197,5AS,True,362,416
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,553,1070
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,701,1070
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,159,1055
ENSG00000196151.10,chr2,159282873,159286582,3AS,True,24,124
ENSG00000187231.13,chr2,179264498,179264841,TSS,True,23,111
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,282,1716
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,1118,1725
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,1218,1725
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,203,241
ENSG00000119760.15,chr2,27661388,27662178,IR,False,203,240
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,235,282
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,76,310
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,263,310
ENSG00000128699.13,chr2,189782602,189783013,IR,False,66,191
ENSG00000128699.13,chr2,189782602,189784268,ES,False,75,112
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,170,277
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,149,281
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,107,315
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,213,315
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,179,235
ENSG00000144320.13,chr2,176002159,176002326,TSS,True,15,129
ENSG00000055332.17,chr2,37148939,37156907,3AS,False,54,146
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,55,170
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,130,170
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,19,176
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,18,143
ENSG00000118260.14,chr2,207560372,207567462,ES,False,159,226
ENSG00000119185.12,chr2,9406905,9407448,IR,False,162,195
ENSG00000119185.12,chr2,9418732,9422478,ES,False,71,103
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,53,207
ENSG00000119185.12,chr2,9405688,9407598,PAS,True,176,206
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,124,208
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,103,208
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,31,243
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,92,123
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,34,121
ENSG00000170035.15,chr2,180981043,180982236,TSS,True,96,121
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,31,256
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,301,449
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,182,448
ENSG00000079150.17,chr2,178469782,178477061,3AS,False,19,103
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,185,277
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,198,277
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,192,277
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,117,655
ENSG00000085982.13,chr2,233485590,233485626,PAS,True,76,101
ENSG00000085982.13,chr2,233485766,233485977,PAS,True,57,100
ENSG00000085982.13,chr2,233566683,233566799,TSS,True,21,105
ENSG00000184182.18,chr2,237994809,238025341,ES,False,22,211
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,37,163
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,97,128
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,127,164
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,108,128
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,41,325
ENSG00000115966.16,chr2,175118369,175130137,ES,False,40,117
ENSG00000115966.16,chr2,175168049,175168304,TSS,True,29,145
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,50,186
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,144,186
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,18,126
ENSG00000003436.15,chr2,187503770,187554199,ME,False,116,162
ENSG00000003436.15,chr2,187503770,187554199,ME,False,113,162
ENSG00000003436.15,chr2,187503770,187554199,ME,False,113,162
ENSG00000003436.15,chr2,187503770,187529363,ES,True,105,154
ENSG00000003436.15,chr2,187503770,187554199,ES,False,497,741
ENSG00000003436.15,chr2,187513646,187554199,ES,False,47,122
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,104,812
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,85,413
ENSG00000136560.13,chr2,161136917,161137063,TSS,True,436,492
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,163,492
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,405,492
ENSG00000237298.9,chr2,178538697,178541798,PAS,True,54,113
ENSG00000237298.9,chr2,178597595,178599510,PAS,True,102,118
ENSG00000071575.11,chr2,12716873,12717010,TSS,True,160,181
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,49,181
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,45,334
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,299,334
ENSG00000144218.18,chr2,100105334,100105464,TSS,False,96,112
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,155,177
ENSG00000163029.15,chr2,17698487,17700378,PAS,True,130,176
ENSG00000163029.15,chr2,17703134,17703292,PAS,False,140,176
ENSG00000163029.15,chr2,17717138,17717176,PAS,True,144,176
ENSG00000128654.13,chr2,176269669,176296859,ES,False,159,201
ENSG00000128654.13,chr2,176329426,176337492,ES,True,32,204
ENSG00000123636.17,chr2,159412545,159428310,ES,False,55,127
ENSG00000123636.17,chr2,159429260,159432756,ES,False,14,127
ENSG00000123636.17,chr2,159448403,159453612,3AS,False,18,135
ENSG00000123636.17,chr2,159448409,159478574,ES,False,13,128
ENSG00000123636.17,chr2,159398292,159398894,PAS,False,144,163
ENSG00000123636.17,chr2,159404388,159404910,PAS,True,69,163
ENSG00000123636.17,chr2,159616241,159617314,TSS,True,80,172
ENSG00000123636.17,chr2,159712313,159712458,TSS,True,142,172
ENSG00000123636.17,chr2,159615393,159615616,TSS,True,150,172
ENSG00000123983.13,chr2,222887888,222908732,ES,False,208,319
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,53,382
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,74,380
ENSG00000067066.16,chr2,230416328,230442936,ES,False,74,606
ENSG00000067066.16,chr2,230470098,230473383,3AS,False,121,240
ENSG00000067066.16,chr2,230494460,230503065,ES,True,11,105
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,261,627
ENSG00000067066.16,chr2,230498460,230498582,PAS,False,561,628
ENSG00000168397.16,chr2,241651335,241653511,ES,False,88,101
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,15,116
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,109,145
ENSG00000115365.11,chr2,210476315,210476732,TSS,True,130,145
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,80,145
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,273,400
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,136,410
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,290,410
ENSG00000163516.13,chr2,219230350,219231927,5AS,False,17,105
ENSG00000163516.13,chr2,219234288,219234825,IR,False,76,105
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,387,475
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,47,434
ENSG00000115762.16,chr2,131132991,131140169,IR,False,47,135
ENSG00000115762.16,chr2,131133015,131140169,3AS,True,25,113
ENSG00000115084.13,chr2,113715195,113719153,ES,True,70,452
ENSG00000119203.13,chr2,9472915,9473110,PAS,True,47,443
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,385,500
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,138,484
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,54,237
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,24,109
ENSG00000085760.14,chr2,55263865,55267568,ES,False,155,181
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,153,186
ENSG00000085760.14,chr2,55237324,55237428,PAS,True,159,186
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,109,186
ENSG00000085760.14,chr2,55243466,55244233,PAS,True,148,186
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,97,112
ENSG00000082258.12,chr2,134939001,134940448,PAS,True,112,126
ENSG00000082258.12,chr2,134953229,134959339,PAS,True,20,127
ENSG00000115524.15,chr2,197418588,197418895,IR,False,45,196
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,1015,1584
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,1366,1561
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,887,1537
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,43,389
ENSG00000128694.11,chr2,189745861,189747331,PAS,True,44,102
ENSG00000128694.11,chr2,189746659,189747168,PAS,False,70,102
ENSG00000128694.11,chr2,189762684,189762805,TSS,True,27,102
ENSG00000134330.18,chr2,9474647,9478221,ES,False,12,111
ENSG00000144231.10,chr2,127848185,127858027,ES,False,19,186
ENSG00000144366.15,chr2,188383889,188477658,ES,False,160,195
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,102,201
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,127,201
ENSG00000028116.17,chr2,58046621,58046821,TSS,True,64,101
ENSG00000028116.17,chr2,58046636,58046868,TSS,True,47,101
ENSG00000028116.17,chr2,58159348,58164001,PAS,True,21,101
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,727,1378
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,784,1374
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,20,124
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,89,103
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,23,105
ENSG00000068912.13,chr2,53801842,53809213,ES,False,72,354
ENSG00000144224.16,chr2,135753567,135754158,IR,False,109,171
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,37,209
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,153,178
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,100,185
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,156,176
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,135,178
ENSG00000115540.14,chr2,197516146,197535529,ES,False,42,354
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,215,279
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,138,274
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,15,134
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,3907,9620
ENSG00000163359.15,chr2,237324016,237324814,PAS,True,41,121
ENSG00000163359.15,chr2,237413952,237414379,TSS,True,89,122
ENSG00000128656.13,chr2,174846879,174847576,TSS,True,14,129
ENSG00000138078.15,chr2,44361523,44362808,TSS,True,81,107
ENSG00000138078.15,chr2,44361379,44361547,TSS,True,67,107
ENSG00000138078.15,chr2,44361416,44361559,TSS,True,95,107
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,44,104
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,92,105
ENSG00000163798.13,chr2,27682247,27682335,PAS,True,89,104
ENSG00000151694.13,chr2,9488455,9490518,PAS,True,20,181
ENSG00000151694.13,chr2,9555508,9556317,TSS,True,26,181
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,130,171
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,59,189
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,148,189
ENSG00000138375.12,chr2,216412603,216413855,5AS,False,20,145
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,182,304
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,171,304
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,83,112
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,61,112
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,33,124
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,91,124
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,625,2729
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,2228,2729
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,324,370
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,113,193
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,111,193
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,89,878
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,272,332
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,95,331
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,86,129
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,46,132
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,89,132
ENSG00000173960.13,chr2,23926184,23927615,TSS,True,92,104
ENSG00000173960.13,chr2,23940398,23940648,TSS,False,16,104
ENSG00000115993.12,chr2,201377206,201381218,PAS,False,18,118
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,26,130
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,86,160
ENSG00000153827.13,chr2,229763834,229767750,PAS,True,49,108
ENSG00000153827.13,chr2,229921879,229922235,TSS,True,92,118
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,188,358
ENSG00000138095.18,chr2,43918023,43918133,PAS,True,288,352
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,36,358
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,263,683
ENSG00000136536.14,chr2,159712661,159729008,ES,False,376,419
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,321,746
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,465,746
ENSG00000136536.14,chr2,159767283,159771026,PAS,True,218,739
ENSG00000136536.14,chr2,159747804,159748887,PAS,False,524,726
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,75,202
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,26,212
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,179,201
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,101,164
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,123,205
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,217,409
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,263,462
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,234,462
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,207,444
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,23,188
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,89,138
ENSG00000275052.4,chr2,55564313,55564497,PAS,True,103,136
ENSG00000275052.4,chr2,55613994,55615506,PAS,True,106,127
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,24,143
ENSG00000084733.10,chr2,26033943,26034735,TSS,True,20,198
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,61,503
ENSG00000115486.11,chr2,85550744,85550924,3AS,True,20,180
ENSG00000136682.14,chr2,113438022,113441350,ES,False,221,276
ENSG00000080345.17,chr2,151409939,151410413,5AS,False,81,135
ENSG00000080345.17,chr2,151441967,151443258,5AS,True,41,192
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,131,214
ENSG00000080345.17,chr2,151409883,151410527,TSS,True,175,214
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,155,214
ENSG00000080345.17,chr2,151459999,151460100,PAS,True,33,202
ENSG00000064933.17,chr2,189784564,189791789,5AS,True,12,105
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,37,123
ENSG00000064933.17,chr2,189784087,189784564,TSS,True,110,123
ENSG00000064933.17,chr2,189877271,189878394,PAS,True,102,122
ENSG00000064933.17,chr2,189854238,189856058,PAS,True,58,116
ENSG00000064933.17,chr2,189863742,189865716,PAS,True,95,121
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,166,251
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,151,251
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,39,300
ENSG00000116001.15,chr2,70216499,70216885,5AS,False,259,300
ENSG00000116001.15,chr2,70227822,70229058,ES,False,195,228
ENSG00000116001.15,chr2,70227822,70229058,IR,True,195,233
ENSG00000116001.15,chr2,70227822,70229263,ES,False,32,264
ENSG00000144283.21,chr2,158456879,158457218,TSS,True,110,126
ENSG00000144283.21,chr2,158457153,158458307,TSS,True,112,126
ENSG00000144283.21,chr2,158621735,158625427,TSS,True,85,123
ENSG00000144283.21,chr2,158662896,158663055,PAS,True,69,107
ENSG00000144283.21,chr2,158680428,158682964,PAS,True,50,124
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,235,278
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,82,278
ENSG00000049323.15,chr2,33252844,33257442,3AS,False,71,151
ENSG00000049323.15,chr2,33134499,33134960,TSS,True,67,174
ENSG00000049323.15,chr2,33360596,33360637,PAS,True,58,172
ENSG00000049323.15,chr2,33398363,33399509,PAS,True,153,176
ENSG00000049323.15,chr2,33364215,33364356,PAS,True,151,175
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,43,175
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,140,175
ENSG00000115042.9,chr2,95402872,95405552,ES,False,70,103
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,29,133
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,114,133
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,111,169
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,137,169
ENSG00000115816.14,chr2,37213538,37213961,PAS,True,146,169
ENSG00000115816.14,chr2,37211142,37216208,PAS,True,150,169
ENSG00000115641.18,chr2,105386540,105398841,ES,False,101,184
ENSG00000115641.18,chr2,105386540,105398969,ES,False,154,268
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,154,341
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,114,198
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,207,476
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,292,476
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,159,823
ENSG00000079785.14,chr2,15627053,15628207,PAS,True,726,822
ENSG00000115875.18,chr2,38745187,38746693,ES,False,66,409
ENSG00000115875.18,chr2,38748653,38748897,IR,False,40,120
ENSG00000115875.18,chr2,38748653,38749528,ES,False,284,325
ENSG00000115875.18,chr2,38748653,38749528,IR,False,284,357
ENSG00000115875.18,chr2,38749346,38749528,IR,False,51,141
ENSG00000115363.13,chr2,75560679,75560994,TSS,True,71,115
ENSG00000115363.13,chr2,75561256,75561340,TSS,True,58,115
ENSG00000119004.15,chr2,203239134,203251966,ES,False,39,178
ENSG00000119004.15,chr2,203245895,203251966,ES,False,23,139
ENSG00000119004.15,chr2,203266681,203278572,ES,False,19,176
ENSG00000138036.18,chr2,43805153,43807773,PAS,True,89,105
ENSG00000138036.18,chr2,43809704,43810010,PAS,True,27,105
ENSG00000115414.18,chr2,215372015,215372108,IR,False,4913,6717
ENSG00000115414.18,chr2,215372015,215373321,ES,False,1614,6243
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,1614,3416
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,1024,6435
ENSG00000115414.18,chr2,215379317,215382211,ES,False,3272,5760
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,2276,11361
ENSG00000115414.18,chr2,215407134,215407321,PAS,True,1201,2097
ENSG00000115414.18,chr2,215412760,215414958,PAS,True,1762,1974
ENSG00000115414.18,chr2,215408297,215408426,PAS,False,1838,2050
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,7590,9706
