gene,chr,start,end,splice_type,novel,WTC11_ENCFF866EVJ_in_cov,WTC11_ENCFF866EVJ_total_cov
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,92,411
PB_novel_212489,chr2,67334150,67339333,ES,True,103,124
PB_novel_212489,chr2,67339333,67339973,PAS,True,108,233
PB_novel_212489,chr2,67337515,67337976,PAS,True,147,223
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,141,304
ENSG00000076003.4,chr2,135846236,135846393,TSS,True,208,295
ENSG00000076003.4,chr2,135848052,135848073,TSS,True,260,297
ENSG00000115652.14,chr2,106094157,106098715,ES,True,15,117
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,90,114
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,23,162
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,61,294
ENSG00000115685.14,chr2,241153474,241153604,TSS,True,263,294
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,108,294
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,204,293
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,1293,7319
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,6139,7319
ENSG00000118260.14,chr2,207560372,207567462,ES,False,59,108
ENSG00000118260.14,chr2,207596913,207605043,PAS,True,13,113
ENSG00000119185.12,chr2,9406905,9408112,ES,False,51,140
ENSG00000119185.12,chr2,9414256,9423372,ES,False,12,115
ENSG00000119185.12,chr2,9418732,9423372,ES,False,95,108
ENSG00000119185.12,chr2,9405671,9406905,PAS,True,17,151
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,25,151
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,133,151
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,26,135
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,185,208
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,29,250
ENSG00000144354.13,chr2,173358837,173363225,ES,False,70,123
ENSG00000144354.13,chr2,173354819,173354984,TSS,True,47,169
ENSG00000144354.13,chr2,173367148,173367286,TSS,True,123,145
ENSG00000144354.13,chr2,173367633,173368997,PAS,True,31,164
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,20,180
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,1481,1960
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,575,1934
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,791,882
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,140,886
ENSG00000138050.14,chr2,39755960,39761330,ES,False,99,114
ENSG00000138050.14,chr2,39770119,39771514,5AS,False,16,123
ENSG00000138050.14,chr2,39736154,39737059,PAS,True,14,134
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,34,205
ENSG00000163170.11,chr2,74135658,74145188,ES,False,92,313
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,398,978
ENSG00000128708.12,chr2,171925535,171925641,TSS,True,601,977
ENSG00000184182.18,chr2,237994809,238025341,ES,False,14,114
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,20,141
ENSG00000243147.7,chr2,27772692,27779432,ES,False,136,271
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,109,370
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,310,370
ENSG00000197713.14,chr2,210002783,210015972,ES,False,25,154
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,294,385
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,98,403
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,311,403
ENSG00000198522.13,chr2,27628657,27629169,TSS,True,74,366
ENSG00000198522.13,chr2,27642430,27642519,TSS,True,314,366
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,90,295
ENSG00000095002.14,chr2,47410111,47410372,TSS,True,248,292
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,47,268
ENSG00000119782.13,chr2,24053949,24060813,ES,False,97,109
ENSG00000119782.13,chr2,24060926,24063063,3AS,False,63,110
ENSG00000119782.13,chr2,24063063,24063681,PAS,True,47,110
ENSG00000119782.13,chr2,24063018,24063681,PAS,True,63,110
ENSG00000197223.11,chr2,68047319,68062957,5AS,False,161,246
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,98,281
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,193,281
ENSG00000144034.14,chr2,73732285,73734428,ES,False,285,323
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,71,260
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,282,348
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,81,348
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,444,591
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,1240,1833
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,646,1833
ENSG00000185414.19,chr2,99195756,99197153,IR,True,45,109
ENSG00000185414.19,chr2,99181078,99181249,TSS,True,16,135
ENSG00000185414.19,chr2,99195572,99199555,PAS,True,73,123
ENSG00000185414.19,chr2,99197153,99197622,PAS,True,90,135
ENSG00000185414.19,chr2,99196558,99197626,PAS,False,119,135
ENSG00000153574.8,chr2,88691643,88691983,TSS,False,66,181
ENSG00000115539.13,chr2,100562916,100563073,TSS,False,76,386
ENSG00000115539.13,chr2,100566505,100566629,TSS,True,321,386
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,77,601
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,449,557
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,464,524
ENSG00000158417.10,chr2,99364270,99364327,PAS,True,223,558
ENSG00000124383.8,chr2,71130320,71130754,TSS,False,28,171
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,18,170
ENSG00000168397.16,chr2,241651335,241653511,ES,False,89,103
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,45,141
ENSG00000168397.16,chr2,241654543,241654647,TSS,True,117,141
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,52,137
ENSG00000168397.16,chr2,241654545,241655550,PAS,True,81,110
ENSG00000144524.17,chr2,231798964,231807486,ES,False,99,111
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,22,124
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,62,139
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,87,149
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,77,149
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,72,291
ENSG00000170144.20,chr2,177216940,177219036,ES,False,49,347
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,237,456
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,384,456
ENSG00000170144.20,chr2,177216857,177216940,TSS,True,399,449
ENSG00000170144.20,chr2,177217743,177217845,TSS,True,399,449
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,18,132
ENSG00000158411.11,chr2,99170652,99171509,ES,False,38,184
ENSG00000158411.11,chr2,99169152,99169470,PAS,True,23,187
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,18,100
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,31,262
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,25,105
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,232,342
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,68,275
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,105,352
ENSG00000115524.15,chr2,197403584,197403766,TSS,True,109,125
ENSG00000135972.8,chr2,105038053,105038227,TSS,False,265,951
ENSG00000135972.8,chr2,105097222,105097324,TSS,True,718,949
ENSG00000144366.15,chr2,188292166,188383762,5AS,False,92,108
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,159,254
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,133,254
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,62,250
ENSG00000144366.15,chr2,188541180,188543224,PAS,True,199,247
ENSG00000144199.11,chr2,97091712,97094700,ES,False,51,127
ENSG00000144199.11,chr2,97094700,97094903,TSS,True,71,198
ENSG00000144199.11,chr2,97091461,97091634,TSS,True,143,198
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,633,920
ENSG00000135916.15,chr2,230865145,230875619,ES,False,56,443
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,282,727
ENSG00000065548.17,chr2,186486216,186486457,TSS,True,74,462
ENSG00000115540.14,chr2,197516146,197535529,ES,False,89,489
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,70,103
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,1936,8998
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,7179,8998
ENSG00000240344.8,chr2,200888955,200889279,TSS,True,53,134
ENSG00000240344.8,chr2,200889243,200889339,TSS,True,96,134
ENSG00000138433.15,chr2,174395550,174395715,TSS,True,16,101
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,184,228
ENSG00000136718.9,chr2,130342935,130343085,IR,False,184,205
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,255,438
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,394,438
ENSG00000136718.9,chr2,130346205,130346274,TSS,True,315,436
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,78,104
ENSG00000138074.14,chr2,27211710,27211802,TSS,True,86,104
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,75,104
ENSG00000115128.6,chr2,24076199,24076759,TSS,True,76,353
ENSG00000115129.13,chr2,24077432,24077761,PAS,True,23,162
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,48,162
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,125,162
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,314,480
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,194,480
ENSG00000119772.16,chr2,25252193,25252337,TSS,False,136,152
ENSG00000119772.16,chr2,25240639,25241209,TSS,True,47,150
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,119,187
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,82,188
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,136,188
ENSG00000114956.19,chr2,73927052,73946718,ES,False,366,480
ENSG00000114956.19,chr2,73946906,73958145,ES,False,199,456
ENSG00000168883.19,chr2,85648853,85649016,IR,False,38,114
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,24,124
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,40,116
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,86,124
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,162,227
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,72,234
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,169,234
ENSG00000239779.6,chr2,74457828,74458671,TSS,True,23,149
ENSG00000239779.6,chr2,74458432,74458537,TSS,False,134,149
ENSG00000180398.12,chr2,46907969,46915722,ES,False,19,123
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,22,145
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,113,378
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,50,388
ENSG00000119812.18,chr2,33599168,33599346,TSS,True,113,227
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,56,345
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,142,305
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,160,293
ENSG00000084733.10,chr2,26033943,26034735,TSS,True,15,148
ENSG00000115091.11,chr2,113889952,113890323,TSS,True,44,390
ENSG00000144120.12,chr2,119679225,119680831,5AS,False,180,316
ENSG00000144120.12,chr2,119679276,119680831,5AS,False,102,135
ENSG00000144120.12,chr2,119679163,119679276,TSS,True,232,335
ENSG00000144120.12,chr2,119679139,119679225,TSS,True,155,335
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,53,493
ENSG00000211460.11,chr2,121755616,121755845,TSS,True,89,462
ENSG00000124380.10,chr2,69904253,69905927,PAS,True,22,218
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,67,222
ENSG00000119888.10,chr2,47369142,47369581,TSS,False,71,108
ENSG00000119888.10,chr2,47379469,47379969,TSS,True,92,108
ENSG00000119888.10,chr2,47377028,47377077,TSS,True,88,108
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,410,1690
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,1369,1690
ENSG00000115042.9,chr2,95402872,95405552,ES,False,125,166
ENSG00000115042.9,chr2,95402872,95405552,5AS,False,125,147
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,82,248
ENSG00000115042.9,chr2,95402707,95405803,TSS,True,197,248
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,39,196
ENSG00000115816.14,chr2,37228821,37229036,PAS,False,138,167
ENSG00000115816.14,chr2,37231411,37231618,TSS,False,31,198
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,126,492
ENSG00000079785.14,chr2,15603189,15603275,TSS,True,391,466
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,161,192
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,53,192
ENSG00000168393.12,chr2,241678649,241685768,ES,False,120,459
ENSG00000115875.18,chr2,38745187,38746693,ES,False,449,2308
ENSG00000115875.18,chr2,38748653,38748897,IR,False,125,182
ENSG00000115875.18,chr2,38748653,38749239,5AS,True,34,156
ENSG00000115875.18,chr2,38749346,38749528,IR,False,182,226
ENSG00000143727.15,chr2,271939,275139,ME,False,198,1006
ENSG00000143727.15,chr2,271939,272191,ES,False,198,239
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,42,127
ENSG00000171103.10,chr2,28850405,28851098,5AS,False,23,121
ENSG00000171103.10,chr2,28869578,28870311,TSS,True,28,134
ENSG00000198130.15,chr2,190319715,190319862,TSS,True,83,377
ENSG00000198130.15,chr2,190290404,190290487,TSS,False,333,377
ENSG00000136710.9,chr2,130339232,130340907,ES,False,98,109
ENSG00000136710.9,chr2,130342014,130342165,TSS,True,15,112
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,83,232
ENSG00000138398.15,chr2,169604985,169606146,TSS,True,207,232
ENSG00000138398.15,chr2,169636412,169641406,PAS,True,61,200
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,135,189
ENSG00000003509.15,chr2,37248134,37251181,PAS,True,37,119
ENSG00000003509.15,chr2,37253085,37253889,PAS,False,89,120
ENSG00000173692.12,chr2,231056606,231057041,TSS,True,38,305
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,259,292
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,97,305
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,238,290
PB_novel_212671,chr2,188034060,188035602,3AS,True,72,102
PB_novel_212671,chr2,188034060,188039129,ES,True,191,295
ENSG00000168958.19,chr2,227340380,227355676,ES,False,119,170
ENSG00000143870.12,chr2,10812677,10812829,TSS,True,373,2576
ENSG00000171863.14,chr2,3575350,3575600,IR,True,133,250
ENSG00000122085.16,chr2,241097427,241102252,ES,False,29,142
ENSG00000122085.16,chr2,241095030,241096438,PAS,True,19,165
ENSG00000163032.11,chr2,17540404,17540918,TSS,True,56,506
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,14,113
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,25,124
ENSG00000138382.14,chr2,169824640,169824781,IR,False,262,321
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,92,353
ENSG00000138382.14,chr2,169824640,169824867,IR,False,92,149
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,165,430
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,338,430
ENSG00000138382.14,chr2,169824488,169824919,TSS,True,365,430
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,1284,8103
ENSG00000077380.15,chr2,171707377,171715327,ES,False,105,123
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,99,155
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,68,155
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,35,155
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,123,143
ENSG00000116120.9,chr2,222566898,222572022,PAS,False,66,350
ENSG00000116120.9,chr2,222656015,222656102,TSS,False,131,350
ENSG00000116120.9,chr2,222599927,222599962,TSS,True,281,344
ENSG00000104231.10,chr8,81715114,81718181,ES,False,30,132
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,18,139
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,84,105
ENSG00000164754.14,chr8,116854244,116854948,TSS,True,51,104
ENSG00000187840.4,chr8,38030502,38030718,TSS,False,76,447
ENSG00000245910.8,chr8,66922114,66925436,ME,False,32,156
ENSG00000245910.8,chr8,66922392,66925436,ES,False,124,675
ENSG00000245910.8,chr8,66922392,66925436,3AS,True,124,173
ENSG00000172172.7,chr8,120445067,120445403,TSS,False,38,374
ENSG00000120992.17,chr8,54101754,54102030,TSS,True,71,403
ENSG00000120992.17,chr8,54101349,54102030,TSS,True,350,403
ENSG00000070501.11,chr8,42338685,42344952,ES,False,91,153
ENSG00000070501.11,chr8,42352568,42355515,ES,False,132,148
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,170,1655
ENSG00000147471.11,chr8,37766279,37767778,PAS,True,135,157
ENSG00000147471.11,chr8,37777972,37779768,PAS,True,50,157
ENSG00000104341.16,chr8,97775787,97776108,TSS,True,97,115
ENSG00000104341.16,chr8,97805351,97805464,TSS,True,55,115
ENSG00000078668.13,chr8,42391616,42391928,TSS,True,193,1195
ENSG00000078668.13,chr8,42391918,42393884,TSS,True,1029,1195
ENSG00000221914.9,chr8,26293740,26338892,3AS,True,13,124
ENSG00000221914.9,chr8,26291481,26291826,TSS,True,41,159
ENSG00000160973.7,chr8,144475223,144475582,3AS,False,40,220
ENSG00000147677.10,chr8,116755665,116755843,TSS,True,137,1117
ENSG00000120913.23,chr8,22589741,22593732,ES,False,53,153
ENSG00000147533.16,chr8,41506012,41507058,3AS,False,260,292
ENSG00000147533.16,chr8,41490558,41490617,TSS,False,69,307
ENSG00000147533.16,chr8,41490582,41490965,TSS,True,266,307
ENSG00000104327.7,chr8,90082102,90082808,5AS,True,32,232
ENSG00000104327.7,chr8,90082618,90082879,TSS,True,41,241
ENSG00000104327.7,chr8,90082808,90082879,TSS,True,211,243
ENSG00000169490.16,chr8,38996212,38996517,TSS,True,78,457
ENSG00000169490.16,chr8,38996418,38996519,TSS,True,397,457
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,1228,4301
ENSG00000161016.17,chr8,144791991,144792215,TSS,True,3829,4300
ENSG00000161016.17,chr8,144792244,144792390,TSS,True,3721,4301
ENSG00000182307.13,chr8,145052437,145052497,TSS,False,73,140
ENSG00000182307.13,chr8,145052464,145052897,TSS,True,107,137
ENSG00000176731.11,chr8,85217502,85220305,ES,False,211,625
ENSG00000176731.11,chr8,85219360,85220305,3AS,False,62,415
ENSG00000176731.11,chr8,85220305,85220386,TSS,True,159,785
ENSG00000104522.15,chr8,143614453,143614623,IR,False,286,328
ENSG00000104522.15,chr8,143617473,143618177,TSS,False,101,351
ENSG00000104522.15,chr8,143616566,143618080,TSS,True,294,351
ENSG00000153310.19,chr8,129871496,129903311,ES,False,113,274
ENSG00000153310.19,chr8,129903350,129939607,ES,False,123,237
ENSG00000153310.19,chr8,129939607,129939904,TSS,True,65,317
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,88,761
ENSG00000136982.5,chr8,119855613,119856068,TSS,True,19,126
ENSG00000179950.13,chr8,143818534,143821596,ES,False,206,477
ENSG00000179950.13,chr8,143821913,143829279,ES,False,99,438
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,51,340
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,63,502
ENSG00000147687.18,chr8,124516030,124518817,5AS,False,289,337
ENSG00000147687.18,chr8,124539024,124539097,TSS,True,66,383
ENSG00000170791.17,chr8,56211837,56214597,ES,False,215,442
ENSG00000170791.17,chr8,56212889,56214597,5AS,False,98,229
ENSG00000170791.17,chr8,56214667,56216432,3AS,False,343,445
