gene,chr,start,end,splice_type,novel,K562_ENCFF661OEY_in_cov,K562_ENCFF661OEY_total_cov
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,667,906
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,374,907
ENSG00000160194.17,chr21,42893216,42893381,TSS,True,42,119
ENSG00000160194.17,chr21,42896924,42897047,TSS,True,106,119
ENSG00000160194.17,chr21,42903189,42904276,TSS,True,93,115
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,130,147
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,16,133
ENSG00000142188.16,chr21,33479837,33480007,TSS,True,21,148
ENSG00000156256.14,chr21,29024636,29024777,TSS,True,28,103
ENSG00000156256.14,chr21,29054065,29054498,PAS,False,28,100
ENSG00000243927.5,chr21,34073513,34073745,TSS,True,16,128
ENSG00000243927.5,chr21,34103496,34106261,PAS,True,107,119
ENSG00000275895.6,chr21,6487412,6495992,ME,False,47,294
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,121,437
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,345,1377
ENSG00000159147.17,chr21,33582055,33584589,ES,False,32,283
ENSG00000159147.17,chr21,33588320,33588838,TSS,True,46,315
ENSG00000159259.7,chr21,36415389,36416274,ES,True,171,196
ENSG00000159259.7,chr21,36385361,36385451,TSS,False,54,236
ENSG00000159259.7,chr21,36416274,36417064,PAS,False,32,228
ENSG00000159259.7,chr21,36397742,36398723,PAS,False,177,205
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,140,318
ENSG00000275464.4,chr21,5140952,5141053,TSS,True,281,317
ENSG00000160284.14,chr21,46184355,46184486,TSS,True,63,153
ENSG00000160284.14,chr21,46161915,46161971,TSS,True,132,152
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,79,382
ENSG00000154719.13,chr21,25607402,25607522,TSS,True,39,168
ENSG00000154719.13,chr21,25606448,25606657,TSS,True,148,168
ENSG00000160285.14,chr21,46195756,46205835,ES,True,41,381
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,376,431
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,235,431
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,204,235
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,54,230
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,27,117
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,41,108
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,81,108
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,89,243
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,158,243
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,84,190
ENSG00000071054.16,chr2,101859864,101864929,ES,False,134,199
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,44,212
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,152,212
ENSG00000071054.16,chr2,101870415,101873646,ES,False,141,214
ENSG00000071054.16,chr2,101887237,101887777,5AS,False,177,220
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,96,269
ENSG00000071054.16,chr2,101891165,101894689,PAS,True,35,255
ENSG00000222041.11,chr2,87455422,87455645,TSS,True,29,106
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,312,1866
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,423,1866
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,74,679
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,763,2932
ENSG00000187514.16,chr2,231711414,231711983,TSS,True,2436,2932
ENSG00000153561.12,chr2,86720018,86720809,TSS,False,40,108
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,98,199
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,31,159
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,301,883
ENSG00000115761.15,chr2,10689795,10689996,TSS,True,24,131
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,87,767
ENSG00000055917.15,chr2,20350596,20350848,TSS,True,62,109
ENSG00000198380.12,chr2,69387064,69387284,TSS,True,44,222
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,41,192
ENSG00000119787.13,chr2,38293948,38298575,PAS,True,106,120
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,83,192
ENSG00000119787.13,chr2,38298143,38298561,TSS,True,139,189
ENSG00000134313.15,chr2,8750111,8750297,TSS,True,144,173
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,163,184
ENSG00000134313.15,chr2,8733443,8733646,TSS,True,138,173
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,38,315
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,61,210
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,150,205
ENSG00000144029.11,chr2,95121733,95122014,TSS,True,27,218
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,94,227
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,114,826
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,172,733
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,19,159
ENSG00000115355.16,chr2,55287841,55291164,PAS,True,178,211
ENSG00000115355.16,chr2,55334233,55335164,PAS,True,27,162
ENSG00000115355.16,chr2,55419016,55419995,TSS,True,58,215
ENSG00000180902.17,chr2,241744877,241767709,ES,True,24,121
ENSG00000180902.17,chr2,241751388,241767709,ES,True,16,101
ENSG00000180902.17,chr2,241734573,241734695,TSS,True,102,184
ENSG00000180902.17,chr2,241734574,241735516,TSS,True,154,184
ENSG00000180902.17,chr2,241742426,241742574,TSS,True,160,183
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,71,396
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,75,128
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,114,128
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,159,546
ENSG00000144136.10,chr2,112645939,112647162,TSS,True,473,546
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,73,553
ENSG00000152133.14,chr2,37088440,37091915,ES,False,14,125
ENSG00000152133.14,chr2,37084476,37084570,TSS,True,45,144
ENSG00000152133.14,chr2,37084521,37088440,TSS,True,110,144
ENSG00000152133.14,chr2,37096207,37099244,PAS,False,18,141
ENSG00000138031.14,chr2,24820114,24820723,ES,True,92,110
ENSG00000138031.14,chr2,24819163,24820114,PAS,True,26,138
ENSG00000138031.14,chr2,24919682,24920614,TSS,False,111,162
ENSG00000138031.14,chr2,24918312,24919187,TSS,True,136,162
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,202,282
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,384,525
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,429,646
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,326,616
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,309,663
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,522,663
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,92,106
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,58,106
ENSG00000074582.13,chr2,218659716,218659800,TSS,False,89,106
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,151,1109
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,60,272
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,202,1790
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,177,307
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,232,307
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,263,307
ENSG00000172845.14,chr2,173954872,173956233,TSS,True,269,302
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,238,344
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,273,344
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,293,344
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,543,669
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,135,680
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,120,139
ENSG00000163006.11,chr2,108786915,108788031,5AS,True,92,114
ENSG00000163006.11,chr2,108798586,108804891,3AS,False,14,129
ENSG00000163006.11,chr2,108816105,108846737,ES,True,16,121
ENSG00000163006.11,chr2,108856970,108876087,ES,False,19,120
ENSG00000163006.11,chr2,108786738,108786915,TSS,True,40,133
ENSG00000163006.11,chr2,108786747,108786933,TSS,True,111,133
ENSG00000172965.15,chr2,111203189,111208661,PAS,True,113,137
ENSG00000172965.15,chr2,111244299,111247558,PAS,True,115,131
ENSG00000172965.15,chr2,111494884,111495118,TSS,True,73,146
ENSG00000032389.12,chr2,3377647,3377973,TSS,True,34,153
ENSG00000135945.9,chr2,99400473,99401352,PAS,True,95,125
ENSG00000135945.9,chr2,99403037,99403106,PAS,True,72,125
ENSG00000135945.9,chr2,99437006,99439310,PAS,True,79,110
ENSG00000135945.9,chr2,99489816,99490218,TSS,True,25,125
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,176,321
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,190,314
ENSG00000115756.12,chr2,10302659,10303177,TSS,True,24,200
ENSG00000168497.4,chr2,191846442,191847090,TSS,False,94,270
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,46,284
ENSG00000136542.8,chr2,157257577,157259536,TSS,False,80,786
ENSG00000168906.12,chr2,85542373,85542564,IR,False,97,108
ENSG00000168906.12,chr2,85543034,85543669,IR,True,80,113
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,122,222
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,34,113
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,90,113
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,52,228
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,260,291
ENSG00000152102.17,chr2,131052890,131052958,TSS,True,255,288
ENSG00000152102.17,chr2,131055271,131055382,TSS,True,256,288
ENSG00000065911.11,chr2,74198742,74205704,ES,True,493,618
ENSG00000143797.11,chr2,9003539,9003882,TSS,True,40,233
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,113,535
ENSG00000136732.15,chr2,126656312,126693863,ES,False,19,123
ENSG00000136732.15,chr2,126655856,126656312,TSS,True,292,421
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,49,130
ENSG00000124831.18,chr2,237708630,237748363,ES,False,107,125
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,48,180
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,15,138
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,333,374
ENSG00000018699.12,chr2,32628004,32628380,TSS,True,177,363
ENSG00000018699.12,chr2,32628113,32630700,TSS,True,305,363
ENSG00000018699.12,chr2,32633877,32634005,TSS,True,314,363
ENSG00000138442.9,chr2,202911435,202912409,TSS,False,51,394
ENSG00000077232.17,chr2,182732542,182740298,ES,False,30,261
ENSG00000115694.14,chr2,241499414,241500172,IR,False,137,162
ENSG00000115694.14,chr2,241498988,241499128,TSS,True,244,291
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,201,293
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,247,293
ENSG00000168385.17,chr2,241315982,241324215,ES,False,597,746
ENSG00000168385.17,chr2,241314891,241315610,TSS,True,945,1088
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,321,1088
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,100,113
ENSG00000198925.11,chr2,219224105,219224710,TSS,True,89,112
ENSG00000198925.11,chr2,219222644,219223333,TSS,True,96,112
ENSG00000198925.11,chr2,219222271,219222404,TSS,True,96,112
ENSG00000021574.12,chr2,32063529,32064246,TSS,True,28,107
ENSG00000189223.14,chr2,113235505,113235570,TSS,True,42,115
ENSG00000189223.14,chr2,113265475,113267010,PAS,True,81,114
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,357,415
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,253,415
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,256,858
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,100,112
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,27,112
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,20,101
ENSG00000173744.17,chr2,227472138,227472588,TSS,True,20,118
ENSG00000144320.13,chr2,176002159,176002326,TSS,True,38,104
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,132,444
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,39,115
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,48,113
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,78,110
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,706,1191
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,933,1191
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,805,1191
ENSG00000135966.12,chr2,105329624,105330200,TSS,False,66,113
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,75,228
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,168,228
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,132,380
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,57,110
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,70,110
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,158,251
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,178,245
ENSG00000144354.13,chr2,173354819,173354984,TSS,True,77,232
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,119,287
ENSG00000170035.15,chr2,180981043,180982236,TSS,True,188,286
ENSG00000115163.14,chr2,26792240,26793144,ES,False,16,143
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,77,195
ENSG00000144485.10,chr2,238239251,238239486,IR,False,74,193
ENSG00000144485.10,chr2,238238266,238239568,PAS,True,83,200
ENSG00000144485.10,chr2,238238266,238239251,PAS,True,123,200
ENSG00000144485.10,chr2,238239824,238240038,TSS,True,135,320
ENSG00000055044.10,chr2,202265235,202265986,TSS,True,85,422
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,171,363
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,216,365
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,49,187
ENSG00000115364.13,chr2,75647071,75647219,TSS,True,155,187
ENSG00000115364.13,chr2,75655063,75662204,PAS,True,25,175
ENSG00000115364.13,chr2,75652141,75652199,PAS,True,151,173
ENSG00000075340.22,chr2,70656789,70663735,PAS,True,19,136
ENSG00000075340.22,chr2,70675083,70676885,PAS,True,93,104
ENSG00000075340.22,chr2,70678703,70678787,TSS,True,168,194
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,25,150
ENSG00000163170.11,chr2,74135658,74145188,ES,False,170,416
ENSG00000163170.11,chr2,74147820,74147923,TSS,True,156,442
ENSG00000163170.11,chr2,74145188,74145300,TSS,True,308,441
ENSG00000138092.10,chr2,24793134,24793501,TSS,True,140,182
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,34,254
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,82,559
ENSG00000144043.11,chr2,70994687,70994882,TSS,False,91,136
PB_novel_06603,chr2,113708893,113710458,TSS,True,93,131
PB_novel_06603,chr2,113713035,113713749,PAS,True,101,131
ENSG00000187699.10,chr2,190180438,190181109,TSS,False,41,151
ENSG00000168758.10,chr2,96864704,96864879,TSS,True,84,100
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,34,115
ENSG00000138399.17,chr2,169537340,169540050,ES,False,32,183
ENSG00000138399.17,chr2,169563350,169571652,ES,False,35,185
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,47,222
ENSG00000169016.16,chr2,11453798,11465771,ES,False,20,118
ENSG00000169016.16,chr2,11457233,11465771,ES,False,82,102
ENSG00000169016.16,chr2,11465771,11466247,TSS,True,25,148
ENSG00000138069.17,chr2,65129892,65130116,TSS,True,35,323
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,108,536
ENSG00000243147.7,chr2,27772692,27779432,ES,False,48,122
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,60,180
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,160,180
ENSG00000197713.14,chr2,210002567,210002783,TSS,True,36,204
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,569,761
ENSG00000144028.14,chr2,96286687,96286879,TSS,True,685,778
ENSG00000144028.14,chr2,96286310,96286592,TSS,True,649,778
ENSG00000138081.20,chr2,47806751,47808247,PAS,True,17,130
ENSG00000138081.20,chr2,47810547,47813377,PAS,True,114,127
ENSG00000138081.20,chr2,47905488,47906533,TSS,True,47,163
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,44,136
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,122,136
ENSG00000115947.13,chr2,147972738,147972780,TSS,False,122,136
ENSG00000198522.13,chr2,27628657,27629169,TSS,True,28,243
ENSG00000003436.15,chr2,187503770,187554199,ES,False,106,165
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,22,208
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,38,213
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,32,102
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,81,102
ENSG00000136560.13,chr2,161235341,161236211,PAS,True,30,102
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,56,218
ENSG00000071575.11,chr2,12723257,12723552,TSS,True,193,218
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,382,1463
ENSG00000171848.14,chr2,10122729,10123057,TSS,True,1288,1463
ENSG00000163029.15,chr2,17745951,17753625,ES,False,185,228
ENSG00000163029.15,chr2,17663582,17665613,PAS,True,99,251
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,185,250
ENSG00000163029.15,chr2,17753625,17754596,TSS,True,26,255
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,92,116
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,41,116
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,71,162
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,76,159
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,31,216
ENSG00000128654.13,chr2,176269669,176296859,ES,False,192,226
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,75,110
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,442,552
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,147,552
ENSG00000118640.10,chr2,85577531,85577649,TSS,True,23,111
ENSG00000185414.19,chr2,99181078,99181249,TSS,True,123,233
ENSG00000153574.8,chr2,88691643,88691983,TSS,False,27,157
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,39,126
ENSG00000132313.14,chr2,86206102,86206295,TSS,True,104,126
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,28,103
ENSG00000123983.13,chr2,222887888,222908732,ES,False,225,300
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,115,373
ENSG00000158417.10,chr2,99361162,99361820,TSS,True,146,184
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,197,306
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,215,261
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,137,259
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,316,370
ENSG00000136699.19,chr2,130157396,130164373,ES,False,123,148
ENSG00000136699.19,chr2,130154276,130154465,TSS,True,304,405
ENSG00000136699.19,chr2,130172348,130172462,TSS,True,359,408
ENSG00000124383.8,chr2,71130320,71130754,TSS,False,31,253
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,57,253
ENSG00000171853.15,chr2,3379682,3379876,TSS,True,118,168
ENSG00000171853.15,chr2,3386936,3388670,TSS,False,83,168
ENSG00000171853.15,chr2,3479218,3480457,PAS,True,28,151
ENSG00000168397.16,chr2,241651335,241653511,ES,False,87,105
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,68,165
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,31,148
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,58,136
ENSG00000144524.17,chr2,231788732,231794262,ES,False,12,109
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,47,152
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,97,205
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,131,229
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,129,229
ENSG00000123485.11,chr2,233845820,233852564,ES,False,19,180
ENSG00000123485.11,chr2,233854383,233854574,TSS,True,41,224
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,66,275
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,294,502
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,436,502
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,48,341
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,36,170
ENSG00000171865.9,chr2,3558132,3558375,TSS,False,74,291
ENSG00000144021.2,chr2,96268658,96269267,IR,False,373,418
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,71,493
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,189,1252
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,147,174
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,21,168
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,98,292
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,155,669
ENSG00000115107.19,chr2,119223632,119223888,TSS,True,117,143
ENSG00000115107.19,chr2,119247887,119248206,TSS,True,104,143
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,51,128
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,56,107
ENSG00000182551.13,chr2,3519367,3519566,TSS,False,32,171
ENSG00000136731.12,chr2,128091176,128091596,TSS,True,79,106
ENSG00000085760.14,chr2,55263865,55267568,ES,False,193,228
ENSG00000085760.14,chr2,55267635,55268649,5AS,True,23,189
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,99,276
ENSG00000085760.14,chr2,55268816,55269248,TSS,True,248,276
