gene,chr,start,end,splice_type,novel,heart_left_ventricle_ENCFF437SYY_in_cov,heart_left_ventricle_ENCFF437SYY_total_cov
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,29,131
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,20,120
ENSG00000154723.12,chr21,25734988,25735653,TSS,True,176,199
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,51,199
ENSG00000160194.17,chr21,42897047,42908863,ES,True,119,186
ENSG00000160194.17,chr21,42893216,42893381,TSS,True,22,195
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,92,108
ENSG00000142173.14,chr21,46125795,46126237,TSS,True,95,108
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,55,112
ENSG00000205581.10,chr21,39345274,39348291,ES,False,117,131
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,16,146
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,17,115
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,12,115
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,138,170
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,145,170
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,122,169
ENSG00000154639.18,chr21,17512975,17513172,TSS,True,35,347
ENSG00000135930.13,chr2,232558018,232564246,ES,True,122,157
ENSG00000135930.13,chr2,232567214,232580903,ES,False,29,154
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,27,182
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,136,153
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,37,189
ENSG00000187514.16,chr2,231711366,231712516,TSS,True,170,189
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,70,318
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,28,116
ENSG00000138413.13,chr2,208254342,208254454,TSS,False,96,116
ENSG00000013016.15,chr2,31233960,31234848,TSS,False,35,176
ENSG00000198380.12,chr2,69350183,69354488,ES,False,23,158
ENSG00000134313.15,chr2,8728856,8731982,PAS,True,94,123
ENSG00000134313.15,chr2,8721141,8725599,PAS,True,112,135
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,58,145
ENSG00000204843.12,chr2,74371728,74377431,ES,False,79,605
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,287,777
ENSG00000204843.12,chr2,74380004,74380316,TSS,True,694,777
ENSG00000144036.15,chr2,72825797,72826051,TSS,True,90,137
ENSG00000204120.14,chr2,232697392,232703423,ES,False,130,243
ENSG00000204120.14,chr2,232703489,232735154,ES,False,150,247
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,30,299
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,251,282
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,195,295
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,250,297
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,224,295
ENSG00000158019.20,chr2,28298491,28338449,ES,True,236,303
ENSG00000158019.20,chr2,27890511,27890842,TSS,True,40,304
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,76,200
ENSG00000124006.14,chr2,219556723,219557822,ES,False,110,149
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,56,140
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,229,305
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,177,301
ENSG00000124006.14,chr2,219557822,219558216,TSS,True,189,220
ENSG00000124006.14,chr2,219558183,219559261,TSS,True,179,220
ENSG00000124006.14,chr2,219559224,219559543,TSS,False,196,220
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,247,305
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,120,139
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,40,139
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,20,139
ENSG00000115648.13,chr2,237518648,237525600,ES,False,23,223
ENSG00000115648.13,chr2,237527516,237540347,ES,False,69,227
ENSG00000115648.13,chr2,237540533,237542566,ES,False,50,231
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,49,233
ENSG00000115648.13,chr2,237510453,237510795,TSS,True,194,233
ENSG00000198399.14,chr2,24360303,24360807,TSS,True,11,106
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,262,731
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,642,731
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,651,731
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,61,106
ENSG00000011523.13,chr2,65056353,65056524,TSS,True,70,112
ENSG00000011523.13,chr2,65056401,65056528,TSS,True,80,112
ENSG00000011523.13,chr2,65069398,65069801,TSS,True,97,112
ENSG00000011523.13,chr2,65071588,65072980,TSS,True,93,110
ENSG00000168906.12,chr2,85543034,85543669,IR,True,670,833
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,181,839
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,705,839
ENSG00000065911.11,chr2,74198742,74205704,ES,True,167,207
ENSG00000065911.11,chr2,74198742,74207703,ES,False,25,233
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,89,232
ENSG00000124831.18,chr2,237756187,237760063,ES,False,34,189
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,79,336
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,263,315
ENSG00000124831.18,chr2,237753308,237755960,PAS,True,216,305
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,224,332
ENSG00000124831.18,chr2,237774357,237774439,PAS,True,298,332
ENSG00000163092.19,chr2,167187354,167187531,TSS,False,587,939
ENSG00000163092.19,chr2,167250512,167251947,TSS,True,24,116
ENSG00000163092.19,chr2,167257856,167259753,PAS,True,825,918
ENSG00000114923.16,chr2,219628570,219629143,5AS,False,64,120
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,984,1751
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,94,122
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,135,175
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,81,175
ENSG00000168385.17,chr2,241315982,241324215,ES,False,886,1009
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,143,1208
ENSG00000198925.11,chr2,219228053,219229534,ES,False,17,104
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,172,281
ENSG00000198925.11,chr2,219224105,219224710,TSS,True,252,281
ENSG00000198925.11,chr2,219222644,219223333,TSS,True,209,280
ENSG00000163492.15,chr2,178835755,178837744,PAS,True,177,225
ENSG00000163492.15,chr2,178856255,178856397,PAS,True,146,223
ENSG00000163492.15,chr2,178871453,178871552,PAS,True,173,194
ENSG00000163492.15,chr2,179049839,179050195,TSS,True,54,233
ENSG00000163492.15,chr2,178868025,178868207,TSS,True,142,165
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,188,915
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,620,761
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,488,928
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,726,928
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,90,105
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,30,120
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,105,120
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,95,119
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,45,121
ENSG00000128699.13,chr2,189783013,189784347,TSS,True,107,119
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,97,136
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,17,104
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,42,226
ENSG00000118260.14,chr2,207560372,207567462,ES,False,79,134
ENSG00000119185.12,chr2,9418732,9422478,ES,False,87,166
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,186,261
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,94,261
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,109,124
ENSG00000077044.10,chr2,233418895,233419421,TSS,False,69,124
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,95,208
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,134,208
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,44,128
ENSG00000170035.15,chr2,180981043,180982236,TSS,True,88,128
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,15,119
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,1695,2368
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,841,2361
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,44,250
ENSG00000138399.17,chr2,169563350,169571652,ES,False,59,167
ENSG00000138399.17,chr2,169528115,169529926,PAS,True,40,173
ENSG00000138399.17,chr2,169531388,169531490,PAS,True,146,171
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,18,173
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,61,146
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,129,146
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,82,102
ENSG00000144028.14,chr2,96286687,96286879,TSS,True,89,104
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,93,106
ENSG00000144028.14,chr2,96279450,96279559,TSS,True,89,101
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,88,103
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,17,106
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,91,106
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,29,269
ENSG00000118960.12,chr2,20651031,20651157,TSS,True,31,101
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,68,100
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,22,125
ENSG00000071575.11,chr2,12740325,12742734,PAS,False,13,120
ENSG00000115380.19,chr2,55875065,55881611,ES,False,20,127
ENSG00000115380.19,chr2,55922447,55923710,ES,False,78,120
ENSG00000128654.13,chr2,176269669,176296859,ES,False,235,268
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,219,254
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,36,254
ENSG00000063660.8,chr2,240464922,240464975,TSS,True,259,289
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,25,187
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,68,623
ENSG00000123983.13,chr2,222887888,222908732,ES,False,92,156
ENSG00000123983.13,chr2,222922707,222922831,PAS,True,155,173
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,28,178
ENSG00000115539.13,chr2,100562916,100563073,TSS,False,11,100
ENSG00000158417.10,chr2,99388067,99389849,TSS,True,36,278
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,48,311
ENSG00000170417.15,chr2,102761993,102762349,TSS,True,46,271
ENSG00000170417.15,chr2,102814747,102819570,PAS,True,32,244
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,82,114
ENSG00000067066.16,chr2,230416328,230442936,ES,False,137,361
ENSG00000067066.16,chr2,230449710,230461261,ES,True,59,341
ENSG00000067066.16,chr2,230462518,230466300,ES,False,39,366
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,101,376
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,332,376
ENSG00000168397.16,chr2,241651335,241653511,ES,False,117,136
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,47,181
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,244,402
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,178,422
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,266,422
ENSG00000186281.12,chr2,96023023,96023308,ES,True,103,266
ENSG00000186281.12,chr2,96024667,96024772,3AS,False,42,278
ENSG00000186281.12,chr2,96026305,96027006,ES,False,56,114
ENSG00000186281.12,chr2,96026305,96027418,ES,True,150,276
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,134,165
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,18,152
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,31,215
ENSG00000115084.13,chr2,113711380,113715195,PAS,True,21,182
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,733,2757
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,2431,2757
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,231,1850
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,58,479
ENSG00000085760.14,chr2,55263865,55267568,ES,False,104,119
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,85,132
ENSG00000085760.14,chr2,55237324,55237428,PAS,True,115,132
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,79,132
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,22,132
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,303,519
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,240,500
ENSG00000180228.12,chr2,178447586,178450965,ES,True,64,514
ENSG00000134330.18,chr2,9474647,9478221,ES,False,14,130
ENSG00000134330.18,chr2,9488146,9489790,PAS,True,15,136
ENSG00000138363.14,chr2,215312161,215312497,5AS,False,215,239
ENSG00000138363.14,chr2,215312161,215312497,IR,False,215,256
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,91,306
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,263,306
ENSG00000072195.14,chr2,219460063,219460996,TSS,False,89,126
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,53,115
ENSG00000115183.14,chr2,159001189,159065895,ES,True,269,305
ENSG00000115183.14,chr2,159169351,159170523,5AS,True,24,115
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,103,404
ENSG00000115183.14,chr2,159225687,159226174,PAS,True,316,384
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,329,386
ENSG00000115183.14,chr2,159089583,159092504,PAS,True,109,314
ENSG00000144199.11,chr2,97091712,97094700,ES,False,20,129
ENSG00000155657.26,chr2,178789497,178790707,ES,True,22,146
ENSG00000155657.26,chr2,178789497,178792071,ES,False,149,601
ENSG00000155657.26,chr2,178790115,178792071,ES,False,335,470
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,1711,8119
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,29,109
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,1350,9212
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,389,678
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,340,677
ENSG00000135916.15,chr2,230865145,230875619,ES,False,26,223
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,37,261
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,231,261
ENSG00000115540.14,chr2,197516146,197535529,ES,False,31,282
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,140,176
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,60,169
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,19,176
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,43,245
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,84,470
ENSG00000138078.15,chr2,44361523,44362808,TSS,True,92,126
ENSG00000138078.15,chr2,44361379,44361547,TSS,True,68,125
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,70,153
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,115,154
ENSG00000003402.19,chr2,201160942,201162995,ES,True,66,108
ENSG00000003402.19,chr2,201160942,201163834,ES,True,136,157
ENSG00000003402.19,chr2,201160942,201163834,3AS,True,136,229
ENSG00000003402.19,chr2,201163106,201163834,IR,True,12,105
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,186,475
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,377,475
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,330,459
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,312,464
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,410,464
ENSG00000132323.8,chr2,238194331,238194804,5AS,False,134,157
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,161,245
ENSG00000136718.9,chr2,130342935,130343085,IR,False,161,196
ENSG00000136718.9,chr2,130342962,130343085,IR,False,84,119
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,137,296
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,212,296
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,261,296
ENSG00000162959.13,chr2,32010186,32010682,TSS,True,20,141
ENSG00000162959.13,chr2,32010941,32011071,TSS,True,125,141
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,246,1305
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1093,1305
ENSG00000119801.12,chr2,30147062,30156627,ES,False,172,222
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,106,128
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,197,231
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,131,231
ENSG00000123989.13,chr2,219540945,219541087,TSS,True,189,227
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,53,130
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,81,129
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,16,143
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,16,111
ENSG00000175084.11,chr2,219420155,219420494,5AS,True,55,187
ENSG00000175084.11,chr2,219420159,219420263,3AS,True,38,141
ENSG00000175084.11,chr2,219420656,219420834,5AS,True,51,205
ENSG00000175084.11,chr2,219420656,219420834,IR,True,51,230
ENSG00000175084.11,chr2,219420660,219420834,3AS,True,154,328
ENSG00000175084.11,chr2,219421560,219425634,3AS,True,222,294
ENSG00000175084.11,chr2,219423820,219425669,IR,True,75,245
ENSG00000175084.11,chr2,219423820,219426709,IR,True,25,206
ENSG00000175084.11,chr2,219423824,219425662,IR,True,127,169
ENSG00000175084.11,chr2,219425745,219425956,5AS,True,61,104
ENSG00000175084.11,chr2,219425745,219425956,IR,True,61,218
ENSG00000175084.11,chr2,219425749,219425956,3AS,True,39,185
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,43,196
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,95,141
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,50,145
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,100,145
ENSG00000173960.13,chr2,23940398,23940648,TSS,False,16,148
ENSG00000115993.12,chr2,201377206,201381218,PAS,False,38,179
ENSG00000115993.12,chr2,201392978,201393046,PAS,True,122,153
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,67,215
ENSG00000138443.15,chr2,203328259,203328631,TSS,True,51,113
ENSG00000138443.15,chr2,203395651,203395780,TSS,True,94,113
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,41,108
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,56,237
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,42,237
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,136,322
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,186,373
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,228,373
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,137,381
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,207,239
ENSG00000115306.15,chr2,54469890,54469986,TSS,True,195,269
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,136,230
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,168,223
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,217,262
ENSG00000075292.18,chr2,71276554,71276754,TSS,True,107,243
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,192,242
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,204,242
ENSG00000075292.18,chr2,71426459,71427570,PAS,False,217,243
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,129,239
ENSG00000075292.18,chr2,71395246,71395756,PAS,False,215,239
ENSG00000186522.14,chr2,109544324,109546049,IR,True,98,118
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,28,126
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,103,123
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,867,1051
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,291,1051
ENSG00000127824.13,chr2,219252007,219252231,TSS,True,536,615
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,226,615
ENSG00000127824.13,chr2,219254094,219254717,TSS,False,534,615
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,74,127
ENSG00000142327.12,chr2,240568471,240572563,TSS,True,114,127
ENSG00000142327.12,chr2,240573073,240574348,TSS,True,113,127
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,335,770
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,48,152
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,113,152
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,75,620
ENSG00000189350.12,chr2,29014032,29014561,TSS,True,19,103
ENSG00000196843.15,chr2,96547517,96549752,ES,False,71,132
ENSG00000115042.9,chr2,95402872,95405276,5AS,False,79,107
ENSG00000115042.9,chr2,95402872,95405552,ES,False,102,194
ENSG00000115042.9,chr2,95402872,95405552,5AS,False,102,167
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,70,268
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,204,268
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,87,198
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,170,198
ENSG00000115641.18,chr2,105386540,105398841,ES,False,76,108
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,28,136
ENSG00000084764.11,chr2,27024252,27025582,5AS,False,20,105
ENSG00000115593.14,chr2,88091142,88096594,ES,False,207,994
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,70,573
ENSG00000163328.13,chr2,174465902,174468911,ES,False,16,111
ENSG00000163328.13,chr2,174481987,174486872,ES,False,84,102
ENSG00000163328.13,chr2,174434151,174436416,PAS,True,14,111
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,173,220
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,29,276
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,84,276
ENSG00000115415.18,chr2,190984309,190984395,TSS,True,217,271
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,89,112
ENSG00000119729.11,chr2,46543413,46543812,TSS,True,69,112
ENSG00000152689.17,chr2,33475942,33476707,TSS,True,94,112
ENSG00000152689.17,chr2,33458034,33458130,TSS,False,37,112
ENSG00000152689.17,chr2,33562728,33566322,PAS,True,29,111
ENSG00000169756.16,chr2,108680770,108683884,ES,True,16,122
ENSG00000169756.16,chr2,108534375,108534594,TSS,True,86,130
ENSG00000169756.16,chr2,108654963,108655256,TSS,True,57,130
ENSG00000171103.10,chr2,28852499,28869578,ES,True,15,106
ENSG00000072163.19,chr2,127654896,127675013,ES,True,27,212
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,103,328
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,168,820
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,689,820
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,36,115
ENSG00000138448.11,chr2,186677196,186680903,PAS,True,27,102
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,73,508
ENSG00000168958.19,chr2,227325427,227330625,ES,False,121,341
ENSG00000168958.19,chr2,227328789,227330625,ES,False,178,222
ENSG00000168958.19,chr2,227340380,227347225,ES,False,119,241
ENSG00000168958.19,chr2,227340380,227352513,ME,True,119,137
ENSG00000168958.19,chr2,227340380,227352513,ES,False,71,330
ENSG00000168958.19,chr2,227342819,227352513,ES,True,18,141
ENSG00000152086.8,chr2,130195078,130195231,TSS,True,77,498
ENSG00000152086.8,chr2,130193785,130194412,TSS,True,446,498
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,16,108
ENSG00000122085.16,chr2,241102252,241102414,TSS,True,11,101
ENSG00000163032.11,chr2,17540404,17540918,TSS,True,29,108
ENSG00000163032.11,chr2,17592077,17592236,TSS,True,90,108
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,32,236
ENSG00000123992.19,chr2,219387163,219387758,5AS,False,168,213
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,85,253
ENSG00000123992.19,chr2,219387575,219387934,TSS,True,208,253
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,21,170
ENSG00000115290.9,chr2,164621118,164621504,TSS,True,19,135
ENSG00000104231.10,chr8,81715114,81718181,ES,False,56,148
ENSG00000104231.10,chr8,81718224,81721248,5AS,False,19,146
ENSG00000104231.10,chr8,81721248,81721320,TSS,True,133,152
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,25,152
ENSG00000136986.9,chr8,123041969,123042353,TSS,True,144,325
ENSG00000136986.9,chr8,123025722,123025824,TSS,False,277,325
ENSG00000040341.17,chr8,73422702,73552011,ES,False,78,155
ENSG00000040341.17,chr8,73688813,73738283,ES,False,59,118
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,44,202
ENSG00000040341.17,chr8,73526820,73527804,PAS,True,173,201
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,83,203
ENSG00000040341.17,chr8,73613743,73613938,TSS,True,171,201
ENSG00000179526.16,chr8,144098994,144099276,ES,False,37,194
ENSG00000179526.16,chr8,144098629,144098788,PAS,False,24,214
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,24,143
ENSG00000085719.12,chr8,86558287,86561509,PAS,True,18,134
