gene,chr,start,end,splice_type,novel,HL-60_ENCFF600MGT_in_cov,HL-60_ENCFF600MGT_total_cov
ENSG00000204120.14,chr2,232697392,232703423,ES,False,204,284
ENSG00000204120.14,chr2,232703489,232735154,ES,False,164,294
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,242,339
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,270,343
ENSG00000204120.14,chr2,232856792,232860574,PAS,True,305,345
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,255,339
ENSG00000115355.16,chr2,55334233,55335164,PAS,True,53,119
ENSG00000115355.16,chr2,55343743,55343792,PAS,False,85,119
ENSG00000180902.17,chr2,241742574,241743638,3AS,False,17,160
ENSG00000180902.17,chr2,241744877,241755848,ES,False,33,130
ENSG00000180902.17,chr2,241744877,241767709,ES,True,17,152
ENSG00000138073.13,chr2,27133337,27133531,IR,False,461,520
ENSG00000115073.7,chr2,97658643,97658878,IR,False,156,320
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,37,111
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,88,111
ENSG00000144136.10,chr2,112652798,112657121,ES,False,184,226
ENSG00000013441.15,chr2,200859746,200861237,IR,False,26,213
ENSG00000196504.16,chr2,152677475,152679351,ES,False,39,309
ENSG00000196504.16,chr2,152693068,152694541,IR,True,263,310
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,223,320
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,91,324
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,165,329
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,233,329
ENSG00000196504.16,chr2,152717830,152718478,TSS,True,288,329
ENSG00000114982.17,chr2,96601776,96602752,ES,False,17,112
ENSG00000114982.17,chr2,96604857,96605319,3AS,False,12,108
ENSG00000114982.17,chr2,96638282,96638378,TSS,True,44,120
ENSG00000074582.13,chr2,218659800,218660306,IR,False,17,106
ENSG00000074582.13,chr2,218660421,218660938,IR,True,37,121
ENSG00000074582.13,chr2,218661520,218661758,5AS,False,35,149
ENSG00000074582.13,chr2,218662260,218662514,3AS,False,20,153
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,90,159
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,113,159
ENSG00000074582.13,chr2,218659716,218659800,TSS,False,141,159
ENSG00000064012.21,chr2,201233451,201233622,TSS,True,73,102
ENSG00000064012.21,chr2,201233448,201233554,TSS,True,80,102
ENSG00000064012.21,chr2,201260501,201260613,TSS,False,57,101
ENSG00000183513.8,chr2,98604191,98608306,IR,True,99,144
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,59,158
ENSG00000183513.8,chr2,98604107,98608481,TSS,True,110,156
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,76,192
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,129,192
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,83,114
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,83,114
ENSG00000198399.14,chr2,24291507,24293775,PAS,True,94,114
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,24,209
ENSG00000068784.12,chr2,45477075,45546731,ME,True,16,122
ENSG00000068784.12,chr2,45611218,45611308,TSS,False,62,139
ENSG00000068784.12,chr2,45567935,45568054,TSS,False,82,138
ENSG00000011523.13,chr2,65056353,65056524,TSS,True,54,102
ENSG00000011523.13,chr2,65056401,65056528,TSS,True,51,102
ENSG00000011523.13,chr2,65083638,65087004,PAS,False,23,102
ENSG00000011523.13,chr2,65074281,65075271,PAS,True,82,102
ENSG00000152256.13,chr2,172566933,172570725,ES,False,16,159
ENSG00000152256.13,chr2,172596023,172597612,IR,False,33,154
ENSG00000152256.13,chr2,172597612,172599143,PAS,False,146,179
ENSG00000152256.13,chr2,172595828,172599153,PAS,True,54,174
ENSG00000168906.12,chr2,85543034,85543669,IR,True,168,1183
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,1017,1184
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,207,1184
ENSG00000132300.18,chr2,86127305,86127940,IR,True,340,397
ENSG00000065911.11,chr2,74198742,74205704,ES,True,1678,1963
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,55,466
ENSG00000124831.18,chr2,237760205,237762602,IR,True,117,131
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,20,154
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,27,144
ENSG00000196950.13,chr2,195734882,195737704,PAS,False,22,129
ENSG00000077232.17,chr2,182732542,182740298,ES,False,48,116
ENSG00000003393.14,chr2,201700267,201701889,PAS,True,64,106
ENSG00000003393.14,chr2,201731866,201733438,PAS,True,91,102
ENSG00000003393.14,chr2,201759260,201761818,PAS,True,69,100
ENSG00000003393.14,chr2,201780876,201781151,TSS,True,23,107
ENSG00000115694.14,chr2,241499414,241500172,IR,False,130,170
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,110,152
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,124,175
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,62,175
ENSG00000168385.17,chr2,241315982,241317498,ES,False,84,109
ENSG00000168385.17,chr2,241315982,241317498,IR,True,84,104
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,135,1338
ENSG00000115514.11,chr2,99318989,99319799,PAS,True,12,117
ENSG00000115514.11,chr2,99321533,99322209,PAS,True,105,117
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,57,133
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,102,133
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,562,980
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,694,979
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,782,980
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,462,621
ENSG00000115307.16,chr2,74527121,74527247,IR,False,148,165
ENSG00000115307.16,chr2,74527838,74527939,IR,False,555,630
ENSG00000115307.16,chr2,74528006,74528247,IR,False,444,612
ENSG00000115307.16,chr2,74528321,74528416,IR,True,481,629
ENSG00000115307.16,chr2,74528489,74528750,IR,True,354,598
ENSG00000115307.16,chr2,74528489,74529131,ES,True,30,267
ENSG00000115307.16,chr2,74528489,74529131,5AS,True,30,148
ENSG00000115307.16,chr2,74528489,74529131,IR,True,30,269
ENSG00000115307.16,chr2,74528935,74529131,IR,False,239,593
ENSG00000115307.16,chr2,74529282,74529361,IR,False,559,626
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,96,134
ENSG00000119760.15,chr2,27661388,27662178,IR,False,96,124
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,150,178
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,38,186
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,158,186
ENSG00000128699.13,chr2,189782602,189783013,IR,False,41,103
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,98,157
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,108,161
ENSG00000128699.13,chr2,189783013,189784347,TSS,True,128,157
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,236,1148
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,927,1148
ENSG00000144407.9,chr2,208493263,208494505,PAS,True,31,114
ENSG00000158552.12,chr2,219208639,219208976,IR,False,85,160
ENSG00000158552.12,chr2,219209049,219209261,IR,False,84,157
ENSG00000158552.12,chr2,219206773,219206845,TSS,True,61,160
ENSG00000158552.12,chr2,219206792,219207042,TSS,True,107,160
ENSG00000158552.12,chr2,219208571,219209648,PAS,True,91,160
ENSG00000158552.12,chr2,219209261,219209648,PAS,True,76,160
ENSG00000115548.16,chr2,86441329,86441444,TSS,True,13,104
ENSG00000115548.16,chr2,86492038,86492725,PAS,True,16,104
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,109,149
ENSG00000144320.13,chr2,175993223,175995557,ES,False,161,212
ENSG00000115310.17,chr2,54987698,55080488,ES,True,73,126
ENSG00000115310.17,chr2,54972184,54973198,PAS,True,17,167
ENSG00000115310.17,chr2,55091768,55091937,TSS,True,18,168
ENSG00000118260.14,chr2,207560372,207567462,ES,False,73,105
ENSG00000118260.14,chr2,207596913,207605043,PAS,True,32,117
ENSG00000118260.14,chr2,207577504,207584245,PAS,True,101,117
ENSG00000077044.10,chr2,233390483,233441886,ES,True,45,272
ENSG00000077044.10,chr2,233437479,233441886,ES,True,27,225
ENSG00000077044.10,chr2,233445762,233448086,ES,True,68,270
ENSG00000077044.10,chr2,233446796,233448086,5AS,True,160,192
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,45,324
ENSG00000077044.10,chr2,233469370,233472104,PAS,True,193,307
ENSG00000077044.10,chr2,233467085,233472094,PAS,False,127,306
ENSG00000144354.13,chr2,173363895,173363999,IR,False,63,253
ENSG00000144354.13,chr2,173363895,173364794,IR,False,355,440
ENSG00000144354.13,chr2,173364161,173364794,IR,False,15,121
ENSG00000144354.13,chr2,173367633,173368997,PAS,True,140,618
ENSG00000144354.13,chr2,173363817,173364685,PAS,True,508,610
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,55,193
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,139,193
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,130,198
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,129,198
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,154,198
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,78,235
ENSG00000115459.17,chr2,85354829,85356966,ES,False,11,108
ENSG00000115459.17,chr2,85362260,85368685,ES,False,42,116
ENSG00000115459.17,chr2,85371209,85377343,ES,False,45,110
ENSG00000115459.17,chr2,85377474,85389750,ES,False,91,112
ENSG00000115459.17,chr2,85390759,85391752,PAS,True,20,127
ENSG00000169016.16,chr2,11453798,11465771,ES,False,41,182
ENSG00000138069.17,chr2,65089070,65097970,ES,True,17,168
ENSG00000197713.14,chr2,210016112,210016506,ES,False,278,313
ENSG00000197713.14,chr2,210017559,210019668,ES,False,262,304
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,39,368
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,178,376
ENSG00000115966.16,chr2,175118369,175130137,ES,False,153,235
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,45,342
ENSG00000155744.9,chr2,200981871,200988261,ES,False,122,144
ENSG00000155744.9,chr2,201017170,201022830,ES,False,120,140
ENSG00000155744.9,chr2,201045593,201071609,5AS,True,85,107
ENSG00000155744.9,chr2,201071609,201071692,TSS,False,51,153
ENSG00000155744.9,chr2,201071453,201071643,TSS,True,121,153
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,19,118
ENSG00000163162.8,chr2,101288230,101289055,PAS,True,105,117
ENSG00000115687.13,chr2,241149413,241150286,TSS,True,22,145
ENSG00000128654.13,chr2,176269669,176296859,ES,False,93,130
ENSG00000123983.13,chr2,222887888,222908732,ES,False,161,210
ENSG00000115325.13,chr2,74554814,74555155,3AS,False,23,227
ENSG00000115325.13,chr2,74555668,74556307,ES,False,48,225
ENSG00000067066.16,chr2,230416328,230442936,ES,False,25,186
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,73,192
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,167,192
ENSG00000168397.16,chr2,241651111,241651263,IR,False,316,373
ENSG00000168397.16,chr2,241651335,241653306,IR,True,46,131
ENSG00000168397.16,chr2,241651335,241653511,ES,False,234,280
ENSG00000168397.16,chr2,241651335,241653511,IR,True,234,315
ENSG00000168397.16,chr2,241653369,241653511,IR,True,52,135
ENSG00000168397.16,chr2,241671405,241672190,IR,False,202,293
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,190,397
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,301,389
ENSG00000168397.16,chr2,241651009,241653989,PAS,True,327,381
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,223,299
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,146,299
ENSG00000144524.17,chr2,231781079,231781883,TSS,True,445,544
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,112,538
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,208,377
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,173,381
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,218,381
ENSG00000163516.13,chr2,219230350,219231927,5AS,False,99,515
ENSG00000163516.13,chr2,219230350,219231927,IR,True,99,119
ENSG00000163516.13,chr2,219230350,219232259,ES,False,17,119
ENSG00000163516.13,chr2,219232683,219233078,IR,True,502,559
ENSG00000163516.13,chr2,219234288,219234825,IR,False,349,552
ENSG00000163516.13,chr2,219235312,219235473,IR,False,367,527
ENSG00000163516.13,chr2,219235585,219235707,IR,False,431,545
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,29,208
ENSG00000144021.2,chr2,96268658,96269267,IR,False,450,527
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,405,458
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,83,107
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,33,105
ENSG00000136731.12,chr2,128091382,128097428,5AS,False,30,105
ENSG00000136731.12,chr2,128155587,128157251,ES,False,64,101
ENSG00000136731.12,chr2,128091170,128091382,TSS,False,87,117
ENSG00000136731.12,chr2,128091162,128091415,TSS,True,56,117
ENSG00000136731.12,chr2,128189716,128193203,PAS,True,22,114
ENSG00000085760.14,chr2,55263865,55267568,ES,False,227,265
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,162,275
ENSG00000085760.14,chr2,55237324,55237428,PAS,True,232,272
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,169,272
ENSG00000115524.15,chr2,197418588,197418895,IR,False,24,208
ENSG00000115524.15,chr2,197418588,197420427,IR,True,1286,1463
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,428,1533
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,1188,1514
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,65,169
ENSG00000180228.12,chr2,178450241,178451158,TSS,True,114,169
ENSG00000144231.10,chr2,127848185,127858027,ES,False,59,354
ENSG00000144231.10,chr2,127850685,127858027,ES,True,39,263
ENSG00000138363.14,chr2,215312390,215312497,IR,False,77,192
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,203,1772
ENSG00000135913.10,chr2,218568177,218568385,TSS,True,11,102
ENSG00000144199.11,chr2,97085861,97086138,IR,False,170,211
ENSG00000144199.11,chr2,97091712,97094700,ES,False,22,206
ENSG00000144199.11,chr2,97091985,97094700,3AS,True,23,184
ENSG00000115935.17,chr2,174559572,174562602,PAS,True,21,178
ENSG00000115935.17,chr2,174571675,174572124,TSS,True,178,198
ENSG00000115935.17,chr2,174682773,174682988,TSS,True,172,202
ENSG00000115935.17,chr2,174634517,174634899,TSS,True,109,202
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,777,2558
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,1881,2556
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,89,100
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,20,100
ENSG00000068912.13,chr2,53801842,53809213,ES,False,31,253
ENSG00000144224.16,chr2,135753567,135754158,IR,False,118,141
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,29,145
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,111,166
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,102,165
ENSG00000138078.15,chr2,44318761,44321445,PAS,True,25,128
ENSG00000138078.15,chr2,44361379,44361547,TSS,True,42,128
ENSG00000138078.15,chr2,44361416,44361559,TSS,True,113,128
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,82,187
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,134,188
ENSG00000132323.8,chr2,238188257,238189852,IR,True,108,124
ENSG00000132323.8,chr2,238188257,238189862,5AS,False,50,160
ENSG00000132323.8,chr2,238194331,238194804,IR,False,57,118
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,423,547
ENSG00000136718.9,chr2,130342935,130343085,IR,False,423,488
ENSG00000136718.9,chr2,130342962,130343085,IR,False,124,189
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,196,619
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,495,619
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,556,619
ENSG00000138375.12,chr2,216412648,216413855,5AS,False,137,154
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,120,257
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,183,257
ENSG00000138074.14,chr2,27201113,27201349,IR,False,352,406
ENSG00000138074.14,chr2,27204931,27205349,IR,True,309,395
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,342,417
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,162,417
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,370,417
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,187,718
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,537,718
ENSG00000119801.12,chr2,30147062,30156627,ES,False,125,147
ENSG00000144589.21,chr2,219597803,219597923,TSS,True,197,300
ENSG00000144589.21,chr2,219598092,219598180,TSS,True,258,300
ENSG00000144589.21,chr2,219608047,219608430,TSS,False,195,300
ENSG00000068024.16,chr2,239400977,239401032,TSS,False,89,101
ENSG00000068024.16,chr2,239224266,239224365,TSS,True,65,101
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,582,669
ENSG00000084774.13,chr2,27216845,27217633,TSS,True,95,155
ENSG00000084774.13,chr2,27233321,27234226,TSS,True,131,153
ENSG00000136709.11,chr2,127701026,127706552,PAS,False,128,157
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,106,144
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,60,142
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,18,158
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,18,112
ENSG00000091409.14,chr2,172504090,172506456,PAS,True,28,106
ENSG00000091409.14,chr2,172484781,172484818,PAS,True,88,103
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,141,914
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,87,300
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,338,3195
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,261,516
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,277,534
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,266,534
ENSG00000115211.15,chr2,27367201,27367456,IR,False,152,179
ENSG00000115211.15,chr2,27367822,27368024,IR,False,154,181
ENSG00000115211.15,chr2,27368139,27368371,IR,False,127,166
ENSG00000115211.15,chr2,27368463,27368653,IR,False,131,171
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,71,179
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,101,131
ENSG00000075292.18,chr2,71331865,71355718,ES,False,14,116
ENSG00000075292.18,chr2,71276554,71276754,TSS,True,174,208
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,170,208
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,89,208
ENSG00000075292.18,chr2,71426459,71427570,PAS,False,176,207
ENSG00000075292.18,chr2,71434741,71435062,PAS,True,182,208
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,136,201
ENSG00000275052.4,chr2,55564476,55564901,3AS,True,24,199
ENSG00000275052.4,chr2,55577356,55579678,ES,False,135,200
ENSG00000275052.4,chr2,55547291,55550006,PAS,True,59,235
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,27,238
ENSG00000136682.14,chr2,113438022,113441350,ES,False,34,117
ENSG00000136682.14,chr2,113465173,113471032,ES,True,90,101
ENSG00000080345.17,chr2,151409939,151410413,5AS,False,88,176
ENSG00000080345.17,chr2,151409939,151410413,IR,True,88,103
ENSG00000080345.17,chr2,151410033,151410413,IR,False,88,168
ENSG00000080345.17,chr2,151441967,151443258,5AS,True,29,251
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,192,280
ENSG00000080345.17,chr2,151409883,151410527,TSS,True,198,280
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,191,280
ENSG00000080345.17,chr2,151462883,151465662,PAS,True,233,272
ENSG00000080345.17,chr2,151459999,151460100,PAS,True,70,272
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,26,107
ENSG00000064933.17,chr2,189877271,189878394,PAS,True,45,107
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,164,309
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,167,309
ENSG00000152117.17,chr2,131500346,131500505,5AS,True,142,186
ENSG00000152117.17,chr2,131518708,131519049,IR,True,72,189
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,15,104
ENSG00000116001.15,chr2,70216499,70216885,5AS,False,92,106
ENSG00000116001.15,chr2,70209443,70212845,PAS,True,22,127
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,43,178
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,149,178
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,25,242
ENSG00000196843.15,chr2,96547517,96549752,ES,False,40,218
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,97,733
ENSG00000115042.9,chr2,95402872,95405552,ES,False,77,102
ENSG00000115042.9,chr2,95402872,95405552,5AS,False,77,112
ENSG00000115042.9,chr2,95410586,95410863,IR,False,73,118
ENSG00000115042.9,chr2,95412542,95412676,IR,True,78,139
ENSG00000115042.9,chr2,95412764,95412894,IR,True,96,143
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,64,167
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,130,167
ENSG00000115042.9,chr2,95412894,95415547,PAS,True,70,164
ENSG00000115042.9,chr2,95412433,95416605,PAS,True,133,164
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,106,290
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,256,290
ENSG00000115317.11,chr2,74531105,74531338,IR,True,111,127
ENSG00000115317.11,chr2,74531371,74531596,IR,False,110,126
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,43,406
ENSG00000115875.18,chr2,38748653,38749528,IR,False,94,183
ENSG00000144504.15,chr2,240479420,240479655,PAS,True,82,100
ENSG00000144504.15,chr2,240560730,240561131,TSS,True,17,100
ENSG00000198612.10,chr2,237086042,237087126,IR,True,132,150
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,18,159
ENSG00000198612.10,chr2,237097662,237102019,PAS,True,25,159
ENSG00000143727.15,chr2,271939,275139,ME,False,48,291
ENSG00000143727.15,chr2,271939,272191,ES,False,48,137
ENSG00000143727.15,chr2,272065,272191,IR,False,89,112
ENSG00000143727.15,chr2,277226,278283,PAS,True,44,436
