gene,chr,start,end,splice_type,novel,HepG2_ENCFF814ABW_in_cov,HepG2_ENCFF814ABW_total_cov
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,137,259
ENSG00000160209.18,chr21,43755950,43762297,PAS,True,34,148
ENSG00000159086.14,chr21,32759269,32759776,IR,True,79,125
ENSG00000159086.14,chr21,32733823,32735067,PAS,True,55,132
ENSG00000159086.14,chr21,32757305,32759269,PAS,True,116,129
ENSG00000159086.14,chr21,32756616,32759994,PAS,True,94,127
ENSG00000182871.14,chr21,45505431,45505837,3AS,False,691,807
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,791,1129
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,1007,1121
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,209,312
ENSG00000173638.18,chr21,45537770,45538012,TSS,True,279,312
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,47,102
ENSG00000160193.11,chr21,42879406,42879579,TSS,False,17,102
ENSG00000160201.11,chr21,43092955,43093249,PAS,True,17,106
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,25,121
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,77,209
ENSG00000157557.11,chr21,38817855,38819766,TSS,True,177,197
ENSG00000241945.7,chr21,44107234,44107434,TSS,True,25,130
ENSG00000156273.15,chr21,29298773,29298953,TSS,False,48,115
ENSG00000156273.15,chr21,29298920,29299598,TSS,False,93,115
ENSG00000156273.15,chr21,29342398,29346151,PAS,False,11,108
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,322,1507
ENSG00000142207.6,chr21,32346955,32347734,TSS,True,45,124
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,131,193
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,94,193
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,74,102
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,26,126
ENSG00000205581.10,chr21,39348902,39349152,TSS,True,61,259
ENSG00000205581.10,chr21,39348544,39349151,TSS,True,233,259
ENSG00000159147.17,chr21,33588320,33588838,TSS,True,16,105
ENSG00000180530.10,chr21,14968526,15043494,ES,False,49,120
ENSG00000180530.10,chr21,14968526,15064744,ES,True,14,132
ENSG00000180530.10,chr21,15064744,15065077,TSS,True,50,192
ENSG00000160285.14,chr21,46195756,46205835,ES,True,34,233
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,205,264
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,227,264
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,188,264
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,98,185
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,109,182
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,206,809
ENSG00000154639.18,chr21,17593151,17594991,PAS,False,646,828
ENSG00000115561.15,chr2,86503429,86505949,PAS,True,16,130
ENSG00000115561.15,chr2,86542251,86542312,PAS,True,114,128
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,16,144
ENSG00000135930.13,chr2,232567214,232580903,ES,False,99,124
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,27,178
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,133,168
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,44,168
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,122,318
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,204,318
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,493,908
ENSG00000071054.16,chr2,101859864,101864929,ME,False,52,167
ENSG00000071054.16,chr2,101859864,101864929,ES,False,796,968
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,211,1002
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,683,984
ENSG00000071054.16,chr2,101870415,101873646,ES,False,514,980
ENSG00000071054.16,chr2,101887237,101887777,5AS,False,710,974
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,234,1457
ENSG00000071054.16,chr2,101891165,101894689,PAS,True,459,1438
ENSG00000071054.16,chr2,101855976,101856832,PAS,True,1063,1360
ENSG00000157985.18,chr2,235908906,235968461,ES,False,48,111
ENSG00000157985.18,chr2,235493902,235494850,TSS,True,90,182
ENSG00000157985.18,chr2,236123918,236126556,PAS,True,25,132
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,40,295
ENSG00000204335.3,chr2,170715310,170715563,TSS,False,393,968
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,103,795
ENSG00000150540.13,chr2,137964295,137964628,TSS,True,46,294
ENSG00000150540.13,chr2,138013774,138016349,PAS,True,45,265
ENSG00000153561.12,chr2,86720018,86720809,TSS,False,42,245
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,72,264
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,127,266
ENSG00000115109.13,chr2,120013027,120013210,TSS,True,28,197
ENSG00000115109.13,chr2,120104059,120108570,PAS,True,39,181
ENSG00000115109.13,chr2,120174840,120179119,PAS,True,152,188
ENSG00000124839.12,chr2,237575480,237577256,IR,True,111,152
ENSG00000124839.12,chr2,237577382,237585997,ES,False,38,110
ENSG00000124839.12,chr2,237575386,237576564,TSS,True,227,258
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,122,261
ENSG00000055917.15,chr2,20350596,20350848,TSS,True,91,112
ENSG00000055917.15,chr2,20350809,20350896,TSS,False,92,112
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,35,172
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,34,172
ENSG00000134313.15,chr2,8837479,8837628,TSS,True,76,107
ENSG00000144040.12,chr2,73071603,73072187,TSS,True,51,103
ENSG00000144040.12,chr2,73070459,73071335,TSS,True,90,103
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,38,327
ENSG00000115718.17,chr2,127418492,127419921,3AS,False,118,198
ENSG00000115718.17,chr2,127418492,127419925,3AS,False,139,337
ENSG00000115718.17,chr2,127418492,127419925,IR,True,139,159
ENSG00000115718.17,chr2,127420012,127421317,3AS,False,47,366
ENSG00000115718.17,chr2,127422941,127423033,IR,True,279,403
ENSG00000115718.17,chr2,127423171,127423273,IR,False,250,393
ENSG00000115718.17,chr2,127418363,127418492,TSS,True,116,470
ENSG00000204634.12,chr2,101005932,101008273,PAS,False,60,142
ENSG00000204634.12,chr2,101010389,101011026,PAS,True,121,142
ENSG00000204634.12,chr2,101033122,101033758,PAS,True,106,123
ENSG00000204634.12,chr2,101151126,101151527,TSS,True,39,142
ENSG00000144029.11,chr2,95101723,95104639,IR,True,142,158
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,27,192
ENSG00000144029.11,chr2,95109942,95110041,PAS,True,164,183
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,172,763
ENSG00000084693.15,chr2,27051642,27051793,TSS,True,41,136
ENSG00000084693.15,chr2,27059189,27059535,PAS,True,19,118
ENSG00000163251.3,chr2,207769264,207769904,TSS,False,436,534
ENSG00000157827.19,chr2,152335095,152335720,TSS,False,64,198
ENSG00000157827.19,chr2,152618845,152618930,PAS,True,70,146
ENSG00000157827.19,chr2,152647795,152649834,PAS,True,102,185
ENSG00000168918.13,chr2,233059844,233060612,TSS,True,90,105
ENSG00000168918.13,chr2,233206705,233207904,PAS,True,12,102
ENSG00000204120.14,chr2,232697392,232703423,ES,False,105,157
ENSG00000204120.14,chr2,232703489,232735154,ES,False,106,163
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,53,222
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,175,210
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,183,214
ENSG00000204120.14,chr2,232856792,232860574,PAS,True,137,216
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,22,160
ENSG00000115355.16,chr2,55419016,55419995,TSS,True,17,110
ENSG00000180902.17,chr2,241744877,241750150,ES,False,92,107
ENSG00000180902.17,chr2,241734573,241734695,TSS,True,73,153
ENSG00000180902.17,chr2,241734574,241735516,TSS,True,129,153
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,50,394
ENSG00000036257.12,chr2,224535641,224584943,ES,True,34,275
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,82,660
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,212,689
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,603,685
ENSG00000168288.12,chr2,149587663,149587806,TSS,True,36,164
ENSG00000168288.12,chr2,149587088,149587752,TSS,True,132,164
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,73,128
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,108,128
ENSG00000124356.15,chr2,73828982,73829510,TSS,True,103,128
ENSG00000124356.15,chr2,73862202,73867172,PAS,True,39,113
ENSG00000124356.15,chr2,73845166,73845261,PAS,True,95,111
ENSG00000124356.15,chr2,73853034,73856112,PAS,True,100,112
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,107,137
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,250,330
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,308,363
ENSG00000196504.16,chr2,152659092,152659189,PAS,True,310,357
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,316,354
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,183,353
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,141,367
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,287,367
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,62,600
ENSG00000183513.8,chr2,98604191,98608306,IR,True,66,112
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,71,138
ENSG00000183513.8,chr2,98604107,98608481,TSS,True,92,138
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,58,456
ENSG00000144580.13,chr2,218568584,218568978,TSS,True,15,103
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,43,115
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,38,161
ENSG00000057935.13,chr2,42492600,42495006,TSS,False,143,167
ENSG00000057935.13,chr2,42708873,42710574,PAS,True,49,154
ENSG00000196141.13,chr2,200419496,200440648,ES,False,454,702
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,969,1143
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,312,1143
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,382,1127
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,745,1051
ENSG00000172845.14,chr2,173963874,173964404,3AS,True,23,194
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,240,514
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,396,514
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,429,514
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,222,600
ENSG00000138385.15,chr2,169806892,169806970,IR,False,213,241
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,190,246
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,79,249
ENSG00000152291.13,chr2,85326804,85326978,IR,False,31,147
ENSG00000152291.13,chr2,85318028,85322741,PAS,False,20,151
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,316,449
ENSG00000032389.12,chr2,3377647,3377973,TSS,True,32,203
ENSG00000135945.9,chr2,99424280,99429839,ES,True,169,193
ENSG00000135945.9,chr2,99429945,99434331,3AS,False,100,192
ENSG00000135945.9,chr2,99449504,99462495,ES,False,215,244
ENSG00000135945.9,chr2,99400473,99401352,PAS,True,232,262
ENSG00000135945.9,chr2,99403037,99403106,PAS,True,103,261
ENSG00000135945.9,chr2,99437006,99439310,PAS,True,201,255
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,46,142
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,109,141
ENSG00000162927.13,chr2,60937919,60942433,PAS,True,44,117
ENSG00000162927.13,chr2,61009846,61010888,PAS,True,89,111
ENSG00000162927.13,chr2,61018007,61018336,TSS,True,14,119
ENSG00000115756.12,chr2,10396920,10419733,ES,False,183,285
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,30,293
ENSG00000153208.16,chr2,111898796,111929119,ES,True,96,107
ENSG00000153208.16,chr2,111898364,111898796,TSS,True,117,225
ENSG00000153208.16,chr2,111898845,111899137,TSS,True,201,225
ENSG00000168906.12,chr2,85543034,85543669,IR,True,202,414
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,72,467
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,213,416
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,233,414
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,26,196
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,223,354
ENSG00000176720.5,chr2,241573095,241573176,IR,True,38,332
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,220,415
ENSG00000176720.5,chr2,241572296,241574138,PAS,False,67,239
ENSG00000176720.5,chr2,241573176,241574136,PAS,True,365,416
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,809,917
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,173,917
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,209,872
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,190,236
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,80,233
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,46,206
ENSG00000124831.18,chr2,237753308,237755960,PAS,True,179,204
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,23,146
ENSG00000196950.13,chr2,195734882,195737704,PAS,False,20,144
ENSG00000173209.23,chr2,61185618,61186445,IR,False,95,255
ENSG00000173209.23,chr2,61186616,61187550,PAS,True,33,283
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,650,753
ENSG00000018699.12,chr2,32628004,32628380,TSS,True,48,165
ENSG00000018699.12,chr2,32628113,32630700,TSS,True,148,165
ENSG00000138442.9,chr2,202911435,202912409,TSS,False,41,242
ENSG00000115694.14,chr2,241499414,241500172,IR,False,504,575
ENSG00000115694.14,chr2,241501708,241508442,ES,False,45,300
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,46,304
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,560,791
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,486,791
ENSG00000168385.17,chr2,241315982,241317498,IR,True,210,235
ENSG00000168385.17,chr2,241315982,241324215,ES,False,1589,1811
ENSG00000168385.17,chr2,241314891,241315610,TSS,True,2143,2427
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,581,2427
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,133,234
ENSG00000198925.11,chr2,219224105,219224710,TSS,True,209,234
ENSG00000198925.11,chr2,219222644,219223333,TSS,True,197,232
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,142,961
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,2393,2754
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,1223,2754
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,2476,2754
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,215,950
ENSG00000085978.21,chr2,233273052,233274675,ES,False,103,146
ENSG00000085978.21,chr2,233289974,233290247,IR,False,124,140
ENSG00000085978.21,chr2,233251640,233251942,TSS,True,24,158
ENSG00000128699.13,chr2,189782602,189783013,IR,False,29,206
ENSG00000128699.13,chr2,189770237,189771902,PAS,True,33,276
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,92,264
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,224,289
ENSG00000123607.14,chr2,165871219,165874832,PAS,True,18,131
ENSG00000158552.12,chr2,219208639,219208976,IR,False,94,138
ENSG00000158552.12,chr2,219209049,219209261,IR,False,91,136
ENSG00000158552.12,chr2,219206773,219206845,TSS,True,115,158
ENSG00000158552.12,chr2,219206792,219207042,TSS,True,83,158
ENSG00000158552.12,chr2,219208571,219209648,PAS,True,107,146
ENSG00000158552.12,chr2,219209261,219209648,PAS,True,53,147
ENSG00000115548.16,chr2,86441329,86441444,TSS,True,49,187
ENSG00000115548.16,chr2,86492038,86492725,PAS,True,23,160
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,197,258
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,30,280
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,48,248
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,141,458
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,31,110
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,87,110
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,33,113
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,92,113
ENSG00000114993.16,chr2,74424144,74426574,PAS,True,93,704
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,154,736
ENSG00000114993.16,chr2,74427423,74427576,TSS,True,621,692
ENSG00000168894.9,chr2,85595721,85595849,TSS,True,19,124
ENSG00000115760.14,chr2,32357009,32357486,TSS,True,45,118
ENSG00000115760.14,chr2,32524887,32524948,PAS,False,95,106
ENSG00000115760.14,chr2,32617724,32621345,PAS,True,94,117
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,608,1307
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,984,1307
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,1092,1305
ENSG00000135966.12,chr2,105308315,105329624,3AS,True,59,156
ENSG00000135966.12,chr2,105329624,105330200,TSS,False,58,218
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,56,312
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,280,312
ENSG00000068724.15,chr2,46941070,46941725,TSS,True,49,138
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,51,233
ENSG00000118260.14,chr2,207560372,207567462,ES,False,93,139
ENSG00000118260.14,chr2,207529893,207530134,TSS,True,41,178
ENSG00000118260.14,chr2,207596913,207605043,PAS,True,21,156
ENSG00000077044.10,chr2,233354483,233354674,TSS,True,153,240
ENSG00000077044.10,chr2,233469370,233472104,PAS,True,53,169
ENSG00000077044.10,chr2,233467085,233472094,PAS,False,111,158
ENSG00000085449.14,chr2,223945147,223945383,TSS,True,36,213
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,121,329
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,271,317
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,44,204
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,74,207
ENSG00000114978.17,chr2,74159090,74159138,TSS,True,173,204
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,92,242
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,155,242
ENSG00000055044.10,chr2,202265235,202265986,TSS,True,58,241
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,107,196
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,136,195
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,152,196
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,47,170
ENSG00000115364.13,chr2,75647071,75647219,TSS,True,140,170
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,40,272
ENSG00000115839.17,chr2,135052278,135052325,TSS,True,28,100
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,38,249
ENSG00000082438.15,chr2,164684741,164686032,PAS,True,27,103
ENSG00000082438.15,chr2,164841155,164841824,TSS,True,68,106
ENSG00000188760.10,chr2,219543104,219544377,TSS,True,16,102
ENSG00000144043.11,chr2,70994687,70994882,TSS,False,55,140
ENSG00000198648.10,chr2,168063570,168074981,ES,True,23,207
ENSG00000198648.10,chr2,168247227,168247894,TSS,False,33,227
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,729,1079
ENSG00000204128.5,chr2,231037355,231038199,TSS,True,90,664
PB_novel_06603,chr2,113708893,113710458,TSS,True,198,223
ENSG00000178623.11,chr2,240616511,240617089,3AS,True,116,159
ENSG00000178623.11,chr2,240616511,240617203,3AS,False,30,189
ENSG00000178623.11,chr2,240617393,240618887,ES,True,101,190
ENSG00000178623.11,chr2,240603873,240605570,TSS,True,56,220
ENSG00000178623.11,chr2,240606385,240606612,TSS,True,197,220
ENSG00000168758.10,chr2,96864704,96864879,TSS,True,107,121
ENSG00000138030.12,chr2,27087351,27096728,ES,True,17,159
ENSG00000169016.16,chr2,11453798,11457178,ES,False,118,142
ENSG00000169016.16,chr2,11453798,11465771,ES,False,18,161
ENSG00000243147.7,chr2,27772692,27779432,ES,False,59,101
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,94,196
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,330,457
ENSG00000144028.14,chr2,96286310,96286592,TSS,True,425,478
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,417,487
ENSG00000138081.20,chr2,47905488,47906533,TSS,True,23,168
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,26,116
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,100,116
ENSG00000115966.16,chr2,175118369,175130137,ES,False,32,170
ENSG00000115966.16,chr2,175168049,175168304,TSS,True,56,223
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,118,662
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,32,165
ENSG00000135968.20,chr2,108469650,108472018,PAS,True,94,154
ENSG00000135968.20,chr2,108472826,108473326,PAS,True,83,156
ENSG00000003436.15,chr2,187503770,187554199,ME,False,79,136
ENSG00000003436.15,chr2,187503770,187554199,ME,False,74,136
ENSG00000003436.15,chr2,187503770,187554199,ME,False,74,136
ENSG00000003436.15,chr2,187503770,187554199,ES,False,596,786
ENSG00000003436.15,chr2,187513646,187554199,ES,False,57,108
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,140,982
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,193,997
ENSG00000162878.12,chr2,42048838,42054035,ES,True,21,190
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,43,239
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,30,163
ENSG00000136560.13,chr2,161160486,161179613,ES,False,107,133
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,61,200
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,165,200
ENSG00000136560.13,chr2,161235341,161236211,PAS,True,53,197
ENSG00000136560.13,chr2,161204674,161207456,PAS,True,156,189
ENSG00000128641.18,chr2,191400468,191402631,ES,False,23,171
ENSG00000128641.18,chr2,191400468,191408114,ES,False,108,287
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,77,310
ENSG00000066248.14,chr2,232920283,232920447,TSS,True,120,134
ENSG00000066248.14,chr2,233013067,233013257,TSS,False,57,136
ENSG00000163029.15,chr2,17745951,17753625,ES,False,123,155
ENSG00000163029.15,chr2,17663582,17665613,PAS,True,118,165
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,97,165
ENSG00000163029.15,chr2,17703134,17703292,PAS,False,144,165
ENSG00000138434.16,chr2,181919446,181921947,ES,False,23,201
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,75,252
ENSG00000138434.16,chr2,181915344,181916427,TSS,True,193,215
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,43,248
ENSG00000138434.16,chr2,181892614,181894698,PAS,True,172,194
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,296,1093
ENSG00000185414.19,chr2,99181078,99181249,TSS,True,29,103
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,67,576
ENSG00000123983.13,chr2,222887888,222908732,ES,False,584,1097
ENSG00000065802.11,chr2,238433695,238444341,ES,False,15,100
ENSG00000065802.11,chr2,238426765,238427119,TSS,True,48,144
ENSG00000115009.12,chr2,227813987,227815456,3AS,False,182,399
ENSG00000115009.12,chr2,227813841,227813987,TSS,True,91,490
ENSG00000127831.10,chr2,218435307,218435434,TSS,True,488,626
ENSG00000127831.10,chr2,218419077,218419168,TSS,True,358,682
ENSG00000127831.10,chr2,218430724,218431373,PAS,True,401,453
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,33,167
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,95,151
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,106,137
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,89,135
ENSG00000136699.19,chr2,130157396,130164373,ES,False,64,114
ENSG00000136699.19,chr2,130154276,130154465,TSS,True,198,231
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,162,232
ENSG00000124383.8,chr2,71130320,71130754,TSS,False,27,225
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,90,225
ENSG00000124383.8,chr2,71149222,71149319,PAS,False,177,221
ENSG00000171853.15,chr2,3379682,3379876,TSS,True,81,152
ENSG00000171853.15,chr2,3386936,3388670,TSS,False,102,152
ENSG00000171853.15,chr2,3479218,3480457,PAS,True,42,139
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,40,105
ENSG00000168397.16,chr2,241651335,241653511,ES,False,155,194
ENSG00000168397.16,chr2,241671405,241672190,IR,False,201,250
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,150,324
