gene,chr,start,end,splice_type,novel,mammary_epithelial_cell_ENCFF349CHO_in_cov,mammary_epithelial_cell_ENCFF349CHO_total_cov
ENSG00000079156.16,chr2,178382419,178382783,PAS,True,92,104
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,137,1079
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,33,133
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,92,163
ENSG00000124831.18,chr2,237749197,237749324,TSS,True,133,161
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,27,107
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,144,163
ENSG00000115204.14,chr2,27312772,27322447,ES,True,18,162
ENSG00000115204.14,chr2,27313074,27322447,3AS,False,20,142
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,37,165
ENSG00000115204.14,chr2,27322447,27322570,TSS,True,145,165
ENSG00000173209.23,chr2,61181405,61184711,ES,False,90,136
ENSG00000173209.23,chr2,61185618,61186445,IR,False,57,122
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,29,155
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,93,171
ENSG00000077232.17,chr2,182732542,182740298,ES,False,41,201
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,32,245
ENSG00000115694.14,chr2,241501708,241508442,ES,False,17,113
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,23,119
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,167,253
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,139,253
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,112,677
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,36,113
ENSG00000189223.14,chr2,113235570,113238089,ES,True,187,266
ENSG00000189223.14,chr2,113236613,113238089,5AS,True,72,132
ENSG00000189223.14,chr2,113238212,113239742,3AS,True,73,215
ENSG00000189223.14,chr2,113238212,113255389,ES,True,88,103
ENSG00000189223.14,chr2,113235505,113235570,TSS,True,151,444
ENSG00000189223.14,chr2,113239088,113240827,PAS,True,227,369
ENSG00000189223.14,chr2,113239742,113240825,PAS,True,296,369
ENSG00000189223.14,chr2,113265475,113267010,PAS,True,274,399
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,431,597
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,412,597
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,471,597
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,530,610
ENSG00000115307.16,chr2,74528489,74529131,ES,True,85,481
ENSG00000115307.16,chr2,74528489,74529131,5AS,True,85,143
ENSG00000115307.16,chr2,74528489,74529131,IR,True,85,122
ENSG00000115307.16,chr2,74528935,74529131,IR,False,396,488
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,99,115
ENSG00000119760.15,chr2,27661388,27662178,IR,False,99,122
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,128,143
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,23,151
ENSG00000128699.13,chr2,189782602,189783013,IR,False,75,145
ENSG00000128699.13,chr2,189782602,189784268,ES,False,96,152
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,187,252
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,95,252
ENSG00000158552.12,chr2,219206773,219206845,TSS,True,66,159
ENSG00000158552.12,chr2,219206792,219207042,TSS,True,109,159
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,33,182
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,73,375
ENSG00000151690.14,chr2,190407987,190408503,TSS,False,99,119
ENSG00000115685.14,chr2,241150547,241157806,ES,False,15,147
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,17,164
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,107,164
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,62,163
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,508,1258
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,844,1258
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,104,266
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,200,266
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,30,241
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,56,218
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,169,218
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,313,386
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,79,388
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,50,207
ENSG00000163170.11,chr2,74135658,74145188,ES,False,146,587
ENSG00000283196.2,chr2,89542856,89543836,PAS,False,58,113
ENSG00000283196.2,chr2,89562333,89562684,PAS,True,68,113
ENSG00000115221.11,chr2,160099665,160101834,PAS,True,21,101
ENSG00000115221.11,chr2,160200002,160200323,TSS,True,642,724
ENSG00000115977.18,chr2,69643574,69643794,TSS,True,39,108
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,123,277
ENSG00000184182.18,chr2,238030553,238030613,TSS,True,171,277
ENSG00000243147.7,chr2,27772692,27779432,ES,False,171,500
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,109,608
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,546,608
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,133,150
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,134,151
ENSG00000155755.18,chr2,201642608,201642696,TSS,True,111,137
ENSG00000155755.18,chr2,201643358,201643558,TSS,True,34,137
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,54,150
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,67,168
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,110,168
ENSG00000136560.13,chr2,161235341,161236211,PAS,True,37,167
ENSG00000136560.13,chr2,161204674,161207456,PAS,True,144,166
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,116,757
ENSG00000115380.19,chr2,55922447,55923710,ES,False,311,476
ENSG00000115380.19,chr2,55923710,55923931,TSS,True,66,542
ENSG00000144034.14,chr2,73732285,73734428,ES,False,114,167
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,37,125
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,141,180
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,51,180
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,24,230
ENSG00000151693.10,chr2,9206590,9207230,TSS,False,55,106
ENSG00000151693.10,chr2,9307236,9307418,TSS,True,93,106
ENSG00000035141.7,chr2,70300980,70301924,ES,False,111,141
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,136,163
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,848,1011
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,215,1011
ENSG00000185414.19,chr2,99181078,99181249,TSS,True,34,103
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,144,464
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,25,172
ENSG00000151665.12,chr2,46581591,46592474,ES,False,105,118
ENSG00000123983.13,chr2,222887888,222908732,ES,False,213,536
ENSG00000065802.11,chr2,238427119,238433553,3AS,False,83,122
ENSG00000065802.11,chr2,238426765,238427119,TSS,True,28,151
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,55,235
ENSG00000158417.10,chr2,99361162,99361820,TSS,True,138,172
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,95,215
ENSG00000158417.10,chr2,99360235,99360324,PAS,True,129,180
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,192,235
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,83,156
ENSG00000168397.16,chr2,241651335,241653511,ES,False,83,110
ENSG00000168397.16,chr2,241671405,241672190,IR,False,103,115
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,18,127
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,19,127
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,34,112
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,83,117
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,39,117
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,77,142
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,125,142
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,20,122
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,15,129
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,17,154
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,190,214
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,41,279
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,34,137
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,76,136
ENSG00000091436.16,chr2,173221149,173227143,PAS,True,66,113
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,24,164
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,136,200
ENSG00000085760.14,chr2,55237287,55237346,TSS,True,88,198
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,112,275
ENSG00000115524.15,chr2,197392971,197393132,TSS,True,180,274
ENSG00000143889.15,chr2,38602600,38602856,IR,False,23,105
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,26,108
ENSG00000143889.15,chr2,38602856,38603062,TSS,True,85,108
ENSG00000134330.18,chr2,9474647,9478221,ES,False,18,163
ENSG00000134330.18,chr2,9474107,9474647,TSS,True,42,211
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,41,226
ENSG00000028116.17,chr2,58046821,58048826,5AS,False,22,106
ENSG00000028116.17,chr2,58046621,58046821,TSS,True,98,120
ENSG00000028116.17,chr2,58046636,58046868,TSS,True,32,120
ENSG00000028116.17,chr2,58131807,58134845,PAS,True,95,117
ENSG00000028116.17,chr2,58159348,58164001,PAS,True,24,118
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,43,420
ENSG00000065548.17,chr2,186486216,186486457,TSS,True,45,289
ENSG00000068912.13,chr2,53801842,53809213,ES,False,30,180
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,24,197
ENSG00000115540.14,chr2,197516146,197535529,ES,False,18,127
ENSG00000231672.6,chr2,217393640,217393785,TSS,True,67,110
ENSG00000115446.11,chr2,98608557,98608726,TSS,False,26,215
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,39,215
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,387,2264
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,1921,2264
ENSG00000125629.14,chr2,118088460,118088541,TSS,True,34,115
ENSG00000125629.14,chr2,118088471,118088545,TSS,True,98,115
ENSG00000125538.11,chr2,112836707,112836868,TSS,False,45,411
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,54,164
ENSG00000003402.19,chr2,201132964,201133134,TSS,True,145,162
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,34,149
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,136,154
ENSG00000034510.5,chr2,84905651,84905718,TSS,False,4334,12204
ENSG00000034510.5,chr2,84905817,84906117,TSS,True,7956,12204
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,187,285
ENSG00000136718.9,chr2,130342935,130343085,IR,False,187,234
ENSG00000136718.9,chr2,130342962,130343085,IR,False,98,145
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,165,352
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,254,352
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,305,352
ENSG00000115129.13,chr2,24077432,24077761,PAS,True,21,185
ENSG00000115129.13,chr2,24077434,24081031,PAS,True,166,185
ENSG00000115129.13,chr2,24084730,24085052,TSS,True,219,325
ENSG00000115129.13,chr2,24084188,24084978,TSS,True,249,325
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,290,1085
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,819,1085
ENSG00000119801.12,chr2,30147062,30156627,ES,False,251,285
ENSG00000005448.16,chr2,74421816,74422152,IR,False,79,103
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,38,128
ENSG00000005448.16,chr2,74421726,74422375,TSS,True,106,128
ENSG00000151689.12,chr2,190343583,190343961,TSS,False,13,102
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,955,1105
ENSG00000123989.13,chr2,219538769,219540642,PAS,True,43,332
ENSG00000123989.13,chr2,219541460,219542189,PAS,True,254,291
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,124,410
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,160,255
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,65,505
ENSG00000135932.10,chr2,230712824,230713230,TSS,False,17,138
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,176,718
ENSG00000114956.19,chr2,73927052,73946718,ES,False,241,342
ENSG00000114956.19,chr2,73927052,73958145,ME,True,15,147
ENSG00000114956.19,chr2,73927052,73958145,ME,True,15,147
ENSG00000114956.19,chr2,73927052,73958145,ES,True,67,428
ENSG00000114956.19,chr2,73946906,73958145,ES,False,154,325
ENSG00000114956.19,chr2,73950732,73958145,ES,False,21,164
ENSG00000168883.19,chr2,85648853,85649016,IR,False,28,158
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,137,161
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,60,161
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,28,158
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,133,161
ENSG00000229647.1,chr2,207245288,207246235,PAS,True,100,182
ENSG00000229647.1,chr2,207246850,207250602,PAS,True,101,194
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,380,456
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,82,462
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,387,462
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,37,189
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,30,224
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,53,143
ENSG00000136536.14,chr2,159762993,159767283,ES,False,21,157
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,68,163
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,108,163
ENSG00000144591.18,chr2,219505555,219505714,IR,False,105,117
ENSG00000144591.18,chr2,219498826,219498938,TSS,False,31,130
ENSG00000144591.18,chr2,219498888,219499254,TSS,True,113,130
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,53,145
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,19,148
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,81,123
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,65,232
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,165,226
PB_novel_06557,chr2,112406945,112408814,TSS,True,122,142
PB_novel_06557,chr2,112410191,112411263,PAS,True,127,142
ENSG00000136682.14,chr2,113438022,113441350,ES,False,110,148
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,46,157
ENSG00000136682.14,chr2,113443766,113444538,PAS,True,113,153
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,221,321
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,142,321
ENSG00000124380.10,chr2,69904425,69904511,IR,False,51,225
ENSG00000124380.10,chr2,69904253,69905927,PAS,True,55,228
ENSG00000124380.10,chr2,69904511,69904671,PAS,True,176,228
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,77,128
ENSG00000127824.13,chr2,219253208,219253351,TSS,False,83,128
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,95,375
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,302,375
ENSG00000135900.3,chr2,223957433,223957651,TSS,False,22,105
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,88,525
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,454,525
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,365,695
ENSG00000115042.9,chr2,95402872,95405552,ES,False,59,118
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,30,150
ENSG00000115042.9,chr2,95402677,95402992,TSS,True,133,150
ENSG00000115641.18,chr2,105386540,105398841,ES,False,88,148
ENSG00000115641.18,chr2,105386540,105398969,ES,False,116,191
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,116,264
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,75,135
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,168,359
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,211,359
ENSG00000115008.5,chr2,112784442,112784502,TSS,False,203,426
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,98,504
ENSG00000188042.7,chr2,234495836,234496011,IR,False,49,402
ENSG00000188042.7,chr2,234496011,234497058,TSS,False,353,403
ENSG00000168393.12,chr2,241678649,241685768,ES,False,29,170
ENSG00000115875.18,chr2,38748653,38749528,IR,False,204,228
ENSG00000115875.18,chr2,38751228,38751439,TSS,True,27,267
ENSG00000115363.13,chr2,75492310,75493609,PAS,True,38,104
ENSG00000115363.13,chr2,75558480,75558699,PAS,False,69,104
ENSG00000115363.13,chr2,75560679,75560994,TSS,True,51,104
ENSG00000115363.13,chr2,75561256,75561340,TSS,True,57,104
ENSG00000071051.13,chr2,105855289,105892981,ES,False,27,155
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,25,174
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,75,125
ENSG00000115295.19,chr2,29114000,29114312,TSS,False,91,125
ENSG00000115295.19,chr2,29181571,29183952,PAS,True,44,117
ENSG00000115295.19,chr2,29174372,29174713,PAS,True,83,117
ENSG00000115414.18,chr2,215372015,215372108,IR,False,4193,5437
ENSG00000115414.18,chr2,215372015,215373321,ES,False,736,4868
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,736,1977
ENSG00000115414.18,chr2,215379317,215382211,ES,False,1967,5713
ENSG00000115414.18,chr2,215391814,215394527,ES,False,4097,5360
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,4347,6568
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,4074,6730
ENSG00000143727.15,chr2,271939,275139,ME,False,67,443
ENSG00000143727.15,chr2,271939,272191,ES,False,66,151
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,167,246
ENSG00000240857.1,chr2,18560179,18560645,TSS,True,19,109
ENSG00000163001.11,chr2,55519585,55519916,TSS,True,221,397
ENSG00000163001.11,chr2,55544906,55545079,PAS,True,216,397
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,98,111
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,42,111
ENSG00000138398.15,chr2,169584341,169584497,TSS,True,94,111
ENSG00000114999.7,chr2,112482067,112482501,TSS,True,289,330
ENSG00000115368.9,chr2,189441391,189441578,TSS,True,16,114
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,87,176
ENSG00000119013.8,chr2,201071991,201072059,TSS,True,309,563
ENSG00000153250.19,chr2,160281364,160284774,ES,False,59,118
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,52,117
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,83,127
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,56,127
ENSG00000168958.19,chr2,227325427,227330625,ES,False,16,138
ENSG00000168958.19,chr2,227340380,227355676,ES,False,87,154
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,40,292
ENSG00000138382.14,chr2,169824640,169824781,IR,False,154,172
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,129,283
ENSG00000138382.14,chr2,169824640,169824867,IR,False,129,149
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,153,309
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,178,309
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,220,1539
ENSG00000197756.9,chr2,216498869,216499398,TSS,True,1378,1539
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,146,327
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,202,327
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,88,322
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,240,313
ENSG00000115884.10,chr2,20224801,20225140,TSS,True,888,2918
ENSG00000116120.9,chr2,222643005,222648739,ES,True,238,267
ENSG00000104231.10,chr8,81715114,81718181,ES,False,328,444
ENSG00000104231.10,chr8,81732198,81732893,TSS,True,83,468
ENSG00000104231.10,chr8,81721226,81721319,TSS,False,412,463
ENSG00000179526.16,chr8,144098994,144099276,ES,False,24,218
ENSG00000179526.16,chr8,144099205,144099276,IR,True,181,203
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,47,272
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,36,114
ENSG00000164754.14,chr8,116866585,116866763,TSS,True,99,114
ENSG00000168476.11,chr8,22141450,22141949,TSS,True,27,236
ENSG00000147804.9,chr8,144413236,144413524,TSS,True,121,141
ENSG00000147804.9,chr8,144413512,144413589,TSS,True,38,141
ENSG00000104312.7,chr8,89758233,89765340,ES,False,57,158
ENSG00000104312.7,chr8,89757473,89758233,TSS,True,109,267
ENSG00000104325.6,chr8,90001561,90018908,ES,False,37,291
