gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF940WVU_in_cov,endodermal_cell_ENCFF940WVU_total_cov
ENSG00000015568.12,chr2,109794244,109794537,TSS,True,89,116
ENSG00000015568.12,chr2,109835902,109838042,TSS,False,86,116
ENSG00000015568.12,chr2,109760393,109760771,TSS,True,103,116
ENSG00000015568.12,chr2,109760397,109760513,TSS,True,98,116
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,105,415
ENSG00000084693.15,chr2,27051642,27051793,TSS,True,15,128
ENSG00000084693.15,chr2,27059189,27059535,PAS,True,44,125
ENSG00000084693.15,chr2,27070091,27070622,PAS,True,93,128
ENSG00000163251.3,chr2,207769264,207769904,TSS,False,654,1202
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,28,262
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,35,209
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,25,116
ENSG00000138073.13,chr2,27133337,27133531,IR,False,104,125
ENSG00000138073.13,chr2,27133721,27134286,IR,False,111,125
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,19,131
ENSG00000124006.14,chr2,219555148,219556292,PAS,True,101,157
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,51,141
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,60,162
ENSG00000144136.10,chr2,112652798,112657121,ES,False,128,156
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,287,366
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,291,342
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,148,400
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,349,400
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,124,1146
ENSG00000057935.13,chr2,42697834,42704196,3AS,False,115,215
ENSG00000057935.13,chr2,42568498,42568773,TSS,True,25,236
ENSG00000057935.13,chr2,42708873,42710574,PAS,True,26,227
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,51,110
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,93,110
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,96,110
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,36,133
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,113,133
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,18,125
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,167,544
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,466,541
ENSG00000204262.12,chr2,189179507,189180073,TSS,True,144,233
ENSG00000132300.18,chr2,86127305,86127940,IR,True,94,112
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,63,153
ENSG00000082153.17,chr2,200811535,200811727,TSS,False,448,534
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,127,534
ENSG00000124831.18,chr2,237749324,237753308,ES,False,227,263
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,81,288
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,241,288
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,212,265
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,66,285
ENSG00000196950.13,chr2,195656915,195657281,TSS,True,47,208
ENSG00000173209.23,chr2,61181405,61184711,ES,False,203,230
ENSG00000173209.23,chr2,61185618,61186445,ES,False,104,117
ENSG00000173209.23,chr2,61185618,61186445,IR,False,104,211
ENSG00000173209.23,chr2,61186081,61186445,IR,False,13,127
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,28,250
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,235,270
ENSG00000077232.17,chr2,182732542,182740298,ES,False,38,275
ENSG00000077232.17,chr2,182736386,182740298,3AS,False,240,295
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,68,394
ENSG00000003393.14,chr2,201700267,201701889,PAS,True,43,104
ENSG00000003393.14,chr2,201780876,201781151,TSS,True,44,107
ENSG00000115694.14,chr2,241499414,241500172,IR,False,202,256
ENSG00000115694.14,chr2,241501708,241508442,ES,False,19,130
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,29,140
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,209,300
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,170,300
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,269,300
ENSG00000168385.17,chr2,241315982,241324215,ES,False,533,631
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,102,767
ENSG00000115942.8,chr2,200963489,200963704,TSS,False,31,100
ENSG00000135931.17,chr2,231235381,231256585,ES,False,12,113
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,37,117
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,89,117
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,14,113
ENSG00000198925.11,chr2,219228053,219229534,ES,False,26,129
ENSG00000198925.11,chr2,219228482,219229534,3AS,False,14,104
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,38,168
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,150,168
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,343,552
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,456,552
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,437,552
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,119,135
ENSG00000115307.16,chr2,74527838,74527939,IR,False,113,137
ENSG00000115307.16,chr2,74528006,74528247,IR,False,115,130
ENSG00000115307.16,chr2,74528489,74528750,IR,True,114,131
ENSG00000115307.16,chr2,74528935,74529131,IR,False,80,128
ENSG00000115307.16,chr2,74529282,74529361,IR,False,117,131
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,16,145
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,27,103
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,84,103
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,131,155
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,51,155
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,60,449
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,24,121
ENSG00000115310.17,chr2,54987698,55049744,ES,False,205,265
ENSG00000114993.16,chr2,74426574,74427168,IR,True,164,190
ENSG00000114993.16,chr2,74428396,74428630,IR,True,157,176
ENSG00000114993.16,chr2,74424144,74426574,PAS,True,28,193
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,31,195
ENSG00000040933.15,chr2,98546694,98552785,5AS,True,101,127
ENSG00000040933.15,chr2,98555691,98559462,5AS,False,87,124
ENSG00000040933.15,chr2,98444823,98445085,TSS,True,46,171
ENSG00000168894.9,chr2,85596649,85597103,ES,True,16,135
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,75,636
ENSG00000085449.14,chr2,223945147,223945383,TSS,True,32,162
ENSG00000115392.11,chr2,58162947,58163028,IR,False,115,140
ENSG00000115392.11,chr2,58163074,58163433,IR,False,119,140
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,117,132
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,29,164
ENSG00000144354.13,chr2,173358837,173363225,ES,False,181,281
ENSG00000144354.13,chr2,173363895,173364794,IR,False,222,274
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,26,122
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,44,335
ENSG00000115825.9,chr2,37324680,37324833,TSS,False,50,149
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,31,173
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,153,173
ENSG00000061676.14,chr2,183037991,183038501,TSS,True,48,204
ENSG00000115138.10,chr2,25164792,25168497,3AS,False,91,103
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,50,206
ENSG00000168758.10,chr2,96869875,96870099,TSS,False,92,149
ENSG00000168758.10,chr2,96869186,96869497,TSS,True,106,149
ENSG00000243147.7,chr2,27772692,27779432,ES,False,60,107
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,28,133
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,138,296
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,32,306
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,30,131
ENSG00000178568.14,chr2,211387150,211420440,ES,False,34,125
ENSG00000178568.14,chr2,211375715,211384060,PAS,True,132,257
ENSG00000178568.14,chr2,211560262,211562088,PAS,True,132,246
ENSG00000178568.14,chr2,211591902,211592007,TSS,True,163,405
ENSG00000128641.18,chr2,191400468,191408114,ES,False,93,310
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,62,334
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,12,115
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,154,224
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,77,224
ENSG00000144476.5,chr2,236569662,236569924,TSS,False,137,251
ENSG00000144476.5,chr2,236567752,236567841,TSS,False,156,254
ENSG00000121966.6,chr2,136118045,136118149,TSS,False,45,316
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,29,143
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,54,429
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,23,116
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,28,168
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,26,166
ENSG00000136699.19,chr2,130181529,130182128,TSS,False,38,237
ENSG00000168397.16,chr2,241651335,241653511,ES,False,194,226
ENSG00000168397.16,chr2,241671405,241672190,IR,False,208,239
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,38,267
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,45,259
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,94,216
ENSG00000115365.11,chr2,210477449,210477602,TSS,False,187,216
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,77,108
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,46,108
ENSG00000172292.14,chr2,168456077,168456618,TSS,True,31,118
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,106,439
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,254,587
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,481,587
ENSG00000177917.10,chr2,152717634,152719024,TSS,True,22,160
ENSG00000162980.16,chr2,151815199,151828388,5AS,False,14,120
ENSG00000162980.16,chr2,151828130,151828509,TSS,True,23,130
ENSG00000162980.16,chr2,151828388,151828485,TSS,True,116,130
ENSG00000144021.2,chr2,96268658,96269267,IR,False,118,145
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,179,200
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,20,199
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,34,261
ENSG00000198369.9,chr2,65431961,65432768,TSS,True,19,134
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,23,148
ENSG00000082258.12,chr2,134946146,134947735,5AS,False,93,126
ENSG00000082258.12,chr2,134918279,134919012,TSS,True,21,143
ENSG00000082258.12,chr2,134954480,134959342,PAS,True,89,134
ENSG00000082258.12,chr2,134953229,134959339,PAS,True,44,131
ENSG00000115524.15,chr2,197418588,197420427,IR,True,435,484
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,89,592
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,18,128
ENSG00000135972.8,chr2,105089069,105089919,3AS,True,94,105
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,17,126
ENSG00000153107.12,chr2,111883941,111884318,TSS,True,42,112
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,24,168
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,17,168
ENSG00000130414.11,chr2,240011696,240014738,IR,False,91,108
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,12,118
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,109,1059
ENSG00000068912.13,chr2,53801842,53809213,ES,False,25,119
ENSG00000144224.16,chr2,135753567,135754158,IR,False,210,237
ENSG00000115540.14,chr2,197516146,197535529,ES,False,22,140
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,43,235
ENSG00000115446.11,chr2,98608726,98609755,IR,False,115,135
ENSG00000115446.11,chr2,98608557,98608726,TSS,False,32,158
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,30,158
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,107,643
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,545,643
ENSG00000138078.15,chr2,44361523,44362808,TSS,True,84,101
ENSG00000138078.15,chr2,44361379,44361547,TSS,True,47,101
ENSG00000138078.15,chr2,44361416,44361559,TSS,True,88,101
ENSG00000118257.16,chr2,205682427,205683363,TSS,True,70,133
ENSG00000118257.16,chr2,205682447,205682905,TSS,True,115,133
ENSG00000118257.16,chr2,205794753,205798132,PAS,True,33,115
ENSG00000118257.16,chr2,205776245,205779714,PAS,True,97,111
ENSG00000003402.19,chr2,201129327,201130146,TSS,True,101,140
ENSG00000003402.19,chr2,201129308,201129520,TSS,False,95,140
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,80,114
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,104,121
ENSG00000003402.19,chr2,201140356,201141605,PAS,True,85,113
ENSG00000003402.19,chr2,201167153,201169639,PAS,True,120,138
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,77,109
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,51,128
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,96,128
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,269,305
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,202,305
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,239,305
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,129,618
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,519,618
ENSG00000119801.12,chr2,30147062,30156627,ES,False,102,138
ENSG00000119801.12,chr2,30146943,30147062,TSS,True,16,155
ENSG00000005448.16,chr2,74421707,74421816,TSS,True,24,105
ENSG00000005448.16,chr2,74421726,74422375,TSS,True,93,105
ENSG00000119772.16,chr2,25252193,25252337,TSS,False,72,133
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,246,276
ENSG00000084774.13,chr2,27216845,27217633,TSS,True,88,126
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,24,217
ENSG00000136709.11,chr2,127811011,127811234,TSS,True,40,105
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,87,508
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,33,126
ENSG00000173272.15,chr2,131491875,131492418,TSS,False,113,126
ENSG00000091409.14,chr2,172427578,172427970,TSS,True,31,135
ENSG00000114956.19,chr2,73927052,73946718,ES,False,71,109
ENSG00000114956.19,chr2,73927052,73958145,ES,True,20,137
ENSG00000114956.19,chr2,73946906,73958145,ES,False,60,107
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,42,232
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,211,252
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,55,267
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,227,267
ENSG00000135912.10,chr2,218710785,218711037,TSS,True,19,103
ENSG00000135912.10,chr2,218754133,218760287,PAS,True,13,103
ENSG00000239779.6,chr2,74458671,74459642,ES,False,92,121
ENSG00000138443.15,chr2,203394846,203395658,3AS,False,18,121
ENSG00000138443.15,chr2,203402734,203416907,ES,False,69,122
ENSG00000138443.15,chr2,203427269,203427495,IR,True,14,126
ENSG00000138443.15,chr2,203328259,203328631,TSS,True,36,155
ENSG00000138443.15,chr2,203427176,203432169,PAS,True,16,128
ENSG00000138443.15,chr2,203427495,203432169,PAS,True,114,128
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,19,156
ENSG00000153827.13,chr2,229793130,229795178,3AS,True,26,107
ENSG00000153827.13,chr2,229921879,229922235,TSS,True,75,136
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,65,310
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,85,194
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,128,237
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,140,237
ENSG00000115211.15,chr2,27368139,27368371,IR,False,114,127
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,51,133
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,27,140
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,207,245
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,162,198
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,135,198
ENSG00000275052.4,chr2,55564476,55564901,3AS,True,16,111
ENSG00000275052.4,chr2,55577356,55579678,ES,False,63,107
ENSG00000275052.4,chr2,55588956,55603977,ES,True,15,105
ENSG00000275052.4,chr2,55617143,55617815,TSS,True,18,128
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,16,137
ENSG00000186522.14,chr2,109544324,109546049,IR,True,115,153
ENSG00000186522.14,chr2,109585838,109613797,ES,False,14,126
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,56,173
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,118,156
ENSG00000186522.14,chr2,109613797,109614196,TSS,True,36,173
ENSG00000136682.14,chr2,113438022,113441350,ES,False,86,118
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,13,124
ENSG00000064933.17,chr2,189784086,189784593,TSS,True,21,153
ENSG00000064933.17,chr2,189877271,189878394,PAS,True,17,153
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,235,271
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,74,271
ENSG00000116001.15,chr2,70216499,70216885,5AS,False,77,110
ENSG00000116001.15,chr2,70248404,70248770,TSS,True,45,148
ENSG00000183054.11,chr2,110610981,110611104,TSS,True,79,108
ENSG00000183054.11,chr2,110576952,110577253,TSS,True,84,108
ENSG00000183054.11,chr2,110533464,110535142,TSS,False,90,108
ENSG00000183054.11,chr2,110610714,110611106,TSS,True,96,108
ENSG00000115657.13,chr2,219218124,219219040,TSS,True,16,116
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,32,246
ENSG00000143924.18,chr2,42256630,42263177,ES,False,42,190
ENSG00000143924.18,chr2,42169258,42169636,TSS,True,68,256
ENSG00000079785.14,chr2,15591824,15591949,TSS,True,41,367
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,17,169
ENSG00000115875.18,chr2,38745187,38746693,ES,False,48,233
ENSG00000115875.18,chr2,38751228,38751439,TSS,True,33,255
ENSG00000071051.13,chr2,105855289,105892981,ES,False,34,168
ENSG00000018510.14,chr2,177392739,177393049,TSS,True,28,219
ENSG00000115275.12,chr2,74464895,74465951,TSS,True,39,113
ENSG00000115414.18,chr2,215372015,215372108,IR,False,2519,3486
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,244,1200
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,1644,4032
ENSG00000143727.15,chr2,271939,275139,ME,False,42,263
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,154,212
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,29,244
ENSG00000115207.13,chr2,27343578,27356738,ES,False,102,118
ENSG00000115207.13,chr2,27324199,27326893,PAS,True,21,152
ENSG00000115207.13,chr2,27356738,27357413,TSS,True,32,153
ENSG00000130508.10,chr2,1684151,1691927,ES,False,73,186
ENSG00000130508.10,chr2,1648171,1649673,TSS,True,271,318
ENSG00000130508.10,chr2,1744255,1744568,TSS,True,132,318
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,26,162
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,28,104
ENSG00000198130.15,chr2,190200925,190204802,PAS,False,88,110
ENSG00000198130.15,chr2,190319715,190319862,TSS,True,14,111
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,51,135
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,110,135
ENSG00000213160.9,chr2,169733795,169734087,TSS,False,28,101
ENSG00000152284.4,chr2,85133256,85133933,TSS,False,34,232
ENSG00000114999.7,chr2,112482501,112494142,ES,True,35,113
ENSG00000114999.7,chr2,112482067,112482501,TSS,True,26,139
ENSG00000115368.9,chr2,189441391,189441578,TSS,True,17,129
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,17,140
ENSG00000153250.19,chr2,160285044,160286977,5AS,False,46,100
ENSG00000153250.19,chr2,160493288,160493938,TSS,True,89,124
ENSG00000153250.19,chr2,160407463,160408117,TSS,False,68,124
ENSG00000115866.10,chr2,135985402,135985678,TSS,True,22,195
ENSG00000136002.18,chr2,131040440,131041229,IR,True,98,111
ENSG00000136002.18,chr2,131041462,131041814,IR,False,98,114
ENSG00000136002.18,chr2,131034215,131035288,TSS,True,105,134
ENSG00000136002.18,chr2,130963249,130964249,TSS,False,70,135
ENSG00000136002.18,chr2,131046037,131047255,PAS,True,14,123
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,21,159
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,28,174
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,49,118
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,88,118
