gene,chr,start,end,splice_type,novel,GM12878_ENCFF648NAR_in_cov,GM12878_ENCFF648NAR_total_cov
ENSG00000159110.19,chr21,33252661,33252949,PAS,True,93,106
ENSG00000275895.6,chr21,6487412,6495992,ME,False,24,179
ENSG00000160255.17,chr21,44920820,44920972,TSS,True,85,587
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,27,184
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,94,288
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,220,288
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,848,2956
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,74,614
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,33,250
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,65,202
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,179,201
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,59,127
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,102,127
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,97,123
ENSG00000168918.13,chr2,233059844,233060612,TSS,True,59,100
ENSG00000204120.14,chr2,232697392,232703423,ES,False,112,179
ENSG00000204120.14,chr2,232703489,232735154,ES,False,104,182
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,23,223
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,173,206
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,162,210
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,141,212
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,173,210
ENSG00000163510.13,chr2,179943654,179945715,PAS,True,36,150
ENSG00000163510.13,chr2,179963335,179964628,PAS,True,131,149
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,22,150
ENSG00000158019.20,chr2,27890842,27894532,ES,False,168,192
ENSG00000158019.20,chr2,28298491,28338449,ES,True,150,190
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,51,122
ENSG00000124356.15,chr2,73828987,73831059,TSS,True,109,122
ENSG00000124356.15,chr2,73850381,73850513,TSS,True,105,117
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,33,173
ENSG00000079263.18,chr2,230245071,230245862,5AS,False,92,257
ENSG00000079263.18,chr2,230245071,230247915,ES,True,38,128
ENSG00000079263.18,chr2,230245071,230247915,5AS,True,38,265
ENSG00000079263.18,chr2,230245080,230247915,ES,False,63,227
ENSG00000079263.18,chr2,230248968,230255451,ES,False,89,307
ENSG00000079263.18,chr2,230251061,230253333,3AS,True,68,189
ENSG00000079263.18,chr2,230251061,230255451,ES,False,34,218
ENSG00000079263.18,chr2,230310039,230310769,3AS,True,14,118
ENSG00000079263.18,chr2,230225714,230225903,TSS,True,51,476
ENSG00000079263.18,chr2,230270585,230273379,PAS,True,333,470
ENSG00000079263.18,chr2,230312585,230313217,PAS,True,365,476
ENSG00000013441.15,chr2,200859746,200860124,IR,False,113,136
ENSG00000013441.15,chr2,200859746,200861237,ES,False,53,164
ENSG00000013441.15,chr2,200860215,200861237,IR,False,112,131
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,97,124
ENSG00000196504.16,chr2,152677475,152679351,ES,False,101,595
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,501,594
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,228,613
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,172,623
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,531,623
ENSG00000074582.13,chr2,218659743,218660938,ES,False,49,109
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,34,169
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,1925,2188
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,354,2229
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,111,173
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,130,173
ENSG00000198399.14,chr2,24284915,24286351,PAS,False,150,173
ENSG00000198399.14,chr2,24291507,24293775,PAS,True,141,172
ENSG00000198399.14,chr2,24360303,24360807,TSS,True,30,188
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,145,222
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,185,222
ENSG00000138385.15,chr2,169810857,169811047,PAS,True,163,222
ENSG00000138385.15,chr2,169808481,169808554,PAS,True,199,222
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,24,105
ENSG00000125630.15,chr2,112574846,112577373,PAS,True,17,102
ENSG00000168906.12,chr2,85543034,85543669,IR,True,492,558
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,75,559
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,496,556
ENSG00000197872.11,chr2,16624016,16665779,3AS,True,14,112
ENSG00000197872.11,chr2,16665779,16665878,TSS,True,13,127
ENSG00000065911.11,chr2,74198742,74205704,ES,True,719,807
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,289,1954
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,121,152
ENSG00000124831.18,chr2,237749197,237749324,TSS,True,116,152
ENSG00000124831.18,chr2,237752642,237753479,TSS,True,89,140
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,13,127
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,502,581
ENSG00000018699.12,chr2,32820815,32823699,PAS,True,46,287
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,14,103
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,31,100
ENSG00000168385.17,chr2,241315982,241324215,ES,False,519,616
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,202,839
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,89,258
ENSG00000115677.16,chr2,241247055,241247142,PAS,True,184,205
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,122,164
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,229,261
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,151,261
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,95,107
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,25,120
ENSG00000115271.10,chr2,162344099,162344275,TSS,True,49,203
ENSG00000128699.13,chr2,189782602,189783013,IR,False,141,199
ENSG00000128699.13,chr2,189782602,189784268,ES,False,78,188
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,236,286
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,90,287
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,319,1059
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,775,1059
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,82,108
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,41,112
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,79,111
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,55,119
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,90,119
ENSG00000115685.14,chr2,241150547,241157806,ES,False,56,251
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,68,281
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,223,281
ENSG00000119041.10,chr2,196763030,196764685,PAS,True,35,253
ENSG00000065413.19,chr2,196986661,196990927,PAS,True,67,111
ENSG00000065413.19,chr2,196994365,196995461,PAS,True,91,108
ENSG00000065413.19,chr2,197310577,197310885,TSS,True,45,116
ENSG00000118260.14,chr2,207560372,207567462,ES,False,96,146
ENSG00000119185.12,chr2,9406905,9408112,ES,False,38,198
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,66,204
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,155,204
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,24,101
ENSG00000115392.11,chr2,58165874,58198593,ES,False,181,205
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,181,217
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,65,315
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,263,315
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,385,723
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,545,722
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,557,722
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,64,382
ENSG00000196975.15,chr2,69781512,69781574,TSS,True,331,381
ENSG00000155636.14,chr2,178120409,178121179,3AS,False,89,100
ENSG00000155636.14,chr2,178129396,178133637,PAS,True,14,104
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,74,402
ENSG00000138092.10,chr2,24793134,24793501,TSS,True,45,105
ENSG00000138092.10,chr2,24793141,24793520,TSS,True,83,105
ENSG00000138399.17,chr2,169537340,169540050,ES,False,45,171
ENSG00000138399.17,chr2,169563350,169571652,ES,False,32,199
ENSG00000138399.17,chr2,169528115,169529926,PAS,True,61,209
ENSG00000138399.17,chr2,169531388,169531490,PAS,True,181,209
ENSG00000169679.14,chr2,110635467,110638159,PAS,True,94,422
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,44,422
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,27,183
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,144,161
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,132,161
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,162,187
ENSG00000144028.14,chr2,96284357,96286011,TSS,True,141,161
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,131,161
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,191,229
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,61,265
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,226,265
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,142,418
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,322,417
PB_novel_106766,chr2,122740239,122740620,TSS,True,14,104
PB_novel_106766,chr2,122886545,122887726,PAS,True,55,104
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,23,132
ENSG00000135968.20,chr2,108469650,108472018,PAS,True,20,120
ENSG00000136560.13,chr2,161136917,161137063,TSS,True,115,431
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,357,431
ENSG00000115687.13,chr2,241122745,241122899,PAS,True,96,107
ENSG00000115687.13,chr2,241126195,241127754,TSS,True,82,164
ENSG00000115687.13,chr2,241112239,241115069,TSS,True,104,150
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,266,1271
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,1056,1271
ENSG00000197223.11,chr2,68047319,68062957,ES,True,135,162
ENSG00000197223.11,chr2,68047319,68062957,5AS,False,135,227
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,98,265
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,169,265
ENSG00000163029.15,chr2,17745951,17753625,ES,False,183,204
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,181,212
ENSG00000163029.15,chr2,17698487,17700378,PAS,True,170,211
ENSG00000163029.15,chr2,17703134,17703292,PAS,False,143,210
ENSG00000163029.15,chr2,17717138,17717176,PAS,True,180,210
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,114,141
ENSG00000123983.13,chr2,222887888,222908732,ES,False,76,145
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,25,165
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,68,100
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,146,196
ENSG00000124383.8,chr2,71132897,71133451,PAS,False,129,183
ENSG00000124383.8,chr2,71134625,71134796,PAS,True,172,196
ENSG00000124383.8,chr2,71149222,71149319,PAS,False,143,196
ENSG00000067066.16,chr2,230470098,230473383,3AS,False,90,207
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,249,736
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,11,107
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,316,587
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,288,605
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,342,605
ENSG00000123485.11,chr2,233833682,233837652,PAS,True,38,340
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,63,237
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,107,281
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,217,281
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,82,258
ENSG00000170144.20,chr2,177215977,177216381,PAS,True,173,240
ENSG00000163516.13,chr2,219234288,219234825,IR,False,120,147
ENSG00000163516.13,chr2,219235312,219235473,IR,False,116,144
ENSG00000163516.13,chr2,219235585,219235707,IR,False,127,147
ENSG00000163516.13,chr2,219229756,219229900,TSS,False,24,159
ENSG00000144021.2,chr2,96268658,96269267,IR,False,184,218
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,86,101
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,94,158
ENSG00000084090.13,chr2,96208538,96208850,TSS,False,137,158
ENSG00000085760.14,chr2,55263865,55267568,ES,False,195,221
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,172,239
ENSG00000085760.14,chr2,55237324,55237428,PAS,True,198,237
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,156,237
ENSG00000085760.14,chr2,55243466,55244233,PAS,True,207,237
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,44,239
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,686,823
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,666,799
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,329,767
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,91,823
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,33,293
ENSG00000136717.14,chr2,127050912,127059010,ES,False,69,127
ENSG00000136717.14,chr2,127081831,127082165,TSS,True,17,139
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,32,295
ENSG00000134330.18,chr2,9474647,9478221,ES,False,24,137
ENSG00000134330.18,chr2,9474107,9474647,TSS,True,24,163
ENSG00000144231.10,chr2,127850685,127858027,ES,True,32,233
ENSG00000028116.17,chr2,58046821,58048826,5AS,False,72,216
ENSG00000028116.17,chr2,58146474,58159348,ES,False,145,212
ENSG00000028116.17,chr2,58046621,58046821,TSS,True,217,290
ENSG00000028116.17,chr2,58046636,58046868,TSS,True,144,290
ENSG00000028116.17,chr2,58131807,58134845,PAS,True,251,285
ENSG00000028116.17,chr2,58159348,58164001,PAS,True,79,291
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,69,178
ENSG00000115758.12,chr2,10444473,10444959,TSS,True,159,178
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,2387,5456
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,3376,5434
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,180,282
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,138,286
ENSG00000068912.13,chr2,53801842,53809213,ES,False,18,120
ENSG00000068912.13,chr2,53817897,53818849,PAS,True,13,128
ENSG00000144224.16,chr2,135753567,135754158,IR,False,126,150
ENSG00000144224.16,chr2,135741618,135742011,TSS,True,19,169
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,99,153
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,132,157
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,114,153
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,126,153
ENSG00000115540.14,chr2,197516146,197535529,ES,False,19,139
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,148,270
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,173,262
ENSG00000115446.11,chr2,98618167,98618515,PAS,True,27,176
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,92,187
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,151,188
ENSG00000003402.19,chr2,201140439,201141373,IR,True,109,183
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,207,314
ENSG00000003402.19,chr2,201129327,201130146,TSS,True,189,310
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,202,311
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,236,311
ENSG00000003402.19,chr2,201140356,201141605,PAS,True,234,311
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,487,546
ENSG00000136718.9,chr2,130342962,130343085,IR,False,59,106
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,120,602
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,80,201
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,157,201
ENSG00000138074.14,chr2,27204931,27205411,5AS,True,15,145
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,160,180
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,134,180
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,133,180
ENSG00000138376.10,chr2,214725634,214729008,PAS,True,31,130
ENSG00000138376.10,chr2,214778257,214781509,PAS,False,111,128
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,553,2254
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,1843,2254
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,150,244
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,129,243
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,78,623
ENSG00000114956.19,chr2,73927052,73946718,ES,False,77,124
ENSG00000114956.19,chr2,73946906,73958145,ES,False,31,115
ENSG00000168883.19,chr2,85648853,85649016,IR,False,63,293
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,36,315
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,84,314
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,252,315
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,92,153
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,61,153
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,93,153
ENSG00000115267.6,chr2,162266882,162267379,PAS,True,113,128
ENSG00000115267.6,chr2,162268237,162268277,PAS,True,113,127
ENSG00000115267.6,chr2,162308398,162310933,PAS,True,108,122
ENSG00000115267.6,chr2,162276686,162276946,PAS,True,96,123
ENSG00000115267.6,chr2,162281438,162281545,PAS,True,77,123
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,214,267
ENSG00000138095.18,chr2,43918023,43918133,PAS,True,204,257
ENSG00000138095.18,chr2,43946123,43946243,PAS,True,210,242
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,43,267
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,86,214
ENSG00000136536.14,chr2,159712661,159729008,ES,False,112,128
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,110,243
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,147,243
ENSG00000136536.14,chr2,159767283,159771026,PAS,True,108,240
ENSG00000136536.14,chr2,159747804,159748887,PAS,False,139,233
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,101,148
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,83,108
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,80,139
ENSG00000119812.18,chr2,33583655,33585444,PAS,True,21,158
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,98,172
ENSG00000075292.18,chr2,71276554,71276754,TSS,True,197,224
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,146,223
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,119,223
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,97,212
ENSG00000115239.21,chr2,53765585,53786820,5AS,True,90,106
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,24,121
ENSG00000115239.21,chr2,53786816,53786971,TSS,True,106,121
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,30,115
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,29,111
ENSG00000084733.10,chr2,26033943,26034735,TSS,True,15,126
ENSG00000155438.11,chr2,121726944,121727912,PAS,True,34,149
ENSG00000155438.11,chr2,121727049,121731104,PAS,True,125,149
ENSG00000136682.14,chr2,113438022,113441350,ES,False,185,209
ENSG00000136682.14,chr2,113495636,113497947,PAS,True,23,210
ENSG00000080345.17,chr2,151441967,151443258,5AS,True,21,116
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,100,144
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,90,144
ENSG00000080345.17,chr2,151459999,151460100,PAS,True,17,127
ENSG00000116001.15,chr2,70214491,70215370,3AS,False,20,142
ENSG00000116001.15,chr2,70227822,70229263,ES,False,20,156
ENSG00000116001.15,chr2,70209443,70212845,PAS,True,21,162
ENSG00000163811.11,chr2,28946599,28948222,PAS,True,62,283
ENSG00000163811.11,chr2,28929578,28929710,PAS,True,246,282
ENSG00000115042.9,chr2,95402872,95405552,ES,False,55,105
ENSG00000115042.9,chr2,95402690,95402872,TSS,True,13,119
ENSG00000115840.13,chr2,171894202,171894530,TSS,True,16,158
ENSG00000115816.14,chr2,37201566,37201903,PAS,True,157,252
ENSG00000115816.14,chr2,37212334,37212392,PAS,True,216,252
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,72,697
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,20,139
ENSG00000115875.18,chr2,38748653,38748897,IR,False,21,117
ENSG00000115875.18,chr2,38748653,38749528,IR,False,757,843
ENSG00000115875.18,chr2,38749346,38749528,IR,False,36,145
ENSG00000143727.15,chr2,271939,275139,ME,False,28,255
ENSG00000115232.13,chr2,181457207,181457851,TSS,True,21,124
ENSG00000115232.13,chr2,181485880,181487825,PAS,True,99,117
ENSG00000115232.13,chr2,181509657,181509784,PAS,False,48,120
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,80,122
ENSG00000144118.13,chr2,120252755,120252980,TSS,True,22,145
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,1334,1603
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,432,1598
ENSG00000163466.15,chr2,218253890,218256753,PAS,True,218,2067
ENSG00000169756.16,chr2,108534375,108534594,TSS,True,139,190
ENSG00000169756.16,chr2,108621206,108621461,TSS,True,73,190
ENSG00000198130.15,chr2,190202081,190205232,PAS,True,39,359
ENSG00000136710.9,chr2,130339232,130340907,ES,False,108,126
ENSG00000136710.9,chr2,130342014,130342165,TSS,True,25,130
ENSG00000138398.15,chr2,169584331,169584490,TSS,True,43,169
ENSG00000138398.15,chr2,169584566,169584899,TSS,True,139,169
ENSG00000138398.15,chr2,169630773,169630977,PAS,True,86,158
ENSG00000138398.15,chr2,169614584,169614728,PAS,True,91,158
ENSG00000197635.9,chr2,162047498,162073398,3AS,False,21,151
ENSG00000197635.9,chr2,162073975,162074391,TSS,True,22,165
ENSG00000003509.15,chr2,37248134,37251181,PAS,True,16,104
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,559,1864
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,1506,1864
ENSG00000118961.14,chr2,20790398,20801309,5AS,False,103,120
ENSG00000118961.14,chr2,20790398,20823036,ES,False,20,135
ENSG00000168958.19,chr2,227325427,227330625,ES,False,29,218
ENSG00000168958.19,chr2,227325427,227332418,ES,False,31,252
ENSG00000168958.19,chr2,227340380,227355676,ES,False,172,259
ENSG00000115866.10,chr2,135985402,135985678,TSS,True,283,1583
ENSG00000115866.10,chr2,135985793,135985969,TSS,True,1382,1583
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,37,113
ENSG00000123992.19,chr2,219387575,219387934,TSS,True,92,113
ENSG00000138382.14,chr2,169824640,169824867,5AS,False,44,125
ENSG00000138382.14,chr2,169811755,169811858,PAS,False,23,140
ENSG00000138382.14,chr2,169824781,169824938,TSS,True,59,140
ENSG00000138382.14,chr2,169824867,169824937,TSS,True,94,140
ENSG00000121152.9,chr2,96335848,96341674,3AS,False,61,208
ENSG00000121152.9,chr2,96335735,96335848,TSS,True,37,259
ENSG00000121152.9,chr2,96373291,96375925,PAS,True,145,259
ENSG00000121152.9,chr2,96360142,96360343,PAS,True,128,253
ENSG00000104231.10,chr8,81715114,81718181,ES,False,50,159
ENSG00000040341.17,chr8,73688813,73738283,ES,False,92,118
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,108,142
ENSG00000040341.17,chr8,73526820,73527804,PAS,True,111,141
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,74,135
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,30,142
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,36,187
ENSG00000085719.12,chr8,86558287,86561509,PAS,True,109,153
ENSG00000085719.12,chr8,86544739,86546609,PAS,True,105,152
ENSG00000085719.12,chr8,86546594,86547133,PAS,True,91,152
ENSG00000104738.17,chr8,47976685,47979183,PAS,True,83,743
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,35,130
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,93,124
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,128,151
ENSG00000164754.14,chr8,116866585,116866763,TSS,True,124,151
ENSG00000164754.14,chr8,116874362,116874613,TSS,False,131,151
ENSG00000008513.15,chr8,133476074,133476277,IR,False,93,149
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,73,169
ENSG00000008513.15,chr8,133499134,133499360,TSS,True,133,167
ENSG00000171320.14,chr8,27803305,27805317,PAS,True,33,100
ENSG00000070718.11,chr8,42153105,42154615,ES,False,142,158
ENSG00000070718.11,chr8,42152987,42153105,TSS,True,58,217
ENSG00000070718.11,chr8,42168960,42171186,PAS,True,32,209
