gene,chr,start,end,splice_type,novel,heart_right_ventricle_ENCFF660UTF_in_cov,heart_right_ventricle_ENCFF660UTF_total_cov
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,108,126
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,20,130
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,271,2433
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,85,191
ENSG00000135926.14,chr2,218276025,218276045,TSS,True,169,191
ENSG00000135945.9,chr2,99400473,99401352,PAS,True,90,152
ENSG00000135945.9,chr2,99403037,99403106,PAS,True,78,152
ENSG00000135945.9,chr2,99489816,99490218,TSS,True,79,152
ENSG00000135945.9,chr2,99404800,99404879,TSS,True,82,145
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,21,107
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,103,366
ENSG00000124831.18,chr2,237708630,237748363,ES,False,30,117
ENSG00000124831.18,chr2,237749324,237753308,ES,False,28,127
ENSG00000124831.18,chr2,237756187,237760063,ES,False,30,112
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,57,149
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,116,147
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,116,138
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,63,143
ENSG00000163092.19,chr2,167187354,167187531,TSS,False,102,161
ENSG00000163092.19,chr2,167257856,167259753,PAS,True,120,155
ENSG00000114923.16,chr2,219628570,219629143,5AS,False,71,127
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,636,1040
ENSG00000115694.14,chr2,241499414,241500172,IR,False,117,131
ENSG00000115694.14,chr2,241498988,241499128,TSS,True,154,173
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,147,173
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,89,173
ENSG00000168385.17,chr2,241315982,241324215,ES,False,275,306
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,56,380
ENSG00000163492.15,chr2,178835755,178837744,PAS,True,83,170
ENSG00000163492.15,chr2,178856255,178856397,PAS,True,132,170
ENSG00000163492.15,chr2,179049839,179050195,TSS,True,72,176
ENSG00000163492.15,chr2,178869116,178869429,TSS,True,141,163
ENSG00000163492.15,chr2,178872132,178872305,TSS,True,146,165
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,243,773
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,27,106
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,98,278
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,244,278
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,223,278
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,28,103
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,77,371
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,128,388
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,274,386
ENSG00000163170.11,chr2,74135658,74145188,ES,False,56,109
ENSG00000163170.11,chr2,74147820,74147923,TSS,True,48,119
ENSG00000163170.11,chr2,74145188,74145300,TSS,True,76,116
ENSG00000061676.14,chr2,183003319,183023805,3AS,True,127,216
ENSG00000115896.15,chr2,198083755,198086232,TSS,True,237,267
ENSG00000115896.15,chr2,197804585,197805341,TSS,True,70,281
ENSG00000243147.7,chr2,27772692,27779432,ES,False,263,351
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,289,618
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,538,618
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,24,155
ENSG00000162878.12,chr2,42054307,42054940,IR,True,110,127
ENSG00000162878.12,chr2,42054040,42054307,TSS,True,120,143
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,44,143
ENSG00000170634.12,chr2,53970865,53971321,TSS,True,113,128
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,103,115
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,15,115
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,129,438
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,15,112
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,41,122
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,92,123
ENSG00000170417.15,chr2,102761993,102762349,TSS,True,27,162
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,64,130
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,74,138
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,74,138
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,71,340
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,261,728
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,607,728
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,48,139
ENSG00000213626.12,chr2,30257432,30260027,PAS,True,16,109
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,30,188
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,153,179
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,39,193
ENSG00000180228.12,chr2,178447586,178450965,ES,True,13,128
ENSG00000072195.14,chr2,219489333,219489939,TSS,True,72,116
ENSG00000072195.14,chr2,219491804,219491869,TSS,False,96,116
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,33,121
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,37,119
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,70,114
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,92,662
ENSG00000114948.12,chr2,206443352,206444080,TSS,True,53,203
ENSG00000114948.12,chr2,206617578,206621126,PAS,True,19,169
ENSG00000155657.26,chr2,178525988,178527307,PAS,True,1166,1435
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,151,523
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,990,1444
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,49,177
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,132,176
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,25,178
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,22,101
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,90,101
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,39,336
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,63,181
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,43,330
ENSG00000135617.3,chr2,73233093,73233262,TSS,True,26,133
ENSG00000135617.3,chr2,73228794,73228959,TSS,True,109,133
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,114,187
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,150,187
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,90,143
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,121,149
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,120,147
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,48,195
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,156,195
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,85,117
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,69,117
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,56,241
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,85,119
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,42,127
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,93,127
ENSG00000204822.6,chr2,74472568,74474233,TSS,True,34,134
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,88,154
ENSG00000115993.12,chr2,201407402,201407543,TSS,True,124,154
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,22,205
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,29,205
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,100,288
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,117,305
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,198,305
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,283,337
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,290,334
ENSG00000115306.15,chr2,54469890,54469986,TSS,True,277,350
ENSG00000115306.15,chr2,54661030,54663690,TSS,True,86,101
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,140,302
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,247,297
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,259,329
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,141,1140
ENSG00000127824.13,chr2,219252007,219252231,TSS,True,87,102
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,62,102
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,92,207
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,54,507
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,666,1136
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,244,879
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,729,879
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,91,179
ENSG00000115840.13,chr2,171894202,171894530,TSS,True,46,342
ENSG00000115641.18,chr2,105367569,105367716,TSS,True,1071,1239
ENSG00000115641.18,chr2,105438398,105438583,TSS,True,313,1261
ENSG00000115593.14,chr2,88091142,88096594,ES,False,49,289
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,77,362
ENSG00000079785.14,chr2,15630775,15631111,PAS,True,48,408
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,25,137
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,31,153
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,168,236
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,22,106
ENSG00000115415.18,chr2,190984309,190984395,TSS,True,93,106
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,25,196
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,103,587
ENSG00000119729.11,chr2,46543413,46543812,TSS,True,526,587
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,97,172
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,24,151
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,107,222
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,149,223
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,193,222
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,51,183
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,17,121
ENSG00000168958.19,chr2,227325427,227330625,ES,False,18,124
ENSG00000168958.19,chr2,227328789,227330625,ES,False,77,109
ENSG00000168958.19,chr2,227340380,227352513,ES,False,25,128
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,69,106
ENSG00000135956.8,chr2,96265137,96265500,TSS,True,94,106
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,30,151
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,20,165
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,39,184
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,232,487
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,295,486
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,23,127
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,16,147
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,26,148
ENSG00000023287.12,chr8,52685520,52686852,ES,False,104,116
ENSG00000023287.12,chr8,52642765,52642812,PAS,True,94,126
ENSG00000023287.12,chr8,52656119,52657908,PAS,False,53,125
ENSG00000008513.15,chr8,133476074,133476277,IR,False,73,140
ENSG00000008513.15,chr8,133476600,133545773,ES,False,18,130
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,125,258
ENSG00000008513.15,chr8,133475718,133476600,TSS,True,225,256
ENSG00000029534.20,chr8,41664804,41665289,TSS,True,54,215
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,120,184
ENSG00000133878.8,chr8,33599664,33600003,TSS,True,35,219
ENSG00000104687.13,chr8,30727529,30727967,TSS,True,16,114
ENSG00000168300.13,chr8,51845763,51898929,ES,False,32,191
ENSG00000184489.11,chr8,141418018,141421387,5AS,True,126,166
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,85,531
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,548,819
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,653,819
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,686,819
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,159,576
ENSG00000104219.12,chr8,17155973,17156853,TSS,False,14,132
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,45,282
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,19,155
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,103,133
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,103,132
ENSG00000187954.12,chr8,144465207,144465437,TSS,True,115,135
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,111,135
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,85,120
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,48,120
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,94,128
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,65,126
ENSG00000198363.17,chr8,61661682,61665606,PAS,True,105,126
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,42,131
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,96,131
ENSG00000134020.7,chr8,22920183,22920280,TSS,True,143,180
ENSG00000134020.7,chr8,22927822,22928009,TSS,False,59,183
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,1295,3552
ENSG00000036448.9,chr8,2085267,2085390,TSS,True,3067,3522
ENSG00000123124.13,chr8,86342930,86374029,ES,True,69,200
ENSG00000123124.13,chr8,86342525,86342930,TSS,True,37,237
ENSG00000176623.11,chr8,86508491,86508770,TSS,True,30,178
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,907,1257
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,23,103
ENSG00000158669.11,chr8,41598290,41599304,TSS,True,91,103
ENSG00000164733.20,chr8,11853479,11868000,ME,False,233,262
ENSG00000164733.20,chr8,11853479,11868000,ME,False,227,262
ENSG00000164733.20,chr8,11853479,11868000,ME,False,224,262
ENSG00000164733.20,chr8,11853479,11868000,ME,False,224,262
ENSG00000164733.20,chr8,11853479,11864375,ES,False,223,249
ENSG00000164733.20,chr8,11853479,11868000,ES,False,1740,2031
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,173,303
ENSG00000185122.10,chr8,144311962,144312244,TSS,True,266,297
ENSG00000185122.10,chr8,144313823,144313911,TSS,True,248,297
ENSG00000185122.10,chr8,144313905,144314054,TSS,True,234,297
ENSG00000185122.10,chr8,144314124,144314727,PAS,True,29,288
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,14,115
ENSG00000179950.13,chr8,143818534,143821596,ES,False,83,186
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,25,173
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,44,224
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,26,122
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,47,120
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,81,115
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,61,248
ENSG00000178814.16,chr8,144052326,144052448,IR,True,214,240
ENSG00000178814.16,chr8,144060652,144061242,TSS,False,216,256
ENSG00000178814.16,chr8,144056617,144056758,TSS,True,225,256
ENSG00000178814.16,chr8,144063303,144063474,TSS,True,222,256
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,216,509
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,34,264
ENSG00000104388.14,chr8,60620673,60623626,PAS,True,28,239
ENSG00000147813.15,chr8,143574900,143574985,IR,False,105,123
ENSG00000147813.15,chr8,143575093,143575190,IR,False,101,117
ENSG00000147813.15,chr8,143576842,143577061,IR,False,101,116
ENSG00000147813.15,chr8,143577943,143578092,IR,False,106,118
ENSG00000147813.15,chr8,143574779,143574900,PAS,True,19,128
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,21,128
ENSG00000147485.12,chr8,51408066,51409462,TSS,True,24,120
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,84,454
ENSG00000104529.17,chr8,143581328,143586728,ES,False,65,474
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,62,382
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,199,584
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,517,579
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,138,299
ENSG00000156482.10,chr8,98042644,98042697,TSS,True,173,296
ENSG00000164951.15,chr8,93916890,93917079,TSS,True,66,286
ENSG00000155975.9,chr8,17247369,17265906,ES,False,95,112
ENSG00000147526.19,chr8,38819519,38820635,TSS,True,100,113
ENSG00000147526.19,chr8,38728133,38728671,TSS,True,56,123
ENSG00000147526.19,chr8,38756913,38757409,TSS,True,101,114
ENSG00000147526.19,chr8,38847954,38853029,PAS,True,21,109
ENSG00000154582.16,chr8,73959818,73972076,ES,False,120,152
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,25,186
ENSG00000168615.11,chr8,38996752,38997160,TSS,True,39,147
ENSG00000147408.14,chr8,19506130,19601770,ES,False,82,101
ENSG00000147408.14,chr8,19757185,19757522,TSS,True,105,120
ENSG00000147408.14,chr8,19706645,19707218,TSS,True,107,120
ENSG00000147408.14,chr8,19682695,19682991,TSS,False,73,120
ENSG00000147408.14,chr8,19707051,19707218,TSS,True,106,120
ENSG00000168575.9,chr8,42541537,42541937,TSS,True,98,114
ENSG00000168575.9,chr8,42436988,42437417,TSS,True,95,108
ENSG00000168575.9,chr8,42501030,42501263,TSS,True,58,109
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,274,2293
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,2015,2275
ENSG00000160948.13,chr8,144424819,144424945,IR,False,107,122
ENSG00000160948.13,chr8,144425000,144425682,3AS,False,12,101
ENSG00000160948.13,chr8,144425051,144425682,IR,False,89,106
ENSG00000160948.13,chr8,144423597,144423922,PAS,True,13,127
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,71,178
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,40,127
ENSG00000156804.7,chr8,123540898,123541595,TSS,True,71,186
ENSG00000136574.17,chr8,11703447,11704304,TSS,True,59,108
ENSG00000136574.17,chr8,11707853,11708928,TSS,True,96,108
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,79,489
ENSG00000213563.6,chr8,144526639,144526959,IR,False,76,205
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,130,206
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,62,163
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,46,206
ENSG00000171033.12,chr8,78516306,78516468,TSS,True,74,235
ENSG00000171033.12,chr8,78591226,78591283,TSS,False,193,228
ENSG00000175445.15,chr8,19939222,19939528,TSS,True,138,627
ENSG00000175445.15,chr8,19948179,19948340,TSS,True,555,627
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,20,112
ENSG00000137547.8,chr8,54135205,54135391,TSS,True,50,161
ENSG00000160972.9,chr8,144477943,144478127,TSS,True,125,144
ENSG00000160972.9,chr8,144501106,144501294,TSS,True,82,144
ENSG00000133872.13,chr8,30082846,30083106,TSS,True,22,194
ENSG00000067225.17,chr15,72200655,72206727,ME,False,2002,2580
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,363,2658
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,133,167
ENSG00000068305.17,chr15,99566104,99632977,ES,False,34,146
ENSG00000068305.17,chr15,99645764,99674392,ME,False,49,150
ENSG00000068305.17,chr15,99565428,99566104,TSS,True,87,234
ENSG00000068305.17,chr15,99712389,99716482,PAS,True,19,176
ENSG00000128989.10,chr15,52568847,52569144,TSS,True,30,100
ENSG00000128989.10,chr15,52569115,52569167,TSS,True,77,100
ENSG00000186073.12,chr15,36808489,36808903,IR,False,22,134
ENSG00000186073.12,chr15,36579554,36579961,TSS,True,106,137
ENSG00000186073.12,chr15,36594733,36594918,TSS,True,102,136
ENSG00000186073.12,chr15,36808903,36810246,PAS,True,113,137
ENSG00000185418.15,chr15,101653586,101654730,PAS,True,23,127
ENSG00000185418.15,chr15,101723133,101723164,PAS,True,112,125
ENSG00000178761.14,chr15,74902783,74904663,3AS,False,23,120
ENSG00000178761.14,chr15,74904712,74905153,ES,False,90,110
ENSG00000178761.14,chr15,74905231,74906586,ES,False,17,103
ENSG00000178761.14,chr15,74899989,74902786,PAS,True,31,121
ENSG00000178761.14,chr15,74899986,74902783,PAS,True,100,121
ENSG00000178761.14,chr15,74906586,74907348,TSS,False,33,137
ENSG00000128951.13,chr15,48331479,48332267,5AS,False,20,100
ENSG00000128951.13,chr15,48331405,48331479,TSS,True,94,114
ENSG00000128951.13,chr15,48331409,48331795,TSS,True,36,114
ENSG00000137818.11,chr15,69452816,69453020,TSS,False,190,1213
ENSG00000137818.11,chr15,69452818,69455287,TSS,True,1041,1213
ENSG00000166887.15,chr15,42208080,42208335,TSS,True,37,147
ENSG00000182253.14,chr15,99105076,99106009,TSS,True,280,490
ENSG00000182253.14,chr15,99129440,99131813,TSS,True,243,389
ENSG00000182253.14,chr15,99129366,99135583,PAS,True,114,215
ENSG00000182253.14,chr15,99132749,99135593,PAS,True,103,362
ENSG00000186628.12,chr15,82805965,82806133,TSS,True,31,118
ENSG00000186628.12,chr15,82786751,82787467,TSS,True,106,118
ENSG00000205363.5,chr15,73752109,73753383,TSS,True,48,134
ENSG00000137878.17,chr15,57591887,57592109,TSS,True,28,148
ENSG00000137878.17,chr15,57646136,57650058,PAS,True,73,125
ENSG00000137878.17,chr15,57684401,57685364,PAS,True,95,148
ENSG00000166831.8,chr15,64775232,64775620,TSS,False,111,132
ENSG00000166831.8,chr15,64748418,64748556,TSS,True,113,132
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,24,173
ENSG00000137815.14,chr15,41457671,41458747,PAS,True,100,151
ENSG00000137815.14,chr15,41452900,41452942,PAS,True,109,151
ENSG00000137815.14,chr15,41480580,41482981,PAS,False,128,154
ENSG00000137815.14,chr15,41438320,41438431,PAS,True,132,150
ENSG00000035664.11,chr15,63912197,63925940,ES,True,15,101
ENSG00000035664.11,chr15,63907031,63908600,PAS,True,43,107
ENSG00000035664.11,chr15,63907923,63911216,PAS,True,88,107
ENSG00000035664.11,chr15,63907034,63911991,PAS,True,94,107
ENSG00000035664.11,chr15,64046297,64046561,TSS,True,21,121
ENSG00000140416.20,chr15,63062645,63065895,5AS,True,83,128
ENSG00000140416.20,chr15,63042137,63042943,TSS,True,2111,12803
ENSG00000178741.11,chr15,74937914,74938120,TSS,True,217,1375
ENSG00000170776.21,chr15,85658590,85664562,ES,False,83,184
ENSG00000170776.21,chr15,85669830,85682157,ES,True,143,190
ENSG00000170776.21,chr15,85380473,85380798,TSS,True,151,268
ENSG00000170776.21,chr15,85578991,85582107,TSS,True,207,248
ENSG00000170776.21,chr15,85684740,85686620,PAS,True,64,219
ENSG00000170776.21,chr15,85743491,85743804,PAS,True,201,228
ENSG00000103994.17,chr15,42412815,42417360,PAS,True,276,393
ENSG00000103994.17,chr15,42446589,42446658,PAS,False,173,310
ENSG00000103994.17,chr15,42449664,42451954,PAS,False,156,253
ENSG00000103994.17,chr15,42490979,42491144,TSS,True,525,606
ENSG00000103994.17,chr15,42456957,42457532,TSS,True,431,590
ENSG00000028528.14,chr15,64095898,64096172,TSS,True,15,147
ENSG00000166963.12,chr15,43510950,43511226,TSS,False,100,125
ENSG00000166963.12,chr15,43517606,43517700,TSS,False,80,125
ENSG00000166963.12,chr15,43521041,43521112,TSS,True,109,125
ENSG00000171877.20,chr15,43879498,43880034,TSS,False,31,105
ENSG00000159251.7,chr15,34795505,34795733,TSS,False,4175,11749
ENSG00000159251.7,chr15,34794679,34795489,TSS,True,9747,11749
ENSG00000128739.22,chr15,24954852,24955062,TSS,True,98,447
ENSG00000128739.22,chr15,24856512,24856716,TSS,True,398,449
ENSG00000185787.14,chr15,78872781,78873057,TSS,True,21,183
ENSG00000176463.13,chr15,92162998,92163295,IR,True,16,133
ENSG00000176463.13,chr15,91853099,91854088,TSS,True,63,214
ENSG00000176463.13,chr15,92104320,92104542,TSS,True,186,214
