gene,chr,start,end,splice_type,novel,right_cardiac_atrium_ENCFF875QHC_in_cov,right_cardiac_atrium_ENCFF875QHC_total_cov
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,1002,1209
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,18,160
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,217,287
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,132,287
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,105,803
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,105,180
ENSG00000198925.11,chr2,219224105,219224710,TSS,True,155,179
ENSG00000198925.11,chr2,219222644,219223333,TSS,True,156,175
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,160,180
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,125,807
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,599,674
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,370,834
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,692,834
ENSG00000115307.16,chr2,74528935,74529131,IR,False,159,202
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,40,245
ENSG00000115310.17,chr2,54987698,55049744,ES,False,56,123
ENSG00000115310.17,chr2,54972184,54973198,PAS,True,100,257
ENSG00000115310.17,chr2,55025843,55027485,PAS,False,125,220
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,98,308
ENSG00000115310.17,chr2,55025085,55026690,TSS,True,182,209
ENSG00000082146.12,chr2,201478191,201478562,3AS,False,15,112
ENSG00000082146.12,chr2,201480031,201480847,PAS,True,13,113
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,139,328
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,246,328
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,284,328
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,48,156
ENSG00000132329.10,chr2,237859729,237860003,TSS,False,131,156
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,38,172
ENSG00000176946.11,chr2,241617411,241617522,TSS,True,154,172
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,30,242
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,41,144
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,124,142
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,29,155
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,121,482
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,388,480
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,18,125
ENSG00000163170.11,chr2,74135658,74145188,ES,False,82,160
ENSG00000163170.11,chr2,74147820,74147923,TSS,True,30,164
ENSG00000163170.11,chr2,74145188,74145300,TSS,True,137,164
ENSG00000061676.14,chr2,183003319,183023805,3AS,True,108,175
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,43,203
ENSG00000184182.18,chr2,238030553,238030613,TSS,True,176,202
ENSG00000243147.7,chr2,27772692,27779432,ES,False,182,259
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,130,385
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,346,385
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,31,152
ENSG00000162878.12,chr2,42054307,42054940,IR,True,200,231
ENSG00000162878.12,chr2,42054040,42054307,TSS,True,222,256
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,66,263
ENSG00000115380.19,chr2,55922447,55923710,ES,False,282,442
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,178,215
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,37,215
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,139,520
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,13,128
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,16,110
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,28,125
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,62,104
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,102,125
ENSG00000170417.15,chr2,102761993,102762349,TSS,True,24,166
ENSG00000171853.15,chr2,3379682,3379876,TSS,True,76,167
ENSG00000171853.15,chr2,3386936,3388670,TSS,False,130,167
ENSG00000067066.16,chr2,230416328,230442936,ES,False,33,159
ENSG00000067066.16,chr2,230449710,230461261,ES,True,29,150
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,45,166
ENSG00000067066.16,chr2,230474393,230474447,PAS,True,148,167
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,53,126
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,105,126
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,53,109
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,84,109
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,79,140
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,61,140
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,86,140
ENSG00000171303.6,chr2,26692726,26693158,TSS,True,51,226
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,149,740
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,48,183
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,131,174
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,23,184
ENSG00000180228.12,chr2,178447586,178450965,ES,True,13,120
ENSG00000072195.14,chr2,219489333,219489939,TSS,True,92,127
ENSG00000072195.14,chr2,219447788,219449271,TSS,True,241,273
ENSG00000072195.14,chr2,219460063,219460996,TSS,False,233,272
ENSG00000072195.14,chr2,219490043,219490648,TSS,True,109,126
ENSG00000072195.14,chr2,219491804,219491869,TSS,False,109,126
ENSG00000072195.14,chr2,219466056,219466863,PAS,True,28,122
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,159,251
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,32,129
ENSG00000115183.14,chr2,159225687,159226174,PAS,True,105,118
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,89,119
ENSG00000115183.14,chr2,159089583,159092504,PAS,True,49,101
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,84,646
ENSG00000114948.12,chr2,206443352,206444080,TSS,True,24,101
ENSG00000155657.26,chr2,178786141,178792071,ES,True,11,102
ENSG00000155657.26,chr2,178525988,178527307,PAS,True,842,1003
ENSG00000155657.26,chr2,178785656,178785742,PAS,True,334,386
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,196,382
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,45,182
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,653,1020
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,62,561
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,73,563
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,77,344
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,308,344
ENSG00000068912.13,chr2,53801842,53809213,ES,False,20,147
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,90,143
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,84,144
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,121,143
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,29,100
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,16,107
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,19,156
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,54,172
ENSG00000115526.10,chr2,100417373,100417825,TSS,False,38,130
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,269,1119
ENSG00000135617.3,chr2,73233093,73233262,TSS,True,25,243
ENSG00000163359.15,chr2,237324016,237324814,PAS,True,35,145
ENSG00000163359.15,chr2,237334625,237334820,TSS,False,41,110
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,59,106
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,53,106
ENSG00000003402.19,chr2,201149835,201160712,3AS,True,16,104
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,115,228
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,180,228
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,131,193
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,172,197
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,146,197
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,63,122
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,84,122
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,104,122
ENSG00000142330.19,chr2,240584888,240587052,TSS,True,66,160
ENSG00000142330.19,chr2,240596187,240596942,TSS,True,122,159
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,130,491
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,373,491
ENSG00000151689.12,chr2,190343961,190360038,ES,False,114,140
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,341,527
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,296,527
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,82,108
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,41,104
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,140,195
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,66,206
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,151,206
ENSG00000115993.12,chr2,201377206,201381218,PAS,False,12,108
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,42,127
ENSG00000180398.12,chr2,46907969,46915722,ES,False,54,122
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,35,158
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,30,174
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,56,145
ENSG00000136536.14,chr2,159762993,159767283,ES,False,40,153
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,66,156
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,97,156
ENSG00000115211.15,chr2,27369209,27369413,3AS,False,50,113
ENSG00000115306.15,chr2,54456274,54456518,TSS,True,177,200
ENSG00000115306.15,chr2,54663518,54664691,TSS,True,97,109
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,107,146
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,110,129
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,94,171
ENSG00000186522.14,chr2,109544324,109546049,IR,True,91,114
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,29,122
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,95,118
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,858,965
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,143,965
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,60,111
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,77,232
ENSG00000079308.18,chr2,217799788,217804603,PAS,True,104,701
ENSG00000079308.18,chr2,217817713,217818759,PAS,True,71,107
ENSG00000079308.18,chr2,217821757,217821938,PAS,True,89,100
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,533,1091
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,38,170
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,138,170
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,143,761
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,645,761
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,139,385
ENSG00000115840.13,chr2,171894202,171894530,TSS,True,38,270
ENSG00000115641.18,chr2,105438398,105438583,TSS,True,172,671
ENSG00000115593.14,chr2,88091142,88096594,ES,False,46,184
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,47,225
ENSG00000144579.7,chr2,218400004,218400157,TSS,True,82,100
ENSG00000071051.13,chr2,105855289,105892981,ES,False,17,151
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,27,177
ENSG00000116106.11,chr2,221418026,221420552,PAS,True,73,101
ENSG00000116106.11,chr2,221572157,221572360,TSS,True,83,104
ENSG00000116106.11,chr2,221563730,221564395,TSS,True,89,104
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,16,156
ENSG00000187957.7,chr2,229714147,229715094,TSS,False,34,221
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,34,192
ENSG00000115295.19,chr2,29181571,29183952,PAS,True,27,192
ENSG00000115414.18,chr2,215372015,215373321,ES,False,42,109
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,97,242
ENSG00000115414.18,chr2,215412760,215414958,PAS,True,95,114
ENSG00000115414.18,chr2,215393672,215394719,PAS,True,128,147
ENSG00000115414.18,chr2,215408297,215408426,PAS,False,104,122
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,136,243
ENSG00000115414.18,chr2,215384019,215385311,TSS,False,140,156
ENSG00000143727.15,chr2,271939,275139,ME,False,22,115
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,227,308
ENSG00000115415.18,chr2,191010004,191014017,ES,False,12,105
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,22,132
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,28,133
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,29,284
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,143,476
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,37,333
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,95,274
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,222,278
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,241,274
ENSG00000130294.16,chr2,240720913,240720984,TSS,True,161,182
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,38,226
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,41,255
ENSG00000168958.19,chr2,227325427,227330625,ES,False,98,199
ENSG00000168958.19,chr2,227328789,227330625,ES,False,90,102
ENSG00000168958.19,chr2,227340380,227347225,ES,False,60,167
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,97,191
ENSG00000135956.8,chr2,96265137,96265500,TSS,True,171,191
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,26,174
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,26,191
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,92,279
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,211,279
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,92,120
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,33,120
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,18,120
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,31,269
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,26,132
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,29,136
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,106,132
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,32,141
ENSG00000023287.12,chr8,52642765,52642812,PAS,True,89,120
ENSG00000023287.12,chr8,52645323,52645867,PAS,True,107,120
ENSG00000023287.12,chr8,52656119,52657908,PAS,False,55,117
ENSG00000023287.12,chr8,52714074,52714498,TSS,True,14,120
ENSG00000008513.15,chr8,133476074,133476277,IR,False,113,174
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,137,304
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,92,150
ENSG00000168300.13,chr8,51845763,51898929,ES,False,32,182
ENSG00000184489.11,chr8,141418018,141421387,5AS,True,113,148
ENSG00000184489.11,chr8,141421610,141422180,IR,False,71,452
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,54,474
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,524,714
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,550,714
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,584,714
ENSG00000120910.14,chr8,22540614,22543188,PAS,True,11,107
ENSG00000158856.18,chr8,22048368,22049224,TSS,True,39,107
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,161,681
ENSG00000120896.13,chr8,22565287,22565872,TSS,True,85,115
ENSG00000120896.13,chr8,22551319,22552022,TSS,True,101,118
ENSG00000104219.12,chr8,17155973,17156853,TSS,False,11,104
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,108,547
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,110,138
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,110,135
ENSG00000187954.12,chr8,144465207,144465437,TSS,True,121,143
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,126,143
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,69,147
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,107,147
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,21,156
ENSG00000198363.17,chr8,61643433,61644599,ES,False,31,156
ENSG00000198363.17,chr8,61644632,61651049,ES,False,24,156
ENSG00000198363.17,chr8,61653660,61680967,ES,True,128,153
ENSG00000198363.17,chr8,61681036,61684038,ES,False,153,181
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,160,190
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,57,184
ENSG00000198363.17,chr8,61661682,61665606,PAS,True,163,182
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,65,191
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,142,191
ENSG00000134020.7,chr8,22920183,22920280,TSS,True,189,221
ENSG00000134020.7,chr8,22927822,22928009,TSS,False,44,223
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,333,985
ENSG00000147649.9,chr8,97687605,97690951,ES,False,23,160
ENSG00000147649.9,chr8,97691188,97706625,ES,False,40,168
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,109,213
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,148,214
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,166,204
ENSG00000123124.13,chr8,86342525,86342930,TSS,True,23,112
ENSG00000176623.11,chr8,86508491,86508770,TSS,True,23,159
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,941,1432
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,35,119
ENSG00000158669.11,chr8,41598290,41599304,TSS,True,107,119
ENSG00000164733.20,chr8,11853479,11864375,ES,False,478,558
ENSG00000164733.20,chr8,11853479,11868000,ES,False,3084,3679
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,246,494
ENSG00000185122.10,chr8,144313823,144313911,TSS,True,394,486
ENSG00000185122.10,chr8,144313905,144314054,TSS,True,394,486
ENSG00000077782.20,chr8,38467980,38468832,TSS,True,105,131
ENSG00000077782.20,chr8,38417869,38420743,TSS,True,105,117
ENSG00000104332.11,chr8,41261958,41265489,PAS,True,62,156
ENSG00000104332.11,chr8,41303460,41303538,PAS,True,98,156
ENSG00000104332.11,chr8,41308615,41309485,TSS,False,64,218
ENSG00000121022.13,chr8,67062024,67062105,IR,False,18,177
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,35,193
ENSG00000121022.13,chr8,67062105,67062347,TSS,True,171,193
ENSG00000185000.11,chr8,144326436,144327477,TSS,True,21,138
ENSG00000179950.13,chr8,143818534,143821596,ES,False,146,305
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,48,278
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,65,358
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,34,213
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,120,205
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,94,197
ENSG00000154328.15,chr8,11769633,11769791,TSS,False,65,112
ENSG00000154328.15,chr8,11769708,11770335,TSS,True,53,112
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,76,303
ENSG00000178814.16,chr8,144060652,144061242,TSS,False,158,187
ENSG00000178814.16,chr8,144063303,144063474,TSS,True,159,187
ENSG00000104518.10,chr8,143561104,143561369,IR,False,62,101
ENSG00000104518.10,chr8,143558294,143558451,TSS,True,26,107
ENSG00000104518.10,chr8,143558313,143561423,TSS,True,96,107
ENSG00000129422.14,chr8,17643300,17646139,PAS,True,62,106
ENSG00000129422.14,chr8,17651550,17653281,PAS,True,61,102
ENSG00000129422.14,chr8,17676275,17676506,TSS,True,93,127
ENSG00000129422.14,chr8,17801060,17801518,TSS,True,95,129
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,97,389
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,38,327
ENSG00000147813.15,chr8,143574900,143574985,IR,False,88,101
ENSG00000147813.15,chr8,143576842,143577061,IR,False,85,101
ENSG00000147813.15,chr8,143574779,143574900,PAS,True,13,104
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,16,104
ENSG00000147813.15,chr8,143577815,143578644,TSS,True,93,104
ENSG00000147485.12,chr8,51408066,51409462,TSS,True,66,286
ENSG00000147485.12,chr8,51809180,51809463,TSS,False,264,295
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,62,397
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,75,625
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,181,813
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,714,812
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,125,282
ENSG00000156482.10,chr8,98042644,98042697,TSS,True,179,281
ENSG00000147573.16,chr8,66127113,66127436,TSS,True,24,115
ENSG00000147573.16,chr8,66137109,66137190,TSS,True,101,115
ENSG00000147573.16,chr8,66174470,66175488,PAS,True,28,113
ENSG00000147573.16,chr8,66152376,66152411,PAS,True,94,109
