gene,chr,start,end,splice_type,novel,heart_left_ventricle_ENCFF502LAB_in_cov,heart_left_ventricle_ENCFF502LAB_total_cov
ENSG00000155657.26,chr2,178793396,178793541,PAS,True,143,576
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,60,235
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,782,1297
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,57,222
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,168,218
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,40,224
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,63,203
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,33,181
ENSG00000135617.3,chr2,73233093,73233262,TSS,True,22,154
ENSG00000135617.3,chr2,73228794,73228959,TSS,True,135,154
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,84,163
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,131,163
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,79,134
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,109,138
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,76,256
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,189,256
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,74,106
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,69,106
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,31,190
ENSG00000175084.11,chr2,219421560,219425634,3AS,True,55,111
ENSG00000175084.11,chr2,219423820,219425669,IR,True,29,101
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,70,115
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,50,120
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,76,120
ENSG00000115993.12,chr2,201377206,201381218,PAS,False,17,104
ENSG00000115993.12,chr2,201451349,201451662,TSS,True,60,124
ENSG00000115993.12,chr2,201407402,201407543,TSS,True,105,123
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,37,166
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,57,188
ENSG00000136536.14,chr2,159712661,159729008,ES,False,116,131
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,74,207
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,141,207
ENSG00000115211.15,chr2,27370283,27370443,TSS,True,12,104
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,239,281
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,236,280
ENSG00000115306.15,chr2,54469890,54469986,TSS,True,238,299
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,104,264
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,216,257
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,237,288
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,936,1052
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,158,1052
ENSG00000127824.13,chr2,219252007,219252231,TSS,True,156,174
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,78,174
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,83,186
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,543,900
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,157,746
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,642,746
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,86,161
ENSG00000115840.13,chr2,171894202,171894530,TSS,True,28,237
ENSG00000115641.18,chr2,105386540,105438398,ME,True,19,106
ENSG00000115641.18,chr2,105386540,105438398,ME,True,19,106
ENSG00000115641.18,chr2,105386540,105438398,ME,True,19,106
ENSG00000115641.18,chr2,105386540,105438398,ME,True,19,106
ENSG00000115641.18,chr2,105386540,105438398,ME,True,19,106
ENSG00000115641.18,chr2,105386540,105438398,ME,True,19,106
ENSG00000115641.18,chr2,105367569,105367716,TSS,True,1717,1980
ENSG00000115641.18,chr2,105438398,105438583,TSS,True,460,1989
ENSG00000115593.14,chr2,88091142,88096594,ES,False,36,242
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,60,302
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,29,121
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,16,125
ENSG00000143727.15,chr2,271939,275139,ME,False,15,102
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,123,166
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,19,101
ENSG00000163466.15,chr2,218217132,218217254,TSS,False,26,243
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,113,621
ENSG00000119729.11,chr2,46543413,46543812,TSS,True,547,621
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,74,162
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,88,213
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,151,214
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,43,158
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,15,111
ENSG00000168958.19,chr2,227325427,227330625,ES,False,28,146
ENSG00000168958.19,chr2,227328789,227330625,ES,False,89,119
ENSG00000168958.19,chr2,227340380,227347225,ES,False,49,102
ENSG00000168958.19,chr2,227340380,227352513,ES,False,29,149
ENSG00000152086.8,chr2,130195078,130195231,TSS,True,27,105
ENSG00000152086.8,chr2,130193785,130194412,TSS,True,88,105
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,17,157
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,41,198
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,105,241
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,157,240
ENSG00000179526.16,chr8,144098994,144099276,ES,False,20,135
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,21,154
ENSG00000085719.12,chr8,86514412,86514541,TSS,True,28,155
ENSG00000085719.12,chr8,86558287,86561509,PAS,True,14,133
ENSG00000164754.14,chr8,116845932,116847691,PAS,True,16,117
ENSG00000164754.14,chr8,116845935,116850767,PAS,True,100,114
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,22,117
ENSG00000008513.15,chr8,133476074,133476277,IR,False,70,112
ENSG00000008513.15,chr8,133476600,133545773,ES,False,15,106
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,123,232
ENSG00000008513.15,chr8,133475718,133476600,TSS,True,189,229
ENSG00000029534.20,chr8,41664804,41665289,TSS,True,35,205
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,173,253
ENSG00000104687.13,chr8,30727529,30727967,TSS,True,12,103
ENSG00000168300.13,chr8,51845763,51898929,ES,False,28,167
ENSG00000184489.11,chr8,141418018,141421387,5AS,True,134,174
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,75,549
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,542,828
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,654,828
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,687,829
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,103,391
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,76,411
ENSG00000197858.10,chr8,144083500,144083713,IR,False,141,158
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,19,177
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,95,122
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,93,121
ENSG00000187954.12,chr8,144465207,144465437,TSS,True,103,124
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,103,124
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,94,113
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,54,112
ENSG00000198363.17,chr8,61661682,61665606,PAS,True,90,110
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,46,117
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,83,117
ENSG00000134020.7,chr8,22920183,22920280,TSS,True,138,167
ENSG00000134020.7,chr8,22927822,22928009,TSS,False,44,169
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,958,2623
ENSG00000036448.9,chr8,2085267,2085390,TSS,True,2245,2595
ENSG00000123124.13,chr8,86342930,86374029,ES,True,51,135
ENSG00000123124.13,chr8,86342525,86342930,TSS,True,34,169
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,514,919
ENSG00000164733.20,chr8,11853479,11868000,ME,False,191,215
ENSG00000164733.20,chr8,11853479,11868000,ME,False,191,215
ENSG00000164733.20,chr8,11853479,11868000,ME,False,191,215
ENSG00000164733.20,chr8,11853479,11868000,ES,False,1253,1489
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,199,301
ENSG00000185122.10,chr8,144311962,144312244,TSS,True,270,301
ENSG00000185122.10,chr8,144313823,144313911,TSS,True,240,301
ENSG00000185122.10,chr8,144313905,144314054,TSS,True,234,301
ENSG00000104332.11,chr8,41308615,41309485,TSS,False,34,120
ENSG00000179950.13,chr8,143818534,143821596,ES,False,97,196
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,24,165
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,36,218
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,28,122
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,48,117
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,69,107
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,41,213
ENSG00000178814.16,chr8,144052326,144052448,IR,True,177,198
ENSG00000178814.16,chr8,144055184,144055787,3AS,True,22,170
ENSG00000178814.16,chr8,144060652,144061242,TSS,False,167,208
ENSG00000178814.16,chr8,144056617,144056758,TSS,True,177,208
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,104,359
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,34,239
ENSG00000147813.15,chr8,143574900,143574985,IR,False,120,138
ENSG00000147813.15,chr8,143575093,143575190,IR,False,117,137
ENSG00000147813.15,chr8,143576842,143577061,IR,False,118,136
ENSG00000147813.15,chr8,143577943,143578092,IR,False,125,140
ENSG00000147813.15,chr8,143574779,143574900,PAS,True,18,145
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,20,145
ENSG00000147485.12,chr8,51408066,51409462,TSS,True,33,149
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,48,339
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,80,559
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,202,767
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,684,764
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,76,245
ENSG00000156482.10,chr8,98042644,98042697,TSS,True,177,245
ENSG00000164951.15,chr8,93916890,93917079,TSS,True,51,254
ENSG00000155975.9,chr8,17247369,17265906,ES,False,114,132
ENSG00000167700.8,chr8,144510903,144510990,IR,True,102,115
ENSG00000167700.8,chr8,144510793,144513668,PAS,False,103,115
ENSG00000167700.8,chr8,144510990,144511310,PAS,True,13,115
ENSG00000147526.19,chr8,38728133,38728671,TSS,True,46,100
ENSG00000154582.16,chr8,73959818,73972076,ES,False,106,143
ENSG00000168615.11,chr8,38996752,38997160,TSS,True,25,140
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,250,2307
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,2051,2285
ENSG00000160948.13,chr8,144425051,144425682,IR,False,97,108
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,46,154
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,36,143
ENSG00000156804.7,chr8,123540898,123541595,TSS,True,51,194
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,72,483
ENSG00000213563.6,chr8,144526639,144526959,IR,False,74,195
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,121,195
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,60,162
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,35,195
ENSG00000171033.12,chr8,78516306,78516468,TSS,True,68,213
ENSG00000171033.12,chr8,78591226,78591283,TSS,False,175,212
ENSG00000175445.15,chr8,19939222,19939528,TSS,True,131,592
ENSG00000175445.15,chr8,19948179,19948340,TSS,True,526,592
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,15,126
ENSG00000120885.21,chr8,27614654,27614703,TSS,True,37,215
ENSG00000137547.8,chr8,54135205,54135391,TSS,True,21,145
ENSG00000137547.8,chr8,54147381,54149586,PAS,True,14,129
ENSG00000137547.8,chr8,54144128,54147903,PAS,True,116,129
ENSG00000160972.9,chr8,144501106,144501294,TSS,True,57,111
ENSG00000133872.13,chr8,30070059,30082846,ES,False,28,234
ENSG00000067225.17,chr15,72200655,72206727,ME,False,1756,2367
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,351,2447
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,133,187
ENSG00000068305.17,chr15,99566104,99632977,ES,False,37,136
ENSG00000068305.17,chr15,99645764,99674392,ME,False,39,138
ENSG00000068305.17,chr15,99565428,99566104,TSS,True,64,201
ENSG00000068305.17,chr15,99712389,99716482,PAS,True,17,161
ENSG00000128989.10,chr15,52568847,52569144,TSS,True,41,113
ENSG00000128989.10,chr15,52569115,52569167,TSS,True,80,113
ENSG00000186073.12,chr15,36808489,36808903,IR,False,21,117
ENSG00000186073.12,chr15,36579554,36579961,TSS,True,85,122
ENSG00000186073.12,chr15,36594733,36594918,TSS,True,98,122
ENSG00000186073.12,chr15,36808903,36810246,PAS,True,101,122
ENSG00000185418.15,chr15,101653586,101654730,PAS,True,16,142
ENSG00000178761.14,chr15,74902063,74902603,IR,False,14,101
ENSG00000178761.14,chr15,74899989,74902786,PAS,True,35,102
ENSG00000178761.14,chr15,74899986,74902783,PAS,True,85,102
ENSG00000178761.14,chr15,74906586,74907348,TSS,False,26,116
ENSG00000128951.13,chr15,48331405,48331479,TSS,True,100,116
ENSG00000128951.13,chr15,48331399,48332406,TSS,False,103,116
ENSG00000128951.13,chr15,48331409,48331795,TSS,True,37,116
ENSG00000137818.11,chr15,69452816,69453020,TSS,False,117,1134
ENSG00000166887.15,chr15,42208080,42208335,TSS,True,36,123
ENSG00000140374.15,chr15,76292700,76311349,ES,False,60,558
ENSG00000182253.14,chr15,99105076,99106009,TSS,True,222,424
ENSG00000182253.14,chr15,99129440,99131813,TSS,True,211,317
ENSG00000182253.14,chr15,99129366,99135583,PAS,True,106,214
ENSG00000182253.14,chr15,99132749,99135593,PAS,True,109,324
ENSG00000188549.12,chr15,40339904,40341008,TSS,True,90,105
ENSG00000260916.7,chr15,55354628,55356409,PAS,True,66,110
ENSG00000260916.7,chr15,55355238,55360944,PAS,True,40,102
ENSG00000260916.7,chr15,55408220,55408470,TSS,True,18,110
ENSG00000186628.12,chr15,82756419,82759600,PAS,True,13,108
ENSG00000186628.12,chr15,82805965,82806133,TSS,True,25,120
ENSG00000205363.5,chr15,73752109,73753383,TSS,True,38,102
ENSG00000205363.5,chr15,73750974,73751546,TSS,True,77,102
ENSG00000137878.17,chr15,57591887,57592109,TSS,True,21,133
ENSG00000137878.17,chr15,57646136,57650058,PAS,True,75,118
ENSG00000137878.17,chr15,57684401,57685364,PAS,True,87,133
ENSG00000166831.8,chr15,64775232,64775620,TSS,False,71,100
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,22,108
ENSG00000035664.11,chr15,63907031,63908600,PAS,True,41,103
ENSG00000035664.11,chr15,63907034,63911991,PAS,True,91,103
ENSG00000035664.11,chr15,64046297,64046561,TSS,True,21,116
ENSG00000140416.20,chr15,63062645,63065895,5AS,True,73,102
ENSG00000170776.21,chr15,85658590,85664562,ES,False,64,127
ENSG00000170776.21,chr15,85669830,85682157,ES,True,102,132
ENSG00000170776.21,chr15,85380473,85380798,TSS,True,128,204
ENSG00000170776.21,chr15,85578991,85582107,TSS,True,151,184
ENSG00000170776.21,chr15,85349201,85349385,TSS,True,182,204
ENSG00000170776.21,chr15,85684740,85686620,PAS,True,44,155
ENSG00000170776.21,chr15,85578929,85581714,PAS,True,85,101
ENSG00000140403.12,chr15,78264470,78264895,TSS,True,20,123
ENSG00000103994.17,chr15,42412815,42417360,PAS,True,269,367
ENSG00000103994.17,chr15,42446589,42446658,PAS,False,181,287
ENSG00000103994.17,chr15,42449664,42451954,PAS,False,116,244
ENSG00000103994.17,chr15,42490979,42491144,TSS,True,489,555
ENSG00000103994.17,chr15,42456957,42457532,TSS,True,386,548
ENSG00000128928.8,chr15,40405758,40405971,TSS,False,30,258
ENSG00000028528.14,chr15,64095898,64096172,TSS,True,15,134
ENSG00000166411.13,chr15,78155275,78157547,ES,False,156,176
ENSG00000166411.13,chr15,78149300,78149430,TSS,True,35,204
ENSG00000086666.18,chr15,80059654,80059809,TSS,True,29,105
ENSG00000086666.18,chr15,80120324,80120498,TSS,True,92,105
ENSG00000171877.20,chr15,43879498,43880034,TSS,False,17,102
ENSG00000159251.7,chr15,34795505,34795733,TSS,False,4258,13021
ENSG00000159251.7,chr15,34794679,34795489,TSS,True,10757,13021
ENSG00000128739.22,chr15,24954852,24955062,TSS,True,111,577
ENSG00000176463.13,chr15,91853099,91854088,TSS,True,32,143
ENSG00000176463.13,chr15,92104320,92104542,TSS,True,124,143
ENSG00000176463.13,chr15,92171779,92172436,PAS,True,92,145
ENSG00000176463.13,chr15,92162755,92165907,PAS,True,62,141
ENSG00000138629.15,chr15,74461036,74461177,TSS,False,107,132
ENSG00000138629.15,chr15,74461107,74461179,TSS,True,60,132
ENSG00000138629.15,chr15,74461157,74461185,TSS,True,115,132
ENSG00000103966.10,chr15,41972258,41972597,TSS,True,65,185
ENSG00000166710.18,chr15,44711414,44711613,TSS,True,103,861
ENSG00000140350.15,chr15,68820697,68820924,TSS,True,17,155
ENSG00000182768.8,chr15,90265876,90266287,IR,False,50,441
ENSG00000182768.8,chr15,90265669,90266398,TSS,True,61,451
ENSG00000182768.8,chr15,90265672,90265876,TSS,False,401,451
ENSG00000114062.19,chr15,25405502,25438488,ES,False,98,178
ENSG00000114062.19,chr15,25438488,25439115,TSS,True,29,210
ENSG00000182054.9,chr15,90102275,90102512,TSS,True,303,2861
ENSG00000140299.11,chr15,59659147,59664120,PAS,True,12,105
ENSG00000182774.12,chr15,82540425,82540460,TSS,True,39,164
ENSG00000182774.12,chr15,82539980,82540445,TSS,True,139,164
ENSG00000179010.14,chr4,6640708,6640827,IR,False,59,212
ENSG00000179010.14,chr4,6640655,6640708,TSS,False,161,220
ENSG00000179010.14,chr4,6640682,6641258,TSS,True,67,220
ENSG00000109390.11,chr4,139300601,139302521,TSS,True,182,247
ENSG00000109390.11,chr4,139295731,139295834,TSS,False,78,246
ENSG00000226950.6,chr4,52712433,52712527,TSS,True,75,173
ENSG00000109180.14,chr4,48831060,48831249,TSS,True,39,104
ENSG00000109180.14,chr4,48831092,48831496,TSS,True,92,104
ENSG00000151726.13,chr4,184803546,184805526,5AS,True,130,168
ENSG00000151726.13,chr4,184825915,184826101,TSS,True,296,511
ENSG00000151726.13,chr4,184805526,184805712,TSS,False,381,511
ENSG00000152795.17,chr4,82424883,82426036,IR,False,116,144
ENSG00000152795.17,chr4,82422746,82424883,PAS,True,33,155
ENSG00000152795.17,chr4,82423203,82426129,PAS,True,117,145
ENSG00000090316.15,chr4,1289834,1289982,TSS,True,19,116
