gene,chr,start,end,splice_type,novel,heart_left_ventricle_ENCFF623IBV_in_cov,heart_left_ventricle_ENCFF623IBV_total_cov
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,203,234
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,196,232
ENSG00000115306.15,chr2,54469890,54469986,TSS,True,189,253
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,81,216
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,169,208
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,206,244
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,680,756
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,90,756
ENSG00000127824.13,chr2,219252007,219252231,TSS,True,228,258
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,135,258
ENSG00000142327.12,chr2,240575610,240576567,3AS,False,16,142
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,63,181
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,299,653
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,74,379
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,324,379
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,54,103
ENSG00000115840.13,chr2,171894202,171894530,TSS,True,19,152
ENSG00000115641.18,chr2,105438398,105438583,TSS,True,225,799
ENSG00000115593.14,chr2,88091142,88096594,ES,False,86,315
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,54,370
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,28,182
ENSG00000198612.10,chr2,237085338,237086042,TSS,True,15,127
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,16,127
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,99,116
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,113,128
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,127,171
ENSG00000119729.11,chr2,46542333,46543188,TSS,True,57,392
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,63,123
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,16,138
ENSG00000173692.12,chr2,231165199,231165289,PAS,True,94,226
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,164,227
ENSG00000173692.12,chr2,231163634,231163729,PAS,False,203,226
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,46,256
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,65,131
ENSG00000152086.8,chr2,130195078,130195231,TSS,True,34,124
ENSG00000152086.8,chr2,130193785,130194412,TSS,True,105,124
ENSG00000171863.14,chr2,3575256,3575350,TSS,True,16,141
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,17,145
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,96,276
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,199,275
ENSG00000179526.16,chr8,144098994,144099276,ES,False,12,107
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,18,122
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,22,110
ENSG00000023287.12,chr8,52642765,52642812,PAS,True,106,134
ENSG00000023287.12,chr8,52656119,52657908,PAS,False,53,133
ENSG00000023287.12,chr8,52714074,52714498,TSS,True,15,134
ENSG00000008513.15,chr8,133476074,133476277,IR,False,85,136
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,141,267
ENSG00000008513.15,chr8,133475718,133476600,TSS,True,234,263
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,76,128
ENSG00000168300.13,chr8,51845763,51898929,ES,False,23,135
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,19,167
ENSG00000184489.11,chr8,141427069,141430926,ES,False,27,211
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,153,240
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,200,240
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,199,240
ENSG00000156467.9,chr8,96235511,96235629,TSS,True,31,173
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,42,220
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,30,233
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,19,102
ENSG00000198363.17,chr8,61643433,61644599,ES,False,18,105
ENSG00000198363.17,chr8,61644632,61651049,ES,False,32,104
ENSG00000198363.17,chr8,61681036,61684038,ES,False,111,124
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,109,132
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,53,130
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,50,137
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,101,137
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,237,655
ENSG00000036448.9,chr8,2085267,2085390,TSS,True,581,651
ENSG00000147649.9,chr8,97643970,97644887,TSS,True,18,136
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,69,124
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,99,128
ENSG00000147649.9,chr8,97661071,97661158,PAS,True,84,119
ENSG00000176623.11,chr8,86508491,86508770,TSS,True,15,130
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,636,982
ENSG00000158669.11,chr8,41578038,41578278,TSS,True,22,112
ENSG00000164733.20,chr8,11853479,11868000,ME,False,142,158
ENSG00000164733.20,chr8,11853479,11868000,ME,False,134,158
ENSG00000164733.20,chr8,11853479,11868000,ME,False,133,158
ENSG00000164733.20,chr8,11853479,11868000,ME,False,133,158
ENSG00000164733.20,chr8,11853479,11868000,ES,False,1374,1546
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,93,243
ENSG00000185122.10,chr8,144313823,144313911,TSS,True,211,241
ENSG00000185122.10,chr8,144313905,144314054,TSS,True,216,241
ENSG00000179950.13,chr8,143818534,143821596,ES,False,89,180
ENSG00000179950.13,chr8,143821913,143829279,ES,False,37,174
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,22,136
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,29,203
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,22,119
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,64,115
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,56,109
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,50,268
ENSG00000178814.16,chr8,144052326,144052448,IR,True,94,105
ENSG00000178814.16,chr8,144060652,144061242,TSS,False,84,108
ENSG00000178814.16,chr8,144063303,144063474,TSS,True,96,108
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,65,217
ENSG00000104388.14,chr8,60516905,60517253,TSS,True,27,207
ENSG00000147416.10,chr8,20197363,20197542,TSS,True,18,136
ENSG00000147485.12,chr8,51474971,51475091,TSS,True,89,100
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,22,186
ENSG00000104529.17,chr8,143581328,143586728,ES,False,44,397
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,45,321
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,139,462
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,401,460
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,60,211
ENSG00000156482.10,chr8,98042644,98042697,TSS,True,163,210
ENSG00000129292.20,chr8,132845780,132848807,PAS,True,84,101
ENSG00000164951.15,chr8,93917079,93922015,ES,False,238,310
ENSG00000164951.15,chr8,93916890,93917079,TSS,True,92,402
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,55,142
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,93,142
ENSG00000168615.11,chr8,38996752,38997160,TSS,True,61,250
ENSG00000104331.8,chr8,56993198,56993867,TSS,True,12,110
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,34,123
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,28,112
ENSG00000136574.17,chr8,11703447,11704304,TSS,True,58,100
ENSG00000136574.17,chr8,11707853,11708928,TSS,True,85,100
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,81,523
ENSG00000213563.6,chr8,144526639,144526959,IR,False,64,195
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,131,195
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,56,159
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,38,195
ENSG00000171033.12,chr8,78516306,78516468,TSS,True,25,136
ENSG00000171033.12,chr8,78591226,78591283,TSS,False,121,136
ENSG00000175445.15,chr8,19939222,19939528,TSS,True,208,1020
ENSG00000175445.15,chr8,19948179,19948340,TSS,True,909,1019
ENSG00000120885.21,chr8,27614654,27614703,TSS,True,35,168
ENSG00000137547.8,chr8,54135205,54135391,TSS,True,18,125
ENSG00000067225.17,chr15,72200655,72206727,ME,False,1175,1678
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,217,1724
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,114,166
ENSG00000068305.17,chr15,99566104,99632977,ES,False,29,114
ENSG00000068305.17,chr15,99645764,99674392,ME,False,36,116
ENSG00000068305.17,chr15,99690428,99706728,ES,False,21,119
ENSG00000068305.17,chr15,99565428,99566104,TSS,True,51,165
ENSG00000178761.14,chr15,74902783,74904663,3AS,False,31,115
ENSG00000178761.14,chr15,74905231,74906586,ES,False,25,102
ENSG00000178761.14,chr15,74899989,74902786,PAS,True,41,118
ENSG00000178761.14,chr15,74899986,74902783,PAS,True,86,118
ENSG00000178761.14,chr15,74906586,74907348,TSS,False,21,124
ENSG00000140374.15,chr15,76292700,76311349,ES,False,42,260
ENSG00000182253.14,chr15,99105076,99106009,TSS,True,100,204
ENSG00000182253.14,chr15,99129440,99131813,TSS,True,101,143
ENSG00000182253.14,chr15,99129366,99135583,PAS,True,45,105
ENSG00000182253.14,chr15,99132749,99135593,PAS,True,62,147
ENSG00000205363.5,chr15,73739798,73740642,PAS,True,24,135
ENSG00000205363.5,chr15,73752109,73753383,TSS,True,46,160
ENSG00000205363.5,chr15,73750974,73751546,TSS,True,139,160
ENSG00000166831.8,chr15,64775232,64775620,TSS,False,156,206
ENSG00000140416.20,chr15,63042137,63042943,TSS,True,1307,12559
ENSG00000166173.10,chr15,70853888,70854159,TSS,True,16,104
ENSG00000170776.21,chr15,85658590,85664562,ES,False,37,102
ENSG00000170776.21,chr15,85669830,85682157,ES,True,72,113
ENSG00000170776.21,chr15,85380473,85380798,TSS,True,88,173
ENSG00000170776.21,chr15,85578991,85582107,TSS,True,127,151
ENSG00000170776.21,chr15,85684740,85686620,PAS,True,40,135
ENSG00000140403.12,chr15,78264470,78264895,TSS,True,34,236
ENSG00000103994.17,chr15,42412815,42417360,PAS,True,247,343
ENSG00000103994.17,chr15,42446589,42446658,PAS,False,147,284
ENSG00000103994.17,chr15,42449664,42451954,PAS,False,159,233
ENSG00000103994.17,chr15,42490979,42491144,TSS,True,410,495
ENSG00000103994.17,chr15,42456957,42457532,TSS,True,350,486
ENSG00000138615.5,chr15,65211427,65211474,TSS,False,44,220
ENSG00000129038.15,chr15,73926446,73927885,TSS,True,12,109
ENSG00000159251.7,chr15,34795505,34795733,TSS,False,2045,5942
ENSG00000159251.7,chr15,34794679,34795489,TSS,True,4877,5942
ENSG00000128739.22,chr15,24954852,24955062,TSS,True,96,350
ENSG00000128739.22,chr15,24856512,24856716,TSS,True,294,350
ENSG00000136383.6,chr15,84817197,84817595,TSS,False,104,118
ENSG00000137801.10,chr15,39581076,39581228,TSS,True,116,134
ENSG00000137801.10,chr15,39581080,39582752,TSS,True,118,134
ENSG00000137801.10,chr15,39589100,39589354,TSS,True,110,132
ENSG00000137801.10,chr15,39589784,39590023,TSS,True,104,130
ENSG00000176463.13,chr15,91853099,91854088,TSS,True,32,173
ENSG00000176463.13,chr15,92171779,92172436,PAS,True,69,170
ENSG00000176463.13,chr15,92162755,92165907,PAS,True,108,166
ENSG00000103966.10,chr15,41972258,41972597,TSS,True,57,200
ENSG00000103966.10,chr15,41919209,41919714,TSS,True,175,197
ENSG00000166710.18,chr15,44711414,44711613,TSS,True,84,577
ENSG00000182768.8,chr15,90265669,90266398,TSS,True,50,451
ENSG00000114062.19,chr15,25405502,25411907,ES,False,16,110
ENSG00000114062.19,chr15,25405502,25438488,ES,False,116,227
ENSG00000114062.19,chr15,25438488,25439115,TSS,True,26,257
ENSG00000182054.9,chr15,90102275,90102512,TSS,True,117,1156
ENSG00000182774.12,chr15,82540425,82540460,TSS,True,48,208
ENSG00000182774.12,chr15,82539980,82540445,TSS,True,181,208
ENSG00000179010.14,chr4,6640708,6640827,IR,False,34,166
ENSG00000179010.14,chr4,6640655,6640708,TSS,False,138,172
ENSG00000179010.14,chr4,6640682,6641258,TSS,True,40,172
ENSG00000109390.11,chr4,139300601,139302521,TSS,True,113,132
ENSG00000109390.11,chr4,139295731,139295834,TSS,False,21,132
ENSG00000226950.6,chr4,52712433,52712527,TSS,True,67,133
ENSG00000151726.13,chr4,184825915,184826101,TSS,True,155,374
ENSG00000151726.13,chr4,184805526,184805712,TSS,False,288,374
ENSG00000090316.15,chr4,1289834,1289982,TSS,True,17,113
ENSG00000064042.17,chr4,41685830,41689526,ES,False,57,187
ENSG00000064042.17,chr4,41687917,41689526,5AS,True,96,131
ENSG00000064042.17,chr4,41360561,41360936,TSS,True,120,255
ENSG00000064042.17,chr4,41538063,41538350,TSS,True,196,254
ENSG00000064042.17,chr4,41697159,41700044,PAS,True,57,248
ENSG00000064042.17,chr4,41646122,41646276,PAS,True,171,216
ENSG00000071127.16,chr4,10116650,10116986,TSS,True,87,446
ENSG00000109501.13,chr4,6269831,6270014,TSS,True,56,129
ENSG00000169020.9,chr4,674211,674287,TSS,True,34,317
ENSG00000087274.16,chr4,2843837,2844024,TSS,True,107,155
ENSG00000152583.12,chr4,87472765,87473803,PAS,True,29,132
ENSG00000152583.12,chr4,87493625,87494598,PAS,True,99,124
ENSG00000152583.12,chr4,87529044,87529466,TSS,True,15,132
ENSG00000065882.15,chr4,38049898,38054198,ES,False,28,112
ENSG00000065882.15,chr4,37890618,37891348,TSS,True,129,145
ENSG00000065882.15,chr4,37977291,37977529,TSS,False,66,142
ENSG00000065882.15,chr4,38014506,38014973,TSS,False,112,142
ENSG00000145349.16,chr4,113454515,113457334,ES,False,80,446
ENSG00000145349.16,chr4,113500511,113509637,ME,False,103,309
ENSG00000145349.16,chr4,113500511,113509637,ES,False,148,463
ENSG00000145349.16,chr4,113509672,113513327,3AS,False,178,475
ENSG00000109686.17,chr4,151119740,151122207,PAS,True,14,108
ENSG00000109686.17,chr4,151325240,151325870,TSS,False,66,123
ENSG00000109686.17,chr4,151174669,151175605,TSS,True,91,120
ENSG00000129116.18,chr4,168894677,168898492,ES,False,191,1374
ENSG00000129116.18,chr4,168925078,168926212,ES,False,185,1342
ENSG00000129116.18,chr4,168925078,168926212,3AS,True,185,222
ENSG00000129116.18,chr4,168831990,168832171,TSS,True,834,1663
ENSG00000129116.18,chr4,168877717,168878394,TSS,True,1123,1663
ENSG00000129116.18,chr4,168926212,168928475,PAS,True,255,1601
ENSG00000129116.18,chr4,168924254,168924387,PAS,True,1386,1585
ENSG00000109475.16,chr4,108620535,108620600,TSS,False,90,243
ENSG00000109475.16,chr4,108620576,108622024,TSS,True,200,243
ENSG00000109475.16,chr4,108622513,108622618,TSS,True,212,242
ENSG00000163110.14,chr4,94451851,94451995,TSS,True,133,470
ENSG00000163110.14,chr4,94663977,94668223,PAS,True,248,416
ENSG00000163110.14,chr4,94586988,94588564,PAS,True,182,395
ENSG00000109332.19,chr4,102797460,102799406,ES,False,239,283
ENSG00000109332.19,chr4,102827426,102827835,TSS,True,167,294
ENSG00000109332.19,chr4,102826484,102827192,TSS,True,207,294
ENSG00000109332.19,chr4,102827591,102827920,TSS,True,264,294
ENSG00000154553.14,chr4,185535341,185535526,TSS,True,25,100
ENSG00000014824.13,chr4,42086081,42091812,PAS,True,14,124
ENSG00000109189.12,chr4,52659114,52659323,TSS,True,17,113
ENSG00000109171.14,chr4,48383784,48420124,ES,False,20,101
ENSG00000109171.14,chr4,48341419,48342128,TSS,False,22,116
ENSG00000151729.10,chr4,185145899,185146554,IR,True,95,174
ENSG00000205678.7,chr4,64275197,64277051,PAS,False,263,318
ENSG00000205678.7,chr4,64277688,64280199,PAS,True,62,290
ENSG00000205678.7,chr4,64409117,64409569,TSS,True,61,318
ENSG00000129128.12,chr4,176328197,176332237,PAS,True,23,103
ENSG00000129128.12,chr4,176331192,176333048,PAS,True,84,103
ENSG00000175920.17,chr4,3463429,3463505,IR,True,97,111
ENSG00000175920.17,chr4,3461743,3463429,TSS,False,99,196
ENSG00000175920.17,chr4,3484349,3485160,TSS,True,151,196
ENSG00000109572.13,chr4,169620514,169621063,TSS,True,61,107
ENSG00000109572.13,chr4,169660192,169660448,TSS,False,71,107
ENSG00000168936.10,chr4,1717428,1717515,IR,True,97,109
ENSG00000168936.10,chr4,1717675,1718151,IR,True,87,109
ENSG00000168936.10,chr4,1715906,1717428,PAS,True,13,112
ENSG00000168936.10,chr4,1720632,1721320,TSS,True,43,122
ENSG00000168936.10,chr4,1718151,1718605,TSS,False,109,122
ENSG00000172403.10,chr4,118888842,118889141,TSS,True,133,159
ENSG00000172403.10,chr4,119026701,119027438,TSS,True,138,158
