gene,chr,start,end,splice_type,novel,PC-3_ENCFF044LIA_in_cov,PC-3_ENCFF044LIA_total_cov
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,41,193
ENSG00000275464.4,chr21,5154622,5154833,TSS,False,64,206
ENSG00000180530.10,chr21,15064744,15065077,TSS,True,32,100
ENSG00000160284.14,chr21,46184355,46184486,TSS,True,20,113
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,55,418
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,117,154
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,110,154
ENSG00000185658.13,chr21,39192418,39197415,PAS,True,160,185
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,101,177
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,99,170
ENSG00000185658.13,chr21,39313442,39314127,TSS,True,25,193
ENSG00000155313.15,chr21,15730438,15762890,5AS,True,78,100
ENSG00000155313.15,chr21,15729916,15730438,TSS,False,33,112
ENSG00000155313.15,chr21,15729953,15730688,TSS,True,88,112
ENSG00000155313.15,chr21,15878302,15880118,PAS,True,12,111
ENSG00000160181.8,chr21,42350030,42350878,IR,True,325,365
ENSG00000160181.8,chr21,42350878,42351154,TSS,True,168,525
ENSG00000160181.8,chr21,42347485,42347662,TSS,True,455,520
ENSG00000115561.15,chr2,86503429,86505949,PAS,True,14,132
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,47,170
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,27,125
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,68,108
ENSG00000135930.13,chr2,232567077,232569210,PAS,True,87,105
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,61,108
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,49,112
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,66,112
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,237,386
ENSG00000071054.16,chr2,101859864,101864929,ME,False,35,143
ENSG00000071054.16,chr2,101859864,101864929,ES,False,256,412
ENSG00000071054.16,chr2,101860986,101864929,ES,False,108,122
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,89,419
ENSG00000071054.16,chr2,101867309,101869621,5AS,False,336,415
ENSG00000071054.16,chr2,101870415,101873646,ES,False,161,416
ENSG00000071054.16,chr2,101887237,101887777,5AS,False,321,413
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,126,637
ENSG00000071054.16,chr2,101891165,101894689,PAS,True,191,605
ENSG00000071054.16,chr2,101855976,101856832,PAS,True,437,553
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,93,668
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,115,668
ENSG00000138035.14,chr2,55686440,55687644,3AS,True,27,192
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,35,308
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,1054,1174
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,205,1370
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,40,145
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,30,211
ENSG00000143977.13,chr2,70293617,70293740,TSS,True,111,187
ENSG00000175874.9,chr2,101382690,101383532,IR,True,29,100
ENSG00000175874.9,chr2,101348760,101351070,PAS,False,134,162
ENSG00000175874.9,chr2,101381567,101383080,PAS,False,133,149
ENSG00000175874.9,chr2,101381567,101382690,PAS,False,133,162
ENSG00000175874.9,chr2,101381567,101383702,PAS,True,77,148
ENSG00000175874.9,chr2,101387016,101387473,TSS,True,25,169
ENSG00000115339.13,chr2,165794014,165794777,TSS,True,51,295
ENSG00000119787.13,chr2,38296113,38298143,IR,True,83,102
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,31,114
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,32,114
ENSG00000119787.13,chr2,38298143,38298561,TSS,True,102,114
ENSG00000134326.11,chr2,6865021,6866087,TSS,True,37,153
ENSG00000134326.11,chr2,6866425,6866634,TSS,False,131,153
ENSG00000023228.13,chr2,206159340,206159522,TSS,True,17,113
ENSG00000204634.12,chr2,101033758,101037531,ME,True,114,133
ENSG00000204634.12,chr2,101059539,101090253,5AS,False,92,116
ENSG00000204634.12,chr2,101005932,101008273,PAS,False,74,182
ENSG00000204634.12,chr2,101033122,101033758,PAS,True,102,144
ENSG00000204634.12,chr2,101151126,101151527,TSS,True,72,182
ENSG00000144029.11,chr2,95085931,95087581,PAS,True,15,105
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,59,245
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,34,102
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,35,216
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,22,111
ENSG00000180902.17,chr2,241734573,241734695,TSS,True,48,113
ENSG00000138073.13,chr2,27133337,27133531,IR,False,164,184
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,38,200
ENSG00000036257.12,chr2,224535641,224584943,ES,True,35,251
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,85,244
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,215,244
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,205,1116
ENSG00000013441.15,chr2,200864563,200864728,TSS,True,16,103
ENSG00000196504.16,chr2,152677475,152679351,ES,False,16,134
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,101,137
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,125,153
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,132,151
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,84,150
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,70,158
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,122,158
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,67,120
ENSG00000183513.8,chr2,98604107,98608481,TSS,True,98,119
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,21,144
ENSG00000115648.13,chr2,237518648,237525600,ES,False,86,462
ENSG00000115648.13,chr2,237527516,237540347,ES,False,278,416
ENSG00000115648.13,chr2,237540533,237542566,ES,False,77,433
ENSG00000115648.13,chr2,237542659,237546605,3AS,True,327,437
ENSG00000115648.13,chr2,237487108,237487437,TSS,True,204,597
ENSG00000115648.13,chr2,237553565,237555309,PAS,True,145,596
ENSG00000196141.13,chr2,200419496,200440648,ES,False,293,395
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,593,659
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,147,659
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,238,641
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,420,611
ENSG00000172845.14,chr2,173956232,173964404,ES,False,16,123
ENSG00000172845.14,chr2,173963874,173964404,3AS,True,13,108
ENSG00000172845.14,chr2,173963760,173964255,TSS,True,143,285
ENSG00000172845.14,chr2,173965164,173965867,TSS,True,231,285
ENSG00000172845.14,chr2,173964404,173964743,TSS,False,214,285
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,48,117
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,105,117
ENSG00000152291.13,chr2,85327916,85328000,TSS,True,81,115
ENSG00000115963.13,chr2,150487455,150487548,IR,False,105,374
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,130,392
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,287,392
ENSG00000135945.9,chr2,99400473,99401352,PAS,True,100,122
ENSG00000135945.9,chr2,99403037,99403106,PAS,True,59,122
ENSG00000135945.9,chr2,99437006,99439310,PAS,True,87,112
ENSG00000135945.9,chr2,99489816,99490218,TSS,True,13,122
ENSG00000115756.12,chr2,10396920,10408561,ES,True,84,109
ENSG00000115756.12,chr2,10396920,10419733,ES,False,577,707
ENSG00000204262.12,chr2,189225147,189225225,TSS,False,141,343
ENSG00000125630.15,chr2,112541877,112542671,TSS,True,23,122
ENSG00000168906.12,chr2,85542373,85542564,IR,False,405,460
ENSG00000168906.12,chr2,85543034,85543669,IR,True,133,470
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,239,682
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,339,472
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,177,472
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,136,184
ENSG00000065911.11,chr2,74198742,74205704,ES,True,548,642
ENSG00000065911.11,chr2,74198742,74207703,ES,False,81,725
ENSG00000176720.5,chr2,241558697,241558993,TSS,False,75,101
ENSG00000143797.11,chr2,8943264,9003539,ES,True,16,141
ENSG00000143797.11,chr2,9003539,9003882,TSS,True,19,176
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,147,870
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,254,668
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,338,388
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,156,387
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,39,293
ENSG00000173209.23,chr2,61185618,61186445,IR,False,49,156
ENSG00000173209.23,chr2,61177410,61179171,TSS,True,28,173
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,294,331
ENSG00000077232.17,chr2,182732542,182740298,ES,False,69,450
ENSG00000115694.14,chr2,241499414,241500172,IR,False,180,228
ENSG00000115694.14,chr2,241501708,241508442,ES,False,25,114
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,17,108
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,240,327
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,211,327
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,191,919
ENSG00000135931.17,chr2,231235381,231256585,ES,False,18,140
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,110,182
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,132,182
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,58,151
ENSG00000135931.17,chr2,231371512,231376850,PAS,True,159,179
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,84,133
ENSG00000198925.11,chr2,219224105,219224710,TSS,True,119,133
ENSG00000170485.16,chr2,100993527,100995795,3AS,False,55,115
ENSG00000170485.16,chr2,100820061,100820414,TSS,False,129,306
ENSG00000170485.16,chr2,100993346,100993527,TSS,True,119,147
ENSG00000170485.16,chr2,100995795,100996831,PAS,False,249,306
ENSG00000170485.16,chr2,100995399,100996830,PAS,True,218,279
ENSG00000170485.16,chr2,100934859,100936979,PAS,True,82,199
ENSG00000115419.12,chr2,190931637,190932715,3AS,False,135,155
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,44,179
ENSG00000115419.12,chr2,190932656,190935568,PAS,True,159,179
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,855,1387
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,915,1387
ENSG00000115307.16,chr2,74528935,74529131,IR,False,321,367
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,244,625
ENSG00000085978.21,chr2,233273052,233274675,ES,False,59,209
ENSG00000085978.21,chr2,233289974,233290247,IR,False,187,208
ENSG00000085978.21,chr2,233251640,233251942,TSS,True,32,227
ENSG00000128699.13,chr2,189782602,189783013,IR,False,59,235
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,136,282
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,198,293
ENSG00000171055.14,chr2,36550646,36553179,PAS,True,25,129
ENSG00000171055.14,chr2,36578596,36579017,TSS,False,174,225
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,100,120
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,36,147
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,336,778
ENSG00000055332.17,chr2,37148939,37156907,3AS,False,37,120
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,51,225
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,181,224
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,115,242
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,168,242
ENSG00000114993.16,chr2,74424144,74426574,PAS,True,14,126
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,52,137
ENSG00000114993.16,chr2,74427423,74427576,TSS,True,111,127
ENSG00000114993.16,chr2,74440352,74440824,TSS,True,114,137
ENSG00000168894.9,chr2,85595721,85595849,TSS,True,22,124
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,307,507
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,327,507
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,406,507
ENSG00000135966.12,chr2,105329624,105330200,TSS,False,34,106
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,39,158
ENSG00000119041.10,chr2,196799509,196799723,TSS,True,17,109
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,40,164
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,137,164
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,47,156
ENSG00000118260.14,chr2,207529893,207530134,TSS,True,21,100
ENSG00000085449.14,chr2,223945147,223945383,TSS,True,19,103
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,76,203
ENSG00000115806.12,chr2,170962917,170962946,TSS,True,175,196
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,62,227
ENSG00000170035.15,chr2,180981038,180981385,TSS,False,197,227
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,39,104
ENSG00000114978.17,chr2,74159090,74159138,TSS,True,85,104
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,47,171
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,131,171
ENSG00000055044.10,chr2,202265235,202265986,TSS,True,32,112
ENSG00000163083.5,chr2,120345037,120346636,TSS,False,158,206
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,25,114
ENSG00000155368.16,chr2,119366912,119367060,TSS,False,12,101
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,11,100
ENSG00000198648.10,chr2,168247227,168247894,TSS,False,22,202
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,34,103
ENSG00000184182.18,chr2,238030553,238030613,TSS,True,82,103
ENSG00000138069.17,chr2,65129892,65130116,TSS,True,28,267
ENSG00000243147.7,chr2,27772692,27779432,ES,False,57,106
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,108,213
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,26,242
ENSG00000144028.14,chr2,96284743,96285340,PAS,True,97,116
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,160,227
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,222,249
ENSG00000198522.13,chr2,27629952,27632632,ES,False,16,134
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,41,147
ENSG00000163162.8,chr2,101275427,101277281,PAS,False,27,209
ENSG00000003436.15,chr2,187503770,187554199,ES,False,97,129
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,52,165
ENSG00000003436.15,chr2,187477776,187478803,PAS,True,104,147
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,33,166
ENSG00000003436.15,chr2,187467752,187467806,TSS,True,96,114
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,48,130
ENSG00000071575.11,chr2,12723257,12723552,TSS,True,103,130
ENSG00000128641.18,chr2,191400468,191408114,ES,False,111,159
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,57,182
ENSG00000066248.14,chr2,232927892,232928408,TSS,False,155,449
ENSG00000138434.16,chr2,181919446,181921947,ES,False,38,121
ENSG00000138434.16,chr2,181922412,181929560,ES,False,19,120
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,39,139
ENSG00000138434.16,chr2,181915344,181916427,TSS,True,111,128
ENSG00000138434.16,chr2,181929560,181930739,PAS,True,15,137
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,21,170
ENSG00000151693.10,chr2,9206590,9207230,TSS,False,69,120
ENSG00000151693.10,chr2,9403252,9405679,PAS,True,23,112
ENSG00000035141.7,chr2,70300980,70301924,3AS,False,115,135
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,132,302
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,40,125
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,41,277
ENSG00000123983.13,chr2,222887888,222908732,ES,False,427,658
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,33,108
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,95,107
ENSG00000171853.15,chr2,3379682,3379876,TSS,True,97,143
ENSG00000171853.15,chr2,3386936,3388670,TSS,False,100,143
ENSG00000171853.15,chr2,3479218,3480457,PAS,True,12,102
ENSG00000067066.16,chr2,230416328,230442936,ES,False,37,219
ENSG00000067066.16,chr2,230411725,230416328,TSS,True,30,249
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,46,238
ENSG00000168397.16,chr2,241651335,241653511,ES,False,70,104
ENSG00000168397.16,chr2,241671405,241672190,IR,False,107,152
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,143,244
ENSG00000168397.16,chr2,241654696,241655343,TSS,True,208,240
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,60,169
ENSG00000168397.16,chr2,241671311,241673857,PAS,True,124,167
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,31,128
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,68,117
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,58,126
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,77,126
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,20,117
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,90,187
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,167,187
ENSG00000170144.20,chr2,177222059,177223959,PAS,True,146,178
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,36,135
ENSG00000163516.13,chr2,219230350,219231927,5AS,False,26,119
ENSG00000163516.13,chr2,219234288,219234825,IR,False,57,135
ENSG00000163516.13,chr2,219235312,219235473,IR,False,56,139
ENSG00000163516.13,chr2,219235585,219235707,IR,False,83,141
ENSG00000163516.13,chr2,219229756,219229900,TSS,False,36,152
ENSG00000171865.9,chr2,3548720,3549057,3AS,True,20,148
ENSG00000171865.9,chr2,3558132,3558375,TSS,False,20,167
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,112,729
ENSG00000135631.16,chr2,73112346,73112979,TSS,True,64,111
ENSG00000135631.16,chr2,73079650,73080356,TSS,True,96,111
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,129,167
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,23,152
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,53,252
ENSG00000198369.9,chr2,65431961,65432768,TSS,True,84,100
ENSG00000119203.13,chr2,9423335,9423823,TSS,False,31,127
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,77,421
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,332,405
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,89,443
ENSG00000163161.13,chr2,127289824,127290223,IR,False,93,105
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,18,120
ENSG00000143889.15,chr2,38602437,38602937,TSS,True,14,126
ENSG00000011566.14,chr2,39299801,39309460,ES,False,203,261
ENSG00000011566.14,chr2,39247566,39250705,PAS,True,47,288
ENSG00000144231.10,chr2,127850685,127858027,ES,True,29,110
ENSG00000138363.14,chr2,215312161,215312497,IR,False,111,132
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,87,198
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,177,198
ENSG00000138363.14,chr2,215346755,215346941,TSS,True,157,196
ENSG00000144366.15,chr2,188383889,188477658,ES,False,248,287
ENSG00000144366.15,chr2,188529195,188569238,ES,False,42,279
ENSG00000144366.15,chr2,188291589,188292166,TSS,True,197,365
ENSG00000144366.15,chr2,188292763,188293112,TSS,True,278,365
ENSG00000144366.15,chr2,188593939,188595949,PAS,True,37,302
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,259,1172
ENSG00000115758.12,chr2,10444094,10444350,TSS,True,1043,1172
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,88,311
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,164,939
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,789,925
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,142,950
ENSG00000135916.15,chr2,230865145,230875619,ES,False,65,353
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,225,578
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,517,578
ENSG00000065548.17,chr2,186486216,186486457,TSS,True,17,112
