gene,chr,start,end,splice_type,novel,GM12878_ENCFF225CCJ_in_cov,GM12878_ENCFF225CCJ_total_cov
ENSG00000154640.14,chr21,17598824,17604859,ES,False,184,206
ENSG00000160194.17,chr21,42897047,42908863,ES,True,16,107
ENSG00000160194.17,chr21,42908863,42909673,PAS,True,20,133
ENSG00000160194.17,chr21,42903181,42903832,PAS,False,111,129
ENSG00000159110.19,chr21,33230216,33241885,3AS,False,82,116
ENSG00000159110.19,chr21,33262560,33264526,PAS,True,42,126
ENSG00000159110.19,chr21,33252661,33252949,PAS,True,106,125
ENSG00000275895.6,chr21,6487412,6495992,ME,False,44,179
ENSG00000160255.17,chr21,44920820,44920972,TSS,True,28,126
PB_novel_85429,chr21,19275795,19277418,PAS,True,20,128
PB_novel_85429,chr21,19368987,19369112,TSS,True,103,128
PB_novel_85429,chr21,19368329,19368664,TSS,True,104,128
PB_novel_85429,chr21,19368766,19369056,TSS,True,68,128
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,103,356
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,274,356
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,859,2850
ENSG00000115053.15,chr2,231460697,231460866,PAS,True,2483,2803
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,119,770
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,143,286
ENSG00000115761.15,chr2,10600867,10600942,PAS,True,244,284
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,217,284
ENSG00000196290.14,chr2,200889391,200891968,3AS,False,21,100
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,130,234
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,152,234
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,193,225
ENSG00000143942.4,chr2,53771942,53774141,5AS,True,105,117
ENSG00000115750.16,chr2,9933782,9934491,PAS,True,62,119
ENSG00000115750.16,chr2,9911510,9911556,PAS,True,94,118
ENSG00000204120.14,chr2,232697392,232703423,ES,False,125,172
ENSG00000204120.14,chr2,232703489,232735154,ES,False,97,173
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,31,222
ENSG00000204120.14,chr2,232791007,232791139,PAS,True,163,201
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,152,203
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,172,207
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,147,203
ENSG00000115241.10,chr2,27381192,27381805,PAS,True,29,244
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,33,248
ENSG00000163510.13,chr2,179943654,179945715,PAS,True,59,211
ENSG00000163510.13,chr2,179963335,179964628,PAS,True,170,205
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,31,211
ENSG00000158019.20,chr2,27890842,27894532,ES,False,272,316
ENSG00000158019.20,chr2,28298491,28338449,ES,True,257,322
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,53,182
ENSG00000124356.15,chr2,73850381,73850513,TSS,True,159,177
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,66,108
ENSG00000144136.10,chr2,112645939,112647162,TSS,True,95,108
ENSG00000144136.10,chr2,112656829,112659094,TSS,True,87,103
ENSG00000079263.18,chr2,230245071,230245862,5AS,False,92,295
ENSG00000079263.18,chr2,230245071,230247915,ES,True,45,136
ENSG00000079263.18,chr2,230245071,230247915,5AS,True,45,309
ENSG00000079263.18,chr2,230245080,230247915,ES,False,67,264
ENSG00000079263.18,chr2,230248968,230255451,ES,False,80,343
ENSG00000079263.18,chr2,230251061,230253333,3AS,True,75,227
ENSG00000079263.18,chr2,230251061,230255451,ES,False,44,266
ENSG00000079263.18,chr2,230310039,230310769,3AS,True,12,109
ENSG00000079263.18,chr2,230225714,230225903,TSS,True,72,558
ENSG00000079263.18,chr2,230270585,230273379,PAS,True,341,538
ENSG00000079263.18,chr2,230312585,230313217,PAS,True,452,558
ENSG00000013441.15,chr2,200859746,200861237,ES,False,96,272
ENSG00000013441.15,chr2,200859746,200861237,IR,False,96,107
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,136,177
ENSG00000196504.16,chr2,152677475,152679351,ES,False,166,981
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,797,968
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,320,1005
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,277,1018
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,847,1018
ENSG00000162928.8,chr2,61048471,61051726,PAS,False,19,121
ENSG00000074582.13,chr2,218659743,218660938,ES,False,53,105
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,27,145
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,2403,2885
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,657,2952
ENSG00000064012.21,chr2,201233451,201233622,TSS,True,57,110
ENSG00000064012.21,chr2,201233448,201233554,TSS,True,91,110
ENSG00000064012.21,chr2,201286458,201287721,PAS,True,56,110
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,17,121
ENSG00000198399.14,chr2,24315224,24328051,ES,False,182,208
ENSG00000198399.14,chr2,24271840,24271941,PAS,True,162,238
ENSG00000198399.14,chr2,24275711,24275849,PAS,True,176,237
ENSG00000198399.14,chr2,24291507,24293775,PAS,True,190,237
ENSG00000198399.14,chr2,24360303,24360807,TSS,True,42,255
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,232,379
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,328,382
ENSG00000138385.15,chr2,169810857,169811047,PAS,True,307,380
ENSG00000138385.15,chr2,169808481,169808554,PAS,True,322,379
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,28,107
ENSG00000068784.12,chr2,45384541,45389599,PAS,True,39,104
ENSG00000068784.12,chr2,45392944,45393129,PAS,True,88,104
ENSG00000068784.12,chr2,45611218,45611308,TSS,False,41,105
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,89,820
ENSG00000197872.11,chr2,16665779,16665878,TSS,True,26,192
ENSG00000065911.11,chr2,74198742,74205704,ES,True,1163,1306
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,344,2062
ENSG00000135899.17,chr2,230176473,230176724,PAS,True,92,115
ENSG00000135899.17,chr2,230185992,230186143,PAS,True,102,114
ENSG00000135899.17,chr2,230209929,230210008,PAS,True,69,112
ENSG00000135899.17,chr2,230219873,230220109,TSS,True,31,121
ENSG00000135899.17,chr2,230225534,230225646,TSS,False,108,121
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,203,231
ENSG00000124831.18,chr2,237749197,237749324,TSS,True,196,229
ENSG00000124831.18,chr2,237752642,237753479,TSS,True,100,220
ENSG00000132305.20,chr2,86143046,86144881,PAS,True,57,111
ENSG00000132305.20,chr2,86195337,86195559,TSS,True,26,116
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,301,352
ENSG00000018699.12,chr2,32820815,32823699,PAS,True,57,411
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,22,114
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,53,107
ENSG00000168385.17,chr2,241315982,241324215,ES,False,419,519
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,182,728
ENSG00000189223.14,chr2,113235505,113235570,TSS,True,16,103
ENSG00000189223.14,chr2,113265475,113267010,PAS,True,55,103
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,127,218
ENSG00000115677.16,chr2,241247055,241247142,PAS,True,149,174
ENSG00000115677.16,chr2,241256186,241256399,PAS,True,81,151
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,191,218
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,114,219
ENSG00000119760.15,chr2,27661388,27662178,IR,False,100,114
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,116,132
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,34,150
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,134,150
ENSG00000115271.10,chr2,162344099,162344275,TSS,True,90,343
ENSG00000128699.13,chr2,189782602,189783013,IR,False,224,335
ENSG00000128699.13,chr2,189782602,189784268,ES,False,101,275
ENSG00000128699.13,chr2,189782602,189784268,3AS,False,101,122
ENSG00000128699.13,chr2,189783123,189783878,IR,True,28,132
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,362,448
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,159,455
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,430,1235
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,843,1234
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,84,106
ENSG00000173744.17,chr2,227534727,227535025,TSS,True,68,104
ENSG00000173744.17,chr2,227536073,227536704,TSS,True,84,103
ENSG00000173744.17,chr2,227536946,227536993,TSS,False,92,103
ENSG00000055332.17,chr2,37148939,37156907,3AS,False,51,103
ENSG00000055332.17,chr2,37104698,37107395,PAS,True,63,156
ENSG00000055332.17,chr2,37106506,37107527,PAS,True,120,155
ENSG00000055332.17,chr2,37156907,37157204,TSS,True,58,167
ENSG00000055332.17,chr2,37148856,37149260,TSS,True,141,166
ENSG00000115685.14,chr2,241150547,241157806,ES,False,85,221
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,48,270
ENSG00000115685.14,chr2,241149548,241149708,TSS,False,235,270
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,66,270
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,214,269
ENSG00000065413.19,chr2,196986661,196990927,PAS,True,88,123
ENSG00000065413.19,chr2,196994365,196995461,PAS,True,101,116
ENSG00000065413.19,chr2,197310577,197310885,TSS,True,55,126
ENSG00000118260.14,chr2,207560372,207567462,ES,False,121,194
ENSG00000118260.14,chr2,207529893,207530134,TSS,True,23,211
ENSG00000119185.12,chr2,9406905,9408112,ES,False,42,218
ENSG00000119185.12,chr2,9418732,9423372,ES,False,158,185
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,29,230
ENSG00000115392.11,chr2,58162947,58163028,IR,False,303,340
ENSG00000115392.11,chr2,58165874,58198593,ES,False,242,275
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,242,304
ENSG00000163600.12,chr2,203936725,203936872,TSS,True,27,211
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,97,447
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,366,444
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,738,1238
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,893,1238
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,910,1238
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,83,530
ENSG00000196975.15,chr2,69781512,69781574,TSS,True,459,530
ENSG00000155636.14,chr2,178120409,178121179,3AS,False,111,133
ENSG00000155636.14,chr2,178129396,178133637,PAS,True,16,138
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,113,562
ENSG00000138092.10,chr2,24793134,24793501,TSS,True,56,121
ENSG00000138092.10,chr2,24793141,24793520,TSS,True,91,121
ENSG00000138092.10,chr2,24819353,24822380,PAS,True,26,106
ENSG00000138399.17,chr2,169537340,169540050,ES,False,53,194
ENSG00000138399.17,chr2,169563350,169571652,ES,False,51,214
ENSG00000138399.17,chr2,169528115,169529926,PAS,True,82,244
ENSG00000138399.17,chr2,169531388,169531490,PAS,True,206,244
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,30,244
ENSG00000169679.14,chr2,110635467,110638159,PAS,True,109,346
ENSG00000169679.14,chr2,110664594,110666414,PAS,True,255,285
ENSG00000169679.14,chr2,110677969,110678089,TSS,True,72,346
ENSG00000054219.10,chr2,159854142,159854535,PAS,True,84,105
ENSG00000054219.10,chr2,159904588,159904761,TSS,True,39,125
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,25,214
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,157,201
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,201,224
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,142,201
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,241,303
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,103,360
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,296,360
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,40,372
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,119,372
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,288,364
PB_novel_106766,chr2,122886545,122887726,PAS,True,48,108
PB_novel_106766,chr2,122748114,122750505,PAS,True,76,105
ENSG00000135968.20,chr2,108449280,108449632,5AS,False,161,182
ENSG00000135968.20,chr2,108448632,108449280,TSS,True,46,207
ENSG00000135968.20,chr2,108448986,108449289,TSS,True,186,207
ENSG00000135968.20,chr2,108469650,108472018,PAS,True,24,185
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,35,180
ENSG00000136560.13,chr2,161160486,161179613,ES,False,127,145
ENSG00000136560.13,chr2,161136917,161137063,TSS,True,212,742
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,593,742
ENSG00000115687.13,chr2,241126195,241127754,TSS,True,99,139
ENSG00000115687.13,chr2,241112239,241115069,TSS,True,57,134
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,532,1521
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,1070,1521
ENSG00000197223.11,chr2,68047319,68062957,ES,True,224,260
ENSG00000197223.11,chr2,68047319,68062957,5AS,False,224,391
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,189,454
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,275,454
ENSG00000163029.15,chr2,17745951,17753625,ES,False,252,287
ENSG00000163029.15,chr2,17703134,17703292,PAS,False,204,303
ENSG00000163029.15,chr2,17716742,17716905,PAS,False,268,301
ENSG00000163029.15,chr2,17717138,17717176,PAS,True,226,301
ENSG00000144034.14,chr2,73732285,73734428,ES,False,102,120
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,30,113
ENSG00000144034.14,chr2,73729872,73730029,PAS,True,18,124
ENSG00000144034.14,chr2,73729877,73730736,PAS,True,111,124
ENSG00000075884.13,chr2,143767988,143769101,PAS,True,58,572
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,196,248
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,255,2514
ENSG00000151665.12,chr2,46581591,46592474,ES,False,93,129
ENSG00000123983.13,chr2,222887888,222908732,ES,False,106,176
ENSG00000123983.13,chr2,222860975,222861258,TSS,True,29,222
ENSG00000123983.13,chr2,222941496,222944634,PAS,True,46,217
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,53,104
ENSG00000158417.10,chr2,99399306,99401326,PAS,True,67,104
ENSG00000124383.8,chr2,71149865,71150101,PAS,False,256,311
ENSG00000124383.8,chr2,71132897,71133451,PAS,False,182,297
ENSG00000124383.8,chr2,71149222,71149319,PAS,False,221,311
ENSG00000067066.16,chr2,230470098,230473383,3AS,False,133,324
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,388,1072
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,69,148
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,114,148
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,428,779
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,385,815
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,488,815
ENSG00000123485.11,chr2,233833682,233837652,PAS,True,38,338
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,46,191
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,93,238
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,192,238
ENSG00000170144.20,chr2,177219036,177219159,TSS,False,120,138
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,107,214
ENSG00000170144.20,chr2,177215977,177216381,PAS,True,96,192
ENSG00000158411.11,chr2,99168946,99169610,PAS,True,88,103
ENSG00000158411.11,chr2,99169152,99169470,PAS,True,30,103
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,138,169
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,19,157
ENSG00000235576.1,chr2,7725853,7730515,3AS,True,114,131
ENSG00000235576.1,chr2,7722468,7722825,TSS,True,131,152
ENSG00000235576.1,chr2,7725749,7725853,TSS,False,28,152
ENSG00000235576.1,chr2,7730515,7731353,PAS,False,20,146
ENSG00000235576.1,chr2,7730235,7731353,PAS,True,130,146
ENSG00000084090.13,chr2,96195549,96208538,5AS,True,22,116
ENSG00000084090.13,chr2,96208144,96208851,TSS,True,143,238
ENSG00000085760.14,chr2,55263865,55267568,ES,False,294,337
ENSG00000085760.14,chr2,55235583,55236820,PAS,True,270,361
ENSG00000085760.14,chr2,55237324,55237428,PAS,True,298,359
ENSG00000085760.14,chr2,55243171,55243668,PAS,True,229,359
ENSG00000085760.14,chr2,55243466,55244233,PAS,True,305,359
ENSG00000085760.14,chr2,55269168,55269358,TSS,True,57,361
ENSG00000125633.10,chr2,117915478,117920396,PAS,True,82,117
ENSG00000125633.10,chr2,117935494,117935579,PAS,False,51,117
ENSG00000115524.15,chr2,197401759,197401888,PAS,True,839,1160
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,483,1120
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,141,1203
ENSG00000163161.13,chr2,127294053,127294183,TSS,False,53,279
ENSG00000180228.12,chr2,178450965,178451206,TSS,True,57,457
ENSG00000134330.18,chr2,9474647,9478221,ES,False,34,194
ENSG00000134330.18,chr2,9473645,9473899,TSS,True,206,232
ENSG00000134330.18,chr2,9474107,9474647,TSS,True,34,232
ENSG00000144231.10,chr2,127850685,127858027,ES,True,41,329
ENSG00000028116.17,chr2,58046821,58048826,5AS,False,87,346
ENSG00000028116.17,chr2,58146474,58154758,3AS,False,48,130
ENSG00000028116.17,chr2,58146474,58159348,ES,False,202,332
ENSG00000028116.17,chr2,58046621,58046821,TSS,True,340,430
ENSG00000028116.17,chr2,58046636,58046868,TSS,True,167,430
ENSG00000028116.17,chr2,58131807,58134845,PAS,True,372,427
ENSG00000028116.17,chr2,58159348,58164001,PAS,True,99,431
ENSG00000115758.12,chr2,10448120,10448551,TSS,True,117,233
ENSG00000115758.12,chr2,10444473,10444959,TSS,True,207,231
ENSG00000115935.17,chr2,174634517,174634899,TSS,True,92,105
ENSG00000144381.16,chr2,197494250,197494652,5AS,True,109,124
ENSG00000144381.16,chr2,197494250,197494652,IR,True,109,130
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,3462,8582
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,5598,8542
ENSG00000065548.17,chr2,186504031,186504212,PAS,True,301,469
ENSG00000065548.17,chr2,186508542,186513371,PAS,True,228,472
ENSG00000068912.13,chr2,53801842,53809213,ES,False,21,121
ENSG00000068912.13,chr2,53817897,53818849,PAS,True,17,135
ENSG00000144224.16,chr2,135753567,135754158,IR,False,191,223
ENSG00000144224.16,chr2,135769768,135769823,PAS,True,138,228
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,198,231
ENSG00000144224.16,chr2,135761817,135761911,PAS,True,171,228
ENSG00000144224.16,chr2,135770570,135770636,PAS,True,194,228
ENSG00000163166.14,chr2,127477172,127481175,PAS,True,175,247
ENSG00000163166.14,chr2,127504733,127505752,PAS,True,117,233
ENSG00000163166.14,chr2,127526174,127527112,TSS,True,32,248
ENSG00000123600.19,chr2,171321979,171324362,PAS,True,16,157
ENSG00000123600.19,chr2,171434673,171434818,TSS,True,125,160
ENSG00000123600.19,chr2,171433882,171434142,TSS,True,61,160
ENSG00000143947.13,chr2,55232655,55232708,TSS,True,379,3191
ENSG00000143947.13,chr2,55232687,55232872,TSS,True,2847,3191
ENSG00000240344.8,chr2,200881488,200885697,ME,False,19,115
ENSG00000240344.8,chr2,200881488,200885697,ES,False,15,134
ENSG00000240344.8,chr2,200888955,200889279,TSS,True,29,137
ENSG00000240344.8,chr2,200889243,200889339,TSS,True,117,137
ENSG00000163798.13,chr2,27663427,27664577,TSS,True,20,157
ENSG00000163798.13,chr2,27685036,27687419,PAS,True,44,145
ENSG00000163798.13,chr2,27694633,27694976,PAS,True,130,157
ENSG00000003402.19,chr2,201140439,201141373,IR,True,159,297
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,321,468
ENSG00000003402.19,chr2,201129327,201130146,TSS,True,263,459
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,306,465
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,378,466
ENSG00000003402.19,chr2,201140356,201141605,PAS,True,315,462
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,282,346
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,103,381
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,317,381
ENSG00000138375.12,chr2,216412603,216413855,5AS,False,13,126
ENSG00000138375.12,chr2,216412430,216412648,TSS,True,77,188
ENSG00000138375.12,chr2,216412495,216412798,TSS,False,156,188
ENSG00000138074.14,chr2,27212019,27212307,TSS,False,93,111
ENSG00000138074.14,chr2,27211899,27211980,TSS,True,77,111
ENSG00000138074.14,chr2,27211766,27211914,TSS,False,84,111
ENSG00000138376.10,chr2,214725634,214729008,PAS,True,76,234
ENSG00000138376.10,chr2,214778257,214781509,PAS,False,178,224
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,850,2996
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,2342,2996
ENSG00000119801.12,chr2,30147062,30156627,ES,False,151,180
ENSG00000151689.12,chr2,190343583,190343961,TSS,False,92,140
ENSG00000151689.12,chr2,190360041,190360306,TSS,True,66,140
ENSG00000136709.11,chr2,127721848,127721988,PAS,True,187,343
ENSG00000136709.11,chr2,127762506,127764979,PAS,True,191,341
ENSG00000138071.13,chr2,65227761,65227957,TSS,True,81,662
ENSG00000114956.19,chr2,73927052,73946718,ES,False,127,215
ENSG00000114956.19,chr2,73946906,73958145,ES,False,54,206
ENSG00000168883.19,chr2,85648853,85649016,IR,False,37,260
ENSG00000168883.19,chr2,85616102,85616463,TSS,True,34,273
ENSG00000168883.19,chr2,85648760,85649284,PAS,True,50,273
ENSG00000168883.19,chr2,85649016,85649284,PAS,True,236,273
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,150,226
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,79,229
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,154,229
ENSG00000115267.6,chr2,162266882,162267379,PAS,True,105,117
ENSG00000115267.6,chr2,162268237,162268277,PAS,True,100,116
ENSG00000115267.6,chr2,162276686,162276946,PAS,True,89,113
ENSG00000115267.6,chr2,162281438,162281545,PAS,True,73,112
ENSG00000115267.6,chr2,162278213,162278328,PAS,True,101,113
ENSG00000115267.6,chr2,162317854,162319000,TSS,True,13,119
ENSG00000138095.18,chr2,43886223,43888656,PAS,True,187,250
ENSG00000138095.18,chr2,43918023,43918133,PAS,True,201,234
ENSG00000138095.18,chr2,43947256,43947370,PAS,True,176,197
ENSG00000138095.18,chr2,43946123,43946243,PAS,True,156,199
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,71,251
ENSG00000136536.14,chr2,159712606,159729008,ES,False,111,125
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,111,277
ENSG00000136536.14,chr2,159712661,159729008,ES,False,149,166
ENSG00000136536.14,chr2,159743253,159747804,ES,False,31,291
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,145,315
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,189,315
ENSG00000136536.14,chr2,159767283,159771026,PAS,True,198,312
ENSG00000136536.14,chr2,159747804,159748887,PAS,False,123,302
ENSG00000115306.15,chr2,54557959,54558887,TSS,False,112,148
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,74,131
ENSG00000119812.18,chr2,33583655,33585444,PAS,True,25,140
ENSG00000119812.18,chr2,33588344,33588519,PAS,True,119,138
ENSG00000075292.18,chr2,71331865,71348752,5AS,False,120,227
ENSG00000075292.18,chr2,71276554,71276754,TSS,True,263,302
ENSG00000075292.18,chr2,71331712,71331875,TSS,True,186,302
ENSG00000075292.18,chr2,71331671,71331865,TSS,True,177,302
ENSG00000075292.18,chr2,71369882,71370891,PAS,True,91,290
ENSG00000115239.21,chr2,53786820,53787007,TSS,True,23,192
ENSG00000088205.12,chr2,117814661,117814862,TSS,False,38,147
ENSG00000088205.12,chr2,117830581,117834418,PAS,True,83,143
ENSG00000088205.12,chr2,117817443,117817690,PAS,True,47,118
ENSG00000155438.11,chr2,121726944,121727912,PAS,True,74,242
ENSG00000155438.11,chr2,121727049,121731104,PAS,True,190,242
ENSG00000136682.14,chr2,113438022,113441350,ES,False,289,326
ENSG00000080345.17,chr2,151409668,151409939,TSS,True,96,131
ENSG00000080345.17,chr2,151409877,151410033,TSS,True,95,131
ENSG00000080345.17,chr2,151462883,151465662,PAS,True,99,112
ENSG00000080345.17,chr2,151459999,151460100,PAS,True,21,102
