gene,chr,start,end,splice_type,novel,lower_lobe_of_left_lung_ENCFF924HBV_in_cov,lower_lobe_of_left_lung_ENCFF924HBV_total_cov
ENSG00000003436.15,chr2,187464229,187467042,PAS,True,14,121
ENSG00000003436.15,chr2,187554199,187554543,TSS,True,14,124
ENSG00000115380.19,chr2,55922447,55923710,ES,False,181,275
ENSG00000138434.16,chr2,181891615,181892277,TSS,True,18,106
ENSG00000144021.2,chr2,96268658,96269267,IR,False,90,101
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,14,113
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,36,346
ENSG00000115762.16,chr2,131105301,131105398,TSS,True,16,122
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,16,117
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,99,113
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,33,120
ENSG00000115524.15,chr2,197418508,197420493,TSS,True,107,120
ENSG00000018280.16,chr2,218382004,218382375,TSS,True,100,157
ENSG00000018280.16,chr2,218394924,218396901,PAS,True,52,116
ENSG00000144381.16,chr2,197486066,197487198,PAS,True,56,178
ENSG00000144381.16,chr2,197488995,197489247,PAS,True,127,178
ENSG00000144381.16,chr2,197499781,197499958,TSS,True,24,179
ENSG00000115457.9,chr2,216633400,216633965,TSS,True,21,156
ENSG00000135929.8,chr2,218781732,218782437,TSS,True,52,307
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,49,381
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,59,212
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,164,212
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,39,101
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,46,108
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,64,108
ENSG00000115306.15,chr2,54456274,54456518,TSS,True,184,211
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,172,197
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,169,196
ENSG00000115306.15,chr2,54655913,54657521,PAS,True,128,160
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,82,190
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,210,253
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,55,253
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,58,127
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,25,151
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,145,291
ENSG00000144063.3,chr2,110115687,110115852,TSS,True,19,149
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,161,286
ENSG00000042493.15,chr2,85410316,85410405,TSS,True,90,320
ENSG00000042493.15,chr2,85413983,85414073,TSS,True,279,320
ENSG00000064989.12,chr2,187387756,187448038,ES,False,56,117
ENSG00000064989.12,chr2,187448038,187448300,TSS,True,14,137
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,21,105
ENSG00000115414.18,chr2,215372015,215372108,IR,False,97,124
ENSG00000115414.18,chr2,215372015,215373321,ES,False,40,135
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,55,122
ENSG00000115414.18,chr2,215379317,215382211,ES,False,71,115
ENSG00000115414.18,chr2,215359471,215361626,PAS,True,48,230
ENSG00000115414.18,chr2,215394527,215394723,TSS,True,167,193
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,178,235
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,99,144
ENSG00000115415.18,chr2,190968991,190970717,PAS,True,34,164
ENSG00000115415.18,chr2,190975533,190975887,PAS,True,137,164
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,29,165
ENSG00000168878.16,chr2,85658855,85661453,3AS,False,1307,2750
ENSG00000168878.16,chr2,85663479,85663663,3AS,False,844,3763
ENSG00000168878.16,chr2,85657681,85659682,PAS,True,1882,5466
ENSG00000168878.16,chr2,85657677,85658855,PAS,True,4633,5943
ENSG00000168878.16,chr2,85668116,85668418,TSS,True,3066,5945
ENSG00000168878.16,chr2,85662028,85662081,TSS,True,4842,5925
ENSG00000138061.11,chr2,38075779,38077230,TSS,True,16,100
ENSG00000138061.11,chr2,38074345,38075284,TSS,True,89,100
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,16,110
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,67,194
ENSG00000197756.9,chr2,216499948,216500031,TSS,True,141,193
ENSG00000115884.10,chr2,20203812,20204195,TSS,True,167,206
ENSG00000115884.10,chr2,20224801,20225140,TSS,True,120,206
ENSG00000197858.10,chr8,144083500,144083713,IR,False,86,101
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,20,119
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,15,108
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,25,137
ENSG00000198363.17,chr8,61643433,61644599,ES,False,66,137
ENSG00000198363.17,chr8,61644632,61651049,ES,False,41,138
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,86,148
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,71,142
ENSG00000147649.9,chr8,97643970,97644887,TSS,True,21,113
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,59,103
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,80,105
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,376,706
ENSG00000164733.20,chr8,11853479,11864375,ES,False,213,237
ENSG00000164733.20,chr8,11853479,11868000,ES,False,1711,1966
ENSG00000179950.13,chr8,143818534,143821596,ES,False,72,151
ENSG00000179950.13,chr8,143821913,143829279,ES,False,19,145
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,20,126
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,28,173
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,34,148
ENSG00000160932.10,chr8,143018463,143018586,TSS,True,32,181
ENSG00000168484.12,chr8,22163546,22163900,3AS,False,4740,12509
ENSG00000168484.12,chr8,22164051,22164265,5AS,True,3617,11005
ENSG00000168484.12,chr8,22164051,22164265,IR,False,3617,5484
ENSG00000168484.12,chr8,22164059,22164265,IR,False,7363,9230
ENSG00000168484.12,chr8,22164265,22164479,PAS,True,1966,12971
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,83,292
ENSG00000104518.10,chr8,143559969,143560602,IR,False,72,107
ENSG00000104518.10,chr8,143560771,143561001,IR,False,82,118
ENSG00000104518.10,chr8,143561104,143561369,IR,False,89,123
ENSG00000104518.10,chr8,143558294,143558451,TSS,True,38,133
ENSG00000147813.15,chr8,143574900,143574985,IR,False,147,169
ENSG00000147813.15,chr8,143575093,143575190,IR,False,140,166
ENSG00000147813.15,chr8,143576162,143576431,IR,False,150,170
ENSG00000147813.15,chr8,143576842,143577061,IR,False,141,166
ENSG00000147813.15,chr8,143577943,143578092,IR,False,148,167
ENSG00000147813.15,chr8,143574779,143574900,PAS,True,22,173
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,25,173
ENSG00000147416.10,chr8,20197363,20197542,TSS,True,31,254
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,23,203
ENSG00000104529.17,chr8,143586852,143597347,ES,False,151,179
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,113,317
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,265,312
ENSG00000164741.14,chr8,13099346,13100566,TSS,True,66,118
ENSG00000164741.14,chr8,13132943,13133293,TSS,True,88,118
ENSG00000156482.10,chr8,98045507,98045561,TSS,False,68,193
ENSG00000156482.10,chr8,98042644,98042697,TSS,True,136,192
ENSG00000147526.19,chr8,38787178,38787743,TSS,True,77,100
ENSG00000147526.19,chr8,38819519,38820635,TSS,True,86,100
ENSG00000147526.19,chr8,38728133,38728671,TSS,True,63,108
ENSG00000147526.19,chr8,38847954,38853029,PAS,True,14,101
ENSG00000168615.11,chr8,38996752,38997160,TSS,True,15,100
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,75,275
ENSG00000187735.13,chr8,53966554,53968112,PAS,True,17,131
ENSG00000067167.7,chr8,70608076,70608444,TSS,True,34,310
ENSG00000178685.13,chr8,143983811,143984007,IR,False,123,154
ENSG00000178685.13,chr8,143986357,143986466,TSS,True,90,195
ENSG00000178685.13,chr8,143986054,143986438,TSS,True,174,195
ENSG00000178685.13,chr8,143984543,143985087,TSS,False,175,195
ENSG00000175445.15,chr8,19939222,19939528,TSS,True,35,156
ENSG00000070756.15,chr8,100721390,100722092,TSS,True,38,263
ENSG00000120885.21,chr8,27614654,27614703,TSS,True,45,246
ENSG00000179091.4,chr8,144095228,144095832,IR,False,120,166
ENSG00000179091.4,chr8,144095054,144095228,TSS,False,54,176
ENSG00000179091.4,chr8,144095055,144096029,TSS,True,132,176
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,97,678
ENSG00000159322.17,chr15,72783245,72783811,TSS,True,86,101
ENSG00000159322.17,chr15,72783458,72783781,TSS,True,23,101
ENSG00000137767.13,chr15,45634745,45635108,TSS,True,20,127
ENSG00000137824.15,chr15,40754790,40755198,5AS,False,23,150
ENSG00000137824.15,chr15,40755082,40755282,TSS,True,50,175
ENSG00000137824.15,chr15,40755198,40755282,TSS,True,152,175
ENSG00000137818.11,chr15,69452816,69453020,TSS,False,78,762
ENSG00000182718.16,chr15,60386086,60397942,ES,False,832,1012
ENSG00000140416.20,chr15,63042137,63042943,TSS,True,56,105
ENSG00000140416.20,chr15,63048405,63048707,TSS,True,57,105
ENSG00000140416.20,chr15,63071089,63071915,PAS,True,16,102
ENSG00000140575.12,chr15,90388211,90388396,TSS,True,21,143
ENSG00000140575.12,chr15,90476662,90476700,PAS,True,83,134
ENSG00000140575.12,chr15,90494712,90494757,PAS,False,124,140
ENSG00000140575.12,chr15,90499994,90502239,PAS,True,86,140
ENSG00000273749.4,chr15,22980286,22980440,TSS,True,83,159
ENSG00000273749.4,chr15,22947168,22948198,TSS,True,127,159
ENSG00000170776.21,chr15,85655787,85664562,ES,False,28,112
ENSG00000170776.21,chr15,85380473,85380798,TSS,True,142,165
ENSG00000170776.21,chr15,85578991,85582107,TSS,True,136,157
ENSG00000170776.21,chr15,85544081,85544143,TSS,False,95,164
ENSG00000170776.21,chr15,85684740,85686620,PAS,True,32,132
ENSG00000074696.12,chr15,65530435,65530718,TSS,True,12,103
ENSG00000103811.16,chr15,78944890,78945105,TSS,True,100,402
ENSG00000028528.14,chr15,64095898,64096172,TSS,True,19,147
ENSG00000137857.17,chr15,45141926,45142112,TSS,True,86,103
ENSG00000166710.18,chr15,44711414,44711613,TSS,True,215,1947
ENSG00000182774.12,chr15,82540425,82540460,TSS,True,55,177
ENSG00000182774.12,chr15,82538879,82540133,TSS,True,148,176
ENSG00000151726.13,chr4,184768450,184773080,ME,False,234,262
ENSG00000151726.13,chr4,184825915,184826101,TSS,True,102,292
ENSG00000151726.13,chr4,184805526,184805712,TSS,False,242,292
ENSG00000168743.12,chr4,105898001,105927335,ES,False,100,141
ENSG00000168743.12,chr4,105927428,105937008,ES,False,116,138
ENSG00000168743.12,chr4,105942702,105959027,ES,False,16,142
ENSG00000168743.12,chr4,105895306,105895723,TSS,True,18,157
ENSG00000152795.17,chr4,82424883,82426036,IR,False,51,117
ENSG00000152795.17,chr4,82422746,82424883,PAS,True,70,129
ENSG00000152795.17,chr4,82423203,82426129,PAS,True,62,125
ENSG00000152795.17,chr4,82429247,82430469,TSS,True,14,130
ENSG00000090316.15,chr4,1289834,1289982,TSS,True,24,111
ENSG00000064042.17,chr4,41619440,41644499,ES,False,34,130
ENSG00000064042.17,chr4,41666666,41671553,ES,False,104,117
ENSG00000064042.17,chr4,41360561,41360936,TSS,True,104,164
ENSG00000064042.17,chr4,41538063,41538350,TSS,True,128,161
ENSG00000064042.17,chr4,41359573,41359803,TSS,False,120,164
ENSG00000064042.17,chr4,41697159,41700044,PAS,True,41,161
ENSG00000064042.17,chr4,41646122,41646276,PAS,True,120,146
ENSG00000071127.16,chr4,10116650,10116986,TSS,True,41,231
ENSG00000138772.12,chr4,78595887,78597318,IR,True,90,112
ENSG00000109736.14,chr4,2930953,2931060,IR,False,109,123
ENSG00000109736.14,chr4,2929927,2930953,PAS,True,16,125
ENSG00000109736.14,chr4,2933752,2934511,TSS,True,114,127
ENSG00000109736.14,chr4,2934768,2934880,TSS,True,33,127
ENSG00000171557.16,chr4,154604137,154605066,PAS,True,168,189
ENSG00000171557.16,chr4,154604060,154604354,PAS,True,22,189
ENSG00000138801.8,chr4,107720119,107720395,TSS,False,24,128
ENSG00000152583.12,chr4,87472765,87473803,PAS,True,22,169
ENSG00000152583.12,chr4,87493625,87494598,PAS,True,137,157
ENSG00000196616.13,chr4,99321313,99321443,TSS,True,49,365
ENSG00000129116.18,chr4,168831990,168832171,TSS,True,68,141
ENSG00000129116.18,chr4,168877717,168878394,TSS,True,90,140
ENSG00000129116.18,chr4,168926212,168928475,PAS,True,22,138
ENSG00000129116.18,chr4,168924254,168924387,PAS,True,120,138
ENSG00000138821.12,chr4,102344443,102345482,TSS,True,446,544
ENSG00000138821.12,chr4,102345344,102345511,TSS,True,122,544
ENSG00000109475.16,chr4,108620535,108620600,TSS,False,68,326
ENSG00000134851.12,chr4,55425375,55426176,PAS,True,14,127
ENSG00000178950.16,chr4,882696,883176,TSS,True,77,100
ENSG00000178950.16,chr4,932042,932415,TSS,True,72,105
ENSG00000109332.19,chr4,102827426,102827835,TSS,True,108,168
ENSG00000109332.19,chr4,102826484,102827192,TSS,True,119,168
ENSG00000109332.19,chr4,102827943,102828141,TSS,False,151,168
ENSG00000109332.19,chr4,102827591,102827920,TSS,True,141,168
ENSG00000157765.12,chr4,25655850,25655890,TSS,True,292,326
ENSG00000138768.14,chr4,75793901,75799621,ES,False,85,116
ENSG00000138768.14,chr4,75813205,75814287,PAS,True,28,124
ENSG00000138768.14,chr4,75801078,75801179,PAS,True,105,123
ENSG00000123933.16,chr4,2261916,2262128,TSS,True,38,164
ENSG00000118816.9,chr4,77075471,77076021,TSS,True,16,139
ENSG00000138668.18,chr4,82355401,82356795,ES,False,95,156
ENSG00000138668.18,chr4,82359639,82373445,ES,False,28,159
ENSG00000138668.18,chr4,82352497,82354154,PAS,True,28,170
ENSG00000091490.10,chr4,25747422,25748564,PAS,True,13,126
ENSG00000091490.10,chr4,25862674,25863042,TSS,True,23,128
ENSG00000153147.5,chr4,143553118,143555581,PAS,False,35,188
ENSG00000138760.9,chr4,76213426,76213926,TSS,True,19,112
ENSG00000159692.15,chr4,1212423,1212912,3AS,False,109,168
ENSG00000159692.15,chr4,1238337,1248915,ES,False,35,134
ENSG00000159692.15,chr4,1211432,1212426,PAS,True,111,171
ENSG00000159692.15,chr4,1211429,1212423,PAS,True,62,171
ENSG00000159692.15,chr4,1248915,1249467,TSS,True,44,179
ENSG00000141027.20,chr17,16149517,16151945,ES,False,78,106
ENSG00000141027.20,chr17,16194639,16215361,ES,False,59,108
ENSG00000141027.20,chr17,16029156,16032483,PAS,True,114,128
ENSG00000141027.20,chr17,16126116,16126206,PAS,False,66,111
ENSG00000141027.20,chr17,16126101,16126209,PAS,True,63,111
ENSG00000141027.20,chr17,16215361,16215591,TSS,True,22,130
ENSG00000169718.17,chr17,82058416,82058780,IR,False,82,126
ENSG00000169718.17,chr17,82065612,82065871,TSS,True,17,137
ENSG00000185813.10,chr17,81906898,81907553,ES,False,73,102
ENSG00000185813.10,chr17,81911266,81911500,TSS,False,23,110
ENSG00000185813.10,chr17,81910900,81911426,TSS,True,98,110
ENSG00000141524.15,chr17,78119392,78121012,ES,False,17,121
ENSG00000141524.15,chr17,78128658,78128827,TSS,True,125,147
ENSG00000141524.15,chr17,78124523,78125152,TSS,True,120,147
ENSG00000141524.15,chr17,78128611,78129067,TSS,True,105,147
ENSG00000182473.21,chr17,76103632,76103791,TSS,True,139,209
ENSG00000185624.14,chr17,81860326,81860636,TSS,True,120,797
ENSG00000092929.11,chr17,75844220,75846230,TSS,False,71,100
ENSG00000131473.16,chr17,41893174,41897748,ES,False,32,138
ENSG00000131473.16,chr17,41913896,41918879,3AS,False,73,114
ENSG00000131473.16,chr17,41918879,41919084,TSS,True,47,162
ENSG00000167543.15,chr17,29566314,29567411,TSS,True,83,108
ENSG00000167543.15,chr17,29567280,29569086,TSS,True,90,108
ENSG00000167543.15,chr17,29568613,29568830,TSS,True,72,108
ENSG00000157637.12,chr17,81294822,81295503,TSS,True,97,290
ENSG00000108774.14,chr17,42154892,42155022,TSS,True,96,193
ENSG00000072210.18,chr17,19648716,19649124,TSS,True,25,150
ENSG00000129250.11,chr17,4997673,4998156,TSS,True,57,159
ENSG00000129250.11,chr17,5023467,5026981,PAS,False,22,137
ENSG00000129250.11,chr17,5020805,5020841,PAS,True,105,125
ENSG00000132589.15,chr17,28897525,28897736,TSS,False,32,152
ENSG00000141279.15,chr17,47621767,47623276,PAS,True,14,108
ENSG00000141367.11,chr17,59619349,59620173,TSS,True,28,156
ENSG00000030582.17,chr17,44345096,44345334,TSS,True,601,1145
ENSG00000030582.17,chr17,44349658,44349751,TSS,True,912,1143
ENSG00000108946.14,chr17,68511720,68512142,TSS,True,533,608
ENSG00000108946.14,chr17,68512399,68512548,TSS,True,132,608
ENSG00000184009.11,chr17,81512733,81512855,TSS,True,190,1459
ENSG00000108298.11,chr17,39200112,39200349,TSS,False,45,309
ENSG00000141753.6,chr17,40443401,40444084,TSS,False,50,361
ENSG00000108679.12,chr17,78979823,78979962,TSS,True,74,238
ENSG00000187688.14,chr17,16426877,16427451,3AS,True,43,113
ENSG00000187688.14,chr17,16415233,16415833,TSS,False,22,125
ENSG00000073350.13,chr17,75525429,75525825,TSS,True,53,129
ENSG00000073350.13,chr17,75574873,75575219,PAS,True,93,125
ENSG00000073350.13,chr17,75574870,75575219,PAS,True,74,125
ENSG00000168610.14,chr17,42316851,42317181,3AS,False,29,175
ENSG00000168610.14,chr17,42317224,42322284,5AS,False,19,174
ENSG00000168610.14,chr17,42348517,42388278,3AS,False,44,144
ENSG00000168610.14,chr17,42348520,42388278,3AS,False,39,100
ENSG00000168610.14,chr17,42388278,42388586,TSS,True,75,219
ENSG00000129654.7,chr17,76141113,76141245,TSS,False,90,144
ENSG00000129654.7,chr17,76139897,76140011,TSS,True,107,144
ENSG00000002834.17,chr17,38869798,38870258,TSS,True,75,112
ENSG00000182534.13,chr17,76679568,76680879,PAS,True,67,289
ENSG00000182534.13,chr17,76675416,76677702,PAS,False,225,292
ENSG00000184557.4,chr17,78359749,78360566,TSS,True,41,207
ENSG00000125691.12,chr17,38853697,38853764,TSS,True,66,106
ENSG00000125691.12,chr17,38852603,38853720,TSS,True,66,105
ENSG00000188612.11,chr17,75182813,75182990,TSS,True,11,109
ENSG00000072778.19,chr17,7222081,7222176,IR,False,300,355
ENSG00000072778.19,chr17,7222302,7222666,IR,True,322,358
ENSG00000072778.19,chr17,7222865,7223132,IR,False,242,398
ENSG00000072778.19,chr17,7219853,7220046,TSS,True,168,450
ENSG00000109046.14,chr17,27294066,27294435,TSS,True,41,103
ENSG00000108828.15,chr17,43021935,43022417,TSS,True,44,132
ENSG00000132475.10,chr17,75779656,75779781,TSS,True,55,419
ENSG00000108654.14,chr17,64500773,64502009,IR,False,243,291
ENSG00000108654.14,chr17,64506075,64506340,TSS,True,36,316
ENSG00000108840.15,chr17,44087411,44087698,TSS,True,76,101
ENSG00000108840.15,chr17,44123503,44124047,TSS,True,65,101
ENSG00000177469.12,chr17,42422626,42423258,TSS,False,175,406
ENSG00000108639.7,chr17,78168541,78168715,TSS,True,71,351
ENSG00000175061.17,chr17,16439414,16440184,ES,False,84,124
ENSG00000175061.17,chr17,16438983,16439060,TSS,True,30,133
ENSG00000175061.17,chr17,16438984,16439414,TSS,True,112,133
ENSG00000197879.16,chr17,1491599,1491883,TSS,True,142,174
ENSG00000197879.16,chr17,1485693,1486131,TSS,True,132,174
ENSG00000197879.16,chr17,1492412,1492728,TSS,True,146,174
ENSG00000129226.13,chr17,7579591,7579726,TSS,True,111,460
ENSG00000161921.14,chr17,4732914,4734479,PAS,False,47,210
ENSG00000161921.14,chr17,4733532,4734652,PAS,True,164,210
ENSG00000161921.14,chr17,4739260,4739927,TSS,True,65,215
ENSG00000161921.14,chr17,4735091,4735424,TSS,True,167,214
ENSG00000177731.15,chr17,18251813,18251998,3AS,False,146,319
ENSG00000177731.15,chr17,18258627,18258774,TSS,True,101,373
ENSG00000261371.5,chr17,64390601,64391244,TSS,True,92,235
ENSG00000142507.9,chr17,4796133,4796296,TSS,True,46,134
ENSG00000132471.11,chr17,75855238,75855369,TSS,True,123,154
ENSG00000131469.14,chr17,42998395,42998471,TSS,False,68,180
ENSG00000131469.14,chr17,42998448,42998831,TSS,False,152,180
ENSG00000131469.14,chr17,43002754,43002783,TSS,True,144,179
ENSG00000108528.13,chr17,4939815,4940068,TSS,True,15,102
ENSG00000126581.12,chr17,42823879,42824154,5AS,False,64,110
ENSG00000126581.12,chr17,42824132,42824301,TSS,True,69,115
ENSG00000126581.12,chr17,42824154,42824315,TSS,True,51,115
ENSG00000171298.12,chr17,80101141,80101625,TSS,True,134,199
ENSG00000171298.12,chr17,80112729,80113027,TSS,True,142,199
ENSG00000132507.17,chr17,7307460,7307752,TSS,True,27,151
ENSG00000177885.14,chr17,75405488,75405707,TSS,True,45,182
ENSG00000169727.12,chr17,82054049,82054509,3AS,False,82,104
ENSG00000169727.12,chr17,82054975,82055164,3AS,False,15,108
ENSG00000169727.12,chr17,82051518,82051964,TSS,False,30,111
ENSG00000169727.12,chr17,82051100,82053366,TSS,True,98,111
ENSG00000128309.16,chr22,37019036,37019774,TSS,True,122,161
ENSG00000128309.16,chr22,37019747,37019872,TSS,True,89,161
ENSG00000128309.16,chr22,37024188,37024810,TSS,False,126,161
ENSG00000100364.18,chr22,45240639,45240943,TSS,True,22,156
ENSG00000100234.11,chr22,32801684,32802122,TSS,False,110,336
ENSG00000025708.13,chr22,50529719,50529903,3AS,False,322,386
ENSG00000025708.13,chr22,50529719,50529903,IR,False,322,503
ENSG00000025708.13,chr22,50529731,50529903,IR,False,63,244
ENSG00000025708.13,chr22,50531295,50531569,IR,True,67,103
ENSG00000025708.13,chr22,50529495,50530026,TSS,True,609,679
ENSG00000025708.13,chr22,50529903,50530341,TSS,True,340,679
ENSG00000100353.17,chr22,36529075,36529325,TSS,False,15,131
ENSG00000100266.18,chr22,43015020,43015191,TSS,True,46,135
ENSG00000100243.20,chr22,42649294,42649417,TSS,False,64,229
ENSG00000196576.14,chr22,50279629,50279782,TSS,True,152,181
ENSG00000196576.14,chr22,50282710,50283097,TSS,False,150,181
ENSG00000196576.14,chr22,50281565,50281743,TSS,True,156,181
ENSG00000100345.21,chr22,36300850,36301449,TSS,True,382,433
ENSG00000100345.21,chr22,36387806,36388109,TSS,False,327,438
ENSG00000100345.21,chr22,36306413,36306608,TSS,True,375,433
ENSG00000185022.11,chr22,38201989,38202212,TSS,True,36,103
ENSG00000185022.11,chr22,38213573,38213706,TSS,False,87,103
ENSG00000100242.15,chr22,38752665,38755762,ES,False,153,256
ENSG00000100242.15,chr22,38755762,38756048,TSS,True,170,427
ENSG00000100030.14,chr22,21867321,21867668,TSS,True,60,107
ENSG00000070413.19,chr22,19122127,19122446,TSS,True,49,117
