gene,chr,start,end,splice_type,novel,left_ventricle_myocardium_inferior_ENCFF132YCF_in_cov,left_ventricle_myocardium_inferior_ENCFF132YCF_total_cov
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,28,136
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,102,250
ENSG00000135926.14,chr2,218287206,218287282,TSS,True,211,250
ENSG00000135945.9,chr2,99400473,99401352,PAS,True,17,113
ENSG00000135945.9,chr2,99489816,99490218,TSS,True,47,113
ENSG00000135945.9,chr2,99404800,99404879,TSS,True,67,105
ENSG00000115756.12,chr2,10396920,10419733,ES,False,104,118
ENSG00000168906.12,chr2,85543034,85543669,IR,True,191,270
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,85,270
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,201,270
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,57,101
ENSG00000152102.17,chr2,131052890,131052958,TSS,True,89,101
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,21,125
ENSG00000124831.18,chr2,237708630,237748363,ES,False,24,117
ENSG00000124831.18,chr2,237749324,237753308,ES,False,27,121
ENSG00000124831.18,chr2,237756187,237760063,ES,False,27,120
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,42,137
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,111,137
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,112,125
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,26,135
ENSG00000114923.16,chr2,219627745,219627959,3AS,False,111,347
ENSG00000114923.16,chr2,219628570,219629143,5AS,False,333,425
ENSG00000114923.16,chr2,219628766,219629143,IR,True,89,114
ENSG00000114923.16,chr2,219629071,219629143,IR,True,19,110
ENSG00000114923.16,chr2,219629421,219630152,3AS,True,60,115
ENSG00000114923.16,chr2,219627156,219627745,TSS,True,1277,1626
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,977,1624
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,327,396
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,129,396
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,48,369
ENSG00000198925.11,chr2,219228053,219229534,ES,False,37,143
ENSG00000198925.11,chr2,219228482,219229534,3AS,False,16,105
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,71,215
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,192,215
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,329,1113
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,984,1113
ENSG00000115307.16,chr2,74528935,74529131,IR,False,100,123
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,30,193
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,169,193
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,28,133
ENSG00000132329.10,chr2,237877222,237877362,TSS,True,119,133
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,40,139
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,118,139
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,44,286
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,16,101
ENSG00000169764.15,chr2,63841232,63856305,ES,False,248,277
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,270,551
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,307,550
ENSG00000061676.14,chr2,183003319,183023805,3AS,True,92,161
ENSG00000115896.15,chr2,198083755,198086232,TSS,True,123,137
ENSG00000115896.15,chr2,197804585,197805341,TSS,True,37,137
ENSG00000138399.17,chr2,169563350,169571652,ES,False,27,104
ENSG00000138399.17,chr2,169573668,169573914,TSS,True,11,106
ENSG00000243147.7,chr2,27772692,27779432,ES,False,194,276
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,86,350
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,308,350
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,17,138
ENSG00000162878.12,chr2,42054307,42054940,IR,True,155,184
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,31,200
ENSG00000115380.19,chr2,55922447,55923710,ES,False,74,113
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,91,107
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,24,107
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,162,965
ENSG00000132313.14,chr2,86199460,86199533,TSS,True,16,125
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,22,139
ENSG00000171853.15,chr2,3379682,3379876,TSS,True,45,128
ENSG00000171853.15,chr2,3459046,3460336,TSS,True,103,127
ENSG00000067066.16,chr2,230416328,230442936,ES,False,49,127
ENSG00000067066.16,chr2,230449710,230461261,ES,True,36,128
ENSG00000067066.16,chr2,230470014,230472425,PAS,True,31,138
ENSG00000115365.11,chr2,210476619,210476732,TSS,True,36,101
ENSG00000115365.11,chr2,210476721,210476782,TSS,False,79,101
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,75,122
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,49,124
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,82,124
ENSG00000115762.16,chr2,131132991,131140166,5AS,False,89,109
ENSG00000115762.16,chr2,131132991,131140169,3AS,False,13,102
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,238,480
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,386,480
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,59,234
ENSG00000180228.12,chr2,178447586,178450965,ES,True,23,115
ENSG00000072195.14,chr2,219434625,219435365,TSS,False,141,165
ENSG00000072195.14,chr2,219460063,219460996,TSS,False,145,165
ENSG00000072195.14,chr2,219492593,219493632,PAS,True,79,151
ENSG00000115183.14,chr2,159001189,159065895,ES,True,94,105
ENSG00000115183.14,chr2,158968591,158968782,TSS,False,53,158
ENSG00000115183.14,chr2,159229577,159232669,PAS,True,74,146
ENSG00000115183.14,chr2,159089583,159092504,PAS,True,48,107
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,81,724
ENSG00000114948.12,chr2,206443352,206444080,TSS,True,16,119
ENSG00000114948.12,chr2,206617578,206621126,PAS,True,16,114
ENSG00000155657.26,chr2,178525988,178527307,PAS,True,162,362
ENSG00000155657.26,chr2,178530240,178534343,TSS,True,44,210
ENSG00000155657.26,chr2,178807211,178807424,TSS,True,312,371
ENSG00000068912.13,chr2,53801842,53809213,ES,False,23,162
ENSG00000116096.5,chr2,72887347,72887736,TSS,True,18,165
ENSG00000138100.13,chr2,27282348,27282899,TSS,True,62,200
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,57,376
ENSG00000003402.19,chr2,201115973,201116481,TSS,True,86,149
ENSG00000003402.19,chr2,201116036,201118901,TSS,True,110,149
ENSG00000003402.19,chr2,201141373,201141602,PAS,True,81,124
ENSG00000003402.19,chr2,201163834,201167554,PAS,True,117,133
ENSG00000003402.19,chr2,201162995,201167554,PAS,True,99,133
ENSG00000003402.19,chr2,201167153,201169639,PAS,True,132,149
ENSG00000136718.9,chr2,130342935,130343085,5AS,False,73,101
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,46,119
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,91,119
ENSG00000142330.19,chr2,240584888,240587052,TSS,True,34,126
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,70,320
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,254,320
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,455,683
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,335,683
ENSG00000173272.15,chr2,131492206,131492417,TSS,True,44,207
ENSG00000175084.11,chr2,219421560,219425634,3AS,True,58,146
ENSG00000175084.11,chr2,219423820,219425669,IR,True,27,122
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,85,114
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,45,130
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,101,130
ENSG00000204822.6,chr2,74472568,74474233,TSS,True,18,100
ENSG00000138095.18,chr2,43975090,43975220,TSS,True,101,115
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,27,115
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,61,196
ENSG00000136536.14,chr2,159712661,159729008,ES,False,111,133
ENSG00000136536.14,chr2,159762993,159767283,ES,False,67,211
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,79,213
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,142,213
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,240,276
ENSG00000115306.15,chr2,54469890,54469986,TSS,True,220,280
ENSG00000115306.15,chr2,54661030,54663690,TSS,True,94,109
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,78,238
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,173,268
ENSG00000186522.14,chr2,109544324,109546049,IR,True,67,105
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,42,110
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,72,110
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,86,645
ENSG00000127824.13,chr2,219252007,219252231,TSS,True,99,112
ENSG00000127824.13,chr2,219253855,219253918,TSS,True,36,112
ENSG00000142327.12,chr2,240575610,240576567,3AS,False,29,279
ENSG00000142327.12,chr2,240568234,240569114,TSS,True,87,331
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,550,1881
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,27,117
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,96,117
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,84,701
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,628,701
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,64,204
ENSG00000115593.14,chr2,88091142,88096594,ES,False,53,398
ENSG00000115593.14,chr2,88067773,88068001,TSS,True,66,453
ENSG00000071051.13,chr2,105855289,105892981,ES,False,17,122
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,19,138
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,13,106
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,153,224
ENSG00000115415.18,chr2,191014017,191014232,TSS,True,17,116
ENSG00000072163.19,chr2,127675013,127675197,TSS,True,84,318
ENSG00000115541.10,chr2,197500010,197500439,TSS,False,24,177
ENSG00000173692.12,chr2,231172534,231172827,PAS,True,32,256
ENSG00000138448.11,chr2,186589809,186590523,TSS,True,41,242
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,16,109
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,96,109
ENSG00000168958.19,chr2,227325427,227330625,ES,False,44,170
ENSG00000168958.19,chr2,227328789,227330625,ES,False,89,130
ENSG00000168958.19,chr2,227340380,227347225,ES,False,73,147
ENSG00000168958.19,chr2,227340380,227352513,ES,False,21,181
ENSG00000135956.8,chr2,96265489,96265868,3AS,True,57,137
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,59,200
ENSG00000135956.8,chr2,96265137,96265500,TSS,True,178,200
ENSG00000152086.8,chr2,130196148,130196178,TSS,True,100,114
ENSG00000152086.8,chr2,130195078,130195231,TSS,True,30,114
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,37,232
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,28,252
ENSG00000040341.17,chr8,73688813,73738283,ES,False,74,109
ENSG00000040341.17,chr8,73419988,73421465,PAS,True,52,133
ENSG00000040341.17,chr8,73526820,73527804,PAS,True,102,133
ENSG00000040341.17,chr8,73546118,73552319,PAS,True,117,132
ENSG00000040341.17,chr8,73746782,73746960,TSS,True,21,138
ENSG00000179526.16,chr8,144098994,144099276,ES,False,21,154
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,31,166
ENSG00000008513.15,chr8,133476074,133476277,IR,False,103,170
ENSG00000008513.15,chr8,133571692,133572079,TSS,True,81,246
ENSG00000029534.20,chr8,41664804,41665289,TSS,True,49,282
ENSG00000133878.8,chr8,33597588,33599664,3AS,True,135,229
ENSG00000133878.8,chr8,33599664,33600003,TSS,True,32,262
ENSG00000168300.13,chr8,51845763,51898929,ES,False,22,198
ENSG00000184489.11,chr8,141418018,141421387,5AS,True,192,250
ENSG00000184489.11,chr8,141421610,141422180,IR,False,82,528
ENSG00000184489.11,chr8,141422273,141425047,5AS,True,79,558
ENSG00000184489.11,chr8,141421386,141422345,TSS,True,620,834
ENSG00000184489.11,chr8,141422086,141425140,TSS,True,636,834
ENSG00000184489.11,chr8,141417829,141418018,TSS,True,619,834
ENSG00000120910.14,chr8,22540614,22543188,PAS,True,14,108
ENSG00000120910.14,chr8,22477646,22479164,PAS,True,95,108
ENSG00000158856.18,chr8,22048368,22049224,TSS,True,31,126
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,31,100
ENSG00000155096.13,chr8,102858012,102858150,TSS,True,79,100
ENSG00000147576.16,chr8,66432450,66432575,TSS,True,13,107
ENSG00000078668.13,chr8,42395133,42398711,5AS,True,61,373
ENSG00000197858.10,chr8,144082243,144082804,TSS,True,26,252
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,114,177
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,155,176
ENSG00000187954.12,chr8,144465207,144465437,TSS,True,145,179
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,154,179
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,86,144
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,77,144
ENSG00000198363.17,chr8,61681036,61684038,ES,False,103,124
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,106,133
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,61,132
ENSG00000198363.17,chr8,61661682,61665606,PAS,True,102,125
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,50,133
ENSG00000198363.17,chr8,61689672,61689861,TSS,True,94,133
ENSG00000158941.16,chr8,22604637,22604842,TSS,True,32,113
ENSG00000158941.16,chr8,22612103,22613136,TSS,True,93,113
ENSG00000169398.19,chr8,140761262,140764233,ES,False,71,109
ENSG00000169398.19,chr8,141001124,141001674,TSS,True,23,120
ENSG00000134020.7,chr8,22920183,22920280,TSS,True,136,159
ENSG00000134020.7,chr8,22927822,22928009,TSS,False,41,165
ENSG00000036448.9,chr8,2045035,2045168,TSS,True,874,2878
ENSG00000036448.9,chr8,2085267,2085390,TSS,True,2498,2876
ENSG00000147649.9,chr8,97687605,97690951,ES,False,17,158
ENSG00000147649.9,chr8,97691188,97706625,ES,False,42,159
ENSG00000123124.13,chr8,86342930,86374029,ES,True,68,158
ENSG00000123124.13,chr8,86398479,86398574,3AS,True,22,159
ENSG00000123124.13,chr8,86342525,86342930,TSS,True,24,184
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,730,1230
ENSG00000164733.20,chr8,11853479,11868000,ME,False,256,297
ENSG00000164733.20,chr8,11853479,11868000,ME,False,249,297
ENSG00000164733.20,chr8,11853479,11868000,ME,False,246,297
ENSG00000164733.20,chr8,11853479,11868000,ME,False,246,297
ENSG00000164733.20,chr8,11853479,11864375,ES,False,243,275
ENSG00000164733.20,chr8,11853479,11868000,ES,False,2059,2392
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,181,572
ENSG00000185122.10,chr8,144313823,144313911,TSS,True,482,571
ENSG00000121022.13,chr8,67061853,67062151,TSS,True,16,121
ENSG00000169122.11,chr8,57994468,57994806,TSS,True,52,104
ENSG00000169122.11,chr8,58070228,58070362,TSS,True,75,104
ENSG00000169122.11,chr8,58070235,58070387,TSS,True,93,104
ENSG00000185000.11,chr8,144326436,144327477,TSS,True,17,101
ENSG00000179950.13,chr8,143818534,143821596,ES,False,96,232
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,40,219
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,29,262
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,21,185
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,63,182
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,123,173
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,51,172
ENSG00000178814.16,chr8,144060652,144061242,TSS,False,168,232
ENSG00000178814.16,chr8,144063303,144063474,TSS,True,200,232
ENSG00000129422.14,chr8,17646135,17646981,3AS,True,12,108
ENSG00000129422.14,chr8,17643300,17646139,PAS,True,24,119
ENSG00000129422.14,chr8,17643796,17646135,PAS,True,107,119
ENSG00000129422.14,chr8,17676275,17676506,TSS,True,98,127
ENSG00000129422.14,chr8,17801060,17801518,TSS,True,95,133
ENSG00000129422.14,chr8,17753716,17755962,TSS,True,113,132
ENSG00000147684.8,chr8,124539101,124539287,TSS,True,47,265
ENSG00000132294.14,chr8,131940575,131944744,5AS,False,61,137
ENSG00000132294.14,chr8,131904055,131904322,TSS,True,22,148
ENSG00000147813.15,chr8,143574900,143574985,IR,False,100,116
ENSG00000147813.15,chr8,143575093,143575190,IR,False,96,111
ENSG00000147813.15,chr8,143574779,143574900,PAS,True,16,119
ENSG00000147485.12,chr8,51408066,51409462,TSS,True,50,102
ENSG00000147485.12,chr8,51809180,51809463,TSS,False,84,107
ENSG00000147485.12,chr8,51474971,51475091,TSS,True,81,103
ENSG00000164919.10,chr8,99893638,99893705,TSS,True,38,354
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,66,511
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,168,683
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,576,681
ENSG00000164951.15,chr8,93917079,93922015,ES,False,222,309
ENSG00000164951.15,chr8,93916890,93917079,TSS,True,90,399
ENSG00000164951.15,chr8,93917533,93917945,TSS,True,344,399
ENSG00000155975.9,chr8,17247369,17265906,ES,False,136,158
ENSG00000147457.13,chr8,23246617,23246994,TSS,True,16,113
ENSG00000154582.16,chr8,73959818,73972076,ES,False,83,110
ENSG00000154582.16,chr8,73972076,73972286,TSS,True,26,141
ENSG00000154582.16,chr8,73972244,73972296,TSS,True,116,141
ENSG00000130193.7,chr8,142727168,142727859,TSS,True,16,105
ENSG00000168615.11,chr8,38996752,38997160,TSS,True,31,179
ENSG00000147408.14,chr8,19506130,19601770,ES,False,144,170
ENSG00000147408.14,chr8,19757185,19757522,TSS,True,169,192
ENSG00000147408.14,chr8,19682695,19682991,TSS,False,83,192
ENSG00000168575.9,chr8,42541537,42541937,TSS,True,133,170
ENSG00000168575.9,chr8,42501030,42501263,TSS,True,69,159
ENSG00000160948.13,chr8,144423922,144424040,IR,False,117,134
ENSG00000160948.13,chr8,144424819,144424945,IR,False,113,134
ENSG00000160948.13,chr8,144425000,144425682,3AS,False,12,106
ENSG00000160948.13,chr8,144425051,144425682,IR,False,93,119
ENSG00000160948.13,chr8,144425772,144426025,IR,False,112,125
ENSG00000160948.13,chr8,144426979,144428488,3AS,False,101,115
ENSG00000160948.13,chr8,144423597,144423922,PAS,True,18,135
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,39,160
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,48,164
ENSG00000156804.7,chr8,123506574,123531897,ES,False,13,113
ENSG00000156804.7,chr8,123540898,123541595,TSS,True,63,179
ENSG00000136574.17,chr8,11708928,11748918,3AS,False,368,497
ENSG00000136574.17,chr8,11703447,11704304,TSS,True,95,538
ENSG00000067167.7,chr8,70608076,70608444,TSS,True,14,120
ENSG00000213563.6,chr8,144526639,144526959,IR,False,75,208
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,133,208
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,63,166
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,43,208
ENSG00000047249.17,chr8,53801896,53814661,ES,False,50,108
ENSG00000175946.8,chr8,123653585,123653772,TSS,True,28,105
ENSG00000175946.8,chr8,123651576,123652643,TSS,False,79,105
ENSG00000171033.12,chr8,78516306,78516468,TSS,True,68,271
ENSG00000171033.12,chr8,78591226,78591283,TSS,False,223,271
ENSG00000120885.21,chr8,27614654,27614703,TSS,True,25,248
ENSG00000185728.16,chr8,63168557,63168901,TSS,True,13,101
ENSG00000137547.8,chr8,54147381,54149586,PAS,True,16,138
ENSG00000137547.8,chr8,54144128,54147903,PAS,True,123,138
ENSG00000160972.9,chr8,144477943,144478127,TSS,True,78,130
ENSG00000160972.9,chr8,144501106,144501294,TSS,True,85,130
ENSG00000067225.17,chr15,72200655,72206727,ME,False,2176,2897
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,72,176
ENSG00000068305.17,chr15,99566104,99632977,ES,False,56,193
ENSG00000068305.17,chr15,99645764,99674392,ME,False,83,197
ENSG00000068305.17,chr15,99565428,99566104,TSS,True,57,251
ENSG00000128989.10,chr15,52568847,52569144,TSS,True,60,174
ENSG00000128989.10,chr15,52569115,52569167,TSS,True,128,174
ENSG00000186073.12,chr15,36808489,36808903,IR,False,14,116
ENSG00000186073.12,chr15,36579554,36579961,TSS,True,70,118
ENSG00000186073.12,chr15,36594733,36594918,TSS,True,92,118
ENSG00000186073.12,chr15,36808903,36810246,PAS,True,103,118
ENSG00000178761.14,chr15,74902783,74904663,3AS,False,39,121
ENSG00000178761.14,chr15,74904712,74905153,ES,False,96,118
ENSG00000178761.14,chr15,74905231,74906586,ES,False,31,112
ENSG00000178761.14,chr15,74899989,74902786,PAS,True,48,122
ENSG00000178761.14,chr15,74899986,74902783,PAS,True,85,122
ENSG00000178761.14,chr15,74906586,74907348,TSS,False,18,130
ENSG00000128951.13,chr15,48331479,48332267,5AS,False,20,122
ENSG00000128951.13,chr15,48331405,48331479,TSS,True,114,135
ENSG00000128951.13,chr15,48331409,48331795,TSS,True,33,135
ENSG00000166887.15,chr15,42208080,42208335,TSS,True,32,162
ENSG00000140374.15,chr15,76292700,76311349,ES,False,74,492
ENSG00000182253.14,chr15,99105076,99106009,TSS,True,193,379
ENSG00000182253.14,chr15,99129440,99131813,TSS,True,239,356
ENSG00000182253.14,chr15,99129366,99135583,PAS,True,164,187
ENSG00000188549.12,chr15,40340807,40340961,TSS,True,108,131
ENSG00000188549.12,chr15,40339904,40341008,TSS,True,105,131
ENSG00000260916.7,chr15,55354628,55356409,PAS,True,49,147
ENSG00000260916.7,chr15,55355238,55360944,PAS,True,97,142
ENSG00000260916.7,chr15,55408220,55408470,TSS,True,27,147
ENSG00000186628.12,chr15,82769030,82772072,ES,False,30,114
ENSG00000186628.12,chr15,82787468,82805965,ES,False,79,129
ENSG00000186628.12,chr15,82756419,82759600,PAS,True,17,136
ENSG00000205363.5,chr15,73739798,73740642,PAS,True,17,120
ENSG00000205363.5,chr15,73752109,73753383,TSS,True,40,143
ENSG00000205363.5,chr15,73750974,73751546,TSS,True,126,143
ENSG00000137878.17,chr15,57591887,57592109,TSS,True,18,153
ENSG00000137878.17,chr15,57646136,57650058,PAS,True,47,143
ENSG00000137878.17,chr15,57684401,57685364,PAS,True,110,153
ENSG00000166831.8,chr15,64775232,64775620,TSS,False,159,347
ENSG00000166831.8,chr15,64774655,64774974,TSS,True,311,347
ENSG00000140416.20,chr15,63062645,63065895,5AS,True,80,134
ENSG00000140367.11,chr15,75854487,75868950,ES,False,47,105
ENSG00000140403.12,chr15,78264470,78264895,TSS,True,34,188
ENSG00000103994.17,chr15,42412815,42417360,PAS,True,130,154
ENSG00000103994.17,chr15,42446589,42446658,PAS,False,51,139
ENSG00000103994.17,chr15,42449664,42451954,PAS,False,113,137
ENSG00000103994.17,chr15,42456957,42457532,TSS,True,409,505
ENSG00000166411.13,chr15,78149300,78149430,TSS,True,87,598
ENSG00000171877.20,chr15,43870758,43874462,PAS,True,18,111
ENSG00000171877.20,chr15,43879498,43880034,TSS,False,20,131
ENSG00000159251.7,chr15,34795505,34795733,TSS,False,2078,9340
ENSG00000159251.7,chr15,34794679,34795489,TSS,True,8019,9340
ENSG00000128739.22,chr15,24954852,24955062,TSS,True,96,584
ENSG00000136383.6,chr15,84817197,84817595,TSS,False,153,173
ENSG00000136383.6,chr15,84856836,84858555,TSS,True,128,171
