gene,chr,start,end,splice_type,novel,ovary_ENCFF984RMR_in_cov,ovary_ENCFF984RMR_total_cov
ENSG00000115694.14,chr2,241499414,241500172,IR,False,208,266
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,44,201
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,254,297
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,127,297
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,251,297
ENSG00000168385.17,chr2,241315982,241324215,ES,False,700,785
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,97,895
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,57,115
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,91,115
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,467,823
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,532,823
ENSG00000115307.16,chr2,74528006,74528247,IR,False,143,160
ENSG00000115307.16,chr2,74528489,74528750,IR,True,138,161
ENSG00000115307.16,chr2,74528935,74529131,IR,False,119,159
ENSG00000115310.17,chr2,55049744,55050553,TSS,True,44,297
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,183,911
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,760,911
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,42,155
ENSG00000115806.12,chr2,170929126,170929403,TSS,True,28,165
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,44,130
ENSG00000114978.17,chr2,74159090,74159138,TSS,True,107,130
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,36,117
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,84,117
ENSG00000196975.15,chr2,69741897,69742175,TSS,True,15,102
ENSG00000171551.11,chr2,232487718,232487875,TSS,True,44,240
ENSG00000144043.11,chr2,70994687,70994882,TSS,False,24,109
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,124,185
ENSG00000189292.15,chr2,280149,283110,3AS,False,209,426
ENSG00000189292.15,chr2,283175,286289,ES,True,92,424
ENSG00000189292.15,chr2,278291,280149,PAS,True,225,437
ENSG00000189292.15,chr2,278285,280152,PAS,True,220,437
ENSG00000189292.15,chr2,288552,289017,TSS,False,108,448
ENSG00000189292.15,chr2,287582,288712,TSS,True,387,448
ENSG00000144028.14,chr2,96283812,96284307,TSS,True,99,119
ENSG00000144028.14,chr2,96286687,96286879,TSS,True,115,128
ENSG00000144028.14,chr2,96286310,96286592,TSS,True,109,128
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,97,128
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,24,122
ENSG00000162878.12,chr2,42054307,42054940,IR,True,411,464
ENSG00000162878.12,chr2,42047975,42048838,TSS,True,108,525
ENSG00000071575.11,chr2,12716901,12718577,TSS,True,28,129
ENSG00000071575.11,chr2,12724628,12724825,PAS,False,106,121
ENSG00000071575.11,chr2,12740325,12742734,PAS,False,18,121
ENSG00000115380.19,chr2,55922447,55923710,ES,False,381,610
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,49,245
ENSG00000075426.11,chr2,28392851,28393822,TSS,False,65,158
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,40,111
ENSG00000162804.13,chr2,240998612,240999050,TSS,False,81,118
ENSG00000162804.13,chr2,241049065,241049135,TSS,True,102,114
ENSG00000162804.13,chr2,241091637,241095568,PAS,True,18,111
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,39,109
ENSG00000135631.16,chr2,73076182,73088049,ES,False,80,100
ENSG00000135631.16,chr2,73112346,73112979,TSS,True,51,139
ENSG00000135631.16,chr2,73079650,73080356,TSS,True,119,139
ENSG00000115226.9,chr2,27492478,27493388,ES,False,69,217
ENSG00000115226.9,chr2,27494877,27495255,TSS,True,29,234
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,26,109
ENSG00000091436.16,chr2,173266049,173268012,PAS,True,93,108
ENSG00000118004.17,chr2,3594708,3595168,TSS,True,23,101
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,31,177
ENSG00000115524.15,chr2,197434971,197435113,TSS,True,30,263
ENSG00000136717.14,chr2,127050912,127059010,ES,False,43,180
ENSG00000136717.14,chr2,127051243,127059010,ES,False,82,129
ENSG00000136717.14,chr2,127106859,127107329,TSS,True,25,195
ENSG00000138363.14,chr2,215311947,215312161,TSS,False,32,101
ENSG00000138363.14,chr2,215312058,215312624,TSS,True,90,101
ENSG00000138363.14,chr2,215346755,215346941,TSS,True,90,101
ENSG00000130414.11,chr2,240025226,240025394,TSS,True,24,140
ENSG00000135916.15,chr2,230864920,230865145,TSS,True,80,316
ENSG00000135916.15,chr2,230873378,230873557,TSS,True,279,316
ENSG00000068912.13,chr2,53801842,53809213,ES,False,35,174
ENSG00000144224.16,chr2,135782748,135785068,PAS,False,18,159
ENSG00000135929.8,chr2,218781732,218782437,TSS,True,14,112
ENSG00000168542.14,chr2,188974188,188974568,TSS,True,211,1517
ENSG00000163359.15,chr2,237413952,237414379,TSS,True,307,402
ENSG00000136718.9,chr2,130341741,130342935,TSS,True,50,106
ENSG00000136718.9,chr2,130342881,130342962,TSS,True,76,106
ENSG00000136718.9,chr2,130342217,130343194,TSS,True,89,106
ENSG00000134308.13,chr2,9630940,9631046,TSS,False,106,452
ENSG00000134308.13,chr2,9630158,9630765,TSS,True,355,452
ENSG00000144589.21,chr2,219614546,219615093,IR,True,85,108
ENSG00000144589.21,chr2,219606578,219606858,TSS,True,105,117
ENSG00000144589.21,chr2,219608047,219608430,TSS,False,76,117
ENSG00000136546.14,chr2,166477710,166493967,ES,False,75,106
ENSG00000136546.14,chr2,166403467,166406646,PAS,True,25,116
ENSG00000136546.14,chr2,166430360,166432752,PAS,True,99,115
ENSG00000136546.14,chr2,166493967,166494451,TSS,True,14,119
ENSG00000135919.12,chr2,223980397,223982680,3AS,False,411,461
ENSG00000123989.13,chr2,219541615,219542037,TSS,True,401,605
ENSG00000123989.13,chr2,219543224,219543902,TSS,True,312,605
ENSG00000168883.19,chr2,85602717,85603081,TSS,False,85,101
ENSG00000138085.16,chr2,27212467,27213176,5AS,False,125,153
ENSG00000138085.16,chr2,27212015,27212467,TSS,False,37,162
ENSG00000138085.16,chr2,27212343,27212607,TSS,True,134,162
ENSG00000180398.12,chr2,46907969,46915722,ES,False,21,198
ENSG00000180398.12,chr2,46915722,46915821,TSS,True,48,249
ENSG00000138095.18,chr2,43975090,43975220,TSS,True,93,117
ENSG00000138095.18,chr2,43995798,43996233,TSS,False,32,118
ENSG00000136536.14,chr2,159712606,159729008,5AS,False,88,187
ENSG00000136536.14,chr2,159712209,159712661,TSS,True,94,196
ENSG00000136536.14,chr2,159712174,159712606,TSS,True,106,196
ENSG00000115306.15,chr2,54456274,54456518,TSS,True,118,139
ENSG00000115306.15,chr2,54628929,54629803,TSS,True,117,137
ENSG00000115306.15,chr2,54630494,54631611,TSS,True,119,137
ENSG00000115306.15,chr2,54659935,54662307,PAS,True,101,113
ENSG00000115306.15,chr2,54668350,54669683,PAS,True,23,128
ENSG00000186522.14,chr2,109544324,109546049,IR,True,123,152
ENSG00000186522.14,chr2,109542759,109544324,PAS,True,34,157
ENSG00000186522.14,chr2,109542796,109546237,PAS,True,126,155
ENSG00000213639.9,chr2,28751783,28752037,5AS,False,12,105
ENSG00000213639.9,chr2,28751515,28751820,TSS,False,487,581
ENSG00000213639.9,chr2,28751796,28752176,TSS,True,131,581
ENSG00000079308.18,chr2,217813304,217813684,3AS,False,82,744
ENSG00000079308.18,chr2,217817689,217818598,TSS,True,301,1002
ENSG00000196208.13,chr2,11618378,11618919,TSS,True,174,204
ENSG00000196208.13,chr2,11635306,11635405,TSS,True,172,201
ENSG00000196208.13,chr2,11640290,11642920,PAS,True,38,192
ENSG00000116044.15,chr2,177264531,177264777,TSS,True,93,246
ENSG00000116044.15,chr2,177263402,177264324,TSS,True,166,246
ENSG00000115657.13,chr2,219214498,219214960,IR,False,180,202
ENSG00000115657.13,chr2,219216465,219216651,IR,True,128,165
ENSG00000115657.13,chr2,219216465,219217669,ES,False,19,141
ENSG00000115657.13,chr2,219216832,219217669,IR,True,140,156
ENSG00000115657.13,chr2,219218124,219219040,TSS,True,27,213
ENSG00000154518.9,chr2,175181655,175181711,TSS,False,16,103
ENSG00000154518.9,chr2,175181354,175181661,TSS,True,89,103
ENSG00000152518.7,chr2,43226264,43226606,TSS,False,401,1252
ENSG00000144567.10,chr2,219178219,219178633,TSS,True,61,222
ENSG00000115641.18,chr2,105386540,105398841,ES,False,252,349
ENSG00000115641.18,chr2,105386540,105398969,ES,False,158,219
ENSG00000115641.18,chr2,105386540,105398969,5AS,False,158,508
ENSG00000115641.18,chr2,105396697,105398969,5AS,False,61,158
ENSG00000115641.18,chr2,105398969,105399080,TSS,True,458,677
ENSG00000115641.18,chr2,105398841,105399078,TSS,True,328,677
ENSG00000186854.10,chr2,84821648,84822100,PAS,True,46,129
ENSG00000186854.10,chr2,84834403,84838241,PAS,True,93,121
ENSG00000186854.10,chr2,84880931,84881316,TSS,True,13,129
ENSG00000138356.13,chr2,200585784,200586153,TSS,False,27,145
ENSG00000144579.7,chr2,218400004,218400157,TSS,True,75,100
ENSG00000071051.13,chr2,105855289,105892981,ES,False,18,148
ENSG00000071051.13,chr2,105744804,105745138,TSS,True,31,170
ENSG00000115295.19,chr2,29115182,29115665,TSS,False,19,111
ENSG00000115414.18,chr2,215372015,215372108,IR,False,166,277
ENSG00000115414.18,chr2,215372015,215373321,ES,False,33,198
ENSG00000115414.18,chr2,215372015,215373321,3AS,False,33,143
ENSG00000115414.18,chr2,215372300,215373321,3AS,False,34,275
ENSG00000115414.18,chr2,215379317,215382211,ES,False,116,296
ENSG00000115414.18,chr2,215391814,215394527,ES,False,151,274
ENSG00000115414.18,chr2,215435654,215436121,TSS,True,111,318
ENSG00000143727.15,chr2,271939,275139,ME,False,40,143
ENSG00000115468.11,chr2,232633582,232634006,TSS,True,12,108
ENSG00000144118.13,chr2,120252980,120278617,3AS,False,80,129
ENSG00000115415.18,chr2,191010004,191014017,ES,False,11,105
ENSG00000138449.10,chr2,189578353,189579812,3AS,True,102,181
ENSG00000138449.10,chr2,189578353,189579812,IR,True,102,139
ENSG00000138449.10,chr2,189578472,189579812,IR,True,79,116
ENSG00000136710.9,chr2,130342014,130342165,TSS,True,13,102
ENSG00000119865.8,chr2,68319221,68319913,TSS,True,17,124
ENSG00000138448.11,chr2,186625587,186636081,ES,False,12,111
ENSG00000119777.19,chr2,27032901,27033166,TSS,True,119,202
ENSG00000119777.19,chr2,27036801,27037178,TSS,True,178,202
ENSG00000127838.13,chr2,218270518,218270602,TSS,False,43,112
ENSG00000127838.13,chr2,218344807,218346793,PAS,True,80,106
ENSG00000115594.11,chr2,102142675,102143020,TSS,False,51,181
ENSG00000115594.11,chr2,102104513,102104872,TSS,True,161,181
ENSG00000135956.8,chr2,96265489,96265868,3AS,True,50,102
ENSG00000135956.8,chr2,96265868,96266028,TSS,False,25,127
ENSG00000115170.13,chr2,157875795,157876342,TSS,True,29,117
ENSG00000136002.18,chr2,131034215,131035288,TSS,True,51,110
ENSG00000123992.19,chr2,219386948,219387069,3AS,False,27,172
ENSG00000123992.19,chr2,219387758,219387957,TSS,True,25,189
ENSG00000197756.9,chr2,216498814,216498877,TSS,True,70,589
ENSG00000077380.15,chr2,171687433,171687627,TSS,True,110,133
ENSG00000077380.15,chr2,171687620,171687873,TSS,True,27,133
ENSG00000077380.15,chr2,171747775,171749697,PAS,True,28,131
ENSG00000077380.15,chr2,171690146,171690260,PAS,True,109,129
ENSG00000179526.16,chr8,144098994,144099276,ES,False,16,140
ENSG00000179526.16,chr8,144099199,144099276,3AS,True,14,123
ENSG00000179526.16,chr8,144099205,144099276,IR,True,109,134
ENSG00000179526.16,chr8,144103552,144104905,TSS,True,21,180
ENSG00000164754.14,chr8,116874610,116874896,TSS,False,16,107
ENSG00000154359.12,chr8,12736764,12736899,3AS,False,45,109
ENSG00000186918.13,chr8,28386003,28386409,TSS,True,70,145
ENSG00000071894.16,chr8,144395551,144396347,IR,True,118,132
ENSG00000071894.16,chr8,144409288,144410022,TSS,False,92,147
ENSG00000071894.16,chr8,144409014,144409325,TSS,True,125,147
ENSG00000165102.14,chr8,43172386,43182144,ES,True,18,118
ENSG00000165102.14,chr8,43193843,43196947,ES,True,106,119
ENSG00000180694.13,chr8,90625862,90645110,ES,False,30,188
ENSG00000155096.13,chr8,102843747,102858012,ES,False,99,111
ENSG00000155096.13,chr8,102863806,102864170,TSS,True,38,123
ENSG00000155096.13,chr8,102858012,102858150,TSS,True,96,123
ENSG00000147465.11,chr8,38144386,38145221,IR,False,1388,1548
ENSG00000147465.11,chr8,38144386,38145962,IR,False,63,202
ENSG00000147465.11,chr8,38144386,38146288,3AS,True,24,174
ENSG00000147465.11,chr8,38145315,38145962,IR,False,1383,1539
ENSG00000147465.11,chr8,38141746,38144386,PAS,True,169,1643
ENSG00000120896.13,chr8,22566713,22566821,IR,False,89,108
ENSG00000120896.13,chr8,22565287,22565872,TSS,True,144,200
ENSG00000120896.13,chr8,22569276,22571221,TSS,True,178,200
ENSG00000187954.12,chr8,144449579,144450770,PAS,True,97,120
ENSG00000187954.12,chr8,144451120,144452570,PAS,True,90,116
ENSG00000187954.12,chr8,144465352,144465496,TSS,True,97,122
ENSG00000079459.12,chr8,11802675,11802931,TSS,True,55,107
ENSG00000079459.12,chr8,11804818,11808891,TSS,True,65,107
ENSG00000198363.17,chr8,61638360,61642887,3AS,False,30,231
ENSG00000198363.17,chr8,61644632,61651049,ES,False,37,233
ENSG00000198363.17,chr8,61499796,61503509,PAS,True,123,253
ENSG00000198363.17,chr8,61623699,61626280,PAS,True,130,245
ENSG00000198363.17,chr8,61714268,61714896,TSS,True,26,258
ENSG00000180900.18,chr8,143791440,143791990,ES,False,24,115
ENSG00000180900.18,chr8,143805111,143805975,TSS,True,104,118
ENSG00000180900.18,chr8,143815213,143815816,TSS,False,60,118
ENSG00000158941.16,chr8,22604637,22604842,TSS,True,76,218
ENSG00000158941.16,chr8,22612103,22613136,TSS,True,184,217
ENSG00000169398.19,chr8,140864399,140890542,ES,False,35,122
ENSG00000169398.19,chr8,140890769,141001124,ES,False,55,121
ENSG00000147649.9,chr8,97691188,97706625,ES,False,33,195
ENSG00000147649.9,chr8,97713661,97713735,PAS,True,178,200
ENSG00000147649.9,chr8,97724599,97730251,PAS,True,25,201
ENSG00000187955.11,chr8,120124922,120125340,TSS,True,59,272
ENSG00000187955.11,chr8,120371151,120372037,PAS,True,106,272
ENSG00000187955.11,chr8,120370335,120372027,PAS,True,182,272
ENSG00000161016.17,chr8,144792365,144792428,TSS,False,2463,3710
ENSG00000168077.13,chr8,27633723,27634207,TSS,True,20,170
ENSG00000168077.13,chr8,27670899,27673018,PAS,False,24,164
ENSG00000164733.20,chr8,11853479,11868000,ME,False,100,115
ENSG00000164733.20,chr8,11853479,11868000,ME,False,100,115
ENSG00000164733.20,chr8,11853479,11868000,ES,False,1032,1157
ENSG00000185122.10,chr8,144291531,144291874,TSS,True,41,266
ENSG00000077782.20,chr8,38467980,38468832,TSS,True,100,156
ENSG00000179950.13,chr8,143818534,143821596,ES,False,98,239
ENSG00000179950.13,chr8,143821913,143829279,ES,False,24,222
ENSG00000179950.13,chr8,143824396,143829279,3AS,False,25,198
ENSG00000179950.13,chr8,143829279,143829376,TSS,True,51,273
ENSG00000157110.15,chr8,30383844,30385158,TSS,True,29,265
ENSG00000157110.15,chr8,30570636,30572262,PAS,True,156,262
ENSG00000157110.15,chr8,30547291,30547524,PAS,True,118,250
ENSG00000154328.15,chr8,11771585,11779597,5AS,True,89,101
ENSG00000154328.15,chr8,11769633,11769791,TSS,False,40,113
ENSG00000154328.15,chr8,11769708,11770335,TSS,True,84,113
ENSG00000160932.10,chr8,143018586,143020887,3AS,False,40,186
ENSG00000160932.10,chr8,143018463,143018586,TSS,True,41,230
ENSG00000164924.17,chr8,100951928,100952852,TSS,True,122,406
ENSG00000164924.17,chr8,100953268,100953476,TSS,True,361,407
ENSG00000104518.10,chr8,143559969,143560602,IR,False,68,115
ENSG00000104518.10,chr8,143560771,143561001,IR,False,71,125
ENSG00000104518.10,chr8,143561104,143561369,IR,False,102,129
ENSG00000104518.10,chr8,143558294,143558451,TSS,True,49,138
ENSG00000104518.10,chr8,143558338,143559552,TSS,True,114,138
ENSG00000147813.15,chr8,143574900,143574985,IR,False,88,115
ENSG00000147813.15,chr8,143575093,143575190,IR,False,69,104
ENSG00000147813.15,chr8,143575345,143575422,IR,True,84,107
ENSG00000147813.15,chr8,143576162,143576431,IR,False,104,119
ENSG00000147813.15,chr8,143576842,143577061,IR,False,77,106
ENSG00000147813.15,chr8,143577177,143577268,IR,False,77,105
ENSG00000147813.15,chr8,143577943,143578092,IR,False,73,116
ENSG00000147813.15,chr8,143574779,143574900,PAS,True,27,121
ENSG00000147813.15,chr8,143574779,143575525,PAS,False,104,119
ENSG00000147813.15,chr8,143578092,143578621,TSS,True,48,121
ENSG00000147813.15,chr8,143577815,143578644,TSS,True,83,121
ENSG00000104529.17,chr8,143581328,143586728,ES,False,206,1210
ENSG00000104529.17,chr8,143586849,143597347,3AS,False,114,974
ENSG00000104529.17,chr8,143586852,143597347,ES,False,750,859
ENSG00000104529.17,chr8,143590081,143597347,ES,False,34,108
ENSG00000104529.17,chr8,143597347,143598252,TSS,True,347,1327
ENSG00000104529.17,chr8,143586728,143591599,TSS,True,1122,1326
ENSG00000104679.10,chr8,23288081,23288157,TSS,True,19,115
ENSG00000104679.10,chr8,23288142,23288633,TSS,True,103,115
ENSG00000104691.14,chr8,30728045,30729345,TSS,True,90,153
ENSG00000104691.14,chr8,30731546,30732370,TSS,False,82,153
ENSG00000147526.19,chr8,38827288,38831124,5AS,False,59,138
ENSG00000147526.19,chr8,38787178,38787743,TSS,True,128,172
ENSG00000147526.19,chr8,38819519,38820635,TSS,True,150,172
ENSG00000147526.19,chr8,38728133,38728671,TSS,True,111,180
ENSG00000160959.7,chr8,144517956,144518041,TSS,True,89,138
ENSG00000160959.7,chr8,144524260,144525178,PAS,True,119,138
ENSG00000160959.7,chr8,144523635,144525180,PAS,True,123,138
ENSG00000132561.13,chr8,98032317,98033098,3AS,False,295,609
ENSG00000136997.17,chr8,127736623,127738250,3AS,False,25,106
ENSG00000136997.17,chr8,127736050,127736623,TSS,True,42,150
ENSG00000136997.17,chr8,127738311,127739019,TSS,True,109,150
ENSG00000235173.6,chr8,144138813,144139008,IR,False,92,105
ENSG00000235173.6,chr8,144137751,144138428,TSS,True,13,119
ENSG00000104763.18,chr8,18056296,18057623,PAS,True,32,173
ENSG00000104763.18,chr8,18063470,18067298,PAS,True,142,173
ENSG00000160948.13,chr8,144423922,144424040,IR,False,159,192
ENSG00000160948.13,chr8,144424268,144424717,IR,False,160,190
ENSG00000160948.13,chr8,144424819,144424945,IR,False,151,187
ENSG00000160948.13,chr8,144425000,144425682,3AS,False,17,131
ENSG00000160948.13,chr8,144425051,144425682,IR,False,113,156
ENSG00000160948.13,chr8,144423583,144424132,PAS,True,166,191
ENSG00000160948.13,chr8,144423597,144423922,PAS,True,33,192
ENSG00000160948.13,chr8,144428488,144428582,TSS,True,78,245
ENSG00000137575.11,chr8,58572314,58575902,3AS,False,38,181
ENSG00000156804.7,chr8,123540898,123541595,TSS,True,22,100
ENSG00000136574.17,chr8,11708928,11748918,3AS,False,275,381
ENSG00000136574.17,chr8,11703447,11704304,TSS,True,121,459
ENSG00000136574.17,chr8,11707853,11708928,TSS,True,404,459
ENSG00000136574.17,chr8,11758292,11760002,PAS,True,50,439
ENSG00000104635.13,chr8,22367230,22367408,TSS,True,37,323
ENSG00000164920.9,chr8,98950755,98951600,3AS,False,329,430
ENSG00000164920.9,chr8,98951518,98952104,PAS,True,336,437
ENSG00000164920.9,chr8,98951600,98952097,PAS,True,108,437
ENSG00000213563.6,chr8,144526639,144526959,IR,False,46,161
ENSG00000213563.6,chr8,144526215,144526639,PAS,False,115,161
ENSG00000213563.6,chr8,144526215,144527787,PAS,True,39,132
ENSG00000213563.6,chr8,144528760,144529116,TSS,True,31,161
ENSG00000178685.13,chr8,143983811,143984007,IR,False,94,114
ENSG00000178685.13,chr8,143984431,143984543,IR,True,92,112
ENSG00000178685.13,chr8,143985328,143985411,IR,True,88,101
ENSG00000178685.13,chr8,143986357,143986466,TSS,True,71,147
ENSG00000185803.9,chr8,144358554,144359065,TSS,True,39,103
ENSG00000185803.9,chr8,144358581,144358900,TSS,True,84,103
ENSG00000133872.13,chr8,30070059,30082846,ES,False,61,407
ENSG00000179091.4,chr8,144095228,144095832,IR,False,268,318
ENSG00000179091.4,chr8,144095054,144095228,TSS,False,61,338
ENSG00000179091.4,chr8,144095055,144096029,TSS,True,290,338
ENSG00000067225.17,chr15,72200655,72206727,ME,False,124,688
ENSG00000067225.17,chr15,72231115,72231260,TSS,False,118,730
ENSG00000140545.14,chr15,88913246,88913458,TSS,True,78,135
ENSG00000068305.17,chr15,99565428,99566104,TSS,True,23,116
ENSG00000175265.17,chr15,34382045,34382150,3AS,True,15,110
ENSG00000175265.17,chr15,34382526,34382796,3AS,True,27,109
ENSG00000175265.17,chr15,34386624,34387664,TSS,True,43,116
ENSG00000175265.17,chr15,34437397,34437875,TSS,False,86,116
ENSG00000128989.10,chr15,52568847,52569144,TSS,True,39,103
ENSG00000128989.10,chr15,52569115,52569167,TSS,True,67,103
ENSG00000069966.18,chr15,52179767,52180007,TSS,True,21,183
ENSG00000128951.13,chr15,48331479,48332267,5AS,False,14,101
ENSG00000128951.13,chr15,48331399,48332406,TSS,False,105,150
ENSG00000128951.13,chr15,48331409,48331795,TSS,True,65,150
ENSG00000166887.15,chr15,42208080,42208335,TSS,True,33,148
ENSG00000180304.14,chr15,64703028,64703271,TSS,True,18,173
ENSG00000140464.19,chr15,74024927,74033155,ES,False,37,111
ENSG00000140464.19,chr15,73994696,73994941,TSS,True,52,132
ENSG00000140464.19,chr15,73998001,73998476,TSS,False,112,132
ENSG00000140464.19,chr15,74034477,74036394,PAS,True,109,122
ENSG00000140464.19,chr15,74035171,74036394,PAS,False,79,122
ENSG00000140464.19,chr15,74044220,74046771,PAS,True,102,127
ENSG00000140464.19,chr15,74035142,74036393,PAS,True,105,122
ENSG00000255529.8,chr15,57706628,57706955,TSS,True,15,101
ENSG00000140553.17,chr15,90935216,90935330,TSS,True,64,104
ENSG00000140553.17,chr15,90935268,90935375,TSS,True,64,104
ENSG00000137815.14,chr15,41417090,41417313,TSS,True,31,141
ENSG00000137815.14,chr15,41457671,41458747,PAS,True,65,112
ENSG00000137815.14,chr15,41480580,41482981,PAS,False,61,120
ENSG00000140416.20,chr15,63042943,63043705,IR,False,233,273
ENSG00000140416.20,chr15,63042943,63056984,ME,False,276,503
ENSG00000140416.20,chr15,63043831,63056984,5AS,False,246,275
